"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"53","46","            Sales to other sectors","W137RL1",-6,-1,-34.3,46.1,-34.2,45.8,-35.5,-12.1,10.3,12.1,53.2,-26,-10.3,20.4
"54","47","State and local consumption expenditures \1\","A991RL1",2.3,1.8,2.7,4.2,3.6,2.2,3.4,3.3,-0.3,0,0.4,0.7,1.8,0.7
"55","48","      Gross output of general government","W138RL1",2.5,1.8,2.9,4,3.4,2.7,3.8,2.9,-0.3,0.2,0.4,0.8,1.9,1.1
"56","49","        Value added","W139RL1",2,1.5,2,2.1,1.7,2.1,2.4,2,0.6,0.4,0.7,0.9,1.7,1.4
"57","50","          Compensation of general government employees","B251RL1",1.8,1.3,1.7,1.8,1.3,1.8,2.1,1.8,0.3,0.1,0.4,0.6,1.5,1.2
"58","51","          Consumption of general government fixed capital \2\","B986RL1",3.7,3.7,4,4.8,4.9,4.7,4.3,3.8,3.2,3.7,2.7,2.7,2.9,2.8
"59","52","        Intermediate goods and services purchased \3\","W140RL1",3.8,2.5,4.8,7.8,7,4,6.7,4.4,-1.9,-0.4,-0.2,0.6,2.3,0.5
"60","53","          Durable goods","B989RL1",6.7,2.8,7,11.3,9.2,7.2,7.6,1.4,-1.7,0.5,0.4,1.6,3.2,1.4
"61","54","          Nondurable goods","B337RL1",4.5,2.7,4.6,7.3,7.2,4.2,6.9,3.7,-1.8,0.2,0.1,0.9,2.3,0.8
"62","55","          Services","A988RL1",3.2,2.3,4.7,7.7,6.8,3.6,6.5,5,-2,-0.7,-0.4,0.4,2.2,0.2
"63","56","      Less: Own-account investment \4\","W144RL1",1.4,1.2,9.4,2.1,3.8,5.7,8.8,0,-2.7,1.8,0.9,3,4.8,2.6
"64","57","            Sales to other sectors","W145RL1",3.7,1.9,3.4,3.1,2.5,4.9,5.2,1.3,0,0.8,0.3,0.9,2.2,2.6
"65","58","              Tuition and related educational charges","B1065L1",0.4,0.3,2.3,2.7,2.9,3.4,0.5,0.1,0,-3.1,0.1,0.9,1.2,1.2
"66","59","              Health and hospital charges","B1066L1",4.5,-0.4,2.4,2.9,1.7,4.9,8.4,0.5,-1.8,0.3,-2.5,0,2.6,4.2
"67","60","              Other sales","W146RL1",4.6,6.9,5.7,3.6,3.5,6,3.5,3.3,3,4.2,4.7,2.1,2.3,1.3
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
