"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Nonfarm \2\","B358RA3",68.324,68.469,69.273,69.865,70.362,71.733,72.527,73.467,74.032,75.313,76.37,77.048,77.924,78.743,79.936,81.674,82.486,83.127,84.376,86.099,86.125,88.111,88.113,88.632,88.207,88.868,88.382,88.613,89.722,90.001,90.569,90.617,90.901,91.805,94.095,94.901,95.511,96.432,97.12,97.951,99.112,99.497,100.397,100.994,102.675,102.922,102.898,103.966,104.194,105.135,106.155,106.626,106.166,106.522,105.438,103.378,101.035,100.609
"12","4","  Farm","B359RA3",56.647,55.386,52.606,56.467,62.709,65.797,63.281,64.173,67.634,70.371,73.946,72.356,68.127,66.801,68.571,68.557,68.813,73.052,70.569,72.847,80.867,81.668,83.834,81.166,77.597,71.874,69.73,85.572,64.592,77.369,86.618,89.686,91.864,97.188,88.993,80.916,98.902,89.512,93.44,102.058,97.462,100.915,102.329,99.295,91.902,105.188,97.497,94.095,92.544,88.981,85.437,92.023,100.231,96.015,101.393,107.831,106.917,104.099
"13","5","Households and institutions","B193RA3",77.57,78.001,78.027,78.543,78.807,79.318,79.903,80.566,81.286,81.993,82.672,83.431,84.113,84.661,85.39,85.777,86.541,87.54,88.351,89.529,90.289,90.859,91.559,92.727,92.701,93.208,93.999,93.685,93.941,94.841,94.037,93.528,94.144,93.896,92.915,95.519,95.551,96.165,97.245,98.032,99.023,99.884,100.219,100.874,101.82,102.383,102.634,102.032,103.053,103.937,105.087,105.808,105.71,106.505,106.192,106.066,106.172,106.133
"14","6","  Households","B701RA3",75.181,75.419,75.103,75.71,76.028,76.582,77.285,78.009,78.694,79.313,79.798,80.376,80.584,81.035,81.836,82.208,83.617,84.995,86.24,87.736,88.606,89.101,89.719,90.784,90.927,91.45,92.646,91.965,91.809,92.677,90.989,90.042,91.066,90.793,89.176,93.194,93.218,94.045,95.855,97.106,98.66,99.881,100.104,101.356,103.037,104.207,104.781,103.515,104.722,105.561,107.088,108.151,107.612,108.517,107.589,107.264,107.384,107.119
"15","7","  Nonprofit institutions serving households \3\","B702RA3",80.845,81.559,82.093,82.471,82.655,83.1,83.508,84.078,84.846,85.683,86.648,87.676,89.072,89.766,90.379,90.785,90.577,91.011,91.178,91.89,92.488,93.169,93.986,95.301,95.029,95.511,95.706,95.932,96.79,97.736,98.207,98.328,98.353,98.135,98.048,98.674,98.715,99.033,99.121,99.282,99.512,99.887,100.373,100.228,100.195,99.963,99.793,100.059,100.84,101.781,102.436,102.702,103.181,103.818,104.334,104.474,104.56,104.829
"16","8","General government \4\","B765RA3",89.731,89.855,89.849,89.147,89.106,90.053,90.019,89.982,90.173,90.353,90.65,90.713,91.059,91.385,91.703,91.844,92.036,92.071,92.393,92.822,93.375,94.236,94.001,94.133,94.784,95.429,95.982,96.326,96.925,97.454,97.864,97.995,98.526,98.798,98.795,98.805,99.048,99.178,99.364,99.72,99.893,99.879,100.069,100.159,100.078,100.252,100.848,101.188,101.424,101.762,102.232,102.657,103.365,103.917,104.611,105.095,105.409,106.103
"17","9","  Federal","B766RA3",100.621,100.281,99.614,96.179,96.315,97.225,96.695,95.552,95.301,94.944,94.677,93.599,93.621,93.509,93.569,93.489,93.465,92.715,92.474,92.47,93.121,95.023,93.285,92.804,93.635,94.054,94.168,93.857,94.906,95.552,96.168,96.492,97.726,98.532,98.589,98.578,99.048,98.941,99.356,99.996,100.136,99.866,99.803,100.194,99.468,99.503,100.367,100.393,100.152,100.041,101.049,101.512,102.618,103.735,105.376,106.925,108.183,110.19
"18","10","  State and local","B767RA3",85.236,85.549,85.812,86.231,86.119,87.084,87.257,87.679,88.054,88.46,88.991,89.53,90.011,90.522,90.947,91.179,91.461,91.822,92.377,92.985,93.5,93.928,94.315,94.701,95.278,96.015,96.748,97.362,97.777,98.258,98.584,98.633,98.868,98.912,98.884,98.903,99.048,99.282,99.367,99.6,99.786,99.885,100.186,100.143,100.347,100.583,101.061,101.539,101.986,102.524,102.755,103.162,103.694,103.996,104.276,104.298,104.202,104.324
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009A3",80.151,80.432,80.134,80.681,80.818,81.262,81.901,82.554,83.247,83.857,84.263,84.708,84.794,85.157,85.86,86.098,87.5,88.816,89.963,91.331,91.98,92.358,92.889,93.858,93.993,94.38,95.522,94.79,94.574,95.315,93.314,91.938,92.443,91.755,89.81,93.853,93.941,94.753,96.474,97.508,98.815,99.849,100.016,101.321,103.076,104.344,105.093,104.394,105.794,107.019,108.727,109.873,109.327,110.111,109.392,109.12,109.305,109.164
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
