"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"30","21","      Multifamily","C292RZ2",0.33,0.17,0.13,-0.02,0.14,-0.03,0.07,0.1,0.05,0.16,0.21,0.02,-0.24,-0.33
"31","22","    Other structures \5\","A863RZ2",0.17,0.74,0.45,0.58,0.47,0.11,0.05,0.78,0.75,0.93,0.66,-0.71,-0.97,-1.1
"32","23","  Equipment","B013RZ2",0.01,0,0,0.03,0.05,0.03,0.01,0.02,0.03,0.05,0.02,0.02,0,-0.01
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","24","  Private fixed investment in structures","A349RZ2",0.19,3.27,1.92,3.03,1.67,1.66,-0.15,-2.05,1.9,3.5,2.48,-1.13,-3.27,-3.8
"35","25","  Private fixed investment in equipment and software","A327RZ2",6.25,5.7,7.31,7.82,7.63,5.73,-1.74,-2.18,1.33,3.84,4.04,3.44,1.2,-1.27
"36","26","  Private fixed investment in new structures \6\","W040RZ2",0.16,2.93,1.57,2.66,1.44,1.53,-0.34,-2.14,1.43,2.66,2.02,-0.52,-2.58,-3.06
"37","27","    Nonresidential structures","A771RZ2",1.15,1.04,1.3,1.07,0.02,1.41,-0.45,-3.28,-0.66,0.14,0.2,1.6,2.95,2.43
"38","28","    Residential structures","A756RZ2",-1,1.9,0.27,1.6,1.41,0.13,0.11,1.14,2.08,2.52,1.82,-2.12,-5.53,-5.49
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
