"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"55","48","    Services","A656RL1",3,5.2,8.7,10.9,6.8,11,-0.8,1.8,1.9,11.2,2.8,7.1,3.5,0.7
"56","49","Government consumption expenditures and gross investment","A822RL1",0.6,1,1.9,2.1,3.6,2,3.8,4.7,2.2,1.4,0.3,1.4,1.7,3.1
"57","50","  Federal","A823RL1",-2.7,-1.2,-1,-1.1,1.9,0.5,4.1,7.3,6.6,4.1,1.3,2.1,1.3,7.7
"58","51","    National defense","A824RL1",-3.7,-1.3,-2.8,-2.1,1.9,-0.5,3.8,7.4,8.7,5.7,1.5,1.6,2.2,7.8
"59","52","      Consumption expenditures","A997RL1",-3.6,-1.4,-1.5,-2.7,1.6,-0.9,3.6,6.5,8.6,5.2,1.1,0.8,1.6,6.5
"60","53","      Gross investment","A788RL1",-4.5,-0.9,-10.6,1.6,3.7,2.1,4.9,13.1,9.5,8.9,4.4,7,6.2,16.7
"61","54","    Nondefense","A825RL1",-0.4,-0.8,2.7,0.8,2.1,2.4,4.6,7.2,2.8,1,0.9,3.2,-0.6,7.3
"62","55","      Consumption expenditures","A542RL1",-1.5,-2.5,3.5,-0.9,0.8,4.7,5.5,6.9,3.1,1.2,0.3,2.6,-0.9,7.2
"63","56","      Gross investment","A798RL1",5.8,8.3,-1.2,10.3,8.7,-9,-1,9,1.2,-0.4,5.3,7.8,1.6,8.3
"64","57","  State and local","A829RL1",2.7,2.3,3.6,3.9,4.5,2.8,3.7,3.3,-0.1,-0.2,-0.2,0.9,2,0.5
"65","58","    Consumption expenditures","A991RL1",2.3,1.8,2.7,4.2,3.6,2.2,3.4,3.3,-0.3,0,0.4,0.7,1.8,0.7
"66","59","    Gross investment","A799RL1",4.4,4.6,7.6,2.9,8.1,5.5,4.9,3.5,1,-0.9,-2.8,1.7,2.6,-0.6
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
