"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"21","14","Equals: Net national product","A027RC1",6574.9,6957.6,7392,7790.3,8286.9,8804.9,9081.9,9386.4,9856.8,10526.2,11194.2,11810.7,12433.3,12736.2
"22","15","Less: Statistical discrepancy","A030RC1",52.5,25.9,-14,-85.3,-71.1,-134,-103.4,-22.1,16.6,-7.8,-79.7,-220.6,-14.8,101
"23","16","Equals: National income","A032RC1",6522.3,6931.7,7406,7875.6,8358,8938.9,9185.2,9408.5,9840.2,10534,11273.8,12031.2,12448.2,12635.2
"24","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",716.2,801.5,884.8,812.4,856.3,819.2,784.2,872.2,977.8,1246.9,1456.1,1608.3,1541.7,1360.4
"25","18","      Taxes on production and imports less subsidies \1\","W254RC1",523.1,545.5,577.8,603.1,628.4,662.7,669,721.4,757.7,817,869.3,935.5,974,993.8
"26","19","      Contributions for government social insurance, domestic","A061RC1",532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,778.9,827.3,872.7,921.8,959.3,990.6
"27","20","      Net interest and miscellaneous payments on assets","W255RC1",358.3,371.1,407.6,479.3,481.4,539.3,544.4,506.4,504.1,461.6,543,652.2,739.2,815.1
"28","21","      Business current transfer payments (net)","B029RC1",45.8,53.8,51.3,65.2,69,87,101.3,82.4,76.1,81.7,95.9,83,102.2,118.8
"29","22","      Current surplus of government enterprises \1\","A108RC1",13.1,14.4,14.1,13.3,14.1,9.1,4,6.3,7,1.2,-3.5,-4.2,-6.6,-6.9
"30","23","      Wage accruals less disbursements","A062RC1",16.4,3.6,-2.9,-0.7,5.2,0,0,0,15,-15,5,1.3,-6.3,-5
"31","24","Plus: Personal income receipts on assets","W210RC1",1005.4,1080.7,1165.5,1269.2,1246.8,1360.7,1346,1309.6,1312.9,1408.5,1542,1829.7,2031.5,1994.4
"32","25","      Personal current transfer receipts","A577RC1",878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1282.1,1341.7,1415.5,1508.6,1605,1718,1875.9
"33","26","Equals: Personal income","A065RC1",6200.9,6591.6,7000.7,7525.4,7910.8,8559.4,8883.3,9060.1,9378.1,9937.2,10485.9,11268.1,11894.1,12238.8
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Gross domestic income","A261RC1",7362.1,7812.5,8346.3,8878.8,9424.6,10085.5,10389.5,10664.4,11125.5,11875.6,12718,13619.5,14092.5,14340.4
"36","28","  Gross national income","A023RC1",7391.8,7844.2,8369.8,8896.1,9452.4,10123.2,10441.4,10713.5,11194.2,11966.8,12815.2,13691.9,14208.2,14482.3
"37","29","  Gross national factor income \2\","X023RC1",6809.7,7230.6,7726.6,8214.5,8740.9,9364.4,9667.2,9903.4,10353.4,11066.9,11853.5,12677.7,13138.6,13376.7
"38","30","  Net domestic product","A362RC1",6545.2,6925.9,7368.6,7772.9,8259.1,8767.2,9029.9,9337.3,9788.1,10435,11097,11738.2,12317.6,12594.3
"39","31","  Net domestic income","W256RC1",6492.7,6900,7382.5,7858.3,8330.2,8901.1,9133.3,9359.4,9771.5,10442.8,11176.7,11958.8,12332.4,12493.3
"40","32","  Net national factor income \3\","X032RC1",5940.3,6318.1,6762.8,7194,7646.5,8180.1,8410.9,8598.4,8999.3,9634.1,10312.2,11017,11378.6,11529.6
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
