"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"23","16","Exports of services \1\","A646RC1",228.6,249.3,266.7,273,292.1,308.9,296.5,302.7,314.2,363.2,399,446.6,516.5,564.2
"24","17","  Transfers under U.S. military agency sales contracts","B267RC1",13.9,15.7,16.1,16.8,15.2,12.8,11.8,11.3,12.5,14.8,18.1,22.7,24,21
"25","18","  Travel","B493RC1",63.4,69.8,73.4,71.3,74.8,82.4,71.9,66.6,64.4,74.5,81.8,85.8,97.1,110.1
"26","19","  Passenger fares","B533RC1",18.9,20.4,20.9,20.1,19.8,20.7,17.9,17,15.9,18.9,21,22,25.6,31.6
"27","20","  Other transportation","B683RC1",26.1,26.1,27,25.6,26.9,29.8,28.4,29.2,31.4,37,41.3,46.2,51.6,58.9
"28","21","  Royalties and license fees","B684RC1",30.3,32.5,33.2,35.6,39.7,43.2,40.7,44.5,47,56.7,64.4,70.7,83.8,91.6
"29","22","  Other private services","B720RC1",65,73.3,83.9,91.8,103.9,107.9,113.9,122.2,131.6,149.3,160,186,220.1,233.5
"30","23","  Other","B980RC1",11,11.5,12.1,11.8,11.8,12,11.9,11.9,11.5,12.1,12.4,13.1,14.4,17.4
"31","24","    Imports of goods and services","B021RC1",902.6,964,1055.8,1115.7,1251.4,1475.3,1398.7,1430.2,1545.1,1798.9,2027.8,2240.3,2369.7,2538.9
"32","25","Imports of goods \1\","A255RC1",757.4,807.4,885.7,930.8,1047.7,1246.5,1171.7,1193.9,1289.3,1501.7,1708,1884.9,1987.7,2126.4
"33","26","  Foods, feeds, and beverages","B647RC1",33.2,35.7,39.7,41.3,43.6,46,46.6,49.7,55.8,62.1,68.1,74.9,81.7,89
"34","27","  Industrial supplies and materials, except petroleum and products","A649RC1",119.6,124.6,134.7,142.2,148.3,173.6,165.8,159.6,175.7,226.4,266,291.4,295.7,316.5
"35","28","    Durable goods","A820RC1",59.7,63,69.1,76,79.2,89.2,81,82.1,85.1,120.5,136,163.1,158.5,160.1
"36","29","    Nondurable goods","B696RC1",59.9,61.6,65.6,66.3,69.1,84.4,84.8,77.5,90.6,105.9,130,128.3,137.1,156.4
"37","30","  Petroleum and products","B648RC1",56,72.7,71.8,50.9,67.8,120.3,103.6,103.5,133.1,180.5,251.9,302.4,331,453.3
"38","31","  Capital goods, except automotive","A650RC1",222.1,228.4,253.6,269.8,295.7,347,298.4,283.9,296.4,344.5,380.7,420,446,455.2
"39","32","    Civilian aircraft, engines, and parts","B932RC1",10.7,12.7,16.6,21.8,23.8,26.4,31.4,25.5,24.1,24.3,25.8,28.4,34.4,35.4
"40","33","    Computers, peripherals, and parts","B852RC1",56.3,61.5,70.2,72.5,81.5,89.8,74,75.2,76.5,88.6,93.3,101.3,105.2,100.9
"41","34","    Other","B853RC1",155.2,154.2,166.8,175.5,190.5,230.9,193,183.3,195.8,231.6,261.7,290.2,306.5,318.9
"42","35","  Automotive vehicles, engines, and parts","B651RC1",123.7,128.7,139.4,148.6,179,195.9,189.8,203.7,210.1,228.2,239.4,256.6,259.2,233.8
"43","36","  Consumer goods, except automotive","A652RC1",159.7,172.5,195.2,218.5,243.5,284.2,286.5,310.7,337.7,377.1,411.5,446.1,478.2,484.7
"44","37","    Durable goods","B697RC1",83.7,90.9,100.8,113.6,127.9,151.7,148.7,163.4,174.8,201.7,224,243.8,263.4,264.9
"45","38","    Nondurable goods","B698RC1",76,81.6,94.4,104.9,115.6,132.5,137.9,147.3,162.9,175.4,187.5,202.3,214.8,219.8
"46","39","  Other","A653RC1",43.1,44.7,51.2,59.4,69.8,79.6,80.9,82.7,80.4,82.9,90.3,93.5,95.9,94
"47","40","Imports of services \1\","B656RC1",145.1,156.5,170.1,184.9,203.7,228.8,227,236.3,255.9,297.3,319.8,355.4,382.1,412.4
"48","41","  Direct defense expenditures","B752RC1",10,11.1,11.7,12.2,13.3,13.5,14.8,19.1,25.3,29.3,30.1,31,32.8,36.5
"49","42","  Travel","B768RC1",44.9,48.1,52.1,56.5,59,64.7,60.2,58.7,57.4,65.8,69,72.1,76.4,79.7
"50","43","  Passenger fares","B769RC1",14.7,15.8,18.1,20,21.3,24.3,22.6,20,21,24.7,26.1,27.5,28.4,32.6
"51","44","  Other transportation","B770RC1",27,27.4,29,30.4,34.1,41.4,38.7,38.4,44.7,54.2,61.9,65.3,67.1,72.1
"52","45","  Royalties and license fees","B908RC1",6.9,7.8,9.2,11.2,13.1,16.5,16.5,19.4,19,23.3,24.6,23.5,24.7,26.6
"53","46","  Other private services","B909RC1",35.2,39.7,43.2,47.6,55.5,60.5,66,72.6,79.8,90.3,97.8,125.5,141.7,153.3
"54","47","  Other","B910RC1",6.3,6.6,6.9,7.1,7.3,7.9,8.1,8.2,8.7,9.8,10.2,10.5,11,11.6
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","A332RC1",394,421.1,482.3,486.6,503.3,569.2,521.1,488.5,497.3,561.2,624.9,709.1,776.8,822.8
"57","49","  Exports of nondurable goods","A339RC1",189.3,197.2,205.4,194.3,193.9,215.1,210.1,211.8,229.5,255.8,281.2,315.3,362.6,444.1
"58","50","  Exports of agricultural goods \2\","B181RC1",57.2,61.5,58.5,53.2,49.7,52.8,54.9,54.5,60.9,62.9,64.9,72.9,92.1,118
"59","51","  Exports of nonagricultural goods","A182RC1",526,556.8,629.2,627.7,647.5,731.5,676.3,645.8,665.9,754,841.2,951.5,1047.3,1149
"60","52","  Imports of durable goods","A333RC1",510.8,533.4,588.5,637.7,716.7,823.6,758.3,774.5,806.6,936.3,1025.4,1130.2,1175.1,1160.9
"61","53","  Imports of nondurable goods","A340RC1",246.7,274.1,297.1,293,331,422.9,413.4,419.3,482.6,565.4,682.6,754.7,812.5,965.5
"62","54","  Imports of nonpetroleum goods","A187RC1",701.4,734.7,813.9,879.8,979.9,1126.2,1068.1,1090.4,1156.2,1321.2,1456.1,1582.5,1656.7,1673.2
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
