"","Table 4#2#2# Contributions to Percent Change in Real Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"29","20","  Other transportation","B683RZ2",0.26,-0.09,0.1,-0.05,0.12,0.01,-0.1,0.11,0.12,0.4,0.05,0.2,0.25,0.03
"30","21","  Royalties and license fees","B684RZ2",0.4,0.19,0.02,0.22,0.37,0.25,-0.31,0.31,0.14,0.77,0.46,0.31,0.73,0.3
"31","22","  Other private services","B720RZ2",0.4,0.86,1.12,0.84,1.46,0.35,0.59,0.82,0.71,1.33,0.45,1.48,1.83,0.43
"32","23","  Other","B980RZ2",-0.12,0.05,-0.01,-0.08,-0.02,-0.03,-0.02,-0.04,-0.08,0.04,-0.02,0.04,0.04,0.1
"33",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","24","    Imports of goods and services","A021RL1",8,8.7,13.5,11.7,11.5,13,-2.8,3.4,4.4,11,6.1,6.1,2,-3.2
"35",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","25","Imports of goods \1\","A255RZ2",7.49,7.84,12.03,9.9,10.38,11.27,-2.69,3.1,4.09,9.2,5.66,4.98,1.43,-3.31
"37","26","  Foods, feeds, and beverages","B647RZ2",0.1,0.37,0.38,0.28,0.34,0.23,0.14,0.18,0.27,0.21,0.13,0.2,0.04,-0.05
"38","27","  Industrial supplies and materials, except petroleum and products","A649RZ2",0.62,0.75,1.08,1.41,0.61,0.82,-0.41,0.33,0.18,1.82,0.85,0.56,-0.52,-0.95
"39","28","    Durable goods","A820RZ2",0.24,0.47,0.51,1.01,0.27,0.42,-0.35,0.3,0.06,1.19,0.47,0.64,-0.72,-0.57
"40","29","    Nondurable goods","B696RZ2",0.38,0.28,0.57,0.4,0.34,0.4,-0.06,0.03,0.12,0.64,0.38,-0.08,0.2,-0.38
"41","30","  Petroleum and products","B648RZ2",-0.12,0.58,0.31,0.4,0.04,0.39,0.22,-0.18,0.52,0.63,0.23,-0.25,-0.32,-0.45
"42","31","  Capital goods, except automotive","A650RZ2",5.13,4.13,5.81,3.57,3.46,4.6,-2.67,-0.34,1.12,3.26,2.07,2.04,1.06,0.1
"43","32","    Civilian aircraft, engines, and parts","B932RZ2",-0.1,0.16,0.36,0.48,0.14,0.14,0.27,-0.47,-0.14,-0.04,0.03,0.08,0.2,-0.04
"44","33","    Computers, peripherals, and parts","B852RZ2",1.77,1.6,1.93,1.53,1.76,1.06,-0.53,0.53,0.45,1.12,0.66,0.74,0.42,0.07
"45","34","    Other","B853RZ2",3.46,2.36,3.52,1.56,1.56,3.4,-2.41,-0.4,0.8,2.18,1.38,1.22,0.44,0.07
"46","35","  Automotive vehicles, engines, and parts","B651RZ2",0.25,0.47,1.1,0.88,2.61,1.22,-0.41,0.96,0.36,0.91,0.47,0.78,0,-1.27
"47","36","  Consumer goods, except automotive","A652RZ2",1.4,1.37,2.63,2.54,2.38,3.32,0.32,1.97,1.91,2.37,1.66,1.59,1.13,-0.21
"48","37","    Durable goods","B697RZ2",0.67,0.81,1.27,1.52,1.41,1.95,-0.09,1.25,0.88,1.74,1.18,0.89,0.74,-0.15
"49","38","    Nondurable goods","B698RZ2",0.73,0.56,1.36,1.02,0.97,1.37,0.41,0.72,1.03,0.64,0.49,0.71,0.39,-0.06
"50","39","  Other","A653RZ2",0.11,0.18,0.72,0.82,0.94,0.69,0.12,0.18,-0.27,-0.01,0.24,0.05,0.03,-0.47
"51","40","Imports of services \1\","B656RZ2",0.51,0.86,1.43,1.78,1.13,1.76,-0.12,0.3,0.32,1.85,0.46,1.11,0.55,0.1
"52","41","  Direct defense expenditures","B752RZ2",-0.15,0.12,0.17,0.08,0.08,0.05,0.09,0.26,0.19,0.07,-0.11,-0.03,-0.07,-0.08
"53","42","  Travel","B768RZ2",0.04,0.2,0.44,0.65,0.1,0.52,-0.21,-0.27,-0.37,0.25,-0.06,0.02,-0.07,-0.05
"54","43","  Passenger fares","B769RZ2",0.11,0.11,0.14,0.16,0.07,0.13,-0.26,-0.27,0.04,0.26,0.02,0,-0.04,0
"55","44","  Other transportation","B770RZ2",-0.01,-0.04,0.23,0.19,0.01,0.31,-0.15,0.09,0.11,0.34,0.21,0.18,0.13,-0.1
"56","45","  Royalties and license fees","B908RZ2",0.11,0.08,0.12,0.19,0.15,0.23,-0.02,0.18,-0.05,0.23,0.03,-0.09,0.02,0.05
"57","46","  Other private services","B909RZ2",0.39,0.38,0.31,0.49,0.72,0.48,0.4,0.31,0.4,0.65,0.38,1.04,0.56,0.29
"58","47","  Other","B910RZ2",0.01,0.01,0.03,0.03,0,0.03,0.02,0,0,0.04,0,-0.01,0,0
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
