"","Table 1#3#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Nonfarm \2\","A358RL1",1.4,0.8,4.8,3.5,2.9,8,4.5,5.3,3.1,7.1,5.7,3.6,4.6,4.3,6.2,9,4,3.1,6.1,8.4,0.1,9.5,0,2.4,-1.9,3,-2.2,1,5.1,1.3,2.5,0.2,1.3,4,10.4,3.5,2.6,3.9,2.9,3.5,4.8,1.6,3.7,2.4,6.8,1,-0.1,4.2,0.9,3.7,3.9,1.8,-1.7,1.3,-4,-7.6,-8.8,-1.7
"12","4","  Farm","B359RL1",-42.7,-8.6,-18.6,32.8,52.1,21.2,-14.4,5.8,23.4,17.2,21.9,-8.3,-21.4,-7.6,11,-0.1,1.5,27,-12.9,13.6,51.9,4,11,-12.1,-16.5,-26.4,-11.4,126.8,-67.5,105.9,57.1,14.9,10.1,25.3,-29.7,-31.7,123.2,-32.9,18.7,42.3,-16.8,14.9,5.7,-11.3,-26.6,71.6,-26.2,-13.2,-6.4,-14.5,-15,34.6,40.7,-15.8,24.4,27.9,-3.3,-10.1
"13","5","Households and institutions","A193RL1",3.1,2.2,0.1,2.7,1.4,2.6,3,3.4,3.6,3.5,3.4,3.7,3.3,2.6,3.5,1.8,3.6,4.7,3.8,5.4,3.4,2.6,3.1,5.2,-0.1,2.2,3.4,-1.3,1.1,3.9,-3.4,-2.1,2.7,-1.1,-4.1,11.7,0.1,2.6,4.6,3.3,4.1,3.5,1.3,2.6,3.8,2.2,1,-2.3,4.1,3.5,4.5,2.8,-0.4,3,-1.2,-0.5,0.4,-0.1
"14","6","  Households","B701RL1",1.8,1.3,-1.7,3.3,1.7,2.9,3.7,3.8,3.6,3.2,2.5,2.9,1,2.3,4,1.8,7,6.8,6,7.1,4,2.3,2.8,4.8,0.6,2.3,5.3,-2.9,-0.7,3.8,-7.1,-4.1,4.6,-1.2,-6.9,19.3,0.1,3.6,7.9,5.3,6.6,5,0.9,5.1,6.8,4.6,2.2,-4.7,4.7,3.2,5.9,4,-2,3.4,-3.4,-1.2,0.4,-1
"15","7","  Nonprofit institutions serving households \3\","B702RL1",5,3.6,2.6,1.9,0.9,2.2,2,2.8,3.7,4,4.6,4.8,6.5,3.2,2.8,1.8,-0.9,1.9,0.7,3.2,2.6,3,3.6,5.7,-1.1,2,0.8,0.9,3.6,4,1.9,0.5,0.1,-0.9,-0.4,2.6,0.2,1.3,0.4,0.7,0.9,1.5,2,-0.6,-0.1,-0.9,-0.7,1.1,3.2,3.8,2.6,1,1.9,2.5,2,0.5,0.3,1
"16","8","General government \4\","A765RL1",1.4,0.6,0,-3.1,-0.2,4.3,-0.2,-0.2,0.9,0.8,1.3,0.3,1.5,1.4,1.4,0.6,0.8,0.2,1.4,1.9,2.4,3.7,-1,0.6,2.8,2.7,2.3,1.4,2.5,2.2,1.7,0.5,2.2,1.1,0,0,1,0.5,0.8,1.4,0.7,-0.1,0.8,0.4,-0.3,0.7,2.4,1.4,0.9,1.3,1.9,1.7,2.8,2.2,2.7,1.9,1.2,2.7
"17","9","  Federal","A766RL1",-2.7,-1.3,-2.6,-13.1,0.6,3.8,-2.2,-4.6,-1,-1.5,-1.1,-4.5,0.1,-0.5,0.3,-0.3,-0.1,-3.2,-1,0,2.8,8.4,-7.1,-2,3.6,1.8,0.5,-1.3,4.5,2.8,2.6,1.4,5.2,3.3,0.2,0,1.9,-0.4,1.7,2.6,0.6,-1.1,-0.3,1.6,-2.9,0.1,3.5,0.1,-1,-0.4,4.1,1.8,4.4,4.4,6.5,6,4.8,7.6
"18","10","  State and local","A767RL1",3.4,1.5,1.2,2,-0.5,4.6,0.8,1.9,1.7,1.9,2.4,2.4,2.2,2.3,1.9,1,1.2,1.6,2.4,2.7,2.2,1.8,1.7,1.6,2.5,3.1,3.1,2.6,1.7,2,1.3,0.2,1,0.2,-0.1,0.1,0.6,0.9,0.3,0.9,0.7,0.4,1.2,-0.2,0.8,0.9,1.9,1.9,1.8,2.1,0.9,1.6,2.1,1.2,1.1,0.1,-0.4,0.5
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009L1",2.4,1.4,-1.5,2.8,0.7,2.2,3.2,3.2,3.4,3,2,2.1,0.4,1.7,3.3,1.1,6.7,6.2,5.3,6.2,2.9,1.7,2.3,4.2,0.6,1.7,4.9,-3,-0.9,3.2,-8.1,-5.8,2.2,-2.9,-8.2,19.3,0.4,3.5,7.5,4.4,5.5,4.3,0.7,5.3,7.1,5,2.9,-2.6,5.5,4.7,6.5,4.3,-2,2.9,-2.6,-1,0.7,-0.5
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
