"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Nonfarm \2\","A358RC1",5525.5,5561.2,5643.1,5704.8,5764.9,5899,5987.4,6096.4,6181.9,6315.2,6422.1,6500.2,6578.5,6654.3,6773.8,6919.9,7010.1,7090,7222.1,7389.1,7449.7,7651.8,7694.6,7771.6,7768.4,7874.4,7834,7873,7963.3,8033.7,8105.6,8139.6,8199.7,8289.2,8529.3,8623.1,8749.1,8895.4,9032,9188.9,9381.8,9486.3,9681.2,9824.5,10043,10156.4,10218.2,10346.6,10462.3,10626.8,10758.4,10843.9,10809.7,10889.6,10901.6,10683.3,10510.4,10461.2
"12","4","  Farm","B359RC1",66.1,63.8,68.2,78.4,91.7,102.6,88.6,90.3,95.2,82.4,88.4,85.7,80.6,77.4,76.1,82.7,82,71.6,67.1,64,68.8,76.7,73.6,75.4,75.9,74.2,77.2,77.6,67,63.9,76.3,82,83.8,92.2,93.8,99.8,122.8,122.7,111.9,115.7,104.1,103.5,102.2,98.3,86.7,90.6,93.6,101.3,110,110.6,114.5,129.5,143.1,132.6,133,119.6,103.8,102.9
"13","5","Households and institutions","A193RC1",837.4,848.2,854.5,868.1,879.3,889.9,902.5,916.3,928.9,942.2,955.9,970,982.2,999.8,1020.3,1038.2,1053,1076.4,1088.6,1113.7,1130.5,1146.3,1164.6,1187.3,1206.2,1221.5,1245,1258.9,1278.2,1301.6,1303.4,1309,1332,1337.1,1333.7,1386,1389.5,1408.3,1440.8,1456.6,1477.2,1498.6,1513.9,1536.1,1570.4,1599.3,1619.6,1622,1648.7,1666.4,1697.6,1734.6,1761.5,1796.2,1812.4,1829.5,1823.9,1827.7
"14","6","  Households","B701RC1",483.9,490.2,492.6,502.1,508.6,515.6,523.4,531.4,539.6,547,554.6,562.4,569.2,578.3,589.9,598.1,610.1,622.1,633.5,648,659.4,666.7,676.7,691.1,699.6,712,730.8,735.7,741.1,753.2,745.4,744.3,759.3,757.6,747.6,786.2,787.4,795.9,813.6,827.3,845.9,859.4,866.9,885.3,906,924.3,938.4,930.4,947.4,958.3,981.7,1007.6,1025,1050.6,1057.1,1062,1063.4,1066.4
"15","7","  Nonprofit institutions serving households \3\","B702RC1",353.5,358,361.9,366,370.7,374.3,379.1,384.9,389.3,395.2,401.3,407.6,413,421.5,430.4,440.1,442.9,454.3,455,465.8,471.1,479.6,487.9,496.1,506.7,509.4,514.2,523.1,537.1,548.4,557.9,564.8,572.8,579.5,586.1,599.8,602.1,612.4,627.2,629.2,631.3,639.1,646.9,650.7,664.4,675,681.2,691.6,701.3,708.1,716,727,736.5,745.5,755.3,767.5,760.5,761.3
"16","8","General government \4\","A765RC1",878.6,882.5,886.7,891.2,902.3,908.6,914.3,919.9,931,937,943.5,949.7,959.3,967.2,977,986.7,1003.5,1014.5,1027.4,1040.9,1060.5,1074.4,1084.6,1095.6,1114.6,1131.3,1149,1163.7,1190.2,1202.7,1216.5,1236.3,1272.8,1289.5,1298.9,1307.6,1335.8,1352,1365.8,1383.7,1416.4,1428.4,1444.3,1456.8,1483.2,1501.6,1521.4,1541.6,1574.5,1593.4,1609.3,1629.9,1659.7,1679.5,1699.6,1715,1739.8,1757.9
"17","9","  Federal","A766RC1",286,283.8,283,281.6,287.6,287.9,287.8,286.9,291.2,290.4,290,288.5,291.7,291.8,292.4,293.1,299.5,299.3,300.3,302.4,312.3,316.3,316.2,315.5,320.6,322.9,326.4,329.8,348.4,350.1,350.8,358,378.7,383.1,384.2,385.7,405.4,410.9,413.9,417.9,437.5,436.9,439.5,441,455.8,459.7,462.4,464.7,480.7,484,487.3,490.9,505.3,511.8,518.5,525.2,543.8,553.6
"18","10","  State and local","A767RC1",592.7,598.7,603.7,609.6,614.7,620.7,626.5,633,639.9,646.5,653.5,661.2,667.6,675.4,684.5,693.6,704,715.2,727,738.5,748.2,758.1,768.4,780.1,794.1,808.3,822.5,833.8,841.8,852.6,865.7,878.3,894.1,906.3,914.7,921.9,930.3,941.2,952,965.8,978.9,991.5,1004.8,1015.7,1027.5,1041.9,1059,1076.9,1093.8,1109.3,1122,1139,1154.4,1167.7,1181.1,1189.7,1196,1204.3
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009C1",630.9,638.6,641.3,652,658.7,666.2,675.5,684.7,695.1,704.2,713,721.9,728.5,738.7,752.3,761.6,776.5,790.9,804.4,821.5,833.8,841.7,853.5,870.6,881,895.3,917.8,923.6,930,943.5,931,925.4,938.4,932.7,917.5,964.3,966.8,977,998.1,1012.8,1033.1,1047.7,1056.1,1079.2,1104.9,1127.8,1146.7,1143.7,1166.8,1185.6,1217.5,1251.8,1274.6,1306.2,1318.3,1326.9,1330,1334.9
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
