"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"21","11","      Clothing and footwear","DCLORY2",-0.04,0.13,0.22,0.01,0.08,0.31,0.21,0.08,0.01,-0.11,0.39,0.15,0.25,0.2,-0.09,0.27,0.42,0.1,0.08,0.03,0.18,0.25,0.12,0.1,-0.18,0.07,-0.01,0.18,0.12,0,-0.06,0.32,0.01,0.28,0.26,0,0.27,-0.12,0.14,0.21,0.15,0.23,0.01,0.31,0.14,-0.07,0.14,0.17,0.19,-0.02,0.11,0.05,-0.04,0.16,-0.27,-0.21,-0.04,-0.16
"22","12","      Gasoline and other energy goods","DGOERY2",0.18,0.06,-0.08,0.01,0.1,0.05,0,-0.02,0.05,0.1,0.03,0.03,0.06,0.1,0.06,0.02,0.04,0.13,-0.08,0.04,-0.26,0.15,0.03,-0.05,0.03,-0.1,0.14,0.02,-0.02,0.07,0.04,0,0.01,0.08,0.14,0.08,-0.03,0.02,-0.05,0.02,0.11,-0.1,-0.12,-0.08,-0.13,0.03,0.1,0,0.05,-0.01,0.01,-0.1,-0.23,-0.11,-0.42,0.27,0.17,-0.03
"23","13","      Other nondurable goods","DONGRY2",0.14,0.24,0.08,0.2,0.12,0.36,0.29,0.38,0.17,0.17,0.44,0.25,0.17,0.27,0.33,0.38,0.4,0.12,0.11,0.86,-0.24,0.53,0.24,0.35,-0.14,0.18,0.25,0.29,0.24,-0.04,0.11,0.27,0.35,0.11,0.49,0.27,-0.03,0.23,0.25,0.14,0.16,0.18,0.07,0.22,0.35,0.06,0.1,0.43,0.14,0.03,0.11,0.1,-0.27,0.27,0.04,-0.43,0.12,-0.45
"24","14","  Services","DSERRY2",0.79,1.53,1.23,0.98,1.7,1.19,0.94,1.03,1.41,1.19,2.05,1.75,1.92,2.12,2.13,1.24,1.47,1.97,2.12,2.19,2.65,2.09,1.63,1.55,0.82,0.75,0.47,0.79,1.17,0.95,0.63,0.71,0.74,0.92,1.28,1.07,1.69,1.11,1.25,2,1.16,1.32,1.25,0.99,1.32,1.33,0.92,1.4,1.61,0.76,0.6,0.15,0.85,0.17,-0.6,0.26,-0.13,0.04
"25","15","    Household consumption expenditures (for services)","DHCERY2",0.76,1.47,1.2,0.86,1.5,1.11,0.89,1.18,1.73,1.23,2.06,1.67,1.74,1.94,1.91,1.03,1.42,1.92,2.07,2.11,2.45,2.06,1.39,1.35,0.79,0.61,0.35,0.64,1.04,0.78,0.34,0.52,0.76,0.82,1.3,1.1,1.67,1.17,1.29,1.96,1.31,1.32,1.27,0.88,1.12,1.04,0.59,1.38,1.69,0.88,0.34,-0.14,0.7,0.13,-0.79,0.06,0.34,0.18
"26","16","      Housing and utilities","DHUTRY2",0.2,0.59,0.49,0.05,0.51,0.1,-0.1,0.44,0.17,0.44,0.3,0.66,0.08,0.6,0.4,-0.01,0.55,0.5,0.52,0,0.22,0.63,0.41,0.77,0.24,-0.06,0.2,-0.04,0.01,0.22,0.09,0.3,0.13,0.1,0,0.33,0.27,0.27,0.27,0.81,0.62,0.67,0.52,0.26,-0.13,0.58,0.3,-0.16,0.21,0.03,0.14,-0.04,0.33,0.11,-0.18,0.46,0.02,-0.11
"27","17","      Health care","DHLCRY2",0.25,0.18,0.23,0.18,0.02,0.38,0.14,0.48,0.21,0.21,0.4,0.36,0.47,0.18,0.18,0.03,0.08,0.15,0.3,0.35,0.21,0.49,0.25,0.39,0.54,0.43,0.56,0.62,0.78,0.57,0.31,0.21,0.19,0.11,0.25,0.23,0.28,0.45,0.55,0.36,0.51,0.21,0.33,0.18,0.32,0.06,-0.11,0.37,0.53,0.2,0.18,0.3,0.65,0.28,-0.06,0.19,0.37,0.24
"28","18","      Transportation services","DTRSRY2",0.12,0.11,0.2,0.21,0.24,0.16,0.17,0.2,0.29,0.13,0.16,0.04,0.1,0.13,0.12,0.13,0.14,0.13,0.21,0.12,0.14,0.11,0.07,0.03,0.01,-0.05,-0.19,-0.17,0.02,-0.09,-0.01,0.01,0.02,-0.04,0.11,0.04,0.07,0.08,0.02,0.05,0,0.03,0.03,-0.07,-0.06,0.05,-0.01,0.09,0.05,0.01,-0.03,-0.07,-0.17,-0.15,-0.11,-0.17,-0.15,0
"29","19","      Recreation services","DRCARY2",0.22,0.25,0.15,0.16,0.03,0.11,0.15,0.02,0.1,0.07,0.04,0.1,0.12,0.01,0.13,0.09,0.09,0.16,0.22,0.12,-0.01,0.09,0.02,-0.02,0.08,-0.11,-0.06,-0.01,0.07,0.02,0.03,0.11,-0.02,0.14,0.16,0.15,0.18,0.11,0.05,0.02,0.1,0.01,0.01,0.06,0.12,0.05,0.13,0.22,0.08,0.04,0.08,0,-0.01,0.04,-0.08,-0.1,0.05,-0.02
"30","20","      Food services and accommodations","DFSARY2",-0.12,0.03,0.02,-0.03,0,0.09,0.03,0.15,0.17,0,0.18,-0.11,0.18,0.2,0.06,0.23,-0.05,0.1,0.07,0.39,0.27,0.15,0.06,-0.05,0.12,-0.16,-0.09,-0.02,0.24,0.13,0.03,0.03,0.12,0.25,0.32,0.11,0.12,0,0.09,0.16,0.09,0.25,0.09,0.18,0.36,-0.19,0,0.18,0.03,0.04,0.05,0.09,-0.1,0.11,-0.11,-0.35,-0.07,-0.09
"31","21","      Financial services and insurance","DIFSRY2",-0.04,0.22,0.19,0.14,0.34,0.21,-0.08,0.22,0.21,0.05,0.52,0.11,0.24,0.49,0.45,0.47,0.23,0.57,0.47,0.77,1.12,0.09,0.09,0.08,-0.3,0,-0.07,0.39,-0.2,-0.15,0.05,-0.19,-0.19,0.18,0.26,0.28,0.46,0.12,0.13,0.52,-0.11,0.24,0.21,0.07,0.21,0.16,0.13,0.4,0.43,0.42,0.08,-0.25,-0.13,-0.07,-0.16,-0.24,0.03,0.16
"32","22","      Other services","DOTSRY2",0.13,0.11,-0.09,0.16,0.36,0.07,0.57,-0.34,0.59,0.34,0.46,0.52,0.55,0.31,0.58,0.08,0.37,0.32,0.28,0.36,0.5,0.5,0.49,0.15,0.09,0.55,0,-0.13,0.12,0.08,-0.15,0.04,0.51,0.09,0.2,-0.04,0.3,0.15,0.17,0.04,0.1,-0.1,0.09,0.19,0.28,0.32,0.15,0.28,0.36,0.14,-0.16,-0.17,0.13,-0.18,-0.09,0.27,0.1,0
"33","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRY2",0.03,0.05,0.03,0.12,0.2,0.08,0.05,-0.15,-0.32,-0.04,0,0.08,0.18,0.18,0.22,0.21,0.05,0.05,0.05,0.08,0.2,0.03,0.24,0.19,0.04,0.14,0.12,0.15,0.13,0.17,0.29,0.19,-0.02,0.1,-0.02,-0.03,0.03,-0.06,-0.04,0.04,-0.15,0.01,-0.03,0.12,0.2,0.29,0.34,0.01,-0.08,-0.12,0.26,0.28,0.15,0.05,0.18,0.2,-0.46,-0.14
"34","24","      Gross output of nonprofit institutions \2\","DNPERY2",-0.07,0.09,0.09,0.18,0.11,0.29,0.16,0.26,-0.17,0.07,0.22,0.25,0.47,0.26,0.35,0.26,0.17,0.14,0.2,0.27,0.22,0.25,0.29,0.33,0.29,0.28,0.36,0.39,0.48,0.43,0.35,0.15,-0.03,0.05,0.04,0.07,0.17,0.16,0.25,0.21,0.04,0.02,0.07,0.18,0.35,0.23,0.15,0.19,0.3,0.01,0.13,0.34,0.44,0.17,0.07,0.24,-0.22,-0.07
"35","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRY2",-0.1,0.03,0.06,0.06,-0.09,0.21,0.11,0.41,0.15,0.11,0.22,0.17,0.29,0.08,0.13,0.05,0.12,0.09,0.15,0.19,0.02,0.22,0.05,0.13,0.26,0.14,0.25,0.24,0.34,0.26,0.07,-0.04,-0.01,-0.05,0.06,0.09,0.14,0.22,0.29,0.17,0.19,0.01,0.1,0.07,0.15,-0.05,-0.19,0.18,0.37,0.13,-0.14,0.06,0.29,0.12,-0.11,0.04,0.24,0.06
"36","26","Gross private domestic investment","A006RY2",0.69,-1.69,-0.59,1.68,0.76,3.18,3.13,-0.19,1.47,4.14,1.21,1.07,3.22,-0.82,1.96,2.24,2.16,-0.26,1.76,2.53,-0.99,4.91,-1.14,0.04,-3.73,-0.19,-1.37,-3.71,2.09,0.77,0.15,-0.03,0.01,0.38,2.28,2.32,0.35,2.79,0.88,1.4,1.47,-1.23,0.76,2.46,1.08,-0.11,-0.99,-1.99,-1.05,0.92,0.14,-1.29,-1.2,-1.66,-1.04,-3.91,-8.98,-2.64
"37","27","  Fixed investment","A007RY2",1.31,-0.26,0.76,1.23,1.51,1.98,1.41,1.03,1.21,1.35,2.4,0.51,1.87,2.2,1.21,1.99,1.19,1.53,1.56,0.4,1.97,1.76,0.23,0.19,-0.44,-1.08,-0.7,-1.65,-0.54,-0.23,-0.1,-0.5,0,1.54,1.99,1.12,-0.12,1.93,1.36,1.1,0.81,1.17,0.86,0.25,1.57,-0.32,-0.86,-0.91,-0.43,0.59,-0.04,-0.66,-0.99,-0.41,-1.3,-3.28,-6.62,-1.82
"38","28","    Nonresidential","A008RY2",1.69,0.27,0.27,0.85,1.07,1.26,1.46,1.21,1.15,1.13,2.32,0.34,1.57,1.68,0.69,1.56,1.08,1.33,1.41,0.17,1.83,1.89,0.55,0.17,-0.52,-1.33,-0.8,-1.49,-1.03,-0.69,-0.21,-0.79,-0.19,1.08,0.95,0.54,-0.31,1.09,1.12,0.92,0.38,0.61,0.61,0.25,1.84,0.8,0.49,0.27,0.46,1.25,1.1,0.78,0.25,0.19,-0.73,-2.47,-5.29,-0.94
"39","29","      Structures","A009RY2",0.27,0.22,0.08,-0.09,0.2,0.25,0.14,0.59,0.11,-0.1,0.45,0.09,-0.13,0.66,0.01,-0.02,-0.05,-0.15,-0.01,0.15,0.23,0.52,0.47,0.05,-0.37,0.05,0.07,-1.26,-0.65,-0.61,-0.48,-0.15,-0.1,0.3,-0.02,-0.05,-0.06,0.12,0.1,0.01,0.19,-0.04,-0.24,0.07,0.52,0.63,0.32,0.05,0.5,0.75,0.91,0.42,0.27,0.56,0,-0.31,-2.28,-0.34
"40","30","      Equipment and software","A010RY2",1.42,0.05,0.19,0.95,0.86,1.01,1.32,0.62,1.04,1.23,1.87,0.25,1.7,1.03,0.68,1.57,1.13,1.48,1.42,0.02,1.6,1.37,0.07,0.12,-0.16,-1.38,-0.87,-0.22,-0.38,-0.08,0.26,-0.64,-0.09,0.78,0.97,0.59,-0.25,0.97,1.02,0.91,0.19,0.65,0.84,0.18,1.32,0.17,0.17,0.22,-0.04,0.51,0.19,0.36,-0.02,-0.38,-0.73,-2.15,-3.01,-0.59
"41","31","        Information processing equipment and software","A679RY2",0.6,0.66,0.28,0.79,0.73,0.61,0.68,0.5,0.93,0.86,1.15,0.57,1,0.64,0.48,0.94,0.87,1.24,0.8,0.16,1.2,0.96,0.33,0.58,-0.08,-0.81,-0.47,-0.16,-0.05,0.16,0.29,-0.38,0.35,0.19,0.83,0.67,0.05,0.26,0.29,0.31,0.21,0.3,0.33,0.15,0.59,0.1,0.34,0.11,0.46,0.19,0.32,0.53,0.39,0.26,-0.17,-0.7,-0.79,-0.16
"42","32","          Computers and peripheral equipment","B935RY2",0.33,0.51,0.28,0.53,0.31,0.28,0.32,0.23,0.4,0.43,0.49,0.19,0.55,0.37,0.22,0.42,0.52,0.48,0.19,-0.05,0.22,0.44,0.14,0.07,0.16,-0.24,-0.24,0.19,0.16,-0.06,0.14,-0.05,0.09,0.01,0.16,0.18,-0.06,0.07,0.11,0.14,-0.05,0.08,0.11,0.18,0.16,0.09,0.16,0.01,0.18,0.02,0.13,0.2,0.12,0.03,-0.19,-0.19,-0.08,0.02
"43","33","          Software \4\","B985RY2",0.06,0.12,0.14,0.16,0.17,0.18,0.18,0.25,0.48,0.26,0.32,0.32,0.2,0.19,0.28,0.34,0.29,0.45,0.37,0.22,0.24,0.2,0.02,0.23,0.06,-0.17,-0.09,-0.22,0.06,0.18,0.16,-0.17,0.15,0.07,0.39,0.26,0.09,0.05,0.21,0.2,0.03,0.17,0.04,0.01,0.07,0.07,0.11,0.13,0.07,0.12,0.11,0.2,0.22,0.09,-0.06,-0.17,-0.47,-0.22
"44","34","          Other","A937RY2",0.22,0.04,-0.14,0.1,0.25,0.15,0.17,0.02,0.06,0.16,0.34,0.05,0.25,0.07,-0.01,0.19,0.06,0.3,0.25,-0.02,0.74,0.32,0.17,0.28,-0.29,-0.4,-0.15,-0.13,-0.27,0.04,0,-0.15,0.11,0.1,0.29,0.23,0.02,0.14,-0.04,-0.03,0.23,0.04,0.17,-0.04,0.36,-0.07,0.06,-0.03,0.22,0.05,0.08,0.12,0.05,0.14,0.07,-0.34,-0.24,0.03
"45","35","        Industrial equipment","A680RY2",0.29,0.1,0.05,-0.06,0.16,0.13,-0.07,0.08,-0.03,0.13,0.04,0.02,0.34,-0.06,-0.14,0.03,-0.01,0.09,0.08,0.01,0.29,0.17,0.12,-0.1,0.02,-0.45,-0.25,-0.16,0.05,-0.14,0.06,-0.03,-0.02,0.2,-0.14,-0.14,-0.2,0.11,0.15,0.1,0.12,-0.06,0.2,0.2,-0.06,0.34,-0.05,0.03,-0.1,0.45,-0.03,-0.22,0.02,-0.02,-0.15,-0.2,-0.82,-0.18
"46","36","        Transportation equipment","A681RY2",0.39,-0.67,-0.12,0.17,-0.07,0.19,0.57,0,0.02,0.16,0.35,-0.4,0.13,0.29,0.36,0.69,0.07,0.23,0.46,-0.27,-0.05,0.1,-0.28,-0.36,-0.18,0.04,-0.25,0.26,-0.31,-0.28,-0.08,-0.23,-0.49,0.38,0.06,-0.01,-0.05,0.48,0.41,0.4,-0.22,0.19,0.31,-0.22,0.62,-0.26,-0.01,0.05,-0.22,-0.3,-0.18,0,-0.27,-0.58,-0.54,-0.87,-0.92,0.14
"47","37","        Other equipment","A862RY2",0.14,-0.04,-0.02,0.05,0.05,0.07,0.14,0.05,0.13,0.09,0.33,0.06,0.23,0.16,-0.03,-0.09,0.19,-0.08,0.06,0.12,0.15,0.13,-0.09,0,0.08,-0.15,0.1,-0.16,-0.07,0.18,-0.01,-0.01,0.07,0.01,0.22,0.06,-0.05,0.12,0.18,0.11,0.08,0.23,0.01,0.04,0.17,-0.01,-0.11,0.03,-0.18,0.16,0.08,0.05,-0.16,-0.04,0.13,-0.38,-0.48,-0.39
"48","38","    Residential","A011RY2",-0.38,-0.53,0.49,0.37,0.44,0.72,-0.05,-0.18,0.06,0.21,0.08,0.17,0.3,0.51,0.53,0.43,0.11,0.2,0.15,0.23,0.14,-0.12,-0.32,0.02,0.08,0.25,0.1,-0.16,0.49,0.46,0.11,0.29,0.19,0.46,1.04,0.57,0.19,0.83,0.24,0.18,0.43,0.56,0.25,0.01,-0.27,-1.12,-1.36,-1.18,-0.89,-0.66,-1.14,-1.44,-1.24,-0.6,-0.57,-0.81,-1.33,-0.88
"49","39","  Change in private inventories","A014RY2",-0.62,-1.43,-1.35,0.45,-0.74,1.2,1.72,-1.22,0.25,2.8,-1.19,0.56,1.36,-3.02,0.75,0.25,0.98,-1.79,0.19,2.14,-2.97,3.14,-1.37,-0.14,-3.28,0.89,-0.67,-2.06,2.63,1.01,0.26,0.47,0.01,-1.16,0.29,1.2,0.46,0.87,-0.48,0.3,0.66,-2.39,-0.09,2.21,-0.49,0.22,-0.13,-1.08,-0.61,0.32,0.19,-0.63,-0.21,-1.25,0.26,-0.64,-2.36,-0.83
"50","40","    Farm","B018RY2",-0.34,-0.33,-0.52,0.89,0.08,0.44,0.89,-1.05,-0.49,0.78,0.07,-0.1,0,-0.35,0.2,-0.06,-0.09,0.13,-0.42,0.28,-0.58,0.93,-0.31,0.33,-0.06,-0.32,0.2,-0.24,0.32,-0.56,0.31,0.07,0.14,-0.17,0.06,-0.1,0.2,0.5,-0.34,-0.11,-0.35,0.23,0.14,-0.06,0.04,-0.36,0.06,0.08,0.27,-0.31,0.06,0.03,-0.29,0.34,-0.09,0.1,0.05,0.07
"51","41","    Nonfarm","A015RY2",-0.28,-1.1,-0.83,-0.43,-0.82,0.76,0.83,-0.17,0.75,2.01,-1.26,0.66,1.36,-2.67,0.55,0.31,1.07,-1.91,0.62,1.86,-2.39,2.21,-1.06,-0.48,-3.22,1.21,-0.87,-1.82,2.31,1.57,-0.06,0.4,-0.13,-0.99,0.23,1.3,0.27,0.37,-0.14,0.4,1,-2.63,-0.23,2.27,-0.53,0.58,-0.19,-1.15,-0.88,0.64,0.13,-0.66,0.08,-1.59,0.35,-0.74,-2.41,-0.89
"52","42","Net exports of goods and services","A019RY2",-0.28,0.12,1.72,0.03,-0.99,-0.3,-1.18,1.8,-1.19,0.18,-0.72,-1.16,-1.66,-1.66,-0.86,0.02,-1.59,-1.14,-0.8,-0.22,-1.53,-0.5,-0.98,-0.3,0.3,0.33,-0.79,-0.48,-0.7,-0.76,-0.63,-1.37,0.34,-0.9,0.39,-0.29,-0.54,-1.73,-0.59,-0.65,0.39,0.19,-0.36,-0.74,0.44,0.02,-0.71,1.94,-0.29,0.66,1.36,2.24,0.36,2.35,-0.1,0.45,2.64,1.38
"53","43","  Exports","A020RY2",0.74,0.58,1.88,0.65,0.58,0.78,0.38,2.74,0.87,1.81,1.09,-0.07,0.22,-0.51,-0.19,1.61,-0.33,0.48,1.11,1.08,0.74,1.26,1.07,-0.34,-0.56,-1.39,-2.1,-1.09,0.58,1,0.26,-0.39,-0.35,-0.12,1,1.73,0.91,0.61,0.29,0.9,0.75,0.87,0.01,1.03,1.64,0.72,0.06,1.84,0.39,0.58,1.99,1.65,-0.02,1.47,-0.48,-2.67,-3.95,-0.76
