"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"21","14","    Personal interest income","A064RC1",751.9,784.4,835.8,919.3,910.9,984.2,976.5,911.9,889.8,860.2,987,1127.5,1266.4,1308
"22","15","    Personal dividend income","B703RC1",253.4,296.4,329.7,349.8,335.9,376.5,369.5,397.7,423.1,548.3,555,702.2,765.1,686.4
"23","16","  Personal current transfer receipts","A577RC1",878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1282.1,1341.7,1415.5,1508.6,1605,1718,1875.9
"24","17","    Government social benefits to persons","A063RC1",860.2,901.2,929.8,951.9,987.6,1040.6,1141.3,1247.9,1316,1398.6,1482.7,1583.6,1687.8,1843.2
"25","18","      Old-age, survivors, disability, and health insurance benefits","B222RC1",508.9,536.9,563.5,574.7,588.6,620.5,667.7,706.1,740.4,790.2,844.7,943.3,1003.7,1070.3
"26","19","      Government unemployment insurance benefits","B223RC1",21.4,22,19.9,19.5,20.3,20.6,31.7,53.2,52.8,36,31.3,29.9,32.3,50.6
"27","20","      Veterans benefits","B224RC1",20.9,21.7,22.6,23.5,24.3,25.2,26.8,29.8,32.2,34.5,36.8,39.3,42.1,45.6
"28","21","      Family assistance \1\","B226RC1",22.6,20.3,17.9,17.4,17.9,18.4,18.1,17.7,18.4,18.4,18.2,18.2,18.5,18.9
"29","22","      Other","B227RC1",286.4,300.3,306,316.8,336.4,355.9,397.1,441.1,472.3,519.6,551.7,552.9,591.2,657.9
"30","23","    Other current transfer receipts, from business (net)","B931RC1",18.7,22.9,19.4,26,34,42.4,46.8,34.2,25.7,16.9,25.8,21.4,30.2,32.6
"31","24","  Less: Contributions for government social insurance, domestic","A061RC1",532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,778.9,827.3,872.7,921.8,959.3,990.6
"32","25","Less: Personal current taxes","W055RC1",743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.4,1000.3,1047.8,1208.6,1352.4,1490.9,1432.4
"33","26","Equals: Disposable personal income","A067RC1",5457,5759.6,6074.6,6498.9,6803.3,7327.2,7648.5,8009.7,8377.8,8889.4,9277.3,9915.7,10403.1,10806.4
"34","27","Less: Personal outlays","A068RC1",5170.8,5478.5,5794.2,6157.5,6595.5,7114.1,7443.5,7727.5,8088,8585.7,9149.6,9680.7,10224.3,10520
"35","28","  Personal consumption expenditures","DPCERC1",4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2,7804,8285.1,8819,9322.7,9826.4,10129.9
"36","29","  Personal interest payments \2\","B069RC1",130.6,147.3,159.7,169.5,176.5,200.3,203.7,191.3,182.7,190.3,210.8,230.1,256.8,237.7
"37","30","  Personal current transfer payments","W211RC1",52.9,57.6,63.9,69.5,76.2,83.4,91,97,101.3,110.3,119.8,128,141,152.3
"38","31","    To government","W062RC1",32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.2,66.7,71.4,76.4,82.3,87.9
"39","32","    To the rest of the world (net)","B070RC1",20.3,22.6,25.7,29.7,32.2,34.6,38.1,40.6,41.2,43.6,48.4,51.6,58.7,64.5
"40","33","Equals: Personal saving","A071RC1",286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2,289.8,303.7,127.7,235,178.9,286.4
"41","34","  Personal saving as a percentage of disposable personal income","A072RC1",5.2,4.9,4.6,5.3,3.1,2.9,2.7,3.5,3.5,3.4,1.4,2.4,1.7,2.7
"42",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","  Personal income excluding current transfer receipts, billions of chained (2005) dollars \3\","W875RX1",6487,6761,7086.5,7595,7864.8,8327.8,8411.1,8387.2,8493.1,8776.4,8977.3,9404.8,9645.4,9504.6
"44",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","36","    Total, billions of chained (2005) dollars \3\","A067RX1",6651.6,6870.9,7113.5,7538.8,7766.7,8161.5,8360.1,8637.1,8853.9,9155.1,9277.3,9650.7,9860.6,9911.3
"46",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","      Current dollars","A229RC0",20470,21355,22255,23534,24356,25945,26809,27806,28816,30303,31338,33183,34478,35486
"48","38","      Chained (2005) dollars","A229RX0",24951,25475,26061,27299,27805,28899,29303,29984,30454,31209,31338,32296,32679,32546
"49","39","  Population (midperiod, thousands)","B230RC0",266588,269714,272958,276154,279328,282413,285294,288055,290729,293348,296036,298820,301737,304529
"50",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","40","    Disposable personal income, current dollars","A067RP1",5.3,5.5,5.5,7,4.7,7.7,4.4,4.7,4.6,6.1,4.4,6.9,4.9,3.9
"52","41","    Disposable personal income, chained (2005) dollars","A067RL1",3,3.3,3.5,6,3,5.1,2.4,3.3,2.5,3.4,1.3,4,2.2,0.5
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Consists of aid to families with dependent children and, beginning with 1996, assistance programs operating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
