"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"23","16","        Light trucks (including utility vehicles)","B196RC1",42.6,57.3,69.3,76.2,89.1,88.3,81.1,77,77.1,88.8,98.8,107.3,105.4,77.4
"24","17","        Other","B197RC1",29,25.6,23.8,30,34.2,29.6,21,21.3,21,29.3,36.4,40.8,26.8,21.1
"25","18","    Net purchases of used autos and used light trucks","W242RC1",-45.9,-54.3,-56.4,-65.5,-72.5,-75,-73,-71.5,-65.3,-63.1,-65,-66.3,-71.1,-69.6
"26","19","      Used autos","B140RC1",-33,-36.1,-36.5,-39,-39.4,-39.8,-36.8,-35.2,-32.2,-31.3,-32.7,-32.3,-32.2,-32.2
"27","20","      Used light trucks (including utility vehicles)","W243RC1",-13,-18.3,-19.9,-26.5,-33.1,-35.2,-36.1,-36.4,-33.1,-31.8,-32.3,-34,-38.9,-37.4
"28","21","  Gross government investment","AB64RC1",9.7,9.7,10.3,11.2,12,12.6,12.8,13.1,14,14,15.1,16.9,16,16.1
"29","22","    Autos","B144RC1",3.6,3.4,3.2,3.4,3.5,3.4,3.4,3.3,3.2,3.2,3.5,3.8,3.9,3.7
"30","23","    Trucks","B708RC1",6.1,6.2,7.1,7.8,8.6,9.2,9.3,9.8,10.7,10.9,11.6,13,12.1,12.4
"31","24","  Net exports","AB63RC1",-52.6,-54.1,-60.7,-68.1,-91,-101.7,-100.5,-104.5,-101.9,-106.7,-102.1,-110.8,-96.4,-76.3
"32","25","    Exports","AB69RC1",23.9,25.2,26.9,25.9,25.3,26.1,25.4,28.9,32.3,36.5,44,49.1,60.8,65.3
"33","26","      Autos","B142RC1",12.1,12.6,12.4,12.1,11.8,12.2,13.2,14.9,15.8,16.5,20.4,23.9,31.7,37.2
"34","27","      Trucks","B706RC1",11.8,12.6,14.5,13.8,13.5,13.9,12.2,14,16.6,20.1,23.6,25.2,29,28.1
"35","28","    Imports","AB70RC1",76.5,79.3,87.7,94,116.3,127.8,125.9,133.4,134.3,143.2,146.1,159.9,157.2,141.6
"36","29","      Autos","B143RC1",48.4,45.3,50.8,53.1,63.6,69.4,67.9,72.7,70.6,71.7,69.6,77.1,76.6,77.7
"37","30","      Trucks","B707RC1",28.1,33.9,36.8,40.9,52.7,58.4,58,60.7,63.7,71.5,76.5,82.8,80.6,63.9
"38","31","Change in private inventories","AB65RC1",4.7,-0.5,4.8,0,11.6,10.5,-13.6,13.1,7.8,4.4,-3.6,-3.7,-7.7,-8.8
"39","32","  Autos","A145RC1",1.6,-1.6,2.2,2.8,2.4,4.1,-4,7.5,-1.3,-0.9,-2.2,0.9,-4.6,4.5
"40","33","    New","B146RC1",0.5,-3.7,1,2,1.2,1.2,-6.5,7.8,-1.3,-1.4,-1.2,2.6,-3.5,6.2
"41","34","      Domestic","AB71RC1",1.2,-2,0.8,1.1,-0.1,0.7,-7.2,6.6,-1.1,-0.4,-0.7,1.4,-2.7,4.2
"42","35","      Foreign","AB72RC1",-0.7,-1.6,0.2,1,1.2,0.5,0.6,1.2,-0.2,-1,-0.5,1.2,-0.9,2
"43","36","    Used","B147RC1",1.1,2.1,1.2,0.7,1.3,2.9,2.5,-0.3,0,0.5,-1,-1.7,-1.1,-1.7
"44","37","  Trucks","B709RC1",3.1,1,2.6,-2.8,9.2,6.4,-9.6,5.6,9.1,5.3,-1.4,-4.7,-3.2,-13.3
"45","38","    New","W244RC1",3,-0.6,3.3,-2.4,8.4,4.5,-11.3,5.8,9,4.8,0,-2.7,-2.9,-12.8
"46","39","      Domestic","AB73RC1",3.2,-0.8,2.7,-2.3,7.9,3.6,-10.7,4.4,8.9,4.9,-0.6,-3.4,-2.1,-13.9
"47","40","      Foreign","AB74RC1",-0.3,0.1,0.5,-0.1,0.4,0.9,-0.5,1.4,0.1,-0.1,0.6,0.8,-0.8,1
"48","41","    Used \1\","W245RC1",0.2,1.7,-0.7,-0.4,0.8,1.9,1.7,-0.2,0.1,0.5,-1.5,-2,-0.3,-0.5
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","  Final sales of motor vehicles to domestic purchasers","AB75RC1",325.7,348.1,375.7,408.4,454.7,460.6,463.7,478.5,476.3,501.2,524.7,527.2,508,406.3
"51","43","  Private fixed investment in new autos and new light trucks","AB76RC1",112.7,131.3,144,151.9,171.3,171.9,160.8,155.9,148.5,161.4,176.5,189.3,188.5,148.8
"52","44","  Domestic output of new autos \2\","B148RC1",110.2,112,110.4,109.4,113.5,115.8,107.2,110.6,96.4,96.3,107.8,109.2,105.7,100.9
"53","45","  Sales of imported new autos \3\","B149RC1",56,55.3,60.2,67.2,77.4,82.5,80.4,85.7,82.3,84.4,86.4,96.2,99.6,88.9
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
