"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","          Value added","W102RG3",68.182,68.388,68.716,69.61,70.512,70.255,70.725,71.189,71.878,72.191,72.46,72.886,73.341,73.681,74.166,74.792,75.904,76.713,77.411,78.065,79.067,79.37,80.327,81.024,81.87,82.532,83.338,84.103,85.488,85.919,86.538,87.827,89.931,90.858,91.525,92.131,93.885,94.905,95.694,96.6,98.709,99.561,100.477,101.253,103.178,104.274,105.027,106.061,108.074,109.006,109.591,110.532,111.779,112.512,113.106,113.603,114.907,115.344
"12","4","            Compensation of general government employees","A194RG3",65.544,65.721,66.068,67.03,68.047,67.758,68.275,68.795,69.567,69.894,70.213,70.65,71.213,71.59,72.112,72.795,74.035,74.885,75.636,76.303,77.349,77.625,78.656,79.427,80.38,81.111,82.037,82.919,84.512,84.994,85.692,87.15,89.532,90.601,91.362,92.072,94.027,95.011,95.667,96.458,98.774,99.596,100.443,101.186,103.32,104.302,104.989,105.978,108.053,109.019,109.586,110.531,111.849,112.507,113.001,113.409,114.89,115.51
"13","5","            Consumption of general government fixed capital \2\","A265RG3",85.03,85.425,85.621,86.034,86.155,86.116,86.264,86.343,86.472,86.69,86.632,86.98,86.719,86.815,87.059,87.31,87.584,88.125,88.488,89.053,89.775,90.254,90.739,90.963,91.141,91.362,91.421,91.447,91.531,91.648,91.766,92.005,92.375,92.424,92.512,92.488,93.027,94.267,95.867,97.455,98.327,99.352,100.673,101.648,102.363,104.119,105.245,106.539,108.193,108.934,109.619,110.534,111.394,112.543,113.692,114.679,115.012,114.448
"14","6","          Intermediate goods and services purchased \3\","W104RG3",75.063,75.766,76.022,76.29,76.832,77.418,77.717,78.441,78.855,78.627,78.748,79.267,78.795,78.84,78.902,79.052,79.263,80.075,80.969,81.852,83.431,83.867,84.692,85.617,86.148,86.108,85.752,85.001,85.31,86.316,86.95,87.834,89.968,89.416,90.036,90.563,91.9,93.057,94.337,96.148,97.466,98.799,100.884,102.852,103.468,105.112,105.932,105.494,106.816,108.719,109.672,112.293,114.862,118.358,120.399,114.274,111.209,111.524
"15","7","            Durable goods","W105RG3",102.872,103.122,103.192,103.553,103.562,103.169,102.633,102.726,102.656,102.49,102.177,101.937,101.575,101.261,100.751,100.79,100.554,100.091,99.737,99.895,99.948,99.733,99.6,99.672,99.001,99.053,98.653,98.376,98.316,98.228,97.969,97.92,98.002,98.02,97.893,97.906,98.211,98.562,98.753,99.233,99.79,99.976,100.088,100.145,100.739,101.607,102.214,102.576,102.424,102.217,102.132,102.247,102.653,103.123,103.902,104.47,104.581,104.63
"16","8","            Nondurable goods","W106RG3",66.146,67.345,67.113,67.26,68.727,70.026,69.878,71.56,71.371,69.492,69.003,69.429,67.466,66.96,66.238,65.878,65.657,67.984,70.242,72.012,75.614,76.291,77.798,79.226,78.322,78.25,76.497,73.175,72.922,75.079,75.945,77.918,83.498,79.442,80.281,81.219,83.891,86.301,88.354,93.005,94.733,97.01,102.13,106.127,105.411,109.261,109.563,105.781,107.732,112.435,113.945,121.729,128.833,138.348,141.88,116.138,105.471,107.765
"17","9","            Services","W107RG3",75.758,76.319,76.773,77.079,77.324,77.733,78.28,78.701,79.381,79.774,80.167,80.789,80.895,81.193,81.619,81.983,82.405,82.738,83.209,83.812,84.732,85.132,85.775,86.579,87.797,87.76,87.97,88.194,88.742,89.388,90.011,90.569,91.589,92.3,92.911,93.333,94.267,95.03,96.123,97.02,98.255,99.343,100.5,101.902,103.009,103.932,104.961,105.661,106.895,107.977,108.838,109.859,111.039,112.7,114.35,114.452,113.763,113.391
"18","10","        Less: Own-account investment \4\","W108RG3",72.315,72.846,73.283,73.947,74.564,74.497,74.808,75.339,75.894,76.17,76.527,76.957,77.161,77.463,77.891,78.302,78.957,79.931,80.791,81.488,82.535,83.017,83.942,84.689,85.349,85.985,86.517,86.748,87.585,88.164,88.782,89.554,91.249,91.624,92.266,92.753,94.158,95.18,96.049,97.045,98.583,99.444,100.513,101.459,102.677,103.733,104.573,105.145,106.53,107.536,108.316,109.322,110.627,111.828,113.043,112.64,112.29,112.733
"19","11","              Sales to other sectors","W109RG3",71.138,71.731,72.224,72.904,73.39,73.932,74.447,75.017,75.426,75.882,76.106,76.285,76.535,76.931,76.958,77.721,78.474,78.875,79.261,79.9,80.779,81.118,81.906,82.483,83.188,83.553,84.163,84.718,85.423,86.122,87.141,88.182,89.385,90.502,91.707,92.94,94.066,95.303,96.191,97.212,98.389,99.461,100.463,101.688,102.808,103.961,105.265,106.277,107.565,108.571,109.484,111.141,112.382,113.569,114.878,115.417,116.054,116.817
"20","12","Federal consumption expenditures \1\","A957RG3",69.909,69.904,70.183,71.644,72.593,72.302,72.681,73.257,74.106,74.193,74.343,74.803,75.19,75.329,75.601,75.729,76.762,77.264,77.784,78.368,79.97,79.711,80.872,81.298,81.813,82.057,82.646,83.314,85.636,85.865,85.901,87.022,89.833,90.096,90.419,90.786,93.602,94.831,95.421,96.057,99.082,99.654,100.491,100.774,103.419,104.56,104.813,104.964,107.429,108.473,108.595,109.336,111.011,112.3,112.805,111.453,112.046,112.267
"21","13","      Gross output of general government","W110RG3",69.893,69.891,70.173,71.617,72.569,72.297,72.677,73.282,74.13,74.205,74.355,74.808,75.195,75.333,75.508,75.729,76.761,77.269,77.798,78.384,79.986,79.74,80.906,81.327,81.842,82.088,82.677,83.34,85.656,85.887,85.928,87.036,89.839,90.106,90.431,90.798,93.608,94.835,95.428,96.061,99.079,99.652,100.501,100.768,103.406,104.54,104.801,104.954,107.412,108.451,108.579,109.327,111.003,112.279,112.805,111.402,111.968,112.192
"22","14","        Value added","W111RG3",64.832,64.562,64.793,66.799,68.121,67.563,67.917,68.515,69.64,69.722,69.809,70.252,71.012,71.119,71.235,71.453,73.033,73.586,74.024,74.534,76.445,75.874,77.257,77.481,78.033,78.259,79.006,80.093,83.671,83.517,83.154,84.563,88.316,88.631,88.822,89.172,93.297,94.651,94.94,95.254,99.592,99.719,100.366,100.323,104.436,105.305,105.01,105.501,109.392,110.281,109.926,110.213,112.221,112.44,112.15,111.954,114.569,114.511
"23","15","          Compensation of general government employees","B568RG3",58.329,57.919,58.185,60.573,62.246,61.56,61.998,62.748,64.209,64.292,64.435,64.928,65.97,66.021,66.146,66.364,68.271,68.841,69.28,69.789,71.983,71.241,72.885,73.15,73.87,74.075,75.011,76.456,81.023,80.845,80.362,82.021,86.737,87.087,87.284,87.73,92.733,94.144,94.29,94.416,99.641,99.726,100.441,100.192,105.188,105.924,105.28,105.881,110.7,111.722,111.156,111.36,113.855,113.793,113.24,113.084,116.555,116.564
"24","16","          Consumption of general government fixed capital \2\","B995RG3",89.281,89.582,89.656,90.085,90.018,89.96,89.979,89.975,89.799,89.881,89.756,90.006,89.705,90.019,90.1,90.322,90.688,91.183,91.619,92.135,93.015,93.079,93.495,93.574,93.519,93.825,93.88,93.649,93.597,93.515,93.6,94.076,94.213,94.399,94.574,94.563,95.376,96.517,97.342,98.366,99.407,99.693,100.099,100.801,101.761,103.099,104.028,104.136,104.829,105.261,105.623,106.183,106.562,107.719,108.309,107.98,107.664,107.375
"25","17","        Intermediate goods and services purchased \3\","W113RG3",78.214,78.759,79.138,79.396,79.576,79.894,80.319,80.923,81.206,81.266,81.53,81.994,81.641,81.844,82.135,82.363,82.318,82.733,83.426,84.138,85.143,85.506,86.246,87.01,87.44,87.712,88.025,87.992,88.299,89.141,89.805,90.472,91.869,92.066,92.571,92.958,94.012,95.072,96.057,97.109,98.412,99.572,100.68,101.336,102.105,103.564,104.529,104.27,104.902,106.155,106.895,108.209,109.474,112.015,113.499,110.689,108.807,109.371
"26","18","          Durable goods","W114RG3",98.662,98.852,98.77,99.158,99.374,98.893,98.148,98.338,98.386,98.42,98.218,97.788,97.7,97.651,97.266,97.402,97.413,97.129,96.927,97.234,97.729,97.534,97.532,97.484,97.372,97.582,97.359,97.267,97.334,97.216,97.114,97.31,97.755,97.897,97.759,97.786,98.114,98.532,98.76,99.182,99.851,100.049,100.084,100.016,100.659,101.855,102.643,102.97,102.533,101.976,101.673,101.691,101.949,102.317,102.873,103.289,103.122,103.039
"27","19","          Nondurable goods","W115RG3",64.996,65.904,65.986,66.842,68.299,69.223,69.909,72.716,72.099,70.019,69.485,70.193,67.845,67.05,66.524,66.365,65.308,67.749,70.401,73.509,76.777,76.709,79.26,81.773,78.753,78.436,77.609,73.985,73.227,76.516,77.701,79.105,84.205,80.903,80.986,80.806,81.894,86.333,89.399,93.742,93.85,98.199,103.177,104.775,104.31,108.912,109.987,105.769,105.277,109.932,111.734,119.028,123.241,135.485,138.501,114.816,104.308,108.93
"28","20","          Services","W116RG3",77.352,77.892,78.373,78.532,78.538,78.882,79.439,79.802,80.229,80.595,81.035,81.583,81.514,81.916,82.43,82.723,82.802,83.029,83.57,84.006,84.764,85.273,85.857,86.481,87.492,87.86,88.428,88.952,89.442,90.029,90.707,91.328,92.3,93.012,93.657,94.17,95.313,95.949,96.725,97.378,98.927,99.713,100.379,100.98,101.951,103.002,103.974,104.196,105.124,106.132,106.864,107.528,108.538,110.046,111.454,111.039,110.12,110.181
"29","21","      Less: Own-account investment \4\","W117RG3",66.617,66.619,67.117,68.631,69.602,68.967,69.321,70.06,71.006,71.493,72.058,72.705,73.235,73.617,74.213,74.478,75.345,76.22,77.079,77.442,78.897,78.954,80.703,81.258,81.542,82.194,83.159,84.034,86.724,86.702,86.777,87.028,89.991,90.496,90.962,91.216,94.593,95.951,96.497,96.666,99.263,99.576,100.519,100.641,103.046,104.105,104.529,104.585,107.287,108.197,108.357,108.474,110.247,110.724,110.977,110.993,110.119,110.35
"30","22","            Sales to other sectors","W118RG3",72.345,72.547,72.852,73.066,74.164,75.449,76.082,78.584,79.692,78.483,78.18,77.614,77.25,76.9,73.317,76.97,78.556,79.725,80.892,81.663,83.22,83.797,84.902,84.977,85.749,85.919,86.209,86.103,87.537,88.04,88.673,89.019,90.573,91.111,91.665,92.27,93.947,94.716,95.581,96.251,98.801,99.578,101.281,100.34,102.379,103.014,103.837,104.234,105.717,106.41,107.184,109.128,110.889,111.055,113.903,106.826,105.255,105.735
"31","23","    Defense consumption expenditures \1\","A997RG3",69.538,69.63,69.964,70.692,71.936,72.184,72.562,73.066,73.776,73.753,73.812,74.13,74.615,74.715,74.915,75.148,76.149,76.579,76.993,77.423,79.209,79.2,80.05,80.299,81.157,81.3,81.913,82.495,84.529,84.973,85.209,86.819,89.384,89.679,90.052,90.477,92.997,94.222,94.918,95.758,99.024,99.645,100.482,100.849,103.685,104.904,105.213,105.314,107.716,108.925,109.208,110.195,111.809,113.491,114.144,112.12,112.502,112.691
"32","24","      Gross output of general government","W085RG3",69.529,69.622,69.959,70.68,71.928,72.176,72.554,73.057,73.769,73.751,73.815,74.134,74.62,74.723,74.928,75.16,76.161,76.591,77.007,77.433,79.212,79.208,80.062,80.313,81.175,81.322,81.94,82.524,84.557,85,85.237,86.83,89.396,89.693,90.066,90.49,93.011,94.235,94.932,95.765,99.026,99.645,100.482,100.847,103.678,104.892,105.205,105.307,107.71,108.917,109.201,110.186,111.799,113.461,114.128,112.122,112.47,112.655
"33","25","        Value added","W086RG3",64.261,64.097,64.408,65.308,66.997,67.243,67.609,68.031,69.014,69.021,68.985,69.216,70.101,70.178,70.341,70.538,72.152,72.529,72.726,72.951,75.195,74.987,75.824,75.743,76.931,77.086,77.87,78.896,82.09,82.247,82.122,84.309,87.603,87.928,88.185,88.595,92.383,93.68,94.092,94.639,99.615,99.757,100.261,100.367,104.975,105.754,105.474,106.1,110.138,111.227,110.993,111.425,113.329,113.856,113.596,113.179,115.819,115.709
"34","26","          Compensation of general government employees","B237RG3",56.753,56.484,56.875,57.921,60.128,60.411,60.864,61.403,62.743,62.728,62.721,62.911,64.16,64.141,64.31,64.466,66.509,66.838,66.944,67.074,69.746,69.481,70.492,70.377,71.954,72.054,73.054,74.519,78.77,78.97,78.749,81.424,85.747,86.098,86.354,86.875,91.55,92.845,93.109,93.474,99.654,99.783,100.35,100.213,105.977,106.519,105.791,106.638,111.756,113.026,112.549,112.907,115.31,115.499,114.92,114.521,118.253,118.232
"35","27","          Consumption of general government fixed capital \2\","B432RG3",87.695,87.871,87.908,88.321,88.357,88.478,88.563,88.619,88.496,88.573,88.448,88.808,88.585,88.951,89.1,89.419,89.759,90.28,90.751,91.262,92.246,92.208,92.529,92.552,92.578,92.9,93.029,92.716,92.659,92.675,92.844,93.496,93.532,93.771,94.028,94.08,95.015,96.322,97.213,98.353,99.484,99.676,99.986,100.854,101.917,103.414,104.481,104.448,105.286,105.848,106.319,106.962,107.436,108.925,109.579,109.114,108.546,108.174
"36","28","        Intermediate goods and services purchased \3\","W087RG3",77.798,78.437,78.822,79.14,79.407,79.663,80.058,80.711,80.851,80.786,81.046,81.533,81.209,81.37,81.657,81.954,81.782,82.306,83.111,83.871,84.8,85.156,86.016,86.847,87.112,87.237,87.571,87.439,87.657,88.546,89.336,90.087,91.618,91.879,92.396,92.829,93.773,94.905,95.944,97.133,98.295,99.512,100.753,101.44,102.13,103.859,104.883,104.379,104.875,106.23,107.105,108.706,109.984,112.907,114.584,110.876,108.693,109.208
"37","29","          Durable goods","A998RG3",96.37,96.543,96.529,97.004,97.331,96.983,96.28,96.567,96.735,96.796,96.684,96.273,96.275,96.293,95.973,96.202,96.205,96.006,95.861,96.215,96.763,96.575,96.601,96.599,96.563,96.817,96.628,96.575,96.758,96.692,96.651,96.906,97.426,97.595,97.464,97.515,97.873,98.343,98.63,99.062,99.773,100.035,100.115,100.077,100.82,102.129,103.011,103.435,103.057,102.523,102.262,102.338,102.672,103.109,103.728,104.288,104.139,104.031
"38","30","          Nondurable goods","A725RG3",57.377,58.558,58.548,60.047,62.118,63.023,63.833,67.808,66.405,62.566,61.326,62.496,58.084,56.502,55.461,55.472,53.499,56.841,60.339,64.7,68.909,68.569,72.484,76.957,71.441,69.993,69.179,64.037,62.747,66.638,68.594,71.133,78.176,73.702,72.913,72.889,73.792,80.372,84.369,91.017,90.728,97.246,104.705,107.321,104.973,112.728,114.579,106.609,105.287,112.829,115.703,128.074,135.094,156.081,160.958,118.559,97.584,104.17
"39","31","          Services","A489RG3",76.708,77.389,77.898,78.064,78.134,78.436,79.017,79.383,79.686,80.012,80.506,81.089,81.171,81.568,82.142,82.5,82.515,82.863,83.52,83.889,84.45,85.026,85.677,86.254,87.269,87.573,88.16,88.628,89.022,89.7,90.501,91.143,92.158,93.024,93.795,94.354,95.404,96,96.812,97.515,98.906,99.689,100.407,100.999,102.007,103.184,104.141,104.293,105.143,106.135,106.985,107.723,108.594,110.127,111.673,111.144,110.548,110.532
"40","32","      Less: Own-account investment \4\","W088RG3",67.492,67.673,68.541,68.37,69.703,69.498,69.67,70.614,71.352,71.926,72.715,73.149,73.557,73.74,74.648,74.532,75.094,76.099,77.084,76.444,77.908,78.233,80.183,80.426,80.477,81.342,82.536,83.044,85.702,85.637,85.859,86.062,89.034,89.496,89.991,90.23,93.556,95.281,96.104,96.266,99.134,99.416,100.603,100.847,103.495,104.787,105.341,105.078,107.641,108.739,109.119,108.911,110.88,111.721,111.968,112.017,107.586,107.873
"41","33","            Sales to other sectors","W089RG3",69.994,70.2,70.655,70.85,72.657,73.243,73.623,73.852,74.663,75.064,75.277,75.752,76.533,76.965,77.394,77.858,79.132,79.216,79.556,79.974,80.989,81.344,82.08,82.876,84.987,85.274,86.477,87.309,88.628,89.162,89.686,89.82,91.895,92.412,92.727,93.093,95.06,95.713,96.431,96.644,99.27,99.88,100.358,100.491,102.644,103.149,103.866,104.276,106.783,107.72,108.121,109.402,110.775,109.013,112.964,113.128,110.005,109.298
"42","34","    Nondefense consumption expenditures \1\","A542RG3",70.619,70.409,70.577,73.592,73.912,72.472,72.856,73.591,74.733,75.049,75.382,76.126,76.316,76.527,76.952,76.862,77.961,78.607,79.339,80.235,81.47,80.732,82.485,83.252,83.114,83.552,84.097,84.925,87.784,87.612,87.278,87.487,90.754,90.951,91.171,91.425,94.839,96.077,96.449,96.665,99.204,99.674,100.508,100.614,102.878,103.858,103.999,104.254,106.854,107.558,107.345,107.574,109.367,109.858,110.057,110.109,111.136,111.423
"43","35","      Gross output of general government","W128RG3",70.583,70.387,70.559,73.484,73.83,72.484,72.874,73.69,74.816,75.078,75.398,76.116,76.305,76.511,76.626,76.825,77.921,78.578,79.325,80.226,81.485,80.789,82.532,83.268,83.143,83.572,84.109,84.918,87.755,87.599,87.28,87.494,90.733,90.935,91.163,91.422,94.809,96.04,96.422,96.652,99.189,99.667,100.54,100.604,102.863,103.839,103.995,104.252,106.825,107.524,107.333,107.596,109.393,109.897,110.136,109.968,110.975,111.276
"44","36","        Value added","W129RG3",65.78,65.281,65.343,69.719,70.233,67.97,68.304,69.27,70.691,70.93,71.268,72.135,72.637,72.8,72.823,73.086,74.604,75.489,76.378,77.421,78.709,77.494,79.841,80.623,80.028,80.386,81.071,82.267,86.532,85.815,85.027,85.06,89.627,89.923,89.998,90.241,94.977,96.435,96.499,96.385,99.548,99.65,100.56,100.241,103.448,104.481,104.159,104.403,108.028,108.554,107.982,108.005,110.201,109.864,109.52,109.726,112.295,112.331
"45","37","          Compensation of general government employees","W130RG3",60.885,60.216,60.253,65.117,65.773,63.322,63.734,64.866,66.542,66.799,67.206,68.228,68.902,69.069,69.122,69.444,71.133,72.095,73.079,74.21,75.621,74.131,76.764,77.646,76.996,77.372,78.212,79.631,84.709,83.919,83.01,83.051,88.396,88.742,88.841,89.164,94.709,96.314,96.265,95.991,99.616,99.632,100.593,100.159,103.878,104.935,104.43,104.624,108.949,109.567,108.855,108.808,111.451,110.98,110.469,110.713,113.755,113.814
"46","38","          Consumption of general government fixed capital \2\","B546RG3",94.192,95.019,95.245,95.73,95.233,94.457,94.218,93.987,93.621,93.721,93.599,93.455,92.877,93.008,92.856,92.76,93.211,93.622,93.955,94.484,95.056,95.425,96.118,96.359,96.071,96.327,96.168,96.165,96.126,95.778,95.632,95.633,96.042,96.089,96.041,95.862,96.348,97.042,97.69,98.4,99.198,99.74,100.404,100.658,101.343,102.258,102.824,103.303,103.612,103.704,103.778,104.123,104.254,104.535,104.96,104.987,105.334,105.26
"47","39","        Intermediate goods and services purchased \3\","W131RG3",79.111,79.479,79.846,79.988,79.992,80.431,80.918,81.425,81.991,82.295,82.572,82.994,82.585,82.866,83.167,83.255,83.474,83.663,84.122,84.729,85.896,86.272,86.767,87.405,88.161,88.718,88.997,89.15,89.631,90.384,90.807,91.304,92.439,92.484,92.954,93.245,94.551,95.446,96.313,97.058,98.678,99.711,100.512,101.099,102.027,102.907,103.745,104.044,105.004,106.01,106.42,107.046,108.271,109.942,110.98,110.29,109.101,109.776
"48","40","          Durable goods","A543RG3",130.79,131.305,129.919,128.725,127.184,124.546,123.113,121.81,120.089,119.662,118.097,117.372,115.973,114.959,113.605,112.278,112.456,110.984,109.945,109.557,109.307,109.016,108.642,107.974,106.904,106.534,105.833,105.243,104.016,103.309,102.501,102.025,101.629,101.45,101.201,100.936,100.909,100.705,100.2,100.524,100.718,100.21,99.748,99.324,98.932,98.961,98.727,97.952,96.839,96.039,95.237,94.576,93.956,93.513,93.308,91.946,91.556,91.774
"49","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            Other nondurable goods","B828RG3",74.438,75.25,75.612,75.993,76.98,78.215,78.521,79.445,79.768,79.442,79.601,79.866,79.248,79.07,79.022,78.844,78.882,80.418,81.976,83.081,84.966,85.443,86.382,87.279,86.972,87.313,86.434,84.495,84.559,87.161,88.025,88.399,90.811,89.046,89.983,90.861,91.884,93.21,94.891,96.616,97.446,99.174,101.345,102.035,103.361,104.796,104.96,105.113,105.616,106.804,107.489,109.434,111.071,114.356,115.173,112.101,110.499,113.376
"52","44","          Services","A544RG3",78.539,78.838,79.271,79.416,79.305,79.725,80.237,80.596,81.249,81.689,82.03,82.512,82.178,82.586,82.985,83.151,83.355,83.352,83.68,84.244,85.362,85.752,86.21,86.917,87.921,88.41,88.944,89.569,90.231,90.653,91.112,91.695,92.586,92.992,93.354,93.766,95.114,95.836,96.529,97.072,98.976,99.772,100.315,100.936,101.822,102.605,103.607,103.979,105.094,106.138,106.593,107.084,108.409,109.861,110.97,110.81,109.173,109.403
"53","45","      Less: Own-account investment \4\","W136RG3",66.354,66.25,66.538,69.042,69.803,68.915,69.378,70.001,71.071,71.508,71.947,72.718,73.319,73.81,74.243,74.71,75.742,76.551,77.349,78.254,79.713,79.623,81.267,81.99,82.4,82.934,83.783,84.895,87.61,87.626,87.568,87.862,90.816,91.362,91.798,92.06,95.475,96.509,96.814,96.992,99.362,99.702,100.455,100.481,102.692,103.565,103.886,104.194,107.006,107.766,107.758,108.126,109.749,109.946,110.204,110.198,111.929,112.116
"54","46","            Sales to other sectors","W137RG3",73.86,74.044,74.258,74.453,75.165,76.839,77.621,81.552,82.87,80.618,80.015,78.86,77.897,77.117,72.371,76.896,78.674,80.305,81.932,82.793,84.587,85.215,86.503,86.351,86.391,86.455,86.178,85.505,86.927,87.371,88.038,88.58,89.731,90.294,91.05,91.842,93.334,94.171,95.099,96.01,98.543,99.359,101.762,100.337,102.187,102.843,103.747,104.181,104.897,105.336,106.303,108.539,110.298,111.622,113.689,103.263,102.608,103.702
"55","47","State and local consumption expenditures \1\","A991RG3",70.735,71.273,71.547,71.775,72.547,72.611,73.031,73.555,74.058,74.152,74.415,74.938,74.936,75.203,75.669,76.257,76.965,78.037,79.023,79.858,80.915,81.597,82.406,83.428,84.306,84.827,85.059,84.95,85.274,86.123,86.98,88.161,90.103,90.381,91.097,91.645,92.604,93.534,94.772,96.461,97.669,98.983,100.76,102.588,103.331,104.782,105.762,106.315,107.739,109.266,110.324,112.435,114.379,116.655,118.193,115.003,113.738,114.15
