"","Table 2#3#1# Percent Change From Preceding Period in Real Person","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Durable goods","DDURRL1",-8,4.1,11.8,7.1,4.4,13.3,2.9,8,11.3,-1.3,19.1,10.6,3.4,22,12.1,25.9,1,20.7,10.1,5.1,24.5,-7,7.1,3,7,-0.2,4.9,38.1,-4.5,4.3,12.2,-5.2,0.4,16.6,17,2.6,4.5,2.8,8.1,6.7,2.7,11.7,4.8,-9.7,17,-1,4.5,5.6,5.5,2.1,5.2,5.5,-8.9,-5.7,-11.7,-20.3,3.9,-7.1
"12","4","    Motor vehicles and parts","DMOTRL1",-16.6,-0.3,10.3,7,4.2,6.4,-0.9,3.4,19.1,-13,28.9,11.1,-11.1,34.6,5.6,42.6,-17.4,31.7,1.2,-11.3,38.6,-25.8,7.3,1.2,11.6,-6.6,4.9,75.7,-25.6,2.2,27.7,-21.7,0.3,18.1,12.5,-7.4,-0.3,-1.7,4.8,3.9,-7,15.3,3.7,-38.6,16.5,0,7.4,-0.7,2.7,1.7,-3.5,2.1,-16.8,-21.8,-23.7,-32.5,6.7,-11.9
"13","5","    Furnishings and durable household equipment","DFDHRL1",-2.8,3.6,6,4.8,-3.2,15.2,0.2,9,1.3,1.6,9.2,5.4,11,6.4,9.6,13.6,12.2,9.8,13.9,13.2,10.4,7.9,5.4,2.4,6.1,3.6,3.9,12.7,13.3,3.5,-0.6,7,-1.8,15.5,17.1,6.9,5.4,5.6,9.4,4.1,3.4,6.4,6.9,10.7,10.8,-4.4,2,1.8,7.8,-4,3.4,3,-6.5,2.5,-11.2,-14.1,-7,-7.9
"14","6","    Recreational goods and vehicles","DREQRL1",1.7,12.8,26.3,10.8,10.3,24,12.1,15,13.3,17.8,17.6,14.4,21.1,21.4,28.4,19.8,19.6,20.9,21.7,20.3,28,5.9,10.8,9.2,6.9,11.8,9.6,22,15.3,6.6,5.5,8.6,4.9,18.5,26.3,12.2,11.6,9,14.5,12.2,15.3,11.7,7.6,15.8,24.5,2.5,7.8,19.8,9.3,6.9,17.2,14.7,-1.8,10.8,-2.5,-12.4,9.3,-4
"15","7","    Other durable goods","DODGRL1",-5.4,3.9,1.5,4.7,8.1,13.3,2.7,8.2,1.8,-0.1,10.1,11,9,14.6,8,8.9,17.8,5.5,12.6,22.2,2.1,13.4,2.3,-2.5,-5.3,-9.3,-2.7,13.1,11.5,7.9,2.9,9.3,-4.8,9.3,13.1,9.6,3.3,-0.9,2.2,9,6.4,10.6,-2.4,9,14.2,-4.9,-5.5,0.8,0.3,4.6,7.1,-0.9,-7.2,-11.8,-2.7,-19.9,7.2,-1.7
"16","8","  Nondurable goods","DNDGRL1",1.4,2,1.4,2.1,2.6,5.2,2.9,3.3,2.5,0.2,6.6,2.8,3,5,3,5.6,7.6,3.8,1.9,8.5,-3.4,8.2,2.7,4,-2.3,1.9,2,3.5,1.6,0.5,1.1,5.2,4.4,1.9,8.1,1.6,3.8,1.1,3,4.2,4.7,2.5,2.1,3.9,2.6,1.6,2.6,6.1,3.1,-0.8,2.1,1.8,-3,2.2,-5.6,-4.9,1.9,-2.5
"17","9","    Food and beverages purchased for off-premises consumption","DFXARL1",-0.7,-1.9,0,1.8,1.8,1.9,-0.8,1.3,2.9,-2.1,2.4,0,-0.4,3.3,2.7,2.8,4.8,4,3.5,6.3,-3.9,6,0.5,4,-1.4,2.7,-1.4,0.7,-1.7,0.7,1.6,3.5,5.5,-3.5,6.2,-2,7.4,0.7,2.2,5.4,5.7,1.2,7,3,1.1,4.5,1.4,6.5,1.9,-2.6,1.7,4.3,0.8,0.5,-5.2,-7.3,0.6,4.5
"18","10","    Clothing and footwear","DCLORL1",-1.3,4.3,7.4,0.4,2.8,10.2,6.9,2.5,0.2,-3.5,14,5.2,8.8,6.9,-2.9,9.6,15.3,3.5,2.7,1,6.7,8.9,4.4,3.4,-6.3,2.6,-0.5,7.1,4.6,0.2,-2.4,13.1,0.4,11.5,10.3,0.1,10.9,-4.7,5.6,8.5,6,9.7,0.5,13.3,5.6,-2.8,5.7,7.2,7.8,-0.6,4.7,2.2,-1.6,6.9,-11.1,-8.9,-1.7,-6.8
"19","11","    Gasoline and other energy goods","DGOERL1",10.2,3.3,-4.4,0.9,5.5,2.6,0.1,-1.1,2.7,5.7,1.8,1.9,3.4,6.5,3.8,1.7,2.7,9.2,-4.7,2,-13.6,7.9,1.7,-2.4,1.8,-5,7.7,1.2,-1.4,4.8,2.3,-0.2,0.7,4.5,7.7,4.3,-1.7,0.9,-2.5,0.7,5,-4.4,-4.8,-3.1,-5.1,1.1,3.8,-0.2,2.2,-0.3,0.3,-3.8,-7.8,-3.6,-12.9,10.6,8.6,-1.3
"20","12","    Other nondurable goods","DONGRL1",2.8,4.9,1.6,4,2.4,7.3,5.9,7.8,3.3,3.3,9,5.1,3.3,5.4,6.5,7.5,7.8,2.3,2,17.2,-4.4,10.2,4.5,6.6,-2.6,3.3,4.7,5.3,4.4,-0.6,2.1,4.9,6.4,2,9,5,-0.6,4.2,4.6,2.5,2.9,3.3,1.3,4.1,6.7,1.1,1.8,8.3,2.7,0.6,2.1,1.9,-5,5.1,0.8,-7.7,2.2,-7.8
"21","13","Services","DSERRL1",1.9,3.7,2.9,2.3,4,2.7,2.2,2.4,3.3,2.7,4.8,4.1,4.5,5,4.9,2.8,3.4,4.6,4.9,5,6.2,4.7,3.8,3.6,1.9,1.7,1.1,1.8,2.6,2.1,1.4,1.6,1.6,2,2.8,2.4,3.8,2.4,2.8,4.5,2.5,2.9,2.8,2.2,2.9,3,2.1,3.1,3.6,1.6,1.3,0.3,1.8,0.4,-1.3,0.5,-0.3,0.1
"22","14","  Household consumption expenditures (for services)","DHCERL1",1.9,3.7,2.9,2.1,3.6,2.6,2.1,2.8,4.2,2.9,5,4.1,4.2,4.7,4.6,2.4,3.4,4.7,5,5,5.9,4.8,3.3,3.2,1.9,1.4,0.9,1.5,2.4,1.8,0.8,1.2,1.7,1.9,2.9,2.5,3.9,2.7,3,4.5,3,3,2.9,2,2.6,2.4,1.4,3.2,3.9,2,0.7,-0.3,1.6,0.3,-1.8,0.1,0.7,0.4
"23","15","    Housing and utilities","DHUTRL1",1.7,4.9,4,0.4,4.1,0.8,-0.8,3.6,1.3,3.6,2.5,5.5,0.6,5,3.3,-0.1,4.7,4.2,4.3,-0.1,1.8,5.3,3.6,6.7,2.2,-0.3,1.7,-0.3,0,1.7,0.7,2.5,1.1,0.8,0,2.7,2.2,2.2,2.2,6.7,5.1,5.5,4.3,2.2,-1,4.8,2.4,-1.2,1.7,0.2,1.1,-0.3,2.6,0.8,-1.4,3.6,0.1,-0.8
"24","16","    Health care","DHLCRL1",2.6,1.9,2.4,1.9,0.2,4,1.5,5.1,2.2,2.2,4.2,3.9,5.1,1.9,1.8,0.3,0.9,1.6,3.3,3.8,2.4,5.4,2.7,4.3,5.9,4.6,6,6.5,8.1,5.8,3.1,2.1,1.9,1.1,2.4,2.2,2.7,4.4,5.4,3.5,5,2,3.2,1.7,3.2,0.6,-1,3.6,5.3,2,1.7,2.9,6.3,2.6,-0.6,1.8,3.4,2.2
"25","17","    Transportation services","DTRSRL1",5.5,4.6,8.8,8.9,10.3,6.4,6.9,8.3,11.9,5,6.2,1.7,3.7,5,4.6,5.2,5.7,4.9,8.2,4.5,5.3,4.3,2.5,1.1,0.1,-2,-7.3,-6.6,1.1,-3.4,-0.4,0.3,0.9,-1.9,4.8,1.7,2.9,3.4,0.7,2.2,0,1.3,1.5,-2.9,-2.7,2.2,-0.3,4.3,2.1,0.6,-1.2,-3,-7.6,-7,-5,-7.8,-7,0
"26","18","    Recreation services","DRCARL1",10,10.9,6.2,6.4,1.1,4.3,6.3,0.8,3.9,2.9,1.6,4.2,5,0.4,5.1,3.6,3.6,6.6,9,4.7,-0.2,3.6,0.7,-0.9,3.3,-4,-2.1,-0.3,2.7,0.6,1.1,4.6,-0.9,5.6,6.1,5.8,6.9,4.2,2.1,0.8,4,0.2,0.4,2.4,4.9,2,5,8.7,2.9,1.5,3,0,-0.6,1.5,-3.1,-3.9,1.8,-0.9
"27","19","    Food services and accommodations","DFSARL1",-2.8,0.7,0.6,-0.8,0.1,2,0.6,3.7,4,-0.1,4.3,-2.7,4.5,5,1.5,5.7,-1.3,2.4,1.6,9.7,6.7,3.6,1.4,-1.3,3,-3.8,-2.1,-0.6,6,3.1,0.8,0.7,2.9,6.2,7.8,2.7,2.9,0.1,2.3,3.8,2.1,6.3,2.1,4.5,9,-4.3,0,4.3,0.7,0.8,1.1,2.1,-2.4,2.5,-2.6,-8,-1.6,-2
"28","20","    Financial services and insurance","DIFSRL1",-0.6,4.7,3.9,2.7,6.8,3.8,-1.6,4.4,4.1,0.9,10.5,2.2,4.7,9.7,8.6,8.9,4.4,10.8,8.6,14.3,21.2,1.1,1.4,1.2,-5.5,-0.2,-1.4,7.4,-3.6,-2.7,0.9,-3.4,-3.5,3.3,4.8,5.2,8.5,2.1,2.3,9.6,-1.9,4.4,3.7,1.2,3.8,2.9,2.4,7.3,7.7,7.5,1.3,-4.3,-2.3,-1.2,-2.7,-4.1,0.4,2.7
"29","21","    Other services","DOTSRL1",2.5,2,-1.8,3,7,1.2,11.3,-6.2,11.6,6.3,8.7,9.8,10.2,5.6,10.6,1.4,6.7,5.6,4.9,6.3,8.9,8.6,8.6,2.6,1.6,9.4,-0.1,-2,1.9,1.2,-2.4,0.6,8.5,1.3,3,-0.7,4.9,2.4,2.7,0.6,1.5,-1.6,1.4,3.2,4.6,5.4,2.4,4.5,5.9,2.1,-2.5,-2.7,2.1,-2.9,-1.4,4.3,1.5,0
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRL1",1.9,3.8,1.8,8.2,14.2,4.9,3.1,-9.8,-20.2,-2.8,-0.4,6,13.7,13.3,15.2,14.3,2.9,3,3.1,5,13.4,1.8,15.5,12,2.1,8.3,6.7,8.4,7.3,9.6,16.1,10.3,-0.8,5.4,-0.9,-1.4,1.5,-3.5,-2,2.2,-8.4,0.4,-1.7,7.1,12.3,17.8,20.4,0.7,-4.1,-6.5,15.9,16.6,8.1,2.5,9.9,10.8,-21.3,-7.1
"31","23","    Gross output of nonprofit institutions \2\","DNPERL1",-1.1,1.4,1.4,2.8,1.8,4.6,2.5,4.2,-2.7,1.1,3.6,4.1,7.8,4.2,5.6,4.2,2.7,2.2,3.2,4.4,3.5,4,4.6,5.2,4.6,4.3,5.6,6,7.1,6.4,5.1,2.1,-0.4,0.7,0.5,0.9,2.4,2.3,3.7,3,0.5,0.3,1,2.7,5.2,3.4,2.1,2.7,4.3,0.1,1.8,4.9,6.3,2.3,0.9,3.3,-3,-1
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRL1",-2,0.7,1.2,1.2,-1.8,4.5,2.3,9,3.1,2.3,4.8,3.6,6.2,1.6,2.7,1.1,2.6,1.9,3.2,4.2,0.4,4.7,1,2.9,5.5,2.9,5.2,5.1,7,5.2,1.3,-0.8,-0.2,-1,1.1,1.8,2.8,4.4,5.7,3.2,3.6,0.2,1.9,1.3,3,-1,-3.6,3.5,7.5,2.5,-2.6,1.1,5.7,2.3,-2.1,0.7,4.5,1.1
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  Energy goods and services \4\","DNRGRL1",3.4,11.2,5.3,-4.2,12.7,-1.7,-8.8,5.3,-3.1,5.7,-0.3,11.5,-5.4,13.3,3.2,-12,7,9.6,3.4,-8.5,-9.8,15.3,3.1,10.1,-4.1,-13.8,4.6,-2.1,0.8,10.9,2.5,6.3,-0.7,1.1,-0.8,7.7,1.4,-0.6,-6.3,7.5,2.1,0.1,-1,-3.5,-13.4,8.5,5.4,-6,6.9,-0.4,1.1,-7,-2.4,-3.8,-14.6,16.4,3.3,-6
"35","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRL1",0.4,3.4,3.9,3.4,3.4,5.3,3.5,3.4,4.7,1.8,7.9,4.8,5,7.1,5.8,7.6,3.8,6.5,5.1,6.5,8.1,3,4.3,3.2,2.2,2.3,1.9,7.4,1.7,1.8,2.8,1,1.9,4.6,6,2.3,3.7,2.5,4.2,4.5,2.9,4.4,2.8,1.2,6.1,1.6,2.4,4.6,3.7,1.6,2,1.5,-0.6,0.3,-2.5,-3.9,0.4,-1.5
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
