"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"21","11","    Gasoline and other energy goods","DGOERZ2",0.27,0.09,-0.12,0.02,0.14,0.07,0,-0.03,0.07,0.15,0.05,0.05,0.09,0.15,0.09,0.04,0.06,0.2,-0.11,0.05,-0.38,0.21,0.05,-0.07,0.05,-0.14,0.2,0.03,-0.03,0.11,0.05,-0.01,0.02,0.12,0.19,0.12,-0.05,0.03,-0.07,0.02,0.16,-0.14,-0.17,-0.12,-0.19,0.04,0.14,-0.01,0.07,-0.01,0.01,-0.15,-0.33,-0.16,-0.6,0.39,0.24,-0.04
"22","12","    Other nondurable goods","DONGRZ2",0.21,0.36,0.13,0.29,0.18,0.53,0.43,0.57,0.25,0.24,0.67,0.38,0.25,0.42,0.49,0.57,0.6,0.19,0.16,1.27,-0.35,0.76,0.35,0.51,-0.2,0.26,0.36,0.42,0.34,-0.05,0.16,0.39,0.5,0.16,0.7,0.39,-0.04,0.33,0.36,0.2,0.23,0.26,0.1,0.31,0.51,0.08,0.14,0.62,0.21,0.05,0.16,0.14,-0.39,0.38,0.07,-0.61,0.17,-0.64
"23","13","Services","DSERRZ2",1.19,2.32,1.84,1.46,2.53,1.74,1.38,1.53,2.12,1.74,3.15,2.67,2.9,3.26,3.19,1.87,2.19,2.98,3.13,3.21,3.95,3.01,2.42,2.29,1.22,1.11,0.7,1.22,1.67,1.37,0.93,1.03,1.08,1.34,1.86,1.53,2.44,1.58,1.81,2.9,1.66,1.94,1.8,1.43,1.94,1.94,1.35,2.04,2.34,1.08,0.85,0.19,1.19,0.24,-0.85,0.37,-0.19,0.06
"24","14","  Household consumption expenditures (for services)","DHCERZ2",1.15,2.23,1.8,1.29,2.24,1.63,1.31,1.75,2.58,1.8,3.15,2.55,2.63,2.98,2.86,1.56,2.12,2.91,3.05,3.09,3.65,2.96,2.07,2,1.16,0.9,0.53,1,1.48,1.12,0.51,0.75,1.1,1.2,1.88,1.57,2.4,1.67,1.86,2.84,1.88,1.92,1.84,1.27,1.65,1.52,0.87,2.01,2.44,1.24,0.47,-0.21,0.98,0.17,-1.11,0.08,0.47,0.25
"25","15","    Housing and utilities","DHUTRZ2",0.31,0.88,0.73,0.08,0.75,0.15,-0.15,0.65,0.25,0.64,0.47,0.99,0.13,0.92,0.59,-0.01,0.82,0.75,0.76,-0.01,0.33,0.91,0.61,1.13,0.36,-0.08,0.3,-0.05,0.01,0.31,0.13,0.44,0.19,0.14,0.01,0.47,0.39,0.38,0.39,1.17,0.89,0.98,0.75,0.38,-0.17,0.85,0.43,-0.22,0.31,0.04,0.2,-0.06,0.47,0.15,-0.25,0.66,0.03,-0.15
"26","16","    Health care","DHLCRZ2",0.37,0.27,0.35,0.27,0.03,0.56,0.21,0.72,0.31,0.31,0.6,0.54,0.71,0.28,0.26,0.04,0.12,0.22,0.44,0.52,0.32,0.71,0.37,0.57,0.78,0.62,0.82,0.91,1.12,0.82,0.45,0.31,0.28,0.16,0.36,0.33,0.4,0.64,0.79,0.52,0.73,0.31,0.47,0.25,0.47,0.09,-0.15,0.53,0.77,0.29,0.26,0.43,0.93,0.4,-0.09,0.27,0.53,0.35
"27","17","    Transportation services","DTRSRZ2",0.19,0.16,0.31,0.31,0.36,0.23,0.25,0.3,0.43,0.19,0.24,0.07,0.14,0.2,0.18,0.2,0.22,0.19,0.3,0.17,0.2,0.16,0.1,0.05,0.01,-0.07,-0.28,-0.25,0.03,-0.13,-0.02,0.01,0.03,-0.06,0.16,0.06,0.1,0.11,0.02,0.07,0,0.04,0.05,-0.1,-0.08,0.07,-0.01,0.14,0.07,0.02,-0.04,-0.1,-0.24,-0.22,-0.15,-0.25,-0.22,0
"28","18","    Recreation services","DRCARZ2",0.33,0.37,0.22,0.23,0.04,0.16,0.23,0.03,0.15,0.11,0.06,0.16,0.19,0.02,0.19,0.14,0.13,0.25,0.33,0.18,-0.01,0.13,0.03,-0.03,0.12,-0.15,-0.08,-0.01,0.1,0.02,0.04,0.16,-0.03,0.2,0.22,0.21,0.25,0.16,0.08,0.03,0.15,0.01,0.02,0.09,0.18,0.07,0.18,0.32,0.11,0.06,0.11,0,-0.02,0.06,-0.12,-0.15,0.07,-0.03
"29","19","    Food services and accommodations","DFSARZ2",-0.18,0.04,0.04,-0.05,0.01,0.13,0.04,0.23,0.25,-0.01,0.27,-0.17,0.28,0.31,0.1,0.35,-0.08,0.15,0.1,0.57,0.4,0.21,0.09,-0.08,0.18,-0.23,-0.13,-0.03,0.34,0.18,0.05,0.04,0.17,0.36,0.46,0.16,0.17,0,0.13,0.23,0.13,0.37,0.12,0.26,0.53,-0.27,0,0.26,0.04,0.05,0.07,0.12,-0.14,0.15,-0.16,-0.5,-0.1,-0.13
"30","20","    Financial services and insurance","DIFSRZ2",-0.06,0.34,0.29,0.2,0.51,0.3,-0.12,0.33,0.32,0.06,0.8,0.18,0.37,0.78,0.68,0.71,0.35,0.86,0.7,1.13,1.68,0.12,0.15,0.12,-0.43,0,-0.1,0.58,-0.29,-0.21,0.08,-0.26,-0.26,0.26,0.38,0.4,0.66,0.17,0.19,0.76,-0.16,0.36,0.3,0.1,0.31,0.24,0.2,0.59,0.62,0.6,0.11,-0.37,-0.19,-0.1,-0.22,-0.34,0.03,0.22
"31","21","    Other services","DOTSRZ2",0.19,0.16,-0.13,0.23,0.54,0.1,0.85,-0.5,0.88,0.5,0.71,0.78,0.82,0.48,0.87,0.13,0.56,0.49,0.42,0.53,0.74,0.72,0.73,0.23,0.14,0.8,0,-0.16,0.17,0.12,-0.21,0.06,0.74,0.13,0.29,-0.06,0.43,0.21,0.25,0.06,0.14,-0.14,0.13,0.28,0.41,0.47,0.21,0.41,0.52,0.19,-0.23,-0.24,0.19,-0.26,-0.12,0.38,0.14,0
"32","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRZ2",0.04,0.08,0.04,0.17,0.29,0.11,0.07,-0.22,-0.47,-0.06,0,0.12,0.27,0.28,0.32,0.31,0.07,0.07,0.07,0.12,0.3,0.04,0.35,0.29,0.06,0.21,0.17,0.22,0.19,0.25,0.42,0.27,-0.02,0.15,-0.02,-0.04,0.04,-0.09,-0.05,0.06,-0.21,0.01,-0.04,0.17,0.29,0.42,0.49,0.02,-0.1,-0.17,0.38,0.4,0.21,0.07,0.26,0.29,-0.67,-0.19
"33","23","    Gross output of nonprofit institutions \2\","DNPERZ2",-0.1,0.13,0.13,0.26,0.17,0.42,0.23,0.39,-0.25,0.1,0.33,0.37,0.7,0.39,0.52,0.39,0.25,0.21,0.29,0.4,0.33,0.36,0.42,0.48,0.43,0.41,0.53,0.58,0.68,0.62,0.51,0.21,-0.04,0.07,0.06,0.1,0.24,0.23,0.37,0.3,0.06,0.03,0.11,0.27,0.51,0.34,0.21,0.27,0.43,0.02,0.18,0.49,0.63,0.24,0.1,0.34,-0.32,-0.1
"34","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRZ2",-0.14,0.05,0.09,0.09,-0.13,0.31,0.16,0.61,0.22,0.16,0.34,0.25,0.43,0.11,0.19,0.08,0.18,0.13,0.22,0.28,0.03,0.32,0.07,0.2,0.37,0.2,0.36,0.35,0.49,0.37,0.09,-0.06,-0.02,-0.07,0.08,0.13,0.2,0.32,0.42,0.24,0.27,0.02,0.14,0.1,0.22,-0.08,-0.27,0.25,0.54,0.18,-0.2,0.08,0.42,0.17,-0.16,0.05,0.35,0.09
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","25","  Energy goods and services \4\","DNRGRZ2",0.17,0.55,0.27,-0.21,0.61,-0.09,-0.47,0.27,-0.15,0.28,-0.01,0.54,-0.26,0.57,0.14,-0.54,0.28,0.39,0.15,-0.39,-0.46,0.66,0.14,0.46,-0.23,-0.74,0.21,-0.08,0.05,0.44,0.11,0.27,-0.04,0.05,-0.03,0.35,0.07,-0.03,-0.32,0.38,0.11,0.01,-0.05,-0.21,-0.84,0.48,0.32,-0.35,0.38,-0.02,0.07,-0.43,-0.16,-0.25,-1.03,0.92,0.17,-0.3
"37","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRZ2",0.36,2.95,3.35,2.9,2.94,4.52,2.95,2.92,3.99,1.53,6.77,4.11,4.32,6.21,5.04,6.58,3.34,5.72,4.46,5.65,6.98,2.69,3.79,2.81,1.95,2.05,1.67,6.44,1.47,1.56,2.51,0.89,1.71,3.99,5.27,2.03,3.25,2.15,3.62,3.89,2.49,3.81,2.41,1.03,5.25,1.36,2.06,3.93,3.17,1.36,1.72,1.32,-0.5,0.27,-2.08,-3.42,0.39,-1.29
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
