"","Table 2#6# Personal Income and Its Disposition, Monthly         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"11","3","     Wage and salary disbursements","A576RC1",3347,3360.8,3373.9,3391.2,3387,3407.6,3426.6,3435.6,3452.5,3468.3,3479.6,3486.1,3492.2,3533.4,3551.8,3564.5,3586.3,3620.7,3622.1,3645.8,3671.7,3677.6,3701.8,3728.2,3746.8,3779,3805.5,3816.6,3834.7,3854.5,3874.1,3908.2,3927.8,3957.5,3998.5,4015.5,4050.8,4077.8,4099.1,4119.9,4150.7,4167.2,4186.8,4224.2,4239.7,4261.6,4292.6,4309.2,4348.1,4378.9,4384.1,4398,4416.4,4423.9,4450.5,4475.9,4496.6,4534.9,4575.2,4637.9,4728.8,4759.7,4776.6,4781.8,4763.6,4800.4,4860.9,4869.9,4892.2,4901.6,4899.7,4897.1,4965.4,4994.5,5004.5,4974.2,4957.8,4952.3,4941.9,4931.5,4923.9,4918.1,4926,4936.5,4952,4960.1,4978.6,4987.8,4999.2,5021.9,4998.3,5007.1,5013.4,5009.8,5016.3,5023.1,5031.5,5047,5070.2,5078.4,5116.7,5134.5,5137.5,5160.2,5181,5215.9,5253.5,5248.7,5266.1,5273.4,5298.7,5340.3,5398.3,5416.7,5464.9,5498.5,5518.4,5541.3,5537.2,5554.6,5575.5,5586.5,5590.6,5626.4,5648.1,5680.5,5739.8,5756.8,5778.4,5795.8,5806.4,5827.1,5935.2,5989.9,6011.6,6031.2,6002.1,6022.5,6051.6,6067.3,6107.4,6152.3,6195.4,6260.2,6310.6,6343.3,6376.8,6364.4,6366.3,6385.8,6389.3,6399.4,6448.9,6472.3,6517,6532.5,6529.4,6528.4,6541.2,6531.1,6541.9,6544.7,6557.8,6580,6565.1,6566.3,6550.2,6514,6394,6332,6290.7,6271.3,6264.4,6238.6
"12","4","       Private industries","A132RC1",2723.6,2735.9,2747.7,2764.7,2759.9,2778.5,2796.9,2805.4,2821.7,2836.1,2846,2851.6,2853.2,2891.9,2908,2919.7,2939.8,2973.2,2973,2996.6,3019.7,3024.7,3047.4,3072.3,3085.7,3115.5,3140.5,3150.7,3167.4,3184.3,3200.2,3234.8,3251,3278,3316.8,3332,3362,3386.3,3406,3424.3,3452.3,3467,3484.1,3519.2,3532.6,3552.6,3581.6,3596.6,3629,3657.2,3661.1,3671.7,3689.1,3693.4,3715.9,3738.6,3755.9,3790.5,3827.4,3886.1,3966.5,3994.8,4006.4,4007.7,3982.1,4020.3,4078.1,4085.9,4106.7,4113.7,4109.4,4104.2,4165.6,4189.3,4196.3,4162.7,4143.1,4132.2,4117.1,4103,4091.9,4082.6,4086.2,4093.9,4093.2,4098.3,4114.4,4121.2,4128.5,4148.2,4122.9,4128.3,4134.3,4129.1,4133.4,4138.6,4132.5,4142.9,4163.1,4169.6,4203.4,4215.2,4220.7,4244.9,4266.3,4297.6,4333.6,4325.6,4330.1,4333.5,4353.3,4386.9,4447.4,4464.3,4511,4542.4,4560.7,4581,4573.9,4590,4594.6,4603.6,4607,4640.8,4660.4,4691,4747,4763,4781.7,4798,4804.7,4822.2,4919.6,4970.8,4989.2,5005.7,4974,4991.2,5015.6,5027.2,5060.5,5102.9,5143,5205.2,5240.9,5270,5300,5283.9,5282.4,5297.7,5301.2,5306.2,5350.7,5370.4,5411.4,5422.6,5408,5402.8,5412.2,5399,5405.8,5403.6,5412.6,5431.1,5413.8,5412.9,5395.1,5358,5225,5160.5,5115.9,5090.7,5079.4,5050.8
"13","5","       Government","B202RC1",623.5,624.9,626.2,626.4,627.1,629.1,629.7,630.2,630.8,632.2,633.6,634.5,639,641.5,643.8,644.8,646.5,647.5,649.1,649.2,652,653,654.4,655.9,661.1,663.4,665,665.8,667.3,670.2,673.9,673.5,676.8,679.5,681.7,683.4,688.7,691.5,693.1,695.5,698.4,700.1,702.7,705,707.1,709,711,712.6,719.1,721.6,723,726.3,727.3,730.5,734.5,737.3,740.7,744.4,747.8,751.8,762.3,765,770.2,774.2,781.4,780.1,782.8,784,785.5,787.9,790.3,792.9,799.8,805.2,808.2,811.5,814.6,820.2,824.8,828.5,832,835.5,839.7,842.6,858.8,861.8,864.1,866.6,870.8,873.7,875.4,878.8,879.1,880.7,882.8,884.6,899,904.1,907.1,908.9,913.3,919.3,916.8,915.4,914.7,918.3,919.9,923.1,936,939.9,945.4,953.4,950.9,952.4,953.9,956,957.6,960.3,963.4,964.6,980.9,982.9,983.6,985.6,987.7,989.5,992.8,993.9,996.7,997.8,1001.7,1004.9,1015.5,1019.1,1022.5,1025.5,1028.2,1031.3,1036,1040.1,1046.8,1049.4,1052.4,1055,1069.7,1073.3,1076.7,1080.5,1083.9,1088.1,1088.2,1093.2,1098.1,1101.9,1105.7,1109.9,1121.4,1125.5,1128.9,1132.1,1136.1,1141.1,1145.2,1148.9,1151.3,1153.4,1155.1,1156,1169,1171.5,1174.8,1180.6,1184.9,1187.7
"14","6","     Supplements to wages and salaries","A038RC1",758.1,758.6,758.9,759.7,759.2,760.2,761.4,761.7,762.3,762.7,763.3,763.4,763.7,766.7,767.8,768.5,769.8,772.1,771.9,773.2,774.6,774.9,776,777.3,778.3,780.5,782.6,783.3,785.5,788,790.8,795,798.5,801.7,807.5,812,818,823.6,828.1,832.4,837.1,840.8,845,849.8,852.9,856.7,860.6,862.9,867.7,871.5,873.5,876.6,880.2,883.2,888,892.6,897.1,904.7,910.9,919.2,930.9,937.3,942.8,945.3,948.5,954.7,966.7,971,976.7,982.7,986.6,990.6,999.7,1006.4,1011.5,1014.6,1018.3,1022.6,1029.1,1033.2,1037.8,1044.8,1050.6,1057.1,1067.9,1074.6,1082.1,1090,1098,1107.1,1113.6,1122.3,1131.8,1148,1158,1168.9,1183.2,1195.2,1206.3,1214.6,1223.6,1230.4,1235.7,1241.2,1246.1,1251,1254.6,1254,1263.2,1263.8,1264.6,1268.5,1273.5,1276.4,1282,1287.4,1292.8,1300.6,1306.6,1313.2,1330.7,1337.8,1342.4,1347.4,1351.7,1356.6,1365.8,1370.1,1374.2,1376.1,1377.2,1378.8,1390.8,1395.6,1397.9,1401.2,1400.1,1402.6,1405.2,1408,1412.7,1417.4,1422.1,1428.4,1434.5,1438.7,1442.7,1444.4,1447.1,1451.1,1453.6,1456.1,1461.4,1466,1472.5,1477.7,1482.9,1485,1485.7,1490.1,1493.6,1496.9,1499.2,1502.3,1502.7,1505.3,1507.9,1507.2,1503.1,1499.7,1497.8,1497.8,1498.8,1498.5
"15","7","   Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",499.9,499.7,501.8,501.2,506.3,511.3,514.3,520.5,525.1,531.2,537.6,543.4,547.9,561.4,571.4,578.5,589.7,591.4,587.4,586.4,592.1,598,599.3,600.7,616.3,620.7,621.9,616.6,619.5,622,630.4,631.6,636.5,641.6,637.8,643.8,658.5,662.3,670.1,671.6,674.7,684.9,691.4,691,696.2,709.6,716.3,723.8,728.9,728,732,736.2,733.9,746.5,748.8,756.7,746.5,757,770.3,777,766.3,783.9,800.9,809.5,819.3,829.3,816.1,826.8,837,830.6,836.9,852.8,865.3,865.6,871.4,866.8,871.4,876.6,878.3,886.5,869.4,867.4,864.8,865.1,880,881.7,879.9,881.8,883.2,887.5,894.6,892.7,892.5,899.7,903.5,906.4,887.4,886.5,895,904.5,921,931.9,938.8,944.9,953.7,957.7,966.4,980.1,985.5,1001.1,1019.7,1022.5,1031.4,1035.4,1036.4,1039.2,1044.6,1063.3,1065.6,1060.5,1051.8,1043.1,1045.5,1043.6,1052.1,1066.2,1076.8,1080.6,1090.3,1091.5,1095.8,1100,1123.8,1126,1131,1131.6,1134.4,1133.6,1129.8,1133,1130.6,1135.7,1139.1,1146.8,1089.7,1095.2,1097.6,1095.8,1097.3,1094.9,1095,1093.6,1090.9,1097.5,1104.1,1104.6,1117.5,1113.5,1114.6,1110.3,1111.3,1114.1,1118.7,1115.3,1109.4,1098.6,1082.3,1069.9,1050.2,1036.2,1027.1,1025,1023.1,1022.1
"16","8","     Farm","B042RC1",23.2,21.4,20.2,19.7,19.6,20.1,21.3,22.7,24.5,27,29.4,32.1,35.5,38.3,40.9,45.7,46,44.5,36.4,34.2,33.2,35,35.5,36.2,39.3,38.6,36.6,29.4,27.7,27.7,31.9,32.8,33,32.1,31.5,30.6,31,27.6,26,26.6,26.8,27.1,26.1,26.8,28.3,32,33.7,34.6,35.3,34.6,33.1,29.7,28.6,28,28.3,27.4,24.1,24.6,24.1,24.3,24.4,25.5,27.4,31,32.2,31.6,29.4,29.2,30.6,29.5,31,33.9,32.8,32,31.4,30.9,30.7,30.8,31.1,31.2,31.1,30.7,28.7,24.9,20.1,15.9,12.8,10.8,10.9,13,17.1,20.4,22.9,24.6,25.9,27,28,29.6,32.1,35.8,37.9,38.8,38.7,38.3,38,37.4,39.6,44.3,51.1,55.2,56.3,54.2,52,49.6,47,43.1,41.8,48.8,49.3,47.6,44.9,43.1,43,45.3,46.5,47.3,47.7,43.7,45.5,43.2,40.2,36.1,30.9,27.7,26.7,28,28.6,28.6,28,28.1,28.9,30.5,32.1,33.9,36,37.1,37.1,36.1,35.5,35.4,35.6,37.1,39.7,43.7,47.8,52.2,56.9,58.3,56.5,51.3,48.5,48.3,50.4,50.1,47.3,42,38.5,36.7,31,26.1,25,27.1,27.7,26.8
"17","9","     Nonfarm","A045RC1",476.7,478.3,481.6,481.6,486.6,491.2,493,497.8,500.6,504.2,508.1,511.3,512.5,523.1,530.6,532.8,543.7,546.9,551,552.2,558.9,563,563.8,564.6,577.1,582.1,585.3,587.2,591.8,594.4,598.5,598.8,603.5,609.5,606.3,613.2,627.6,634.7,644.2,645,647.9,657.7,665.4,664.2,667.8,677.5,682.6,689.3,693.6,693.4,698.9,706.5,705.3,718.6,720.5,729.3,722.4,732.3,746.2,752.7,741.9,758.4,773.6,778.5,787.1,797.7,786.7,797.6,806.5,801.1,805.9,818.9,832.5,833.6,840,835.9,840.7,845.8,847.2,855.3,838.3,836.6,836.2,840.2,859.8,865.9,867.2,871,872.3,874.5,877.5,872.3,869.7,875.1,877.6,879.4,859.4,856.9,862.8,868.7,883.1,893.1,900.1,906.5,915.7,920.3,926.9,935.8,934.4,945.9,963.5,968.2,979.4,985.7,989.4,996.1,1002.8,1014.5,1016.4,1012.9,1006.9,1000.1,1002.5,998.4,1005.6,1018.9,1029.2,1036.9,1044.8,1048.3,1055.6,1063.9,1092.9,1098.2,1104.2,1103.7,1105.8,1105,1101.8,1104.9,1101.7,1105.3,1107,1112.9,1053.7,1058.1,1060.6,1059.7,1061.8,1059.5,1059.4,1056.5,1051.2,1053.8,1056.3,1052.4,1060.5,1055.1,1058.2,1059,1062.8,1065.8,1068.3,1065.1,1062.1,1056.6,1043.8,1033.2,1019.2,1010.1,1002.1,997.9,995.4,995.2
"18","10","   Rental income of persons with capital consumption adjustment","A048RC1",149.8,151,152.1,153,153.3,152.8,151.6,152.2,154.6,158.5,161.8,164.3,165.9,166.9,167.5,167.7,168.3,169.3,170.9,172.2,173.2,174.1,174.6,174.8,174.8,174.9,175.2,175.7,175.9,176,175.9,176.3,177.1,178.4,179.1,179.3,181,182.7,184.5,186.3,188.5,191,194,196,197.1,197.9,198.7,199.9,201.4,203,204.6,206,207.1,207.8,208.1,209,210.3,211.9,213.9,214.8,215,214.8,214,212.8,212,211.6,211.7,212.9,215.3,218.8,221.4,223.1,224.2,225.3,226.4,227.8,230.2,233.7,238.3,240.3,240,236.7,234.1,231.5,229,228.5,230.1,233.7,233.1,228.4,219.6,212.2,206.2,201.6,200.3,202.1,207.4,210.4,211.4,210.4,205.5,196.8,184.6,182.6,191.2,210.2,219.8,219.8,210.2,203.4,199.2,197.7,196.9,196.7,197.5,197.1,195.8,197,195.3,194,192.3,190.8,188.9,185.6,181.9,177,171.3,167.9,165.9,172,172.6,172.3,165.5,160.2,158.2,157.2,154.1,148.3,143.3,139.7,138,135,131.9,126.8,120,119.1,124.1,133.9,140.9,146,146.1,149.3,155.1,162.8,168.7,172.6,174.6,178.9,186.1,195,203,210.5,216.4,222.2,228.1,234.2,237,238.9,242.2,245.9,249.7,252.2,255.4,258.2
"19","11","   Personal income receipts on assets","W210RC1",991.2,993,994.7,996,998.2,1000.7,1003,1006.8,1011.3,1017.3,1023,1029.1,1034.3,1041.5,1049.5,1059.3,1068,1076.6,1084.9,1093.5,1102.2,1112.8,1120.2,1126.2,1129.1,1134.2,1139.8,1145.7,1152,1158.8,1165.7,1173.6,1182.2,1189.7,1200.8,1213.8,1232.4,1245.9,1257.8,1269.5,1277.6,1283.2,1287.1,1287.2,1284.3,1277.7,1269.2,1258.1,1236.1,1227.8,1224.7,1233.6,1236.2,1238.9,1239.2,1244.6,1252.4,1261.3,1274.9,1291.8,1318.8,1335.5,1348.6,1355.9,1363.7,1369.8,1374.5,1376.6,1376.6,1373.6,1369.9,1364.7,1360.8,1357.6,1355.1,1353.4,1350.7,1347.6,1343.5,1340.4,1338,1337.5,1335.1,1331.9,1324.2,1318.7,1314.3,1318.3,1315.7,1312.2,1308.4,1303.6,1299.5,1300.5,1299.9,1299.5,1298,1298.9,1300.7,1302.5,1306.1,1309.9,1311.1,1312.4,1313.7,1323.5,1333.6,1344.4,1345.8,1349.9,1354.3,1363.8,1372.9,1382.1,1390.1,1395.9,1400.5,1405.8,1415.4,1725.3,1446.2,1459.9,1473,1487.7,1506.5,1527,1542.8,1560,1578.5,1608,1640.2,1674.3,1691.3,1710.9,1731.1,1778.5,1818.2,1855.1,1866.5,1881.5,1896.1,1903.5,1909.3,1914.3,1940.9,1968.3,1995.3,2010,2022.4,2033.6,2051.3,2066.4,2079.7,2078.6,2071.1,2059.7,2035.6,2019.8,2006.9,2003.9,1997.3,1990.7,1996.3,2001.5,2006.5,1975,1956.5,1942.8,1894,1845.5,1797.1,1789.8,1782.5,1775.2
"20","12","     Personal interest income","A064RC1",747.8,749,749.8,749.8,750.3,750.7,750.6,751.5,752.8,755.2,756.9,758.6,759,761.7,765.3,771.1,775.8,780.7,785.6,790.9,796.5,804.2,808.9,812.6,813.2,816,819.2,822.7,826.6,830.8,835.1,840.3,846.1,850.9,859.1,869.2,884.8,895.8,906,916.5,923.9,929.5,934.1,935.4,934.3,930.1,924.6,917.1,899.3,894.3,893.6,903.9,906.9,909.2,908,911.1,915.7,920.3,928.7,939.5,959.4,970,977.9,980.9,985.3,988.8,991.9,993.3,993.4,991.6,989.9,987.6,987.5,987.4,987.3,987.2,985.4,982.6,978,973.6,969.3,966.1,960.4,953.1,940.5,930.7,922.6,923.3,918,912.3,906.9,900.8,896.1,897,896.7,897.3,897.2,898.3,899,898.4,898.4,897.3,892.3,886.1,878.7,878.5,877.4,875.6,863.2,855,848.5,848.6,849.8,852.5,855.6,857.9,860.4,865.2,875.8,889.9,912.8,928.5,942,955.1,970.6,986,994.8,1003.3,1011.2,1028.4,1046.4,1064.7,1063.9,1066.7,1071,1103.6,1129.4,1153.3,1152.7,1156.6,1161.2,1159.5,1157.1,1154.9,1175.3,1197.9,1221.6,1234.4,1246.5,1258.7,1278.9,1298,1316.8,1322.7,1323.6,1322.1,1309.4,1304,1300.5,1306,1306.9,1307,1318.2,1328.1,1337,1308.3,1291.6,1278.9,1261,1243.4,1225.8,1236.7,1247.5,1258.4
"21","13","     Personal dividend income","B703RC1",243.4,244,244.9,246.2,247.9,250,252.4,255.3,258.5,262.1,266.1,270.5,275.2,279.8,284.1,288.2,292.1,295.8,299.3,302.6,305.7,308.6,311.2,313.6,315.9,318.2,320.5,323,325.4,328,330.6,333.3,336,338.8,341.7,344.7,347.7,350.1,351.9,353,353.6,353.6,353,351.8,350,347.6,344.6,341,336.7,333.5,331.1,329.7,329.2,329.7,331.1,333.5,336.8,341,346.2,352.3,359.3,365.5,370.7,375,378.5,381,382.6,383.3,383.1,382,380,377.1,373.3,370.2,367.9,366.2,365.3,365.1,365.6,366.8,368.7,371.4,374.8,378.8,383.7,387.9,391.7,395,397.7,399.9,401.6,402.8,403.4,403.5,403.1,402.2,400.8,400.6,401.7,404.1,407.7,412.6,418.8,426.3,435,445,456.2,468.8,482.6,494.9,505.8,515.2,523.1,529.6,534.5,538,540,540.6,539.7,835.4,533.4,531.3,531,532.6,535.9,541,548,556.7,567.2,579.6,593.7,609.7,627.4,644.2,660,674.9,688.8,701.8,713.8,724.8,734.9,744,752.2,759.4,765.6,770.4,773.7,775.6,776,774.9,772.4,768.3,762.9,755.9,747.5,737.6,726.3,715.9,706.4,697.9,690.4,683.7,678.1,673.3,669.6,666.7,664.8,663.9,633,602.1,571.2,553.1,534.9,516.8
"22","14","   Personal current transfer receipts","A577RC1",864.9,869.2,874.2,875,881.1,880.8,885.4,886.3,885.9,880.9,878.2,885.4,903,910.2,919.5,929.6,931,933.1,928,926.2,925.8,925.2,927.5,929.7,945.2,941.4,947.1,944.1,942.9,945.9,947.5,950.5,953.5,954.6,956.3,961.3,965,968.2,972.8,973.7,974.4,977.2,976.1,977.8,981.7,984.3,989.3,994.6,1007.3,1008.1,1014.4,1009.6,1013.1,1017.1,1020.1,1027.9,1030.9,1034.6,1034.9,1040.9,1048.1,1052.6,1056.6,1065.1,1090.5,1082.7,1087.1,1094.4,1099.6,1101.9,1099.3,1118.3,1142,1149,1158.9,1176.7,1183.9,1187.2,1188.8,1182.4,1193.3,1222.3,1230.8,1242,1257.1,1258.6,1257.3,1278.6,1280.3,1282.2,1285.2,1286.7,1294,1297.1,1298.8,1309.8,1313.5,1315.8,1325.1,1327.4,1332.1,1341.6,1348.9,1355.1,1362.8,1352.4,1356.6,1369.8,1381.8,1395.2,1400.4,1405.3,1412.3,1415.6,1404.9,1426.6,1423.9,1431.8,1437.6,1450.8,1471.3,1483.7,1489,1504.1,1508.3,1506.9,1501.3,1521.4,1527.5,1528.7,1531.6,1529.2,1565.1,1566.2,1575.7,1582.1,1597.5,1614.1,1609.3,1628.5,1624.4,1620,1623.5,1653.7,1682.1,1697.4,1701.9,1694.9,1700.1,1702.3,1711.6,1729,1735.9,1743.2,1745.5,1772.3,1783.9,1793.5,1804.9,1819.3,2004.1,1987.7,1859.1,1873.7,1890.2,1884.4,1895.8,1913.8,1966,1979.7,2016.2,2068.4,2234.5,2102.8
"23","15","     Government social benefits to persons","A063RC1",849.5,853.2,857.6,857.7,863.3,862.3,866.4,866.6,865.7,860.1,856.8,863.4,880.6,887.4,896.3,906.2,907.5,909.5,904.6,902.9,902.8,902.7,905.5,908.4,924.8,921.7,928,925.3,924.3,927.3,928.8,931.6,934.3,934.9,935.9,940.2,943,945.3,949.2,949.3,949.3,951.3,949.6,950.7,953.9,955.9,960.4,965.1,976.6,977,982.8,977.3,980.3,983.7,986,993.1,995.4,998.5,997.8,1002.8,1008.8,1012.8,1016.2,1024.2,1049.1,1040.7,1044.4,1051.1,1055.7,1057.1,1054.1,1072.7,1096.1,1102.3,1111.5,1128.8,1135.9,1139.1,1140.9,1134.9,1146.4,1176.2,1185.8,1198.3,1214.9,1217.8,1217.9,1241.1,1244.3,1247.6,1252.2,1254.9,1263.4,1267.7,1270.6,1282.8,1283.9,1287,1297,1299.9,1305.2,1315.5,1323.4,1330.3,1338.9,1329.1,1334,1348.4,1363.2,1377.8,1383.6,1388.8,1396.1,1399.6,1389,1410.6,1407.6,1414.9,1420,1431.7,1449.2,1459.7,1463.7,1478.2,1481.8,1480,1474,1494,1500.2,1502,1505.7,1504.4,1542.3,1544.6,1555.1,1562.1,1577.7,1594.3,1589.2,1607.9,1603.2,1597.7,1600.3,1629.2,1656.2,1670.3,1673.8,1665.9,1670.3,1671.8,1680.5,1697.4,1703.9,1710.9,1713.1,1739.8,1751.3,1760.9,1772.3,1786.7,1971.5,1955.1,1826.5,1841.1,1857.5,1851.7,1863.1,1881,1933.5,1947.2,1983.6,2035.8,2201.9,2070.1
"24","16","       Old-age, survivors, disability, and health insurance benefits","B222RC1",497.2,500.6,503.7,504.9,507.7,508.6,509.9,511.1,514.4,514.1,514.5,520.2,524.5,528.3,533.3,532.8,534.1,536,537.8,539.6,540.1,542,546,548,559,555.2,560.7,561.5,563.4,563.9,564.7,566.7,566,566.4,565.5,569,571.8,572.6,574.7,573.1,573.6,573.9,575.2,575.1,576.9,575.3,575.6,579.1,582.8,582.8,585.1,586.2,586.6,587.9,588.9,590.4,591.3,593.6,591.4,596.2,603.4,605,608,609.9,631,621.4,620.3,624.5,628.9,628,626.9,638.8,650.7,654.4,658.9,661.3,663.3,664.5,676.5,672.5,673.7,674.8,678,683.5,695.7,699.5,694.9,701.6,702.6,704.3,706.1,709.3,711.7,710.3,715.2,722.1,723.6,726.3,730.6,732,738.5,739.2,740,745.3,746.8,749.3,752.1,761,765.2,775.8,778.7,782.6,785.7,788.9,785.7,801.6,797.9,801.5,804.1,814.4,821.2,832.7,832.9,839.4,840.2,844.2,845.7,849.9,851.2,854.9,856.3,867.1,908.4,917.6,926.6,931.1,939.5,954.2,940.1,954.7,957.1,956.4,958.2,975.5,974.3,981.6,986.9,989,1000.5,1005.1,1002.5,1018.2,1017.4,1016.9,1016.7,1035.8,1041.6,1047.1,1058.7,1056.3,1066.4,1070.8,1081.3,1078.9,1081.4,1082.1,1088.7,1090.2,1120.4,1129.1,1136,1148.4,1145.7,1159.2
"25","17","       Government unemployment insurance benefits","B223RC1",20.6,20.7,20.5,20.8,21.8,21.1,21.9,21.7,21.4,22.6,22,21.9,23.2,22.8,22.2,23.5,21.9,21.9,21.9,20.5,21.7,21.6,20.9,21.9,20.7,20.7,20.7,20.7,19.5,20.2,19.4,18.9,19.9,18.5,19.4,19.7,18.8,19.1,19.7,19.1,18.7,19.5,20,20.5,19.7,18.5,20.3,20,20.4,20.2,21.2,19.6,21.3,21.1,19.2,21.1,20.1,19.8,20.3,19.5,20.7,21,19.4,20.1,20.3,19,20.7,20.2,20.3,21.7,20.8,22.6,27.2,25.2,23.5,27.1,28.9,28.6,32.9,30.4,35.5,39,40,42.4,42.2,41.2,44.5,59.4,60.6,60.4,58.2,55,57.2,54.7,50.5,54.3,49.3,49.6,53.8,54.7,51.7,57.3,54.4,53,55.7,51.4,51.2,51.7,46.4,43.2,39.2,34.8,36.5,35,33,35.3,31.7,32.9,33,31,35.4,31.9,30.9,30.6,31.9,29.3,30.6,30.7,29.4,34.4,30.5,30.2,30.4,29.6,28.9,30,29.7,28.6,30.9,30.7,29.6,30.9,29.5,30.4,32.2,32.4,29.5,32.3,31.7,29.7,33.8,30.9,33.8,33.1,32.9,35.8,34.2,34.8,38.1,37.4,36.9,41.7,44.1,60.4,68.7,58.9,68,83.9,87.8,92.4,108.3,113.8,120.9,129.9
"26","18","       Other","W236RC1",331.8,331.9,333.5,332,333.7,332.7,334.6,333.9,329.9,323.4,320.2,321.3,332.9,336.3,340.9,349.9,351.4,351.6,344.9,342.8,341,339.2,338.7,338.4,345,345.9,346.6,343,341.3,343.2,344.7,346.1,348.3,349.9,351.1,351.5,352.5,353.6,354.7,357.1,357,358,354.5,355.1,357.3,362.2,364.5,366,373.5,373.9,376.5,371.6,372.3,374.7,378,381.6,384,385.1,386.1,387.1,384.7,386.8,388.8,394.1,397.8,400.2,403.4,406.5,406.5,407.4,406.4,411.4,418.2,422.7,429.1,440.4,443.7,446,431.4,432,437.2,462.4,467.8,472.4,477.1,477.1,478.4,480,481,483,487.8,490.7,494.6,502.8,504.9,506.4,511,511.1,512.7,513.3,514.9,519,529,532.1,536.3,528.4,530.7,535.7,551.6,558.8,565.7,571.4,573.8,575.7,570.4,573.8,578,580.6,582.9,586.4,592.6,595.1,599.9,608.1,609.7,606.5,597.7,613.4,619.5,612.8,618.8,607.1,603.5,597.5,599.6,601,608.5,611.6,618.2,622.4,616.4,610.5,612.5,623.4,649.6,656.3,657.4,644.6,638.1,637,644.3,648.3,652.7,660.9,663.5,668.1,675.5,679.1,675.5,693.1,868.2,842.6,701.1,701.8,707.5,710.7,706.4,706.9,725.3,725.7,739.3,773.5,935.2,781
"27","19","     Other current transfer receipts, from business (net)","B931RC1",15.4,16,16.7,17.2,17.8,18.4,19.1,19.6,20.2,20.8,21.4,22,22.4,22.8,23.2,23.4,23.6,23.6,23.5,23.3,23,22.6,22,21.3,20.4,19.7,19.1,18.9,18.7,18.6,18.7,18.9,19.2,19.7,20.3,21.1,22,22.9,23.7,24.4,25.1,25.8,26.5,27.1,27.8,28.3,28.9,29.5,30.7,31.2,31.7,32.2,32.8,33.4,34.1,34.8,35.5,36.1,37.1,38.1,39.3,39.8,40.3,40.9,41.5,42.1,42.7,43.3,43.9,44.7,45.2,45.6,45.9,46.8,47.4,47.9,48.1,48.1,47.9,47.5,46.9,46.1,45,43.7,42.1,40.8,39.4,37.5,36.1,34.6,33,31.8,30.5,29.4,28.2,26.9,29.6,28.8,28.1,27.5,26.9,26.2,25.4,24.8,24,23.3,22.6,21.4,18.6,17.4,16.8,16.5,16.2,16,15.9,16,16.4,16.9,17.6,19.1,22.1,24,25.3,25.9,26.5,26.9,27.3,27.4,27.3,26.7,25.9,24.7,22.8,21.6,20.6,20,19.8,19.7,20.1,20.6,21.2,22.3,23.2,24.5,25.9,27.1,28.2,29,29.8,30.5,31.1,31.6,32,32.3,32.5,32.5,32.5,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.7,32.7,32.7,32.8,32.5,32.5,32.6,32.6,32.7,32.7
"28","20","   Less: Contributions for government social insurance, domestic","A061RC1",524,525.8,527.4,529.8,529.1,531.5,534,535.1,536.9,539.1,540.2,540.6,540,545.3,547.4,548.9,551.4,556,555.7,558.5,561.8,562.3,565.3,568.5,571.7,575.8,579,580.1,582.1,584.4,586.6,590.9,593.2,596.8,602.2,604.1,608.6,612.1,614.8,617.3,621,622.9,625.3,630,631.7,634.2,638.1,639.8,649.9,653.7,653.8,654.9,657,657.4,659.7,662.6,664.3,668.6,673.1,680.5,694.8,698,699.5,699.5,696.3,700.9,709.3,710.5,713.8,715.5,715.7,716.2,731.7,736.4,738.4,735.1,733.7,733.3,732.5,731.4,730.8,730.4,731.5,733.3,745,746.2,748.7,750.3,751.7,754.9,751.6,752.6,753.8,753.3,754,755.3,764,766.3,769.7,770.8,775.8,777.9,778.8,781.7,784.9,789.1,794.3,793.6,810,812.7,814.3,817.4,823.2,824.1,829.4,832.6,837.2,840.1,841.3,845.2,859.8,861.9,861.4,864.1,865,868.3,876.6,878.9,881.5,883.9,884.5,886.7,910.2,917.1,918.9,920.4,915.2,916.5,919.4,920,923,928.7,932.6,940,949.3,952.6,955.7,953.5,952.8,954.7,955.6,956.5,963.6,967.2,973.7,976.8,983.8,984.7,987.5,987,989.2,990.4,992.7,996.6,995.4,995.6,994.3,990,981.4,972.9,967.4,964.7,963.9,960.4
