"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"22","15","    Transportation equipment","A681RC1",116.1,123.2,135.5,147.1,174.4,170.8,154.2,141.6,132.9,161.1,181.7,198.2,181.7,132.3
"23","16","    Other equipment \4\","A862RC1",94.7,101,112.1,125.4,130.4,138.6,139.5,139.6,147.5,157.9,178.9,189.8,192.6,195.1
"24","17","Residential","A011RC1",302.9,334.1,349.1,385.9,425.8,449,472.4,509.5,577.6,680.6,775,761.9,629,477.2
"25","18","  Structures","A012RC1",296.5,327.7,342.8,379.2,418.5,441.2,464.4,501.3,569.1,671.4,765.2,751.6,618.6,467.2
"26","19","    Permanent site","A943RC1",171.4,191.1,198.1,224,251.3,265,279.4,298.8,345.7,417.5,480.8,468.8,354.1,229.9
"27","20","      Single family","A944RC1",153.5,170.8,175.2,199.4,223.8,236.8,249.1,265.9,310.6,377.6,433.5,416,305.2,185.8
"28","21","      Multifamily","C292RC1",17.9,20.3,22.9,24.6,27.4,28.3,30.3,33,35.1,39.9,47.3,52.8,49,44.2
"29","22","    Other structures \5\","A863RC1",125.1,136.6,144.7,155.3,167.2,176.1,185,202.4,223.4,253.9,284.4,282.8,264.5,237.3
"30","23","  Equipment","B013RC1",6.3,6.3,6.3,6.7,7.3,7.8,8,8.2,8.5,9.2,9.8,10.3,10.4,10
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Private fixed investment in structures","A349RC1",503.8,552.3,593,654.4,702.4,759.3,794.1,784,851,978.1,1116.9,1185.2,1154,1076.7
"33","25","  Private fixed investment in equipment and software","A327RC1",609.1,657.1,724.6,792.7,878.3,958.3,906.1,850.9,862.3,925.5,1005.4,1082,1115.2,1094.1
"34","26","  Private fixed investment in new structures \6\","W040RC1",471.7,515.8,552.1,607.7,651.2,703.6,731.6,718.5,774.5,883.8,1007.2,1085.7,1070.7,1013.7
"35","27","    Nonresidential structures","A771RC1",206.9,223.9,248.5,274.3,283.2,317.2,325.8,282.6,281.9,306,350.3,432.7,534.9,608.6
"36","28","    Residential structures","A756RC1",264.8,291.9,303.7,333.4,368.1,386.4,405.8,435.8,492.6,577.8,656.9,653,535.8,405
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
