"","Table 1#6#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"54","47","      Gross investment","A798RV1",1.7,-0.8,-1.2,-1.1,0.3,1.4,0.1,-0.8,-0.1,1.1,2.2,1.6,0.7,0.6
"55","48","  State and local","A829RV1",2.7,2.2,1.9,1.5,3.6,4.4,3.1,2.1,4.2,4,6.3,5.3,5.1,5.4
"56","49","      Consumption expenditures","A991RV1",2.6,2.2,2,1.5,3.9,4.6,3.3,2.2,4.8,3.9,6,5,4.7,5.6
"57","50","      Gross investment","A799RV1",3.1,1.7,1.6,1.3,2.1,3.3,2.2,1.8,1.5,4.6,7.7,6.3,6.8,5
"58",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","51","  Final sales of computers to domestic purchasers \2\","W489RV1",-17.2,-25.3,-25,-27.8,-24.5,-15,-20.1,-16.3,-13.7,-9,-13.3,-13.7,-10.9,-11.2
"60","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RV1",2.4,2.2,1.9,1.2,2,2.8,2.2,1.7,2.5,3.2,3.9,3.6,3.1,3.3
"61","53","  Food \3\","B981RV1",2.1,2.9,1.7,1.1,1.6,2.3,2.9,1.5,1.8,3.2,1.6,1.7,3.9,5.8
"62","54","  Energy goods and services","B982RV1",0.8,4.6,1,-8.5,4.1,18.3,2.4,-5.8,12.7,11.7,17.7,11.3,6.2,14.1
"63","55","  Gross domestic purchases excluding food and energy","B983RV1",2.2,1.6,1.5,1,1.5,2,1.8,1.7,2,2.7,3.3,3.2,2.7,2.6
"64","56","  Gross domestic product","A191RV1",2.1,1.9,1.8,1.1,1.5,2.2,2.3,1.6,2.2,2.8,3.3,3.3,2.9,2.1
"65","57","      Gross domestic product excluding final sales of computers","BB00RV1",2.3,2.3,2.2,1.5,1.8,2.4,2.5,1.8,2.3,2.9,3.5,3.4,3,2.2
"66","58","      Food \3\","BB10RV1",2.6,4.2,0.6,0.4,1.4,2.3,3.2,1.6,2.2,3.5,1,1.6,4.8,7
"67","59","      Energy goods and services","BB11RV1",-1,0.3,2.9,0,-2.6,0.4,12.6,-8.2,6,3.3,1.6,4.9,0.9,-20.1
"68","60","      Gross domestic product excluding food and energy","BB03RV1",2.1,1.8,1.8,1.2,1.6,2.2,2,1.8,2.1,2.8,3.5,3.3,2.8,2.3
"69","61","  Final sales of domestic product","A190RV1",2.1,1.9,1.8,1.2,1.5,2.2,2.3,1.6,2.2,2.8,3.3,3.3,2.9,2.1
"70","62","  Final sales to domestic purchasers","A713RV1",2.2,1.8,1.5,0.7,1.6,2.5,1.9,1.4,2.3,3,3.7,3.4,2.9,3.2
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
