"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"30","21","      Financial services and insurance","DIFSRY2",0.02,0.19,0.18,0.33,0.45,0.54,-0.04,-0.02,0,0.28,0.17,0.18,0.28,-0.1
"31","22","      Other services","DOTSRY2",0.1,0.18,0.32,0.45,0.32,0.42,0.24,0.04,0.16,0.15,0.07,0.21,0.18,-0.04
"32","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRY2",0.07,0.09,-0.1,0.13,0.11,0.12,0.13,0.17,0.09,-0.01,-0.03,0.17,0.07,0.16
"33","24","      Gross output of nonprofit institutions \2\","DNPERY2",0.08,0.17,0.1,0.31,0.22,0.25,0.31,0.39,0.11,0.14,0.11,0.21,0.18,0.24
"34","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRY2",0.02,0.08,0.2,0.17,0.11,0.12,0.18,0.23,0.02,0.15,0.15,0.04,0.11,0.09
"35","26","Gross private domestic investment","A006RY2",0.48,1.35,1.95,1.65,1.5,1.19,-1.24,-0.22,0.55,1.55,0.92,0.46,-0.65,-1.18
"36","27","  Fixed investment","A007RY2",0.94,1.33,1.41,1.7,1.52,1.24,-0.32,-0.7,0.49,1.13,1.05,0.39,-0.35,-0.81
"37","28","    Nonresidential","A008RY2",1.08,1.01,1.33,1.38,1.24,1.2,-0.35,-0.94,0.1,0.61,0.69,0.84,0.7,0.19
"38","29","      Structures","A009RY2",0.17,0.16,0.21,0.16,0,0.24,-0.05,-0.58,-0.1,0.03,0.04,0.27,0.49,0.39
"39","30","      Equipment and software","A010RY2",0.91,0.85,1.12,1.22,1.24,0.96,-0.3,-0.36,0.2,0.58,0.65,0.58,0.2,-0.2
"40","31","        Information processing equipment and software","A679RY2",0.56,0.67,0.83,0.86,0.9,0.78,-0.02,-0.12,0.26,0.35,0.27,0.31,0.29,0.22
"41","32","          Computers and peripheral equipment","B935RY2",0.34,0.35,0.37,0.39,0.37,0.21,0.02,0.04,0.06,0.08,0.07,0.13,0.11,0.05
"42","33","          Software \4\","B985RY2",0.1,0.17,0.31,0.26,0.33,0.23,0.01,0,0.12,0.17,0.11,0.07,0.11,0.11
"43","34","          Other","A937RY2",0.12,0.15,0.14,0.21,0.19,0.35,-0.06,-0.15,0.08,0.11,0.09,0.1,0.08,0.06
"44","35","        Industrial equipment","A680RY2",0.16,0.06,0.04,0.07,0.01,0.14,-0.12,-0.1,0,-0.04,0.1,0.1,0.06,-0.05
"45","36","        Transportation equipment","A681RY2",0.12,0.06,0.13,0.15,0.29,-0.04,-0.15,-0.14,-0.12,0.19,0.16,0.12,-0.14,-0.35
"46","37","        Other equipment","A862RY2",0.07,0.05,0.12,0.14,0.04,0.08,-0.01,-0.01,0.06,0.08,0.12,0.05,-0.01,-0.03
"47","38","    Residential","A011RY2",-0.14,0.33,0.08,0.32,0.28,0.05,0.03,0.24,0.4,0.52,0.36,-0.45,-1.05,-1
"48","39","  Change in private inventories","A014RY2",-0.46,0.02,0.54,-0.05,-0.02,-0.05,-0.92,0.48,0.06,0.42,-0.13,0.07,-0.3,-0.37
"49","40","    Farm","B018RY2",-0.32,0.27,-0.05,-0.02,-0.05,0.01,0.02,-0.02,0.03,0.07,-0.07,-0.03,0.03,-0.04
"50","41","    Nonfarm","A015RY2",-0.14,-0.26,0.59,-0.03,0.03,-0.07,-0.93,0.5,0.03,0.35,-0.06,0.1,-0.33,-0.33
"51","42","Net exports of goods and services","A019RY2",0.11,-0.15,-0.32,-1.18,-0.99,-0.85,-0.2,-0.65,-0.45,-0.66,-0.27,-0.05,0.63,1.2
"52","43","  Exports","A020RY2",1.03,0.9,1.3,0.26,0.47,0.91,-0.61,-0.2,0.15,0.89,0.67,0.93,0.96,0.64
"53","44","    Goods","A253RY2",0.85,0.68,1.11,0.18,0.29,0.82,-0.48,-0.25,0.12,0.55,0.52,0.68,0.57,0.48
"54","45","    Services","A646RY2",0.19,0.22,0.19,0.08,0.18,0.08,-0.13,0.05,0.03,0.34,0.15,0.25,0.39,0.16
"55","46","  Imports","A021RY2",-0.92,-1.04,-1.62,-1.43,-1.45,-1.76,0.41,-0.46,-0.6,-1.55,-0.94,-0.98,-0.33,0.56
"56","47","    Goods","A255RY2",-0.86,-0.94,-1.44,-1.21,-1.31,-1.52,0.39,-0.42,-0.55,-1.29,-0.87,-0.8,-0.24,0.58
"57","48","    Services","A656RY2",-0.06,-0.1,-0.17,-0.22,-0.14,-0.24,0.02,-0.04,-0.04,-0.26,-0.07,-0.18,-0.09,-0.02
"58","49","Government consumption expenditures and gross investment","A822RY2",0.11,0.19,0.34,0.38,0.63,0.36,0.67,0.84,0.42,0.26,0.06,0.26,0.32,0.59
"59","50","  Federal","A823RY2",-0.2,-0.08,-0.07,-0.07,0.12,0.03,0.24,0.44,0.43,0.28,0.09,0.15,0.09,0.53
"60","51","    National defense","A824RY2",-0.19,-0.06,-0.13,-0.09,0.07,-0.02,0.14,0.28,0.36,0.26,0.07,0.07,0.1,0.37
"61","52","      Consumption expenditures","A997RY2",-0.15,-0.06,-0.06,-0.1,0.05,-0.03,0.12,0.22,0.31,0.21,0.04,0.03,0.07,0.27
"62","53","      Gross investment","A788RY2",-0.03,-0.01,-0.07,0.01,0.02,0.01,0.02,0.06,0.05,0.05,0.03,0.04,0.04,0.1
"63","54","    Nondefense","A825RY2",-0.01,-0.02,0.06,0.02,0.04,0.05,0.09,0.15,0.07,0.02,0.02,0.07,-0.01,0.16
"64","55","      Consumption expenditures","A542RY2",-0.03,-0.05,0.06,-0.02,0.01,0.08,0.1,0.13,0.06,0.03,0.01,0.05,-0.02,0.14
"65","56","      Gross investment","A798RY2",0.02,0.03,0,0.03,0.03,-0.03,0,0.03,0,0,0.01,0.02,0,0.02
"66","57","  State and local","A829RY2",0.3,0.27,0.41,0.45,0.51,0.33,0.43,0.4,-0.01,-0.02,-0.03,0.11,0.23,0.06
"67","58","    Consumption expenditures","A991RY2",0.22,0.17,0.25,0.38,0.34,0.21,0.32,0.32,-0.03,0,0.04,0.07,0.17,0.07
"68","59","    Gross investment","A799RY2",0.09,0.09,0.16,0.06,0.17,0.12,0.11,0.08,0.02,-0.02,-0.07,0.04,0.06,-0.01
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
