"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"46","39","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","Government consumption expenditures and gross investment","B822RG3",72.753,74.488,75.854,76.879,79.337,82.513,84.764,87.003,90.65,94.531,100,104.842,109.552,114.502
"48","41","  Federal","B823RG3",73.717,75.763,77.047,77.931,79.886,82.524,84.201,87.318,91.024,95.335,100,104.107,107.754,110.938
"49","42","    National defense","B824RG3",73.161,75.431,76.517,77.328,79.225,81.821,83.484,86.624,90.659,94.895,100,104.421,108.286,111.913
"50","43","      Consumption expenditures","B977RG3",69.956,72.437,73.868,74.848,76.786,79.69,81.716,85.382,89.898,94.474,100,104.779,109.011,112.891
"51","44","      Gross investment","B788RG3",98.204,98.76,96.927,96.254,97.774,97.832,96.578,95.645,96.098,97.853,100,102.014,103.524,105.63
"52","45","    Nondefense","B825RG3",74.83,76.406,78.095,79.12,81.188,83.907,85.612,88.689,91.774,96.234,100,103.468,106.672,108.935
"53","46","      Consumption expenditures","B542RG3",71.299,73.207,75.322,76.664,79.036,81.985,83.922,87.54,91.075,96.008,100,103.747,107.333,109.848
"54","47","      Gross investment","B798RG3",98.913,98.156,96.933,95.888,96.188,97.525,97.628,96.877,96.777,97.837,100,101.587,102.301,102.951
"55","48","  State and local","B829RG3",72.252,73.806,75.219,76.32,79.036,82.482,85.019,86.81,90.425,94.062,100,105.276,110.615,116.642
"56","49","      Consumption expenditures","B991RG3",71.333,72.936,74.391,75.516,78.471,82.087,84.786,86.635,90.807,94.343,100,105.047,109.941,116.057
"57","50","      Gross investment","B799RG3",76.258,77.571,78.783,79.771,81.416,84.124,85.974,87.521,88.819,92.875,100,106.257,113.482,119.132
"58",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","51","  Final sales of computers to domestic purchasers \2\","W489RG3",844.282,630.994,473.379,341.952,258.133,219.525,175.473,146.822,126.76,115.361,100,86.283,76.909,68.284
"60","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RG3",79.242,81,82.558,83.508,85.194,87.56,89.486,90.977,93.264,96.228,100,103.563,106.748,110.279
"61","53","  Food \3\","B981RG3",81.568,83.906,85.293,86.245,87.633,89.682,92.291,93.671,95.385,98.396,100,101.686,105.607,111.71
"62","54","  Energy goods and services","B982RG3",58.851,61.563,62.203,56.911,59.253,70.081,71.728,67.555,76.101,84.968,100,111.282,118.17,134.804
"63","55","  Gross domestic purchases excluding food and energy","B983RG3",82.647,84.001,85.266,86.093,87.384,89.163,90.769,92.3,94.177,96.762,100,103.157,105.984,108.689
"64","56","  Gross domestic product","B191RG3",81.533,83.083,84.554,85.507,86.766,88.648,90.654,92.113,94.099,96.769,100,103.263,106.221,108.481
"65","57","      Gross domestic product excluding final sales of computers","BB00RG3",79.452,81.272,83.034,84.306,85.86,87.931,90.157,91.785,93.896,96.635,100,103.4,106.492,108.888
"66","58","      Food \3\","BB10RG3",81.621,85.084,85.629,85.99,87.229,89.231,92.089,93.57,95.666,99.047,100,101.647,106.516,113.98
"67","59","      Energy goods and services","BB11RG3",86.089,86.374,88.881,88.838,86.556,86.888,97.843,89.853,95.26,98.439,100,104.856,105.791,84.554
"68","60","      Gross domestic product excluding food and energy","BB03RG3",81.423,82.882,84.386,85.403,86.75,88.662,90.416,92.085,93.989,96.608,100,103.322,106.213,108.64
"69","61","  Final sales of domestic product","B190RG3",81.379,82.953,84.449,85.443,86.72,88.623,90.631,92.089,94.089,96.759,100,103.266,106.226,108.507
"70","62","  Final sales to domestic purchasers","B713RG3",81.524,83.023,84.294,84.896,86.257,88.436,90.098,91.396,93.537,96.389,100,103.384,106.412,109.792
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
