"","Table 1#7#1# Percent Change from Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","Less: Income payments to the rest of the world","A655RL1",10.5,14.4,25,-10.6,-6.5,14,18,15.2,33.4,7.3,17.1,0.6,-0.1,8.5,1.9,-4,-0.8,14.5,33.6,8.6,21.8,22.4,-5,-5.3,-29.1,-35.9,-7.3,-74.7,129.8,58.8,0.5,-36.7,46.4,-4.1,16,3.3,16.8,58.4,10,69.5,11.1,23.2,13.3,65.7,24,45.4,23,8.9,13.4,27.6,-10.5,-20,-23,11.3,-27,-27.4,-60.8,NA
"12","4","Equals: Gross national product","A001RL1",1.5,1,2.6,3.4,3.1,6.6,3.3,4.7,2.7,6.4,4.7,2.8,4.3,3.5,4.7,7.2,4.1,3.4,5,7.8,0.9,8.2,0.2,3.4,-1.9,3,-2,3.9,1.9,1.4,2.6,0.7,1.1,3.7,6.8,4.6,3.5,2,3.3,2.6,5.2,1.3,3.4,1.1,5.4,1.3,-0.3,3.2,0.9,3.6,5.4,3.4,-1.1,0.2,-1.8,-6.7,-6.6,NA
"13","5","Less: Consumption of fixed capital","A262RL1",4.5,4.6,4.8,4.9,5,5.2,5.3,5.5,5.6,5.9,6.2,6.4,6.6,6.8,6.9,7,7.1,7.1,7.2,7.2,7.3,6.8,6.3,5.8,5.4,4.9,4.4,3.9,3.4,3.3,3.1,2.9,2.8,2.9,3,3.2,3.4,3.4,3.4,3.3,3.3,3.7,4,4.4,3.2,3.5,3.7,3.8,3.9,3.9,3.9,3.9,3.9,3,2,1.1,1.5,0.5
"14","6","        Private","A024RL1",5.3,5.4,5.5,5.7,5.8,6,6.2,6.3,6.5,6.8,7.1,7.4,7.6,7.7,7.8,7.9,7.9,8,8,8.1,8.1,7.6,7,6.5,6,5.4,4.8,4.2,3.6,3.4,3.2,3,2.8,3,3.1,3.2,3.4,3.4,3.4,3.5,3.5,3.9,4.3,4.7,3.4,3.6,3.8,4,4.2,4.1,4.1,4,3.9,2.9,1.9,0.9,1.1,-0.2
"15","7","        Government","A264RL1",1.3,1.5,1.6,1.6,1.8,1.7,1.8,1.8,1.6,2,2.1,2.1,2.2,2.5,2.7,2.9,3.1,3.1,3,3,3,2.8,2.7,2.5,2.2,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.5,2.7,3.5,3.2,3,2.7,2.5,2.6,2.8,2.9,2.3,3,3,2.9,2.9,3.1,3.4,3.6,3.8,3.2,2.6,2,3.6,4
"16","8","          General government","A265RL1",1.1,1.3,1.4,1.4,1.6,1.5,1.7,1.7,1.7,1.9,2,2,2.1,2.4,2.5,2.7,2.9,2.9,2.8,2.8,2.9,2.7,2.6,2.4,2.1,2.4,2.3,2.3,2.4,2.3,2.3,2.2,2.2,2.4,2.3,2.5,3.3,3.1,2.9,2.6,2.4,2.6,2.8,2.9,3,3.1,3.1,3,2.9,3.3,3.6,3.9,4.2,3.4,2.7,2.1,4,4.5
"17","9","          Government enterprises","A266RL1",2.6,2.7,2.9,2.9,3.2,2.7,2.5,2.4,1.3,2.5,3,2.8,3,3.3,3.7,3.8,4.2,4.2,3.8,3.9,3.9,3.5,3.3,3.1,2.8,2.8,2.8,3,2.8,3.1,3.4,3.7,4,4,3.9,4,4.3,4.1,3.6,3.2,2.9,2.7,2.7,2.7,-1.3,2.6,2.6,2.6,2.6,2.4,2.3,2.1,2.1,1.9,1.8,1.5,1.7,1.8
"18","10","Equals: Net national product","A027RL1",1.1,0.5,2.3,3.2,2.8,6.8,3.1,4.6,2.3,6.5,4.5,2.3,3.9,3.1,4.5,7.2,3.7,2.9,4.8,7.9,0,8.3,-0.6,3,-2.8,2.7,-2.8,3.9,1.7,1.2,2.5,0.4,0.9,3.8,7.4,4.8,3.5,1.8,3.3,2.5,5.4,1,3.3,0.7,5.7,1,-0.9,3.2,0.5,3.5,5.6,3.3,-1.8,-0.1,-2.4,-7.8,-7.7,NA
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income \1\","A261RL1",2.1,1.9,4.7,2.5,3.8,6.4,3.9,5.2,4.3,4.7,6.7,4.9,4.3,5.8,6,3.9,5.5,2.7,3.7,7.1,8.4,2.2,3,-0.8,4.1,-1.4,-1.8,-1.9,5.1,2.2,-0.5,1.6,1.1,4.1,3.4,4.4,3.3,3.9,4.3,2.9,4.3,3,3,4.8,6.4,1.3,1.9,2.6,-2.4,2.5,-1.1,1.3,0,-0.1,-1.1,-7.3,-6.8,NA
"21","12","  Gross national income \2\","A023RL1",2.6,2.1,3.9,3.1,4.1,5.9,3.8,5.5,3.9,5.1,6.3,4.5,4.7,5.6,5.3,4,6,2.9,3.5,7.5,8.2,2.4,2.8,0.2,3.5,-1.1,-2.7,0.5,3.5,1.5,0.1,2.3,0.6,4.6,3.4,5.3,3.9,3,4.6,2.1,5.4,2.6,3.3,3.8,6.5,1.2,1.5,2.9,-2.7,2.8,0.7,2.6,-0.4,-1.3,-0.2,-8.5,-6.9,NA
"22","13","  Net domestic product","A362RL1",0.5,0.4,3.2,2.5,2.5,7.4,3.3,4.3,2.8,6.1,5,2.7,3.5,3.2,5.2,7.1,3.2,2.7,4.9,7.4,0.2,8.2,-0.4,1.9,-2.2,2.3,-1.8,1.1,3.5,2,1.9,-0.3,1.5,3.3,7.4,3.7,2.8,2.8,2.9,3.5,4.2,1.4,2.9,1.8,5.7,1.2,-0.4,2.8,0.8,3.1,3.5,1.9,-1.4,1.2,-3.3,-6.3,-7.6,-1.3
"23","14","  Net domestic income \3\","W256RL1",1.8,1.6,4.7,2.2,3.6,6.6,3.8,5.2,4.2,4.6,6.8,4.7,4,5.6,5.8,3.6,5.2,2.1,3.2,7,8.5,1.7,2.6,-1.6,3.9,-2.2,-2.7,-2.7,5.3,2.1,-1,1.4,0.9,4.2,3.5,4.6,3.3,4,4.4,2.9,4.4,2.9,2.9,4.9,6.9,1,1.7,2.5,-3.3,2.2,-1.8,0.9,-0.6,-0.6,-1.5,-8.5,-8,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
