"","Table 2#8#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"11","3","  Durable goods","DDURRG3",124.552,124.539,124.789,124.842,124.435,124.195,124.099,124.2,123.969,123.93,123.635,123.875,123.958,123.823,123.94,123.491,122.955,122.824,122.815,122.774,122.718,122.683,122.318,121.71,121.66,121.811,121.825,120.904,120.561,120.31,120.042,119.72,119.588,119.559,119.023,118.761,118.525,118.151,118.038,118.096,117.215,116.753,116.83,116.435,116.102,115.929,115.646,115.186,115.044,114.609,114.179,114.321,114.036,113.751,113.681,113.493,113.33,113.119,112.859,112.469,112.421,112.106,112.322,112.151,112.169,111.824,111.616,111.153,111.315,111.101,111.122,111.02,110.946,110.566,110.206,110.06,109.628,109.668,109.735,109.208,108.221,108.69,108.487,108.327,108.039,107.345,107.219,107.127,107.064,106.743,106.618,106.411,106.335,106.137,105.72,105.307,104.678,104.421,104.239,103.937,103.292,102.871,102.745,102.309,102.019,101.685,101.461,101.227,101.372,101.445,101.441,101.466,101.305,101.261,100.948,100.415,100.431,100.652,100.661,100.66,100.564,100.559,100.521,100.383,100.521,100.252,99.863,99.419,99.586,99.572,99.42,99.341,99.286,99.164,98.974,98.972,98.814,98.442,98.4,98.479,97.963,98.014,97.801,97.552,97.372,97.454,97.359,97.148,96.999,97.008,96.767,96.258,96.099,96.169,96.037,95.896,95.963,96.037,96.111,96.037,95.751,95.707,95.766,95.518,95.328,95.205,94.689,94.335,94.227,94.386,94.365,94.485,94.337,94.376
"12","4","  Nondurable goods","DNDGRG3",81.719,81.733,81.666,81.95,82.046,82.037,82.125,82.203,82.231,82.383,82.192,82.372,82.832,83.022,83.532,84.061,84.136,83.796,83.868,83.724,84.027,84.371,84.653,84.931,85.019,85.089,84.854,84.985,84.725,84.476,84.448,84.678,84.896,84.894,84.755,84.643,84.472,84.146,83.635,83.666,84.031,84.052,84.227,84.355,84.179,84.378,84.27,84.506,84.846,84.575,84.585,85.963,85.856,85.899,86.351,86.732,87.421,87.512,87.392,87.973,88.168,88.816,89.977,89.603,89.442,90.282,90.509,90.03,90.919,90.688,90.829,90.812,91.016,91.168,90.86,91.167,91.881,91.898,91.136,90.782,91.817,90.717,89.839,89.138,89.355,89.607,90.176,91.228,90.831,90.894,91.049,91.286,91.335,91.59,91.626,91.559,92.538,93.568,93.483,92.348,91.11,91.424,92.013,93.022,93.814,93.205,93.25,93.723,94.422,94.749,95.001,94.815,95.718,96.27,96.111,96.048,96.321,97.661,98.39,97.929,97.483,97.878,98.297,98.971,98.113,98.04,99.391,100.986,104.251,103.613,101.669,101.309,102.444,102.06,102.184,103.166,103.502,103.749,104.578,105.434,103.851,102.165,102.189,103.263,103.292,103.798,104.941,105.302,105.933,105.798,105.975,105.913,106.673,107.33,109.822,110.228,110.911,111.056,111.587,111.731,112.36,114.422,115.764,115.575,115.936,113.399,108.065,105.449,106.126,107.207,106.883,106.877,107.016,109.276
"13","5","Services","DSERRG3",74.334,74.557,74.769,74.971,75.164,75.315,75.456,75.678,75.777,76.024,76.125,76.276,76.399,76.548,76.712,76.934,77.178,77.319,77.578,77.766,78.008,78.256,78.445,78.601,78.781,79.026,79.247,79.442,79.53,79.809,79.934,80.015,80.264,80.451,80.615,80.692,80.853,80.959,81.182,81.352,81.549,81.521,81.764,81.964,82.012,82.268,82.379,82.534,82.694,82.842,83.013,83.133,83.278,83.342,83.546,83.665,83.889,84.065,84.252,84.457,84.817,85.101,85.255,85.265,85.396,85.591,85.849,86.045,86.296,86.595,86.732,86.942,87.511,87.72,87.897,88.069,88.271,88.49,88.65,88.825,88.19,88.968,89.204,89.347,89.458,89.729,89.971,90.242,90.479,90.683,90.956,91.179,91.422,91.642,91.855,92.07,92.225,92.516,92.934,93.125,93.457,93.596,93.822,94.06,94.307,94.551,94.739,94.972,95.281,95.528,95.73,96.03,96.293,96.618,96.96,97.2,97.366,97.468,97.762,98.014,98.379,98.692,99.042,99.322,99.541,99.697,99.974,100.22,100.725,101.241,101.534,101.634,101.949,102.164,102.4,102.69,103.005,103.298,103.533,103.836,104.164,104.376,104.613,104.9,105.364,105.705,105.935,106.175,106.408,106.716,106.966,107.303,107.712,108.126,108.4,108.756,108.932,109.183,109.525,109.855,110.317,110.716,111.121,111.293,111.411,111.502,111.509,111.615,111.702,111.797,111.747,111.851,111.921,112.059
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","  Energy goods and services \1\","DNRGRG3",59.198,59.138,58.876,58.83,58.991,59.195,58.965,58.934,58.178,58.479,57.878,58.53,59.698,59.843,60.567,62.304,62.605,61.187,61.368,61.247,61.251,61.951,62.588,63.594,64.226,64.245,63.227,62.257,60.806,60.693,60.571,61.775,62.505,62.411,62.04,61.196,59.691,58.265,57.132,56.535,57.074,57.319,57.19,56.463,56.015,56.156,55.848,55.186,54.961,54.547,55.344,58.586,58.128,57.912,59.248,60.957,62.379,62.578,62.311,63.889,64.648,67,70.467,68.259,67.518,71.474,71.594,69.474,72.683,72.824,72.548,72.918,75.164,74.491,73.073,73.516,77.118,76.343,71.883,70.647,73.21,68.535,64.65,62.855,62.957,62.601,65.116,67.488,67.641,67.546,68.059,68.464,68.865,70.746,70.652,70.853,74.679,79.028,80.572,76.061,71.714,71.882,73.306,76.673,79.718,76.713,76.317,77.49,80.591,81.676,81.383,80.305,82.664,84.951,84.61,84.831,85.825,89.465,92.463,91.49,89.494,91.218,92.396,94.628,91.135,91.253,96.657,103.224,117.811,116.891,108.888,106.406,111.697,110.084,108.641,112.1,113.009,112.796,116.868,119.755,112.242,103.975,105.47,110.317,108.682,109.814,114.558,115.755,118.052,117.372,117.111,116.141,118.823,120.808,130.621,131.406,132.486,133.209,136.061,135.153,138.605,147.126,152.212,149.099,147.899,135.895,111.519,100.514,102.273,105.708,102.315,99.926,100.142,108.5
"16","7","  Personal consumption expenditures excluding food and energy \2\","DPCCRG3",82.873,83.024,83.229,83.419,83.557,83.632,83.774,83.979,84.087,84.28,84.337,84.465,84.582,84.698,84.885,84.989,85.13,85.203,85.384,85.472,85.726,85.921,86.05,86.107,86.234,86.434,86.649,86.815,86.887,87.017,87.081,87.06,87.242,87.39,87.446,87.519,87.659,87.741,87.845,88.033,88.137,88.042,88.29,88.472,88.467,88.654,88.689,88.872,89.057,89.076,89.111,89.33,89.4,89.443,89.603,89.633,89.841,89.955,90.034,90.175,90.437,90.596,90.785,90.821,90.896,90.937,91.121,91.215,91.433,91.564,91.724,91.799,92.117,92.269,92.368,92.523,92.549,92.748,92.964,93.001,92.48,93.142,93.335,93.377,93.438,93.62,93.753,94.033,94.147,94.292,94.478,94.655,94.8,94.882,94.984,95.062,95.077,95.194,95.34,95.459,95.592,95.656,95.873,95.978,96.103,96.255,96.372,96.51,96.755,96.955,97.162,97.399,97.582,97.794,97.982,98.051,98.199,98.362,98.538,98.679,98.983,99.222,99.483,99.612,99.812,99.879,100.007,100.11,100.4,100.675,100.85,100.967,101.134,101.291,101.55,101.827,102.065,102.279,102.397,102.652,102.842,103.056,103.115,103.291,103.661,103.908,104.017,104.164,104.3,104.49,104.687,104.87,105.154,105.485,105.685,105.971,106.163,106.311,106.526,106.732,106.968,107.228,107.489,107.653,107.814,107.864,107.856,107.878,108.01,108.202,108.307,108.581,108.676,108.851
"17","8","  Market-based personal consumption expenditures \3\","DPCMRG3",82.926,83.057,83.19,83.421,83.53,83.59,83.698,83.868,83.939,84.144,84.11,84.25,84.416,84.565,84.805,85.068,85.196,85.177,85.324,85.366,85.576,85.8,85.933,86.017,86.161,86.301,86.39,86.453,86.385,86.497,86.518,86.595,86.791,86.822,86.812,86.815,86.835,86.791,86.793,86.857,86.977,86.896,87.113,87.234,87.174,87.372,87.375,87.466,87.605,87.569,87.646,88.094,88.124,88.135,88.334,88.455,88.748,88.865,88.941,89.157,89.417,89.715,90.106,89.975,90.015,90.29,90.566,90.546,90.927,91.062,91.17,91.264,91.662,91.796,91.806,91.977,92.226,92.378,92.286,92.271,92.517,92.332,92.263,92.157,92.222,92.336,92.567,92.94,92.956,93.026,93.229,93.418,93.589,93.766,93.874,93.963,94.281,94.687,94.88,94.652,94.479,94.576,94.855,95.21,95.481,95.448,95.523,95.723,96.104,96.34,96.52,96.629,96.948,97.247,97.338,97.404,97.575,98.024,98.401,98.43,98.492,98.774,99.052,99.356,99.281,99.351,99.796,100.285,101.433,101.595,101.309,101.276,101.769,101.8,101.966,102.362,102.639,102.836,103.204,103.627,103.329,102.999,103.11,103.497,103.76,104.11,104.524,104.746,105.027,105.157,105.274,105.344,105.726,106.166,106.939,107.238,107.563,107.806,108.159,108.392,108.787,109.556,110.191,110.249,110.4,109.892,108.521,107.93,108.211,108.605,108.541,108.614,108.658,109.306
"18","9","  Market-based personal consumption expenditures excluding food and energy \3\","DPCXRG3",85.127,85.246,85.437,85.646,85.77,85.817,85.962,86.158,86.294,86.486,86.511,86.6,86.661,86.789,86.962,87.071,87.201,87.256,87.377,87.403,87.633,87.791,87.877,87.882,88.012,88.144,88.368,88.526,88.571,88.705,88.731,88.69,88.853,88.893,88.906,88.993,89.115,89.209,89.301,89.422,89.505,89.379,89.637,89.821,89.799,89.979,89.995,90.164,90.313,90.3,90.335,90.563,90.622,90.653,90.761,90.74,90.937,91.052,91.137,91.247,91.482,91.612,91.771,91.789,91.85,91.841,92.109,92.232,92.416,92.562,92.707,92.737,93.014,93.173,93.288,93.445,93.433,93.637,93.857,93.91,94,94.113,94.343,94.374,94.401,94.536,94.595,94.818,94.884,94.985,95.171,95.365,95.517,95.58,95.692,95.781,95.843,95.928,96.009,96.099,96.23,96.272,96.498,96.598,96.655,96.817,96.899,96.987,97.214,97.398,97.598,97.791,97.904,98.059,98.184,98.238,98.382,98.572,98.743,98.857,99.116,99.334,99.54,99.626,99.811,99.901,99.996,100.078,100.318,100.571,100.79,100.92,101.087,101.256,101.542,101.783,102.038,102.252,102.376,102.636,102.785,102.959,102.982,103.112,103.473,103.709,103.795,103.947,104.071,104.215,104.355,104.463,104.687,105.022,105.203,105.48,105.718,105.899,106.095,106.291,106.486,106.735,107.02,107.226,107.411,107.564,107.608,107.676,107.9,108.155,108.346,108.643,108.726,108.894
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
