"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Personal current taxes","W055RC1",720,742.2,747.7,765.7,796.5,834.4,838.4,858.4,896.4,910.5,935.4,962.2,990.1,1016.4,1037.2,1062,1073.5,1090.8,1116.2,1149.6,1204.7,1226.1,1243.6,1254.6,1297.6,1304.5,1109.5,1227.7,1068.4,1045.3,1046.3,1041.7,1021.3,1018.1,945.2,1016.8,1009.3,1026.4,1064.7,1090.9,1164.2,1192.3,1224,1253.8,1321.5,1340.2,1354.3,1393.5,1459.5,1481.8,1500.7,1521.9,1531.8,1326.2,1437.3,1434.3,1192.6,1079.5
"12","4","  Taxes on production and imports","W056RC1",554.9,553.7,559.2,563.9,570.8,577.7,581.6,592.9,595.6,610.3,616.6,624,629.1,635.5,643,650.3,657.5,667.1,679,690.8,698.6,707.3,711.3,717.1,724.1,724.1,725.4,737.2,745.2,756.9,772.1,777,787.9,799.5,813,826.9,843.5,855.7,867.9,886.5,905.6,925.1,939.6,950.3,971.5,983.3,991.6,1000.7,1015.3,1025.2,1032.2,1042.3,1042.5,1050.8,1058.5,1037.3,1018.8,1026.5
"13","5","  Taxes on corporate income","W025RC1",210.6,208.2,214.6,210.5,214.2,225.4,225.9,229,230,234.5,246.9,237.2,239.8,236.5,242.6,237.8,246.3,244.5,248.6,255.7,264.1,262.6,244.7,247.4,214.8,207,185.7,166.6,169.1,175.3,182.3,198.6,219.8,215.4,235.3,256.6,264.2,284,306.5,313.3,389.1,379.7,386.9,427.9,443.4,456.4,477.2,439.7,447.4,442,414.3,403.2,295,288.4,275.7,194.2,244.2,NA
"14","6","  Taxes from the rest of the world","W008RC1",3.6,3.7,4.2,4.2,4.6,4.8,5.4,5.8,4.8,4.9,5.1,5.6,4.8,5.1,5.6,7.3,5.4,6,6.3,6,6.9,7.6,7.3,7.5,7.6,7,7.7,8.3,7.2,7.5,7.5,8.1,7.5,10.6,8,9.7,9.7,9.1,8.4,12.7,11.4,10.4,13.6,13.2,11.1,11.2,12,21.7,13,14.2,13.3,16.3,14.9,14.3,14.7,15.9,13.5,12
"15","7","Contributions for government social insurance","W782RC1",528.4,532.8,538,542.7,547,554.8,561.4,568.2,578.4,585.2,593.3,604.1,614.9,623.5,632.1,640.5,655.6,659.7,665.6,677.4,700.9,702.4,714.8,719.5,739.2,737.8,735.3,735.5,750.4,756,756.4,757.9,770.5,778.7,785.7,796.4,816.5,825.9,837.5,846.8,865.6,870.4,883.8,889.7,920,921.9,925.3,938.4,957.3,958.5,963.4,977.5,990.3,993.9,999.9,998.4,979,968.1
"16","8","Income receipts on assets","W058RC1",89,91.2,92,95.1,97.6,98.8,101.3,102.1,103.1,104.2,103.9,103.2,102.6,102.5,102.3,103.3,103.1,104.7,107,110.7,116.9,119.7,119.3,119.2,118.4,116.1,113.5,110.3,104.7,100.7,98.1,96.1,94.5,96.6,97.5,98.6,97.1,98.6,101.1,104.5,106.9,110.6,113.6,116.6,122.2,127.4,132,136.9,140.4,142.8,144.9,145.1,143.7,145.1,143.2,144.6,156.5,166.4
"17","9","  Interest and miscellaneous receipts \1\","W059RC1",88.1,90.3,90.9,94,96.4,97.5,99.8,100.7,101.7,102.7,102.4,101.5,101.1,100.8,100.6,101.6,101.5,103.2,105.6,109.2,115.4,118.3,118.1,117.8,116.9,114.8,112.1,108.9,103.2,99.2,96.5,94.5,92.6,94.9,95.7,96.9,95.4,96.8,99.1,101.7,104.7,108.3,111.3,114.2,119.7,124.8,129.4,134.2,137.7,140.2,142.2,142.3,140.6,142.1,140.3,139.8,140.5,143.1
"18","10","  Dividends","W065RC1",0.8,0.8,1,1.1,1.2,1.3,1.5,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.3,1.2,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.8,1.7,1.7,1.7,1.7,1.8,2,2.8,2.2,2.3,2.4,2.4,2.5,2.6,2.6,2.7,2.6,2.6,2.8,2.8,3.2,3,2.9,4.8,16,23.3
"19","11","Current transfer receipts","W060RC1",58.8,58.3,58.4,58.1,60.1,61.4,63.1,82.5,66.5,67.8,73,69.8,71.5,70.7,73,85.9,79,80.5,82.1,85,89.6,91.3,93,95.3,97,98.3,99.6,100.8,102.6,103.8,105,105.9,105.6,107.6,110,112.4,115.9,118.4,120.7,122,124.1,126.2,127.3,129,132.4,134.5,137,139.9,143,145.3,148.5,153.9,159.4,162,164.5,181,190.7,199.3
"20","12","  From business (net)","W061RC1",26.9,25.9,25.5,24.6,26,26.8,27.8,46.7,29.3,29.7,34.4,30.8,32.5,31.4,33,44.8,36.7,37,37.4,39.2,42.7,43.2,43.7,44.7,45.4,45.8,46.2,46.5,47.4,47.8,48.2,48.3,47.5,48.3,49.2,49.9,51.3,52.3,53.2,53.4,53.9,55.2,55.4,56.4,57.8,58.9,60.1,61.6,63,63.8,65.4,69.3,73.3,74.6,76,91.5,100.3,107.9
"21","13","  From persons","W062RC1",31.9,32.3,32.9,33.5,34,34.6,35.2,35.8,37.2,38,38.6,39,39.1,39.3,40,41.1,42.3,43.5,44.7,45.8,46.9,48.1,49.3,50.6,51.5,52.5,53.4,54.3,55.2,56,56.8,57.6,58.1,59.3,60.7,62.5,64.6,66.2,67.5,68.6,70.2,71,71.8,72.6,74.6,75.7,76.9,78.4,80,81.5,83.1,84.6,86.1,87.4,88.5,89.5,90.4,91.4
"22","14","Current surplus of government enterprises \2\","A108RC1",13.2,13,13.1,13.2,13.9,14,14.6,14.9,13.9,14.7,14,13.8,12.9,13.5,13.7,13,15.1,14.7,14.2,12.4,12.5,11,7.7,5.3,4.4,3,7.9,0.9,4.3,4.4,9.1,7.6,9.4,7.9,6.3,4.3,3.7,1.9,0.3,-0.9,-1.8,-3.1,-4.5,-4.5,-2.4,-3.8,-4.7,-6,-8.4,-6.9,-4.9,-6,-5.6,-6.3,-6.9,-8.9,-10.7,-8.9
"23","15","    Current expenditures","W022RC1",2389,2411.6,2428.2,2421.2,2478.4,2502.4,2505,2536.9,2551.3,2569.9,2583.3,2619.7,2612.3,2640.4,2652.1,2692.2,2712.3,2734.3,2774.1,2826.8,2837.7,2900.3,2921.4,2964.5,3028.7,3084.6,3111.9,3149.3,3213.1,3257.5,3286.8,3341.5,3398.3,3461.6,3477.9,3496.6,3591.9,3625.3,3672.3,3724.7,3828.8,3880.8,3946.4,4009.4,4064.5,4137.3,4197.8,4192,4335.5,4389.1,4450.7,4520.5,4625.5,4797,4811.7,4726.9,4780.6,5020
"24","16","Consumption expenditures","A955RC1",1133.7,1141.2,1147.4,1143.4,1161.4,1174.7,1176.6,1194.1,1203.6,1219.4,1224,1241.2,1236,1260.1,1267.3,1289.4,1309.2,1325.1,1355.6,1385.7,1392.2,1426.1,1434.7,1453.5,1488.6,1516.1,1536.3,1556.5,1598.8,1627.7,1649.2,1683.8,1724.6,1758.4,1765.8,1778.3,1823.2,1846.8,1876.5,1895.3,1938.9,1957.2,2003.5,2011.9,2064.8,2083.1,2105.8,2119.7,2152.2,2197.2,2234.3,2275.9,2332.5,2381.5,2436.4,2397.1,2378.6,2409.1
"25","17","Current transfer payments","A084RC1",875.8,882.5,888.5,882.7,918.8,930.5,927.1,940.2,946.2,947.2,953.7,971.1,968.2,971.7,975.9,996.6,1002.1,1005.9,1016.4,1035,1038.1,1064.9,1079.2,1103.8,1128.4,1160,1167.7,1219.7,1258.2,1273.3,1285.2,1306.9,1329.1,1347.3,1369.8,1372.9,1423.6,1432.5,1440.8,1463.6,1513.7,1522.8,1539.4,1563.6,1590,1627.3,1651.2,1655.5,1730.7,1714.4,1744.5,1783.7,1825.2,1966.7,1898.7,1925.3,2009.2,2171.3
"26","18","  Government social benefits","W063RC1",859.5,868.1,873.2,867.2,895.7,915.2,911,913.1,932.6,933.6,939.3,944.9,954,958.3,959.5,968.7,987.2,988.9,1000.1,1008.3,1021.1,1046.7,1059.2,1070.1,1112.6,1143.9,1150.2,1196.3,1226.4,1253.9,1266.6,1283.5,1299.2,1316.9,1341,1347.4,1385.3,1405.4,1413,1433.2,1468.6,1491.2,1500.7,1515.4,1559.7,1590.4,1612.2,1621.9,1680,1682.8,1707.2,1734.4,1775.1,1926.5,1855.7,1879.4,1969.7,2118.2
"27","19","    To persons","A063RC1",853.4,861.1,866.2,860.1,888.1,907.7,903.4,905.5,924.8,925.6,931.6,937,945.8,950,951.4,960.5,978.8,980.4,991.5,999.7,1012.6,1038,1050.4,1061.3,1103.3,1134.6,1140.7,1186.8,1216.9,1244.3,1256.9,1273.7,1289.3,1306.8,1330.9,1337.2,1374.9,1394.8,1402.4,1422.2,1457.5,1480,1489.4,1504,1547.3,1578,1600.1,1609.1,1666.7,1669.3,1693.9,1721.2,1761.5,1904.4,1841.7,1865.3,1954.7,2102.6
"28","20","    To the rest of the world \3\","W016RC1",6.1,7,7,7.1,7.6,7.5,7.6,7.6,7.8,8,7.8,7.9,8.2,8.3,8.1,8.2,8.4,8.5,8.6,8.6,8.5,8.7,8.7,8.7,9.4,9.3,9.5,9.5,9.5,9.6,9.7,9.8,9.9,10.1,10.1,10.2,10.5,10.6,10.6,11,11,11.2,11.3,11.4,12.4,12.4,12.2,12.8,13.3,13.4,13.3,13.2,13.6,22.1,14,14.1,15,15.7
"29","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1",16.3,14.5,15.3,15.5,23,15.3,16.1,27.1,13.6,13.6,14.4,26.2,14.1,13.5,16.3,27.9,14.9,17,16.3,26.7,17,18.2,20,33.7,15.8,16.1,17.5,23.4,31.8,19.4,18.6,23.4,29.8,30.4,28.8,25.5,38.3,27.1,27.8,30.4,45.1,31.7,38.7,48.1,30.3,36.9,39,33.6,50.7,31.6,37.3,49.2,50.1,40.2,43,45.9,39.5,53.1
"30","22","Interest payments \1\","A180RC1",345.6,353.2,357.2,359.6,362.7,361.7,366.1,367.7,367.1,369.7,372.1,373.5,374.3,373.6,372.1,366.4,358.4,358.2,355.7,359.1,362.4,363.9,361.7,360.1,356.4,346.5,336.7,326.6,313.5,316.6,311.1,309.1,301.2,297.4,295.4,298,301.7,300.9,310,313.6,319.4,339.9,341.4,370.2,354.1,375.4,391.1,368.2,403.3,419.1,415.8,405.5,414.6,395.9,423.8,349.3,337.3,384.4
"31","23","  To persons and business \1\","A204RC1",296.6,298.7,298.6,299.1,300.5,297.2,299.4,294.8,289.6,288.6,288.9,288.6,289.6,287.9,288.4,283.9,276.9,277.6,275.9,279.1,280.7,278.8,276.3,274.1,272.5,265,261.1,254,239.1,242.5,236.5,232.5,226.1,224.2,221.6,224.8,226.9,219.2,225.5,224.6,223.9,239.4,235.8,256.3,232.2,243.7,252.6,220.4,247.1,253.5,249,236.9,246.8,224.6,259.5,191.5,191.3,NA
"32","24","  To the rest of the world","B093RC1",49,54.5,58.5,60.5,62.2,64.6,66.7,72.9,77.6,81.1,83.2,84.9,84.7,85.6,83.8,82.5,81.6,80.7,79.8,80,81.6,85.1,85.4,86,83.8,81.4,75.6,72.7,74.4,74.1,74.6,76.5,75.1,73.2,73.8,73.3,74.9,81.8,84.4,89,95.5,100.4,105.7,113.9,121.9,131.7,138.5,147.8,156.2,165.6,166.9,168.6,167.9,171.3,164.3,157.8,146,NA
"33","25","Subsidies \2\","A107RC1",34,34.6,35.1,35.5,35.5,35.4,35.2,34.8,34.4,33.6,33.4,33.8,33.8,35,36.8,39.9,42.4,45,46.4,46.9,45.1,45.5,45.8,47,55.2,62,71.2,46.4,42.6,39.8,41.4,41.7,44.9,57.1,47,47.3,44.8,43.6,44.9,52.2,56.9,61,62.1,63.7,55.6,51.4,49.8,48.7,49.2,58.3,56,55.4,53.1,52.9,52.9,55.2,55.5,55.1
"34","26","Less: Wage accruals less disbursements","A184RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,-1.4,0,0,1.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","27","    Net government saving","A922RC1",-210.5,-208.5,-201.1,-167.8,-173.8,-131,-113.3,-83,-62.4,-37.9,4.8,0.1,53.5,63.3,97.4,107.8,123.2,133.5,145,160.7,256.4,227.7,220.3,201.4,174.4,113.3,-127.3,-62,-261.3,-307.6,-310,-348.6,-381.9,-427.3,-477,-374.8,-432,-405.4,-365.2,-348.7,-263.7,-269.2,-262.1,-233.3,-144.7,-166.2,-173.1,-127,-168.1,-186.3,-238.4,-266.3,-453.5,-822.5,-724.8,-730.2,-996.1,NA
"36","28","Social insurance funds","A221RC1",20.8,18.4,19.5,19.9,10.3,13.7,18.2,20.8,20.5,25,32.5,42.6,46.5,55.7,63.4,74.3,84.9,89.3,95.7,107,120,108.9,118.8,117.3,110.3,99.2,82,71.4,66.6,48.7,46.1,43.4,45.1,38.9,38.2,41.6,51,56.1,61.2,60.3,56.3,52.2,60.2,57,32.7,13.8,10,11.6,12.3,-2.3,-12.2,-8.8,-24,-38,-65.8,-85,-171.4,-229
"37","29","Other","A391RC1",-231.3,-227,-220.6,-187.7,-184.1,-144.7,-131.4,-103.8,-82.8,-62.9,-27.7,-42.5,7,7.5,34,33.5,38.2,44.2,49.3,53.7,136.4,118.8,101.5,84.1,64.1,14.1,-209.3,-133.4,-327.9,-356.3,-356.1,-392,-427,-466.1,-515.1,-416.3,-483,-461.5,-426.4,-409,-320,-321.4,-322.4,-290.3,-177.4,-180,-183.1,-138.6,-180.4,-184,-226.3,-257.5,-429.5,-784.5,-658.9,-645.1,-824.7,NA
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","30","  Total receipts","W066RC1",2197.8,2222.1,2247.8,2274.5,2326.2,2394.4,2415.9,2477.6,2514.6,2558.3,2615.6,2648.2,2696.4,2735.8,2782.3,2834.1,2870.7,2904.5,2955.5,3026.1,3130.1,3164,3177.1,3201.2,3239.2,3235.7,3025.7,3121.9,2986.4,2982.6,3010.5,3022.6,3045.4,3060.9,3027.6,3151.6,3189.2,3249.8,3321.5,3405.6,3595.3,3641.1,3720.3,3783.9,3956.6,4003,4057.2,4096.3,4197.7,4234.2,4244.1,4287.9,4206.6,4009.9,4120.2,4029,3815.3,NA
"40","31","    Current receipts","W021RC1",2178.5,2203,2227.2,2253.3,2304.6,2371.5,2391.8,2453.9,2488.9,2532,2588.1,2619.8,2665.8,2703.7,2749.5,2800,2835.4,2867.9,2919.1,2987.5,3094.1,3128,3141.7,3165.9,3203.1,3197.8,2984.6,3087.3,2951.8,2949.9,2976.8,2992.9,3016.4,3034.3,3001,3121.8,3159.9,3219.9,3307,3376,3565.1,3611.6,3684.3,3776.1,3919.8,3971.1,4024.8,4064.9,4167.4,4202.8,4212.3,4254.2,4172,3974.5,4087,3996.8,3784.5,NA
"41","32","    Capital transfer receipts","W067RC1",19.3,19.1,20.6,21.2,21.6,23,24.1,23.8,25.7,26.3,27.5,28.4,30.6,32.1,32.8,34,35.3,36.6,36.4,38.6,35.9,35.9,35.4,35.3,36.2,37.8,41,34.7,34.6,32.6,33.7,29.7,28.9,26.6,26.6,29.7,29.3,29.9,14.4,29.6,30.2,29.5,36,7.8,36.8,31.9,32.4,31.4,30.3,31.5,31.8,33.7,34.7,35.4,33.2,32.2,30.8,31.4
"42","33","  Total expenditures","W068RC1",2464.3,2487,2475.3,2493.8,2555.6,2582.5,2587.9,2606.8,2638,2628.6,2667.7,2697.5,2685.7,2717.4,2748.5,2789.1,2813.5,2840.1,2884.2,2961.4,2956.2,3012.4,3037.3,3080.2,3144.7,3220.3,3233.7,3284.3,3354.2,3399.7,3434.5,3503.2,3555.4,3626.7,3653.1,3663.3,3757.4,3796,3847.5,3889.5,3998.2,4046.2,4183,4186.5,4246.1,4324.9,4382.4,4325.9,4537.3,4597.4,4667.7,4741.7,4838.7,5008,5055.8,5197.7,5205.5,5399.3
"43","34","    Current expenditures","W022RC1",2389,2411.6,2428.2,2421.2,2478.4,2502.4,2505,2536.9,2551.3,2569.9,2583.3,2619.7,2612.3,2640.4,2652.1,2692.2,2712.3,2734.3,2774.1,2826.8,2837.7,2900.3,2921.4,2964.5,3028.7,3084.6,3111.9,3149.3,3213.1,3257.5,3286.8,3341.5,3398.3,3461.6,3477.9,3496.6,3591.9,3625.3,3672.3,3724.7,3828.8,3880.8,3946.4,4009.4,4064.5,4137.3,4197.8,4192,4335.5,4389.1,4450.7,4520.5,4625.5,4797,4811.7,4726.9,4780.6,5020
"44","35","    Gross government investment","A782RC1",231,235.1,231.4,233,239.3,242.4,245.9,249.3,253.8,253,253.9,248.8,246.6,258.6,273,273.2,276.5,283.7,289.1,300.2,303.4,300.9,305.3,307.8,312.4,330.9,314.2,330.6,337.9,340.7,346.8,348.5,349,351.6,361.8,360.8,361.3,372.2,377.9,378,377.6,387.4,396.6,406.4,409.7,427.4,427.6,435.6,447.1,460.2,466.6,472.3,475.9,495.5,505,508.9,500.4,513.9
"45","36","    Capital transfer payments","W069RC1",0.2,0.2,2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.6,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,17,0.4,0.4,0.5,0.2,0.3,0.2,0.3,0.4,0.4,0.4,0.7,15.1,15.2,20.2,17.4,15.7,16.4,16.5,18.8,17,24.8,16.5,84.6,17.8,21.8,18.9,16.9,15.9,27,27.2,27.3,34.9,34.9,34.9,46.6,305.8,260.6,178.7
"46","37","    Net purchases of nonproduced assets","AD07RC1",6.9,4.3,-20.9,6.4,5.5,6.1,6.4,-9,4.9,-21.2,4.4,4.9,3.2,-3.8,2.7,5,7.9,7.9,8.9,8.4,8.6,7.3,9.1,8.5,5.6,8.7,12.7,10.8,11.2,11.2,11.9,11.6,8.6,10.7,14.9,10.8,11.6,10.8,13.1,10,10.8,9.6,8.5,10.2,10.7,8.5,12.1,-40.2,11.3,8.8,15.6,11.6,5.4,-11,6.3,-25.5,-13.9,10.6
"47","38","    Less: Consumption of fixed capital","A264RC1",162.8,164.2,165.4,166.9,167.9,168.5,169.6,170.6,172.2,173.6,174.5,176.1,176.7,178,179.7,181.5,183.5,186,188.2,190.9,193.9,196.5,198.9,200.7,202.3,204,205.4,206.8,208.4,210.1,211.7,213.5,215.7,217.3,218.9,220.5,223.8,228.9,234.6,240.3,243.8,248.1,253.1,257.3,260.6,267.1,272,277.4,283.7,288,292.5,297.6,303,308.5,313.8,318.4,322.3,323.8
"48","39","  Net lending or net borrowing (-)","AD01RC1",-266.5,-264.9,-227.5,-219.3,-229.4,-188.1,-172,-129.1,-123.3,-70.3,-52.1,-49.4,10.8,18.4,33.8,45,57.2,64.4,71.3,64.6,173.9,151.6,139.8,121,94.5,15.4,-208.1,-162.4,-367.8,-417.2,-424,-480.5,-510,-565.8,-625.5,-511.8,-568.2,-546.1,-526.1,-483.9,-402.9,-405.1,-462.7,-402.5,-289.5,-321.9,-325.3,-229.6,-339.6,-363.2,-423.6,-453.8,-632,-998.1,-935.6,-1168.7,-1390.1,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Prior to 1960, interest payments to persons (line 23) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","interest receipts on line 9 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","included in interest payments (line 22), which is shown net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","of interest receipts. Miscellaneous receipts on line 9 includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","rents and royalties received by governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2. Prior to 1959, subsidies (line 25) and the current surplus of government enterprises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","(line 14) are not shown separately; subsidies are presented net of the current surplus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
