"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Nonfarm \2\","B358RG3",84.3,84.662,84.909,85.104,85.382,85.696,86.053,86.526,86.999,87.416,87.681,87.963,88.015,88.073,88.319,88.319,88.591,88.9,89.206,89.48,90.157,90.541,91.044,91.396,91.804,92.379,92.412,92.599,92.507,93.036,93.29,93.632,94.028,94.118,94.487,94.729,95.485,96.157,96.955,97.792,98.679,99.391,100.527,101.404,101.959,102.871,103.52,103.759,104.683,105.385,105.657,106.011,106.192,106.549,107.717,107.696,108.399,108.353
"12","4","  Farm","B359RG3",116.118,115.898,124.08,134.34,138.392,147.006,150.188,135.966,127.508,123.751,116.715,117.188,115.264,117.16,110.744,113.501,108.648,98.059,93.827,90.835,85.329,92.134,85.156,89.884,94.909,100.596,108.217,88.476,102.114,80.27,85.198,88.719,89.003,92.478,102.09,120.19,120.757,134.286,117.335,110.713,104.605,100.569,97.907,96.919,92.25,84.031,93.907,105.274,116.493,121.403,131.381,138.197,139.334,134.797,128.231,108.504,94.83,96.451
"13","5","Households and institutions","B193RG3",71.666,72.192,72.698,73.375,74.074,74.478,74.981,75.507,75.864,76.29,76.757,77.182,77.516,78.394,79.329,80.362,80.802,81.649,81.796,82.548,83.166,83.758,84.426,84.979,86.373,86.998,87.934,89.208,90.324,91.099,92.002,92.907,93.925,94.537,95.291,96.328,96.541,97.221,98.364,98.64,99.035,99.599,100.279,101.087,102.388,103.697,104.755,105.534,106.213,106.441,107.249,108.839,110.619,111.954,113.298,114.5,114.035,114.314
"14","6","  Households","B701RG3",74.471,75.197,75.882,76.723,77.396,77.893,78.357,78.817,79.333,79.792,80.41,80.956,81.717,82.563,83.396,84.18,84.415,84.68,84.992,85.447,86.102,86.57,87.267,88.082,89.016,90.085,91.267,92.556,93.376,94.011,94.77,95.621,96.454,96.54,97,97.606,97.727,97.908,98.199,98.57,99.195,99.553,100.195,101.057,101.729,102.614,103.611,103.99,104.678,105.038,106.066,107.797,110.197,112.003,113.668,114.53,114.56,115.159
"15","7","  Nonprofit institutions serving households \3\","B702RG3",68.101,68.377,68.661,69.134,69.862,70.151,70.703,71.31,71.468,71.852,72.132,72.409,72.217,73.134,74.192,75.527,76.22,77.794,77.733,78.867,79.437,80.189,80.821,81.037,83.024,83.077,83.696,84.951,86.449,87.404,88.49,89.463,90.711,91.98,93.1,94.673,95.002,96.318,98.564,98.721,98.817,99.662,100.394,101.127,103.283,105.179,106.319,107.658,108.325,108.37,108.871,110.265,111.179,111.858,112.758,114.433,113.284,113.122
"16","8","General government \4\","B765RG3",68.182,68.388,68.716,69.61,70.512,70.255,70.725,71.189,71.878,72.191,72.46,72.886,73.341,73.681,74.166,74.792,75.904,76.713,77.411,78.065,79.067,79.37,80.327,81.024,81.87,82.532,83.338,84.103,85.488,85.919,86.538,87.827,89.931,90.858,91.525,92.131,93.885,94.905,95.694,96.6,98.709,99.561,100.477,101.253,103.178,104.274,105.027,106.061,108.074,109.006,109.591,110.532,111.779,112.512,113.106,113.603,114.907,115.344
"17","9","  Federal","B766RG3",64.832,64.562,64.793,66.799,68.121,67.563,67.917,68.515,69.64,69.722,69.809,70.252,71.012,71.119,71.235,71.453,73.033,73.586,74.024,74.534,76.445,75.874,77.257,77.481,78.033,78.259,79.006,80.093,83.671,83.517,83.154,84.563,88.316,88.631,88.822,89.172,93.297,94.651,94.94,95.254,99.592,99.719,100.366,100.323,104.436,105.305,105.01,105.501,109.392,110.281,109.926,110.213,112.221,112.44,112.15,111.954,114.569,114.511
"18","10","  State and local","B767RG3",69.685,70.134,70.509,70.843,71.537,71.429,71.955,72.353,72.832,73.255,73.609,74.027,74.342,74.788,75.441,76.25,77.151,78.073,78.887,79.602,80.205,80.893,81.662,82.564,83.539,84.388,85.219,85.845,86.295,86.975,88.012,89.25,90.64,91.836,92.711,93.429,94.143,95.016,96.026,97.193,98.32,99.491,100.526,101.663,102.63,103.824,105.034,106.304,107.502,108.453,109.443,110.666,111.583,112.539,113.524,114.331,115.04,115.705
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009G3",74.686,75.331,75.93,76.675,77.328,77.783,78.254,78.696,79.224,79.683,80.288,80.855,81.52,82.308,83.139,83.93,84.203,84.49,84.837,85.344,86.011,86.471,87.181,88.011,88.94,90.006,91.166,92.447,93.287,93.905,94.645,95.484,96.309,96.445,96.929,97.491,97.646,97.834,98.158,98.55,99.196,99.555,100.192,101.057,101.701,102.551,103.525,103.951,104.655,105.127,106.262,108.111,110.616,112.546,114.331,115.358,115.433,116.007
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
