"","Table 5#1# Saving and Investment                                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Net private saving","W202RC1",556,535.9,549.3,545.1,561.6,549.7,559.5,557.6,571.3,600.6,585.4,585.5,587.5,565.6,556.8,503.6,559.8,479.4,425.1,427.8,419.4,405.6,404.8,327.6,394.6,390.6,524.4,349.8,575.6,588.4,518.8,568.4,543,622.8,648.4,641.5,684,699.6,706.4,627,610.8,611.5,602.2,651.9,675.6,677.2,659,654.1,477.4,533.8,495.9,472.9,543.4,767,709,619.7,741.1,NA
"12","4","    Personal saving","A071RC1",327.3,281,273.3,263.4,277.2,277,291.5,278.9,276.3,294.7,266.3,284.4,370.4,355.4,342.9,297.2,286.5,199.9,166,178.7,219.9,226.5,229,177,208.2,161.9,323,126.7,313.7,321.4,247,246.7,249.9,294.5,306.3,308.3,275.5,315.4,299.1,325,141.8,117,110.2,141.8,211.7,245.6,227.7,254.8,209.1,183.5,169.4,153.5,126.3,374.4,235.7,409.2,426.9,566
"13","5","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1",212.3,238.5,259.6,265.3,280.8,269.1,264.3,275.1,297.9,308.8,322,304.1,217.8,210.9,214.6,207.1,268.2,274.3,253.9,243.9,199.6,179.1,175.7,150.7,186.4,228.8,201.4,223.2,261.8,267,271.8,321.8,283.1,313.3,317,323.2,413.5,404.3,432.3,312,469,494.5,492,490,483.9,431.5,431.4,374.3,293.3,350.3,326.5,319.4,417.1,392.6,473.2,230.5,294.2,NA
"14","6","      Undistributed profits","B057RC1",197.1,217.3,218.5,215.3,224.6,214.6,200.9,206.1,213.7,224.7,236.5,225.6,131.8,123.1,121.3,116.1,163.6,189.1,188.2,196.5,153.9,134.5,123.9,105.7,152.1,180.2,127.7,93.9,115.8,149.4,185.6,244.3,224.2,211.4,234.8,269,363.6,387.1,421,320.2,641.9,657.2,678.7,704,708.2,653.6,641.4,575.5,505.5,564,547.6,603.2,578.2,582.3,595.3,166.9,358,NA
"15","7","      Inventory valuation adjustment","B058RC1",-32.5,-28.2,-9.8,-2.6,2.1,-1.7,4.7,7.1,18.5,15.7,15.1,7,14.4,15.4,19.1,14.1,24.2,3.8,-14.5,-29.3,-25.2,-21,-9.1,-11.9,-18.4,-1.1,16.8,34.8,29,3.4,-21.8,-20.9,-20.7,5.3,-7.3,-22.5,-16.9,-38.4,-34.9,-46.9,-38.2,-18.2,-28.4,-38,-33.4,-48.4,-42.3,-28,-42.2,-29.5,-25.3,-79,-107.9,-129.6,-54.5,139.2,81.1,NA
"16","8","      Capital consumption adjustment","A059RC1",47.8,49.4,51,52.5,54,56.1,58.7,61.9,65.6,68.5,70.4,71.4,71.5,72.5,74.3,76.9,80.4,81.5,80.3,76.7,70.9,65.6,60.9,56.8,52.6,49.6,56.9,94.4,117.1,114.2,108,98.4,79.6,96.6,89.6,76.7,66.7,55.6,46.2,38.6,-134.7,-144.5,-158.3,-176,-191,-173.7,-167.7,-173.2,-170,-184.2,-195.8,-204.7,-53.2,-60.1,-67.6,-75.6,-144.9,-131.8
"17","9","    Wage accruals less disbursements","B185RC1",16.4,16.4,16.4,16.4,3.6,3.6,3.6,3.6,-2.9,-2.9,-2.9,-2.9,-0.7,-0.7,-0.7,-0.7,5.2,5.2,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,10,15,25,10,-5,-20,-25,-10,0,0,0,20,-20,0,0,25,-25,0,0,0,0,0,0,-20,20,0
"18","10","  Net government saving","A922RC1",-210.5,-208.5,-201.1,-167.8,-173.8,-131,-113.3,-83,-62.4,-37.9,4.8,0.1,53.5,63.3,97.4,107.8,123.2,133.5,145,160.7,256.4,227.7,220.3,201.4,174.4,113.3,-127.3,-62,-261.3,-307.6,-310,-348.6,-381.9,-427.3,-477,-374.8,-432,-405.4,-365.2,-348.7,-263.7,-269.2,-262.1,-233.3,-144.7,-166.2,-173.1,-127,-168.1,-186.3,-238.4,-266.3,-453.5,-822.5,-724.8,-730.2,-996.1,NA
"19","11","    Federal","A923RC1",-221.4,-206.2,-210.3,-186.7,-194.3,-149.5,-138.3,-110.8,-92.4,-71,-35.6,-41.5,7.9,20.7,52.3,53.4,79.1,96.1,103.5,116.6,205.3,175,181.8,178.8,159.4,119,-104.4,-12,-205.4,-249.7,-262.9,-293,-300.6,-375,-451.4,-378.5,-409.3,-384.4,-361.6,-362.5,-288.9,-288.1,-287.4,-267.7,-207.3,-229.4,-215.5,-163,-200.9,-221.3,-258.8,-265,-433.5,-796.9,-665.7,-674.1,-959.5,NA
"20","12","    State and local","A924RC1",10.9,-2.3,9.3,18.9,20.5,18.6,25.1,27.8,30,33.1,40.4,41.7,45.6,42.5,45,54.4,44.1,37.4,41.6,44.2,51.2,52.8,38.6,22.6,15,-5.7,-22.9,-50,-55.9,-57.9,-47,-55.6,-81.3,-52.3,-25.5,3.8,-22.7,-21,-3.6,13.8,25.2,18.9,25.3,34.4,62.6,63.2,42.4,35.9,32.8,34.9,20.3,-1.3,-20.1,-25.5,-59,-56.1,-36.6,NA
"21","13","Consumption of fixed capital","A262RC1",851.4,864.1,875.7,886.7,896.2,906.3,917.7,929.9,943.5,957.1,970.3,984.3,997.3,1011.9,1027.9,1045,1063.2,1083.2,1104.2,1127.1,1151.6,1174.4,1195.8,1215.4,1233.5,1250,1264.4,1277.1,1288.3,1299.5,1310.5,1321.7,1333.2,1345.9,1360.4,1376.8,1396.7,1419.5,1444.4,1470.4,1495.7,1524.2,1556,1589.6,1618,1648.2,1675.2,1701.3,1726.7,1749.4,1771.2,1792.8,1813.6,1835.6,1858.2,1881,1883.6,1874.1
"22","14","  Private","A024RC1",688.6,699.9,710.3,719.8,728.3,737.8,748.1,759.3,771.4,783.5,795.8,808.1,820.6,834,848.3,863.5,879.6,897.1,916,936.2,957.7,978,997,1014.7,1031.2,1045.9,1059,1070.3,1079.8,1089.4,1098.8,1108.1,1117.4,1128.6,1141.5,1156.2,1172.8,1190.7,1209.8,1230.2,1251.9,1276.1,1302.9,1332.3,1357.4,1381.1,1403.2,1423.9,1443.1,1461.4,1478.7,1495.1,1510.6,1527,1544.4,1562.6,1561.3,1550.2
"23","15","    Domestic business","W276RC1",572.4,581.9,590.7,598.8,606.3,614.4,623.2,632.7,643,653.3,663.6,674.1,684.6,695.8,707.7,720.3,733.6,748.2,764.2,781.4,799.9,817.1,832.9,847.4,860.5,872.1,882.4,891.2,898.5,905.5,912,918.1,923.8,930.7,938.9,948.4,959.1,971.3,984.8,999.7,1016,1034.4,1054.9,1077.6,1096.7,1115,1132.4,1149,1164.8,1180.6,1196.4,1212.2,1228.1,1244.1,1260.3,1276.8,1277,1264.5
"24","16","    Households and institutions","W279RC1",116.2,118,119.6,120.9,122,123.4,124.8,126.5,128.4,130.3,132.2,134.1,136,138.2,140.6,143.2,146,148.9,151.8,154.8,157.8,160.9,164.1,167.3,170.7,173.8,176.6,179.1,181.3,183.9,186.8,190.1,193.7,197.9,202.6,207.9,213.7,219.4,225,230.5,235.9,241.7,248,254.7,260.7,266.1,270.8,274.9,278.3,280.8,282.3,282.9,282.6,282.9,284,285.8,284.4,285.7
"25","17","  Government","A264RC1",162.8,164.2,165.4,166.9,167.9,168.5,169.6,170.6,172.2,173.6,174.5,176.1,176.7,178,179.7,181.5,183.5,186,188.2,190.9,193.9,196.5,198.9,200.7,202.3,204,205.4,206.8,208.4,210.1,211.7,213.5,215.7,217.3,218.9,220.5,223.8,228.9,234.6,240.3,243.8,248.1,253.1,257.3,260.6,267.1,272,277.4,283.7,288,292.5,297.6,303,308.5,313.8,318.4,322.3,323.8
"26","18","    Federal","A918RC1",81.5,81.6,81.7,82,82,81.9,81.9,81.9,82.4,82.5,82.5,82.7,82.3,82.7,82.9,83.3,84,84.7,85.4,86.1,87.2,87.5,88.1,88.3,88.3,88.7,88.8,88.7,88.8,88.9,89.1,89.8,90.2,90.7,91.1,91.4,92.6,94.1,95.5,97.1,98.8,99.7,100.9,102.4,103.8,106,107.8,108.7,110.2,111.7,113.2,115.2,117.2,119.6,121,121.2,122.5,124.1
"27","19","    State and local","A919RC1",81.3,82.6,83.7,84.9,85.9,86.7,87.7,88.7,89.8,91,92,93.5,94.4,95.3,96.8,98.2,99.5,101.3,102.8,104.8,106.7,109,110.8,112.4,114,115.4,116.6,118.1,119.6,121.2,122.6,123.7,125.5,126.6,127.8,129.1,131.3,134.7,139.1,143.2,145,148.3,152.2,154.9,156.8,161.2,164.2,168.7,173.4,176.3,179.2,182.4,185.8,188.9,192.8,197.2,199.8,199.7
"28","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1",1273.2,1249.1,1258.6,1305.4,1307.3,1361.8,1393.1,1419,1443.2,1536.9,1546.7,1519.9,1577.5,1534.8,1562,1602.1,1650.2,1609.4,1620.5,1667.8,1606.6,1720.8,1667.4,1669.8,1590.8,1644.9,1571.9,1561.6,1559.3,1535,1540,1521.1,1487.2,1511.8,1593.3,1685.2,1678.6,1713.7,1746.8,1726.1,1813.8,1798.7,1828.6,1853.7,1956.7,1968.5,1907.7,1982.4,1914.9,1999.7,2093.6,2093.3,1973.2,1906.8,1910.6,1909.9,1780.8,NA
"29","21","Gross domestic investment","W170RC1",1391.6,1367.7,1357.6,1389.6,1409.3,1470.2,1525.7,1532.4,1574.4,1638,1668.8,1682.9,1741.6,1730.1,1785.8,1837.1,1893.8,1888.4,1933.6,1999.6,1992.2,2111.8,2097,2105.1,2013.7,2030.3,1984.7,1907.2,1965.8,1988.9,1997.2,2009.8,2020.4,2030.2,2106.9,2184.4,2214.9,2328.2,2379.3,2441.2,2508.4,2502.6,2563.3,2682.7,2746.2,2779.5,2761.1,2722.1,2714.3,2762.3,2778.4,2745.2,2690.7,2660.2,2647.8,2530.9,2190.3,2099.4
"30","22","  Gross private domestic investment","A006RC1",1160.6,1132.7,1126.2,1156.7,1170,1227.8,1279.8,1283.1,1320.6,1385,1414.9,1434.1,1494.9,1471.5,1512.7,1564,1617.3,1604.7,1644.5,1699.5,1688.8,1810.9,1791.7,1797.4,1701.3,1699.4,1670.4,1576.6,1628,1648.1,1650.4,1661.3,1671.5,1678.6,1745.1,1823.6,1853.6,1956,2001.3,2063.2,2130.7,2115.2,2166.6,2276.3,2336.5,2352.1,2333.5,2286.5,2267.2,2302,2311.9,2272.9,2214.8,2164.6,2142.7,2022.1,1689.9,1585.5
"31","23","  Gross government investment","A782RC1",231,235.1,231.4,233,239.3,242.4,245.9,249.3,253.8,253,253.9,248.8,246.6,258.6,273,273.2,276.5,283.7,289.1,300.2,303.4,300.9,305.3,307.8,312.4,330.9,314.2,330.6,337.9,340.7,346.8,348.5,349,351.6,361.8,360.8,361.3,372.2,377.9,378,377.6,387.4,396.6,406.4,409.7,427.4,427.6,435.6,447.1,460.2,466.6,472.3,475.9,495.5,505,508.9,500.4,513.9
"32","24","Capital account transactions (net) \1\","W167RC1",0.9,0.4,2.7,0.5,0.9,0.9,0.9,1,1.1,1.3,1.4,1.1,1,1,1,1,1,1,1,17.8,1.3,1.3,1.5,1.3,1.4,1.5,-51.2,1.6,1.7,1.7,2,2,2.2,7,4,1.9,2.2,1.9,-10.7,2.3,10.6,2.3,-59.4,2.1,7.2,4.3,2.4,2.8,2.5,0.8,2.8,2.7,2.8,3,-11.6,4,3.1,NA
"33","25","Net lending or net borrowing (-), NIPAs \2\","W162RC1",-119.3,-119,-101.8,-84.7,-103,-109.4,-133.6,-114.4,-132.2,-102.5,-123.5,-164.1,-165.1,-196.3,-224.8,-236,-244.7,-280,-314.1,-349.7,-386.9,-392.3,-431.1,-436.6,-424.3,-386.9,-361.5,-347.2,-408.2,-455.6,-459.1,-490.7,-535.5,-525.3,-517.6,-501.2,-538.5,-616.4,-621.7,-717.4,-705.2,-706.2,-675.3,-831.1,-796.7,-815.4,-855.8,-742.5,-801.8,-763.3,-687.6,-654.6,-720.3,-756.4,-725.5,-625.1,-412.6,NA
"34","26","    Statistical discrepancy","A030RC1",76.3,57.6,34.7,41.5,23.3,36.7,29.2,14.5,-9.2,17.1,-13.7,-50.1,-60.8,-106,-120.1,-54.4,-96,-86.7,-53.8,-47.8,-220.9,-86.9,-153.6,-74.6,-211.6,-109,-89.6,-3.2,-43.2,-45.3,20.6,-20.4,-7.2,-29.6,61.4,41.7,29.9,0,-38.7,-22.6,-29,-67.7,-67.5,-154.5,-192.2,-190.7,-253.4,-246,-121.1,-97.1,64.9,94,69.8,126.7,68.3,139.4,152.1,NA
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","  Gross private saving","A126RC1",1244.6,1235.8,1259.5,1264.8,1289.9,1287.5,1307.5,1316.9,1342.6,1384.1,1381.2,1393.7,1408.1,1399.6,1405.1,1367.1,1439.4,1376.5,1341.1,1364,1377.1,1383.6,1401.7,1342.3,1425.8,1436.6,1583.4,1420.1,1655.4,1677.7,1617.6,1676.6,1660.5,1751.4,1789.9,1797.7,1856.8,1890.3,1916.2,1857.2,1862.7,1887.6,1905.1,1984.2,2033,2058.2,2062.2,2078,1920.5,1995.1,1974.6,1968,2054,2294.1,2253.3,2182.3,2302.4,NA
"37","28","  Gross government saving","A927RC1",-47.7,-44.3,-35.7,-0.9,-5.9,37.6,56.4,87.6,109.8,135.7,179.3,176.3,230.3,241.2,277,289.3,306.7,319.6,333.2,351.6,450.3,424.2,419.2,402.1,376.7,317.3,78.1,144.8,-52.9,-97.5,-98.2,-135.1,-166.2,-210,-258,-154.2,-208.1,-176.5,-130.6,-108.5,-19.9,-21.1,-9,24,115.9,101,98.9,150.4,115.6,101.7,54,31.3,-150.5,-514,-411,-411.8,-673.8,NA
"38","29","    Federal","A926RC1",-140,-124.6,-128.6,-104.7,-112.3,-67.7,-56.4,-28.9,-10,11.5,46.9,41.1,90.3,103.4,135.2,136.7,163.1,180.8,188.8,202.7,292.5,262.5,269.9,267.1,247.6,207.7,-15.6,76.7,-116.6,-160.8,-173.8,-203.2,-210.4,-284.3,-360.3,-287.1,-316.7,-290.3,-266.2,-265.4,-190.1,-188.3,-186.5,-165.3,-103.5,-123.4,-107.7,-54.2,-90.6,-109.6,-145.5,-149.8,-316.2,-677.3,-544.7,-553,-837,NA
"39","30","    State and local","A925RC1",92.2,80.3,93,103.8,106.4,105.3,112.8,116.4,119.8,124.2,132.4,135.1,140,137.8,141.8,152.6,143.6,138.7,144.4,149,157.9,161.7,149.3,135,129.1,109.6,93.7,68.1,63.8,63.4,75.5,68.2,44.2,74.4,102.3,132.9,108.6,113.8,135.5,156.9,170.2,167.2,177.5,189.3,219.4,224.4,206.6,204.7,206.2,211.2,199.6,181.1,165.7,163.3,133.7,141.2,163.2,NA
"40","31","  Net domestic investment","W171RC1",540.2,503.6,482,503,513.1,563.9,608,602.6,630.9,680.9,698.5,698.6,744.3,718.2,757.8,792.1,830.7,805.2,829.4,872.6,840.6,937.4,901.1,889.7,780.3,780.3,720.3,630.1,677.6,689.4,686.7,688.2,687.3,684.3,746.5,807.7,818.3,908.7,934.9,970.8,1012.7,978.5,1007.2,1093.1,1128.2,1131.3,1085.8,1020.8,987.5,1012.9,1007.2,952.4,877.1,824.6,789.6,650,306.7,225.4
"41","32","  Gross saving as a percentage of gross national income","W206RC1",16.5,16.2,16.5,16.8,16.8,17,17.3,17.5,17.8,18.3,18.5,18.3,18.9,18.6,18.7,18.2,18.8,18.1,17.7,17.7,18.3,18,17.8,17,17.3,16.8,15.9,15,15.1,14.8,14.2,14.2,13.6,13.9,13.6,14.3,14.1,14.4,14.8,14.3,14.7,14.7,14.7,15.3,16,15.9,15.7,16,14.6,14.8,14.2,13.9,13.2,12.3,12.6,12.4,11.5,NA
"42","33","  Net saving as a percentage of gross national income","W207RC1",4.8,4.5,4.7,5,5.1,5.4,5.7,5.9,6.2,6.8,7,6.8,7.4,7.1,7.3,6.7,7.4,6.5,6,6.1,6.8,6.3,6.1,5.2,5.5,4.8,3.8,2.7,3,2.6,1.9,2,1.5,1.8,1.5,2.3,2.2,2.5,2.8,2.3,2.8,2.7,2.6,3.2,3.9,3.8,3.5,3.8,2.2,2.5,1.8,1.4,0.6,-0.4,-0.1,-0.8,-1.8,NA
"43","34","  Disaster losses \3\","W771RC1",0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,13.9,62.9,0,0,0,0,0,0,0,0,0,0,0,117.8,0,0,0,414.2,27.5,0,0,0,0,0,0,0,0,0,0,69.6,0,0,0
"44","35","    Private","W772RC1",0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,13.9,56,0,0,0,0,0,0,0,0,0,0,0,117.8,0,0,0,369.2,27.5,0,0,0,0,0,0,0,0,0,0,69.6,0,0,0
"45","36","      Domestic business","W773RC1",0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,5.9,56,0,0,0,0,0,0,0,0,0,0,0,69.6,0,0,0,180,15.2,0,0,0,0,0,0,0,0,0,0,39.8,0,0,0
"46","37","      Households and institutions","W774RC1",0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,48.2,0,0,0,189.2,12.3,0,0,0,0,0,0,0,0,0,0,29.8,0,0,0
"47","38","    Government","W775RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","39","      Federal","W776RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","40","      State and local","W777RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","nonfinancial assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Prior to 1982, equals the balance on current account, NIPAs as shown in table 4.1;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","estimates of capital account transactions (line 24) are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Consists of damages to fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
