"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Durable goods","DDURRC1",621.2,626.9,642.5,652.3,659.8,676.3,679.4,689.6,705.6,696.6,722.8,737.1,737.9,769.8,786,826.4,821.3,856.4,873.1,878.6,923.5,905,915,919.5,930.9,923.9,928.9,1001.7,981.3,986.4,1010.4,990.3,979.4,1007.3,1037.5,1035,1045.9,1052.3,1065,1083.1,1089.2,1117.9,1122.5,1092.3,1132.5,1125.1,1132.4,1142.2,1153,1154.9,1161.4,1172.7,1145.8,1126.5,1088.5,1019.9,1025.2,1007.4
"12","4","    Motor vehicles and parts","DMOTRC1",250.1,251.6,257.6,263.5,269.1,273.4,273.7,277.7,291,279.5,296.9,304.9,294.2,315,320.7,350.9,333.6,357.3,361,350.9,379.3,353.6,358.8,361.3,372.5,365.6,368.9,426.1,393.8,395.3,421.4,395,389.4,403.6,412.8,400.3,400.8,400.7,404.3,413.3,408.6,425.1,425.4,379.5,395.5,394.5,400.4,398.1,399.6,401.3,398.3,401.9,382.7,357.5,332.7,296.4,300.6,294.8
"13","5","    Furnishings and durable household equipment","DFDHRC1",144.2,145,148.1,149.7,148.8,153.9,154.4,157.1,157.9,158.9,161.7,163.5,168.1,171.6,174.9,179.6,184.6,188.1,193.6,198.4,204.2,207.7,210.1,210.4,212.7,213.2,214.4,219.5,224.8,226.5,224.8,227.3,224.9,230.6,237.4,240.5,244.1,246.9,251,254.7,257.4,262.5,264.7,271,278.1,275,276,277,281.7,279,279.3,279.3,275.8,276.2,269.4,259.1,255.7,251.3
"14","6","    Recreational goods and vehicles","DREQRC1",148.8,151.3,156.8,157.9,159.7,164.7,166.3,169,170.6,172.4,176.3,179.2,184.1,189.2,195.6,199.4,204.1,210.2,215.5,221.1,231.4,232.8,235.3,236.8,235.5,237.7,239,246.9,251,251.3,250.9,252.8,251.7,257.3,268,273.3,278.2,281.7,286.7,290.6,296.7,302.3,304.2,310.1,322.7,320.3,320.9,329.9,331.8,333,339.5,346.5,342.6,347.5,342,327.3,329.6,321.8
"15","7","    Other durable goods","DODGRC1",78.1,79,80,81.1,82.3,84.4,84.9,85.8,86.1,85.8,87.9,89.5,91.5,93.9,94.8,96.4,99,100.8,103,108.1,108.7,110.9,110.8,111,110.2,107.4,106.5,109.3,111.8,113.3,113.3,115.2,113.4,115.8,119.4,120.9,122.8,123,123.1,124.7,126.5,128,128.1,131.8,136.2,135.4,135,137.2,139.8,141.7,144.2,145,144.7,145.2,144.3,137.1,139.3,139.5
"16","8","  Nondurable goods","DNDGRC1",1166.9,1177,1183.7,1191.7,1211.2,1239.5,1246.5,1268.3,1281.1,1277.9,1297.7,1308.2,1307.3,1320.8,1335.8,1356.2,1385.8,1419.2,1441.3,1484.2,1494.3,1537.7,1560.5,1580.9,1575.9,1594.5,1595.1,1585.2,1588.3,1612.8,1621.6,1648.8,1695.7,1674.8,1732.3,1747.6,1789.2,1810.5,1834.4,1888.7,1908.1,1929.4,2002,2034.2,2048.3,2081.4,2118.1,2106.9,2153.3,2183.3,2205.2,2276.2,2301.4,2348.4,2374.5,2207.6,2172.4,2178.3
"17","9","    Food and beverages purchased for off-premises consumption","DFXARC1",440.8,442.5,443.8,447.9,453.4,460.1,464.3,469.8,473.5,471.8,476.4,477.4,478.6,483.7,488.8,495,502.9,509.3,515.6,526.5,524.1,535.6,541.3,548.8,552,559.3,562,565.5,566.2,567.5,569.2,575.5,586.4,585,598.6,602.5,616.1,623.7,629.9,643,650.1,659,671,680,684.9,692.3,699.8,714.8,727.1,732.1,742.7,758.4,770.1,786.3,793.4,787.5,786.5,788
"18","10","    Clothing and footwear","DCLORC1",228.5,229.7,233.4,233.4,235,239.8,240.4,243,243.7,244.4,249.9,252,254.6,257.7,257.4,261.5,267.5,271.5,272.2,273.3,275.9,280.1,282.5,284.8,280.6,278.4,275.3,277.1,279.2,278.7,275.5,282,279.2,283.9,292.5,292.4,298.7,296.6,299.6,305.2,309.7,315.6,313.9,323,326.3,327.2,330.7,336,342.7,338.8,340.1,343.3,341.3,344.2,338,326.5,327.9,322.7
"19","11","    Gasoline and other energy goods","DGOERC1",134.5,135.8,132.6,130.7,139.1,147.8,143.5,148.6,152.2,144.3,146.5,147.7,136.6,132.6,133.3,130.9,127.9,146.2,155.9,165.2,178.4,187.7,194,195.2,191.1,196.2,185.7,161.4,154.1,174.7,180.4,189.1,219.1,191.8,211.4,216.1,234.9,241.1,247.9,275.8,276.9,275.8,332,334.6,324.5,343.3,363.3,316.7,335.2,362.4,365.4,408.8,427.8,441.9,461.4,321.2,271,277.6
"20","12","    Other nondurable goods","DONGRC1",363,369.1,373.8,379.7,383.7,391.8,398.3,407,411.8,417.4,424.9,431.1,437.5,446.8,456.3,468.7,487.4,492.2,497.7,519.3,515.8,534.4,542.6,552.1,552.1,560.6,572.1,581.2,588.8,591.9,596.5,602.2,611,614.1,629.8,636.5,639.5,649.1,657,664.7,671.5,678.9,685.1,696.7,712.6,718.6,724.4,739.3,748.3,750,756.9,765.6,762.4,776,781.7,772.5,787,790
"21","13","Services","DSERRC1",3100.6,3153.6,3196.7,3236.2,3285.5,3332.9,3378.5,3426.8,3480.4,3529.5,3592.9,3652.8,3712.3,3779.6,3846.2,3895.7,3950.3,4014.3,4084.4,4162.1,4265.1,4332.9,4406.2,4480.7,4551.4,4600.3,4627.3,4680.3,4739.4,4804.1,4859.2,4914.1,4971.8,5041.7,5112.6,5180.3,5270.3,5346.6,5431.3,5523.1,5612.3,5699.9,5784.4,5883.7,5967.4,6060.1,6141.3,6235,6352.2,6424.3,6499,6570.3,6647.9,6719.8,6757.1,6782.3,6790,6803.2
"22","14","  Household consumption expenditures (for services)","DHCERC1",2995.4,3047.1,3089.1,3126.7,3172.2,3216.7,3260.9,3311.1,3369.6,3419.4,3480.9,3536.6,3590.2,3651.2,3711.9,3756.7,3810,3871,3937.7,4010.9,4108.4,4171.4,4238.4,4305.3,4371.5,4415.4,4438.4,4489.1,4543.1,4601.3,4650.5,4702,4760,4829.5,4900.4,4969.3,5060.8,5136.8,5220.9,5312.7,5402.8,5489.2,5569.6,5662.4,5740.2,5822.9,5893.1,5986.2,6103.7,6179.5,6242.8,6305.8,6377.5,6446.1,6474.5,6494.1,6522,6539.9
"23","15","    Housing and utilities","DHUTRC1",891.4,908.2,923.6,932,948.8,957.7,962,976.5,987.9,1001.3,1014.7,1035.6,1040.9,1061.2,1076.3,1082.5,1101,1118.1,1136.9,1144.1,1159.6,1184.4,1208.1,1242.1,1271.2,1281.3,1295.7,1302.8,1313,1328.4,1339.2,1358.4,1376.2,1389.5,1396.5,1413.1,1429.7,1448.7,1468.8,1501.7,1532.2,1566.1,1598.4,1634.7,1645.8,1677,1705.7,1715.3,1741.4,1755.8,1770.4,1784.8,1811.9,1838.6,1852.2,1872.1,1878.8,1873
"24","16","    Health care","DHLCRC1",707.8,715.6,723.6,732.6,736.3,748,754.8,769.1,776.3,785.4,796.5,805.6,820.2,829.3,836.7,842,848.9,856.1,867.8,881.5,893.8,910,926.7,943.2,966.2,985,1006.1,1028.9,1052.4,1074.9,1094.2,1110,1123.8,1140.3,1157.4,1175.6,1195.6,1218.6,1242.8,1261.9,1289.8,1305.7,1324.7,1343.6,1360.6,1374.4,1383.6,1404.4,1442.9,1458.4,1475.2,1501.7,1531.6,1551,1559.3,1574.9,1598,1616.5
"25","17","    Transportation services","DTRSRC1",170.6,175.5,180.8,184.9,187.5,192.2,197,203.1,208.4,212.8,216.6,219.5,222.3,225,229.1,232.3,236,240.6,246.1,250.4,255.5,260.7,264.7,268.1,268.2,266.3,260.5,255.9,256.6,256.8,256.1,257.4,259.4,260,265.3,267.7,269.9,271.3,274,277.7,280.4,283.8,288.2,291.2,292.5,296.6,297.8,301,304.7,306.4,308.7,309.9,308,308.3,309.1,305.7,301.6,300.2
"26","18","    Recreation services","DRCARC1",173.7,179.6,183.3,187.8,189.8,193.6,198.3,200.5,204.1,207.3,209.5,212.4,216.5,218,222,225.7,229.6,235.5,242.5,247.6,250.2,254.2,258.2,259.3,263.4,263.2,263,264.6,267.9,271.1,273.5,278.8,280.9,286.2,292.5,298.2,305.6,310.8,314.3,317.1,322.2,324,327.6,333.3,339.5,344.2,351.4,360.2,365.4,369.9,373.7,377.9,380.7,384.9,385.9,380.9,383.4,382.2
"27","19","    Food services and accommodations","DFSARC1",312.7,316.2,318.5,319.5,321,325.6,328.5,334.4,340,342.1,347.8,348.4,354.2,360.8,364.3,372.7,373.1,377.9,382,393.3,402.9,409,413.7,414.9,421.2,420.3,421.1,422.4,431.7,437,440.4,443.7,448.4,457.4,469.3,476.2,483.3,488.5,495.7,504.2,511.6,522.8,527.8,539,555.9,555,558.9,569.2,575.9,583.4,592.3,600,601.8,610.8,614.7,607.3,607.3,606.4
"28","20","    Financial services and insurance","DIFSRC1",354.4,361.4,368.5,374.5,383.5,390.4,395.6,405,416.7,423.9,438.4,446.2,453.9,463.4,474.7,486.6,494.8,507.1,517.9,537.1,574.2,567.7,567.5,570.4,566.4,565.6,549.8,569.3,568.5,573.6,580.2,582.3,579.7,595.8,608.9,622.7,646.4,658.9,672.6,692,696.8,710.4,718.5,724.8,733.4,745,753,778.1,799.3,819.5,835.3,842.8,839.6,842.1,837.3,823.5,816.7,822.9
"29","21","    Other services","DOTSRC1",384.8,390.7,390.9,395.5,405.1,409.3,424.7,422.3,436.1,446.6,457.5,468.9,482.2,493.5,508.7,514.8,526.5,535.7,544.5,556.7,572.1,585.3,599.5,607.4,615,633.6,642.1,645.2,653,659.6,666.8,671.4,691.7,700.2,710.5,715.8,730.2,740.1,752.6,758.2,769.9,776.3,784.5,795.8,812.5,830.7,842.7,858,874,886.1,887.2,888.7,903.9,910.5,915.9,929.8,936,938.6
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",105.2,106.5,107.6,109.4,113.4,116.1,117.7,115.7,110.8,110.1,111.9,116.2,122.1,128.5,134.4,139,140.4,143.3,146.8,151.2,156.7,161.6,167.8,175.4,179.8,184.9,188.9,191.2,196.3,202.8,208.7,212.2,211.8,212.2,212.3,211,209.5,209.8,210.3,210.4,209.5,210.7,214.7,221.4,227.2,237.2,248.1,248.8,248.5,244.8,256.2,264.5,270.4,273.7,282.6,288.2,268,263.3
"31","23","    Gross output of nonprofit institutions \2\","DNPERC1",456.2,460.7,465,471.6,476.7,486.1,491.9,500.5,500.2,504.2,511.9,520.9,535.1,545.8,556.6,564.7,571.8,579.4,588.9,601.1,611.3,624.8,638.6,653.2,667.6,681.1,695.6,707.9,726,744.4,759.7,768.7,775.2,781.3,789.1,797.7,807.8,821.2,836,845.8,858.2,865.2,878.8,896.4,912.8,928.6,940.5,952.5,971.7,978.2,990.1,1010,1031.3,1044.9,1055.2,1066.1,1060.8,1064.2
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",351,354.2,357.5,362.2,363.4,370,374.2,384.9,389.4,394.1,400,404.7,413,417.4,422.2,425.6,431.4,436.1,442.1,449.9,454.6,463.3,470.7,477.8,487.7,496.1,506.7,516.7,529.7,541.6,550.9,556.5,563.4,569.1,576.9,586.8,598.3,611.5,625.6,635.4,648.7,654.4,664.1,675,685.6,691.4,692.4,703.6,723.1,733.4,733.9,745.5,760.9,771.2,772.7,778,792.7,800.9
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  Energy goods and services \4\","DNRGRC1",247,253.4,255.3,250.9,266.2,273.9,264.5,274.1,277.2,269.4,270.8,279.5,260,261.8,261.9,250,250.7,271.7,286.4,289.6,302.1,321,333.6,349.1,352.6,346.4,332.9,300.9,293.1,319.7,325.9,342.1,377.1,354.5,370,378.4,401.2,407.6,413,450.5,452.4,459.1,525.1,544.2,522,544.8,569.9,514.5,545,574.1,577.2,616.5,643.1,667.3,684.8,550.9,495.3,485
"35","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRC1",4200.8,4261.6,4323.7,4381.3,4436.9,4514.8,4575.7,4640.8,4716.4,4762.8,4866.1,4941.2,5019,5124.7,5217.3,5333.2,5403.8,5509,5596.8,5708.8,5856.7,5919.1,6006.8,6083.2,6153.5,6213,6256.3,6400.9,6449.6,6516.2,6596,6635.7,6683.4,6784.3,6913.9,6981.9,7088,7178.1,7287.8,7401.5,7507.1,7629.2,7712.7,7786.2,7941.2,8029.5,8122.1,8254.8,8386.4,8456.4,8545.7,8644.3,8681.9,8741.1,8741.8,8671.4,8705.8,8716
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
