"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"21","14","  Household consumption expenditures (for services)","DHCERC1",3064.6,3240.2,3451.6,3677.5,3907.4,4205.9,4428.6,4624.2,4864.8,5182.8,5531,5860.6,6207.9,6448
"22","15","    Housing and utilities","DHUTRC1",913.8,961.2,1009.9,1065.2,1125,1198.6,1287.7,1334.8,1393.8,1462.2,1582.8,1686,1763.1,1843.7
"23","16","    Health care","DHLCRC1",719.9,752.1,790.9,832,863.6,918.4,996.6,1082.9,1149.3,1229.7,1316,1380.7,1469.6,1554.2
"24","17","    Transportation services","DTRSRC1",177.9,195,214.3,227.2,243.3,262.3,262.7,256.7,263.1,273.2,285.9,297,307.4,307.8
"25","18","    Recreation services","DRCARC1",181.1,195.6,208.3,220.6,238.8,255.5,263.6,272.8,289.5,312,326.8,348.8,371.7,383.1
"26","19","    Food services and accommodations","DFSARC1",316.7,327.4,344.6,363,381.6,410.1,421.2,438.2,462.8,492.9,525.3,559.7,587.9,608.7
"27","20","    Financial services and insurance","DIFSRC1",364.7,393.6,431.3,469.6,514.2,570,562.8,576.2,601.8,667.5,712.6,752.4,824.2,835.6
"28","21","    Other services","DOTSRC1",390.5,415.3,452.3,499.8,540.9,591.1,634,662.7,704.6,745.3,781.6,836,884,915
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",107.2,115.7,112.2,131,145.4,165.4,186.2,205,211.8,210,214.1,240.4,253.5,278.7
"30","23","    Gross output of nonprofit institutions \2\","DNPERC1",463.4,488.8,509.3,550.5,585.3,632,688,749.7,785.8,827.7,874.6,933.6,987.5,1049.4
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",356.2,373.1,397,419.6,439.9,466.6,501.8,544.7,574,617.7,660.6,693.3,734,770.7
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  Energy goods and services \4\","DNRGRC1",251.7,269.7,274.2,258.5,274.6,326.5,333.2,320.2,370,418.1,495.2,537.8,578.2,636.6
"34","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRC1",4291.9,4542,4821.6,5173.5,5554.6,5966.4,6255.9,6549.4,6840.9,7238.8,7658.8,8086.9,8508.2,8709.1
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","5. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
