"","Table 4#2#2# Contributions to Percent Change in Real Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"20","10","    Other","B689RZ2",6.14,4.3,5.04,4.24,0.97,1.06,0.98,6.4,3.85,5.29,4.34,0.58,-1.69,-3.14,-1.34,2.06,0.35,1.94,4.81,4.06,4.01,5.74,6.14,-1.1,-3.73,-8.59,-7.19,-2.69,-0.8,3.13,0.85,-2.1,0.13,1.56,2.97,6.29,4.19,2.42,0.26,0.36,0.84,1.72,1.7,4.77,2.82,2.23,0.4,1.51,0.75,1.87,2.84,2.66,1.07,1.71,0.59,-3.35,-10.08,-3.59
"21","11","  Automotive vehicles, engines, and parts","B641RZ2",1,-2.07,1.04,-0.33,0.24,0.38,2.13,-0.91,1.93,1.19,1.37,-0.22,0.6,-2.1,-1.91,3.15,-0.54,0.58,0.5,0.37,2.43,-1.29,-0.42,-0.26,-1.79,1.15,-0.02,-0.6,-0.03,2.51,-0.21,-0.73,0.22,0.87,-1.46,1.63,0.49,1.26,1.45,0.27,0.5,0.12,0.94,1.63,0.64,-0.44,0.15,0.99,1.27,0.99,0.74,1.13,-0.74,-0.03,0.51,-3.88,-8.5,-0.72
"22","12","  Consumer goods, except automotive","A642RZ2",-0.39,0.33,0.8,0.02,0.79,0.44,0.35,1.34,1.03,1.3,0,0.28,-0.21,0.82,0.31,-0.28,-0.2,0.28,0.69,1.32,1.17,0.45,1.04,-0.64,1.18,-0.3,-2.36,-0.49,-0.29,0.8,0.39,-0.24,0.7,0.33,1.26,1.02,1.34,1.72,0.35,1.39,0.82,0.81,0.58,0.99,1.3,0.65,0.43,1.77,1.16,0.25,1.14,0.72,1.19,1.04,0.71,-2.16,-2.09,-0.1
"23","13","    Durable goods","B690RZ2",0.16,0.09,0.03,0.07,0.24,0.4,0.41,0.74,0.26,1.08,0.12,-0.11,-0.06,0.43,0.27,-0.13,-0.6,0.67,0.48,1.1,0.65,-0.28,0.64,-0.46,1,-0.21,-1.39,-0.69,0.26,0.32,0.26,-0.55,0,0.48,0.81,1,0.27,1.14,0.61,0.67,0.66,0.42,0.73,0.37,0.85,0.75,0.14,1.13,0.68,0.57,0.79,1.19,0.42,0.57,-0.08,-2.37,-2.28,-0.2
"24","14","    Nondurable goods","B691RZ2",-0.55,0.23,0.76,-0.05,0.54,0.04,-0.06,0.61,0.77,0.22,-0.12,0.4,-0.14,0.39,0.03,-0.15,0.4,-0.39,0.2,0.21,0.52,0.73,0.4,-0.18,0.18,-0.09,-0.97,0.2,-0.55,0.48,0.13,0.32,0.7,-0.15,0.45,0.02,1.07,0.58,-0.27,0.72,0.17,0.39,-0.15,0.62,0.44,-0.09,0.29,0.64,0.48,-0.32,0.35,-0.46,0.78,0.47,0.79,0.22,0.18,0.1
"25","15","  Other","A643RZ2",-0.02,-0.68,0.07,0.52,-0.28,0.69,0.22,1.38,-0.32,0.51,0.44,0.13,0.01,0.36,1.15,0.81,-0.06,-0.11,-0.38,0.78,-0.36,-0.71,1.58,0.33,-0.7,-0.51,-0.7,-0.47,1.87,0.19,0.39,-0.91,-1.23,-0.45,-0.16,0.16,-0.04,0.61,-0.45,-0.57,1.4,0.53,0.57,-0.05,0.37,-0.88,0.59,0.24,-0.57,-0.23,-0.15,1.03,-1.86,1.44,-2.67,1.03,-1,-0.95
"26","16","Exports of services \1\","A646RZ2",0.78,0.73,6.67,1.82,-0.98,3.65,-2.07,10.34,-2.12,2.73,0.94,-1.13,1.14,2.23,-2.37,3.91,2.46,1.42,1.45,0.86,0.62,2.55,-2.27,1.18,-1.4,0.07,-4.74,-4.62,6.66,1.19,1.52,2.59,-4.82,-1.11,5.6,6.42,5.06,1.67,-0.5,4.89,1.87,-0.44,0.86,2.32,4.19,1.7,0.44,8.37,1.44,0.9,8.15,5.93,-2.85,2.49,-2.36,-1.15,-4.18,-0.79
"27","17","  Transfers under U.S. military agency sales contracts","B267RZ2",0.84,0.22,1.03,-0.7,-0.37,0.91,0.67,0.74,-1.21,1.5,-0.46,-0.91,1.32,-0.07,-0.85,0.68,-0.87,0.86,-0.99,-0.75,-0.26,0.76,-0.81,0.4,-1.03,1.25,-0.24,-0.51,-0.25,-0.12,1.11,-0.67,-0.2,0.11,1.46,-0.45,0.75,-0.05,-0.2,-0.48,1.42,-0.08,0.56,-0.94,1.27,0.58,-0.22,0.52,0.56,-1.81,0.32,2.21,-1.36,-0.29,-0.75,0.22,-0.05,0.33
"28","18","  Travel","B493RZ2",0.08,-0.01,2.69,1.4,-0.91,1.53,-3.05,5.68,-1.47,-0.36,0.42,-0.88,-0.33,0.34,-1.62,0.88,0.34,-0.05,0.46,0.86,0.97,0.51,-1.23,0.08,0.27,-1.63,-2.94,-4.69,3.33,-0.21,0.21,2.49,-3.67,-2.15,2.65,2.78,-0.45,0.85,-0.16,0.46,0.62,1.13,-1.19,-0.2,0.11,0.17,0.18,0.99,-0.65,0.81,2.1,1.18,-0.23,0.49,0.17,-0.97,-1.44,-1.15
"29","19","  Passenger fares","B533RZ2",0.42,-0.4,0.99,0.33,0.01,0.23,-0.52,0.89,0.42,-0.31,0.01,0.36,-0.45,0.39,-0.07,-0.71,-0.31,0,0.32,-0.42,0.08,0.43,-0.19,0.02,-0.25,-0.22,-0.54,-1.67,1.34,-0.08,-0.32,0.1,-0.9,-0.62,0.58,0.2,0.07,0.19,0.18,-0.42,-0.15,0.48,0.33,0.07,0.01,-0.07,0.11,-0.14,0.19,-0.03,0.58,0.33,0.11,0.27,-0.16,-0.04,-0.32,0.13
"30","20","  Other transportation","B683RZ2",-0.17,0.36,0.07,0.42,-1.09,0.32,-0.15,0.69,-0.29,0.26,-0.03,0.18,-0.43,-0.17,0.08,0.6,0.03,-0.03,-0.17,0.49,-0.07,0.16,-0.37,-0.16,0.28,-0.2,-0.27,-0.31,0.67,0.07,0.24,0.37,-0.45,0.43,0.07,0.75,0.8,0.24,-0.29,0.35,0.2,-0.01,-0.44,0.37,0.43,0.33,0.05,0.41,0.18,0.23,0.36,0.26,0.1,0.1,-0.57,-0.59,-1.27,0.04
"31","21","  Royalties and license fees","B684RZ2",0.68,0.34,0.75,-0.08,0.07,-0.09,0.47,0.43,-0.48,0.19,0.01,-0.27,0.53,0.36,-0.18,1.38,0.32,-0.14,0.57,-0.08,0.74,0.2,0,-0.3,-1.04,0.1,-0.54,0.9,-0.11,1.36,0.42,-0.66,-0.03,0.35,0.31,0.64,1.68,-0.02,0.36,1.73,0.36,-0.15,0.2,0.13,0.1,0.31,0.54,1.72,-0.06,0.35,1.74,1.07,-0.46,0.3,-0.33,-0.11,-0.61,-0.24
"32","22","  Other private services","B720RZ2",-0.71,0.49,0.92,0.58,0.96,0.94,0.44,1.87,0.77,1.61,1.01,0.53,0.55,1.54,0.37,0.8,3.21,0.71,1.23,0.8,-0.96,0.65,0.46,1.29,0.34,0.67,-0.28,1.6,1.69,0.37,0.04,1.17,0.48,0.75,0.5,2.44,2.17,0.35,-0.38,3.25,-0.52,-1.73,1.34,2.88,2.22,0.35,-0.25,4.73,1.27,1.32,2.95,0.76,-1.12,1.56,-0.7,-0.14,-0.47,-0.12
"33","23","  Other","B980RZ2",-0.36,-0.25,0.22,-0.13,0.34,-0.2,0.07,0.04,0.14,-0.15,-0.02,-0.15,-0.05,-0.16,-0.09,0.28,-0.26,0.06,0.03,-0.03,0.12,-0.17,-0.12,-0.14,0.04,0.1,0.08,0.06,-0.01,-0.19,-0.18,-0.2,-0.05,0.01,0.01,0.07,0.03,0.1,-0.01,0,-0.06,-0.07,0.05,0,0.06,0.03,0.03,0.15,-0.06,0.02,0.1,0.12,0.11,0.06,-0.03,0.48,-0.03,0.23
"34",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24","    Imports of goods and services","A021RL1",9.1,3.9,1.4,5.2,13.7,9.3,13.6,8.1,18.2,14.1,15.6,8.9,15.9,9.5,5.5,13.6,10.6,13.4,15.3,9.9,17.2,12.8,14.7,-0.3,-5.7,-11.4,-9.3,-4.7,10.4,14.2,6.8,7.4,-4.7,5.9,4.7,15.6,10.6,17,5.9,10.5,2.3,4.5,2.5,11.7,7.8,4.5,4.9,-0.5,4.3,-0.5,3.7,-3.6,-2.5,-5,-2.2,-16.7,-36.4,-15.1
"36",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","25","Imports of goods \1\","A255RZ2",6.68,4.66,0.73,3.88,12.5,8.7,11.91,8.32,15.36,13.32,12.89,7.78,13.07,8.12,3.92,12.82,9.44,12.26,13.81,9.27,13.89,11.14,12.58,0.12,-4.96,-13.03,-6.08,-2.89,6.93,14.74,6.33,4.46,-3.62,8.78,1.42,12.42,8.25,15.4,5.54,8.99,2.93,4.05,2.26,10.16,5.34,4.19,4.63,-1.98,4.19,-0.82,2.41,-3.12,-2.9,-3.82,-3.12,-16.74,-34.65,-12.76
"38","26","  Foods, feeds, and beverages","B647RZ2",0.75,-0.26,0.24,0.15,0.73,0.27,0.7,0.2,0.28,0.54,0.81,-0.06,0.54,0.06,0.15,0.12,0.61,0.61,0.18,0.2,0.14,0.36,0.36,-0.01,-0.18,0.26,0.79,-0.3,0.09,0.36,0.31,-0.01,0.39,0.28,0.32,0.39,0.14,0.38,-0.17,0.21,-0.06,0.27,0.38,0.16,0.41,-0.09,0.15,0.21,0.13,-0.26,0.13,-0.18,-0.08,-0.07,-0.06,0.3,-0.74,-0.08
"39","27","  Industrial supplies and materials, except petroleum and products","A649RZ2",0.17,0.5,-2.16,0.12,1.62,1.18,1.87,1.48,0.14,1.6,0.98,1.3,2.36,1.78,0.19,0.32,-0.56,1.45,1.38,2,0.7,0.07,0.62,-0.66,0.47,-2.32,0.17,-0.31,0.54,1.17,0.95,1.12,-2.02,0.79,1.33,0.14,1.86,4.16,2.45,0.54,0.45,-0.23,-0.38,2.77,0.24,-0.06,0.86,-2.15,-0.91,0.78,0.33,-2.42,-1.09,-1.12,0.98,-3.45,-6.85,-4.22
"40","28","    Durable goods","A820RZ2",0.25,-0.42,-1.73,0.31,1.26,0.88,0.95,0.79,-0.11,0.73,0.37,1.19,1.58,1.26,0.31,0.51,-0.47,0.39,0.25,1.64,0.65,-0.23,-0.18,-0.02,-0.17,-1.22,-0.05,-0.11,1.21,0.1,0.45,0.66,-0.55,-0.42,0.21,1.27,0.84,2.35,1.78,1.18,-0.33,-0.07,-1.05,1.96,2.11,-0.55,0.48,-1.53,-0.79,-0.4,-0.86,-1.07,0.01,-0.92,-0.03,-1.15,-3.93,-2.72
"41","29","    Nondurable goods","B696RZ2",-0.08,0.92,-0.43,-0.19,0.36,0.3,0.92,0.69,0.25,0.87,0.61,0.11,0.77,0.52,-0.12,-0.19,-0.08,1.07,1.13,0.36,0.05,0.3,0.8,-0.64,0.64,-1.1,0.22,-0.21,-0.67,1.06,0.5,0.45,-1.47,1.21,1.12,-1.13,1.02,1.81,0.67,-0.65,0.78,-0.16,0.67,0.81,-1.87,0.49,0.38,-0.62,-0.11,1.18,1.19,-1.35,-1.1,-0.2,1.01,-2.3,-2.92,-1.5
"42","30","  Petroleum and products","B648RZ2",-0.19,-1.13,1.4,0.16,0.81,0.58,0.52,0.73,0.11,-0.37,0.38,1.06,0.43,0.08,0.33,0.19,0.17,-0.31,0.07,-0.86,2.29,-0.31,0.67,0.96,1.69,-1.58,-1.34,1.14,-1.24,0.64,-0.06,1.85,-1.45,2.99,0.36,-1.29,2.6,-0.99,0.33,2.11,-0.85,-0.27,-0.01,2.17,-3.11,0.68,2.91,-4.74,0.1,1.75,-0.48,-1.67,-0.26,-1.8,0.5,1.72,-1.84,-3.91
"43","31","  Capital goods, except automotive","A650RZ2",3.45,5.96,5.71,5,3.08,2.35,4.56,5.93,6.77,6.76,5.74,3,4.75,2.24,0.92,3.06,2.35,6.39,4.62,3.62,3.15,7.82,4.97,0.01,-4.68,-9.48,-4.73,-1.2,2.37,2.75,0.22,0.52,0.37,1.86,0.58,5.06,3.24,4.53,2.48,2.35,0.51,3.65,0.66,2.49,2.87,1.64,1.64,0.64,1.89,0.03,0.88,0.97,0.87,0.32,-1.41,-4.79,-8.99,-3.85
"44","32","    Civilian aircraft, engines, and parts","B932RZ2",-0.59,0.15,-0.32,0.1,0.05,0.64,0.17,0.33,-0.07,0.55,1.43,-0.33,-0.07,1.68,-0.04,0.58,-0.68,0.23,0.85,-0.51,-0.28,0.42,0.42,0.91,0.07,-0.09,-0.15,0.46,-1.21,-1.11,-0.7,1.05,-0.79,0.11,-0.32,0.83,-1.28,0.8,-0.17,0.75,-0.48,0.47,-0.85,0.19,0.52,-0.18,-0.08,0.55,0.33,0.21,-0.05,-0.02,0.2,0.04,-0.63,-0.37,-0.35,0.35
"45","33","    Computers, peripherals, and parts","B852RZ2",0.39,2,2.45,2.76,0.89,1.15,1.05,1.23,2.97,2.55,1.89,0.68,2.36,1.11,0.38,2.43,2.05,2.54,0.93,0.83,-0.06,2.31,1.95,-0.89,-1.47,-1.39,-0.73,0.41,2.32,0.29,0.15,-0.01,0.53,0.51,0.52,1.64,0.96,1.39,1.14,0.79,0.15,0.53,0.87,0.69,1.03,0.57,0.73,0.14,1.55,-0.77,-0.1,0.82,0.49,0.33,-0.69,-1.83,-0.83,0.43
"46","34","    Other","B853RZ2",3.65,3.82,3.58,2.14,2.14,0.55,3.34,4.37,3.87,3.66,2.42,2.65,2.47,-0.56,0.58,0.06,0.98,3.62,2.84,3.3,3.49,5.09,2.59,-0.02,-3.28,-7.99,-3.85,-2.06,1.26,3.57,0.77,-0.52,0.62,1.25,0.37,2.59,3.56,2.34,1.51,0.81,0.83,2.66,0.64,1.61,1.32,1.25,0.99,-0.05,0.01,0.59,1.03,0.17,0.19,-0.05,-0.09,-2.6,-7.81,-4.64
"47","35","  Automotive vehicles, engines, and parts","B651RZ2",0.48,-1.61,-3.24,-1.05,2.36,3.01,1.4,-2.34,4.71,0.12,0.5,-0.56,1.91,0.61,-0.81,6.91,2.8,1.55,2.75,1,3.11,-0.69,0.52,-1.04,-1.11,0.53,0.43,-1.28,1.76,2.95,1.44,-0.12,-0.91,1.61,-1.74,3.21,0.41,1.87,-0.09,0.07,-0.06,0.53,1.07,2.21,1.12,-0.15,-1.02,1.72,-1.21,-0.54,2.05,-0.7,-1.94,-1.22,-2.49,-5.08,-11,-1.05
"48","36","  Consumer goods, except automotive","A652RZ2",2.04,0.36,0.21,-1.63,3.39,1.03,3.52,2.31,1.91,3.6,2.95,2.61,2.95,2.79,1.26,0.61,3.1,2.13,4.29,3.38,3.25,4.18,2.02,2.19,-0.82,-1.06,-0.85,-1.07,3.25,6.07,3.37,1.13,1.51,0.4,1.8,3.91,1.24,5.07,-0.53,3.48,2.52,0.88,-0.65,1.34,2.81,1.3,1.86,2.83,2.32,-1.59,-0.89,2.09,-0.57,0.35,-0.38,-5.13,-4.87,0.62
"49","37","    Durable goods","B697RZ2",0.68,0.04,-0.03,-0.43,1.97,0.64,2.03,0.37,1.25,1.7,1.4,1.66,1.96,1.57,0.65,0.93,0.78,2.56,2.2,1.61,2.88,1.49,0.9,1.52,-1.18,-1.32,-0.08,-0.06,2.32,3.81,1.15,-0.09,-0.16,0.62,2.18,2.85,0.57,3.1,0.21,2.56,1.1,0.23,1.24,0.35,1.58,-0.19,1.27,2.19,0.84,-1.06,0.6,1.62,-1.3,0.4,0.05,-3.81,-3.48,1.07
"50","38","    Nondurable goods","B698RZ2",1.37,0.32,0.24,-1.21,1.42,0.39,1.48,1.94,0.65,1.91,1.54,0.95,0.99,1.23,0.61,-0.32,2.33,-0.43,2.09,1.77,0.38,2.69,1.11,0.67,0.35,0.26,-0.77,-1.01,0.93,2.26,2.22,1.22,1.68,-0.22,-0.39,1.06,0.67,1.98,-0.74,0.92,1.42,0.65,-1.9,0.98,1.24,1.49,0.59,0.64,1.48,-0.52,-1.49,0.47,0.73,-0.05,-0.42,-1.32,-1.39,-0.46
"51","39","  Other","A653RZ2",-0.02,0.83,-1.42,1.13,0.5,0.28,-0.66,0.02,1.44,1.06,1.54,0.43,0.12,0.57,1.88,1.61,0.97,0.44,0.51,-0.06,1.25,-0.28,3.44,-1.34,-0.32,0.62,-0.54,0.13,0.15,0.81,0.11,-0.02,-1.51,0.85,-1.22,0.99,-1.24,0.38,1.08,0.25,0.42,-0.78,1.2,-0.98,0.99,0.86,-1.78,-0.5,1.87,-0.99,0.39,-1.22,0.15,-0.29,-0.27,-0.31,-0.35,-0.27
"52","40","Imports of services \1\","B656RZ2",2.38,-0.8,0.65,1.33,1.16,0.56,1.7,-0.19,2.85,0.8,2.68,1.14,2.8,1.36,1.59,0.76,1.15,1.11,1.51,0.67,3.34,1.62,2.14,-0.41,-0.75,1.64,-3.26,-1.8,3.48,-0.53,0.43,2.92,-1.13,-2.92,3.32,3.22,2.32,1.61,0.4,1.54,-0.61,0.42,0.21,1.53,2.44,0.33,0.24,1.52,0.08,0.32,1.33,-0.51,0.42,-1.2,0.9,0.01,-1.72,-2.32
"53","41","  Direct defense expenditures","B752RZ2",0.42,-0.58,0.05,0.21,0.44,-0.05,0.1,0.03,0.4,-0.09,0.52,0.25,-0.05,-0.21,0.36,-0.17,0.08,0.28,0.26,-0.37,0.09,0.26,0.16,-0.27,0.11,0.07,0.21,0.79,0.24,0.09,0.04,0.13,0.17,0.34,0.29,0.4,-0.23,0.31,-0.15,-0.52,-0.08,0.13,-0.07,0.03,0.17,-0.29,0.07,-0.23,0.16,-0.18,-0.13,-0.02,-0.18,-0.28,0.31,0.23,0.41,-0.41
