"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"23","16","Current transfer receipts","W075RC1",224.2,234,246.4,265.3,291.1,313.9,348,382.3,421.3,439.4,454.3,456.7,483.9,506.1
"24","17","  Federal grants-in-aid","B089RC1",184.2,191.1,198.4,212.6,232.9,247.3,276.1,304.2,338,349.2,361.2,359,378.9,391.7
"25","18","  From business (net)","W076RC1",13.5,15.2,17.7,21.6,24,28.6,29.8,32.6,33.8,36.5,36.5,38.4,41.3,45.6
"26","19","  From persons","B246RC1",26.5,27.8,30.3,31.1,34.2,38,42,45.6,49.5,53.7,56.5,59.2,63.7,68.8
"27","20","Current surplus of government enterprises","B115RC1",13.5,15.6,14.2,12.5,13.3,10.4,8,6.1,3.3,1,0.1,-1.3,-3.9,-3.2
"28","21","    Current expenditures","W024RC1",982.7,1022.1,1063.2,1117.6,1198.6,1281.3,1389.9,1466.8,1535.1,1609.3,1704.5,1778.6,1905.6,2014.4
"29","22","Consumption expenditures","A991RC1",701.3,730.2,764.5,808.6,870.6,930.6,994.2,1049.4,1096.5,1139.1,1212,1282.3,1366.1,1452.4
"30","23","Government social benefit payments to persons","B109RC1",217.6,224.3,227.6,235.8,252.3,271.4,305.1,333,353.4,384.3,404.8,402.9,433.7,455
"31","24","Interest payments \1\","B111RC1",63.5,67.3,70.6,72.8,75.2,78.8,83,83.5,85.1,85.6,87.3,93,98.7,103.9
"32","25","Subsidies","B114RC1",0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.4,0.4,0.4,7.1,3
"33","26","Less: Wage accruals less disbursements","B116RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","27","    Net state and local government saving","A924RC1",9.2,23,36.3,46.9,41.8,41.3,-15.9,-54.1,-38.8,-8.4,25.9,51,21.7,-40.2
"35","28","Social insurance funds","B118RC1",4,2.8,1.2,1.7,1.7,2,2.6,1.5,3.4,6.9,7.4,4.7,1.9,2
"36","29","Other","B119RC1",5.1,20.2,35.1,45.2,40.1,39.3,-18.5,-55.6,-42.2,-15.3,18.5,46.4,19.8,-42.2
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","  Total receipts","W077RC1",1024.2,1078.9,1134.7,1200.4,1280.2,1366.4,1425.2,1465.1,1547.8,1648.5,1780.2,1887.1,1986.4,2035.9
"39","31","    Current receipts","W023RC1",991.9,1045.1,1099.5,1164.5,1240.4,1322.6,1374,1412.7,1496.3,1601,1730.4,1829.7,1927.3,1974.2
"40","32","    Capital transfer receipts","AD06RC1",32.4,33.8,35.2,35.9,39.8,43.8,51.2,52.4,51.5,47.5,49.8,57.4,59.1,61.7
"41","33","  Total expenditures","W079RC1",1060.1,1104.7,1156.4,1215.5,1310.9,1404.5,1524.5,1609.5,1678.9,1752.7,1846.2,1931.4,2074.6,2184.3
"42","34","    Current expenditures","W024RC1",982.7,1022.1,1063.2,1117.6,1198.6,1281.3,1389.9,1466.8,1535.1,1609.3,1704.5,1778.6,1905.6,2014.4
"43","35","    Gross government investment","A799RC1",154,163.8,178.9,186.4,205.7,224.3,240.5,253.3,259.6,269.1,281.6,304.4,333.7,348.2
"44","36","    Capital transfer payments","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","    Net purchases of nonproduced assets","AD09RC1",6.6,6,5.8,7.6,8.6,8.6,10.1,11.2,11.4,11.4,10.3,11.1,13.1,12.9
"46","38","    Less: Consumption of fixed capital","A919RC1",83.1,87.2,91.6,96.2,102.1,109.7,116,121.8,127.3,137.1,150.1,162.7,177.9,191.2
"47","39","  Net lending or net borrowing (-)","AD03RC1",-35.9,-25.7,-21.7,-15.1,-30.6,-38.1,-99.3,-144.4,-131.1,-104.2,-66,-44.3,-88.2,-148.4
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","net of interest payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
