"","Table 7#2#1B# Percent Change from Preceding Period in Real Motor","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","        Truck output","A716RL1",4.1,3.3,11.9,18,-15.3,20.3,10.1,8.2,19.4,-0.8,39,35,-8.2,9.5,-21.5,100,3.3,-3.5,26.4,-3.7,3.7,-10.8,-23.3,-13.2,-16,42,-5.9,25.9,11.3,25.1,38.3,-19.3,2.4,26.6,8.8,9.1,5.1,-17.9,42.9,-12.6,-15.6,20,34.4,-42.3,7.3,-1.8,18.7,-17.8,-6.3,12.5,8.8,-18.8,-36.2,-49.1,-7.9,-37.2,-52.2,-23.9
"12","4","Final sales of domestic product","AB60RL1",-16,-5,24.9,12.6,-3.5,-1.2,5.6,13.4,6.1,-14.1,30.7,15.4,-17.7,39.7,-0.1,50.1,-27.8,29.8,6.5,-12.9,30.9,-30.8,-4.1,-5.5,17.6,-7.2,-5.4,89.4,-29.2,1,34.4,-31,4,17.8,25.9,-17.4,2.4,0.7,26.7,15.8,-5.1,16.7,18.2,-44.1,30.9,-4.6,12.2,-6.9,1.1,2.9,-12.5,12,-19.2,-35.5,-21.3,-51.1,1.5,-13.1
"13","5","  Personal consumption expenditures","AB61RL1",-18.5,-1.6,10.7,7,3.5,6.6,-1.5,2.8,21.5,-14.8,32.1,12.5,-12.9,40.3,7.6,48.4,-20.3,35.3,0.5,-13.2,44.2,-28.1,7.9,2.6,14.9,-8.2,6.3,86.2,-27.3,2.3,30.8,-23.6,0.3,19.6,12.8,-8.5,-0.7,-2.1,5.2,3.2,-8.2,16.9,4.5,-42.9,17.6,1.6,8.3,-1,2.7,2,-4,2.5,-17.9,-24.8,-25.5,-36.2,9.6,-13.2
"14","6","    New motor vehicles","AB67RL1",-27.3,3.4,-2.2,21.1,-2.7,-3.9,-8.8,13.5,3.6,-12.8,46,18,-15.9,60.1,-23.1,45.9,-1.4,22,4.1,8.1,28.2,-18.1,6.1,-16.2,33.7,-3.2,-4.5,182.7,-34.7,-17.3,49,-22.2,-2.7,35.1,11.9,-11.4,5.4,-9.2,4.7,-0.3,-16.6,40.9,8.5,-55.3,23.4,0.9,10.2,-5.4,11.8,-4.6,-11,7.8,-23.6,-31,-31.6,-47,-1.4,-9.4
"15","7","      Autos","A136RL1",-32.5,7.5,-0.3,20.8,-13,-6.2,-14,10.6,4.5,-26.1,47.3,10.6,-13.9,41.4,-22.6,32.6,-2.6,31.7,3.5,17.8,21.9,-13.6,-10.6,-16.1,16.1,-15.6,-14.9,152.1,-43.2,-11.8,26.2,-27,8.7,-8.7,8.1,-10.7,17.8,-9.6,-4.4,22.9,-4.4,23.3,11.6,-27.2,23.7,-2.4,8.1,-12.8,3,-11.6,-18.7,41.2,-6.7,-1.8,-51.1,-50.4,-17.9,-21.1
"16","8","      Light trucks (including utility vehicles)","B704RL1",-20.1,-1.6,-4.5,21.6,11.6,-1.1,-2.3,16.9,2.7,3.9,44.7,25.9,-17.8,80.4,-23.6,59.2,-0.3,13.8,4.6,-0.2,34.5,-22,24,-16.4,50.7,8.1,4.2,207,-28.2,-20.7,66.3,-19.1,-9.2,70.7,14.1,-11.8,-0.9,-9.1,10.1,-11.6,-23.3,53,6.7,-67.9,23.1,3.4,11.9,0.5,18.8,0.5,-5.5,-10.9,-34.7,-49.7,-7.6,-43.9,14.1,0.3
"17","9","    Net purchases of used autos and used light trucks","W240RL1",4.1,-11.1,41.9,-16.4,17.2,29.6,13.1,-13.9,60.8,-18,10.7,2.9,-7.1,8.1,99.4,52.2,-44.8,62.7,-5.3,-42.4,81,-44.3,11.7,49.2,-12.9,-17.2,30.1,-23.9,-5.3,59.2,1,-26.5,6.7,-9.4,14.9,-0.9,-14.3,18.1,6.3,11.4,12.6,-22.8,-4.5,-2.7,7,3.3,4.5,8.7,-14.1,17.5,11.6,-7.2,-5.6,-11.8,-13.4,-13.6,28.6,-18.7
"18","10","      Used autos","B137RL1",1.5,-20.1,49,-32.9,9.9,37.6,11.5,-28.4,74.9,-30.9,-1.1,10.6,-13,-3.3,107.6,31.5,-48.9,58.1,-5.1,-49.6,101.8,-52.2,7.7,93.7,-28.8,-10.5,13.4,-35.6,7.3,48.1,-4.5,-28.3,9.3,-12.3,13.8,-1.2,-20.8,23.2,1.6,10.6,14.3,-20.6,-7.3,-2.1,2,0.7,-1.5,-3.2,-21.9,8.5,7.5,-3.6,-0.6,-11.1,-17.9,-24.2,29.9,-17.7
"19","11","      Used light trucks (including utility vehicles)","W241RL1",11,15,26.9,34,32.8,15.6,16.3,21.2,37.7,10.8,32,-7.9,2.8,27.4,88.2,86.6,-39.1,68.6,-5.6,-32.3,58.7,-33.3,16.4,9.8,10.8,-24.4,52.2,-9.3,-16.8,71.9,7.1,-24.6,4.1,-6.3,16,-0.7,-7.5,13.3,11.1,12.2,11.1,-25,-1.6,-3.3,12.1,5.9,10.3,20.4,-6.8,25.5,15,-9.9,-9.4,-12.4,-9.5,-4.3,27.6,-19.3
"20","12","  Private fixed investment","AB62RL1",-9.2,-14.3,10.1,8.2,-7,11.7,22.2,9.9,8.6,-8.6,7,6.9,-9.9,26.5,-11.7,72.3,-9.4,10.3,31.7,-7,7.6,-21.5,-15.9,-25.1,8.8,-6,-30,7.1,-4,2.5,23.6,-29.6,-21.1,22.4,20.7,-10.6,12.4,24.2,51,32.2,-9.7,14.7,42.2,-7.2,51.9,-16.4,-7,2.6,-22.2,-22.7,-10.3,3.2,-23,-49.4,-47.3,-76.1,-82.7,2
"21","13","    New motor vehicles","AB68RL1",-10,-13.4,18.3,5.9,5,19.8,20,-1.3,10.2,-5.7,15.8,13.5,-1.4,36.1,-24.3,69.3,-0.3,3.2,26.9,-3.2,11.6,-21.7,-8.2,-26.6,18.4,-10.4,-18.8,-6.9,-5.7,28.9,17.9,-21.9,-24,2,33.3,2.6,-4,20.9,36.4,14.9,-12.6,15.6,33.9,-8.7,39.3,-18.6,-1.1,8.8,-10.9,-17.7,3.2,-5.6,-17.1,-31.9,-28.6,-61.8,-65,48.9
"22","14","      Autos","B139RL1",-27.9,-13.3,22.5,-8.3,-1,28.8,10.3,-26.1,24.4,-12.4,8.3,-2,-11.2,29.2,-25.5,88.9,-16.9,15.9,12.7,-4.9,29.6,-24.6,-4.7,-6.8,22.5,-5.5,-22.2,-24.2,10.5,49.9,3.7,-22.8,-14,-18.6,21.3,-13.5,-9.7,27.4,5.8,17.7,-9.8,1.3,23.2,8.1,21.4,-23.4,-1.3,9.1,0.4,9.6,7.1,-9.9,-18.6,0.2,-19.3,-70.8,-61.8,111.6
"23","15","      Trucks","B705RL1",13.7,-13.6,14.2,21.7,10.9,12.1,29.7,26.6,-0.3,0.3,22.2,27.1,6.5,41.2,-23.5,56.7,13.2,-4.5,37.5,-2.1,0.9,-19.5,-10.5,-38.3,15.3,-14.2,-16,8.7,-16.4,14.2,31,-21.2,-31.1,21.7,42.8,15.3,-0.2,16.8,59.6,13.4,-14.3,24.7,40.3,-17,50.8,-15.8,-1,8.6,-16.7,-30.9,0.7,-2.7,-16.1,-47.9,-35.1,-53.2,-67.1,12.6
"24","16","        Light trucks (including utility vehicles)","B196RL1",0.4,-9.1,26.9,31,49.7,19.8,47.7,51.8,9.2,2,22.5,23.4,1.3,54.2,-40.4,67.5,20.5,-5,48,-4.8,8.3,-19.1,0.1,-34.9,25.3,-10.8,-12.4,14.9,-14.9,2.1,26.3,-23.5,-19.8,12.8,45.4,10.6,-10.9,16,63.9,7.8,-26.3,35.1,56.1,-23,58.1,-21.6,-0.4,12.3,0.8,-13.5,15.5,-2,-16.1,-54.7,-37.2,-61.9,-63.7,35.9
"25","17","        Other","B197RL1",36.1,-19.5,-2.2,8.5,-34.6,-1.8,-1.9,-19.2,-22.8,-4.3,21.4,38.7,22.2,11,44.4,34,-3.1,-3.4,13.2,5.3,-16.6,-20.8,-35.8,-48,-13.4,-25.7,-28.5,-13,-21.9,78.2,49.5,-12.7,-60.2,61.1,33.3,33.9,45.2,19.3,46.8,31.6,29.2,1.1,4.1,2.5,33.1,2,-2.9,-1,-51.9,-68.3,-43.6,-5.4,-14.9,-6.2,-26.6,-10.6,-75.2,-40.1
"26","18","    Net purchases of used autos and used light trucks","W242RL1",-11.1,-11,37.7,1.6,33.3,36.3,16,-20,13.1,0.2,35.2,27.5,16,54.1,-42.2,64,19,-8.7,18.4,4.1,19.3,-21.8,6.7,-28.8,34.9,-16.7,0.8,-24.6,-8.6,82.7,9.9,-9.7,-28.1,-22.9,57.1,30,-26.6,15.9,12,-14.2,-19,17.2,16.8,-12,13,-24,15.2,24.8,20.8,-5.8,36.3,-20.2,-4.2,11.7,9.5,-33.6,-31.8,101
"27","19","      Used autos","B140RL1",-9.5,-17.3,37.7,-15.6,13.4,44.4,16,-34.7,61.5,-20.2,13,-3.3,13.1,43.3,-30.5,70.8,-21.1,-2.2,-1.3,-4.2,34.1,-32.3,5.3,-16,8.9,-6.9,-18.9,-37.7,8.3,75.8,4,-8.8,-17.8,-22.5,37.5,15.8,-19.4,36.8,-7.6,-5.3,-5.8,-1.6,7.9,16.2,-22.7,-11.1,19.7,17.5,2.3,-15.2,22.5,-25.3,17.7,14.2,17,-42,-34.1,70.4
"28","20","      Used light trucks (including utility vehicles)","W243RL1",-15.4,8.7,37.5,59.2,87.1,21.4,16,18,-45.2,62.3,88.2,98.3,20.4,70.6,-55.7,53.9,110.4,-16.1,47.6,14.3,4.4,-7.8,8.3,-40.9,71.3,-26.2,26.9,-9.4,-22.2,89.8,15.9,-10.6,-37,-23.3,79.1,45,-32.8,-1.7,35.7,-22,-30.6,40.3,26.1,-33.4,64.3,-34.3,10.9,32.3,40.7,3.2,48.9,-15.9,-19,9.6,3.4,-25.4,-29.9,129.4
"29","21","  Gross government investment","AB64RL1",-23.9,80.2,-19.3,100.9,-9.3,-54.3,-7.2,61.2,4.6,9.5,31.7,-46.5,15.3,111.6,-32.8,50.1,-26,-27.1,82.6,68.7,-27.2,-9.2,-8.3,4.1,54.4,-26.4,-11.7,-2.5,7.9,10.5,31.3,-16.5,76,-40,25.9,-40.3,58.3,-12.1,10.3,-23.9,36.8,-12.6,95,-41.9,0.9,37.3,53.8,4.1,-57.8,-17.8,140.2,-18.9,-7.2,-13.1,60,-71.2,-50.3,-52.8
"30","22","    Autos","B144RL1",-17.7,118.6,-34.5,97.5,-35.8,-51.1,-0.1,178.8,-51.8,-29,-14.8,34.2,-14.7,83.3,-35.3,16.5,0.8,-19.1,18.4,63.3,-52.6,7.3,79.1,-38.3,-28.3,95.3,25,-27.7,-27.4,-19.6,27.1,29.4,7,-36.2,-15.7,10.5,17.8,-21.4,-18.3,90.1,45.2,-46,40.9,-22.3,8.1,68.3,12.2,-9,-25.1,43.6,-37.5,77.7,-29.6,-30.2,21.9,-7.3,-38.9,-47.4
"31","23","    Trucks","B708RL1",-27.2,60.4,-8.6,102.9,9.2,-55.8,-10.6,16.3,62.9,33.4,56.4,-64.2,33.6,125.8,-31.7,66.5,-34.8,-30.4,118.3,70.9,-15.1,-14.2,-29.7,28.4,97.7,-46.9,-23.5,10.3,25,22.9,32.8,-27.9,107.5,-41.1,41.5,-50.4,73.6,-9.2,19.6,-41.8,34,1.8,113.5,-46.4,-1.1,28.9,69.1,8.2,-64.5,-32.8,270,-35.5,1.3,-7.2,72.4,-80.1,-54.2,-55
"32","24","  Net exports","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","    Exports","AB69RL1",55,-31.6,25,-10.1,24.4,-20.4,48.5,-4.4,-9.3,13.3,25.6,-1,9.9,-34.1,-36.3,45.7,-12.1,11.2,-13.2,13.3,27.4,-9.2,-26.4,-3.9,-28.7,56.3,20.6,-8.9,5.7,33.2,5.6,15.5,9.3,25.9,-33.5,59.8,-22.1,34.7,51.9,6,34.7,-3.8,7.7,27.4,21.9,-9.5,19.4,-2.3,40.8,43,9.7,52.3,-13.7,4.2,21.4,-51.5,-87.9,-25.7
"34","26","      Autos","B142RL1",50.9,-33,7.5,9.5,25.3,-34.2,56.8,-13.2,-18.2,20.3,-2.1,-10,19.8,-32.7,-17.3,55.9,-21,11.6,-25,20.3,22.9,-2,-22.5,-2.2,-17.1,80.1,50.7,-15.5,-3.8,48,1.1,-7.3,29.6,-10.1,-25.6,48.2,-27.7,33.4,4.3,38.7,54.5,-8.7,6.4,46.3,27.2,-9.9,27.7,12.7,44.4,43.4,33,64,3,10.1,23.5,-51.7,-91.9,-7.8
"35","27","      Trucks","B706RL1",59.5,-30,45.3,-26.4,23.5,-3.3,40.7,5.1,-0.2,7.3,56.1,6.8,2.5,-35.3,-49.3,36.7,-2.8,10.8,-1.6,7.7,31.4,-14.9,-29.8,-5.5,-38.2,35.5,-5.8,-0.7,17.3,18.7,10.9,44.9,-8.1,74.9,-40.1,71.5,-16.8,35.8,105.1,-13.9,19.9,0.6,8.7,12.9,17.3,-9.2,12.2,-15.1,37.2,42.6,-10.8,40,-30.6,-3.2,18.5,-51.2,-80.4,-41.7
"36","28","    Imports","AB70RL1",0.4,-10.2,-28.6,-8,23.2,22.4,13.5,-19.6,55.3,1.5,4,-15.7,24.3,5.3,-9.4,70.7,31.7,9.9,17.3,5.7,26.4,-5.3,6.1,-5.5,-3.5,-1.6,3,-9.8,12.2,13.1,10.6,4.8,-17.8,19.2,-22.8,31.3,-0.5,17.5,-3.6,-8.1,-4.9,5.5,6.5,26.9,16,-2.8,-9.6,20.8,-17.7,-15.5,33.3,-5.8,-16.2,-7.1,-29,-49.5,-86.1,-18.3
"37","29","      Autos","B143RL1",21.8,-7.2,-30.2,-12.9,1.8,-1,9.8,-16.4,69.1,2.1,2.2,-15.7,17.4,10.5,-18,68.1,24.8,5.8,23.5,-0.8,20.8,2.1,7.3,-2.1,0.9,-10,-4,-13.1,19.6,35.9,-0.6,-5.5,-24.3,15.4,-14.3,34.8,-19.7,-3.4,29.9,-20.9,-15.6,-3.1,10,24.1,5.1,-0.9,25.6,20.1,-37.4,-2.5,50.5,-11.5,-7.4,-2.6,12.6,-30.4,-89.3,-26.6
"38","30","      Trucks","B707RL1",-26.5,-15.2,-25.7,0.9,66.3,64.3,18.3,-23.6,38.5,0.6,6.5,-15.7,34.3,-1.4,3.2,74,40.9,15.1,10.3,14.1,33.3,-13.3,4.7,-9.4,-8.6,9.7,11.8,-5.9,4.3,-9.5,26.2,18.2,-9.9,23.5,-31.1,27.4,25.6,42.2,-28.4,7.4,6.7,14,3.4,29.4,26.5,-4.5,-33.5,21.5,6.5,-25.8,18.5,0.1,-24.2,-11.5,-59,-68.5,-79.4,-5.8
"39","31","Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","32","  Autos","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","33","    New","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","34","      Domestic","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","      Foreign","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","    Used","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","  Trucks","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","38","    New","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","39","      Domestic","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","40","      Foreign","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","    Used \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","42","  Final sales of motor vehicles to domestic purchasers","AB75RL1",-16,-4,9.4,9.5,0,5.4,4.8,6.2,17,-12.4,24.1,8.6,-11.4,37.7,0.4,54.8,-17.4,25.6,10.3,-9.8,29.9,-25.8,0.2,-5.6,14.3,-8.2,-4.4,61.9,-22,2.5,29.2,-24.8,-3.1,17.7,14.8,-10.1,3.5,3.3,15.4,9.3,-7.6,15.4,15.8,-34.1,26.9,-3.6,4.5,0.3,-8.1,-6.5,-3,1.9,-19,-31.9,-29.4,-50.5,-23.3,-12.8
"52","43","  Private fixed investment in new autos and new light trucks","AB76RL1",-18.8,-11.7,24.1,5.2,17.2,25,24.8,2.4,17,-5.9,14.9,9.7,-5.2,41.3,-33.4,77.9,0.3,4.6,29.7,-4.8,18.1,-21.8,-2.2,-22.4,23.9,-8.1,-17.5,-6.1,-3.5,23.8,14.2,-23.2,-16.9,-4.1,33.3,-1.4,-10.3,21.1,34.6,12,-19.3,18.9,40.9,-10.7,40.7,-22.4,-0.8,10.9,0.6,-4,11.7,-5.6,-17.2,-34.6,-28.8,-66.7,-62.8,70.2
"53","44","  Domestic output of new autos \2\","B148RL1",6,-35.7,-9.4,11.1,-30.7,89.8,-3.6,-40.5,18.5,5.3,7.6,-5.8,-8.5,-18.7,49.2,21,-14.4,-1.8,6.1,6.1,20,-7.9,-10.5,-22.8,-9.1,14.3,-7.3,5.7,23.5,0.6,-6.5,-23.1,-27.2,10.5,-7.9,10.4,-11.9,-1.7,7.2,21,22.5,-7.4,12.6,17,8.9,-21.1,-7.8,-2.9,-2.4,-7.7,4.8,23.2,-3.4,-31.3,38.7,-57,-94.6,88.6
"54","45","  Sales of imported new autos \3\","B149RL1",-25.1,-0.2,3.6,21.1,-23.5,-5.7,9.3,-1.2,32.6,-20,42.5,7.9,7.1,37.7,-23.1,56.1,3,26,7.8,35.3,9.9,-15.8,-5.2,0.2,-6.8,5.8,-12.7,37.2,4.7,6.3,13.1,-12.2,4.6,-10.3,2.1,-14.7,19.4,15.6,-16.9,28.8,-20.7,7.5,21.6,0,23.8,-0.4,11.6,6.3,6.3,4.4,-7.3,0.6,-17.3,39.4,-46.1,-55.5,-21.2,2.5
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
