"","Table 2#3#7# Percent Change from Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"13","5","    Furnishings and durable household equipment","DFDHRV1",0.3,-1.3,2.7,-0.4,0.8,-0.7,1.2,-1.6,0.5,1.1,-1.8,-0.9,0.8,2,-1.5,-2.1,-0.6,-1.8,-1.6,-2.4,1.5,-0.7,-0.6,-1.8,-1.7,-2.5,-1.5,-2.6,-2.8,-0.4,-2.4,-2.4,-2.5,-4.2,-4.1,-1.5,0.8,-0.9,-2.3,1.8,0.9,1.6,-3.2,-0.7,0,0,-0.5,-0.3,-0.8,0.2,-2.9,-2.8,1.6,-1.8,2,-0.5,2,1.3
"14","6","    Recreational goods and vehicles","DREQRV1",-2.5,-5.5,-8.5,-7.2,-5.3,-8.7,-7.2,-7.2,-8.5,-11.4,-7.1,-6.7,-8.2,-8.1,-11.1,-9.7,-8.3,-6.9,-9.1,-7.6,-6.2,-3.2,-5.7,-6.2,-8.5,-7.3,-6.8,-6.7,-7.2,-5.6,-5.9,-5.1,-6.4,-7.9,-6.9,-3.6,-3.7,-3.4,-6.3,-6,-5.7,-3.6,-4.7,-6.8,-5.8,-5.4,-6.5,-6.8,-6.4,-5.1,-7.7,-5.3,-2.5,-4.4,-3.7,-4.2,-5.8,-5.4
"15","7","    Other durable goods","DODGRV1",2.5,0.8,3.6,0.8,-2.1,-2.5,-0.1,-3.5,-0.3,-1.5,0,-3.3,0.2,-3,-4,-1.6,-5.5,1.7,-2.9,-1,0.3,-4.4,-2.7,3.4,2.6,-0.9,-0.5,-1.9,-2,-1.9,-3,-2.3,-1.1,-0.6,-0.1,-4.1,3.1,1.8,-2,-3.4,-0.3,-5.4,2.9,2.7,0,2.6,4.8,5.9,7.6,0.7,0.3,2.8,6.9,15,0,1.7,-0.5,2.4
"16","8","  Nondurable goods","DNDGRV1",-0.1,1.5,0.9,0.6,4,4.2,-0.6,3.8,1.6,-1.2,-0.3,0.4,-3.2,-0.8,1.6,0.6,1.4,6,4.4,3.7,6.4,3.6,3.2,1.3,1.1,2.8,-1.8,-5.8,-0.8,5.8,1.1,1.6,7.2,-6.6,5.9,1.9,5.8,3.8,2.4,7.9,-0.4,2,13.5,2.6,0.1,5,4.5,-7.7,5.9,6.6,1.9,11.5,7.8,6.1,10.8,-21.5,-7.9,3.7
"17","9","    Food and beverages purchased for off-premises consumption","DFXARV1",2.3,3.5,1.2,1.9,3.1,4.1,4.5,3.5,0.4,0.6,1.5,0.9,1.3,1,1.5,2.3,1.7,1.1,1.5,2.3,2.3,2.8,3.8,1.6,3.8,2.6,3.4,1.8,2.2,0.3,-0.4,1,2.2,2.6,3.3,4.8,1.8,4.3,1.8,3,-1.1,4.3,0.4,2.4,1.8,-0.1,2.9,2.2,5.1,5.5,4.1,4.3,5.3,8.1,9.3,4.7,-1.1,-3.6
"18","10","    Clothing and footwear","DCLORV1",-4.2,-2.1,-0.6,-0.5,0,-1.7,-5.4,1.7,1,4.9,-4.1,-1.6,-4.2,-1.9,2.6,-2.9,-5,2.5,-1.6,0.6,-2.5,-2.6,-0.9,-0.2,0.6,-5.6,-3.9,-4.1,-1.6,-0.9,-2.1,-3,-4.3,-4.1,2.1,-0.1,-1.8,2,-1.4,-0.8,0,-1.6,-2.7,-1.1,-1.3,4,-1.2,-0.6,0.4,-3.9,-2.9,1.5,-0.7,-3.2,4.6,-4.4,3.5,0.7
"19","11","    Gasoline and other energy goods","DGOERV1",-3.6,0.4,-4.8,-6.4,21.5,24.4,-11.4,16.4,7.1,-23.4,4.2,1.3,-29.3,-16.5,-1.7,-8.4,-11.2,56.3,35.6,23.8,57.3,13.5,12.1,5,-9.9,16.8,-25.4,-43.6,-15.6,57.9,11.1,21,78.4,-43.8,37,4.7,42.2,9.9,14.6,52.1,-3.5,2.9,120.4,6.5,-6.5,24.2,21,-42.1,22.7,37,3,62.7,29.9,18.1,36.3,-78.8,-53.3,11.6
"20","12","    Other nondurable goods","DONGRV1",0.9,1.8,3.5,2.3,1.9,1.4,0.9,1.1,1.4,2.3,-1.4,0.9,2.8,3.2,2.1,3.6,8.4,1.7,2.5,1.1,1.9,4.5,1.8,0.5,2.6,2.9,3.6,1.1,0.9,2.8,1,-1,-0.4,0.1,1.5,-0.7,2.5,1.9,0.3,2.2,1.2,1.2,2.3,2.8,2.6,2.3,1.4,0.3,2.2,0.3,1.6,2.7,3.4,2.1,2.2,3.3,5.4,10.2
"21","13","Services","DSERRV1",3.2,3.2,2.6,2.7,2.2,3.1,3.4,3.4,3,2.9,2.4,2.6,2.1,2.4,2.2,2.4,2.2,2,2.2,2.7,3.9,1.7,3.1,3.3,4.5,2.6,1.3,2.8,2.5,3.4,3.2,3,3.1,3.7,2.9,3,3.2,3.4,3.6,2.4,4,3.3,3.2,4.7,2.8,3.3,3.3,3.1,4,2.9,3.4,4.2,2.9,4,3.6,1,0.7,0.7
"22","14","  Household consumption expenditures (for services)","DHCERV1",3.5,3.3,2.6,2.8,2.2,3.1,3.4,3.4,2.9,3,2.3,2.4,1.9,2.2,2.1,2.4,2.3,1.8,2,2.5,3.9,1.4,3.1,3.1,4.3,2.6,1.2,3.1,2.4,3.4,3.5,3.3,3.2,4,3,3.1,3.6,3.4,3.6,2.6,3.8,3.4,3,4.7,3,3.4,3.5,3.2,4,3,3.4,4.5,3,4.1,3.6,1.1,1,0.7
"23","15","    Housing and utilities","DHUTRV1",3.2,2.7,2.8,3.2,3.1,3,2.7,2.5,3.4,1.9,2.9,2.9,1.4,2.8,2.5,2.5,2.2,2.1,2.5,2.7,3.7,3.3,4.5,4.8,7.3,3.5,2.8,2.5,3.2,3,2.6,3.3,4.2,3.1,2,2.1,2.6,3.2,3.4,2.4,3.1,3.4,4.1,7.1,3.7,2.8,4.5,3.5,4.5,3.1,2.3,3.7,3.5,5.2,4.4,0.7,1.3,-0.4
"24","16","    Health care","DHLCRV1",5.1,2.6,2.1,3.1,1.9,2.4,2.1,2.6,1.6,2.5,1.5,0.8,2.2,2.6,1.8,2.3,2.4,1.8,2.2,2.5,3.3,2,4.7,2.9,4,3.3,2.6,2.7,1.2,2.8,4.1,3.7,3.1,4.9,3.6,4.1,4.1,3.4,2.6,2.7,4,2.9,2.7,4,1.9,3.5,3.8,2.5,5.9,2.4,2.9,4.3,1.8,2.4,2.8,2.2,2.5,2.5
"25","17","    Transportation services","DTRSRV1",1.5,7.1,3.5,0.5,-4.1,3.7,3.3,4.4,-1,3.4,1.1,3.7,1.5,-0.2,2.8,0.5,0.8,2.9,1.2,2.5,3,3.9,3.6,4,0,-0.8,-1.3,-0.3,0,3.8,-0.6,1.8,2.2,3,3.4,2,0.4,-1.2,3.4,3.1,4,3.7,4.6,7.4,4.6,3.4,1.9,0.1,2.8,1.6,4.4,4.7,5.5,7.9,6.4,3.7,1.9,-1.8
"26","18","    Recreation services","DRCARV1",2.6,3.1,2.2,3.5,3.2,3.8,3.6,3.6,3.2,3.4,2.7,1.3,2.9,2.4,2.3,3.1,3.4,3.8,3.1,3.9,4.4,2.8,5.6,2.7,3.1,3.8,1.9,2.7,2.3,4.1,2.6,3.2,4,2.1,2.9,2,3.2,2.6,2.5,2.8,2.4,2.1,4.1,4.6,2.6,3.7,3.5,1.5,2.9,3.5,1.1,4.5,3.6,2.9,4.4,-1.3,0.8,-0.4
"27","19","    Food services and accommodations","DFSARV1",1.9,3.8,2.4,2,1.9,3.7,3,3.6,2.7,2.6,2.4,3.6,2.2,2.6,2.3,3.7,1.8,2.7,2.8,2.4,3.2,2.5,3.3,2.4,3.1,3.1,3,1.8,3,1.8,2.4,2.3,1.4,2,2.8,3.2,3.1,4.3,3.7,3.1,3.8,2.6,1.7,4,3.8,3.8,2.9,3.1,4.1,4.5,5,3.2,3.7,3.5,5.4,3.6,1.7,1.5
"28","20","    Financial services and insurance","DIFSRV1",4.4,3.2,4,3.9,3,3.4,7.2,5.3,7.6,6.3,3.5,5.1,2.2,-1,1.4,1.4,2.4,-0.4,0.1,1.1,7.8,-5.5,-1.5,0.9,2.8,-0.4,-9.4,7,3.1,6.4,3.8,5,1.9,8,4.1,4,7,5.7,6.1,2.2,4.8,3.5,0.9,2.4,1,3.4,2,6.2,3.4,2.8,6.6,8.4,0.8,2.4,0.5,-2.4,-3.7,0.3
"29","21","    Other services","DOTSRV1",3.1,4.1,2,1.7,2.9,3,4.1,4.2,1.9,3.5,1.3,0.5,1.5,3.9,2.1,3.4,2.6,1.4,1.7,2.8,2.4,0.9,1.3,2.7,3.5,2.9,5.5,4.1,2.9,2.8,7,2.1,3.9,3.6,3,3.7,3.3,3.1,4.1,2.4,4.7,5,2.8,2.6,3.9,3.7,3.4,2.8,1.7,3.4,3.1,3.5,4.8,6,3.8,1.9,1.2,1.1
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRV1",-5.5,1.3,2.2,-1,0.9,5,2.2,3.5,5.4,0.4,7.4,9.6,7.5,8,3.9,0.2,0.9,5.5,6.7,7.3,1.7,11.1,0.8,6.5,8.1,3.2,2,-3.1,3.5,4,-3.3,-3.2,0.1,-4.4,1,-1,-4.1,4.1,3.2,-2,7.2,2,9.7,5.5,-1.2,0.9,-0.6,0.4,3.8,0.7,3.5,-2.6,1.1,2.4,3.3,-2.4,-4.8,0.3
"31","23","    Gross output of nonprofit institutions \2\","DNPERV1",2.2,2.6,2.4,2.9,2.6,3.4,2.3,2.9,2.5,2.1,2.6,2.9,3.4,3.9,2.4,1.7,2.4,3.2,3.5,4,3.3,5,4.3,4,4.2,3.8,3,1.2,3.3,3.9,3.2,2.6,3.9,2.5,3.5,3.5,2.7,4.4,3.6,1.8,5.4,3,5.4,5.4,2.2,3.6,3,2.4,3.8,2.6,3.1,3.2,2.2,3,3.1,0.8,1,2.3
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRV1",4.7,2.9,2.5,4.1,3.1,2.9,2.3,2.7,1.6,2.6,1.3,1.1,2.2,2.7,2,2.1,2.8,2.4,2.5,2.9,3.8,2.9,5.5,3.2,2.9,4,3.4,2.9,3.2,3.8,5.8,4.9,5.3,5.1,4.5,5.1,5.2,4.5,3.7,3.1,4.8,3.4,4,5.4,3.4,4.5,4.3,3.1,3.8,3.2,3,5.3,2.6,3.2,3,2.1,3.1,3
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  Energy goods and services \4\","DNRGRV1",-0.9,-0.4,-2.1,-2.7,12.5,14,-4.7,9.6,7.8,-15.6,2.4,1.7,-20.9,-9.2,-2.9,-5.7,-5.5,25.9,19.5,14.3,31.4,10.6,13.1,8.8,8.4,7.9,-18.4,-31.8,-10.5,27.7,5.5,14,48.4,-22.7,19.6,1.4,24.8,7.2,12.4,31.6,-0.5,5.8,73,19.5,-2.1,9.4,13.6,-29.4,17.7,23.6,1,39.8,21.3,20.4,29.8,-64,-36.7,-2.2
"35","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRV1",2.4,2.4,2,2,1.7,1.8,2,2.4,1.9,2.2,1,1.5,1.4,1.5,1.5,1.5,1.6,1.4,1.4,1.6,2.5,1.2,1.6,1.9,2.4,1.5,0.9,2,1.4,2.4,2.1,1.4,1,1.5,1.8,1.7,2.4,2.6,2,1.8,2.9,2.2,1.6,2.7,2,2.9,2.3,2.1,2.8,1.8,2.3,3.1,2.4,2.4,2.6,0.8,1.1,2
"36","27","  Market-based personal consumption expenditures \6\","DPCMRV1",2.3,2.2,1.5,1.6,2,2.6,1.3,2.3,1.7,0.7,0.9,0.8,0,0.5,1.2,1.1,0.9,2.3,1.8,2.2,3.5,1.6,2.6,2.2,2.6,1.9,0.7,-0.5,0.5,2.6,1.9,2,3.2,-0.2,2.6,1.6,3.2,2.6,2.1,3.5,2,2.3,4.8,3.6,1.8,3,3.1,-0.7,3.6,3.3,1.8,5.2,4,4,5.1,-5.3,-1.2,1.5
"37","28","  Market-based personal consumption expenditures excluding food and energy \6\","DPCXRV1",2.5,2.2,1.9,1.8,1.3,1.7,1.4,1.7,1.5,1.9,0.7,0.8,1.3,1,1.4,1.3,1.2,1.3,0.9,1.5,2.1,0.9,1.9,1.8,2.1,1.5,1.8,1.5,1,1.6,1.9,1.4,1,1.1,1.6,1.3,2.1,2.1,1.4,1.9,2.5,1.8,1.4,2.5,2.1,2.9,2.3,1.6,2.5,1.6,1.6,2.8,2.6,2.3,2.7,1.5,1.9,2.3
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","6. This index is a supplemental measure that is based on household expenditures for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","which there are observable price measures.  It excludes most implicit prices (for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
