"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","Less: Income payments to the rest of the world","A655RC1",189.2,196.6,208.8,203.8,201.5,208.7,218.6,227.8,246.5,251.6,262.3,263.8,263.9,269.9,271.9,269.9,270.4,281.1,303.6,311.6,330.5,349.6,346.8,344,317.8,286,281.1,199.6,246.7,278.9,280.5,251.6,279.5,277.1,289.1,292.8,307.6,348.6,359.5,413.8,428.7,455.1,475.3,544.5,578.5,640.9,679.7,695.5,724,776,759.1,725.1,685.3,711.6,664.8,607.4,479.7,NA
"12","4","Equals: Gross national product","A001RC1",7339.2,7390.3,7473.1,7574.6,7676.6,7829.9,7919.3,8054.7,8160.1,8307.7,8433.1,8522.3,8626,8721.4,8856.8,9039,9171.4,9280.5,9430.1,9643.2,9740.5,9983.5,10048,10184.9,10206.2,10350.9,10332.2,10463.1,10549.7,10634.7,10749.1,10832.2,10940.2,11073.6,11321.2,11508.3,11707.8,11864.2,12047.3,12216.6,12486.3,12613,12848.7,12994.1,13264,13423.3,13514.8,13683.2,13859.5,14073.3,14318.3,14522.2,14544.9,14626.6,14707.5,14454.3,14277.9,NA
"13","5","Less: Consumption of fixed capital","A262RC1",851.4,864.1,875.7,886.7,896.2,906.3,917.7,929.9,943.5,957.1,970.3,984.3,997.3,1011.9,1027.9,1045,1063.2,1083.2,1104.2,1127.1,1151.6,1174.4,1195.8,1215.4,1233.5,1250,1264.4,1277.1,1288.3,1299.5,1310.5,1321.7,1333.2,1345.9,1360.4,1376.8,1396.7,1419.5,1444.4,1470.4,1495.7,1524.2,1556,1589.6,1618,1648.2,1675.2,1701.3,1726.7,1749.4,1771.2,1792.8,1813.6,1835.6,1858.2,1881,1883.6,1874.1
"14","6","        Private","A024RC1",688.6,699.9,710.3,719.8,728.3,737.8,748.1,759.3,771.4,783.5,795.8,808.1,820.6,834,848.3,863.5,879.6,897.1,916,936.2,957.7,978,997,1014.7,1031.2,1045.9,1059,1070.3,1079.8,1089.4,1098.8,1108.1,1117.4,1128.6,1141.5,1156.2,1172.8,1190.7,1209.8,1230.2,1251.9,1276.1,1302.9,1332.3,1357.4,1381.1,1403.2,1423.9,1443.1,1461.4,1478.7,1495.1,1510.6,1527,1544.4,1562.6,1561.3,1550.2
"15","7","          Domestic business","W276RC1",572.4,581.9,590.7,598.8,606.3,614.4,623.2,632.7,643,653.3,663.6,674.1,684.6,695.8,707.7,720.3,733.6,748.2,764.2,781.4,799.9,817.1,832.9,847.4,860.5,872.1,882.4,891.2,898.5,905.5,912,918.1,923.8,930.7,938.9,948.4,959.1,971.3,984.8,999.7,1016,1034.4,1054.9,1077.6,1096.7,1115,1132.4,1149,1164.8,1180.6,1196.4,1212.2,1228.1,1244.1,1260.3,1276.8,1277,1264.5
"16","8","            Capital consumption allowances","Y0000C1",634,645.7,656.9,667.6,677.8,689.7,703.3,718.6,735.6,751,764.9,777.2,788,801.3,817.2,835.7,856.7,875.9,893.4,909,922.9,937.4,952.5,968.4,983.3,996.5,1020.5,1075,1109.5,1113.4,1112.8,1107.7,1096.6,1131.2,1138.1,1135.3,1132.7,1134.9,1139.9,1147.8,953.2,962.4,970.3,976.7,980.9,1021.5,1048,1060.3,1083.4,1085.2,1090.6,1099.6,1322.5,1334.6,1346.2,1357.3,1267.6,1270.1
"17","9","            Less: Capital consumption adjustment","Y0004C1",61.6,63.8,66.2,68.8,71.5,75.3,80.1,85.8,92.6,97.8,101.3,103.2,103.4,105.6,109.5,115.4,123.1,127.7,129.2,127.7,123,120.3,119.6,121,122.8,124.4,138.1,183.8,211,208,200.8,189.7,172.9,200.5,199.2,186.9,173.6,163.6,155.1,148.1,-62.8,-72,-84.7,-100.9,-115.8,-93.5,-84.5,-88.7,-81.4,-95.4,-105.8,-112.7,94.5,90.5,85.9,80.5,-9.3,5.6
"18","10","          Households and institutions","W279RC1",116.2,118,119.6,120.9,122,123.4,124.8,126.5,128.4,130.3,132.2,134.1,136,138.2,140.6,143.2,146,148.9,151.8,154.8,157.8,160.9,164.1,167.3,170.7,173.8,176.6,179.1,181.3,183.9,186.8,190.1,193.7,197.9,202.6,207.9,213.7,219.4,225,230.5,235.9,241.7,248,254.7,260.7,266.1,270.8,274.9,278.3,280.8,282.3,282.9,282.6,282.9,284,285.8,284.4,285.7
"19","11","        Government","A264RC1",162.8,164.2,165.4,166.9,167.9,168.5,169.6,170.6,172.2,173.6,174.5,176.1,176.7,178,179.7,181.5,183.5,186,188.2,190.9,193.9,196.5,198.9,200.7,202.3,204,205.4,206.8,208.4,210.1,211.7,213.5,215.7,217.3,218.9,220.5,223.8,228.9,234.6,240.3,243.8,248.1,253.1,257.3,260.6,267.1,272,277.4,283.7,288,292.5,297.6,303,308.5,313.8,318.4,322.3,323.8
"20","12","          General government","A265RC1",139.7,140.8,141.6,142.8,143.6,144,144.9,145.6,146.7,147.8,148.4,149.7,150,151.1,152.5,153.9,155.5,157.6,159.4,161.5,164,166,167.9,169.4,170.6,172,173.1,174.2,175.4,176.6,177.9,179.3,181,182.2,183.4,184.4,187,191,195.6,200.1,203.1,206.6,210.7,214.3,217.4,222.8,227,231.5,236.8,240.3,244,248.3,252.9,257.6,262,265.6,269,270.7
"21","13","          Government enterprises","A266RC1",23.1,23.4,23.8,24.1,24.3,24.5,24.7,25,25.5,25.8,26.1,26.4,26.7,26.9,27.2,27.6,28,28.4,28.8,29.4,29.9,30.5,30.9,31.4,31.7,32,32.3,32.6,33.1,33.5,33.9,34.2,34.7,35.1,35.5,36.1,36.8,37.9,39,40.1,40.7,41.5,42.3,43,43.1,44.3,45,46,46.9,47.7,48.5,49.3,50.1,50.9,51.8,52.7,53.2,53.2
"22","14","Equals: Net national product","A027RC1",6487.8,6526.2,6597.4,6687.9,6780.4,6923.6,7001.6,7124.8,7216.6,7350.6,7462.9,7538,7628.7,7709.5,7828.9,7994,8108.2,8197.4,8325.9,8516.1,8588.9,8809.1,8852.2,8969.4,8972.8,9100.9,9067.8,9186,9261.4,9335.2,9438.6,9510.5,9607,9727.8,9960.8,10131.5,10311.1,10444.7,10602.9,10746.1,10990.6,11088.9,11292.7,11404.4,11646,11775.2,11839.6,11981.9,12132.8,12324,12547.2,12729.4,12731.2,12791.1,12849.3,12573.3,12394.3,NA
"23","15","Less: Statistical discrepancy","A030RC1",76.3,57.6,34.7,41.5,23.3,36.7,29.2,14.5,-9.2,17.1,-13.7,-50.1,-60.8,-106,-120.1,-54.4,-96,-86.7,-53.8,-47.8,-220.9,-86.9,-153.6,-74.6,-211.6,-109,-89.6,-3.2,-43.2,-45.3,20.6,-20.4,-7.2,-29.6,61.4,41.7,29.9,0,-38.7,-22.6,-29,-67.7,-67.5,-154.5,-192.2,-190.7,-253.4,-246,-121.1,-97.1,64.9,94,69.8,126.7,68.3,139.4,152.1,NA
"24","16","Equals: National income","A032RC1",6411.5,6468.6,6562.7,6646.5,6757.1,6886.9,6972.4,7110.3,7225.8,7333.4,7476.6,7588.1,7689.5,7815.4,7949,8048.4,8204.2,8284,8379.7,8563.9,8809.8,8896,9005.7,9044,9184.4,9209.9,9157.3,9189.2,9304.7,9380.5,9418,9530.9,9614.2,9757.3,9899.4,10089.8,10281.2,10444.7,10641.6,10768.7,11019.6,11156.6,11360.2,11559,11838.2,11965.9,12093,12227.9,12253.9,12421.1,12482.2,12635.4,12661.5,12664.4,12781,12433.9,12242.2,NA
"25","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",674.8,702.2,737.7,750,783.2,795.9,802.1,824.8,855.7,878.8,912,892.9,817.7,811.5,820.1,800.3,859.7,859.4,848.4,857.6,840.5,831.7,814.7,790,782.8,812.3,765,776.6,830.3,852,869.8,936.7,917.5,950.1,992.7,1050.9,1187.2,1226.9,1292.2,1281.4,1408.2,1429,1454.7,1532.5,1590.9,1597.7,1655.1,1589.6,1535.4,1594.9,1537.1,1499.4,1459.7,1403.7,1454.6,1123.6,1182.7,NA
"26","18","      Taxes on production and imports less subsidies \1\","W254RC1",520.9,519.1,524,528.4,535.3,542.3,546.4,558.1,561.3,576.6,583.1,590.2,595.3,600.5,606.2,610.4,615,622,632.6,643.9,653.5,661.8,665.5,670,668.8,662.1,654.2,690.7,702.6,717.1,730.7,735.2,743,742.4,766,779.6,798.7,812.1,822.9,834.3,848.7,864.2,877.5,886.6,916,931.9,941.9,952.1,966,966.9,976.1,986.8,989.3,997.9,1005.7,982.1,963.2,971.3
"27","19","      Contributions for government social insurance, domestic","A061RC1",525.7,530.1,535.3,540,544.2,552.1,558.7,565.4,575.5,582.2,590.2,601,611.8,620.4,629,637.4,652.5,656.4,662.2,674.1,697.5,698.9,711.2,715.8,735.5,734,731.5,731.7,746.6,752.3,752.7,754.2,766.7,774.9,781.8,792.3,812.3,821.6,833.1,842.2,861,865.8,879,885,915.4,917.4,920.8,933.8,952.5,953.7,958.6,972.6,985.3,988.9,994.9,993.3,973.9,963
"28","20","      Net interest and miscellaneous payments on assets","W255RC1",371,358.1,351.9,352.3,354.1,366.4,375.3,388.6,397.3,401.6,408.5,422.8,458.5,480.8,491.2,486.8,469,477,483.6,495.9,532.1,543.9,543.2,537.8,541.8,547.7,544.3,543.6,529.1,505.7,494.2,496.5,511.9,511.5,501,492.1,467.7,460.6,454,464.2,509.4,528,558,576.9,608.9,654.4,661.6,684,690.6,711.3,756,798.9,790.7,809,806.1,854.7,826.2,805.2
"29","21","      Business current transfer payments (net)","B029RC1",44.7,45.7,46.8,46.2,48.1,49.2,49.9,67.8,48.4,48.6,54.5,53.7,60.3,61.4,63.8,75.3,66.3,67.2,69.1,73.2,80.8,84.6,88.9,93.5,99.9,102.8,102.6,99.8,90.3,84.2,79.4,75.6,77.3,75.8,75.8,75.7,77.8,80,79,89.9,96.5,99.6,95.2,92.3,82.8,79.3,83.6,86.1,97.8,99,105,107,114.8,112.6,116,131.8,137.9,145.2
"30","22","      Current surplus of government enterprises \1\","A108RC1",13.2,13,13.1,13.2,13.9,14,14.6,14.9,13.9,14.7,14,13.8,12.9,13.5,13.7,13,15.1,14.7,14.2,12.4,12.5,11,7.7,5.3,4.4,3,7.9,0.9,4.3,4.4,9.1,7.6,9.4,7.9,6.3,4.3,3.7,1.9,0.3,-0.9,-1.8,-3.1,-4.5,-4.5,-2.4,-3.8,-4.7,-6,-8.4,-6.9,-4.9,-6,-5.6,-6.3,-6.9,-8.9,-10.7,-8.9
"31","23","      Wage accruals less disbursements","A062RC1",16.4,16.4,16.4,16.4,3.6,3.6,3.6,3.6,-2.9,-2.9,-2.9,-2.9,-0.7,-0.7,-0.7,-0.7,5.2,5.2,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,11.4,13.6,25,10,-3.5,-21.5,-25,-10,0,0,0,20,-20,0,0,25,-25,0,0,0,0,0,0,-20,20,0
"32","24","Plus: Personal income receipts on assets","W210RC1",993,998.3,1007,1023.1,1041.7,1067.9,1093.6,1119.7,1134.3,1152.2,1173.8,1201.5,1245.4,1276.8,1286.2,1268.3,1229.5,1236.2,1245.4,1276,1334.3,1363.1,1375.9,1369.4,1357.8,1350.6,1340.6,1334.8,1319.1,1315.4,1303.8,1300,1299.2,1306.2,1312.4,1333.8,1350,1372.9,1395.5,1515.5,1459.7,1507.1,1560.4,1640.8,1711.1,1817.2,1881.3,1909,1968.2,2022,2065.8,2069.8,2020.8,1997.3,2001.4,1958.1,1845.5,1782.5
"33","25","      Personal current transfer receipts","A577RC1",869.4,879,885.9,881.5,910.9,931.3,926.7,927.5,944.6,944.3,950.5,957.4,968.7,975.1,978.5,989.4,1010,1013.2,1026.3,1036.8,1052.4,1079.4,1093.7,1106.5,1150,1182.6,1188.2,1231.7,1257.7,1280.4,1288.6,1301.9,1318.1,1333.7,1355.6,1359.6,1392.5,1411,1418.5,1440.1,1481.3,1506.4,1516.7,1529.8,1569,1597.9,1620.7,1632.4,1693.8,1699.1,1725.5,1753.7,1794.1,1937,1874.3,1898,1987.3,2135.2
"34","26","Equals: Personal income","A065RC1",6107.2,6161.3,6230.4,6304.7,6427.3,6562.7,6642,6734.3,6855.6,6930.4,7041.5,7175.5,7347.7,7479.8,7590.4,7683.6,7760.9,7831.6,7936.2,8114.7,8379.6,8506.6,8644.2,8707.3,8859,8881.2,8880.6,8912.3,8978.3,9060.7,9074.6,9126.8,9194.5,9321.1,9418.7,9578.3,9679.8,9847.1,9999.1,10223.1,10238.6,10386.7,10577.5,10740.8,11026.7,11204,11336.9,11504.8,11706.9,11823.4,11945.6,12100.3,12142.2,12292.9,12286.6,12233.5,11981.8,11989.8
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","  Gross domestic income","A261RC1",7231.4,7298.3,7417.8,7501.1,7614.9,7763.3,7863.6,8008.5,8146.2,8259.7,8423.7,8555.8,8661.4,8804.6,8967.3,9081.9,9244.5,9339.2,9458.9,9655.5,9930.4,10036.1,10171,10204.4,10376.7,10410.3,10394.8,10376.4,10541.9,10647.2,10681.1,10787.4,10895.5,11037.6,11194.2,11374.8,11567.3,11778.4,11989.3,12167.5,12408.4,12584.5,12809.1,13070.2,13375.7,13538.5,13706.3,13857.5,13916.7,14094.3,14114.9,14243.9,14304.1,14371.1,14478.4,14207.9,14025.8,NA
"37","28","  Gross national income","A023RC1",7262.9,7332.8,7438.3,7533.2,7653.3,7793.2,7890.1,8040.2,8169.3,8290.6,8446.9,8572.4,8686.8,8827.4,8977,9093.4,9267.3,9367.2,9483.9,9691,9961.4,10070.5,10201.6,10259.5,10417.8,10459.9,10421.7,10466.3,10593,10680,10728.5,10852.6,10947.3,11103.2,11259.8,11466.6,11677.9,11864.2,12086.1,12239.1,12515.3,12680.7,12916.2,13148.6,13456.2,13614,13768.2,13929.2,13980.7,14170.4,14253.4,14428.2,14475.1,14499.9,14639.2,14314.9,14125.8,NA
"38","29","  Gross national factor income \2\","X023RC1",6684.1,6755,6854.4,6945.4,7056,7187.7,7279.2,7399.4,7545.8,7650.7,7795.2,7914.7,8018.3,8151.9,8293.2,8394.7,8570.9,8663.3,8768,8961.5,9214.5,9312.9,9439.5,9490.6,9644.7,9692,9657,9674.8,9795.8,9874.3,9909.3,10034.1,10117.7,10277.1,10411.6,10607,10797.8,10970.2,11183.8,11315.8,11571.8,11720.1,11948,12174.2,12459.8,12606.6,12747.4,12897,12925.2,13111.5,13177.2,13340.4,13376.6,13395.7,13524.5,13209.9,13035.4,NA
"39","30","  Net domestic product","A362RC1",6456.3,6491.7,6576.9,6655.9,6742,6893.7,6975,7093.1,7193.4,7319.7,7439.6,7521.4,7603.3,7686.7,7819.3,7982.5,8085.4,8169.4,8300.9,8480.7,8557.9,8774.7,8821.6,8914.4,8931.6,9051.3,9040.8,9096.1,9210.4,9302.4,9391.2,9445.3,9555.2,9662.2,9895.2,10039.7,10200.5,10358.8,10506.1,10674.5,10883.8,10992.6,11185.6,11326,11565.5,11699.7,11777.7,11910.2,12068.8,12247.9,12408.7,12545.1,12560.2,12662.2,12688.5,12466.4,12294.4,12275.7
"40","31","  Net domestic income","W256RC1",6380,6434.1,6542.1,6614.4,6718.7,6857,6945.9,7078.6,7202.6,7302.6,7453.4,7571.5,7664.1,7792.7,7939.4,8036.9,8181.4,8256.1,8354.7,8528.5,8778.8,8861.6,8975.2,8989,9143.2,9160.3,9130.4,9099.3,9253.7,9347.7,9370.6,9465.7,9562.4,9691.8,9833.8,9998,10170.6,10358.9,10544.9,10697,10912.8,11060.3,11253.1,11480.5,11757.7,11890.3,12031.1,12156.2,12190,12344.9,12343.7,12451.1,12490.5,12535.5,12620.3,12327,12142.2,NA
"41","32","  Net national factor income \3\","X032RC1",5832.7,5890.9,5978.8,6058.7,6159.8,6281.4,6361.5,6469.5,6602.2,6693.6,6825,6930.4,7021,7140,7265.3,7349.7,7507.8,7580.1,7663.8,7834.5,8062.9,8138.5,8243.7,8275.1,8411.3,8442.1,8392.6,8397.8,8507.6,8574.9,8598.8,8712.4,8784.6,8931.2,9051.2,9230.2,9401.1,9550.7,9739.4,9845.3,10076.1,10196,10392,10584.6,10841.8,10958.4,11072.2,11195.7,11198.4,11362.1,11406.1,11547.7,11563,11560.1,11666.4,11329,11151.8,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
