"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"20","10","      Equipment and software","A872RZ2",0.38,0.03,-0.81,0.11,1.44,0.17,-0.33,-1.16,-0.67,0.27,0.94,0.09,-0.58,0.81,0.77,-0.32,-0.49,1.56,0.65,0.46,-0.82,0.04,0.19,-0.08,0.01,0.6,0.21,0.14,0.29,0.93,0.66,-0.29,-0.18,0.7,0.24,0.34,0.05,0.54,0.81,0.09,-0.32,0.76,0.66,0.04,0.62,0.33,-0.5,0.38,-0.35,0.72,0.28,0.03,0.62,1.31,0.47,0.56,-0.89,0.73
"21","11","  National defense","A824RZ2",-0.27,-0.18,-1.23,-3.16,1.95,1.47,-2.1,-0.51,-3.02,2.31,-0.43,0.52,-5.68,3.55,1.14,-0.7,-1.07,0.06,2.65,2.18,-5.25,3.96,-1.79,0.06,1.52,1.25,0.76,1.23,1.9,2.02,1.51,2.05,-0.7,7.67,-1.14,1.86,1.43,0.51,2.84,-2.49,0.87,0.76,2.69,-3.8,2.49,0.26,-0.48,2.01,-1.95,2.07,2.42,0.14,2.01,1.76,4.73,0.97,-1.36,3.36
"22","12","    Consumption expenditures","A997RZ2",-0.47,-0.24,-0.38,-3.05,0.89,1.34,-1.47,0.71,-2.13,2.16,-1.57,0.55,-4.47,2.93,0.08,-0.03,-0.42,-0.91,2.01,2.5,-5.15,3.95,-2.01,0.16,1.68,0.6,0.5,1.11,1.87,1.04,0.85,2.25,-0.71,7.09,-1.46,1.59,1.44,0.24,2.01,-2.18,1.12,0.17,2.27,-3.41,2.16,-0.55,0.12,1.27,-1.64,1.27,2.26,0.16,1.42,0.52,4.09,0.73,-1.1,2.59
"23","13","    Gross investment","A788RZ2",0.2,0.06,-0.85,-0.11,1.06,0.13,-0.63,-1.23,-0.89,0.14,1.14,-0.03,-1.22,0.62,1.06,-0.67,-0.65,0.97,0.64,-0.32,-0.1,0.01,0.21,-0.1,-0.15,0.65,0.26,0.13,0.03,0.99,0.65,-0.2,0.01,0.57,0.31,0.27,-0.01,0.26,0.83,-0.31,-0.25,0.58,0.41,-0.39,0.33,0.81,-0.61,0.74,-0.31,0.8,0.16,-0.01,0.59,1.23,0.64,0.25,-0.25,0.77
"24","14","      Structures","A808RZ2",0.24,-0.1,0.04,-0.06,-0.03,-0.01,-0.12,-0.05,-0.03,0,0.12,-0.13,-0.09,0.08,0.02,-0.25,0.08,-0.04,-0.07,-0.1,0.02,0.03,0.13,-0.11,-0.1,0.11,-0.09,0.05,-0.03,0.07,0.08,0,0.14,0.04,0.08,-0.04,-0.05,-0.09,0.04,-0.12,0.09,-0.07,0.06,-0.11,0.01,0.06,-0.04,0.15,0.07,0.2,-0.07,0.04,0.08,0.09,0.13,0.26,0.09,0.09
"25","15","      Equipment and software","A873RZ2",-0.04,0.17,-0.89,-0.05,1.1,0.14,-0.51,-1.18,-0.87,0.14,1.02,0.1,-1.13,0.54,1.04,-0.42,-0.73,1.01,0.72,-0.22,-0.11,-0.01,0.09,0.01,-0.05,0.54,0.35,0.08,0.05,0.92,0.57,-0.19,-0.13,0.53,0.23,0.31,0.03,0.35,0.79,-0.19,-0.34,0.65,0.36,-0.28,0.32,0.75,-0.56,0.6,-0.38,0.6,0.23,-0.06,0.51,1.15,0.52,-0.01,-0.34,0.67
"26","16","  Nondefense","A825RZ2",-0.09,-0.42,0.19,-2.5,1.12,0.77,-0.49,0.23,1.2,0.34,0,-0.71,1.18,0.43,-2.3,2.08,0.18,-0.05,0.25,0.93,-0.13,1.39,-0.83,-0.68,1.36,1.69,0.12,0.48,1.37,1.14,0.68,0.29,0.75,-0.81,1.29,-0.81,0.44,0.33,-0.28,0.66,-0.27,-0.63,0.8,1.34,1.73,-1.54,0.35,-1.61,0.04,0.59,0.9,0.84,0.9,1.08,0.01,1.42,-0.3,0.75
"27","17","    Consumption expenditures","A542RZ2",-0.33,-0.07,0.04,-2.4,0.48,0.53,-0.51,0.63,0.95,0.31,-0.03,-0.1,0.03,0.23,-2.14,2.13,-0.12,-0.48,0.35,0.19,1,1.51,-0.8,-0.39,1.23,1.62,0.15,0.31,0.94,1.13,0.57,0.33,0.84,-1.05,1.3,-0.7,0.52,0.13,-0.17,0.71,-0.28,-0.62,0.34,0.82,1.62,-1.19,0.3,-1.62,0.09,0.41,0.76,0.84,0.93,0.82,-0.09,0.77,0.26,0.76
"28","18","    Gross investment","A798RZ2",0.24,-0.36,0.15,-0.1,0.64,0.23,0.02,-0.4,0.25,0.04,0.03,-0.61,1.15,0.21,-0.16,-0.05,0.3,0.43,-0.1,0.74,-1.13,-0.12,-0.03,-0.28,0.13,0.08,-0.03,0.17,0.42,0.01,0.11,-0.04,-0.09,0.25,-0.01,-0.11,-0.08,0.2,-0.11,-0.04,0.01,-0.01,0.45,0.52,0.11,-0.35,0.05,0,-0.05,0.17,0.15,0,-0.04,0.26,0.11,0.65,-0.56,-0.01
"29","19","      Structures","A830RZ2",-0.18,-0.22,0.06,-0.26,0.3,0.21,-0.16,-0.42,0.06,-0.09,0.11,-0.6,0.6,-0.06,0.11,-0.14,0.06,-0.12,-0.04,0.07,-0.42,-0.17,-0.13,-0.2,0.07,0.02,0.11,0.11,0.19,0,0.03,0.05,-0.04,0.07,-0.01,-0.14,-0.09,0.01,-0.13,-0.31,-0.01,-0.11,0.15,0.2,-0.19,0.08,-0.02,0.22,-0.09,0.06,0.1,-0.08,-0.15,0.09,0.15,0.08,-0.01,-0.06
"30","20","      Equipment and software","B880RZ2",0.42,-0.14,0.09,0.16,0.34,0.03,0.18,0.02,0.19,0.13,-0.08,-0.01,0.55,0.27,-0.27,0.1,0.24,0.55,-0.07,0.68,-0.71,0.06,0.1,-0.09,0.06,0.06,-0.14,0.06,0.24,0.01,0.08,-0.1,-0.05,0.17,0,0.03,0.01,0.19,0.02,0.27,0.02,0.1,0.3,0.32,0.3,-0.42,0.07,-0.21,0.04,0.11,0.05,0.08,0.11,0.17,-0.05,0.57,-0.56,0.05
"31","21","State and local","A829RZ2",1.97,1.95,0.16,1.26,-0.49,3.64,2.2,3.71,2.54,0.86,0.88,0.86,2.12,5,4.91,2.25,2.95,1.67,2.37,3.36,2.15,0.09,1.37,1.84,3.17,5.62,-1.61,5.58,3.01,0.74,1.08,0.36,-0.87,-0.78,1.04,-0.76,0.04,0.63,-1.08,-0.6,-0.22,0.3,0.2,0.71,-0.17,1.61,0.75,0.72,1.92,1.71,0.6,0.61,-0.29,0.79,0.08,-1.23,-0.95,1.52
"32","22","  Consumption expenditures","A991RZ2",1.68,0.98,0.8,1.03,-0.1,2.33,0.71,1.22,1.06,1.59,1.92,1.99,2.41,2.53,2.24,1.78,2.06,1.65,1.76,1.56,0.58,1.14,1.01,1.29,2.13,2.35,2.32,2.41,2.12,1.39,0.78,-0.09,-0.63,-0.45,-0.52,-0.27,0.32,0.21,0,0.33,0.18,0.09,0.51,-0.04,0.11,0.42,0.97,1.28,0.94,1.11,0.47,0.38,0.37,0.09,0.39,0.17,-0.2,-0.02
"33","23","  Gross investment","A799RZ2",0.29,0.96,-0.64,0.23,-0.39,1.3,1.48,2.49,1.48,-0.74,-1.04,-1.13,-0.29,2.47,2.67,0.47,0.89,0.02,0.62,1.8,1.57,-1.06,0.36,0.55,1.03,3.27,-3.93,3.18,0.88,-0.65,0.3,0.45,-0.24,-0.33,1.56,-0.49,-0.27,0.42,-1.08,-0.93,-0.4,0.21,-0.32,0.75,-0.28,1.19,-0.22,-0.56,0.98,0.6,0.12,0.24,-0.66,0.7,-0.31,-1.41,-0.75,1.55
"34","24","    Structures","A842RZ2",0.11,0.75,-0.74,0.08,-0.38,1.25,1.4,2.38,0.91,-0.93,-1.33,-1.39,-0.83,2.08,2.38,0.13,0.59,-0.33,0.41,1.72,1.42,-1.29,0.29,0.39,0.9,3.33,-3.85,3.19,0.7,-0.64,0.24,0.55,-0.39,-0.37,1.36,-0.61,-0.23,0.39,-1.2,-1.07,-0.38,0.05,-0.45,0.57,-0.52,1.02,-0.37,-0.64,0.91,0.54,0.06,0.16,-0.71,0.67,-0.21,-1.29,-0.57,1.63
"35","25","    Equipment and software","B881RZ2",0.18,0.21,0.1,0.14,-0.01,0.05,0.09,0.11,0.57,0.2,0.29,0.26,0.54,0.38,0.29,0.33,0.3,0.35,0.21,0.08,0.15,0.23,0.08,0.16,0.13,-0.06,-0.08,-0.01,0.18,-0.01,0.06,-0.1,0.14,0.04,0.2,0.12,-0.05,0.03,0.12,0.13,-0.02,0.15,0.13,0.18,0.24,0.18,0.15,0.08,0.07,0.06,0.06,0.08,0.06,0.03,-0.1,-0.12,-0.19,-0.08
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
