"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"18","11","      Equipment and software","B010RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493,545.4,620.4,710.4,810.9,895.8,866.9,830.3,851.4,917.3,995.6,1069.6,1097,1068.6
"19","12","    Residential","A011RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456.1,492.5,501.8,540.4,574.2,580,583.3,613.8,664.3,729.5,775,718.2,585,451.1
"20","13","  Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1,31.2,77.4,71.6,68.5,60.2,-41.8,12.8,17.3,66.3,50,59.4,19.5,-25.9
"21","14","Net exports of goods and services","A019RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.8,-110.7,-139.8,-252.6,-356.6,-451.6,-472.1,-548.8,-603.9,-688,-722.7,-729.2,-647.7,-494.3
"22","15","  Exports","A020RX1",38,31.4,26.1,20.4,20.6,22.8,24.1,25.3,31.9,31.5,33.3,37.9,38.8,25.6,21.6,23.2,32.5,70.3,80.1,63.1,62.5,54.7,67.1,64.2,59.9,62.8,69.5,80.9,88,76.1,83.9,98.5,99,104,111.5,124.6,128.1,137,140.1,151.1,158.4,175.5,178.4,191.8,228,246,244.5,255.1,261.3,288.8,317.5,351.7,356,328.8,320.3,346.4,357,384.4,425.7,493.9,550.6,600.2,640,684,706.4,768,845.7,916,1025.1,1048.5,1094.3,1188.3,1121.6,1099.2,1116.8,1222.8,1305.1,1422,1546.1,1629.3
"23","16","    Goods","A253RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.4,626.2,716.2,732.2,760,844.3,792,763.5,777.2,842.9,906.1,991.4,1064.8,1127.5
"24","17","    Services","A646RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.6,291.7,308.9,316.4,334.6,343.5,329.3,335.6,339.6,380,399,430.6,481.3,501.7
"25","18","  Imports","A021RX1",49.1,42.7,37.3,30.9,32.2,32.9,43.1,42.6,48,37.3,39.2,40.1,49.3,44.8,56.5,59.1,62.8,52.1,49.4,57.7,55.6,65.8,68.4,74.4,81.4,77.4,86.7,93.7,97.6,102.3,113,114.5,113.8,126.7,130.1,137,151.6,174.1,186.8,214.7,226.9,236.6,249.2,277.2,290.1,283.5,252,301.3,334.2,363.2,369.2,344.7,353.8,349.3,393.4,489.1,520.9,565.4,598.9,622.4,649.8,673,672,719.2,781.4,874.6,944.5,1026.7,1165,1301.1,1450.9,1639.9,1593.8,1648,1720.7,1910.8,2027.8,2151.2,2193.8,2123.5
"26","19","    Goods","A255RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766.1,837.9,958.7,1072.3,1206,1367.9,1324.2,1373.4,1440.9,1599.7,1708,1808.8,1839.6,1767.3
"27","20","    Services","B656RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.9,190.3,206.9,229.4,244.9,271.7,269.6,274.5,279.8,311,319.8,342.4,354.2,356.5
"28","21","Government consumption expenditures and gross investment","A822RX1",146.5,161.4,168.2,162.6,157.2,177.3,182.2,212.6,203.6,219.3,238.6,245.3,407.7,959.4,1427.2,1606.1,1402.2,482.1,409.5,439.4,491.9,492.4,672.7,810,868,808.9,779.3,780,814.7,840.9,869.5,871,914.8,971.1,996.1,1018,1048.7,1141.1,1228.7,1267.2,1264.3,1233.7,1206.9,1198.1,1193.9,1224,1251.6,1257.2,1271,1308.4,1332.8,1358.8,1371.2,1395.3,1446.3,1494.9,1599,1696.2,1737.1,1758.9,1806.8,1864,1884.4,1893.2,1878.2,1878,1888.9,1907.9,1943.8,1985,2056.1,2097.8,2178.3,2279.6,2330.5,2362,2369.9,2402.1,2443.1,2518.1
"29","22","  Federal","A823RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704.1,696,689.1,681.4,694.6,698.1,726.5,779.5,831.1,865,876.3,894.9,906.4,975.9
"30","23","    National defense","A824RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.8,470.4,457.2,447.5,455.8,453.5,470.7,505.3,549.2,580.4,589,598.4,611.5,659.4
"31","24","    Nondefense","A825RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.5,225.7,231.9,233.7,238.7,244.4,255.5,273.9,281.7,284.6,287.3,296.6,294.9,316.4
"32","25","  State and local","A829RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1183.6,1211.1,1254.3,1303.8,1361.8,1400.1,1452.3,1500.6,1499.7,1497.1,1493.6,1507.2,1536.7,1543.7
"33","26","Residual","A960RX1",3.3,-22.3,-39.9,-53.9,-49.2,-51,-44.9,-51.5,-41.7,-56.2,-57.2,-49.4,-91.4,-291.5,-471.9,-534.5,-435.6,-25.4,4.5,1.1,-39.3,-11.8,-67.7,-130.2,-148.6,-129.5,-91.3,-88.3,-102,-127,-111.2,-105,-118.9,-119.2,-115,-105.2,-94.2,-103.5,-133.6,-131.4,-119.9,-118,-96.7,-76.4,-45.2,-52,-82.8,-68.7,-53.7,-29.7,-12,-10.9,8.1,-53.4,-70.8,-42.8,-69.5,-90.1,-86.6,-71.6,-59.7,-67,-74.2,-63.3,-55.8,-40.5,-176,-154.1,-118.7,-87.8,-49.5,-24.1,-29.2,-19.8,-12.1,-3.5,-0.2,-1.7,0.3,20
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
