"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","    Wage and salary disbursements","A576RC1",3360.6,3395.3,3438.2,3478,3525.8,3590.5,3646.5,3702.5,3777.1,3835.3,3903.4,3990.5,4075.9,4145.9,4216.9,4287.8,4370.4,4412.7,4474.3,4582.7,4755,4781.9,4874.4,4899.5,4988.1,4961.4,4932.4,4926.8,4963.6,5003,5006.3,5016.4,5049.6,5109.9,5159.6,5239.4,5279.4,5385.1,5493.9,5544.4,5584.2,5651.7,5758.3,5809.7,5978.9,6018.6,6075.4,6202.6,6343.6,6372.2,6412.5,6507.3,6533,6539.2,6567.7,6543.5,6338.9,6258.1
"12","4","      Private industries","A132RC1",2735.7,2767.7,2808,2844.5,2884.4,2944.2,2996.4,3048.1,3113.9,3167.5,3228.7,3309,3384.8,3447.9,3512,3576.9,3649.1,3684.7,3736.8,3834.7,3989.2,4003.4,4090.2,4109.1,4183.7,4146,4104,4087.6,4102,4132.6,4128.5,4133.7,4146.1,4196,4244,4319,4339,4432.9,4538.1,4581.6,4601.7,4664.1,4763.9,4808.3,4959.9,4990.3,5034.5,5150.4,5270.3,5288,5319.4,5401.4,5407.7,5402.8,5419.2,5388.6,5167.1,5073.7
"13","5","      Government","B202RC1",624.9,627.6,630.2,633.4,641.5,646.3,650.1,654.4,663.2,667.8,674.7,681.5,691.1,698,705,710.8,721.3,728,737.5,748,765.8,778.6,784.1,790.4,804.4,815.4,828.4,839.3,861.6,870.4,877.8,882.7,903.4,913.8,915.6,920.4,940.4,952.2,955.8,962.7,982.4,987.6,994.5,1001.4,1019,1028.3,1041,1052.3,1073.2,1084.2,1093.2,1105.8,1125.3,1136.4,1148.5,1154.9,1171.8,1184.4
"14","6","    Supplements to wages and salaries","A038RC1",758.5,759.7,761.8,763.1,766.1,770.1,773.2,776.1,780.5,785.6,794.8,807.1,823.2,836.8,849.2,860.1,870.9,880,892.5,911.6,937,949.5,971.5,986.6,1005.8,1018.5,1033.3,1050.8,1074.9,1098.4,1122.6,1158.3,1194.9,1222.9,1241,1253.2,1263.9,1272.8,1287.4,1306.8,1336.9,1351.9,1370.1,1377.4,1394.8,1401.3,1408.7,1422.6,1438.6,1447.5,1457.1,1472.1,1484.5,1493.5,1501.4,1506.8,1500.2,1498.4
"15","7","      Employer contributions for employee pension and insurance funds","B040RC1",497.7,496.8,496.5,495.6,496.5,496.7,496.7,496.4,496.7,498.5,503.7,510.6,522.1,531.6,539.9,546.8,551.6,559,568.9,582.2,595.8,607.9,623.6,636.4,646.5,660.1,676.3,693.6,711.5,731.9,755.7,790.5,819.3,842.6,856.9,863.4,863.1,867.3,876.4,891.7,914.3,927.7,939.7,944.6,950.7,956.8,962.7,970.4,980.5,989.4,996.9,1005.2,1014,1021.7,1026.7,1033.2,1037.8,1041.7
"16","8","      Employer contributions for government social insurance","B039RC1",260.8,262.9,265.3,267.5,269.6,273.4,276.5,279.7,283.8,287.1,291,296.5,301.1,305.2,309.3,313.3,319.3,321,323.6,329.4,341.2,341.6,347.9,350.2,359.3,358.4,357,357.2,363.3,366.5,366.8,367.8,375.6,380.2,384.1,389.7,400.8,405.5,411,415.1,422.6,424.2,430.4,432.8,444.1,444.5,445.9,452.2,458.1,458.2,460.2,466.9,470.5,471.8,474.7,473.6,462.4,456.6
"17","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",500.4,506.3,520,537.4,560.2,586.5,588.6,599.4,619.6,619.4,632.8,641.1,663.6,677,692.9,716.6,729.6,738.9,750.6,768.1,783.7,819.4,826.7,840.1,867.4,871.6,878.1,865.8,880.5,884.2,893.3,903.2,889.6,919.1,945.8,968.1,1002.1,1029.8,1040.1,1063.1,1046.8,1054,1082.6,1095.8,1126.9,1133.2,1131.2,1140.6,1094.2,1096,1093.2,1102.1,1115.2,1111.9,1114.4,1083.6,1037.8,1023.4
"18","10","    Farm","B042RC1",21.6,19.8,22.8,29.5,38.2,45.4,34.6,35.6,38.2,28.3,32.5,31.4,28.2,26.8,27.1,33.4,34.3,28.7,26.6,24.3,25.8,31.6,29.7,31.5,32.1,30.8,31.1,28.1,16.3,11.6,20.1,25.8,29.9,37.5,38.3,40.4,54.2,52,44,48.5,43.7,46.4,45.6,39.9,28.4,28.4,28.4,32.2,36.7,35.7,37.5,47.9,57.2,49.4,49.3,39,27.3,27.2
"19","11","    Nonfarm","A045RC1",478.8,486.5,497.2,507.9,522,541.1,554,563.8,581.5,591.1,600.3,609.7,635.5,650.2,665.8,683.1,695.3,710.1,724.1,743.7,758,787.8,796.9,808.6,835.4,840.8,846.9,837.7,864.3,872.6,873.2,877.4,859.7,881.6,907.4,927.7,947.9,977.8,996.1,1014.6,1003.1,1007.6,1037,1055.9,1098.5,1104.8,1102.8,1108.4,1057.5,1060.3,1055.7,1054.2,1057.9,1062.5,1065.1,1044.5,1010.5,996.2
"20","12","  Rental income of persons with capital consumption adjustment","A048RC1",151,153,152.8,161.5,166.7,168.4,172.1,174.5,174.9,175.9,176.4,178.9,182.7,188.6,195.7,198.8,203,206.9,209.2,213.5,214.6,212.1,213.3,221.1,225.3,230.6,239.5,234.1,229.2,231.7,212.7,201.4,209.7,204.2,186.2,216.6,204.2,197.1,196.8,195.4,190.7,181.5,168.4,172.3,161.3,153.2,140.3,131.2,121.1,140.3,150.2,168,179.9,202.8,222.2,236.7,245.9,255.2
"21","13","  Personal income receipts on assets","W210RC1",993,998.3,1007,1023.1,1041.7,1067.9,1093.6,1119.7,1134.3,1152.2,1173.8,1201.5,1245.4,1276.8,1286.2,1268.3,1229.5,1236.2,1245.4,1276,1334.3,1363.1,1375.9,1369.4,1357.8,1350.6,1340.6,1334.8,1319.1,1315.4,1303.8,1300,1299.2,1306.2,1312.4,1333.8,1350,1372.9,1395.5,1515.5,1459.7,1507.1,1560.4,1640.8,1711.1,1817.2,1881.3,1909,1968.2,2022,2065.8,2069.8,2020.8,1997.3,2001.4,1958.1,1845.5,1782.5
"22","14","    Personal interest income","A064RC1",748.9,750.3,751.6,756.9,762,775.9,791,808.6,816.1,826.7,840.5,859.7,895.5,923.3,934.6,923.9,895.7,906.7,911.6,929.5,969.1,985,992.9,989.7,987.4,985.1,973.6,959.8,931.3,917.9,901.3,897,898.2,898.1,885.7,877.2,855.6,850.3,858,877,927.8,970.6,1003.1,1046.5,1067.2,1128.7,1156.8,1157.2,1198.3,1246.5,1297.9,1322.8,1304.6,1306.6,1327.8,1292.9,1243.4,1247.5
"23","15","    Personal dividend income","B703RC1",244.1,248,255.4,266.2,279.7,292.1,302.6,311.1,318.2,325.5,333.3,341.7,349.9,353.4,351.6,344.4,333.8,329.6,333.8,346.5,365.2,378.2,383,379.7,370.5,365.5,367,375,387.8,397.5,402.6,402.9,401,408.1,426.7,456.7,494.4,522.6,537.5,638.5,531.9,536.5,557.3,594.3,643.9,688.5,724.5,751.9,769.9,775.5,767.9,747,716.2,690.7,673.7,665.2,602.1,534.9
"24","16","  Personal current transfer receipts","A577RC1",869.4,879,885.9,881.5,910.9,931.3,926.7,927.5,944.6,944.3,950.5,957.4,968.7,975.1,978.5,989.4,1010,1013.2,1026.3,1036.8,1052.4,1079.4,1093.7,1106.5,1150,1182.6,1188.2,1231.7,1257.7,1280.4,1288.6,1301.9,1318.1,1333.7,1355.6,1359.6,1392.5,1411,1418.5,1440.1,1481.3,1506.4,1516.7,1529.8,1569,1597.9,1620.7,1632.4,1693.8,1699.1,1725.5,1753.7,1794.1,1937,1874.3,1898,1987.3,2135.2
"25","17","    Government social benefits to persons","A063RC1",853.4,861.1,866.2,860.1,888.1,907.7,903.4,905.5,924.8,925.6,931.6,937,945.8,950,951.4,960.5,978.8,980.4,991.5,999.7,1012.6,1038,1050.4,1061.3,1103.3,1134.6,1140.7,1186.8,1216.9,1244.3,1256.9,1273.7,1289.3,1306.8,1330.9,1337.2,1374.9,1394.8,1402.4,1422.2,1457.5,1480,1489.4,1504,1547.3,1578,1600.1,1609.1,1666.7,1669.3,1693.9,1721.2,1761.5,1904.4,1841.7,1865.3,1954.7,2102.6
"26","18","      Old-age, survivors, disability, and health insurance benefits","B222RC1",500.5,507.1,511.8,516.3,528.7,534.3,539.2,545.3,558.3,563,565.8,567,573,573.5,575.7,576.7,583.6,586.9,590.2,593.8,605.5,620.8,624.6,631.2,654.7,663,674.2,678.7,696.7,702.8,709,715.9,726.8,736.6,744,754.1,773.2,785.7,795.1,806.7,829,841.3,848.9,859.4,917.5,941.6,950.7,963.4,981,998.2,1012.7,1023.1,1049.1,1064.5,1080.5,1087,1128.5,1151.1
"27","19","      Government unemployment insurance benefits","B223RC1",20.6,21.2,21.7,22.2,22.7,22.4,21.4,21.5,20.7,20.1,19.4,19.2,19.2,19.1,20.1,19.6,20.6,20.7,20.1,19.8,20.4,19.8,20.4,21.7,25.3,28.2,32.9,40.4,42.6,60.2,56.8,53.2,50.9,54.6,54.4,51.4,42.9,35.4,33.3,32.3,32.8,30.6,30.3,31.7,29.6,29.4,30.4,30.3,31.4,31.2,32.8,33.9,35.7,38.7,57.7,70.3,96.2,121.6
"28","20","      Veterans benefits","B224RC1",21,20.8,20.9,20.8,21.7,21.9,21.5,21.6,22.7,22.5,22.4,22.7,23.5,23.4,23.4,23.6,24.4,24.3,24.3,24.3,25.3,25.1,25.1,25.3,26.2,26.5,26.6,27.8,29,29.6,30.1,30.6,31.7,32.1,32.5,32.5,33.9,34.2,34.7,35.1,36.5,36.7,36.9,37.1,38.9,39.2,39.5,39.7,41,42,42.2,43,44.8,45,46.1,46.5,50.3,50.5
"29","21","      Family assistance \1\","B226RC1",22.9,22.8,22.5,22.3,21.4,20.8,20.2,19,18.4,18,17.7,17.5,17.4,17.4,17.4,17.5,17.7,17.8,18,18.2,18.4,18.5,18.5,18.5,18.3,18.2,18,17.8,17.7,17.6,17.6,17.8,18.1,18.4,18.5,18.5,18.5,18.4,18.3,18.3,18.3,18.2,18.2,18.2,18.2,18.2,18.2,18.3,18.4,18.4,18.5,18.6,18.6,18.8,18.9,19.2,19.5,19.7
"30","22","      Other","B227RC1",288.5,289.2,289.3,278.6,293.6,308.3,301.2,298.1,304.8,302.1,306.2,310.7,312.7,316.6,314.8,323.1,332.5,330.7,338.9,343.6,343.2,353.8,361.9,364.7,378.8,398.7,388.9,421.9,430.9,434.2,443.3,456.2,461.8,465.3,481.5,480.6,506.3,521,521,529.9,541.1,553.1,555.1,557.7,543.1,549.6,561.3,557.4,595,579.5,587.7,602.7,613.3,737.5,638.5,642.3,660.4,759.7
"31","23","    Other current transfer receipts, from business (net)","B931RC1",16,17.8,19.6,21.4,22.8,23.5,23.2,21.9,19.7,18.7,19,20.4,22.8,25.1,27.1,28.9,31.2,32.8,34.8,37.1,39.8,41.5,43.3,45.2,46.7,48,47.4,44.9,40.8,36.1,31.8,28.2,28.8,26.8,24.7,22.4,17.6,16.2,16.1,17.9,23.8,26.5,27.3,25.8,21.7,19.8,20.6,23.3,27.1,29.8,31.6,32.4,32.6,32.6,32.6,32.7,32.5,32.7
"32","24","  Less: Contributions for government social insurance, domestic","A061RC1",525.7,530.1,535.3,540,544.2,552.1,558.7,565.4,575.5,582.2,590.2,601,611.8,620.4,629,637.4,652.5,656.4,662.2,674.1,697.5,698.9,711.2,715.8,735.5,734,731.5,731.7,746.6,752.3,752.7,754.2,766.7,774.9,781.8,792.3,812.3,821.6,833.1,842.2,861,865.8,879,885,915.4,917.4,920.8,933.8,952.5,953.7,958.6,972.6,985.3,988.9,994.9,993.3,973.9,963
"33","25","Less: Personal current taxes","W055RC1",720,742.2,747.7,765.7,796.5,834.4,838.4,858.4,896.4,910.5,935.4,962.2,990.1,1016.4,1037.2,1062,1073.5,1090.8,1116.2,1149.6,1204.7,1226.1,1243.6,1254.6,1297.6,1304.5,1109.5,1227.7,1068.4,1045.3,1046.3,1041.7,1021.3,1018.1,945.2,1016.8,1009.3,1026.4,1064.7,1090.9,1164.2,1192.3,1224,1253.8,1321.5,1340.2,1354.3,1393.5,1459.5,1481.8,1500.7,1521.9,1531.8,1326.2,1437.3,1434.3,1192.6,1079.5
"34","26","Equals: Disposable personal income","A067RC1",5387.2,5419.1,5482.7,5539,5630.8,5728.3,5803.6,5875.9,5959.1,6019.9,6106.1,6213.2,6357.6,6463.4,6553.2,6621.6,6687.4,6740.8,6819.9,6965.1,7174.9,7280.5,7400.6,7452.7,7561.4,7576.8,7771.1,7684.6,7909.9,8015.4,8028.3,8085.1,8173.2,8303,8473.5,8561.5,8670.5,8820.7,8934.4,9132.1,9074.3,9194.4,9353.5,9487.1,9705.2,9863.8,9982.5,10111.2,10247.4,10341.7,10445,10578.4,10610.4,10966.7,10849.3,10799.1,10789.2,10910.3
"35","27","Less: Personal outlays","A068RC1",5059.9,5138.1,5209.4,5275.6,5353.6,5451.3,5512,5597,5682.8,5725.2,5839.8,5928.9,5987.2,6108.1,6210.3,6324.3,6400.9,6540.9,6653.9,6786.4,6955.1,7054,7171.5,7275.7,7353.2,7414.9,7448.1,7557.9,7596.2,7694,7781.3,7838.5,7923.3,8008.5,8167.2,8253.2,8394.9,8505.4,8635.3,8807.1,8932.5,9077.4,9243.2,9345.2,9493.5,9618.2,9754.9,9856.4,10038.3,10158.2,10275.6,10425,10484.1,10592.2,10613.6,10389.9,10362.3,10344.2
"36","28","  Personal consumption expenditures","DPCERC1",4888.7,4957.5,5022.9,5080.1,5156.5,5248.8,5304.4,5384.7,5467.1,5504,5613.3,5698.1,5757.5,5870.2,5968,6078.2,6157.4,6290,6398.9,6524.9,6683,6775.7,6881.7,6981.1,7058.1,7118.7,7151.2,7267.2,7309,7403.4,7491.2,7553.2,7646.9,7723.8,7882.5,7962.8,8105.3,8209.4,8330.7,8494.9,8609.6,8747.2,8908.8,9010.3,9148.2,9266.6,9391.8,9484.1,9658.5,9762.5,9865.6,10019.2,10095.1,10194.7,10220.1,10009.8,9987.7,9989
"37","29","  Personal interest payments \2\","B069RC1",120.5,129.3,133.5,139,141.6,145.2,149.4,153,153.4,158.1,162.3,165,163.7,169.8,171.9,172.4,169.8,174.6,177.9,183.7,190.1,195.6,206,209.5,206.1,205.6,204.7,198.4,192,194.8,192.4,185.9,177.7,184,185,184,181.5,185.7,193.1,200.8,203.8,211,214.9,213.6,223.9,223.7,233.5,239.2,242.1,256.2,268.2,260.7,239.8,243.9,238.3,228.8,220.4,201
"38","30","  Personal current transfer payments","W211RC1",50.8,51.3,53,56.5,55.5,57.3,58.2,59.3,62.3,63.1,64.2,65.8,65.9,68.1,70.4,73.7,73.7,76.3,77.2,77.8,82,82.8,83.8,85.1,88.9,90.6,92.2,92.3,95.2,95.8,97.7,99.4,98.6,100.6,99.7,106.4,108.1,110.3,111.5,111.4,119.1,119.2,119.5,121.2,121.4,127.8,129.6,133.2,137.8,139.4,141.8,145,149.2,153.6,155.2,151.3,154.2,154.3
"39","31","    To government","W062RC1",31.9,32.3,32.9,33.5,34,34.6,35.2,35.8,37.2,38,38.6,39,39.1,39.3,40,41.1,42.3,43.5,44.7,45.8,46.9,48.1,49.3,50.6,51.5,52.5,53.4,54.3,55.2,56,56.8,57.6,58.1,59.3,60.7,62.5,64.6,66.2,67.5,68.6,70.2,71,71.8,72.6,74.6,75.7,76.9,78.4,80,81.5,83.1,84.6,86.1,87.4,88.5,89.5,90.4,91.4
"40","32","    To the rest of the world (net)","B070RC1",18.9,18.9,20.2,23,21.4,22.7,22.9,23.5,25.1,25.1,25.6,26.8,26.9,28.7,30.4,32.7,31.4,32.8,32.5,32,35,34.6,34.4,34.5,37.4,38.1,38.8,38,40,39.8,40.9,41.8,40.5,41.3,38.9,43.9,43.5,44.1,44,42.7,48.9,48.2,47.6,48.7,46.8,52.2,52.7,54.8,57.8,57.9,58.7,60.4,63.1,66.2,66.7,61.8,63.8,62.9
"41","33","Equals: Personal saving","A071RC1",327.3,281,273.3,263.4,277.2,277,291.5,278.9,276.3,294.7,266.3,284.4,370.4,355.4,342.9,297.2,286.5,199.9,166,178.7,219.9,226.5,229,177,208.2,161.9,323,126.7,313.7,321.4,247,246.7,249.9,294.5,306.3,308.3,275.5,315.4,299.1,325,141.8,117,110.2,141.8,211.7,245.6,227.7,254.8,209.1,183.5,169.4,153.5,126.3,374.4,235.7,409.2,426.9,566
"42","34","  Personal saving as a percentage of disposable personal income","A072RC1",6.1,5.2,5,4.8,4.9,4.8,5,4.7,4.6,4.9,4.4,4.6,5.8,5.5,5.2,4.5,4.3,3,2.4,2.6,3.1,3.1,3.1,2.4,2.8,2.1,4.2,1.6,4,4,3.1,3.1,3.1,3.5,3.6,3.6,3.2,3.6,3.3,3.6,1.6,1.3,1.2,1.5,2.2,2.5,2.3,2.5,2,1.8,1.6,1.5,1.2,3.4,2.2,3.8,4,5.2
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","35","  Personal income excluding current transfer receipts, billions of chained (2005) dollars \3\","W875RX1",6433.1,6450.3,6498.7,6566,6640,6734.7,6803.8,6865.1,6952.3,7021.8,7124.8,7247.2,7431.2,7560,7659,7730.4,7771.6,7804.7,7868.3,8015.4,8224.3,8299.8,8388.9,8398.3,8458.5,8406.8,8398.6,8381.1,8405.5,8405,8368.8,8371.3,8366,8477.5,8502.6,8626.6,8627.1,8717.5,8812.5,8947.7,8868.4,8936.9,9016.7,9086.4,9290.6,9366.1,9404.7,9557.5,9605.4,9635.9,9671.1,9669.6,9583.9,9498.8,9442,9494.4,9215.5,9056.9
"45",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","36","    Total, billions of chained (2005) dollars \3\","A067RX1",6616.6,6617.2,6666.8,6706.2,6777.7,6850.6,6908.9,6946.8,7008.9,7061.5,7142.4,7241.5,7406.2,7512,7591,7646.5,7698.4,7716,7765.9,7887.7,8053.4,8135.9,8222.3,8234.6,8296.5,8273.7,8484.5,8385.5,8611.6,8658.9,8629.2,8649.6,8681.3,8812.5,8935.4,8986.4,9025.9,9115,9175.9,9303.4,9189.6,9253,9308,9358.7,9533.8,9617.3,9662.5,9788.8,9830.2,9842.7,9883.9,9886.2,9826.8,10059,9838.3,9920.4,9948.3,10027.2
"47",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","37","      Current dollars","A229RC0",20299,20362,20534,20682,20972,21275,21485,21683,21932,22092,22335,22656,23123,23443,23695,23870,24046,24173,24379,24823,25506,25817,26170,26283,26604,26594,27204,26832,27558,27863,27837,27965,28211,28596,29111,29343,29660,30108,30421,31019,30758,31100,31559,31931,32596,33056,33367,33708,34085,34320,34574,34928,34960,36059,35586,35335,35231,35553
"49","38","      Chained (2005) dollars","A229RX0",24932,24864,24969,25040,25244,25443,25576,25635,25796,25915,26125,26405,26937,27247,27447,27565,27682,27669,27760,28111,28629,28850,29076,29041,29190,29041,29701,29279,30003,30100,29920,29918,29965,30351,30698,30799,30876,31113,31244,31600,31149,31298,31406,31499,32020,32230,32297,32633,32697,32664,32716,32642,32379,33075,32270,32460,32485,32675
"50","39","  Population (midperiod, thousands)","B230RC0",265388,266142,267000,267820,268487,269251,270128,270991,271709,272487,273391,274246,274950,275703,276564,277400,278103,278864,279751,280592,281304,282007,282787,283554,284220,284902,285659,286396,287028,287673,288406,289113,289714,290356,291076,291770,292332,292965,293687,294409,295020,295639,296378,297109,297743,298399,299175,299965,300644,301332,302108,302865,303498,304128,304872,305620,306245,306872
"51",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","40","    Disposable personal income, current dollars","A067RP1",4.9,2.4,4.8,4.2,6.8,7.1,5.4,5.1,5.8,4.1,5.8,7.2,9.6,6.8,5.7,4.2,4,3.2,4.8,8.8,12.6,6,6.8,2.8,6,0.8,10.7,-4.4,12.3,5.4,0.6,2.9,4.4,6.5,8.5,4.2,5.2,7.1,5.3,9.2,-2.5,5.4,7.1,5.8,9.5,6.7,4.9,5.3,5.5,3.7,4.1,5.2,1.2,14.1,-4.2,-1.8,-0.4,4.6
"53","41","    Disposable personal income, chained (2005) dollars","A067RL1",2.6,0,3,2.4,4.3,4.4,3.4,2.2,3.6,3,4.7,5.7,9.4,5.8,4.3,3,2.7,0.9,2.6,6.4,8.7,4.2,4.3,0.6,3,-1.1,10.6,-4.6,11.2,2.2,-1.4,0.9,1.5,6.2,5.7,2.3,1.8,4,2.7,5.7,-4.8,2.8,2.4,2.2,7.7,3.6,1.9,5.3,1.7,0.5,1.7,0.1,-2.4,9.8,-8.5,3.4,1.1,3.2
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Consists of aid to families with dependent children and, beginning with 1996, assistance programs operating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
