"","Table 3#11#5# National Defense Consumption Expenditures and Gros","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Gross output of general government","W085RC1",303.3,302,302.1,295.2,303.2,309.3,306.3,310.2,304.3,312.3,306.1,309.2,295.1,304.6,307.7,306.4,308.2,307.8,318.6,329.3,315.9,330.6,326.3,326.9,340,341.3,346.5,354.4,371.9,378.5,386.4,402.9,411.2,449.9,444.1,453.7,474.2,482.2,498.2,488.6,513,517.2,535.3,515.3,543.9,547.9,549.7,557,560.9,574.4,592.1,596.7,614.8,627.6,660.5,654.1,648.3,667.9
"12","4","    Value added","W086RC1",193.8,191.6,190.7,189.9,193.6,193.9,193.9,192.7,194.1,192.5,191.8,190.4,191.7,190.4,190.5,189.1,192.1,192.3,193.1,193.3,197.8,197.9,200,199.3,203,203.6,205.8,208.5,219.5,221.5,221.9,227.2,240.2,243.7,245,246.4,259.4,262.5,265.9,268.9,283.5,283.1,285,285.9,295.8,297.6,299.6,302.1,311.5,314.2,317,319.7,328.3,333.2,339,342.5,354.4,360.8
"13","5","      Compensation of general government employees","B237RC1",131.9,129.8,129.1,128.2,132.1,132.6,132.8,131.7,133.4,132.1,131.7,130.3,132,130.7,130.9,129.4,132.4,132.4,133,133.1,137,137.3,139.3,138.7,142.5,143,145.3,148.2,159.3,161.2,161.5,166.2,179,182.2,183.2,184.2,196.3,198.2,200.6,202.4,215.9,214.9,216.1,215.9,224.6,224.8,225.6,227.5,235.9,237.4,239.2,240.3,247.4,250.3,255.1,258.7,269.8,275.1
"14","6","        Military","B4080C1",81.2,80.3,79.8,79.5,82.2,83,83.4,83,83.8,82.8,82.7,81.7,82.9,82.5,82.6,82,84.2,83.8,84.3,85,87.6,87.8,89.6,89.2,93.2,93.3,94.3,97,105,106.5,106.9,111.8,121.4,125.4,125.4,125.6,134,134.4,134.9,137.2,148.1,146.6,146.5,147,153.5,153.1,153.7,154.8,160.9,162.1,164,164.3,169.9,172,176,179.2,187.8,192.2
"15","7","        Civilian","W090RC1",50.7,49.5,49.2,48.7,50,49.6,49.3,48.7,49.6,49.2,49,48.6,49.1,48.1,48.3,47.4,48.1,48.5,48.7,48,49.4,49.5,49.7,49.5,49.4,49.7,50.9,51.2,54.3,54.6,54.5,54.4,57.7,56.8,57.7,58.6,62.3,63.8,65.7,65.3,67.8,68.3,69.6,68.9,71,71.7,71.9,72.7,75,75.3,75.2,76,77.5,78.3,79.1,79.5,82,82.9
"16","8","      Consumption of general government fixed capital \2\","B432RC1",61.9,61.8,61.6,61.7,61.5,61.3,61.2,61,60.7,60.5,60.2,60.1,59.7,59.7,59.6,59.6,59.7,59.9,60.1,60.3,60.8,60.6,60.7,60.6,60.5,60.6,60.6,60.3,60.2,60.3,60.4,61,61.1,61.5,61.9,62.2,63.1,64.3,65.3,66.4,67.6,68.2,68.9,70,71.2,72.8,74.1,74.5,75.6,76.7,77.9,79.3,80.9,82.8,83.9,83.8,84.6,85.7
"17","9","    Intermediate goods and services purchased \3\","W087RC1",109.5,110.4,111.4,105.4,109.6,115.4,112.4,117.5,110.2,119.8,114.3,118.8,103.4,114.2,117.2,117.3,116.2,115.6,125.5,136,118.1,132.7,126.2,127.6,137,137.7,140.7,145.9,152.4,157.1,164.5,175.8,171,206.2,199,207.3,214.8,219.7,232.3,219.8,229.4,234,250.3,229.4,248.1,250.3,250.1,255,249.4,260.3,275.1,277,286.5,294.5,321.5,311.6,293.9,307.1
"18","10","      Durable goods","A998RC1",21.7,19.6,23.6,18.9,19.6,22.2,21.8,19.7,20.4,22,20.3,20.8,19.9,20.4,22,21.5,20,22.7,24.2,21.9,22.4,22.3,22.4,21.4,20.9,22.7,24.1,21.4,21.8,23,24.6,23.4,22.9,26.5,26.6,26.8,27.2,29.2,29.8,28.9,28.3,29.2,30.4,30.3,31.3,31.7,33.2,34.9,33.4,35.2,37.4,38.3,39.4,42.2,44.7,46,42.6,47.3
"19","11","        Aircraft","B999RC1",10,7,10.4,8,8.6,8.8,9.1,8.7,9.2,10.2,8.5,9.5,9.1,9.6,10,10.8,9.5,10.9,11.5,10,10.5,9.6,10.2,9.1,8.8,9.6,11.2,9.4,9.2,9.9,10.2,9.9,9.7,11.8,11.4,11.8,11.3,11.7,12.5,12.1,10.7,10.7,10.6,10.9,10.6,10.3,10.8,12.5,10.1,10.9,11.8,12.5,11.4,12.4,13.4,14,14,15
"20","12","        Missiles","B277RC1",2.4,3,3.3,2.6,2.4,2.9,2.9,2.3,2.2,2.4,2.3,2.3,2.1,1.8,3.1,2.1,2.2,2.2,2.3,2.3,2.2,2.5,2.4,2.7,2.7,2.6,2.6,2.4,2.3,2.2,2.7,2.7,2.2,2.3,2.3,2.7,2.4,3.1,2.3,2.5,2.9,3.3,3.2,3.7,3.9,4.3,3.9,4.2,4.2,4.4,4.5,4.8,4.7,4.8,4.8,4.9,4.5,4.7
"21","13","        Ships","B278RC1",1.1,1.3,1.5,0.7,0.7,1.3,0.9,0.8,1,1,1,0.9,0.9,0.8,0.9,0.8,1,1.3,1.3,1.1,1.3,1.4,1.3,1.2,1.2,1.3,1.3,1.1,1.2,1.3,1.5,1.2,1.2,1.3,1.3,1.2,1.2,1.5,1.6,1.3,1.3,1.4,1.6,1.2,1.6,1.4,1.3,1.4,1.5,1.4,0.8,0.9,0.7,0.9,0.9,0.7,0.7,0.8
"22","14","        Vehicles","B288RC1",1.1,1.1,1.2,0.8,0.9,0.9,1,0.9,1.2,1.3,1.1,1.1,1,0.9,0.9,0.8,0.7,0.8,0.7,0.7,0.6,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.8,0.9,0.9,1,1.3,1.3,1.4,1.6,1.8,1.9,1.9,2.4,2.5,2.7,2.7,3.1,3.1,4,2.6,4.1
"23","15","        Electronics","B388RC1",2.6,2.4,2.7,2.2,2.2,2.9,2.7,2.2,2.4,2.5,2.6,2.3,2.4,2.3,2.4,2.3,2.4,2.7,2.9,2.6,2.9,3.1,2.7,3,2.8,3,3,3,3.1,3.3,3.4,3.2,3.4,3.8,4.2,3.6,4,4.5,4.5,4.6,4.6,5.1,6.1,5.7,6,6.1,6.8,6.6,7.2,7.7,8.5,8,9.7,10.6,11.7,11.6,10.2,11.4
"24","16","        Other durable goods","B389RC1",4.5,4.7,4.4,4.6,4.7,5.3,5.2,4.9,4.5,4.5,4.8,4.6,4.3,4.8,4.8,4.6,4.2,5,5.5,5.1,5,5,5.1,4.8,4.7,5.4,5.2,4.9,5.3,5.7,6.2,5.7,5.7,6.5,6.7,6.6,7.6,7.7,8,7.5,7.8,7.7,7.7,7.5,7.8,8.2,8.6,8.3,8.5,8.4,9.3,9.4,10.2,10.4,10.9,10.6,10.7,11.2
"25","17","      Nondurable goods","A725RC1",6.3,6.6,6.5,5.9,7.2,7.9,8,7.5,8.2,7.2,7.5,7.5,7,6.6,7.4,6.9,6.5,7.6,9.8,8.7,11.1,10.6,9.8,10.2,9.9,10.7,10.1,10.3,10.1,11.6,11.3,13,15,14.1,11.3,13.2,16,16.8,19.5,16.1,18,21,23.2,21.4,21,21.9,25,20.5,22.3,23.7,25.8,24.6,27.3,33.1,35.7,27.1,21.4,24.6
"26","18","        Petroleum products","B780RC1",2.8,2.7,3,2.5,3.4,3.3,3.7,3.2,3.3,3,2.7,2.7,2.3,2.1,2,1.8,1.7,2.4,3.5,2.6,4.1,3.6,4.1,4.4,4.4,4.2,4.2,4,3.6,4.5,4.3,5.9,8,5.7,3,4.5,6.5,6.8,9.2,5.7,6.9,10.4,12.2,10.8,9.9,11.2,14.1,9.5,10.4,12.3,13.7,13.5,14.8,20.8,22.7,13.6,8.6,10.5
"27","19","        Ammunition","B781RC1",1.2,1.4,1.2,1,1.4,1.5,1.1,1.5,1.9,1.5,1.7,1.7,1.6,1.4,2.5,2,1.7,1.8,2.3,1.8,1.6,1.6,2.1,1.9,1.9,2.1,2.2,2.1,2.3,2.6,2.7,2.4,2.1,2.7,2.8,2.9,3.4,3.6,3.8,3.8,3.7,4,4.2,4,4.1,4.1,4.2,4.4,4.2,3.7,4.4,3.9,4.5,4.1,4.6,4.7,3.8,4.3
"28","20","        Other nondurable goods","B783RC1",2.3,2.5,2.3,2.4,2.4,3,3.1,2.9,2.9,2.7,3.1,3.1,3.1,3.1,2.9,3.1,3.1,3.4,3.9,4.3,5.3,5.4,3.6,3.9,3.6,4.4,3.7,4.2,4.2,4.5,4.3,4.6,4.9,5.7,5.5,5.8,6.1,6.4,6.5,6.6,7.3,6.6,6.8,6.6,7,6.5,6.7,6.6,7.7,7.6,7.7,7.2,8,8.3,8.4,8.8,9,9.9
"29","21","      Services","A489RC1",81.5,84.2,81.3,80.5,82.8,85.3,82.6,90.2,81.6,90.6,86.5,90.6,76.6,87.2,87.8,88.9,89.7,85.2,91.5,105.3,84.5,99.8,94.1,95.9,106.2,104.2,106.5,114.1,120.5,122.4,128.5,139.3,133.1,165.6,161.2,167.3,171.5,173.7,183.1,174.7,183.2,183.8,196.7,177.7,195.8,196.7,191.9,199.6,193.7,201.4,211.8,214.1,219.8,219.2,241,238.6,229.8,235.2
"30","22","        Research and development","B784RC1",25.9,24,25.8,24.3,26.9,28.7,28.9,25,25.3,30,28,29.4,25.4,26.6,27.3,28.5,29.2,24.2,26.4,29,27.4,27.4,24,29.2,28.6,29.6,29.7,31,32.8,36.8,34.3,43.2,35.8,49.6,40.2,46.7,48.1,51.9,51,51.4,53.2,56.8,55.3,50.5,58.2,58.4,56,59.5,59.3,58.5,55.9,57,59.2,61.2,61.6,69.5,61.1,64
"31","23","        Installation support","B911RC1",25.4,26.4,24.9,25,25.1,26.2,25.4,26.6,24.7,25.5,25,24.9,22.6,24.7,25,23.5,23.7,24.1,24.8,27.4,23.4,26.3,26.2,25.1,27.4,26.6,27.7,28.4,29.8,29.1,31.3,31.8,31.9,34.8,37.4,37.9,36.2,35.1,37.5,34.5,33.7,34,37.6,36,36,37.3,35.6,37.8,34.9,35.6,37,36.3,36.4,36.5,41.8,40.7,41.2,42.7
"32","24","        Weapons support","B912RC1",8.2,9,7.9,7.8,6.5,6.5,6.2,10.6,7.4,9,8.6,10.1,6.4,9.1,8.6,10,8.2,8.4,9.7,13.4,6.2,11.8,11.2,11.3,13.8,13.1,12.4,13.7,14.9,14,17.4,19.5,16.8,20.9,24,22.7,21.5,19.8,23.5,21.2,22.8,22.7,28.2,23.8,24.3,26.8,23.3,27.8,23.5,24.9,26.9,26.2,27.7,27.3,35.7,32.6,29.6,29.5
"33","25","        Personnel support","B913RC1",13.8,16.4,14.4,14.9,15.2,15,14.4,19.2,16.2,18,16.8,17.8,13.7,18.3,18.3,18.5,19.4,19.6,21.9,26.4,18.5,25.3,23.5,21.5,27.4,25.5,26.8,29.5,31.8,31.6,35.5,36.3,34,39,43.7,45.1,49.1,49.4,54.2,51.2,53.1,52.4,60.1,57.7,60.8,63.7,58.7,60.2,58.9,63.6,70,73.6,76.3,75.2,84.4,80.7,82.8,83.8
"34","26","        Transportation of material","B786RC1",3.8,4.2,4.3,4.5,5,4.9,4.3,4.4,3.9,3.9,3.9,4.2,4.2,4.2,4.2,4.1,4.6,4.3,4.2,4.3,4.4,4.4,4.4,4.2,4.3,4.5,4.9,5.8,5.9,5.6,5,3.8,9.1,14.6,9.2,8.4,9.5,9.7,9,8.4,10,9.4,7.5,3.9,8.3,5.1,9.9,7.3,9.4,10.8,13.1,13.2,12.8,11.8,10.4,7.7,7.7,7.7
"35","27","        Travel of persons","B785RC1",4.4,4.1,4,4.1,4.1,4.1,3.5,4.3,4.1,4.2,4.2,4.2,4.2,4.3,4.3,4.4,4.6,4.6,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.9,5.1,5.6,5.3,5.2,5,4.7,5.5,6.8,6.7,6.5,7.1,7.7,7.7,8,10.4,8.5,8,5.9,8.3,5.4,8.4,7,7.8,8,8.9,7.8,7.4,7.2,7.1,7.4,7.4,7.4
"36","28","  Less: Own-account investment \4\","W088RC1",1.7,1.5,1.6,1.4,1.5,1.5,1.5,1.5,1.7,1.6,1.4,1.3,1.5,1.6,1.5,1.1,0.9,1.6,1.5,1.3,1.1,1.1,1.2,1.2,1.5,1.4,1.4,1.7,2,2.1,2.1,2.2,2.1,2.1,2,2.1,2,2.1,2.1,2.1,2,2,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2,2.2,2.2,2.3,2.2,2.4,2.5
"37","29","        Sales to other sectors","W089RC1",2.6,1.8,1.6,2.4,2.1,2.5,3.1,2.7,1.8,2.4,2,1.9,2.3,0.6,2.8,1.1,0.8,1.6,2.8,1.7,3.2,1.3,2.2,1,3.1,1.4,1.7,1.9,1.7,1.3,3.9,1.8,2.1,2.8,2.9,1.8,2.1,2.4,3.5,2.1,3.4,3.4,3.8,2.5,3.5,4.6,3.9,2.6,4.5,3.6,4.9,3.3,2.9,3,3,3.1,3,3
"38","30","Gross investment \5\","A788RC1",52.7,53.4,50.5,50.7,55.7,53.5,51,46.4,43,43.5,47.4,47.3,42.6,45,48.9,46.5,44.4,48.3,50.7,49.4,49,48.7,49.8,49.4,48.3,51.2,52.2,52,52,56.8,60.1,59.3,59.4,62.3,64,65.4,65.8,67.9,72.9,71.8,71,74.3,76.7,74.8,77.2,82.8,79.6,84.3,82.5,87.8,89.3,89.4,93.9,103.2,108.4,110.1,107.8,113
"39","31","  Structures","A808RC1",6.9,6.6,6.8,6.6,6.5,6.5,6.2,6,5.9,6,6.5,6.1,5.8,6.1,6.2,5.3,5.7,5.6,5.3,5,5.1,5.2,5.8,5.4,5,5.6,5.2,5.5,5.4,5.7,6.1,6.2,7,7.2,7.6,7.5,7.3,7,7.4,6.9,7.5,7.2,7.8,7.3,7.5,8,7.8,8.9,9.5,10.9,10.5,10.9,11.5,12.1,13,14.8,15.8,16.4
"40","32","  Equipment and software","A873RC1",45.8,46.8,43.7,44.1,49.2,47,44.8,40.4,37.1,37.5,41,41.3,36.9,38.9,42.7,41.2,38.7,42.7,45.3,44.4,43.9,43.5,43.9,43.9,43.2,45.6,47,46.5,46.7,51.1,53.9,53.1,52.4,55.1,56.3,57.9,58.4,60.9,65.5,64.9,63.5,67.1,68.9,67.5,69.7,74.8,71.8,75.4,73,76.9,78.8,78.5,82.4,91.1,95.3,95.3,91.9,96.6
"41","33","    Aircraft","B874RC1",9.3,9.1,8.1,9.6,13.7,9.9,7.6,5.4,4.4,3.6,6.9,8.4,4.2,5,6.7,7.2,5.9,6.7,8.7,6.6,9.3,6.9,8.1,6.8,6.8,7,10.7,9.5,7.3,9.4,10.2,10.5,9.4,9.1,8.5,9.9,8.6,10,11.8,13.8,12.6,13.5,14,14.1,13,15.2,11.9,14.3,12.1,14.1,13.2,11.7,10.5,15.1,14.9,15.1,15,17.1
"42","34","    Missiles","B875RC1",4.1,5.8,5.2,3.7,4.3,4.2,4.2,3.6,2.7,2.7,3,3,2.9,2.6,4.6,2.9,2.8,2.7,2.8,3.1,2.4,2.4,2.1,3.8,3.5,3.5,3,3.2,3.5,3.3,3,3.3,2.8,2.9,3.6,4.7,3.9,3.6,4.4,4.4,3.1,4.5,3.5,4.9,4.7,4.7,3.4,5.3,5.3,4.3,3.9,3.8,3.8,4.5,4.6,4,4.7,4.8
"43","35","    Ships","B876RC1",8.7,8.5,7.6,7.2,7,7.2,6.6,6.3,5.6,6.7,6.4,5.8,6.3,6,6.5,6.9,6.8,6.6,6.5,7.1,6.1,6.8,6.7,6.8,7.2,7.4,6.9,7.3,8.1,8.5,8.9,9,8.5,10.1,10.1,9.4,10,9.1,11.5,9.5,9.9,9.5,10.6,9.2,9.7,11.1,10.6,10.7,9.8,10.2,10.2,11.1,9.7,11,11.7,11.7,10.5,10.9
"44","36","    Vehicles","B877RC1",1.2,1,1.1,1,1.3,1.1,1.1,1.2,1.3,1.4,1.5,1.4,1.3,1.8,1.6,1.4,1.5,1.8,1.5,2,1.9,2,1.9,1.6,1.9,2.1,1.7,2.1,2.2,2.6,3.1,2.6,3.6,3.3,3,2.7,2.9,3.1,2.5,2.7,2.8,4.3,4.6,3.7,4.6,4.8,5.3,4.9,5.1,6.5,7,6.2,8.7,8.5,9.7,10.3,8.8,8.5
"45","37","    Electronics and software","B878RC1",9.1,8.4,9,8.5,8.6,9.2,9.3,8.9,9.1,9.1,9.1,8.8,9,9.3,9.2,9,8.6,10.1,10.3,9.8,9.8,10.2,9.9,10.3,9.8,9.8,9.5,9.7,9.8,10,10.2,9.8,10.3,10.2,11,10.5,10.6,12,11.6,11.8,11.6,12.4,13.5,13.1,13.5,13.9,14.8,14.8,15.5,16.2,17.2,16.9,19.1,20.2,21.3,21.3,19.8,21.1
"46","38","    Other equipment","B879RC1",13.4,13.9,12.8,14.2,14.3,15.3,16.1,15,14.1,14,14.2,13.9,13.1,14.1,14.2,13.8,13.2,14.7,15.5,15.7,14.5,15.2,15.3,14.6,14,15.9,15.1,14.7,15.8,17.2,18.5,17.8,17.8,19.6,20.2,20.8,22.5,23.2,23.7,22.7,23.4,22.9,22.7,22.6,24.2,25.1,25.8,25.4,25.3,25.6,27.3,28.8,30.7,31.8,33.2,32.8,33.2,34.3
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","structures and in software.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","5. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
