"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Personal current taxes","W071RC1",156.8,152.4,160.6,162.6,165.3,165.9,169.3,174.2,177.8,176.9,184.1,189.2,195.5,201.4,201.6,206.3,208.1,209.4,216.4,224,232.1,243.3,236.7,234.8,250.8,259.8,232,229.5,222.5,211.9,225.6,227.2,219.1,210.2,234.4,240.9,240.5,237.6,252,264.3,269.3,273,277.9,286.7,298.4,305.5,300.4,305.5,322.7,324.1,323.1,321.3,336.4,342,327.2,314.1,287,259.7
"12","4","    Income taxes","B245RC1",140.6,136.1,144.2,146,149,149.6,152.8,157.8,160.7,159.6,166.8,171.6,177.7,183.2,183.4,187.8,189.3,190.5,197.4,204.8,212.7,224,217,215.6,231.6,240.1,212.1,209.5,202.6,191.3,204.9,206.2,198,188.5,211.8,218,217,214.1,228.1,239.7,244.7,248.3,252.8,261.1,272.4,279.1,274,278.8,295.6,297,295.8,293.6,309.2,314.3,299.4,286.4,259.2,231.7
"13","5","    Other","B247RC1",16.2,16.2,16.4,16.6,16.3,16.3,16.5,16.3,17.1,17.3,17.3,17.6,17.8,18.2,18.2,18.5,18.8,18.9,19,19.1,19.4,19.2,19.6,19.1,19.1,19.7,19.9,20,19.8,20.6,20.7,20.9,21.1,21.7,22.6,22.9,23.4,23.5,23.9,24.5,24.6,24.7,25.1,25.6,26,26.4,26.5,26.7,27,27.1,27.3,27.6,27.2,27.7,27.8,27.7,27.8,27.9
"14","6","  Taxes on production and imports","W072RC1",478.3,477.9,483.7,489.4,498.1,506.5,509.9,517,523.7,530.5,536.6,544.3,549.6,555.4,561.5,568.5,576.2,585.4,595.3,603.7,612.4,618.9,623.8,630.1,637,637.7,641.8,653.1,660.7,669.7,684.1,689.4,698.2,710.3,724.5,737,750,761.8,773,791.6,808.8,824.5,840,852.3,871.9,883.8,891.8,902.2,920.4,930.4,936.8,948.7,949.8,957.7,966.7,947.1,933,934.5
"15","7","    Sales taxes","B248RC1",240.4,239.6,243.7,247.3,252.4,255.7,256.8,259.9,262.8,266.8,270.5,274.5,277.5,281.5,285.5,290.9,292.8,298.9,305.2,309.4,314.1,316.6,316.6,320,322.3,320.1,319.5,325.3,325.2,328.6,335,335.7,339.4,345.6,352.4,358,363.1,367.3,371.2,381.4,391.1,399.6,408,410.1,423.7,429.6,432.8,435.5,442.3,446,447,449.7,448.1,443.8,447.3,436.3,429.4,428.7
"16","8","    Property taxes","B249RC1",200.8,201.6,203,204.9,208.1,210.9,213.7,216.7,220,222.6,224.8,226.8,227.9,229.6,231.9,234.7,238,241.3,244.4,247.5,250.4,253.3,256.1,258.9,261.7,265.3,269.8,275.3,281.6,287.2,292.2,296.6,300.2,304.3,308.8,313.7,319,324.2,329.3,334.3,339.1,344.2,349.4,354.8,360.4,366.5,373.1,380.2,387.9,394.3,399.5,403.5,406.3,409.1,412,415,417.7,420.5
"17","9","    Other","W073RC1",37.2,36.8,37,37.2,37.6,40,39.4,40.5,40.9,41.2,41.3,43,44.2,44.3,44.1,43,45.3,45.3,45.6,46.9,48,49.1,51.1,51.2,53.1,52.3,52.5,52.5,54,53.8,56.9,57.2,58.6,60.4,63.4,65.3,68,70.3,72.5,75.8,78.5,80.7,82.6,87.4,87.8,87.6,85.8,86.5,90.2,90,90.3,95.5,95.4,104.8,107.3,95.9,85.9,85.4
"18","10","  Taxes on corporate income","B102RC1",32.5,31.3,31.9,30.9,31.9,33.5,33.3,33.4,33.1,33.6,35.5,34.4,34.7,34.5,35.7,34.8,36.3,35.5,35.6,35.9,37.2,36.5,33.5,33.7,30.1,30.4,28.3,26.6,28.3,30.2,31.5,33.5,34.5,31.7,33.6,36.2,37.8,40.8,43.9,44.3,55.3,53,53.3,58.2,59.6,60.2,61.6,55.1,53.8,54.7,55.8,61.9,51.9,57.2,57.1,37.7,52.2,NA
"19","11","Contributions for government social insurance","B104RC1",14,13.7,13.5,13.2,13,12.7,12.3,11.9,11.3,10.9,10.6,10.5,10.5,10.5,10.3,10.1,9.9,9.7,9.7,9.8,10,10.4,11,11.8,12.7,13.5,14.1,14.5,14.9,15.4,16.2,17.1,18.3,19.5,20.6,21.8,23,23.9,24.5,24.8,25.1,25.1,24.8,24.1,23.1,22.1,21.3,20.6,20,19.7,19.6,19.9,20.3,20.8,21.4,22,21.8,21.7
"20","12","Income receipts on assets","W074RC1",66.6,67.8,69.2,70.5,71.6,72.8,74.1,75.3,76.6,77.7,78.7,79.6,80.4,81,81.8,82.7,83.1,84.4,86.5,89.2,92.9,94.8,95,94.4,93,91.3,89.2,86.6,83.4,80.5,78.3,76.4,75.1,73.9,73.5,73.4,74.1,75.8,77.8,80.9,83,86.3,89.9,93.8,97.9,101.9,105.5,108.7,112,114,115.3,115.3,114.4,114,112.7,114.5,115.8,115.5
"21","13","  Interest receipts \1\","B112RC1",61.2,62.4,63.7,64.8,65.8,66.8,68,69.2,70.4,71.4,72.3,73.3,74.2,74.8,75.5,76.3,76.7,77.9,79.8,82.2,85.5,87.3,87.3,86.5,85.1,83.5,81.3,78.8,75.6,72.6,70,67.9,66.1,64.7,63.9,63.7,64.3,65.7,67.3,69.4,71.8,74.5,77.8,81.6,85.5,89.3,92.8,96,99.3,101.3,102.3,102.1,100.8,100.3,98.9,100.3,101.2,101.8
"22","14","  Dividends","B081RC1",0.8,0.8,1,1.1,1.2,1.3,1.5,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.3,1.2,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.8,1.7,1.7,1.7,1.7,1.8,1.9,2.6,1.9,2.1,2.1,2.1,2.2,2.3,2.4,2.4,2.4,2.4,2.5,2.6,2.9,2.8,2.7,3.1,3.3,2.3
"23","15","  Rents and royalties","S230541",4.5,4.5,4.5,4.5,4.6,4.6,4.7,4.7,4.8,4.8,4.8,4.7,4.6,4.6,4.6,4.7,4.8,5,5.2,5.5,5.9,6.2,6.4,6.5,6.5,6.5,6.5,6.4,6.4,6.5,6.6,6.9,7.2,7.5,7.8,8,8.1,8.3,8.6,8.9,9.3,9.7,9.9,10.1,10.2,10.3,10.3,10.3,10.4,10.4,10.5,10.6,10.8,10.9,11,11.2,11.3,11.5
"24","16","Current transfer receipts","W075RC1",224,224.7,225.9,222.1,227.6,237.6,236.7,234.2,240.2,241.7,248.3,255.4,257.4,257,263.7,283.1,283.3,283.5,296.1,301.7,302.6,308.6,321.8,322.5,337,348.9,346.4,359.5,365,381.1,387.5,395.7,391.5,423.9,429.7,440.2,427.9,439.2,438.9,451.7,448.4,452.4,455.7,460.7,449.9,457.8,463.5,455.5,477,484.5,485.6,488.4,493.9,505.4,505.5,519.5,555.7,617.4
"25","17","  Federal grants-in-aid","B089RC1",185.1,185.1,185.6,181,185.8,195.1,193.4,190.1,194.4,194.9,197,207.3,208.1,208.7,213.5,220.1,227.2,226,237.1,241.3,237.9,242.6,254.6,254.1,267.1,277.8,273.9,285.5,289.1,303.6,308.5,315.4,310.8,341.7,345.6,353.9,339.6,349.3,347.8,360,356.4,359.9,362.4,366.2,354.6,361,365.1,355.5,375,380.7,379.7,380.3,382.5,391.8,390,402.4,437.7,497.9
"26","18","  From business (net)","W076RC1",12.9,13.3,13.7,14.1,14.5,15,15.4,15.8,16.3,16.6,20.6,17.2,18.6,17.5,19.1,31.2,23.3,23.7,24.2,24.8,28.1,28.5,28.8,28.9,29.4,29.5,29.9,30.5,31.6,32.3,32.9,33.4,32.8,33.4,34.1,35.1,35.9,36.5,36.8,36.7,36.4,36.3,36.5,37.1,37.3,38.1,38.8,39.4,40.2,40.8,41.6,42.5,44.4,45.3,46,46.6,46.8,47.3
"27","19","  From persons","B246RC1",26,26.3,26.6,27,27.2,27.6,27.9,28.3,29.5,30.2,30.6,30.8,30.7,30.8,31.1,31.8,32.8,33.8,34.7,35.7,36.6,37.5,38.5,39.5,40.6,41.6,42.5,43.5,44.3,45.2,46.1,47,47.9,48.9,50,51.2,52.3,53.4,54.3,55,55.6,56.2,56.8,57.4,58,58.7,59.6,60.6,61.8,63,64.3,65.6,67,68.3,69.4,70.4,71.2,72.2
"28","20","Current surplus of government enterprises","B115RC1",12.3,13.1,13.9,14.5,15.3,15.7,15.7,15.6,15.1,14.5,13.9,13.3,11.8,12.3,12.7,13.1,13.5,13.6,13.4,12.8,11.8,10.8,9.9,8.9,7.7,7,11.9,5.6,6.1,6.4,6.3,5.7,4.3,3.6,2.9,2.4,1.9,1.2,0.6,0.1,0.9,0,-0.2,-0.4,-0.3,-1.1,-1.6,-2.3,-3.6,-4,-4.1,-3.9,-3.1,-2.9,-3.1,-3.5,-4,-3.6
"29","21","    Current expenditures","W024RC1",973.7,983.3,989.5,984.3,1002.3,1026.1,1026.3,1033.7,1047.7,1052.7,1067.4,1085,1094.3,1109.6,1122.2,1144.2,1166.3,1184,1211.3,1232.8,1248,1270.7,1293.1,1313.6,1353.2,1394.4,1386.6,1425.5,1436.8,1453.1,1476.5,1500.7,1522.3,1525.5,1544.7,1548,1577.9,1601.2,1614.3,1643.9,1665.6,1695.4,1716,1741,1738,1767,1800.1,1809.4,1869.5,1888.4,1911.7,1952.9,1983.8,2019.8,2046.5,2007.5,1998,2015.2
"30","22","Consumption expenditures","A991RC1",690.6,699.2,704.7,710.6,717.9,726.6,733.3,742.9,751.6,758.2,767.8,780.6,789.6,801.6,815,828.2,844,862.3,880.2,895.9,910.2,922.6,936.2,953.5,972.8,989.2,1002.6,1012.3,1026.1,1043,1057.3,1071.2,1091.5,1092.5,1098.4,1103.6,1116.8,1129.1,1144,1166.3,1182,1198.4,1222.9,1244.8,1254.5,1274.6,1292.7,1307.6,1331.2,1357.3,1373.6,1402.5,1429.3,1458.3,1480.4,1441.7,1424.4,1429.3
"31","23","Government social benefit payments to persons","B109RC1",220.4,220.7,220.7,208.8,218.2,232.2,224.8,221.7,226,223.7,228,232.4,232.1,235.3,233.9,241.7,247.8,246.4,255,260.2,260.1,269.4,277.2,279.1,290.4,308,295.8,326,325.4,326.2,334.2,346.2,346.1,347.6,361.9,358.1,375.3,386.1,384.3,391.4,397.3,410.1,405,406.6,392.2,399.4,412.6,407.4,439.5,422.6,430.2,442.4,448.2,454,459.7,458.3,465.7,477.5
"32","24","Interest payments \1\","B111RC1",62.5,63,63.8,64.7,65.8,66.9,67.8,68.8,69.7,70.3,71,71.5,72.1,72.3,72.9,73.8,74,74.9,75.6,76.4,77.2,78.1,79.2,80.5,81.9,82.8,83.3,83.8,83.6,83.3,83.4,83.7,84.6,85.1,85.4,85.5,85.4,85.6,85.6,85.9,86,86.5,87.6,89.1,91,92.6,94.5,94,97,97.8,99.2,100.8,102.4,104.5,104.3,104.7,106,107
"33","25","Subsidies","B114RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,8.1,14.4,4.8,3.4,1.8,0.6,1.7,-0.4,0.1,0.3,-1,0.9,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.9,10.7,8.8,7.2,4,2.9,2.1,2.8,2,1.4
"34","26","Less: Wage accruals less disbursements","B116RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","27","    Net state and local government saving","A924RC1",10.9,-2.3,9.3,18.9,20.5,18.6,25.1,27.8,30,33.1,40.4,41.7,45.6,42.5,45,54.4,44.1,37.4,41.6,44.2,51.2,52.8,38.6,22.6,15,-5.7,-22.9,-50,-55.9,-57.9,-47,-55.6,-81.3,-52.3,-25.5,3.8,-22.7,-21,-3.6,13.8,25.2,18.9,25.3,34.4,62.6,63.2,42.4,35.9,32.8,34.9,20.3,-1.3,-20.1,-25.5,-59,-56.1,-36.6,NA
"36","28","Social insurance funds","B118RC1",4.4,4.2,4,3.7,3.4,3.1,2.6,2.1,1.5,1.1,1,1,1.4,1.7,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.8,2,2.3,2.7,2.8,2.7,2.3,1.7,1.4,1.4,1.6,2.2,2.9,3.7,4.8,5.9,6.8,7.3,7.6,7.7,7.7,7.4,6.8,6,5.1,4.2,3.4,2.5,1.9,1.5,1.4,1.5,1.8,2.1,2.5,2.1,1.9
"37","29","Other","B119RC1",6.5,-6.5,5.3,15.2,17.1,15.5,22.4,25.7,28.5,32,39.4,40.6,44.2,40.9,43.2,52.6,42.3,35.7,39.9,42.5,49.4,50.9,36.5,20.2,12.4,-8.5,-25.6,-52.3,-57.6,-59.2,-48.4,-57.2,-83.5,-55.2,-29.3,-1,-28.6,-27.8,-10.9,6.2,17.5,11.2,17.9,27.6,56.6,58.1,38.1,32.6,30.2,33,18.8,-2.8,-21.6,-27.3,-61.1,-58.5,-38.7,NA
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","30","  Total receipts","W077RC1",1017.4,1014,1030.3,1035.2,1057.3,1078.1,1084.2,1096.2,1112.2,1121.1,1143.3,1162.1,1173.9,1186.6,1203.7,1237.3,1246,1261.6,1294.7,1318.7,1342,1366.6,1374.4,1382.4,1415.7,1438.8,1420.4,1425.9,1436.3,1447.3,1480.9,1495.8,1486.8,1527.8,1573.8,1602.7,1605.9,1629.4,1650.6,1708.2,1743.3,1769.9,1801.1,1806.6,1857,1887.6,1901.7,1902,1954.6,1983.3,1995.7,2012,2021.5,2054.9,2051.6,2015.6,2017.7,NA
"40","31","    Current receipts","W023RC1",984.6,980.9,998.8,1003.2,1022.8,1044.7,1051.3,1061.5,1077.7,1085.8,1107.7,1126.7,1139.9,1152.2,1167.3,1198.6,1210.3,1221.5,1252.9,1277,1299.1,1323.4,1331.6,1336.2,1368.3,1388.7,1363.7,1375.4,1381,1395.2,1429.5,1445.1,1441,1473.2,1519.2,1551.8,1555.2,1580.2,1610.7,1657.7,1690.8,1714.3,1741.3,1775.4,1800.6,1830.3,1842.5,1845.3,1902.3,1923.4,1932.1,1951.6,1963.7,1994.2,1987.5,1951.4,1961.4,NA
"41","32","    Capital transfer receipts","AD06RC1",32.8,33.1,31.5,32,34.5,33.4,32.8,34.6,34.5,35.3,35.6,35.5,34,34.4,36.4,38.7,35.6,40.1,41.8,41.7,42.9,43.2,42.8,46.2,47.4,50.2,56.7,50.4,55.3,52.1,51.4,50.7,45.8,54.5,54.6,50.9,50.7,49.1,39.8,50.5,52.5,55.6,59.8,31.3,56.4,57.3,59.2,56.7,52.3,60,63.6,60.5,57.8,60.7,64.1,64.1,56.3,61.5
"42","33","  Total expenditures","W079RC1",1049.9,1062.6,1066.4,1061.6,1077.5,1105,1110.1,1126,1145.7,1148.1,1158.9,1172.8,1180.2,1204.1,1226.9,1250.6,1275.8,1293.5,1322.7,1351.4,1372.7,1391.2,1415.3,1438.6,1482.6,1538,1511.9,1565.5,1581,1594.1,1618.6,1644.4,1665,1665.6,1692.3,1692.6,1720.8,1748,1757.8,1784.3,1803.7,1836.2,1857,1887.8,1883.3,1922.3,1955.6,1964.4,2034.1,2057.3,2081.8,2125.3,2151.9,2193.1,2219.3,2173.2,2159.2,2185.1
"43","34","    Current expenditures","W024RC1",973.7,983.3,989.5,984.3,1002.3,1026.1,1026.3,1033.7,1047.7,1052.7,1067.4,1085,1094.3,1109.6,1122.2,1144.2,1166.3,1184,1211.3,1232.8,1248,1270.7,1293.1,1313.6,1353.2,1394.4,1386.6,1425.5,1436.8,1453.1,1476.5,1500.7,1522.3,1525.5,1544.7,1548,1577.9,1601.2,1614.3,1643.9,1665.6,1695.4,1716,1741,1738,1767,1800.1,1809.4,1869.5,1888.4,1911.7,1952.9,1983.8,2019.8,2046.5,2007.5,1998,2015.2
"44","35","    Gross government investment","A799RC1",150.9,155.3,154,155.6,154.9,159.5,165.6,175.1,182.2,180.8,177.7,175,173.5,182.4,193.5,196.3,200.6,202.1,205.5,214.7,223,221.1,224.4,228.5,233.9,249,231.6,247.5,252.8,251.1,253.3,256.1,256.9,255.3,263.9,262.2,262.6,270,271.3,272.5,272.6,278.9,283.1,291.6,291.6,305.6,308.5,311.8,325.4,332,335.9,341.4,340.8,349.2,352.7,350,347.9,356.3
"45","36","    Capital transfer payments","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","37","    Net purchases of nonproduced assets","AD09RC1",6.6,6.6,6.6,6.5,6.3,6.1,5.9,5.8,5.6,5.6,5.9,6.3,6.9,7.4,7.9,8.2,8.5,8.7,8.7,8.6,8.4,8.4,8.6,8.9,9.5,10,10.4,10.7,11,11.2,11.3,11.4,11.4,11.4,11.4,11.5,11.6,11.5,11.3,11,10.5,10.2,10.1,10.2,10.5,10.8,11.3,11.9,12.7,13.1,13.4,13.4,13.1,12.9,12.9,12.9,13.1,13.2
"47","38","    Less: Consumption of fixed capital","A919RC1",81.3,82.6,83.7,84.9,85.9,86.7,87.7,88.7,89.8,91,92,93.5,94.4,95.3,96.8,98.2,99.5,101.3,102.8,104.8,106.7,109,110.8,112.4,114,115.4,116.6,118.1,119.6,121.2,122.6,123.7,125.5,126.6,127.8,129.1,131.3,134.7,139.1,143.2,145,148.3,152.2,154.9,156.8,161.2,164.2,168.7,173.4,176.3,179.2,182.4,185.8,188.9,192.8,197.2,199.8,199.7
"48","39","  Net lending or net borrowing (-)","AD03RC1",-32.5,-48.6,-36.1,-26.4,-20.2,-26.9,-26,-29.8,-33.5,-27,-15.6,-10.7,-6.4,-17.5,-23.1,-13.2,-29.9,-32,-28,-32.7,-30.7,-24.6,-40.9,-56.2,-66.9,-99.1,-91.5,-139.7,-144.6,-146.8,-137.7,-148.6,-178.2,-137.8,-118.4,-89.9,-114.9,-118.7,-107.2,-76.1,-60.4,-66.4,-55.9,-81.2,-26.3,-34.7,-53.9,-62.4,-79.5,-74,-86.1,-113.2,-130.4,-138.2,-167.7,-157.6,-141.5,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","net of interest payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
