"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"20","10","      Food and beverages purchased for off-premises consumption","DFXARS2",0.13,0.2,0.07,0.11,0.18,0.24,0.25,0.2,0.02,0.04,0.08,0.05,0.07,0.05,0.08,0.12,0.09,0.06,0.08,0.12,0.12,0.14,0.2,0.08,0.2,0.14,0.18,0.09,0.12,0.01,-0.02,0.05,0.12,0.13,0.17,0.24,0.09,0.22,0.09,0.15,-0.06,0.21,0.02,0.12,0.09,0,0.14,0.11,0.25,0.27,0.2,0.21,0.26,0.4,0.46,0.24,-0.06,-0.2
"21","11","      Clothing and footwear","DCLORS2",-0.13,-0.07,-0.02,-0.01,0,-0.05,-0.17,0.05,0.03,0.14,-0.12,-0.05,-0.13,-0.06,0.07,-0.09,-0.15,0.07,-0.05,0.02,-0.07,-0.07,-0.02,0,0.02,-0.15,-0.1,-0.11,-0.04,-0.02,-0.05,-0.08,-0.11,-0.1,0.05,0,-0.04,0.05,-0.03,-0.02,0,-0.04,-0.06,-0.02,-0.03,0.09,-0.03,-0.01,0.01,-0.09,-0.07,0.03,-0.02,-0.07,0.1,-0.1,0.08,0.02
"22","12","      Gasoline and other energy goods","DGOERS2",-0.07,0.01,-0.09,-0.12,0.34,0.4,-0.22,0.28,0.13,-0.48,0.07,0.02,-0.58,-0.28,-0.03,-0.13,-0.17,0.65,0.48,0.35,0.79,0.23,0.21,0.09,-0.19,0.28,-0.52,-0.93,-0.25,0.69,0.17,0.32,1.06,-1.03,0.55,0.08,0.67,0.18,0.27,0.87,-0.07,0.06,1.83,0.15,-0.17,0.52,0.48,-1.3,0.47,0.75,0.07,1.26,0.72,0.48,0.92,-3.94,-1.52,0.21
"23","13","      Other nondurable goods","DONGRS2",0.04,0.09,0.17,0.12,0.09,0.07,0.04,0.05,0.07,0.11,-0.07,0.04,0.13,0.15,0.1,0.17,0.41,0.09,0.13,0.06,0.1,0.23,0.09,0.03,0.14,0.15,0.19,0.06,0.05,0.15,0.06,-0.05,-0.02,0,0.08,-0.04,0.13,0.1,0.02,0.12,0.06,0.06,0.12,0.14,0.13,0.12,0.07,0.01,0.12,0.02,0.08,0.14,0.17,0.11,0.11,0.17,0.28,0.53
"24","14","  Services","DSERRS2",1.31,1.34,1.09,1.13,0.92,1.3,1.4,1.41,1.25,1.22,1,1.07,0.85,0.98,0.9,0.98,0.93,0.81,0.9,1.11,1.6,0.71,1.28,1.37,1.89,1.13,0.56,1.23,1.09,1.48,1.4,1.3,1.36,1.57,1.26,1.29,1.42,1.47,1.55,1.03,1.69,1.43,1.39,2.02,1.21,1.41,1.43,1.31,1.76,1.27,1.45,1.79,1.25,1.74,1.57,0.43,0.34,0.33
"25","15","    Household consumption expenditures","DHCERS2",1.39,1.32,1.06,1.14,0.9,1.23,1.36,1.36,1.18,1.21,0.9,0.95,0.75,0.87,0.85,0.98,0.92,0.73,0.8,1,1.57,0.54,1.26,1.27,1.76,1.07,0.52,1.28,1.03,1.41,1.46,1.36,1.35,1.65,1.24,1.3,1.49,1.4,1.5,1.06,1.57,1.4,1.24,1.93,1.22,1.4,1.44,1.31,1.7,1.26,1.39,1.84,1.23,1.69,1.51,0.48,0.44,0.32
"26","16","      Housing and utilities","DHUTRS2",0.38,0.32,0.34,0.39,0.38,0.36,0.32,0.3,0.4,0.22,0.34,0.33,0.16,0.33,0.29,0.29,0.26,0.24,0.29,0.31,0.42,0.37,0.52,0.56,0.87,0.44,0.34,0.3,0.38,0.36,0.31,0.4,0.51,0.37,0.24,0.25,0.3,0.37,0.39,0.28,0.36,0.4,0.48,0.83,0.45,0.35,0.53,0.42,0.53,0.37,0.26,0.43,0.4,0.6,0.53,0.09,0.17,-0.05
"27","17","      Health care","DHLCRS2",0.47,0.24,0.2,0.3,0.18,0.23,0.2,0.24,0.15,0.23,0.14,0.07,0.21,0.24,0.16,0.2,0.22,0.16,0.2,0.23,0.29,0.17,0.41,0.25,0.36,0.3,0.24,0.25,0.12,0.28,0.4,0.36,0.31,0.47,0.35,0.4,0.4,0.33,0.26,0.26,0.39,0.28,0.27,0.39,0.19,0.34,0.36,0.24,0.57,0.23,0.28,0.42,0.18,0.25,0.28,0.23,0.27,0.27
"28","18","      Transportation services","DTRSRS2",0.03,0.16,0.08,0.01,-0.1,0.09,0.08,0.11,-0.02,0.08,0.03,0.09,0.04,-0.01,0.07,0.01,0.02,0.07,0.03,0.06,0.08,0.1,0.09,0.1,0,-0.02,-0.03,0,0.01,0.09,-0.01,0.04,0.05,0.07,0.07,0.04,0.01,-0.03,0.07,0.07,0.09,0.08,0.1,0.16,0.1,0.07,0.04,0,0.06,0.03,0.09,0.1,0.11,0.16,0.13,0.07,0.04,-0.04
"29","19","      Recreation services","DRCARS2",0.06,0.07,0.05,0.08,0.08,0.09,0.09,0.09,0.08,0.08,0.06,0.03,0.07,0.06,0.06,0.07,0.08,0.09,0.08,0.1,0.11,0.07,0.14,0.07,0.08,0.09,0.05,0.07,0.06,0.1,0.06,0.08,0.1,0.05,0.07,0.05,0.08,0.07,0.06,0.07,0.06,0.05,0.1,0.11,0.06,0.09,0.09,0.04,0.07,0.09,0.03,0.11,0.09,0.07,0.11,-0.03,0.02,-0.01
"30","20","      Food services and accommodations","DFSARS2",0.08,0.16,0.1,0.08,0.08,0.15,0.12,0.15,0.11,0.1,0.1,0.14,0.09,0.1,0.09,0.15,0.07,0.1,0.11,0.1,0.13,0.1,0.13,0.09,0.12,0.12,0.12,0.07,0.12,0.07,0.09,0.09,0.05,0.08,0.11,0.13,0.12,0.17,0.15,0.12,0.15,0.1,0.07,0.16,0.15,0.15,0.11,0.12,0.16,0.17,0.19,0.12,0.14,0.14,0.21,0.14,0.07,0.06
"31","21","      Financial services and insurance","DIFSRS2",0.21,0.16,0.19,0.18,0.14,0.16,0.34,0.26,0.37,0.31,0.18,0.26,0.12,-0.05,0.07,0.07,0.12,-0.02,0,0.05,0.42,-0.33,-0.09,0.04,0.14,-0.03,-0.52,0.36,0.17,0.34,0.2,0.26,0.1,0.39,0.21,0.21,0.37,0.31,0.32,0.13,0.26,0.19,0.05,0.13,0.05,0.18,0.11,0.33,0.2,0.16,0.35,0.45,0.03,0.13,0.03,-0.13,-0.21,0.02
"32","22","      Other services","DOTSRS2",0.16,0.21,0.1,0.09,0.15,0.15,0.21,0.22,0.1,0.18,0.07,0.02,0.07,0.21,0.11,0.19,0.14,0.08,0.1,0.16,0.14,0.05,0.08,0.15,0.2,0.17,0.32,0.24,0.17,0.17,0.41,0.13,0.23,0.22,0.18,0.22,0.2,0.18,0.24,0.14,0.27,0.29,0.16,0.15,0.22,0.22,0.2,0.17,0.11,0.21,0.18,0.2,0.28,0.35,0.23,0.11,0.08,0.07
"33","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRS2",-0.08,0.02,0.03,-0.01,0.01,0.07,0.03,0.05,0.07,0.01,0.09,0.12,0.1,0.11,0.05,0,0.01,0.08,0.1,0.11,0.03,0.17,0.01,0.1,0.13,0.05,0.03,-0.06,0.06,0.07,-0.06,-0.06,0.01,-0.08,0.02,-0.02,-0.07,0.07,0.05,-0.03,0.11,0.03,0.15,0.09,-0.02,0.02,-0.01,0.01,0.07,0.01,0.06,-0.05,0.02,0.04,0.06,-0.05,-0.09,0
"34","24","Gross private domestic investment","A006RS2",0.29,0.22,0.08,-0.02,-0.22,-0.18,0.21,-0.06,-0.11,-0.1,-0.02,-0.08,-0.36,-0.17,-0.04,0,0.12,0,-0.08,0.1,0.41,0.21,0.32,0.12,0.01,0.2,0.26,-0.03,-0.06,-0.04,-0.04,0.43,0.37,-0.11,0.17,0.53,0.62,0.75,0.69,0.62,0.77,0.71,0.87,0.91,0.75,0.56,0.39,0.59,0.43,0.12,0.18,0.24,-0.14,0.17,0.38,0.74,-0.22,-0.28
"35","25","  Fixed investment","A007RS2",0.27,0.22,0.11,0.03,-0.16,-0.16,0.21,-0.01,-0.08,-0.05,0.05,-0.06,-0.28,-0.13,0,0.01,0.16,0.04,-0.06,0.1,0.41,0.23,0.32,0.15,0.02,0.25,0.28,-0.02,-0.07,-0.01,0,0.46,0.42,-0.1,0.18,0.54,0.61,0.73,0.67,0.59,0.75,0.71,0.9,0.91,0.75,0.57,0.39,0.58,0.42,0.13,0.12,0.17,-0.1,0.17,0.36,0.19,-0.27,-0.31
"36","26","    Nonresidential","A008RS2",0.06,0.15,0.04,-0.06,-0.22,-0.23,0.02,-0.09,-0.16,-0.13,-0.09,-0.18,-0.33,-0.24,-0.17,-0.15,-0.02,-0.16,-0.21,-0.04,0.1,0.06,0.18,0,-0.21,0.04,-0.01,-0.15,-0.03,-0.1,-0.07,0.14,-0.01,-0.11,0.05,0.16,0.11,0.27,0.21,0.25,0.46,0.33,0.28,0.46,0.34,0.33,0.31,0.41,0.35,0.18,0.1,0.14,-0.04,0.23,0.48,0.48,-0.13,-0.37
"37","27","      Structures","A009RS2",0.13,0.07,0.12,0.09,0.01,0.04,0.14,0.08,0.11,0.11,0.13,0.14,0.17,0.13,0.1,0.1,0.09,0.08,0.08,0.1,0.14,0.11,0.13,0.15,0.18,0.19,0.2,0.07,0.1,0.11,0.09,0.11,0.12,0.01,0.07,0.13,0.2,0.22,0.28,0.31,0.32,0.29,0.4,0.45,0.3,0.31,0.24,0.35,0.3,0.13,0.12,0.13,0.02,0.11,0.26,0.31,-0.14,-0.34
"38","28","      Equipment and software","A010RS2",-0.06,0.07,-0.08,-0.15,-0.23,-0.28,-0.12,-0.17,-0.28,-0.23,-0.22,-0.32,-0.49,-0.37,-0.27,-0.25,-0.11,-0.24,-0.3,-0.14,-0.04,-0.05,0.05,-0.15,-0.4,-0.15,-0.22,-0.22,-0.14,-0.22,-0.16,0.03,-0.12,-0.11,-0.02,0.03,-0.09,0.05,-0.06,-0.06,0.14,0.04,-0.12,0.01,0.04,0.02,0.08,0.06,0.05,0.05,-0.02,0.01,-0.07,0.12,0.22,0.17,0.01,-0.03
"39","29","        Information processing equipment and software","A679RS2",-0.1,-0.11,-0.21,-0.26,-0.3,-0.37,-0.24,-0.25,-0.3,-0.27,-0.31,-0.31,-0.47,-0.38,-0.33,-0.32,-0.22,-0.24,-0.22,-0.17,-0.09,-0.09,-0.01,-0.12,-0.37,-0.17,-0.32,-0.22,-0.18,-0.21,-0.12,-0.11,-0.15,-0.09,-0.17,-0.21,-0.11,-0.1,-0.08,-0.15,-0.07,-0.09,-0.11,-0.09,-0.06,-0.04,-0.05,-0.06,-0.06,-0.04,-0.07,-0.04,-0.09,0.01,-0.03,-0.08,-0.09,-0.08
"40","30","          Computers and peripheral equipment","B935RS2",-0.14,-0.14,-0.21,-0.23,-0.3,-0.32,-0.21,-0.22,-0.25,-0.23,-0.26,-0.25,-0.36,-0.32,-0.31,-0.3,-0.26,-0.24,-0.2,-0.13,-0.11,-0.13,-0.1,-0.11,-0.33,-0.14,-0.15,-0.14,-0.09,-0.06,-0.09,-0.09,-0.09,-0.06,-0.05,-0.05,-0.04,-0.04,-0.07,-0.07,-0.09,-0.08,-0.09,-0.09,-0.07,-0.09,-0.08,-0.06,-0.06,-0.07,-0.09,-0.06,-0.1,-0.05,-0.05,-0.04,-0.05,-0.05
"41","31","          Software \1\","B985RS2",0.02,0.01,-0.01,-0.02,-0.03,-0.04,-0.04,-0.03,-0.03,-0.02,-0.05,-0.05,-0.07,-0.02,-0.01,-0.02,0.05,0.04,0.03,0.02,0.05,0.08,0.11,0.01,-0.02,0.03,-0.09,0.01,-0.03,-0.08,0.01,-0.02,-0.06,0,-0.06,-0.11,-0.03,-0.02,0,-0.07,0.02,0,-0.01,0,0.03,0.05,0.02,0,0,0.01,0.01,0.03,0.01,0.04,0.02,-0.04,-0.03,-0.02
"42","32","          Other","A937RS2",0.02,0.02,0.01,0,0.03,-0.01,0.01,0,-0.02,-0.02,0.01,-0.01,-0.04,-0.03,-0.01,0,-0.01,-0.04,-0.05,-0.05,-0.03,-0.04,-0.01,-0.01,-0.01,-0.06,-0.08,-0.09,-0.07,-0.07,-0.04,-0.01,0.01,-0.03,-0.06,-0.05,-0.05,-0.03,-0.01,-0.01,0,-0.01,-0.01,0,-0.02,0,0.01,0,0,0.02,0,0,-0.01,0.02,0,0,-0.01,0
"43","33","        Industrial equipment","A680RS2",0.05,0.1,0.05,0.04,0.04,0.02,0.03,0.03,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.01,0.01,0.02,0.01,0.01,0.01,0,0.01,0.01,-0.01,0.01,-0.01,0,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.05,0.05,0.02,0.04,0.03,0.04,0.06,0.04,0.05,0.04,0.03,0.04,0.04,0.07,0.08,0.01,-0.01,0
"44","34","        Transportation equipment","A681RS2",-0.04,0.03,0.05,0.02,-0.01,0.06,0.06,0.02,0.01,0.03,0.08,-0.04,-0.07,-0.03,0.01,0.03,0.08,0.01,-0.09,0.01,0.03,0.01,0.03,-0.05,-0.07,0,0.1,-0.04,0.05,0,-0.08,0.12,0.01,-0.05,0.13,0.23,0.01,0.04,-0.04,0,0.07,0.02,-0.08,0.05,0.03,0.01,0.01,0.03,0.05,0.03,0,-0.03,-0.03,0.02,0.05,0.04,0.09,0.06
"45","35","        Other equipment","A862RS2",0.03,0.05,0.03,0.05,0.04,0.02,0.03,0.03,0.01,0.01,0,0.02,0.03,0.02,0.03,0.03,0.02,0.01,0,0,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.03,0.01,-0.01,0.02,0.02,0.01,0.02,0.01,0,-0.03,0.06,0.02,0.04,0.08,0.07,0.04,0.02,0.03,0.01,0.05,0.05,0.01,0.02,0.02,0.04,0.01,0.02,0.11,0.2,0.02,-0.01
"46","36","    Residential","A011RS2",0.2,0.08,0.07,0.09,0.06,0.08,0.19,0.08,0.08,0.08,0.14,0.12,0.05,0.11,0.17,0.16,0.17,0.19,0.15,0.14,0.31,0.17,0.14,0.14,0.23,0.21,0.3,0.13,-0.04,0.1,0.07,0.31,0.42,0.01,0.13,0.38,0.5,0.46,0.46,0.34,0.28,0.38,0.62,0.45,0.42,0.24,0.08,0.17,0.07,-0.05,0.02,0.03,-0.06,-0.06,-0.12,-0.29,-0.14,0.06
"47","37","  Change in private inventories","A014RS2",0.03,0,-0.02,-0.05,-0.05,-0.02,0.01,-0.05,-0.03,-0.05,-0.06,-0.03,-0.08,-0.04,-0.04,-0.02,-0.03,-0.04,-0.02,0,-0.01,-0.02,0,-0.03,0,-0.05,-0.02,-0.01,0.01,-0.03,-0.04,-0.03,-0.05,-0.01,-0.02,-0.01,0.02,0.02,0.02,0.03,0.03,0,-0.03,0,0,-0.01,0.01,0.01,0,0,0.05,0.07,-0.03,0,0.02,0.55,0.05,0.03
"48","38","    Farm","B018RS2",0,-0.02,-0.02,-0.03,-0.01,0.01,-0.02,-0.05,0,0,-0.01,0,-0.01,0,0,0,-0.01,0,0,0,0,-0.01,0,0,0,0,0,0,0,0.01,-0.02,0,0,0,0,0,0,0,-0.02,0,0.01,0,0,0,0,0,-0.01,-0.01,0,0,0,-0.01,-0.01,-0.01,0,0.01,0,0
"49","39","    Nonfarm","A015RS2",0.03,0.02,0,-0.02,-0.05,-0.02,0.02,0,-0.03,-0.05,-0.05,-0.03,-0.07,-0.03,-0.04,-0.01,-0.02,-0.03,-0.02,0,0,-0.01,0,-0.03,-0.01,-0.05,-0.02,-0.01,0.01,-0.04,-0.02,-0.03,-0.05,-0.01,-0.01,-0.01,0.01,0.02,0.04,0.03,0.02,0,-0.03,0,0,0,0.01,0.02,0,0,0.06,0.08,-0.02,0.02,0.02,0.54,0.05,0.03
"50","40","Government consumption expenditures and gross investment","A822RS2",0.61,0.38,0.28,0.68,0.79,-0.2,0.36,0.47,0.49,0.15,0.19,0.44,0.05,0.16,0.33,0.36,0.65,0.7,0.63,0.63,0.97,0.34,0.72,0.61,0.51,0.31,0.26,0.14,0.77,0.49,0.42,0.83,1.63,0.2,0.4,0.35,1.2,0.88,0.89,1.05,1.28,0.79,1.05,0.87,0.94,0.98,0.55,0.42,1.24,0.83,0.48,0.99,1.11,1.14,0.8,-1.15,-0.21,0.12
"51","41","  Federal","A823RS2",0.33,0.04,0.1,0.51,0.36,-0.24,0.1,0.17,0.25,0.03,0.03,0.13,0.08,0.04,0.07,0.04,0.29,0.13,0.13,0.16,0.41,-0.07,0.29,0.1,0.1,0.06,0.13,0.14,0.57,0.06,0.01,0.29,0.71,0.07,0.08,0.09,0.74,0.34,0.17,0.19,0.75,0.14,0.2,0.08,0.62,0.28,0.08,0.03,0.54,0.23,0.04,0.17,0.37,0.3,0.14,-0.3,0.12,0.05
"52","42","    National defense","A824RS2",0.18,0.05,0.08,0.19,0.34,-0.08,0.07,0.1,0.14,0,0,0.06,0.08,0.02,0.03,0.05,0.19,0.07,0.07,0.08,0.3,-0.01,0.14,0.04,0.12,0.02,0.09,0.07,0.33,0.07,0.04,0.27,0.42,0.05,0.07,0.08,0.45,0.23,0.13,0.16,0.54,0.1,0.13,0.07,0.44,0.2,0.07,0.01,0.36,0.18,0.05,0.15,0.24,0.26,0.11,-0.31,0.05,0.03
"53","43","      Consumption expenditures","A997RS2",0.17,0.02,0.08,0.16,0.27,0.05,0.08,0.11,0.14,-0.01,0.01,0.06,0.09,0.02,0.04,0.04,0.17,0.07,0.07,0.07,0.3,0,0.14,0.04,0.13,0.02,0.1,0.09,0.33,0.07,0.04,0.26,0.42,0.05,0.07,0.07,0.43,0.21,0.12,0.14,0.52,0.1,0.13,0.06,0.43,0.18,0.05,0.02,0.35,0.17,0.04,0.14,0.23,0.24,0.1,-0.31,0.06,0.03
"54","44","      Gross investment","A788RS2",0.01,0.03,0,0.03,0.06,-0.13,-0.01,0,0,0,-0.01,0,-0.01,0.01,-0.01,0.01,0.02,0,0,0.01,0,-0.01,0,0,-0.01,0,-0.01,-0.03,0,0,0,0.01,0,0,0,0,0.02,0.02,0.01,0.02,0.02,0,0,0.01,0.01,0.02,0.02,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0,-0.01,0
