"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Durable goods","DDURRA3",45.091,45.55,46.836,47.649,48.167,49.699,50.051,51.028,52.411,52.242,54.571,55.964,56.433,59.31,61.022,64.644,64.804,67.921,69.575,70.44,74.402,73.063,74.327,74.873,76.143,76.105,77.026,83.497,82.541,83.409,85.851,84.719,84.8,88.116,91.652,92.244,93.265,93.919,95.768,97.34,97.992,100.733,101.917,99.359,103.327,103.064,104.216,105.647,107.074,107.634,109.001,110.464,107.931,106.354,103.083,97.401,98.345,96.56
"12","4","    Motor vehicles and parts","DMOTRA3",61.408,61.359,62.878,63.948,64.608,65.615,65.463,66.01,68.959,66.607,70.966,72.864,70.749,76.205,77.244,84.412,80.466,86.197,86.455,83.899,91.028,84.49,85.988,86.236,88.641,87.147,88.188,101.537,94.304,94.828,100.796,94.829,94.911,98.951,101.913,99.963,99.896,99.472,100.649,101.616,99.801,103.425,104.373,92.401,95.998,95.997,97.729,97.569,98.223,98.636,97.771,98.269,93.842,88.233,82.459,74.747,75.971,73.595
"13","5","    Furnishings and durable household equipment","DFDHRA3",49.566,50.007,50.74,51.336,50.921,52.752,52.78,53.933,54.114,54.324,55.534,56.27,57.757,58.664,60.018,61.965,63.77,65.28,67.436,69.558,71.306,72.678,73.642,74.075,75.182,75.857,76.587,78.906,81.403,82.101,81.982,83.388,83,86.044,89.513,91.021,92.23,93.488,95.607,96.57,97.389,98.905,100.563,103.144,105.833,104.655,105.178,105.64,107.649,106.565,107.451,108.237,106.436,107.088,103.967,100.103,98.3,96.302
"14","6","    Recreational goods and vehicles","DREQRA3",23.489,24.206,25.663,26.332,26.987,28.479,29.305,30.347,31.309,32.617,33.966,35.131,36.857,38.684,41.177,43.079,45.055,47.247,49.621,51.967,55.275,56.069,57.52,58.802,59.786,61.476,62.906,66.117,68.516,69.613,70.549,72.014,72.878,76.031,80.594,82.953,85.268,87.12,90.126,92.759,96.119,98.82,100.655,104.406,110.281,110.961,113.057,118.28,120.946,122.984,127.949,132.402,131.804,135.239,134.371,129.982,132.895,131.537
"15","7","    Other durable goods","DODGRA3",53.957,54.471,54.676,55.311,56.402,58.191,58.581,59.753,60.018,60.007,61.468,63.093,64.463,66.701,67.993,69.456,72.366,73.339,75.541,79.422,79.827,82.38,82.85,82.326,81.205,79.255,78.718,81.172,83.404,84.995,85.605,87.528,86.455,88.399,91.166,93.28,94.032,93.816,94.325,96.379,97.892,100.38,99.774,101.954,105.385,104.059,102.602,102.801,102.868,104.038,105.847,105.612,103.667,100.455,99.769,94.384,96.05,95.633
"16","8","  Nondurable goods","DNDGRA3",72.553,72.909,73.168,73.546,74.022,74.973,75.506,76.118,76.581,76.623,77.856,78.404,78.983,79.959,80.548,81.65,83.158,83.939,84.338,86.066,85.323,87.027,87.619,88.475,87.959,88.379,88.807,89.576,89.94,90.055,90.311,91.455,92.435,92.864,94.686,95.066,95.962,96.217,96.921,97.925,99.045,99.65,100.174,101.132,101.793,102.191,102.851,104.383,105.177,104.961,105.507,105.973,105.165,105.738,104.219,102.929,103.405,102.74
"17","9","    Food and beverages purchased for off-premises consumption","DFXARA3",82.69,82.286,82.296,82.654,83.029,83.42,83.263,83.528,84.117,83.677,84.174,84.175,84.097,84.778,85.352,85.945,86.957,87.824,88.58,89.945,89.047,90.364,90.482,91.365,91.038,91.639,91.319,91.475,91.095,91.243,91.601,92.384,93.626,92.806,94.207,93.733,95.414,95.585,96.106,97.385,98.738,99.04,100.74,101.482,101.752,102.879,103.247,104.892,105.38,104.685,105.138,106.248,106.468,106.602,105.199,103.214,103.371,104.522
"18","10","    Clothing and footwear","DCLORA3",62.633,63.296,64.432,64.494,64.936,66.539,67.657,68.084,68.114,67.506,69.75,70.633,72.142,73.354,72.821,74.512,77.205,77.871,78.389,78.591,79.872,81.602,82.493,83.191,81.856,82.39,82.293,83.712,84.66,84.699,84.184,86.818,86.904,89.305,91.529,91.544,93.935,92.814,94.079,96.013,97.429,99.719,99.845,103.007,104.42,103.683,105.126,106.971,108.986,108.812,110.063,110.658,110.208,112.058,108.808,106.292,105.841,103.983
"19","11","    Gasoline and other energy goods","DGOERA3",86.63,87.331,86.355,86.542,87.713,88.275,88.302,88.054,88.633,89.867,90.263,90.691,91.462,92.923,93.8,94.185,94.819,96.936,95.767,96.249,92.8,94.578,94.985,94.412,94.827,93.625,95.375,95.667,95.333,96.466,97.014,96.962,97.139,98.211,100.04,101.107,100.667,100.891,100.253,100.425,101.649,100.519,99.302,98.53,97.245,97.509,98.414,98.373,98.899,98.829,98.902,97.942,95.981,95.103,91.883,94.226,96.186,95.874
"20","12","    Other nondurable goods","DONGRA3",63.983,64.758,65.023,65.657,66.051,67.218,68.184,69.474,70.043,70.607,72.141,73.036,73.63,74.611,75.796,77.182,78.647,79.088,79.474,82.69,81.763,83.772,84.693,86.055,85.5,86.199,87.185,88.326,89.272,89.133,89.588,90.669,92.081,92.529,94.543,95.693,95.56,96.559,97.656,98.271,98.981,99.785,100.116,101.118,102.759,103.03,103.496,105.568,106.263,106.428,106.979,107.483,106.117,107.441,107.662,105.524,106.094,103.95
"21","13","Services","DSERRA3",72.394,73.048,73.569,73.985,74.709,75.206,75.608,76.053,76.671,77.191,78.109,78.904,79.782,80.755,81.736,82.305,83.001,83.939,84.947,85.988,87.289,88.303,89.122,89.904,90.327,90.71,90.954,91.359,91.951,92.436,92.761,93.125,93.503,93.971,94.614,95.168,96.052,96.633,97.294,98.359,98.978,99.7,100.384,100.937,101.67,102.421,102.945,103.731,104.641,105.068,105.403,105.477,105.953,106.047,105.697,105.837,105.761,105.783
"22","14","  Household consumption expenditures (for services)","DHCERA3",72.707,73.363,73.893,74.274,74.939,75.422,75.819,76.351,77.141,77.7,78.656,79.447,80.275,81.201,82.119,82.611,83.313,84.266,85.291,86.337,87.589,88.632,89.36,90.073,90.495,90.82,91.013,91.356,91.903,92.318,92.503,92.782,93.185,93.619,94.298,94.888,95.792,96.431,97.137,98.222,98.95,99.696,100.422,100.931,101.577,102.19,102.538,103.345,104.335,104.848,105.04,104.949,105.357,105.427,104.957,104.983,105.174,105.276
"23","15","    Housing and utilities","DHUTRA3",76.912,77.839,78.614,78.699,79.499,79.654,79.488,80.2,80.468,81.178,81.675,82.776,82.908,83.935,84.614,84.587,85.557,86.439,87.348,87.317,87.699,88.845,89.625,91.081,91.575,91.503,91.895,91.836,91.843,92.241,92.406,92.973,93.219,93.404,93.408,94.031,94.54,95.05,95.569,97.132,98.342,99.677,100.721,101.26,101.017,102.211,102.825,102.509,102.938,102.989,103.268,103.178,103.853,104.072,103.71,104.64,104.676,104.46
"24","16","    Health care","DHLCRA3",71.452,71.782,72.214,72.555,72.587,73.301,73.574,74.496,74.897,75.301,76.082,76.805,77.763,78.133,78.491,78.543,78.712,79.024,79.665,80.419,80.888,81.957,82.514,83.384,84.587,85.546,86.807,88.194,89.932,91.213,91.918,92.398,92.828,93.077,93.638,94.154,94.792,95.816,97.085,97.927,99.126,99.63,100.408,100.836,101.624,101.77,101.506,102.412,103.735,104.238,104.682,105.441,107.071,107.77,107.614,108.088,108.993,109.583
"25","17","    Transportation services","DTRSRA3",72.993,73.81,75.379,77,78.916,80.154,81.499,83.133,85.499,86.54,87.858,88.222,89.022,90.122,91.146,92.318,93.606,94.738,96.612,97.681,98.952,100,100.608,100.892,100.921,100.425,98.544,96.874,97.143,96.309,96.206,96.27,96.479,96.015,97.138,97.545,98.233,99.046,99.218,99.764,99.755,100.074,100.457,99.714,99.044,99.585,99.522,100.57,101.095,101.24,100.927,100.152,98.182,96.42,95.19,93.268,91.592,91.59
"26","18","    Recreation services","DRCARA3",72.76,74.659,75.794,76.986,77.194,78.008,79.203,79.364,80.135,80.703,81.029,81.863,82.87,82.944,83.977,84.725,85.476,86.85,88.742,89.768,89.72,90.513,90.665,90.469,91.197,90.267,89.781,89.716,90.323,90.466,90.708,91.726,91.513,92.77,94.144,95.487,97.09,98.093,98.595,98.783,99.764,99.813,99.917,100.506,101.721,102.221,103.467,105.647,106.4,106.802,107.582,107.592,107.436,107.839,106.983,105.922,106.402,106.172
"27","19","    Food services and accommodations","DFSARA3",79.083,79.215,79.324,79.171,79.185,79.582,79.697,80.418,81.213,81.188,82.051,81.483,82.392,83.41,83.726,84.897,84.612,85.124,85.468,87.476,88.902,89.685,90.002,89.712,90.381,89.504,89.021,88.894,90.197,90.899,91.071,91.222,91.875,93.263,95.028,95.661,96.338,96.355,96.893,97.805,98.326,99.84,100.36,101.474,103.684,102.548,102.542,103.632,103.808,104.027,104.322,104.856,104.225,104.88,104.179,102.017,101.598,101.074
"28","20","    Financial services and insurance","DIFSRA3",67.645,68.43,69.09,69.552,70.708,71.375,71.083,71.844,72.571,72.728,74.559,74.957,75.823,77.605,79.22,80.918,81.792,83.908,85.661,88.581,92.952,93.204,93.528,93.8,92.494,92.456,92.132,93.792,92.942,92.32,92.527,91.739,90.914,91.66,92.735,93.917,95.863,96.364,96.915,99.158,98.678,99.738,100.642,100.942,101.882,102.623,103.229,105.073,107.043,108.986,109.329,108.128,107.511,107.178,106.436,105.336,105.444,106.155
"29","21","    Other services","DOTSRA3",66.849,67.187,66.888,67.38,68.537,68.739,70.599,69.476,71.413,72.519,74.052,75.799,77.66,78.727,80.739,81.022,82.342,83.481,84.486,85.787,87.637,89.465,91.338,91.925,92.285,94.387,94.371,93.886,94.326,94.619,94.048,94.197,96.133,96.451,97.161,96.996,98.154,98.729,99.396,99.552,99.922,99.526,99.881,100.671,101.819,103.157,103.767,104.922,106.427,106.991,106.305,105.582,106.136,105.354,104.984,106.087,106.472,106.467
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",65.528,66.143,66.439,67.766,70.047,70.897,71.44,69.626,65.803,65.332,65.273,66.223,68.377,70.549,73.097,75.585,76.119,76.68,77.273,78.216,80.715,81.074,84.048,86.461,86.921,88.665,90.106,91.95,93.592,95.758,99.397,101.86,101.654,103,102.778,102.413,102.788,101.869,101.356,101.905,99.699,99.807,99.391,101.103,104.068,108.42,113.574,113.778,112.58,110.718,114.867,119.365,121.711,122.472,125.383,128.65,121.155,118.952
"31","23","    Gross output of nonprofit institutions \2\","DNPERA3",72.33,72.577,72.824,73.334,73.657,74.49,74.95,75.733,75.211,75.418,76.09,76.859,78.312,79.113,80.195,81.018,81.558,81.998,82.64,83.527,84.258,85.082,86.048,87.152,88.141,89.083,90.301,91.622,93.215,94.666,95.856,96.359,96.254,96.422,96.547,96.775,97.355,97.91,98.797,99.522,99.655,99.72,99.98,100.645,101.926,102.788,103.328,104.023,105.128,105.165,105.633,106.908,108.564,109.191,109.438,110.338,109.511,109.24
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",74.994,75.119,75.351,75.585,75.25,76.079,76.513,78.176,78.772,79.213,80.142,80.858,82.077,82.397,82.957,83.182,83.722,84.118,84.778,85.647,85.734,86.734,86.959,87.58,88.77,89.41,90.545,91.671,93.245,94.434,94.735,94.545,94.486,94.257,94.507,94.938,95.589,96.625,97.97,98.754,99.64,99.692,100.172,100.497,101.231,100.974,100.05,100.902,102.731,103.365,102.686,102.966,104.409,104.994,104.429,104.612,105.775,106.074
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  Energy goods and services \4\","DNRGRA3",84.451,86.726,87.849,86.915,89.551,89.168,87.132,88.272,87.59,88.808,88.749,91.198,89.948,92.792,93.526,90.597,92.148,94.278,95.069,92.992,90.618,93.91,94.627,96.941,95.937,92.454,93.501,93.003,93.188,95.624,96.213,97.692,97.526,97.786,97.59,99.428,99.772,99.619,98.018,99.81,100.332,100.353,100.098,99.217,95.722,97.702,99.002,97.493,99.128,99.018,99.281,97.498,96.901,95.962,92.259,95.82,96.591,95.109
"35","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRA3",66.054,66.614,67.254,67.815,68.384,69.268,69.858,70.441,71.246,71.56,72.927,73.779,74.687,75.982,77.058,78.478,79.211,80.472,81.481,82.775,84.404,85.04,85.948,86.625,87.098,87.603,88.015,89.595,89.969,90.364,91,91.227,91.665,92.694,94.056,94.594,95.458,96.042,97.027,98.091,98.785,99.85,100.535,100.83,102.337,102.732,103.336,104.492,105.433,105.848,106.367,106.768,106.605,106.686,106.023,104.961,105.078,104.688
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
