"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","Net value added","A439RC1",3799.1,3843.1,3923,3957.6,4018.5,4093.7,4150.9,4212.9,4312.1,4381.4,4488.9,4569.8,4600.8,4680.7,4776.3,4826,4921,4957.4,5007.2,5109.2,5282.9,5304.3,5377.8,5360.5,5361.5,5341.6,5271.8,5242.8,5291.6,5355.6,5373.5,5446.4,5494.9,5541.9,5614.8,5689,5778.1,5905.2,6046.3,6130.6,6266.6,6362.7,6473.7,6637,6777.5,6836.7,6958.1,7017.4,7003.1,7093.1,7029.1,7054.7,7075,7121.1,7189.1,6915.8,6808.9,NA
"12","4","  Compensation of employees","A442RC1",2731.3,2758.2,2792.1,2822.6,2843.7,2894.7,2938.7,2982.6,3039.3,3087.6,3145.4,3223.1,3304,3366.8,3428.3,3488.2,3554,3588.1,3639.2,3733.2,3885.3,3907.2,3992.7,4017.7,4017.8,3993.9,3967.7,3965.4,3938.8,3979.6,3991.4,4012.9,4020.8,4079.3,4134.5,4187.2,4159.4,4225,4310.5,4368.6,4396.5,4453.1,4543.8,4600.5,4668.4,4704.5,4739.7,4860.9,4893.5,4927.2,4950.7,5020.7,5019.4,5011.6,5021.8,4970.7,4808.6,4705.3
"13","5","    Wage and salary accruals","A443RC1",2256.6,2282.8,2315.8,2345.8,2369.7,2418.9,2461.7,2504.3,2560.5,2604.6,2655,2721.2,2789.7,2841.7,2894.6,2948.3,3013.9,3043.3,3086.3,3166.9,3295.9,3307.6,3379.1,3395,3393.4,3363,3329,3315.8,3276.6,3301.3,3297.7,3302,3289.8,3333,3378.8,3426.3,3409.3,3472.4,3550.6,3599,3612.3,3659.8,3740.5,3793,3859.1,3894.7,3927.7,4042.1,4073.3,4104.4,4123.8,4186,4180.7,4169.8,4176.3,4124.8,3971.5,3872.6
"14","6","    Supplements to wages and salaries","A444RC1",474.8,475.4,476.3,476.8,474,475.8,477.1,478.3,478.8,483,490.4,501.9,514.3,525.1,533.7,539.9,540.1,544.8,552.9,566.3,589.4,599.6,613.5,622.7,624.4,630.9,638.8,649.6,662.2,678.4,693.7,710.9,731.1,746.3,755.7,761,750.1,752.6,759.8,769.6,784.2,793.3,803.2,807.4,809.2,809.9,812,818.8,820.2,822.8,826.9,834.7,838.7,841.8,845.5,845.9,837,832.7
"15","7","  Taxes on production and imports less subsidies","W321RC1",377.7,378,379.2,381.5,384.7,388.4,392.5,397,402,405.9,408.8,410.8,411.5,416,420.9,425.4,431.3,437.2,444.8,452.5,460,465.8,468.4,472.1,464.8,458.4,448.9,478.3,479.8,488.8,497.5,502.6,507.6,505,524.7,531.9,541,549,556.7,568.3,581,593.2,602.6,610.1,623.5,631.4,637,643,647.2,653.4,658,664.5,662.7,668,672.7,658.1,645.8,650.7
"16","8","  Net operating surplus","W322RC1",690,707,751.7,753.5,790.1,810.7,819.6,833.2,870.9,887.9,934.6,936,885.3,897.9,927.1,912.4,935.8,932.1,923.1,923.4,937.6,931.3,916.7,870.7,878.9,889.3,855.3,799.1,873,887.2,884.6,930.9,966.5,957.6,955.5,969.8,1077.7,1131.3,1179.1,1193.6,1289.1,1316.4,1327.3,1426.4,1485.7,1500.8,1581.4,1513.5,1462.4,1512.5,1420.4,1369.5,1392.8,1441.5,1494.6,1287,1354.5,NA
"17","9","    Net interest and miscellaneous payments","A453RC1",68.8,65.1,62.7,62.2,62.8,66.4,70.7,77.1,83.1,89.3,98.2,108.8,128.1,141.2,149.3,150.1,136.8,136.4,138.7,144,160.9,166.3,170.4,168.9,169.4,158.5,148.4,140.5,127.1,115.1,112,110.5,146.4,116,75.6,59.7,51.5,47.6,46.3,49,52,56.4,63.7,74.4,92.7,113.1,130.6,145.3,146.5,159,178.2,215.6,263.6,321.3,352.4,398.8,384.3,NA
"18","10","    Business current transfer payments (net)","W323RC1",35.2,36.4,38.4,40.6,44.7,46.3,45.4,42,35.5,32.8,33.9,38.7,48.1,51.1,53.8,62.3,53.1,52.9,54.5,58.8,67.3,71.8,76.1,80.2,86.8,89.6,88.4,83.2,74.3,66.1,59.4,54,51.7,50.5,50.4,51.1,52.2,54,55.9,57.7,63.1,64.3,61.9,56.9,49,45.3,46.8,52.7,62.7,69.8,75.6,81.6,81.8,83.4,84.9,97,103.2,108.9
"19","11","    Corporate profits with IVA and CCAdj","A445RC1",586.1,605.5,650.7,650.7,682.6,698,703.4,714.2,752.3,765.8,802.5,788.5,709.1,705.5,724,700,745.8,742.8,729.8,720.6,709.4,693.2,670.2,621.6,622.7,641.3,618.4,575.5,671.6,706,713.2,766.4,768.3,791.1,829.6,859.1,974,1029.6,1077,1087,1174,1195.7,1201.7,1295.2,1344,1342.4,1404.1,1315.4,1253.2,1283.7,1166.6,1072.3,1047.4,1036.7,1057.4,791.3,867,NA
"20","12","      Taxes on corporate income","A054RC1",217.6,214.8,221.7,217.3,221.6,233.4,233.8,237.1,238.2,242.9,255.1,245.5,248.5,245.5,252.2,247.2,256.2,254.1,259.2,265.7,274.3,273.1,254.7,258.3,224.5,216.6,195,177,179.3,186,193.7,210.4,231.5,227,247.2,269.3,277.6,298.2,320.4,328.1,405.1,395.6,403.1,445.7,460.7,475.1,496.6,460.7,469.5,466.5,440,430.1,323.2,317.5,304.8,223.3,270.3,NA
"21","13","      Profits after tax with IVA and CCAdj","W273RC1",368.5,390.7,429,433.4,461,464.6,469.7,477,514.1,522.8,547.4,543.1,460.6,460,471.8,452.8,489.6,488.7,470.7,454.9,435.1,420.1,415.5,363.3,398.2,424.6,423.4,398.4,492.3,520.1,519.5,556,536.8,564.1,582.3,589.8,696.4,731.4,756.6,758.9,768.9,800.1,798.7,849.4,883.3,867.4,907.5,854.7,783.7,817.2,726.6,642.2,724.2,719.2,752.6,568,596.6,NA
"22","14","        Net dividends","A449RC1",209.6,211.2,229.9,235.8,243.6,249.6,263.4,272.7,273.4,275.7,285,301.9,304.8,313.2,307.3,311.5,297.3,298,279.1,308.4,334.9,355.4,366.6,336.9,326.3,309.9,341.6,342.4,346,356.6,338.3,363.8,333.5,423.6,394.5,419.4,451.3,447.4,456.2,597.3,434.5,373.6,232.7,144.9,542.3,565.7,648.6,750.9,665.2,664.4,636.6,600.3,548.5,529.9,514.7,580,515.3,NA
"23","15","        Undistributed profits with IVA and CCAdj","W274RC1",158.9,179.4,199.2,197.6,217.3,215,206.3,204.3,240.7,247.2,262.4,241.1,155.8,146.9,164.5,141.3,192.3,190.8,191.6,146.5,100.2,64.7,48.9,26.4,71.9,114.7,81.8,56,146.3,163.5,181.1,192.2,203.3,140.6,187.8,170.3,245.2,284,300.4,161.6,334.4,426.4,565.9,704.5,341,301.6,258.8,103.8,118.5,152.8,90,41.9,175.7,189.4,237.9,-11.9,81.3,NA
"24","16","    Gross value added of financial corporate business \1\","A454RC1",451.2,468.1,481.4,477.5,499,507.2,509.9,506.2,538.9,555.1,573.6,598.2,614.3,625.9,637.6,646,656.4,652.7,674.8,692,725.9,725.7,745.4,751,792.1,785.4,773.6,777.9,806.6,815.7,814.4,823.5,868.7,860,847.4,851.7,868.6,876.8,900.9,940.6,979.5,950.9,1017.7,1032.2,1052.1,1087.6,1079.6,1112.7,1054.2,1078.4,1067.2,1023.7,1155.8,1176.4,1190.6,1039.7,1139.7,NA
"25","17","    Gross value added of nonfinancial corporate business \1\","A455RC1",3812.9,3848.3,3922.6,3968.1,4014.1,4088.3,4150.6,4224.7,4300.5,4362.7,4460.7,4526,4549.9,4627.7,4721.8,4774,4870.1,4922.9,4964.6,5064.5,5220.7,5257.3,5325,5314.8,5286.1,5282.8,5233.5,5207.4,5233.4,5293.7,5317.7,5385.9,5393.1,5453.9,5545.4,5622.6,5703.2,5831.6,5959.3,6015.8,6125.9,6265.4,6326.3,6493.5,6629.5,6668.1,6811.8,6851.8,6909.3,6988.8,6949.7,7032.6,6934.9,6974.4,7042.4,6934.1,6727.4,NA
"26","18","Consumption of fixed capital","B456RC1",397.6,405,411.9,418.5,424.5,431.2,438.4,446.2,454.5,462.8,471,479.1,487,495.4,504,513,522.4,532.9,544.5,557.3,571.1,584.2,596.6,608.3,619.2,628.7,636.7,643.3,648.4,652.9,656.8,660,662.7,666.2,670.8,676.3,682.8,690.5,699.5,709.7,721.2,734.5,749.6,766.6,781.1,794.8,807.8,820.1,831.6,843.4,855.3,867.5,879.8,892.2,904.6,917.1,916.7,905.8
"27","19","Net value added","A457RC1",3415.3,3443.3,3510.6,3549.6,3589.6,3657.1,3712.2,3778.6,3846,3899.9,3989.7,4047,4062.8,4132.3,4217.8,4260.9,4347.7,4390,4420.1,4507.2,4649.6,4673.1,4728.3,4706.5,4666.9,4654.2,4596.8,4564.2,4585,4640.8,4660.9,4725.9,4730.5,4787.6,4874.6,4946.3,5020.4,5141.1,5259.8,5306.1,5404.7,5530.9,5576.7,5727,5848.5,5873.3,6004,6031.7,6077.7,6145.4,6094.4,6165.1,6055.1,6082.2,6137.8,6017,5810.7,NA
"28","20","  Compensation of employees","A460RC1",2471.1,2495.3,2525.9,2553.5,2567.1,2613,2652.7,2692.3,2738.5,2782,2834,2904,2966.4,3022.7,3077.9,3131.6,3189.5,3220.1,3266,3350.4,3483,3502.8,3579.4,3601.9,3587.5,3566.2,3542.9,3540.9,3507,3543.3,3553.7,3572.8,3576,3628.1,3677.2,3724,3694.1,3752.4,3827,3873.4,3895.6,3944.6,4019,4046.2,4131.8,4153,4180.3,4264.2,4314,4345.1,4365.4,4432.2,4429.6,4431.6,4440.4,4410.1,4262.1,4187.2
"29","21","    Wage and salary accruals","B461RC1",2038.1,2061.8,2091.6,2118.7,2134.5,2178.8,2217.4,2255.8,2302,2341.7,2387,2446.5,2497.7,2544.2,2591.6,2639.6,2698.5,2724.8,2763.4,2835.5,2947.7,2958.2,3022.2,3036.4,3028.4,3001.2,2970.9,2959.1,2920.8,2942.8,2939.6,2943.5,2919.4,2957.8,2998.4,3040.6,3020,3076.2,3144.2,3181.8,3198.2,3239.1,3304.6,3328.1,3414.7,3435.2,3460.7,3538.6,3582.4,3611.3,3627.8,3687.7,3682.7,3681.9,3687.5,3656.8,3516.7,3445.6
"30","22","    Supplements to wages and salaries","B462RC1",433,433.5,434.4,434.8,432.6,434.2,435.4,436.5,436.5,440.3,447.1,457.5,468.7,478.5,486.3,492,491,495.3,502.7,514.9,535.3,544.6,557.2,565.6,559.1,565,572,581.7,586.1,600.4,614,629.2,656.6,670.3,678.8,683.5,674,676.3,682.8,691.6,697.4,705.5,714.3,718.1,717.2,717.7,719.6,725.6,731.6,733.9,737.6,744.5,746.9,749.7,752.9,753.3,745.4,741.6
"31","23","  Taxes on production and imports less subsidies","W325RC1",352.9,353.1,354.3,356.6,359.9,363.5,367.4,371.6,376.1,379.8,382.8,385.1,386.6,390.7,395.4,399.6,405.1,410.6,417.8,425,433.2,438.6,441,444.6,436.8,430.4,420.9,449.8,450.2,458.7,466.8,471.7,475.3,472.3,491.3,498,505.8,513.2,520.4,531.3,543.6,555,563.9,570.9,583.7,591.1,596.3,602,604.8,610.5,614.8,620.9,618.5,623.5,627.8,614.2,602.7,607.3
"32","24","  Net operating surplus","W326RC1",591.3,594.9,630.4,639.5,662.6,680.6,692.1,714.7,731.4,738.1,772.8,757.9,709.9,718.9,744.5,729.7,753.1,759.2,736.2,731.8,733.4,731.7,707.9,660,642.5,657.5,633.1,573.5,627.9,638.8,640.4,681.4,679.1,687.3,706.1,724.3,820.6,875.5,912.4,901.4,965.5,1031.3,993.9,1109.9,1132.9,1129.2,1227.3,1165.5,1159,1189.7,1114.1,1112,1006.9,1027.1,1069.6,992.7,945.8,NA
"33","25","    Net interest and miscellaneous payments","B471RC1",111.8,113,113,113.2,108.2,110.6,112.8,116.7,120.9,122.1,125.7,130,137.8,145,150.7,153.7,154.5,160.1,167.5,176.1,187.1,192.1,196.5,195.6,197.2,200.4,198.5,194.6,181.2,164.9,156.9,151.8,163,150.7,142.2,135.6,135,136.8,134.4,131.4,141.7,146.4,151.5,153.1,152.6,157.8,164.8,180.9,201.2,223.6,236.6,251.2,242.1,246,233.3,246.8,237.4,NA
"34","26","    Business current transfer payments (net)","W327RC1",31.4,29.9,29.9,31.6,34.9,37.5,39.3,40.4,40.7,40.2,38.9,36.9,33.8,30.9,32.4,43.6,44,47.2,48.5,48.6,47.8,46.5,47.2,50.2,55.5,59.3,60.8,60,56.9,55.3,55.4,57.4,62,65.2,66.9,66.7,64.4,64.1,65.4,68.2,75.3,79.4,81.2,81.3,78.4,76.4,74.9,73.5,70.3,68.4,67.5,68.4,68.1,68.3,68.7,76.5,79.2,83.2
"35","27","    Corporate profits with IVA and CCAdj","A463RC1",448.1,452,487.5,494.7,519.5,532.6,540,557.7,569.8,575.7,608.2,591,538.3,542.9,561.4,532.4,554.6,551.9,520.2,507.1,498.5,493.2,464.2,414.2,389.8,397.8,373.7,318.8,389.7,418.6,428.1,472.3,454.2,471.4,497,522,621.2,674.6,712.6,701.8,748.5,805.5,761.1,875.4,902,894.9,987.6,911.1,887.5,897.7,810.1,792.4,696.7,712.8,767.6,669.4,629.2,NA
"36","28","      Taxes on corporate income","B465RC1",141.1,136.4,142.8,141.1,145.9,154.2,154,157.7,153.9,157.8,170.2,163.5,161.3,158.6,161.8,152.9,170.1,169.6,169.9,175.9,181.3,180.8,158.8,159.8,123.1,118.8,112.8,90.2,86.3,93.8,99,109.4,127.6,118.8,132.4,152.7,164.6,185.5,199,198.8,264.1,265.2,257.6,300.4,294.1,308.8,329.3,298.3,313.3,305.3,284.4,294.2,255.9,263.1,254.5,177.7,197.9,NA
"37","29","      Profits after tax with IVA and CCAdj","W328RC1",307,315.7,344.6,353.7,373.6,378.4,386,400,415.9,418,437.9,427.4,376.9,384.3,399.6,379.5,384.5,382.3,350.4,331.2,317.2,312.4,305.3,254.3,266.7,279,260.9,228.6,303.4,324.9,329.1,362.9,326.6,352.5,364.6,369.2,456.5,489.1,513.6,503,484.4,540.3,503.5,575,607.8,586.2,658.3,612.7,574.1,592.4,525.7,498.1,440.8,449.7,513.1,491.6,431.3,NA
"38","30","        Net dividends","B467RC1",167.6,168.6,185.9,190,187.2,190.7,202.3,210,207.7,208.5,216.2,231.4,236.6,244.3,238.8,244.4,226.7,228.3,208.5,235.2,240.6,257.8,267.9,239,241.5,226.2,257.5,256.5,252,260.2,240.8,266.1,239.3,327.7,294.3,312.2,333.5,323,328.1,473.3,314.1,252.2,106.6,10.5,399.4,413,488,584.1,487.7,485.7,459.6,428,408.8,395.2,383.3,449.9,373.1,NA
"39","31","        Undistributed profits with IVA and CCAdj","W332RC1",139.4,147.1,158.8,163.7,186.4,187.7,183.7,190,208.2,209.5,221.7,196,140.3,140,160.7,135.1,157.8,154.1,141.8,96.1,76.6,54.6,37.4,15.3,25.2,52.8,3.4,-27.9,51.4,64.6,88.4,96.8,87.2,24.8,70.3,57,123,166.1,185.4,29.7,170.2,288,396.9,564.5,208.4,173.1,170.3,28.6,86.5,106.8,66.1,70.1,32,54.5,129.7,41.7,58.1,NA
"40",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","32","    Profits before tax (without IVA and CCAdj)","A446RC1",570.8,584.3,609.6,600.8,626.4,643.5,640,645.1,668.2,681.6,717,710.1,623.1,617.7,630.7,609,641.2,657.6,664.1,673.1,663.8,648.7,618.4,576.6,588.4,592.7,544.7,446.2,525.6,588.4,627,688.9,709.5,689.2,747.3,804.9,924.2,1012.4,1065.7,1095.2,1346.9,1358.4,1388.4,1509.2,1568.3,1564.5,1614.1,1516.6,1465.4,1497.4,1387.7,1356,1208.5,1226.5,1179.5,727.7,930.7,NA
"43","33","    Profits after tax (without IVA and CCAdj)","A448RC1",353.2,369.5,387.9,383.4,404.8,410.1,406.2,408,430,438.7,461.9,464.6,374.6,372.2,378.5,361.8,385,403.5,404.9,407.4,389.5,375.5,363.7,318.3,364,376.1,349.7,269.2,346.3,402.4,433.2,478.5,477.9,462.3,500.1,535.6,646.5,714.2,745.3,767.1,941.8,962.7,985.4,1063.4,1107.6,1089.4,1117.5,1055.9,995.9,1030.9,947.7,925.9,885.3,909,874.7,504.5,660.4,NA
"44","34","    Inventory valuation adjustment","B058RC1",-32.5,-28.2,-9.8,-2.6,2.1,-1.7,4.7,7.1,18.5,15.7,15.1,7,14.4,15.4,19.1,14.1,24.2,3.8,-14.5,-29.3,-25.2,-21,-9.1,-11.9,-18.4,-1.1,16.8,34.8,29,3.4,-21.8,-20.9,-20.7,5.3,-7.3,-22.5,-16.9,-38.4,-34.9,-46.9,-38.2,-18.2,-28.4,-38,-33.4,-48.4,-42.3,-28,-42.2,-29.5,-25.3,-79,-107.9,-129.6,-54.5,139.2,81.1,NA
"45","35","    Capital consumption adjustment","A059RC1",47.8,49.4,51,52.5,54,56.1,58.7,61.9,65.6,68.5,70.4,71.4,71.5,72.5,74.3,76.9,80.4,81.5,80.3,76.7,70.9,65.6,60.9,56.8,52.6,49.6,56.9,94.4,117.1,114.2,108,98.4,79.6,96.6,89.6,76.7,66.7,55.6,46.2,38.6,-134.7,-144.5,-158.3,-176,-191,-173.7,-167.7,-173.2,-170,-184.2,-195.8,-204.7,-53.2,-60.1,-67.6,-75.6,-144.9,-131.8
"46",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","36","    Profits before tax (without IVA and CCAdj)","A464RC1",424,423.3,439.5,438.1,456.2,471.5,471.5,486,486.5,494.9,527.6,518.1,457.7,460.7,474.5,449.1,459.6,477.4,465.9,471.3,464.1,459.9,424,381.8,369.3,363.9,316.3,210.8,267.4,324,363.4,414.3,411,385.7,428.5,478.3,577.9,660.7,701.7,707.9,898.9,943.9,922.4,1063.4,1101.8,1096.7,1179.3,1093.8,1081.2,1091.2,1009.6,1053.5,851.6,895.6,882,597.4,676.9,NA
"48","37","    Profits after tax (without IVA and CCAdj)","A466RC1",283,287,296.7,297,310.3,317.4,317.5,328.3,332.6,337.1,357.4,354.6,296.4,302.1,312.6,296.2,289.5,307.8,296.1,295.4,282.8,279.1,265.2,221.9,246.1,245.1,203.4,120.6,181.1,230.2,264.5,304.9,283.4,266.9,296.1,325.5,413.3,475.3,502.7,509,634.8,678.7,664.7,763,807.7,787.9,850,795.5,767.9,785.9,725.2,759.3,595.7,632.5,627.5,419.7,478.9,NA
"49","38","    Inventory valuation adjustment","B058RC1",-32.5,-28.2,-9.8,-2.6,2.1,-1.7,4.7,7.1,18.5,15.7,15.1,7,14.4,15.4,19.1,14.1,24.2,3.8,-14.5,-29.3,-25.2,-21,-9.1,-11.9,-18.4,-1.1,16.8,34.8,29,3.4,-21.8,-20.9,-20.7,5.3,-7.3,-22.5,-16.9,-38.4,-34.9,-46.9,-38.2,-18.2,-28.4,-38,-33.4,-48.4,-42.3,-28,-42.2,-29.5,-25.3,-79,-107.9,-129.6,-54.5,139.2,81.1,NA
"50","39","    Capital consumption adjustment","B470RC1",56.6,56.9,57.8,59.2,61.1,62.7,63.8,64.5,64.8,65.1,65.5,65.8,66.2,66.8,67.8,69.2,70.8,70.7,68.8,65.1,59.6,54.3,49.2,44.3,38.9,35,40.7,73.2,93.4,91.3,86.4,78.9,63.8,80.3,75.8,66.2,60.1,52.2,45.8,40.8,-112.2,-120.2,-132.8,-150,-166.5,-153.3,-149.4,-154.8,-151.5,-163.9,-174.1,-182.1,-47,-53.2,-60,-67.2,-128.7,-117
"51",NA,"  Value added, in billions of chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","40","    Gross value added of nonfinancial corporate business \2\","B455RX1",4236.1,4270.6,4341.3,4389.5,4430.6,4507.3,4591.3,4662.7,4719.4,4795.8,4895.3,4964.9,4999,5085.8,5176.4,5232.9,5332.4,5388.5,5428.9,5540.4,5683.8,5685,5739.9,5723,5685.9,5635.9,5562.5,5534.2,5569.4,5626.5,5636.7,5684.6,5671.8,5733.1,5800.8,5863.9,5918.9,6008.3,6112.4,6121.8,6199.3,6305.8,6284.1,6421.9,6505.1,6480,6567.2,6593.8,6597.4,6649.8,6624.9,6725.5,6664.3,6735.8,6722.6,6579.3,6300.9,NA
"53","41","      Consumption of fixed capital \3\","N456RX1",403.6,410.1,416.8,423.9,431.2,438.9,446.9,455.4,464.2,473.5,483,493,503.3,513.8,524.6,535.6,546.9,558.7,571.1,584,597.5,610.4,622.8,634.6,645.9,655.7,664.1,671.1,676.6,681.5,685.8,689.5,692.6,696.2,700.2,704.6,709.5,714.6,719.9,725.6,731.4,738.4,746.4,755.6,762.2,769.4,777.3,785.8,794.9,803.9,812.8,821.4,829.9,836.3,840.5,842.6,844,842.2
"54","42","      Net value added \4\","A457RX1",3832.5,3860.5,3924.5,3965.7,3999.4,4068.5,4144.4,4207.3,4255.1,4322.3,4412.2,4471.9,4495.7,4572,4651.9,4697.3,4785.5,4829.8,4857.8,4956.4,5086.4,5074.6,5117,5088.4,5040,4980.2,4898.4,4863.1,4892.9,4945.1,4951,4995.1,4979.2,5037,5100.7,5159.3,5209.5,5293.7,5392.5,5396.3,5467.9,5567.4,5537.7,5666.4,5743,5710.5,5789.9,5808,5802.5,5845.9,5812.2,5904.1,5834.4,5899.5,5882.1,5736.7,5456.9,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
