"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Durable goods","DDURRG3",124.627,124.491,124.09,123.813,123.907,123.09,122.769,122.237,121.765,120.592,119.783,119.114,118.238,117.355,116.456,115.587,114.611,114.036,113.501,112.815,112.283,112.048,111.362,111.081,110.573,109.786,109.055,108.501,107.535,106.978,106.455,105.721,104.446,103.367,102.358,101.458,101.419,101.344,100.598,100.657,100.548,100.385,99.623,99.444,99.141,98.742,98.281,97.789,97.395,97.052,96.375,96.034,96.037,95.832,95.537,94.743,94.326,94.399
"12","4","    Motor vehicles and parts","DMOTRG3",99.425,100.115,100.009,100.603,101.685,101.731,102.082,102.676,103.019,102.418,102.12,102.156,101.519,100.918,101.346,101.472,101.219,101.207,101.944,102.102,101.708,102.155,101.849,102.263,102.578,102.423,102.128,102.448,101.939,101.758,102.051,101.675,100.148,99.543,98.85,97.754,97.931,98.332,98.053,99.279,99.929,100.338,99.494,100.24,100.57,100.313,100.022,99.598,99.306,99.298,99.458,99.871,99.595,98.999,98.594,96.905,96.689,97.893
"13","5","    Furnishings and durable household equipment","DFDHRG3",110.231,109.883,110.614,110.49,110.719,110.523,110.841,110.387,110.536,110.834,110.344,110.103,110.312,110.847,110.441,109.847,109.67,109.186,108.757,108.094,108.494,108.297,108.122,107.641,107.175,106.491,106.086,105.389,104.638,104.546,103.924,103.299,102.635,101.527,100.462,100.082,100.282,100.054,99.486,99.929,100.153,100.554,99.733,99.559,99.564,99.566,99.443,99.358,99.168,99.213,98.487,97.793,98.179,97.728,98.207,98.082,98.574,98.882
"14","6","    Recreational goods and vehicles","DREQRG3",208.73,205.801,201.257,197.521,194.838,190.447,186.927,183.45,179.432,174.089,170.917,167.976,164.401,160.962,156.276,152.333,149.069,146.435,142.967,140.159,137.93,136.821,134.83,132.686,129.789,127.35,125.134,122.999,120.721,118.999,117.203,115.675,113.771,111.458,109.493,108.499,107.482,106.554,104.828,103.22,101.727,100.81,99.595,97.868,96.425,95.103,93.513,91.879,90.369,89.183,87.42,86.23,85.678,84.718,83.923,83.03,81.789,80.664
"15","7","    Other durable goods","DODGRG3",112.583,112.803,113.806,114.035,113.435,112.716,112.682,111.692,111.608,111.173,111.17,110.252,110.3,109.476,108.374,107.931,106.403,106.844,106.06,105.794,105.886,104.705,104.004,104.883,105.566,105.335,105.21,104.701,104.182,103.672,102.892,102.284,102.009,101.847,101.816,100.745,101.519,101.968,101.458,100.589,100.52,99.132,99.845,100.504,100.494,101.135,102.328,103.797,105.714,105.904,105.975,106.718,108.517,112.383,112.385,112.853,112.707,113.374
"16","8","  Nondurable goods","DNDGRG3",81.706,82.011,82.186,82.316,83.129,83.998,83.873,84.651,84.987,84.729,84.674,84.764,84.084,83.916,84.254,84.385,84.669,85.906,86.834,87.626,88.987,89.776,90.486,90.776,91.014,91.649,91.245,89.898,89.713,90.985,91.223,91.592,93.196,91.627,92.95,93.392,94.724,95.601,96.16,97.994,97.886,98.375,101.542,102.197,102.229,103.472,104.621,102.539,104.01,105.678,106.187,109.126,111.185,112.838,115.759,108.971,106.739,107.723
"17","9","    Food and beverages purchased for off-premises consumption","DFXARG3",80.163,80.856,81.095,81.485,82.111,82.941,83.852,84.569,84.647,84.783,85.105,85.289,85.575,85.789,86.117,86.615,86.973,87.206,87.532,88.022,88.518,89.127,89.972,90.327,91.182,91.779,92.55,92.954,93.469,93.528,93.445,93.669,94.186,94.782,95.549,96.666,97.095,98.123,98.564,99.287,99.012,100.055,100.166,100.767,101.227,101.201,101.927,102.482,103.765,105.163,106.224,107.339,108.745,110.887,113.383,114.69,114.382,113.34
"18","10","    Clothing and footwear","DCLORG3",115.614,114.995,114.812,114.671,114.675,114.187,112.603,113.086,113.37,114.728,113.529,113.065,111.848,111.317,112.038,111.213,109.808,110.476,110.034,110.191,109.484,108.77,108.53,108.479,108.644,107.076,106.005,104.912,104.502,104.262,103.711,102.927,101.81,100.759,101.273,101.238,100.776,101.28,100.928,100.718,100.719,100.304,99.62,99.357,99.04,100.004,99.696,99.553,99.648,98.658,97.935,98.312,98.136,97.351,98.449,97.354,98.186,98.362
"19","11","    Gasoline and other energy goods","DGOERG3",50.945,50.998,50.381,49.554,52.027,54.944,53.3,55.359,56.315,52.678,53.226,53.404,48.962,46.809,46.612,45.6,44.271,49.501,53.416,56.345,63.102,65.129,67.009,67.83,66.078,68.688,63.837,55.318,53.026,59.445,61.029,64.013,73.984,64.068,69.314,70.114,76.568,78.395,81.112,90.073,89.268,89.909,109.543,111.279,109.418,115.501,121.13,105.653,111.188,120.288,121.174,136.863,146.115,152.33,164.604,111.728,92.354,94.923
"20","12","    Other nondurable goods","DONGRG3",83.07,83.447,84.174,84.664,85.057,85.347,85.536,85.763,86.063,86.551,86.237,86.42,87.009,87.689,88.149,88.923,90.744,91.125,91.691,91.949,92.372,93.403,93.814,93.932,94.547,95.226,96.078,96.341,96.56,97.225,97.478,97.238,97.146,97.169,97.537,97.376,97.971,98.422,98.493,99.032,99.325,99.613,100.184,100.877,101.528,102.116,102.468,102.533,103.101,103.177,103.588,104.29,105.178,105.737,106.302,107.176,108.596,111.253
"21","13","Services","DSERRG3",74.554,75.15,75.637,76.142,76.553,77.143,77.784,78.434,79.018,79.594,80.071,80.586,80.998,81.474,81.913,82.394,82.85,83.251,83.7,84.258,85.058,85.417,86.063,86.756,87.709,88.277,88.555,89.173,89.719,90.468,91.186,91.856,92.558,93.392,94.063,94.754,95.513,96.314,97.175,97.748,98.704,99.52,100.306,101.47,102.171,102.998,103.844,104.63,105.668,106.433,107.327,108.427,109.213,110.296,111.275,111.542,111.749,111.943
"22","14","  Household consumption expenditures (for services)","DHCERG3",74.491,75.098,75.588,76.116,76.537,77.115,77.764,78.412,78.981,79.572,80.018,80.489,80.865,81.301,81.728,82.223,82.688,83.062,83.477,83.998,84.812,85.098,85.759,86.423,87.341,87.901,88.171,88.843,89.377,90.117,90.898,91.629,92.359,93.274,93.962,94.692,95.525,96.319,97.184,97.8,98.726,99.554,100.282,101.437,102.177,103.028,103.916,104.731,105.772,106.561,107.455,108.632,109.44,110.544,111.528,111.837,112.113,112.313
"23","15","    Housing and utilities","DHUTRG3",73.225,73.716,74.228,74.823,75.404,75.958,76.458,76.929,77.57,77.936,78.495,79.05,79.326,79.88,80.366,80.858,81.303,81.724,82.238,82.79,83.551,84.237,85.175,86.169,87.702,88.469,89.08,89.621,90.322,90.99,91.565,92.312,93.272,93.988,94.454,94.944,95.548,96.299,97.109,97.685,98.445,99.278,100.271,102.005,102.942,103.663,104.806,105.719,106.882,107.708,108.311,109.287,110.223,111.617,112.836,113.029,113.4,113.28
"24","16","    Health care","DHLCRG3",75.28,75.756,76.144,76.731,77.091,77.55,77.963,78.461,78.773,79.261,79.556,79.706,80.149,80.659,81.01,81.462,81.956,82.331,82.783,83.305,83.978,84.386,85.352,85.962,86.811,87.512,88.086,88.665,88.936,89.56,90.469,91.295,92,93.103,93.932,94.889,95.857,96.658,97.287,97.929,98.885,99.594,100.264,101.257,101.742,102.626,103.58,104.209,105.706,106.327,107.095,108.23,108.707,109.364,110.113,110.721,111.416,112.101
"25","17","    Transportation services","DTRSRG3",81.776,83.184,83.895,84.003,83.123,83.886,84.563,85.482,85.278,85.997,86.234,87.013,87.347,87.309,87.911,88.024,88.2,88.843,89.112,89.671,90.334,91.208,92.023,92.934,92.944,92.768,92.471,92.39,92.384,93.253,93.119,93.532,94.04,94.73,95.516,95.993,96.089,95.796,96.603,97.347,98.314,99.207,100.334,102.145,103.31,104.184,104.668,104.697,105.43,105.848,106.984,108.225,109.686,111.795,113.545,114.588,115.115,114.582
"26","18","    Recreation services","DRCARG3",73.056,73.623,74.016,74.66,75.258,75.964,76.642,77.33,77.948,78.603,79.125,79.387,79.966,80.446,80.912,81.539,82.214,82.976,83.621,84.433,85.348,85.949,87.131,87.716,88.389,89.222,89.635,90.242,90.767,91.69,92.29,93.026,93.938,94.429,95.098,95.578,96.34,96.958,97.557,98.226,98.822,99.346,100.344,101.489,102.13,103.055,103.949,104.346,105.09,105.996,106.291,107.475,108.433,109.207,110.389,110.038,110.27,110.166
"27","19","    Food services and accommodations","DFSARG3",75.269,75.983,76.436,76.823,77.181,77.888,78.475,79.173,79.703,80.209,80.681,81.394,81.835,82.358,82.834,83.589,83.956,84.51,85.09,85.602,86.28,86.813,87.513,88.033,88.702,89.385,90.042,90.447,91.115,91.513,92.055,92.589,92.91,93.381,94.026,94.776,95.5,96.511,97.403,98.14,99.058,99.7,100.128,101.114,102.058,103.021,103.763,104.557,105.612,106.771,108.082,108.927,109.916,110.857,112.317,113.305,113.783,114.201
"28","20","    Financial services and insurance","DIFSRG3",73.524,74.112,74.851,75.569,76.122,76.752,78.101,79.118,80.583,81.814,82.518,83.552,84.005,83.797,84.094,84.388,84.899,84.815,84.843,85.083,86.689,85.47,85.141,85.339,85.932,85.849,83.749,85.178,85.833,87.179,87.992,89.072,89.482,91.222,92.154,93.063,94.644,95.969,97.398,97.941,99.095,99.956,100.181,100.768,101.027,101.882,102.378,103.927,104.792,105.515,107.213,109.385,109.591,110.252,110.389,109.713,108.695,108.783
"29","21","    Other services","DOTSRG3",73.651,74.401,74.772,75.092,75.63,76.189,76.966,77.771,78.131,78.8,79.056,79.158,79.449,80.208,80.622,81.299,81.819,82.112,82.46,83.037,83.528,83.711,83.985,84.543,85.275,85.892,87.055,87.934,88.566,89.189,90.707,91.186,92.059,92.884,93.569,94.423,95.188,95.91,96.884,97.451,98.578,99.796,100.486,101.14,102.105,103.043,103.911,104.632,105.069,105.963,106.777,107.687,108.958,110.567,111.614,112.136,112.478,112.799
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",74.971,75.221,75.631,75.44,75.604,76.527,76.943,77.599,78.631,78.708,80.118,81.978,83.474,85.091,85.901,85.949,86.152,87.314,88.735,90.315,90.699,93.124,93.32,94.797,96.66,97.428,97.91,97.13,97.964,98.922,98.087,97.289,97.32,96.239,96.474,96.235,95.225,96.181,96.94,96.446,98.14,98.633,100.936,102.291,101.99,102.217,102.057,102.152,103.114,103.29,104.194,103.504,103.793,104.415,105.276,104.641,103.349,103.418
"31","23","    Gross output of nonprofit institutions \2\","DNPERG3",72.116,72.573,73.013,73.536,74.003,74.617,75.038,75.572,76.037,76.436,76.93,77.488,78.133,78.889,79.363,79.692,80.159,80.789,81.483,82.287,82.96,83.977,84.864,85.709,86.605,87.42,88.075,88.344,89.061,89.914,90.624,91.212,92.085,92.645,93.45,94.25,94.874,95.906,96.754,97.18,98.462,99.2,100.502,101.837,102.403,103.301,104.074,104.693,105.68,106.354,107.174,108.018,108.619,109.42,110.249,110.478,110.752,111.387
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",70.863,71.375,71.822,72.548,73.105,73.624,74.044,74.537,74.839,75.319,75.562,75.766,76.172,76.683,77.058,77.466,78.01,78.481,78.958,79.527,80.281,80.864,81.959,82.602,83.188,84.016,84.726,85.333,86.01,86.824,88.047,89.109,90.271,91.404,92.407,93.568,94.759,95.815,96.69,97.424,98.569,99.385,100.361,101.685,102.532,103.655,104.759,105.568,106.564,107.412,108.202,109.611,110.329,111.198,112.012,112.582,113.457,114.301
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  Energy goods and services \4\","DNRGRG3",59.071,59.005,58.692,58.296,60.036,62.032,61.289,62.711,63.899,61.252,61.617,61.882,58.363,56.976,56.556,55.73,54.95,58.209,60.861,62.926,67.372,69.084,71.25,72.763,74.243,75.659,71.913,65.347,63.558,67.558,68.463,70.75,78.093,73.219,76.566,76.84,81.217,82.64,85.089,91.139,91.036,92.339,105.897,110.728,110.141,112.635,116.288,106.587,111.018,117.06,117.358,127.612,133.919,140.295,149.736,115.976,103.432,102.856
"35","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRG3",83.042,83.536,83.947,84.361,84.722,85.107,85.527,86.026,86.439,86.906,87.128,87.452,87.748,88.071,88.41,88.738,89.081,89.391,89.692,90.054,90.606,90.885,91.256,91.696,92.251,92.606,92.815,93.285,93.604,94.157,94.644,94.976,95.204,95.569,95.985,96.379,96.957,97.592,98.078,98.527,99.229,99.768,100.172,100.831,101.325,102.057,102.63,103.154,103.862,104.318,104.904,105.714,106.333,106.976,107.652,107.866,108.173,108.702
"36","27","  Market-based personal consumption expenditures \6\","DPCMRG3",83.058,83.514,83.835,84.168,84.595,85.147,85.422,85.917,86.284,86.445,86.634,86.816,86.806,86.91,87.174,87.404,87.607,88.117,88.512,88.988,89.746,90.093,90.679,91.165,91.754,92.194,92.358,92.251,92.375,92.974,93.412,93.868,94.616,94.569,95.182,95.565,96.321,96.941,97.439,98.285,98.773,99.329,100.505,101.393,101.845,102.612,103.387,103.202,104.131,104.977,105.448,106.781,107.843,108.912,110.28,108.781,108.452,108.86
"37","28","  Market-based personal consumption expenditures excluding food and energy \6\","DPCXRG3",85.27,85.744,86.138,86.533,86.804,87.176,87.471,87.85,88.175,88.601,88.758,88.931,89.209,89.435,89.752,90.046,90.316,90.613,90.813,91.146,91.621,91.826,92.253,92.669,93.158,93.505,93.922,94.276,94.51,94.896,95.351,95.684,95.926,96.2,96.583,96.901,97.403,97.918,98.268,98.724,99.33,99.779,100.131,100.76,101.295,102.024,102.599,103.018,103.659,104.078,104.502,105.235,105.904,106.504,107.219,107.616,108.133,108.754
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","6. This index is a supplemental measure that is based on household expenditures for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","which there are observable price measures.  It excludes most implicit prices (for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
