"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"55","47","    Goods","A255RC1",745.5,764.3,759.7,760.4,784.5,798.4,814.4,832.5,861.5,872,898.4,910.8,920.8,926.9,922.5,952.8,975.5,1020.8,1073.9,1120.6,1188.9,1227.6,1280.5,1289,1261.6,1184.8,1139.5,1100.9,1119.1,1192.4,1219.2,1244.7,1268,1271,1281.6,1336.4,1401.1,1483,1521.4,1601.2,1628.9,1671.7,1720,1811.4,1842.9,1884.3,1925,1887.5,1926.9,1951.1,1993.8,2078.9,2143.1,2226.8,2243.3,1892.5,1508.2,1463.6
"56","48","    Services","B656RC1",141.4,144.1,146.1,148.8,152.2,154.4,159.3,160.2,165.8,167.7,172.5,174.5,177.4,182.7,187.4,192.2,195.2,201.4,207.8,210.4,221.8,226,234.5,232.8,230.9,235.5,224.7,217,229.2,231.6,237.2,247.4,248.1,244.8,259.2,271.4,284,293.9,299.9,311.2,310.9,317,322.1,329.2,346.9,353.1,356.6,365,367.4,375.8,389.8,395.2,404.9,413.4,427.2,404.2,379.6,367.9
"57","49","Government consumption expenditures and gross investment","A822RC1",1364.6,1376.3,1378.8,1376.4,1400.7,1417.1,1422.6,1443.5,1457.4,1472.4,1477.9,1490,1482.6,1518.7,1540.4,1562.5,1585.8,1608.8,1644.6,1685.9,1695.6,1726.9,1740,1761.3,1801.1,1846.9,1850.6,1887.2,1936.6,1968.5,1996,2032.3,2073.6,2110,2127.5,2139.1,2184.5,2219,2254.4,2273.3,2316.5,2344.6,2400.1,2418.3,2474.5,2510.5,2533.3,2555.2,2599.3,2657.4,2700.9,2748.3,2808.4,2877.1,2941.4,2905.9,2879,2923
"58","50","  Federal","A823RC1",523.1,521.7,520.1,510.2,527.9,530.9,523.6,525.5,523.6,533.5,532.4,534.4,519.5,534.8,531.8,537.9,541.2,544.3,558.9,575.3,562.4,583.2,579.4,579.3,594.3,608.7,616.3,627.4,657.8,674.4,685.4,705,725.2,762.1,765.2,773.4,805.1,819.9,839.1,834.5,862,867.2,894.1,881.9,928.5,930.3,932.2,935.9,942.8,968.1,991.4,1004.3,1038.3,1069.5,1108.3,1114.3,1106.7,1137.4
"59","51","    National defense","A824RC1",351.7,352.1,349.3,342.1,355.4,358.9,352.6,352.4,343.9,351.9,350.2,353.4,334,347.3,352.3,350.7,351,352.9,365,375.6,360.6,376.9,372.7,374,383.7,389.7,395.6,402.8,420.3,431.9,440.4,458.2,466.4,507.2,503.1,515.1,535.9,545.6,565.4,556.2,578.5,586.1,606.1,585.5,615.5,624.1,623.3,636.6,636.7,656.6,674.4,680.8,703.6,725.6,763.6,758.9,750.7,775.4
"60","52","      Consumption expenditures","A997RC1",299.1,298.6,298.8,291.4,299.7,305.3,301.7,306,300.9,308.4,302.7,306,291.3,302.3,303.4,304.2,306.6,304.7,314.3,326.3,311.6,328.2,322.9,324.7,335.4,338.5,343.4,350.8,368.2,375.2,380.3,398.9,407,444.9,439.1,449.7,470.2,477.7,492.5,484.4,507.5,511.7,529.4,510.7,538.3,541.2,543.7,552.3,554.3,568.8,585.1,591.4,609.7,622.4,655.2,648.8,642.9,662.4
"61","53","      Gross investment","A788RC1",52.7,53.4,50.5,50.7,55.7,53.5,51,46.4,43,43.5,47.4,47.3,42.6,45,48.9,46.5,44.4,48.3,50.7,49.4,49,48.7,49.8,49.4,48.3,51.2,52.2,52,52,56.8,60.1,59.3,59.4,62.3,64,65.4,65.8,67.9,72.9,71.8,71,74.3,76.7,74.8,77.2,82.8,79.6,84.3,82.5,87.8,89.3,89.4,93.9,103.2,108.4,110.1,107.8,113
"62","54","    Nondefense","A825RC1",171.4,169.7,170.7,168.1,172.5,172.1,171,173.1,179.7,181.6,182.2,181,185.5,187.5,179.5,187.2,190.2,191.4,193.9,199.7,201.9,206.3,206.6,205.3,210.6,219,220.7,224.6,237.5,242.5,245,246.9,258.8,254.9,262.2,258.3,269.2,274.2,273.7,278.3,283.5,281.1,288,296.4,313,306.2,308.9,299.3,306.1,311.6,317,323.6,334.8,343.9,344.7,355.3,356,362
"63","55","      Consumption expenditures","A542RC1",144,143.3,143.8,141.5,143.8,142.8,141.7,145.3,151.2,152.9,153.4,154.6,155,156.2,148.9,156.9,158.7,158.1,161,163.6,170.4,175.2,175.6,175.4,180.4,188.4,190.3,193.5,204.5,209.6,211.6,213.7,226.1,220.9,228.3,225.1,236.2,240,239.9,244.5,249.4,247.1,251.1,256.4,272.1,267.2,269.4,259.8,266.8,271.2,275.6,282.1,293.5,300.8,300.7,306.6,311.3,317.4
"64","56","      Gross investment","A798RC1",27.4,26.3,26.9,26.6,28.7,29.3,29.3,27.8,28.6,28.7,28.7,26.4,30.5,31.2,30.6,30.3,31.5,33.3,32.9,36.1,31.4,31,31.1,29.9,30.3,30.6,30.4,31.1,33,32.9,33.4,33.1,32.7,34,33.9,33.2,33,34.3,33.8,33.7,34.1,34.1,36.8,40,40.9,39,39.4,39.5,39.3,40.4,41.4,41.5,41.2,43.1,44,48.8,44.7,44.6
"65","57","  State and local","A829RC1",841.5,854.6,858.7,866.2,872.8,886.2,898.9,918,933.7,939,945.6,955.6,963.1,983.9,1008.6,1024.6,1044.6,1064.5,1085.7,1110.6,1133.2,1143.7,1160.6,1182,1206.7,1238.2,1234.2,1259.8,1278.9,1294.1,1310.6,1327.3,1348.4,1347.8,1362.3,1365.7,1379.4,1399.2,1415.3,1438.8,1454.6,1477.3,1506,1536.4,1546.1,1580.2,1601.2,1619.4,1656.5,1689.3,1709.5,1743.9,1770.1,1807.6,1833.1,1791.7,1772.3,1785.6
"66","58","    Consumption expenditures","A991RC1",690.6,699.2,704.7,710.6,717.9,726.6,733.3,742.9,751.6,758.2,767.8,780.6,789.6,801.6,815,828.2,844,862.3,880.2,895.9,910.2,922.6,936.2,953.5,972.8,989.2,1002.6,1012.3,1026.1,1043,1057.3,1071.2,1091.5,1092.5,1098.4,1103.6,1116.8,1129.1,1144,1166.3,1182,1198.4,1222.9,1244.8,1254.5,1274.6,1292.7,1307.6,1331.2,1357.3,1373.6,1402.5,1429.3,1458.3,1480.4,1441.7,1424.4,1429.3
"67","59","    Gross investment","A799RC1",150.9,155.3,154,155.6,154.9,159.5,165.6,175.1,182.2,180.8,177.7,175,173.5,182.4,193.5,196.3,200.6,202.1,205.5,214.7,223,221.1,224.4,228.5,233.9,249,231.6,247.5,252.8,251.1,253.3,256.1,256.9,255.3,263.9,262.2,262.6,270,271.3,272.5,272.6,278.9,283.1,291.6,291.6,305.6,308.5,311.8,325.4,332,335.9,341.4,340.8,349.2,352.7,350,347.9,356.3
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
