"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"21","14","  Services","DSERRC1",3171.7,3355.9,3563.9,3808.5,4052.8,4371.2,4614.8,4829.2,5076.6,5392.8,5745.1,6100.9,6461.4,6726.8
"22","15","    Household consumption expenditures (for services)","DHCERC1",3064.6,3240.2,3451.6,3677.5,3907.4,4205.9,4428.6,4624.2,4864.8,5182.8,5531,5860.6,6207.9,6448
"23","16","      Housing and utilities","DHUTRC1",913.8,961.2,1009.9,1065.2,1125,1198.6,1287.7,1334.8,1393.8,1462.2,1582.8,1686,1763.1,1843.7
"24","17","      Health care","DHLCRC1",719.9,752.1,790.9,832,863.6,918.4,996.6,1082.9,1149.3,1229.7,1316,1380.7,1469.6,1554.2
"25","18","      Transportation services","DTRSRC1",177.9,195,214.3,227.2,243.3,262.3,262.7,256.7,263.1,273.2,285.9,297,307.4,307.8
"26","19","      Recreation services","DRCARC1",181.1,195.6,208.3,220.6,238.8,255.5,263.6,272.8,289.5,312,326.8,348.8,371.7,383.1
"27","20","      Food services and accommodations","DFSARC1",316.7,327.4,344.6,363,381.6,410.1,421.2,438.2,462.8,492.9,525.3,559.7,587.9,608.7
"28","21","      Financial services and insurance","DIFSRC1",364.7,393.6,431.3,469.6,514.2,570,562.8,576.2,601.8,667.5,712.6,752.4,824.2,835.6
"29","22","      Other services","DOTSRC1",390.5,415.3,452.3,499.8,540.9,591.1,634,662.7,704.6,745.3,781.6,836,884,915
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",107.2,115.7,112.2,131,145.4,165.4,186.2,205,211.8,210,214.1,240.4,253.5,278.7
"31","24","      Gross output of nonprofit institutions \2\","DNPERC1",463.4,488.8,509.3,550.5,585.3,632,688,749.7,785.8,827.7,874.6,933.6,987.5,1049.4
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",356.2,373.1,397,419.6,439.9,466.6,501.8,544.7,574,617.7,660.6,693.3,734,770.7
"33","26","Gross private domestic investment","A006RC1",1144,1240.2,1388.7,1510.8,1641.5,1772.2,1661.9,1647,1729.7,1968.6,2172.2,2327.2,2288.5,2136.1
"34","27","  Fixed investment","A007RC1",1112.9,1209.4,1317.7,1447.1,1580.7,1717.7,1700.2,1634.9,1713.3,1903.6,2122.3,2267.2,2269.1,2170.8
"35","28","    Nonresidential","A008RC1",810,875.4,968.6,1061.1,1154.9,1268.7,1227.8,1125.4,1135.7,1223,1347.3,1505.3,1640.2,1693.6
"36","29","      Structures","B009RC1",207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.8,281.9,306.7,351.8,433.7,535.4,609.5
"37","30","      Equipment and software","B010RC1",602.8,650.8,718.3,786,871,950.5,898.1,842.7,853.8,916.4,995.6,1071.7,1104.8,1084.1
"38","31","        Information processing equipment and software","A679RC1",263,290.1,330.3,366.1,417.1,478.2,452.5,419.8,430.9,455.3,475.3,505.2,537.4,562.9
"39","32","          Computers and peripheral equipment","B935RC1",66.1,72.8,81.4,87.9,97.2,103.2,87.6,79.7,77.6,80.2,78.9,84.9,89.2,86.7
"40","33","          Software \4\","B985RC1",74.6,85.5,107.5,126,157.3,184.5,186.6,183,191.3,205.7,218,229.8,245.6,264.1
"41","34","          Other","A937RC1",122.3,131.9,141.4,152.2,162.5,190.6,178.4,157,162,169.4,178.4,190.6,202.5,212.1
"42","35","        Industrial equipment","A680RC1",129,136.5,140.4,147.4,149.1,162.9,151.9,141.7,142.6,142,159.6,178.4,193.2,193.8
"43","36","        Transportation equipment","A681RC1",116.1,123.2,135.5,147.1,174.4,170.8,154.2,141.6,132.9,161.1,181.7,198.2,181.7,132.3
"44","37","        Other equipment","A862RC1",94.7,101,112.1,125.4,130.4,138.6,139.5,139.6,147.5,157.9,178.9,189.8,192.6,195.1
"45","38","    Residential","A011RC1",302.9,334.1,349.1,385.9,425.8,449,472.4,509.5,577.6,680.6,775,761.9,629,477.2
"46","39","  Change in private inventories","A014RC1",31.2,30.8,71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,19.4,-34.8
"47","40","    Farm","B018RC1",-11.1,8.6,3.3,1.3,-2.7,-1.4,0,-2.5,0.1,8.8,0.1,-3.6,-0.6,-7.1
"48","41","    Nonfarm","A015RC1",42.2,22.1,67.7,62.5,63.5,55.9,-38.3,14.5,16.3,56.1,49.8,63.6,20,-27.7
"49","42","Net exports of goods and services","A019RC1",-90.7,-96.3,-101.4,-161.8,-262.1,-382.1,-371,-427.2,-504.1,-618.7,-722.7,-769.3,-713.8,-707.8
"50","43","  Exports","B020RC1",811.9,867.7,954.4,953.9,989.3,1093.2,1027.7,1003,1041,1180.2,1305.1,1471,1655.9,1831.1
"51","44","    Goods","A253RC1",583.3,618.3,687.7,680.9,697.2,784.3,731.2,700.3,726.8,817,906.1,1024.4,1139.4,1266.9
"52","45","    Services","A646RC1",228.6,249.3,266.7,273,292.1,308.9,296.5,302.7,314.2,363.2,399,446.6,516.5,564.2
"53","46","  Imports","B021RC1",902.6,964,1055.8,1115.7,1251.4,1475.3,1398.7,1430.2,1545.1,1798.9,2027.8,2240.3,2369.7,2538.9
"54","47","    Goods","A255RC1",757.4,807.4,885.7,930.8,1047.7,1246.5,1171.7,1193.9,1289.3,1501.7,1708,1884.9,1987.7,2126.4
"55","48","    Services","B656RC1",145.1,156.5,170.1,184.9,203.7,228.8,227,236.3,255.9,297.3,319.8,355.4,382.1,412.4
"56","49","Government consumption expenditures and gross investment","A822RC1",1374,1421,1474.4,1526.1,1631.3,1731,1846.4,1983.3,2112.6,2232.8,2369.9,2518.4,2676.5,2883.2
"57","50","  Federal","A823RC1",518.8,527,531,531,554.9,576.1,611.7,680.6,756.5,824.6,876.3,931.7,976.7,1082.6
"58","51","    National defense","A824RC1",348.8,354.8,349.8,346.1,361.1,371,393,437.7,497.9,550.8,589,624.9,662.1,737.9
"59","52","      Consumption expenditures","A997RC1",297,303.2,304.5,300.3,313,321.8,342,380.7,435.2,481.2,514.8,543.9,574.9,634
"60","53","      Gross investment","A788RC1",51.8,51.6,45.3,45.8,48.2,49.2,50.9,57,62.8,69.6,74.2,81,87.3,103.9
"61","54","    Nondefense","A825RC1",170,172.2,181.1,184.9,193.8,205,218.7,242.9,258.5,273.9,287.3,306.8,314.5,344.7
"62","55","      Consumption expenditures","A542RC1",143.2,143.4,153,154.3,160.3,174.2,188.1,209.8,225.1,240.2,251,267.1,273.9,300.4
"63","56","      Gross investment","A798RC1",26.8,28.8,28.1,30.7,33.4,30.9,30.6,33.1,33.5,33.7,36.3,39.7,40.6,44.3
"64","57","  State and local","A829RC1",855.3,894,943.5,995,1076.3,1154.9,1234.7,1302.7,1356.1,1408.2,1493.6,1586.7,1699.8,1800.6
"65","58","    Consumption expenditures","A991RC1",701.3,730.2,764.5,808.6,870.6,930.6,994.2,1049.4,1096.5,1139.1,1212,1282.3,1366.1,1452.4
"66","59","    Gross investment","A799RC1",154,163.8,178.9,186.4,205.7,224.3,240.5,253.3,259.6,269.1,281.6,304.4,333.7,348.2
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
