"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"54","47","  Other","B910RL1",1.5,1.9,3.9,3.9,0,5.5,3.5,-0.5,0.4,7.1,-0.9,-1.2,0.8,-0.2
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","A332RL1",14.2,11.5,18.1,3.2,4.8,12.9,-8.3,-5.7,1.8,11,9.4,10.7,8.3,4.7
"57","49","  Exports of nondurable goods","A339RL1",6.4,3.3,6.5,-0.2,1.4,6.5,-0.5,1.5,1.8,3.2,3.3,6.5,5.5,8.4
"58","50","  Exports of agricultural goods \2\","B181RL1",11.5,-2.4,2.1,-0.1,0.7,8.1,3.1,-2.5,1.3,-5.4,5.1,8.4,7,6.6
"59","51","  Exports of nonagricultural goods","A182RL1",11.7,10.1,15.7,2.4,4.1,11.3,-6.9,-3.7,1.8,9.8,7.7,9.5,7.4,5.8
"60","52","  Imports of durable goods","A333RL1",11.5,10.7,16.5,13.2,14.6,15.2,-6.2,4.2,4.3,13.8,8.5,8.8,2.2,-4.4
"61","53","  Imports of nondurable goods","A340RL1",4.1,6.7,10.4,9.1,8.1,9.8,2.7,2.8,6,6.6,4.1,1.7,1,-3.3
"62","54","  Imports of nonpetroleum goods","A187RL1",9.9,9.4,15.4,12.2,13.3,14.1,-3.8,4.3,4.7,11.6,7.5,7.4,2.5,-4.2
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
