"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"20","10","    Information processing equipment and software","A679RZ2",4.19,4.44,1.95,5.38,4.96,4.16,4.5,3.25,6.09,5.58,7.73,3.63,6.51,4.16,3.02,5.92,5.36,7.61,4.87,0.91,7.33,5.65,1.91,3.37,-0.42,-4.72,-2.82,-0.92,-0.32,1,1.9,-2.45,2.34,1.32,5.55,4.37,0.3,1.77,1.85,1.94,1.28,1.86,1.97,0.91,3.55,0.57,1.99,0.65,2.77,1.17,1.93,3.29,2.48,1.69,-1.1,-4.43,-4.55,-1.21
"21","11","      Computers and peripheral equipment","B935RZ2",2.26,3.4,1.9,3.61,2.09,1.89,2.13,1.5,2.59,2.79,3.28,1.22,3.57,2.41,1.36,2.6,3.2,2.96,1.13,-0.3,1.33,2.57,0.83,0.4,0.93,-1.39,-1.43,1.14,1.01,-0.41,0.92,-0.34,0.58,0.12,1.05,1.18,-0.38,0.5,0.71,0.88,-0.33,0.53,0.69,1.08,0.96,0.54,0.96,0.04,1.06,0.13,0.77,1.27,0.76,0.22,-1.21,-1.19,-0.46,0.2
"22","12","      Software \2\","B985RZ2",0.39,0.78,0.98,1.1,1.14,1.21,1.22,1.63,3.1,1.71,2.15,2.06,1.33,1.26,1.71,2.1,1.8,2.79,2.25,1.31,1.48,1.18,0.1,1.32,0.34,-1,-0.51,-1.3,0.39,1.15,1,-1.14,1.02,0.49,2.59,1.72,0.56,0.32,1.35,1.24,0.18,1.04,0.25,0.04,0.43,0.43,0.66,0.76,0.4,0.71,0.66,1.25,1.4,0.56,-0.37,-1.08,-2.88,-1.71
"23","13","      Other \3\","A937RZ2",1.54,0.25,-0.93,0.67,1.73,1.06,1.15,0.12,0.4,1.08,2.3,0.35,1.61,0.5,-0.05,1.23,0.37,1.86,1.49,-0.1,4.51,1.9,0.98,1.65,-1.69,-2.33,-0.88,-0.76,-1.72,0.26,-0.02,-0.97,0.73,0.71,1.91,1.47,0.11,0.95,-0.21,-0.18,1.43,0.29,1.04,-0.21,2.16,-0.4,0.37,-0.15,1.31,0.33,0.49,0.77,0.32,0.91,0.49,-2.17,-1.2,0.31
"24","14","    Industrial equipment","A680RZ2",2.01,0.71,0.34,-0.4,1.12,0.91,-0.39,0.52,-0.21,0.87,0.3,0.13,2.19,-0.32,-0.81,0.17,-0.02,0.58,0.52,0.06,1.8,1.03,0.69,-0.55,0.16,-2.63,-1.48,-0.97,0.27,-0.91,0.41,-0.19,-0.16,1.37,-0.87,-0.86,-1.29,0.75,0.94,0.6,0.71,-0.33,1.2,1.19,-0.36,1.98,-0.26,0.16,-0.6,2.74,-0.19,-1.35,0.15,-0.14,-0.96,-1.19,-4.98,-1.38
"25","15","    Transportation equipment","A681RZ2",2.79,-4.41,-0.7,1.22,-0.37,1.4,3.82,0.05,0.17,1.06,2.44,-2.39,1.03,2.13,2.38,4.48,0.57,1.46,2.85,-1.58,-0.21,0.64,-1.61,-2.04,-1.01,0.27,-1.49,1.63,-1.99,-1.8,-0.55,-1.47,-3.22,2.6,0.49,-0.06,-0.34,3.21,2.65,2.47,-1.31,1.18,1.85,-1.28,3.7,-1.5,-0.06,0.34,-1.32,-1.83,-1.14,-0.04,-1.69,-3.8,-3.51,-5.42,-5.26,1.26
"26","16","    Other equipment \4\","A862RZ2",1.01,-0.26,-0.15,0.37,0.34,0.47,0.92,0.32,0.84,0.6,2.21,0.42,1.52,1.07,-0.13,-0.47,1.21,-0.46,0.42,0.69,0.95,0.79,-0.51,0,0.49,-0.86,0.59,-0.93,-0.43,1.16,-0.08,-0.04,0.46,0.11,1.45,0.42,-0.31,0.8,1.15,0.71,0.52,1.39,0.04,0.23,1.03,-0.06,-0.62,0.17,-1.09,1.01,0.5,0.31,-1.04,-0.25,0.89,-2.41,-2.77,-2.97
"27","17","Residential","A011RZ2",-2.47,-3.5,3.36,2.56,3.01,4.92,-0.26,-1.11,0.4,1.4,0.59,1.1,1.99,3.36,3.26,2.7,0.69,1.24,0.94,1.33,0.9,-0.7,-1.83,0.1,0.49,1.51,0.6,-0.94,3.07,2.93,0.72,1.94,1.28,3.12,6.96,3.75,1.22,5.5,1.5,1.15,2.63,3.42,1.51,0.03,-1.55,-6.51,-7.91,-6.93,-5.4,-4.06,-7.04,-8.99,-7.86,-3.88,-3.69,-5.08,-8.1,-6.75
"28","18","  Structures","A012RZ2",-2.45,-3.47,3.33,2.57,3.05,4.86,-0.22,-1.14,0.44,1.38,0.58,1.09,1.95,3.29,3.23,2.66,0.64,1.17,0.88,1.32,0.84,-0.72,-1.84,0.08,0.49,1.51,0.58,-0.99,3.05,2.91,0.74,1.92,1.28,3.03,6.87,3.69,1.19,5.45,1.46,1.11,2.64,3.39,1.51,-0.02,-1.59,-6.49,-7.91,-6.92,-5.42,-4.03,-7.05,-9,-7.84,-3.9,-3.63,-5.01,-8.07,-6.69
"29","19","    Permanent site","A943RZ2",-2,-3.56,1.27,2.31,2.25,3.61,-0.53,-0.88,-0.12,0.81,-0.53,1.07,1.49,2.14,2.82,2.04,0.68,-0.08,0.54,1.53,0.77,-0.77,-1.97,0.09,0.84,1.13,0.29,-1.27,1.09,2.22,0.72,0.85,1.63,1.1,4.32,4.74,0.52,2.94,1.49,0.07,2.52,1.52,1.22,1.54,-0.32,-6.21,-6.61,-6.55,-4.73,-3.07,-5.03,-7.16,-6.53,-3.62,-3.39,-4.42,-6.67,-5.07
"30","20","      Single family","A944RZ2",-2.32,-3.51,0.8,2.15,1.94,3.02,0.29,-1.06,-0.63,0.54,-0.25,0.64,1.69,2.45,2.63,1.93,0.46,-0.22,0.21,1.67,0.97,-0.89,-1.67,-0.2,0.72,1.1,0.27,-1.43,0.92,2.06,0.77,0.95,1.47,1.11,4.05,4.78,0.45,2.6,1.1,0,2.3,1.23,1.07,1.55,-0.31,-6.14,-6.46,-6.84,-4.59,-2.35,-4.46,-6.69,-6.23,-3.67,-3.19,-3.93,-6.11,-4.31
"31","21","      Multifamily","C292RZ2",0.31,-0.05,0.47,0.15,0.31,0.59,-0.82,0.18,0.5,0.27,-0.28,0.44,-0.2,-0.3,0.19,0.1,0.22,0.13,0.33,-0.13,-0.21,0.12,-0.3,0.28,0.12,0.03,0.03,0.16,0.17,0.16,-0.04,-0.1,0.16,-0.01,0.27,-0.04,0.07,0.33,0.39,0.07,0.22,0.29,0.15,-0.01,-0.01,-0.08,-0.15,0.29,-0.14,-0.72,-0.57,-0.47,-0.3,0.06,-0.19,-0.49,-0.56,-0.77
"32","22","    Other structures \5\","A863RZ2",-0.45,0.1,2.07,0.26,0.8,1.26,0.31,-0.26,0.56,0.58,1.1,0.02,0.46,1.14,0.4,0.62,-0.04,1.26,0.34,-0.22,0.08,0.05,0.13,-0.01,-0.35,0.37,0.29,0.28,1.96,0.7,0.01,1.07,-0.36,1.94,2.55,-1.04,0.67,2.51,-0.04,1.04,0.13,1.87,0.29,-1.56,-1.26,-0.28,-1.3,-0.37,-0.7,-0.95,-2.02,-1.84,-1.31,-0.28,-0.24,-0.59,-1.4,-1.62
"33","23","  Equipment","B013RZ2",-0.02,-0.04,0.03,-0.01,-0.03,0.05,-0.04,0.02,-0.05,0.01,0.01,0.01,0.04,0.07,0.03,0.05,0.05,0.07,0.06,0.01,0.06,0.01,0.01,0.02,0,0.01,0.01,0.04,0.02,0.02,-0.02,0.02,0,0.08,0.1,0.05,0.04,0.04,0.05,0.04,-0.01,0.02,0,0.06,0.04,-0.02,0,-0.01,0.02,-0.03,0.01,0.01,-0.02,0.02,-0.07,-0.07,-0.03,-0.06
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24","  Private fixed investment in structures","A349RZ2",-0.53,-1.95,3.93,2.03,4.48,6.65,0.77,2.68,1.2,0.78,3.62,1.68,1.3,7.57,3.33,2.66,0.45,0.43,0.92,2.18,2.31,2.31,0.93,0.4,-1.6,1.83,1.06,-8.52,-1.06,-1.04,-2.36,0.94,0.63,5.15,6.8,3.42,0.81,6.33,2.13,1.19,3.83,3.16,0.13,0.4,1.51,-2.82,-6.01,-6.62,-2.39,0.55,-1.5,-6.38,-6.14,-0.27,-3.58,-6.73,-21.4,-9.13
"36","25","  Private fixed investment in equipment and software","A327RZ2",9.98,0.44,1.45,6.57,6.01,7.01,8.81,4.16,6.85,8.12,12.7,1.8,11.3,7.11,4.5,10.14,7.17,9.27,8.72,0.09,9.91,8.13,0.49,0.81,-0.77,-7.94,-5.19,-1.15,-2.44,-0.54,1.67,-4.14,-0.58,5.47,6.72,3.93,-1.6,6.58,6.63,5.76,1.18,4.12,5.07,1.11,7.96,0.96,1.04,1.3,-0.22,3.06,1.11,2.23,-0.12,-2.48,-4.75,-13.52,-17.58,-4.35
"37","26","  Private fixed investment in new structures \6\","W040RZ2",-0.4,-1.97,2.38,2.32,4.24,5.87,0.66,2.94,0.79,0.45,2.71,0.79,1.82,6.59,3.21,2.42,0.74,-0.67,0.77,2.69,2.11,2.04,0.73,0.21,-1.27,1.59,-1.83,-5.25,-2.39,-1.19,-1.71,0.08,0.81,3.7,4.84,4.46,0.11,3.66,2.12,0.7,4.1,1.35,-0.17,2.18,2.5,-2.76,-4.83,-6.5,-2,1.23,0.19,-4.99,-5.22,-0.61,-3.72,-5.47,-20.77,-9.07
"38","27","    Nonresidential structures","A771RZ2",1.9,1.5,0.59,-0.55,1.4,1.75,0.95,3.75,0.73,-0.59,3.02,-0.35,0.3,4.29,0.12,-0.02,-0.19,-0.73,0.04,0.86,1.44,3.01,2.75,0.35,-2.05,0.33,-2.46,-4.53,-4.11,-3.88,-3.02,-0.91,-0.67,2.08,-0.1,-0.32,-0.41,0.83,0.62,0.03,1.11,-0.27,-1.39,0.43,3.12,3.7,1.94,0.36,3.06,4.57,5.53,2.57,1.68,3.6,0.02,-1.73,-13.3,-2.45
"39","28","    Residential structures","A756RZ2",-2.3,-3.47,1.8,2.87,2.85,4.12,-0.28,-0.81,0.06,1.04,-0.31,1.14,1.52,2.31,3.09,2.44,0.94,0.05,0.73,1.83,0.67,-0.96,-2.02,-0.13,0.78,1.26,0.63,-0.72,1.71,2.7,1.31,0.99,1.48,1.62,4.94,4.79,0.52,2.83,1.5,0.67,2.99,1.62,1.22,1.76,-0.61,-6.46,-6.76,-6.86,-5.06,-3.34,-5.34,-7.56,-6.91,-4.21,-3.74,-3.74,-7.46,-6.62
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
