"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"21","14","    Business current transfer payments (net)","B029RC1",45.8,53.8,51.3,65.2,69,87,101.3,82.4,76.1,81.7,95.9,83,102.2,118.8
"22","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1096.4,1106.3
"23","16","    Rental income of persons with capital consumption adjustment","A048RC1",154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,144.9,210.4
"24","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",623.2,699.5,777.3,709.7,734.8,673.6,614.5,714.3,812,1041.9,1216.6,1351.5,1193.9,983.2
"25","18","      Taxes on corporate income","A054RC1",217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.3,451.5,292.2
"26","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",405.4,468.1,531.9,461.3,476,408.5,411.2,522,568.3,735.8,804.3,878.2,742.4,691
"27","20","        Net dividends","A449RC1",221.6,257.3,284,309.2,295.7,348.5,330.1,351.2,392.8,488,296.5,626.9,641.6,543.3
"28","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",183.8,210.7,247.9,152.1,180.3,60.1,81.1,170.8,175.5,247.8,507.8,251.3,100.8,147.7
"29","22","  Current surplus of government enterprises \1\","A108RC1",13.1,14.4,14.1,13.3,14.1,9.1,4,6.3,7,1.2,-3.5,-4.2,-6.6,-6.9
"30","23","Consumption of fixed capital","A262RC1",869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1760,1847.1
"31","24","  Private","A024RC1",704.6,743.4,789.7,841.6,907.2,986.8,1051.6,1094,1135.9,1200.9,1290.8,1391.4,1469.6,1536.2
"32","25","  Government","A264RC1",164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,290.4,310.9
"33",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Statistical discrepancy","A030RC1",52.5,25.9,-14,-85.3,-71.1,-134,-103.4,-22.1,16.6,-7.8,-79.7,-220.6,-14.8,101
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
