"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","          Value added","W102RL1",1.4,0.6,0,-3.1,-0.2,4.3,-0.2,-0.2,0.9,0.8,1.3,0.3,1.5,1.4,1.4,0.6,0.8,0.2,1.4,1.9,2.4,3.7,-1,0.6,2.8,2.7,2.3,1.4,2.5,2.2,1.7,0.5,2.2,1.1,0,0,1,0.5,0.8,1.4,0.7,-0.1,0.8,0.4,-0.3,0.7,2.4,1.4,0.9,1.3,1.9,1.7,2.8,2.2,2.7,1.9,1.2,2.7
"12","4","            Compensation of general government employees","A194RL1",1.4,0.4,-0.3,-3.9,-0.5,4.9,-0.5,-0.5,0.7,0.6,1.2,0,1.4,1.3,1.2,0.2,0.5,-0.3,1.1,1.7,2.3,3.9,-1.6,0.2,2.9,2.8,2.3,1.3,2.5,2.2,1.6,0.2,2.2,0.9,-0.4,-0.4,0.6,0.1,0.4,1.2,0.4,-0.5,0.4,-0.1,-0.9,0.3,2.3,1.1,0.6,1,1.6,1.3,2.5,1.9,2.7,1.8,0.7,2.3
"13","5","            Consumption of general government fixed capital \2\","A265RL1",1.1,1.3,1.4,1.4,1.6,1.5,1.7,1.7,1.7,1.9,2,2,2.1,2.4,2.5,2.7,2.9,2.9,2.8,2.8,2.9,2.7,2.6,2.4,2.1,2.4,2.3,2.3,2.4,2.3,2.3,2.2,2.2,2.4,2.3,2.5,3.3,3.1,2.9,2.6,2.4,2.6,2.8,2.9,3,3.1,3.1,3,2.9,3.3,3.6,3.9,4.2,3.4,2.7,2.1,4,4.5
"14","6","          Intermediate goods and services purchased \3\","W104RL1",0,0.5,2.5,-5,3.5,5.6,-1.4,8,-1.4,12.1,-1.4,8.9,-7.4,14.8,6.7,2.9,3.3,4.3,11.2,10.1,-11,13.9,-0.9,5.8,11.6,9.4,5.5,10.1,9.7,5.4,4.9,4.9,-5.4,15.6,-1.9,1.3,5.1,1.4,5.2,-5.8,2.8,-1.6,8.8,-7.2,10.7,-3.5,0.2,0.1,-1.9,6.6,8.3,1.2,4.5,1.2,8.9,0.5,-4.5,5.2
"15","7","            Durable goods","W105RL1",0.3,-19,54.9,-37.1,7.1,32.8,0.8,-17.7,12.4,20,-12.3,7.8,-1.7,11.4,24.4,-2.5,-8.3,34.7,18.6,-16,6.9,1.7,5.5,-5.2,-0.2,22.4,15.7,-18.9,6.1,10.4,14,-10.4,-7.7,32.5,2,0.8,4.4,17.1,4.1,-6.6,-5.5,7.7,10,1.1,7.3,0,9.5,10.8,-6.6,15.7,18.2,6.7,7.6,17.1,13.9,7,-16.7,29.5
"16","8","            Nondurable goods","W106RL1",3.6,-1.8,5.7,-1.2,2.8,3.2,3.1,0.7,12.7,2.7,7.2,5.6,10.2,6.2,10.1,4.4,-3.6,8.5,9.2,-2.3,10.5,2.1,3.4,7.1,11.7,16,-0.9,9.6,2.5,7,-2.7,1.8,-2.7,2.7,-5.9,5.2,7.9,-0.8,1.5,-4.4,8.8,-5.3,5.6,-0.6,-0.1,-2.9,5.1,-5,5.8,3,5.3,-3.1,3.6,2.3,1.8,2.3,0.5,5.3
"17","9","            Services","W107RL1",-1.1,4,-3.6,-1.2,3.3,3.4,-3.1,14.3,-7.2,14.5,-2.7,10.1,-13.2,18.2,3.7,3.1,7,0,11,18.2,-19.1,20,-3,6.7,12.9,5.9,6.8,13.9,12.5,4.5,6.7,7.5,-6.1,18.6,-1,0.2,4.2,0.8,6.6,-6.1,1.6,-1.1,9.9,-10.3,15.4,-4.1,-2.5,1.1,-4.1,7.2,8.6,2.4,4.5,-0.7,11.7,-0.9,-4.9,3
"18","10","        Less: Own-account investment \4\","W108RL1",2.7,-2.2,1.9,-13.2,1.2,6.2,3.8,-2.2,51.7,-11.2,-17.4,-12.8,18.5,27.8,0.7,-22.9,-14.5,53.8,-6.7,3.9,-7.5,-8.4,14.7,-3,35.3,22.2,-10.4,2.1,5.4,-4.2,1.6,-4,-10.5,-2.5,4.6,3.7,-7.8,9.3,0.4,-2.8,-3.9,6.7,0.3,4.8,-5.5,11.2,1,0.2,4.6,3.4,3.5,2,3.8,8.2,1.6,-3.2,0.7,4.9
"19","11","              Sales to other sectors","W109RL1",0.1,-1,2.3,7.4,-2.8,2.3,5.7,0,-0.7,3.8,2.6,5.9,2.2,-2,24.4,-15.7,2,6.3,3.9,2,10.2,2.4,5.9,10.2,2.3,1.8,3.4,4.5,-0.8,-2,4.4,-3,-0.3,3.2,-0.5,-1.2,1.6,1.2,3.7,-0.8,3.5,-2.7,3.7,0.6,-1.9,2.6,0.6,-0.7,3.6,2.7,4.4,0.3,4.2,1.7,4,-3.1,0.8,1
"20","12","Federal consumption expenditures \1\","A957RL1",-2.5,-1,-1,-15.8,4.6,5.9,-6.2,4,-4.1,7.9,-5.1,1.4,-13.6,10.5,-6.7,7.3,-1.8,-4.6,8.3,9.5,-13.6,20.5,-9.3,-0.8,10.4,7.6,2.3,4.7,9.8,7.5,4.8,8.9,0.4,20.9,-0.5,2.8,6.3,1.1,5.8,-4.5,2.7,-1.3,8.3,-7.8,12.3,-5.2,1.3,-1.1,-4.7,5.4,9.8,3.2,7.6,4.2,12.9,4.7,-2.6,10.3
"21","13","      Gross output of general government","W110RL1",-4,-2.4,-0.8,-14.3,2.8,6.4,-4.4,2.4,-5.4,7.8,-6.1,1.4,-12.8,8.9,1.3,-2.1,-2.4,-1.8,8.4,7.8,-12.3,18.8,-8.7,1,8.5,6.4,2.3,5.6,9.3,6.2,6.6,7.3,0.4,22.1,-0.9,2.3,5.9,1.4,7.1,-4.9,3.9,-2.3,9.6,-7.7,10.9,-4.7,1.1,-2.1,-4.1,5.2,10.3,2.2,7.5,4.3,14.1,3.6,-2.1,10.4
"22","14","        Value added","W111RL1",-2.7,-1.3,-2.6,-13.1,0.6,3.8,-2.2,-4.6,-1,-1.5,-1.1,-4.5,0.1,-0.5,0.3,-0.3,-0.1,-3.2,-1,0,2.8,8.4,-7.1,-2,3.6,1.8,0.5,-1.3,4.5,2.8,2.6,1.4,5.2,3.3,0.2,0,1.9,-0.4,1.7,2.6,0.6,-1.1,-0.3,1.6,-2.9,0.1,3.5,0.1,-1,-0.4,4.1,1.8,4.4,4.4,6.5,6,4.8,7.6
"23","15","          Compensation of general government employees","B568RL1",-3.3,-1.6,-3.4,-17.5,0.9,5.5,-2.9,-6.2,-1.4,-2,-1.4,-6,0.3,-0.7,0.2,-0.7,-0.5,-4.6,-1.7,-0.4,3.5,11.3,-9.7,-2.9,4.9,2.3,0.5,-1.9,5.8,3.3,3.1,1.5,6.4,3.9,-0.1,-0.6,2,-1.1,1.5,2.6,0,-2.1,-1.1,1.1,-4.5,-0.7,3.6,-0.7,-2,-1.6,4,0.9,4,4.5,7.6,7.3,4.5,7.9
"24","16","          Consumption of general government fixed capital \2\","B995RL1",-1,-0.6,-0.4,-0.4,-0.1,-0.4,0,-0.2,-0.1,-0.1,-0.2,-0.3,-0.5,0.1,0.3,0.7,1,1,0.9,0.9,1,0.8,0.8,0.4,-0.1,0.5,0.4,0.6,0.9,0.9,0.9,1,1.2,1.5,1.4,1.8,1.7,2,2.4,2.5,2.7,2.8,3,3.1,3.3,3.4,3.3,3.1,2.9,3.7,4.4,5.1,5.9,4.2,2.7,1.4,5.8,6.7
"25","17","        Intermediate goods and services purchased \3\","W113RL1",-6.2,-4.2,2.3,-16.2,6.8,11,-8.2,15.4,-12.2,25.1,-13.6,11.7,-30.9,27.2,3.1,-4.9,-6.2,0.7,26.1,21.4,-32.5,38.4,-11.2,6.1,16.8,14,5.2,16.9,16.8,11.4,12.6,16,-6.1,53.4,-2.5,5.3,11.3,3.9,14.4,-13.7,8.3,-3.9,23.5,-18.2,31.3,-10.3,-2,-4.8,-8.2,13.2,18.7,2.6,11.3,4.1,23.8,0.9,-9.9,14
"26","18","          Durable goods","W114RL1",-5.7,-32.7,101.4,-56.1,14,61.2,-1.7,-31.2,12.8,31.4,-24.5,9.4,-14,9.1,34.2,-10,-21.4,62.9,28.6,-32,6.7,-1.3,2.8,-13.5,-9.8,36.6,26.2,-34.4,10.8,22.7,29,-17.1,-11.2,67.7,3.7,1.6,6.3,30.2,6.7,-10.6,-9.3,12.6,16.9,1,11.5,-1.7,14.5,15.8,-13.1,24.7,28.6,9.9,11.8,27.4,21.8,9.7,-24.3,48
"27","19","          Nondurable goods","W115RL1",-0.9,-28.3,21.6,-21.6,8.6,5.5,3.2,-15.5,68.7,-10,15.5,-1.3,25.6,-2.6,20.9,-11.4,-54.1,25.7,41.5,-37.9,87.6,-8.6,-10.9,12.7,28.9,81.6,-32.9,40.2,-10.7,40.4,-17.9,19.4,8,30.9,-27.6,39.1,41.4,-5.5,7.2,-22,61.8,-26.4,31.8,-5.1,-1.7,-20.6,21.7,-32.9,18.7,6.8,22.3,-21.3,20.8,12.9,10.3,6.9,4.9,30.8
"28","20","          Services","W116RL1",-6.9,5.1,-11,-5.4,5.5,4.7,-10.6,30.6,-22.2,29.5,-14.8,13.8,-38.4,35.3,-3.4,-3.1,5.2,-9.5,24,44.7,-45,55.2,-13.3,8.7,19.8,3.9,9.1,23.9,21.6,7,15.1,20.6,-7.1,54.9,0.2,2.4,8.5,2.3,16.3,-12.9,4.5,-1.8,23.1,-22.2,40,-9.7,-7,-2.4,-10.8,12.7,16.9,5.8,9.9,-0.1,26.6,-1.1,-9.6,7.7
"29","21","      Less: Own-account investment \4\","W117RL1",25,-19.9,23.8,-43.9,0.7,13,27.1,-26.5,50.7,-24.1,-34.8,-37.5,109.5,52.5,-27.5,-65.9,-68.1,866.9,-13.6,-40.5,-63.5,15.6,14.7,0,106.4,12.2,-17.9,0.1,14.9,3.8,15.7,-11.1,-21.3,6.3,-16.7,30.3,-33.6,13.8,11,-9.3,-9.4,6.6,6.7,-4.1,-13.6,2.5,8.1,0.1,-15.6,-4.6,4.2,-11.6,29.6,5,14.5,5.2,29.3,4.6
"30","22","            Sales to other sectors","W118RL1",-64.9,-60.6,-4.7,271.6,-64.7,41.3,140.1,-50.9,-74.6,30.5,-49.8,41.5,2.3,-86,29622.3,-99.5,18,305.4,32.2,-60.3,404.6,-63.5,39.9,258.6,-78,-68.3,28,168.4,-33.1,-77.4,686.4,-78.5,20.5,320.4,-28.5,-59.3,-4.6,34.2,303.8,-39.2,224.2,-62,220.2,-4.1,-56.9,57.8,-24.8,-67.9,126.2,-6.4,71.5,-59.6,-19.1,11.7,253.9,-66.6,51.7,29.5
"31","23","    Defense consumption expenditures \1\","A997RL1",-2.2,-1.1,-1.6,-13.3,4.4,6.3,-6.7,3,-10.1,10.5,-7.4,2.6,-20,15.3,0.4,-0.2,-2.1,-4.6,10.9,13.5,-24.1,23.1,-10.2,0.9,9.2,3,2.8,5.9,10.2,5.5,4.5,12.3,-3.6,40.9,-6.7,8,7,1.2,9.7,-9.7,5.3,0.8,10.8,-14.7,10.5,-2.5,0.6,6.1,-7.3,6,10.9,0.6,6.6,2.3,20,3.3,-4.9,11.9
"32","24","      Gross output of general government","W085RL1",-5.3,-2.3,-1.8,-12.4,3.8,6.8,-5.8,2.3,-10.9,11,-8,2.3,-19.2,12.8,3.1,-2.9,-2.8,-2.8,12.3,11.6,-22.7,20.1,-9.1,-0.5,12.2,0.8,3.1,6.4,10.1,5.1,7.3,9.8,-3.5,41.4,-6.7,6.9,6.9,1.5,10.6,-10.6,6.2,0.8,11,-15.3,11,-1.7,0.1,5.1,-6.1,5.2,11.7,-0.5,6.3,2.4,19.8,3.2,-4.7,11.9
"33","25","        Value added","W086RL1",-3.8,-3.5,-3.8,-7,-2.4,-0.8,-2.1,-4.9,-2.8,-3.2,-1.2,-4.2,-2.4,-3.2,-0.6,-4.1,-2.7,-1.6,0.6,-0.7,-2.9,1.3,-0.1,-1,1.1,0.4,0.4,0,4.7,2.8,1.4,-1.1,7.2,4.4,1,0.3,4,-0.8,3.4,2.2,0.7,-1.1,0.6,0.9,-4.3,-0.5,3.9,0.9,-2.6,-0.5,4.6,1.8,3.9,4.1,8.2,5.7,4.5,7.8
"34","26","          Compensation of general government employees","B237RL1",-4.8,-4.4,-4.9,-9.5,-2.8,-0.5,-2.5,-6.5,-3.4,-4,-1.1,-5.3,-2.7,-3.9,-0.3,-5.4,-3.5,-1.9,1.3,-0.6,-3.8,2.3,0.1,-1.1,2,0.8,0.8,0.2,6.7,3.8,1.8,-1.8,9.5,5.5,0.9,-0.2,4.7,-1.7,3.7,2.1,0.1,-2.2,-0.2,0.3,-6.5,-1.6,4.2,0.3,-4.3,-1.8,4.7,0.7,3.3,4.1,10.1,7.1,4.2,8.1
"35","27","          Consumption of general government fixed capital \2\","B432RL1",-1.8,-1.5,-1.4,-1.5,-1.4,-1.6,-1.3,-1.5,-1.4,-1.5,-1.6,-1.8,-1.9,-1.6,-1.4,-1.2,-1.1,-1,-1,-0.9,-0.9,-0.9,-0.7,-0.9,-1.1,-0.6,-0.6,-0.4,-0.1,0.2,0.4,0.7,1,1.4,1.3,1.8,1.9,2,2.4,2.4,2.6,2.6,3,2.9,2.7,2.9,2.9,2.7,2.7,3.6,4.3,5.1,6,4.2,2.7,1.4,5.7,6.9
"36","28","        Intermediate goods and services purchased \3\","W087RL1",-7.8,-0.3,1.7,-21.2,15.7,21.2,-11.8,15.7,-23.1,39.8,-18.1,14,-41.6,47.6,9.4,-0.9,-3,-4.6,33.9,32.7,-45.7,57.1,-21.4,0.3,31.5,1.5,7.3,16.3,18.1,8.4,16,26.1,-16.3,109,-15.1,15.5,10.6,4.4,19.6,-23.8,13.3,3.1,24.5,-31.4,33.1,-3.1,-4.2,10.2,-10.1,12.7,20.8,-3.1,9.2,0.4,33.9,0.7,-14.3,16.9
"37","29","          Durable goods","A998RL1",-6,-33.8,108.7,-59.1,13.3,66.1,-3.5,-33.8,14,34.2,-26.9,10.9,-15.5,9.6,39.1,-10.6,-24.7,66.9,30.8,-33.8,6.9,-2.3,1.9,-15.9,-9.4,38.3,27.3,-37.4,6.8,24.6,30.8,-18.9,-10.9,77,3.1,2.1,5.6,29.6,6.8,-12.6,-10.6,12,16.4,-0.5,10.1,1,15.6,19.5,-14.4,25.2,29,9.5,11.2,28.7,23.6,9.5,-25.7,51.6
"38","30","          Nondurable goods","A725RL1",-64.3,7.5,-6.3,-37.8,93.5,34.3,-0.1,-36.5,51,-25.9,30.1,-7.7,0.1,-7.6,65.4,-22.2,-10.4,49,111.9,-51.5,100.4,-16,-43,-6.3,20,51.7,-19.3,53.4,-0.8,36.3,-19.8,51.3,24.4,-2.1,-57.9,88.1,102.9,-14.3,48.5,-65.2,57.8,42.5,12.2,-35.1,2.4,-12.1,58.7,-39.9,46,-3.6,28.6,-44.9,22.1,22.2,19.7,11.8,-14.2,34.6
"39","31","          Services","A489RL1",-0.1,9.8,-15.1,-4.7,11.6,11.1,-14.9,39.8,-34,49.5,-19,16.8,-49.1,65.1,-0.2,3.6,3.4,-19.7,28.8,72,-59.6,89.8,-23.5,5.1,43.3,-8.5,6.3,28.8,22.2,3.5,17.3,34.3,-20.4,131.4,-13.3,13.5,5.5,2.5,19.1,-19.4,14.1,-1.7,27.4,-34.9,41.5,-2.7,-12.7,16.5,-14.1,12.6,18.6,1.5,7.6,-6.6,38.4,-2.2,-12,9.7
"40","32","      Less: Own-account investment \4\","W088RL1",26.6,-25.2,6.3,-32.4,-1,2.3,18.6,-19.3,51.7,-23.8,-41.4,-30.4,73.9,54.6,-36.8,-63.6,-68.9,971.3,-23.7,-32,-61.5,10.3,4.3,13.3,129.7,-28.5,13.3,105.3,67.6,13.6,4.3,11.6,-20.8,0.9,-17.9,18.9,-39.5,17,2.7,4.7,-30,3.6,2.3,4.5,-17.8,2.8,3.3,8,-15.8,-7.6,-5.1,-5.3,27.7,2.8,4.2,-7,58.2,7.8
"41","33","            Sales to other sectors","W089RL1",-93.6,-78.6,-30.3,370.9,-52.7,103.4,135.3,-43.6,-81.3,192.7,-47.6,-17.9,99.8,-99.5,39936.2,-98.1,-69.2,1370.3,861.3,-86,1115.4,-97,576.2,-95.1,7025.1,-95.4,96.7,44.8,-45.8,-63.6,7907.8,-95.1,43.9,247.2,13.8,-85.2,54.3,84.2,329.2,-88.6,595.2,-5.2,51.3,-80.4,234.2,180.9,-46.7,-81.5,742.8,-62.5,263.8,-80.6,-43,20.8,-9.5,3.7,-1.5,2.1
"42","34","    Nondefense consumption expenditures \1\","A542RL1",-3.2,-0.7,0.4,-20.8,4.9,5.2,-5,6.2,9.5,2.8,-0.4,-1,0.3,2,-19.3,24,-1.2,-4.7,3.6,1.9,10.8,15.9,-7.6,-3.9,12.5,16.6,1.5,2.7,9.2,11.2,5.5,3.1,8.2,-9.6,12.9,-6.5,4.8,1.1,-1.6,6.9,-2.4,-5.5,3.3,8.1,16,-10.4,2.8,-14.4,0.8,4,7.6,8.8,9.7,8.4,-0.8,7.8,2.4,7
"43","35","      Gross output of general government","W128RL1",-1.4,-2.6,1.1,-17.9,0.9,5.7,-1.6,2.6,6.5,1.7,-2.2,-0.5,0.7,2,-1.8,-0.5,-1.5,0.2,1.3,0.7,10.9,16.5,-7.9,3.6,2.3,17.4,1,4.3,8.1,8.2,5.4,2.8,7.8,-7.4,11.2,-6.2,3.9,1.2,0.4,7.5,-0.6,-8.2,6.7,9.7,10.7,-10.2,2.9,-15.1,0.1,5.2,7.2,8,9.8,8.3,3.1,4.5,3.5,7.5
"44","36","        Value added","W129RL1",-0.2,3.3,-0.2,-24.5,7,14.2,-2.3,-4.1,2.5,2,-0.9,-5,5.1,4.9,1.9,6.9,4.8,-5.9,-3.9,1.2,13.7,21.7,-17.8,-3.8,8.2,4.3,0.7,-3.5,4.2,2.6,4.7,5.9,1.9,1.5,-1.1,-0.7,-1.7,0.3,-1.3,3.4,0.3,-1,-1.8,2.8,-0.1,1.4,2.8,-1.3,2.2,-0.3,3.2,2,5.4,5,3.3,6.7,5.2,7.3
"45","37","          Compensation of general government employees","W130RL1",-0.7,3.4,-1,-29.4,7.4,16.4,-3.7,-5.8,2,1.4,-2.1,-7,5.3,4.7,1,6.9,4.1,-8.6,-6.2,0,15.5,25.6,-22.2,-5.6,9.5,4.5,0.1,-5,4.4,2.6,5.2,6.7,1.9,1.4,-1.7,-1.2,-2.2,-0.1,-2,3.5,-0.2,-1.9,-2.7,2.6,-1.1,0.8,2.4,-2.4,1.9,-1.1,2.9,1.4,5.3,5.1,3.5,7.8,5.1,7.5
"46","38","          Consumption of general government fixed capital \2\","B546RL1",2.3,2.9,3.5,4,4.9,4.4,4.9,4.4,5,4.9,4.6,4.7,4.4,5.9,6.1,6.9,7.9,7.5,6.7,6.6,6.4,5.7,4.9,4.4,2.8,3.6,3.3,3.2,3.5,3,2.5,2,1.8,1.8,1.5,1.9,1.3,2,2.4,2.7,2.8,3.3,3.3,3.8,5.1,4.5,4.6,4,3.3,4,4.8,5,5.6,4.3,2.5,1.4,6.1,6.3
"47","39","        Intermediate goods and services purchased \3\","W131RL1",-3.1,-11.2,3.5,-6,-8,-7,-0.3,14.7,13.3,1.4,-4.3,7.4,-6,-2.7,-8,-12.4,-12.4,12.6,11.5,-0.2,6,7.2,13.7,18,-7.1,42.8,1.4,17.9,14.4,17.4,6.5,-1.5,17.3,-19.6,33.1,-13.9,13,2.7,3.1,13.9,-2,-17.9,21,20.4,27.5,-24.2,3.1,-32.2,-3.2,14.4,13.7,17.6,16.6,13.1,2.9,1.5,1.2,7.7
"48","40","          Durable goods","A543RL1",-1.7,-16.1,21,14.9,22.9,10.8,24.3,9.4,-0.7,1.5,12.5,-7.4,5.9,3.6,-15.2,-0.3,34,20.9,2.9,-4.8,3.7,11.6,14.6,20.3,-15.1,18.3,13.4,12.7,61.3,5,11.5,3.3,-13.7,-9.1,12,-4.7,15.7,38,5.4,16.5,6.2,20,23.2,19.4,28.1,-25.7,3.2,-20.4,4.6,17.9,23.3,14.4,19.3,12.1,0.4,13.1,-1.7,7.1
"49","41","          Nondurable goods","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","            Commodity Credit Corporation inventory change","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            Other nondurable goods","B828RL1",80.3,-6.5,1.6,-6.9,-33,-2.1,6.5,4.3,66.4,10.6,5,-2.1,44.6,-3.5,-5,4.7,-72.5,-4.7,-5.6,-4.5,20.2,1.1,35,18.1,65.4,20.5,36.6,29,-18.9,18.2,-6,6,-2.7,48.6,30.6,3.5,29.9,-9,-1.2,26.9,15.6,-6.7,0.3,20.5,1.2,-33.2,-10.2,-24.1,-6.1,22.6,11,22.8,17.9,29.7,-23.1,2.8,39.5,14.5
"52","44","          Services","A544RL1",-17.2,-2.4,-3.3,-6.4,-4.3,-5.9,-2.2,15.5,4.1,0.8,-6.7,8.7,-14.9,-3.6,-9.1,-14.6,8.7,13.3,15.8,3.1,-2,8.4,9.1,15.1,-13.8,31.7,14.3,15.8,20.6,13.4,11.4,-1.1,23.4,-31,38.5,-18.3,15.6,1.6,10.2,3.3,-14,-2.2,13.7,15.4,36.8,-23,6.5,-34.3,-2.4,12.9,13,16.4,15.5,15.7,4,1.3,-4.1,3.4
"53","45","      Less: Own-account investment \4\","W136RL1",24,-16.4,35.4,-49.7,1.8,19.9,32.2,-30.3,50.2,-24.2,-30.6,-41.3,132.8,51.4,-21.9,-67,-67.6,815.5,-7.7,-44.6,-64.6,18.6,20.7,-6.4,94.4,42,-30.4,-36.2,-14.7,-4,26.7,-27.6,-21.8,11.7,-15.5,41.5,-28,11.2,18.5,-20,12.6,9.1,10.3,-10.5,-10,2.2,12.1,-5.8,-15.4,-2.2,12.1,-16.2,31.1,6.8,23,15,11.8,2.3
"54","46","            Sales to other sectors","W137RL1",59.3,-45.6,9.6,235.4,-69.4,15.7,143.1,-54.6,-70,-20.9,-51.6,104.1,-37.2,-35,27404.5,-99.7,90.9,156.5,-64,-9.7,167,46.3,-30.9,1225.4,-98.4,47.5,0.8,279.4,-25.8,-82.2,-16,16.6,4.3,390.4,-52,-12,-31.1,4.1,284,74.7,118.8,-80.2,459.6,101.2,-85.1,-4.3,3.1,-51.8,-33.3,138.1,-16.8,-16.9,5.9,6.5,638.4,-82.2,100.4,47.7
