"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","          Value added","W102RC1",878.6,882.5,886.7,891.2,902.3,908.6,914.3,919.9,931,937,943.5,949.7,959.3,967.2,977,986.7,1003.5,1014.5,1027.4,1040.9,1060.5,1074.4,1084.6,1095.6,1114.6,1131.3,1149,1163.7,1190.2,1202.7,1216.5,1236.3,1272.8,1289.5,1298.9,1307.6,1335.8,1352,1365.8,1383.7,1416.4,1428.4,1444.3,1456.8,1483.2,1501.6,1521.4,1541.6,1574.5,1593.4,1609.3,1629.9,1659.7,1679.5,1699.6,1715,1739.8,1757.9
"12","4","            Compensation of general government employees","A194RC1",739,741.7,745.1,748.4,758.8,764.6,769.4,774.3,784.3,789.2,795.2,800,809.3,816.1,824.5,832.8,848,856.9,868,879.3,896.5,908.4,916.7,926.2,944,959.2,975.8,989.5,1014.8,1026.1,1038.7,1057,1091.8,1107.3,1115.5,1123.2,1148.7,1161.1,1170.3,1183.6,1213.3,1221.9,1233.6,1242.5,1265.8,1278.7,1294.4,1310.1,1337.7,1353,1365.4,1381.5,1406.8,1421.8,1437.6,1449.3,1470.8,1487.3
"13","5","            Consumption of general government fixed capital \2\","A265RC1",139.7,140.8,141.6,142.8,143.6,144,144.9,145.6,146.7,147.8,148.4,149.7,150,151.1,152.5,153.9,155.5,157.6,159.4,161.5,164,166,167.9,169.4,170.6,172,173.1,174.2,175.4,176.6,177.9,179.3,181,182.2,183.4,184.4,187,191,195.6,200.1,203.1,206.6,210.7,214.3,217.4,222.8,227,231.5,236.8,240.3,244,248.3,252.9,257.6,262,265.6,269,270.7
"14","6","          Intermediate goods and services purchased \3\","W104RC1",438.3,443,447.3,443.2,450.2,459.7,459.9,473.2,474,486.3,485.4,499.1,486.8,504.1,512.7,517.3,522.9,533.8,554.3,574,568.2,590.2,594.7,609.9,630.8,644.9,650.8,660.8,678.5,695.6,709.2,725.1,732.5,754.8,756.4,763.4,784.3,796.9,818.1,821.5,838.6,846.6,883,883.6,911.8,918.1,925.6,921.9,929,960.7,988.7,1015.5,1050.3,1085.6,1128.3,1072.2,1031.5,1047.6
"15","7","            Durable goods","W105RC1",38.4,36.5,40.8,36.5,37.1,39.7,39.5,37.7,38.8,40.5,39.1,39.8,39.4,40.4,42.5,42.2,41.2,44.2,45.9,44.1,44.8,44.9,45.5,44.9,44.6,46.9,48.5,45.9,46.5,47.6,49.1,47.8,46.8,50.3,50.5,50.6,51.3,53.5,54.2,53.5,53,54.1,55.5,55.7,57,57.5,59.2,60.9,59.8,61.9,64.5,65.6,67.1,70.1,73,74.6,71.4,76.2
"16","8","            Nondurable goods","W106RC1",97.9,99.2,100.3,100.2,103.1,105.8,106.4,109.1,112.2,110,111.1,113.3,112.9,113.7,115.2,115.8,114.3,120.8,127.6,130.1,140.1,142.1,146.1,151.4,153.9,159.6,155.7,152.3,152.7,159.9,160.6,165.5,176.1,168.7,167.9,172.1,181.1,185.9,191.1,198.9,206.9,209,223,231.4,229.8,236.4,240,228.8,236.3,248.4,255,270.3,288.6,311.8,321.2,264.5,240.5,248.9
"17","9","            Services","W107RC1",302,307.3,306.3,306.5,310,314.2,313.9,326.3,323,335.8,335.2,346,334.5,350,355,359.3,367.3,368.8,380.7,399.8,383.4,403.2,403.1,413.6,432.3,438.4,446.7,462.6,479.3,488.1,499.5,511.8,509.5,535.8,538,540.8,551.9,557.4,572.9,569.2,578.7,583.5,604.5,596.6,625.1,624.2,626.4,632.3,632.9,650.5,669.2,679.6,694.5,703.7,734.1,733.1,719.6,722.5
"18","10","        Less: Own-account investment \4\","W108RC1",14.8,14.8,15,14.6,14.7,14.9,15.1,15.2,17,16.5,15.8,15.4,16.1,17.2,17.3,16.3,15.8,17.8,17.7,18,17.9,17.6,18.4,18.5,20.1,21.2,20.8,21,21.4,21.4,21.6,21.6,21.4,21.3,21.7,22,21.9,22.6,22.9,22.9,23.1,23.7,23.9,24.5,24.4,25.3,25.6,25.7,26.4,26.8,27.3,27.6,28.2,29.1,29.5,29.2,29.2,29.6
"19","11","              Sales to other sectors","W109RC1",168.5,169.5,171.7,176.4,176.3,178.6,182.4,183.8,184.5,187.3,189.1,192.3,194,194,205,198.4,201.3,205.4,208.4,211.1,218.7,220.9,226.2,233.4,236.8,238.9,242.7,246.9,248.5,249.3,254.9,256,259.3,264.6,267.8,270.6,275,279.4,284.6,287,293,294.2,299.9,304,305.9,311.3,315.7,318.1,324.9,330.1,336.4,341.8,349.2,354.4,362,360.8,363.5,366.8
"20","12","Federal consumption expenditures \1\","A957RC1",443.1,442,442.7,432.8,443.5,448.1,443.3,451.3,452,461.3,456.2,460.6,446.4,458.6,452.3,461.1,465.3,462.8,475.3,489.9,482,503.4,498.5,500.1,515.8,526.9,533.7,544.3,572.7,584.7,591.9,612.6,633.1,665.8,667.3,674.8,706.4,717.7,732.5,729,756.9,758.8,780.6,767.1,810.4,808.5,813.1,812.1,821.1,839.9,860.8,873.4,903.2,923.2,956,955.4,954.2,979.8
"21","13","      Gross output of general government","W110RC1",454.5,451.7,452.6,444.4,453.5,458.8,456,462.6,461.8,471,464.6,469.1,455.6,466.3,468.9,467.8,471.4,472.4,485.3,498.2,491.9,511.9,507.8,511.6,525.5,535.3,542.3,554.1,582.4,592.8,602.7,621.3,641.9,676.8,677.6,684.2,715.5,727.5,744.6,740.2,770.7,770.7,795.3,781.6,823.1,822.3,826.5,823.4,833.9,852.6,874.7,885.5,915.4,935.7,971.6,968.2,968,994.2
"22","14","        Value added","W111RC1",286,283.8,283,281.6,287.6,287.9,287.8,286.9,291.2,290.4,290,288.5,291.7,291.8,292.4,293.1,299.5,299.3,300.3,302.4,312.3,316.3,316.2,315.5,320.6,322.9,326.4,329.8,348.4,350.1,350.8,358,378.7,383.1,384.2,385.7,405.4,410.9,413.9,417.9,437.5,436.9,439.5,441,455.8,459.7,462.4,464.7,480.7,484,487.3,490.9,505.3,511.8,518.5,525.2,543.8,553.6
"23","15","          Compensation of general government employees","B568RC1",208.4,206.1,205.2,203.6,209.6,210.1,210,209.1,213.2,212.5,212.2,210.5,214.1,213.9,214.4,214.7,220.6,219.8,220.3,221.7,230.7,234.5,233.8,232.9,238.1,240.1,243.4,246.9,265.3,266.9,267.4,273.9,294.2,298.2,298.8,299.9,318.6,322.5,324.2,326.8,344.8,343.3,344.8,344.9,357.9,359.8,360.7,362.1,376.7,378.7,380.5,382.1,394.5,398.6,404,410.7,428,436.2
"24","16","          Consumption of general government fixed capital \2\","B995RC1",77.6,77.8,77.7,78,78,77.8,77.8,77.8,77.9,78,77.8,78,77.6,77.9,78,78.4,78.9,79.5,80.1,80.7,81.7,81.9,82.4,82.6,82.5,82.9,83,82.9,83.1,83.2,83.5,84.1,84.5,85,85.4,85.8,86.9,88.4,89.6,91.1,92.7,93.6,94.7,96.1,97.8,99.9,101.7,102.6,104,105.4,106.9,108.8,110.7,113.1,114.5,114.5,115.8,117.4
"25","17","        Intermediate goods and services purchased \3\","W113RC1",168.5,167.9,169.6,162.8,165.9,170.9,168.2,175.6,170.6,180.6,174.6,180.6,163.9,174.5,176.5,174.7,171.9,173,184.9,195.8,179.6,195.6,191.5,196.1,204.9,212.4,215.8,224.3,234,242.7,251.9,263.3,263.3,293.6,293.4,298.5,310.1,316.6,330.8,322.3,333.2,333.8,355.8,340.6,367.3,362.6,364.1,358.7,353.2,368.6,387.4,394.7,410.2,423.9,453.1,442.9,424.2,440.6
"26","18","          Durable goods","W114RC1",23.2,21.1,25.1,20.5,21.2,23.8,23.5,21.5,22.1,23.7,22,22.4,21.6,22.1,23.7,23.1,21.7,24.5,26,23.7,24.2,24.1,24.2,23.4,22.7,24.6,26.1,23.4,24.1,25.3,26.9,25.7,25.1,28.6,28.8,28.9,29.5,31.6,32.2,31.5,30.9,31.9,33.2,33.3,34.4,34.7,36.1,37.6,36.2,38,40.4,41.3,42.6,45.4,48,49.3,45.9,50.6
"27","19","          Nondurable goods","W115RC1",15.5,14.4,15.2,14.5,15.1,15.5,15.8,15.7,17.8,16.8,17.3,17.4,17.8,17.5,18.2,17.6,14.3,15.7,17.8,16.5,20.1,19.7,19.7,21,21.5,24.9,22.3,23.1,22.2,25.3,24.4,26,28.2,29,26.8,29.1,32.1,33.4,35.2,34.7,39.1,37.9,42.7,42.8,42.4,41.8,44.3,38.6,40.1,42.6,45.5,45.7,49.6,56.2,58.8,49.6,45.6,50.9
"28","20","          Services","W116RC1",129.8,132.3,129.4,127.8,129.6,131.6,128.9,138.4,130.7,140.1,135.3,140.7,124.5,135,134.6,134.1,135.9,132.9,141.2,155.6,135.2,151.9,147.6,151.7,160.6,162.8,167.5,177.8,187.7,192.1,200.5,211.6,209.9,236,237.8,240.5,248.5,251.6,263.4,256.1,263.1,264,279.9,264.5,290.5,286.1,283.6,282.5,276.9,288,301.5,307.7,318,322.4,346.3,344.1,332.7,339.1
"29","21","      Less: Own-account investment \4\","W117RC1",4.3,4.1,4.3,3.8,3.9,4,4.3,4,4.5,4.2,3.8,3.4,4.1,4.6,4.3,3.3,2.5,4.5,4.4,3.8,3,3.2,3.3,3.4,4.1,4.2,4.1,4.1,4.4,4.4,4.6,4.5,4.3,4.4,4.3,4.6,4.3,4.5,4.6,4.5,4.5,4.6,4.7,4.7,4.6,4.7,4.8,4.8,4.7,4.7,4.8,4.6,5,5.1,5.3,5.4,5.7,5.8
"30","22","            Sales to other sectors","W118RC1",7.1,5.6,5.6,7.8,6.1,6.7,8.4,7.3,5.2,5.5,4.6,5.1,5.1,3.1,12.3,3.4,3.6,5.1,5.6,4.5,6.8,5.4,5.9,8.1,5.6,4.2,4.5,5.8,5.3,3.7,6.2,4.2,4.5,6.5,6,4.8,4.9,5.3,7.6,6.7,9.3,7.3,10,9.8,8.1,9.1,8.6,6.5,8.1,8,9.2,7.4,7.2,7.4,10.4,7.4,8.1,8.7
"31","23","    Defense consumption expenditures \1\","A997RC1",299.1,298.6,298.8,291.4,299.7,305.3,301.7,306,300.9,308.4,302.7,306,291.3,302.3,303.4,304.2,306.6,304.7,314.3,326.3,311.6,328.2,322.9,324.7,335.4,338.5,343.4,350.8,368.2,375.2,380.3,398.9,407,444.9,439.1,449.7,470.2,477.7,492.5,484.4,507.5,511.7,529.4,510.7,538.3,541.2,543.7,552.3,554.3,568.8,585.1,591.4,609.7,622.4,655.2,648.8,642.9,662.4
"32","24","      Gross output of general government","W085RC1",303.3,302,302.1,295.2,303.2,309.3,306.3,310.2,304.3,312.3,306.1,309.2,295.1,304.6,307.7,306.4,308.2,307.8,318.6,329.3,315.9,330.6,326.3,326.9,340,341.3,346.5,354.4,371.9,378.5,386.4,402.9,411.2,449.9,444.1,453.7,474.2,482.2,498.2,488.6,513,517.2,535.3,515.3,543.9,547.9,549.7,557,560.9,574.4,592.1,596.7,614.8,627.6,660.5,654.1,648.3,667.9
"33","25","        Value added","W086RC1",193.8,191.6,190.7,189.9,193.6,193.9,193.9,192.7,194.1,192.5,191.8,190.4,191.7,190.4,190.5,189.1,192.1,192.3,193.1,193.3,197.8,197.9,200,199.3,203,203.6,205.8,208.5,219.5,221.5,221.9,227.2,240.2,243.7,245,246.4,259.4,262.5,265.9,268.9,283.5,283.1,285,285.9,295.8,297.6,299.6,302.1,311.5,314.2,317,319.7,328.3,333.2,339,342.5,354.4,360.8
"34","26","          Compensation of general government employees","B237RC1",131.9,129.8,129.1,128.2,132.1,132.6,132.8,131.7,133.4,132.1,131.7,130.3,132,130.7,130.9,129.4,132.4,132.4,133,133.1,137,137.3,139.3,138.7,142.5,143,145.3,148.2,159.3,161.2,161.5,166.2,179,182.2,183.2,184.2,196.3,198.2,200.6,202.4,215.9,214.9,216.1,215.9,224.6,224.8,225.6,227.5,235.9,237.4,239.2,240.3,247.4,250.3,255.1,258.7,269.8,275.1
"35","27","          Consumption of general government fixed capital \2\","B432RC1",61.9,61.8,61.6,61.7,61.5,61.3,61.2,61,60.7,60.5,60.2,60.1,59.7,59.7,59.6,59.6,59.7,59.9,60.1,60.3,60.8,60.6,60.7,60.6,60.5,60.6,60.6,60.3,60.2,60.3,60.4,61,61.1,61.5,61.9,62.2,63.1,64.3,65.3,66.4,67.6,68.2,68.9,70,71.2,72.8,74.1,74.5,75.6,76.7,77.9,79.3,80.9,82.8,83.9,83.8,84.6,85.7
"36","28","        Intermediate goods and services purchased \3\","W087RC1",109.5,110.4,111.4,105.4,109.6,115.4,112.4,117.5,110.2,119.8,114.3,118.8,103.4,114.2,117.2,117.3,116.2,115.6,125.5,136,118.1,132.7,126.2,127.6,137,137.7,140.7,145.9,152.4,157.1,164.5,175.8,171,206.2,199,207.3,214.8,219.7,232.3,219.8,229.4,234,250.3,229.4,248.1,250.3,250.1,255,249.4,260.3,275.1,277,286.5,294.5,321.5,311.6,293.9,307.1
"37","29","          Durable goods","A998RC1",21.7,19.6,23.6,18.9,19.6,22.2,21.8,19.7,20.4,22,20.3,20.8,19.9,20.4,22,21.5,20,22.7,24.2,21.9,22.4,22.3,22.4,21.4,20.9,22.7,24.1,21.4,21.8,23,24.6,23.4,22.9,26.5,26.6,26.8,27.2,29.2,29.8,28.9,28.3,29.2,30.4,30.3,31.3,31.7,33.2,34.9,33.4,35.2,37.4,38.3,39.4,42.2,44.7,46,42.6,47.3
"38","30","          Nondurable goods","A725RC1",6.3,6.6,6.5,5.9,7.2,7.9,8,7.5,8.2,7.2,7.5,7.5,7,6.6,7.4,6.9,6.5,7.6,9.8,8.7,11.1,10.6,9.8,10.2,9.9,10.7,10.1,10.3,10.1,11.6,11.3,13,15,14.1,11.3,13.2,16,16.8,19.5,16.1,18,21,23.2,21.4,21,21.9,25,20.5,22.3,23.7,25.8,24.6,27.3,33.1,35.7,27.1,21.4,24.6
"39","31","          Services","A489RC1",81.5,84.2,81.3,80.5,82.8,85.3,82.6,90.2,81.6,90.6,86.5,90.6,76.6,87.2,87.8,88.9,89.7,85.2,91.5,105.3,84.5,99.8,94.1,95.9,106.2,104.2,106.5,114.1,120.5,122.4,128.5,139.3,133.1,165.6,161.2,167.3,171.5,173.7,183.1,174.7,183.2,183.8,196.7,177.7,195.8,196.7,191.9,199.6,193.7,201.4,211.8,214.1,219.8,219.2,241,238.6,229.8,235.2
"40","32","      Less: Own-account investment \4\","W088RC1",1.7,1.5,1.6,1.4,1.5,1.5,1.5,1.5,1.7,1.6,1.4,1.3,1.5,1.6,1.5,1.1,0.9,1.6,1.5,1.3,1.1,1.1,1.2,1.2,1.5,1.4,1.4,1.7,2,2.1,2.1,2.2,2.1,2.1,2,2.1,2,2.1,2.1,2.1,2,2,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2,2.2,2.2,2.3,2.2,2.4,2.5
"41","33","            Sales to other sectors","W089RC1",2.6,1.8,1.6,2.4,2.1,2.5,3.1,2.7,1.8,2.4,2,1.9,2.3,0.6,2.8,1.1,0.8,1.6,2.8,1.7,3.2,1.3,2.2,1,3.1,1.4,1.7,1.9,1.7,1.3,3.9,1.8,2.1,2.8,2.9,1.8,2.1,2.4,3.5,2.1,3.4,3.4,3.8,2.5,3.5,4.6,3.9,2.6,4.5,3.6,4.9,3.3,2.9,3,3,3.1,3,3
"42","34","    Nondefense consumption expenditures \1\","A542RC1",144,143.3,143.8,141.5,143.8,142.8,141.7,145.3,151.2,152.9,153.4,154.6,155,156.2,148.9,156.9,158.7,158.1,161,163.6,170.4,175.2,175.6,175.4,180.4,188.4,190.3,193.5,204.5,209.6,211.6,213.7,226.1,220.9,228.3,225.1,236.2,240,239.9,244.5,249.4,247.1,251.1,256.4,272.1,267.2,269.4,259.8,266.8,271.2,275.6,282.1,293.5,300.8,300.7,306.6,311.3,317.4
"43","35","      Gross output of general government","W128RC1",151.1,149.7,150.5,149.2,150.2,149.5,149.7,152.4,157.5,158.7,158.5,159.8,160.5,161.7,161.2,161.4,163.1,164.6,166.7,168.9,176,181.3,181.5,184.7,185.5,194,195.7,199.7,210.5,214.3,216.3,218.4,230.8,226.9,233.6,230.5,241.3,245.2,246.5,251.6,257.7,253.5,260,266.2,279.2,274.4,276.8,266.3,273,278.2,282.6,288.8,300.6,308.1,311.1,314,319.7,326.4
"44","36","        Value added","W129RC1",92.2,92.2,92.3,91.8,94,94,93.9,94.3,97.1,97.9,98.2,98.1,100,101.4,101.9,104,107.4,107.1,107.3,109.1,114.5,118.4,116.2,116.2,117.6,119.4,120.6,121.3,128.9,128.6,128.9,130.8,138.5,139.5,139.2,139.3,146,148.3,148,149,154,153.8,154.5,155.1,160,162.1,162.8,162.6,169.2,169.9,170.3,171.2,177,178.6,179.5,182.7,189.4,192.9
"45","37","          Compensation of general government employees","W130RC1",76.5,76.3,76.1,75.4,77.5,77.5,77.2,77.4,79.8,80.4,80.5,80.2,82.1,83.2,83.5,85.3,88.2,87.5,87.3,88.6,93.6,97.2,94.5,94.2,95.5,97,98.1,98.6,106.1,105.7,105.9,107.7,115.2,116,115.6,115.7,122.2,124.3,123.6,124.3,128.9,128.4,128.7,129,133.4,135,135.2,134.6,140.8,141.2,141.3,141.7,147.1,148.3,148.9,152,158.2,161.1
"46","38","          Consumption of general government fixed capital \2\","B546RC1",15.7,16,16.1,16.4,16.5,16.5,16.7,16.8,17.2,17.5,17.7,17.9,17.9,18.2,18.5,18.7,19.2,19.6,20,20.5,20.9,21.3,21.7,22,22.1,22.3,22.5,22.6,22.8,22.9,23,23.1,23.3,23.4,23.5,23.6,23.8,24.1,24.4,24.7,25.1,25.4,25.8,26.1,26.6,27.2,27.6,28,28.3,28.6,29,29.4,29.9,30.3,30.6,30.7,31.3,31.7
"47","39","        Intermediate goods and services purchased \3\","W131RC1",58.9,57.5,58.2,57.4,56.3,55.5,55.8,58.1,60.4,60.8,60.4,61.8,60.5,60.3,59.3,57.4,55.7,57.5,59.4,59.8,61.5,62.9,65.3,68.5,67.9,74.7,75.2,78.5,81.6,85.6,87.4,87.6,92.3,87.4,94.4,91.2,95.3,96.9,98.5,102.5,103.7,99.8,105.5,111.2,119.2,112.2,114,103.7,103.8,108.3,112.3,117.6,123.6,129.5,131.6,131.3,130.3,133.5
"48","40","          Durable goods","A543RC1",1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.7,1.8,1.8,1.7,1.8,1.8,1.9,1.9,1.8,1.9,2,2,2.2,2.2,2.3,2.3,2.2,2.1,2.2,2.2,2.3,2.4,2.5,2.6,2.6,2.7,2.8,3,3.1,2.9,2.9,2.7,2.7,2.8,3,3,3.2,3.2,3.2,3.3,3.3,3.3
"49","41","          Nondurable goods","A729RC1",9.1,7.9,8.7,8.6,7.9,7.6,7.8,8.2,9.6,9.7,9.8,9.9,10.9,10.9,10.8,10.7,7.8,8.1,8,7.7,9,9,10,10.8,11.7,14.2,12.3,12.8,12.1,13.7,13.2,13,13.2,14.9,15.6,15.9,16.1,16.6,15.7,18.5,21.2,16.9,19.4,21.4,21.4,19.9,19.4,18.1,17.8,18.9,19.7,21,22.3,23,23.1,22.5,24.2,26.3
"50","42","            Commodity Credit Corporation inventory change","B826RC1",0.4,-0.9,-0.1,-0.1,-0.1,-0.4,-0.4,-0.2,0,-0.1,-0.1,0,0.1,0.2,0.3,0.1,0.1,0.3,0.2,-0.1,0.7,0.6,0.8,1.1,0.7,2.7,-0.1,0,0,0.6,0.2,-0.2,-0.3,0.3,-0.2,-0.2,-1.3,-0.6,-1.8,-0.3,1.4,-2.8,-0.8,0.1,-0.3,0.1,0,0,-0.1,-0.1,0,-0.1,0,-1.5,0,-0.1,-0.1,0.5
"51","43","            Other nondurable goods","B828RC1",8.8,8.7,8.8,8.7,8,8.1,8.2,8.4,9.6,9.8,9.9,9.9,10.8,10.7,10.5,10.6,7.7,7.8,7.8,7.8,8.3,8.4,9.2,9.7,10.9,11.5,12.3,12.8,12.2,13.1,13,13.2,13.5,14.6,15.8,16.1,17.4,17.2,17.5,18.9,19.7,19.8,20.2,21.3,21.7,19.9,19.4,18.1,17.9,19,19.7,21.1,22.3,24.5,23.1,22.6,24.3,25.7
"52","44","          Services","A544RC1",48.3,48.2,48,47.3,46.7,46.3,46.3,48.2,49.1,49.5,48.8,50.1,48,47.8,46.9,45.1,46.2,47.7,49.6,50.3,50.8,52,53.4,55.8,54.4,58.6,60.9,63.7,67.2,69.7,72,72.2,76.9,70.4,76.6,73.2,77,77.8,80.3,81.4,79.9,80.1,83.2,86.8,94.7,89.4,91.7,82.9,83.2,86.6,89.7,93.6,98.2,103.2,105.3,105.5,102.8,103.9
"53","45","      Less: Own-account investment \4\","W136RC1",2.7,2.5,2.8,2.4,2.4,2.5,2.7,2.5,2.8,2.6,2.4,2.2,2.7,3,2.8,2.2,1.6,2.9,2.9,2.5,2,2.1,2.2,2.2,2.6,2.8,2.6,2.4,2.4,2.3,2.5,2.3,2.2,2.3,2.2,2.4,2.3,2.4,2.5,2.4,2.5,2.6,2.7,2.6,2.6,2.6,2.7,2.7,2.6,2.6,2.7,2.6,2.8,2.9,3,3.1,3.3,3.3
"54","46","            Sales to other sectors","W137RC1",4.4,3.8,3.9,5.3,4,4.2,5.4,4.6,3.5,3.2,2.6,3.1,2.8,2.5,9.5,2.3,2.8,3.6,2.8,2.8,3.6,4,3.7,7.1,2.5,2.8,2.8,3.9,3.6,2.4,2.3,2.4,2.5,3.7,3.1,3,2.8,2.8,4,4.7,5.8,3.9,6.2,7.2,4.6,4.6,4.6,3.9,3.5,4.4,4.2,4.1,4.3,4.4,7.3,4.3,5.1,5.7
"55","47","State and local consumption expenditures \1\","A991RC1",690.6,699.2,704.7,710.6,717.9,726.6,733.3,742.9,751.6,758.2,767.8,780.6,789.6,801.6,815,828.2,844,862.3,880.2,895.9,910.2,922.6,936.2,953.5,972.8,989.2,1002.6,1012.3,1026.1,1043,1057.3,1071.2,1091.5,1092.5,1098.4,1103.6,1116.8,1129.1,1144,1166.3,1182,1198.4,1222.9,1244.8,1254.5,1274.6,1292.7,1307.6,1331.2,1357.3,1373.6,1402.5,1429.3,1458.3,1480.4,1441.7,1424.4,1429.3
"56","48","      Gross output of general government","W138RC1",862.5,873.9,881.5,889.9,899,909.5,918.2,930.5,943.3,952.3,964.3,979.8,990.4,1005,1020.7,1036.2,1055,1075.9,1096.4,1116.6,1136.9,1152.6,1171.6,1193.8,1220,1240.9,1257.5,1270.3,1286.3,1305.5,1323,1340,1363.3,1367.5,1377.7,1386.8,1404.5,1421.4,1439.3,1465.1,1484.3,1504.3,1532,1558.8,1572,1597.4,1620.5,1640.1,1669.6,1701.5,1723.3,1759.8,1794.5,1829.3,1856.2,1819,1803.3,1811.3
