"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","          Value added","W102RA3",89.731,89.855,89.849,89.147,89.106,90.053,90.019,89.982,90.173,90.353,90.65,90.713,91.059,91.385,91.703,91.844,92.036,92.071,92.393,92.822,93.375,94.236,94.001,94.133,94.784,95.429,95.982,96.326,96.925,97.454,97.864,97.995,98.526,98.798,98.795,98.805,99.048,99.178,99.364,99.72,99.893,99.879,100.069,100.159,100.078,100.252,100.848,101.188,101.424,101.762,102.232,102.657,103.365,103.917,104.611,105.095,105.409,106.103
"12","4","            Compensation of general government employees","A194RA3",91.822,91.917,91.849,90.934,90.817,91.903,91.788,91.671,91.829,91.966,92.239,92.229,92.558,92.85,93.126,93.18,93.287,93.206,93.471,93.863,94.403,95.317,94.923,94.977,95.663,96.328,96.887,97.197,97.807,98.334,98.723,98.783,99.318,99.54,99.445,99.356,99.507,99.535,99.634,99.942,100.044,99.921,100.027,100.009,99.786,99.858,100.422,100.69,100.838,101.088,101.48,101.805,102.444,102.934,103.621,104.089,104.271,104.873
"13","5","            Consumption of general government fixed capital \2\","A265RA3",78.847,79.101,79.378,79.662,79.974,80.267,80.609,80.946,81.289,81.676,82.076,82.486,82.91,83.4,83.919,84.484,85.09,85.706,86.308,86.915,87.533,88.118,88.694,89.227,89.696,90.235,90.755,91.278,91.817,92.351,92.873,93.389,93.902,94.452,94.983,95.562,96.345,97.079,97.776,98.412,99.006,99.637,100.32,101.038,101.795,102.571,103.355,104.121,104.873,105.723,106.655,107.668,108.778,109.699,110.433,111.009,112.094,113.332
"14","6","          Intermediate goods and services purchased \3\","W104RA3",67.67,67.761,68.187,67.317,67.896,68.82,68.575,69.907,69.662,71.677,71.429,72.968,71.584,74.092,75.295,75.839,76.457,77.268,79.349,81.282,78.947,81.557,81.382,82.543,84.843,86.775,87.938,90.079,92.178,93.404,94.534,95.672,94.352,97.825,97.35,97.675,98.892,99.232,100.499,99.019,99.71,99.305,101.429,99.555,102.117,101.208,101.248,101.278,100.8,102.432,104.497,104.817,105.975,106.291,108.591,108.721,107.478,108.849
"15","7","            Durable goods","W105RA3",68.413,64.905,72.413,64.489,65.612,70.439,70.573,67.21,69.197,72.429,70.09,71.422,71.125,73.078,77.182,76.687,75.045,80.846,84.37,80.782,82.142,82.49,83.607,82.497,82.466,86.734,89.96,85.381,86.654,88.834,91.799,89.321,87.539,93.92,94.396,94.577,95.601,99.44,100.449,98.752,97.366,99.189,101.578,101.867,103.667,103.663,106.037,108.787,106.959,110.942,115.688,117.58,119.748,124.57,128.7,130.886,125.031,133.375
"16","8","            Nondurable goods","W106RA3",68.036,67.734,68.672,68.457,68.926,69.464,69.988,70.111,72.244,72.719,74.002,75.021,76.871,78.035,79.94,80.811,80.078,81.736,83.554,83.079,85.18,85.619,86.335,87.822,90.289,93.7,93.498,95.659,96.249,97.89,97.213,97.65,96.977,97.625,96.146,97.362,99.226,99.016,99.387,98.277,100.372,99.027,100.382,100.219,100.185,99.445,100.682,99.406,100.816,101.561,102.869,102.061,102.976,103.565,104.037,104.639,104.771,106.131
"17","9","            Services","W107RA3",67.475,68.143,67.522,67.316,67.86,68.43,67.886,70.189,68.889,71.265,70.779,72.506,69.986,72.966,73.624,74.187,75.456,75.454,77.456,80.76,76.594,80.172,79.564,80.861,83.351,84.556,85.95,88.784,91.432,92.437,93.943,95.662,94.171,98.275,98.023,98.076,99.1,99.288,100.883,99.298,99.692,99.419,101.803,99.085,102.705,101.648,101.014,101.287,100.226,101.981,104.097,104.723,105.891,105.699,108.669,108.428,107.084,107.867
"18","10","        Less: Own-account investment \4\","W108RA3",85.915,85.435,85.831,82.846,83.086,84.354,85.142,84.678,93.977,91.218,86.955,84.017,87.656,93.203,93.376,87.495,84.143,93.699,92.077,92.96,91.175,89.202,92.311,91.62,98.818,103.894,101.082,101.61,102.945,101.842,102.24,101.206,98.44,97.828,98.935,99.841,97.829,100.038,100.145,99.43,98.448,100.066,100.149,101.337,99.915,102.594,102.847,102.894,104.05,104.926,105.82,106.337,107.321,109.457,109.904,109.021,109.221,110.524
"19","11","              Sales to other sectors","W109RA3",79.563,79.371,79.83,81.26,80.689,81.15,82.278,82.277,82.13,82.901,83.439,84.648,85.12,84.695,89.449,85.717,86.14,87.461,88.294,88.725,90.916,91.449,92.775,95.047,95.591,96.02,96.827,97.89,97.699,97.201,98.244,97.489,97.424,98.183,98.071,97.786,98.166,98.465,99.357,99.163,100.019,99.34,100.244,100.397,99.91,100.545,100.705,100.529,101.427,102.099,103.201,103.283,104.349,104.788,105.81,104.992,105.199,105.456
"20","12","Federal consumption expenditures \1\","A957RA3",82.796,82.598,82.395,78.928,79.82,80.979,79.699,80.491,79.656,81.184,80.123,80.4,77.52,79.487,78.124,79.515,79.152,78.217,79.801,81.624,78.705,82.464,80.484,80.319,82.324,83.848,84.33,85.311,87.336,88.929,89.986,91.93,92.026,96.506,96.379,97.058,98.547,98.827,100.235,99.094,99.754,99.425,101.426,99.394,102.313,100.957,101.292,101.024,99.804,101.119,103.511,104.322,106.25,107.351,110.659,111.933,111.206,113.963
"21","13","      Gross output of general government","W110RA3",83.447,82.94,82.769,79.646,80.203,81.461,80.542,81.022,79.91,81.423,80.157,80.43,77.725,79.4,79.664,79.249,78.778,78.43,80.02,81.532,78.889,82.353,80.502,80.693,82.363,83.659,84.143,85.301,87.227,88.549,89.983,91.579,91.665,96.356,96.128,96.665,98.058,98.403,100.101,98.846,99.786,99.214,101.508,99.493,102.103,100.894,101.158,100.634,99.589,100.86,103.352,103.912,105.796,106.907,110.493,111.483,110.902,113.681
"22","14","        Value added","W111RA3",100.621,100.281,99.614,96.179,96.315,97.225,96.695,95.552,95.301,94.944,94.677,93.599,93.621,93.509,93.569,93.489,93.465,92.715,92.474,92.47,93.121,95.023,93.285,92.804,93.635,94.054,94.168,93.857,94.906,95.552,96.168,96.492,97.726,98.532,98.589,98.578,99.048,98.941,99.356,99.996,100.136,99.866,99.803,100.194,99.468,99.503,100.367,100.393,100.152,100.041,101.049,101.512,102.618,103.735,105.376,106.925,108.183,110.19
"23","15","          Compensation of general government employees","B568RA3",103.669,103.247,102.345,97.543,97.75,99.06,98.329,96.76,96.416,95.934,95.585,94.13,94.202,94.039,94.097,93.929,93.808,92.698,92.296,92.213,93.019,95.533,93.12,92.435,93.558,94.084,94.204,93.745,95.073,95.857,96.598,96.947,98.47,99.407,99.385,99.244,99.731,99.458,99.827,100.476,100.471,99.939,99.653,99.937,98.79,98.608,99.476,99.294,98.793,98.403,99.372,99.607,100.594,101.701,103.577,105.429,106.597,108.638
"24","16","          Consumption of general government fixed capital \2\","B995RA3",92.55,92.412,92.321,92.238,92.217,92.126,92.115,92.058,92.046,92.014,91.961,91.882,91.775,91.801,91.868,92.019,92.254,92.492,92.694,92.907,93.127,93.305,93.48,93.582,93.568,93.683,93.787,93.924,94.126,94.344,94.567,94.814,95.09,95.446,95.769,96.194,96.604,97.086,97.662,98.267,98.917,99.602,100.35,101.131,101.963,102.809,103.657,104.45,105.195,106.16,107.314,108.653,110.217,111.369,112.105,112.49,114.097,115.965
"25","17","        Intermediate goods and services purchased \3\","W113RA3",63.199,62.527,62.882,60.16,61.161,62.772,61.444,63.68,61.645,65.198,62.852,64.61,58.915,62.566,63.05,62.26,61.279,61.391,65.06,68.291,61.892,67.128,65.165,66.131,68.752,71.045,71.951,74.81,77.773,79.909,82.315,85.422,84.099,93.596,93.016,94.232,96.789,97.714,101.047,97.384,99.339,98.368,103.692,98.601,105.539,102.699,102.176,100.928,98.802,101.912,106.371,107.054,109.964,111.069,117.155,117.425,114.402,118.221
"26","18","          Durable goods","W114RA3",72.822,65.957,78.572,63.954,66.08,74.46,74.133,67.512,69.57,74.49,69.441,71.011,68.374,69.876,75.213,73.264,68.986,77.939,83.004,75.365,76.594,76.345,76.881,74.152,72.255,78.109,82.786,74.518,76.449,80.461,85.743,81.807,79.423,90.381,91.207,91.564,92.976,99.326,100.951,98.172,95.799,98.687,102.625,102.889,105.737,105.289,108.913,112.987,109.1,115.289,122.775,125.698,129.253,137.31,144.256,147.636,137.721,151.911
"27","19","          Nondurable goods","W115RA3",58.6,53.915,56.619,53.271,54.386,55.115,55.55,53.262,60.704,59.12,61.288,61.087,64.672,64.248,67.368,65.365,53.806,56.97,62.133,55.15,64.54,63.101,61.313,63.167,67.309,78.139,70.733,76.971,74.821,81.438,77.516,81.022,82.602,88.36,81.518,88.523,96.523,95.156,96.821,90.993,102.622,95.037,101.827,100.514,100.094,94.485,99.246,89.825,93.766,95.326,100.256,94.436,98.997,102.043,104.57,106.327,107.619,115.082
"28","20","          Services","W116RA3",62.629,63.42,61.606,60.761,61.577,62.285,60.571,64.757,60.819,64.88,62.334,64.38,57.026,61.508,60.977,60.504,61.274,59.769,63.07,69.17,59.573,66.495,64.165,65.513,68.534,69.193,70.715,74.612,78.356,79.684,82.54,86.506,84.93,94.747,94.802,95.36,97.333,97.88,101.65,98.196,99.288,98.828,104.102,97.783,106.36,103.672,101.805,101.201,98.348,101.33,105.361,106.853,109.409,109.383,116.021,115.693,112.803,114.918
"29","21","      Less: Own-account investment \4\","W117RA3",139.591,132.072,139.305,120.573,120.791,124.547,132.231,122.447,135.676,126.646,113.809,101.196,121.745,135.297,124.866,95.452,71.762,126.544,122.015,107.162,83.276,86.349,89.364,89.373,107.118,110.246,104.926,104.965,108.671,109.698,113.777,110.48,104.063,105.671,100.964,107.866,97.372,100.577,103.224,100.723,98.256,99.847,101.48,100.417,96.821,97.41,99.321,99.347,95.234,94.112,95.085,92.205,98.385,99.598,103.023,104.328,111.259,112.51
"30","22","            Sales to other sectors","W118RA3",107.482,85.178,84.158,116.848,90.064,98.186,122.221,102.329,72.614,77.609,65.335,71.256,71.663,43.852,182.079,47.98,50.009,70.959,76.087,60.413,90.544,70.378,76.54,105.33,72.175,54.176,57.63,73.766,66.716,45.986,77.009,52.441,54.938,78.667,72.348,57.771,57.091,61.444,87.103,76.92,103.214,81.057,108.426,107.302,86.927,97.431,90.72,68.261,83.709,82.347,94.237,75.112,71.227,73.225,100.437,76.351,84.741,90.407
"31","23","    Defense consumption expenditures \1\","A997RA3",83.528,83.297,82.954,80.05,80.922,82.161,80.748,81.347,79.212,81.218,79.668,80.19,75.843,78.594,78.671,78.634,78.21,77.287,79.31,81.857,76.407,80.486,78.36,78.529,80.282,80.872,81.428,82.601,84.633,85.772,86.719,89.262,88.456,96.38,94.719,96.552,98.203,98.485,100.79,98.265,99.548,99.751,102.339,98.362,100.843,100.214,100.367,101.869,99.958,101.436,104.084,104.248,105.927,106.525,111.499,112.401,111.005,114.179
"32","24","      Gross output of general government","W085RA3",83.862,83.369,82.994,80.291,81.04,82.377,81.152,81.615,79.302,81.402,79.726,80.187,76.029,78.358,78.95,78.374,77.811,77.267,79.54,81.759,76.66,80.244,78.342,78.24,80.517,80.68,81.303,82.568,84.57,85.628,87.156,89.221,88.434,96.44,94.793,96.388,98.013,98.379,100.883,98.088,99.58,99.775,102.41,98.235,100.842,100.413,100.446,101.693,100.117,101.398,104.253,104.118,105.727,106.345,111.26,112.152,110.813,113.966
"33","25","        Value added","W086RA3",106.041,105.1,104.095,102.223,101.61,101.395,100.855,99.587,98.893,98.092,97.788,96.745,96.157,95.38,95.23,94.245,93.593,93.207,93.348,93.185,92.504,92.8,92.766,92.53,92.777,92.861,92.947,92.947,94.029,94.686,95.018,94.744,96.408,97.456,97.707,97.781,98.744,98.541,99.363,99.9,100.077,99.802,99.945,100.176,99.072,98.94,99.895,100.112,99.455,99.322,100.442,100.882,101.856,102.893,104.945,106.4,107.59,109.626
"34","26","          Compensation of general government employees","B237RA3",107.74,106.526,105.202,102.602,101.87,101.752,101.119,99.437,98.585,97.596,97.332,96.02,95.377,94.43,94.37,93.08,92.256,91.806,92.111,91.973,91.089,91.599,91.62,91.377,91.834,92.013,92.19,92.226,93.738,94.626,95.054,94.621,96.8,98.099,98.33,98.285,99.42,98.988,99.89,100.408,100.43,99.862,99.817,99.891,98.23,97.83,98.853,98.918,97.844,97.391,98.511,98.678,99.471,100.475,102.919,104.697,105.774,107.847
"35","27","          Consumption of general government fixed capital \2\","B432RA3",102.762,102.379,102.024,101.647,101.295,100.88,100.539,100.168,99.814,99.431,99.031,98.584,98.122,97.731,97.377,97.082,96.825,96.588,96.351,96.13,95.925,95.713,95.551,95.326,95.067,94.919,94.78,94.693,94.664,94.704,94.789,94.949,95.174,95.503,95.813,96.232,96.68,97.166,97.743,98.332,98.974,99.617,100.345,101.064,101.737,102.474,103.206,103.908,104.613,105.548,106.663,108.004,109.581,110.723,111.471,111.855,113.428,115.325
"36","28","        Intermediate goods and services purchased \3\","W087RA3",59.705,59.667,59.917,56.454,58.545,61.426,59.524,61.737,57.812,62.865,59.803,61.791,54.008,59.53,60.881,60.737,60.279,59.573,64.083,68.783,59.052,66.108,62.241,62.287,66.695,66.943,68.135,70.755,73.762,75.26,78.106,82.774,79.182,95.209,91.378,94.728,97.137,98.184,102.678,95.947,98.993,99.741,105.363,95.903,103.014,102.209,101.108,103.6,100.871,103.933,108.965,108.119,110.519,110.626,119.003,119.212,114.695,119.272
"37","29","          Durable goods","A998RA3",76.158,68.699,82.573,66.026,68.114,77.322,76.637,69.121,71.426,76.879,71.088,72.952,69.939,71.555,77.715,75.559,70.392,80.012,85.569,77.195,78.496,78.049,78.422,75.103,73.28,79.464,84.41,75.092,76.334,80.655,86.249,81.86,79.534,91.743,92.437,92.919,94.187,100.498,102.166,98.792,96.061,98.812,102.633,102.493,104.979,105.244,109.123,114.091,109.752,116.106,123.747,126.592,130.006,138.458,145.989,149.329,138.631,153.825
"38","30","          Nondurable goods","A725RA3",52.828,53.795,52.934,47.012,55.444,59.69,59.671,53.267,59.047,54.787,58.513,57.353,57.364,56.249,63.788,59.905,58.284,64.397,77.697,64.833,77.141,73.84,64.149,63.12,66.064,73.318,69.482,77.326,77.163,83.367,78.891,87.496,92.403,91.923,74.038,86.712,103.491,99.586,109.942,84.447,94.641,103.41,106.435,95.514,96.084,93.031,104.415,91.917,101.046,100.118,106.609,91.842,96.54,101.506,106.172,109.163,105.074,113.183
"39","31","          Services","A489RA3",57.326,58.68,56.327,55.646,57.188,58.707,56.393,61.315,55.255,61.099,57.964,60.255,50.891,57.691,57.661,58.167,58.656,55.517,59.14,67.724,53.986,63.366,59.264,60.011,65.662,64.217,65.198,69.455,73.03,73.662,76.658,82.524,77.937,96.122,92.749,95.722,97.018,97.63,101.998,96.653,99.897,99.48,105.691,94.932,103.547,102.836,99.397,103.265,99.405,102.405,106.859,107.265,109.235,107.391,116.471,115.838,112.198,114.823
"40","32","      Less: Own-account investment \4\","W088RA3",119.663,111.282,112.999,102.476,102.213,102.797,107.28,101.681,112.849,105.426,92.236,84.248,96.746,107.879,96.191,74.719,55.795,100.943,94.349,85.675,67.506,69.188,69.919,72.131,88.801,81.645,84.243,100.837,114.725,118.429,119.696,123.024,116.074,116.347,110.739,115.635,101.966,106.053,106.767,107.998,98.775,99.664,100.226,101.335,96.489,97.158,97.938,99.847,95.654,93.79,92.571,91.32,97.075,97.741,98.745,96.965,108.739,110.796
"41","33","            Sales to other sectors","W089RA3",113.246,77.063,70.411,103.724,86.013,102.719,127.222,110.246,72.518,94.856,80.723,76.829,91.34,24.671,110.357,40.898,30.48,59.685,105.094,64.331,120.116,49.859,80.401,37.854,109.979,51.02,60.423,66.28,56.879,44.191,132.194,62.203,68.132,93.002,96.067,59.554,66.376,77.332,111.309,64.671,105.013,103.612,114.914,76.461,103.382,133.839,114.383,75.057,127.884,100.046,138.171,91.678,79.644,83.504,81.454,82.199,81.89,82.31
"42","34","    Nondefense consumption expenditures \1\","A542RA3",81.37,81.232,81.312,76.713,77.644,78.638,77.627,78.807,80.61,81.169,81.09,80.879,80.935,81.337,77.086,81.338,81.093,80.131,80.843,81.233,83.345,86.471,84.783,83.953,86.459,89.847,90.181,90.781,92.797,95.295,96.574,97.314,99.241,96.765,99.744,98.081,99.242,99.517,99.117,100.781,100.171,98.753,99.555,101.521,105.35,102.491,103.205,99.266,99.471,100.447,102.306,104.475,106.933,109.1,108.873,110.931,111.598,113.489
"43","35","      Gross output of general government","W128RA3",82.671,82.13,82.363,78.41,78.59,79.688,79.373,79.883,81.153,81.504,81.046,80.953,81.094,81.491,81.113,81.011,80.713,80.75,81.01,81.154,83.286,86.521,84.77,85.531,86.015,89.526,89.738,90.688,92.468,94.307,95.56,96.231,98.049,96.191,98.774,97.212,98.146,98.447,98.556,100.351,100.192,98.085,99.699,102.025,104.648,101.866,102.598,98.485,98.511,99.759,101.512,103.495,105.95,108.081,108.913,110.105,111.068,113.09
"44","36","        Value added","W129RA3",90.994,91.737,91.683,85.476,86.925,89.857,89.347,88.426,88.974,89.412,89.213,88.075,89.182,90.254,90.687,92.211,93.299,91.897,90.98,91.256,94.238,98.989,94.245,93.339,95.19,96.204,96.366,95.503,96.49,97.117,98.235,99.643,100.101,100.472,100.183,100.018,99.599,99.665,99.348,100.173,100.246,99.985,99.541,100.228,100.203,100.548,101.244,100.911,101.453,101.381,102.177,102.685,104.043,105.313,106.169,107.897,109.282,111.236
"45","37","          Compensation of general government employees","W130RA3",97.431,98.246,98.004,89.822,91.449,94.994,94.103,92.71,93.164,93.481,92.998,91.321,92.509,93.572,93.81,95.384,96.352,94.208,92.714,92.721,96.118,101.761,95.569,94.208,96.359,97.425,97.45,96.208,97.243,97.861,99.1,100.718,101.181,101.536,101.107,100.81,100.241,100.225,99.73,100.59,100.541,100.07,99.377,100.012,99.734,99.924,100.529,99.927,100.408,100.125,100.834,101.185,102.512,103.797,104.682,106.662,107.989,109.971
"46","38","          Consumption of general government fixed capital \2\","B546RA3",66.293,66.773,67.343,68,68.817,69.557,70.391,71.15,72.024,72.888,73.715,74.57,75.369,76.461,77.61,78.908,80.415,81.877,83.215,84.55,85.867,87.058,88.104,89.049,89.671,90.468,91.201,91.918,92.719,93.399,93.983,94.454,94.865,95.291,95.648,96.089,96.401,96.872,97.445,98.092,98.766,99.56,100.365,101.308,102.568,103.713,104.874,105.913,106.77,107.818,109.079,110.413,111.938,113.117,113.82,114.208,115.908,117.695
"47","39","        Intermediate goods and services purchased \3\","W131RA3",70.943,68.866,69.455,68.381,66.962,65.751,65.696,67.981,70.136,70.375,69.602,70.852,69.766,69.29,67.863,65.648,63.519,65.433,67.242,67.209,68.195,69.396,71.662,74.682,73.328,80.153,80.427,83.812,86.682,90.223,91.663,91.324,95.043,90.011,96.686,93.13,96.014,96.659,97.391,100.604,100.105,95.283,99.933,104.679,111.233,103.804,104.589,94.89,94.119,97.335,100.502,104.664,108.75,112.157,112.955,113.365,113.7,115.825
"48","40","          Durable goods","A543RA3",42.353,40.54,42.518,44.022,46.355,47.564,50.221,51.356,51.264,51.456,52.999,51.984,52.74,53.207,51.052,51.009,54.886,57.552,57.962,57.248,57.776,59.383,61.441,64.352,61.765,64.409,66.466,68.48,77.173,78.121,80.284,80.944,78.007,76.161,78.341,77.407,80.278,87.01,88.16,91.588,92.971,97.315,102.53,107.184,114.036,105.872,106.702,100.772,101.9,106.174,111.892,115.721,120.944,124.454,124.583,128.469,127.916,130.121
"49","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            Other nondurable goods","B828RA3",58.267,57.298,57.523,56.51,51.121,50.846,51.654,52.195,59.282,60.791,61.538,61.212,67.126,66.528,65.688,66.452,48.14,47.561,46.88,46.342,48.523,48.655,52.444,54.667,61.992,64.954,70.215,74.833,71.02,74.05,72.908,73.98,73.472,81.126,86.727,87.479,93.394,91.209,90.933,96.51,100.067,98.355,98.435,103.143,103.449,93.507,91.018,84.959,83.628,87.995,90.33,95.092,99.092,105.758,99.021,99.702,108.347,112.075
"52","44","          Services","A544RA3",74.471,74.018,73.391,72.185,71.403,70.318,69.925,72.489,73.225,73.369,72.116,73.63,70.717,70.066,68.421,65.771,67.163,69.299,71.881,72.425,72.061,73.527,75.146,77.836,74.995,80.342,83.07,86.168,90.295,93.173,95.72,95.453,100.607,91.684,99.454,94.554,98.046,98.441,100.86,101.671,97.915,97.36,100.53,104.195,112.692,105.55,107.233,96.548,95.959,98.905,101.982,105.926,109.806,113.871,115,115.36,114.168,115.125
"53","45","      Less: Own-account investment \4\","W136RA3",154.767,147.986,159.648,134.434,135.028,141.29,151.492,138.413,153.223,142.956,130.472,114.223,141.096,156.512,147.127,111.523,84.141,146.358,143.471,123.799,95.482,99.633,104.43,102.721,121.297,132.414,120.932,108.083,103.881,102.827,109.087,100.634,94.635,97.283,93.284,101.75,93.74,96.259,100.426,94.982,97.849,99.994,102.476,99.681,97.084,97.609,100.43,98.944,94.896,94.368,97.101,92.913,99.43,101.081,106.457,110.251,113.38,114.018
"54","46","            Sales to other sectors","W137RA3",104.101,89.391,91.455,123.766,92.088,95.497,119.239,97.871,72.415,68.283,56.967,68.087,60.6,54.415,221.6,51.714,60.786,76.926,59.566,58.062,74.221,81.629,74.424,142.004,50.6,55.768,55.877,77.982,72.371,47.02,45.018,46.781,47.281,70.361,58.564,56.726,51.689,52.214,73.094,84.039,102.21,68.146,104.813,124.831,77.515,76.676,77.262,64.39,58.193,72.284,69.029,65.916,66.872,67.926,111.971,72.688,86.483,95.346
"55","47","State and local consumption expenditures \1\","A991RA3",80.548,80.939,81.261,81.674,81.642,82.561,82.844,83.323,83.731,84.36,85.136,85.949,86.941,87.945,88.874,89.618,90.485,91.184,91.916,92.569,92.817,93.299,93.737,94.296,95.21,96.214,97.257,98.32,99.282,99.926,100.293,100.25,99.95,99.733,99.481,99.349,99.501,99.602,99.6,99.761,99.849,99.893,100.14,100.118,100.167,100.372,100.848,101.481,101.948,102.494,102.73,102.919,103.103,103.144,103.341,103.431,103.323,103.305
