"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Foods, feeds, and beverages","B638RL1",-3.1,1.2,8.7,-32.4,28.6,-13,-1.8,21.9,-10.9,-5.1,1.9,29.5,-3.7,-21.7,-19.9,48.2,-22.7,24.3,24.9,-9.2,0.3,8,33.2,-24.3,16.6,6.7,-12,7.6,-2,1.9,-9.9,-11.9,20.3,-4,13.8,-2.9,-26.5,-24.7,32.1,42.4,-13.5,12.4,-17.3,17.7,12.6,17.5,5.1,-5.8,-0.8,19,43.2,2.3,8.7,3.8,-7.8,-16.8,-20.1,21.7
"12","4","  Industrial supplies and materials","A639RL1",8.7,1,15.7,4.8,2.9,-3.1,9,16.8,3.7,17.9,6.2,-2.9,-0.5,-9.8,-4.9,6,-10.1,9.9,5,22.7,9.3,0.5,19,-2.2,-10.1,-11.5,-6.2,-1.7,-1.3,16.9,-2.8,-0.8,9.6,-5.7,3.1,8.1,15.6,6.3,-2.6,6.1,4.3,12.5,-9.9,-8.3,30.7,13.6,-5,17.1,-4,7.3,9.2,14.1,18.3,24.2,0.4,-24,-34.6,2
"13","5","    Durable goods","B686RL1",16.8,6.3,21.7,-12,3.9,15.7,11.1,6.1,6.9,17.4,3.4,5.8,12.5,-17.3,-6.9,11.6,-3.9,9.9,8.4,26.3,28.4,5.7,4.6,2.2,-14.6,-19.3,-15.1,-8.6,-19.5,26,-2.4,-3,4.6,7.2,-6.2,6.2,32.1,4.2,-5.2,3.4,5.4,18.5,16.7,9.6,12.2,3.7,-2.8,21.7,-4.2,3.5,13.4,13.3,5.9,37.7,-0.1,-22.1,-48,-4
"14","6","    Nondurable goods","B687RL1",4.5,-1.7,12.5,15.5,2.5,-12.3,7.8,23.4,2,18.2,7.7,-7.5,-7.4,-5.1,-3.6,2.8,-13.7,10,3,20.6,-1.1,-2.6,28.9,-4.7,-7.3,-6.6,-0.6,2.4,10.4,12.2,-3.1,0.3,12.2,-11.7,8.3,9.1,7.7,7.5,-1.1,7.6,3.7,9.3,-22,-17.7,43.4,19.8,-6.3,14.3,-3.9,9.7,6.7,14.6,25.8,17.4,0.6,-25.1,-26,5.3
"15","7","  Capital goods, except automotive","A640RL1",18.1,27.3,22.8,20.4,11.3,10.9,4.5,39.8,27.1,29.4,19.3,-2.1,2.2,-9.3,9.3,17.2,-6.2,0.2,23.2,14.2,5.6,36.5,19.6,-6.5,-4.7,-31,-29.8,-15.3,-4.6,14,5.9,-13.1,-3.2,1,17.5,35.9,7.2,5.2,4.6,2.1,11.2,19.9,-0.5,24.6,15.9,10.2,-1.2,12.5,3.7,4.3,18.7,11.5,2.3,9.5,2.7,-28,-28.3,-21.3
"16","8","    Civilian aircraft, engines, and parts","B688RL1",-50.7,64.4,-24.1,-23.3,14.9,73.5,-8.4,110.9,28.5,27.5,5.4,-16.6,88.6,-4.8,91.7,42.3,-32.5,-40.6,21.3,-2.6,-53.7,77.3,-26,-10.9,78.3,-15,-28.8,-20.7,8.2,6.5,23,-37.5,-18.8,-21.6,14.1,59.5,-33.3,-21.9,12.6,-4.8,46.4,74.6,-38.3,35.3,25.1,5.5,-8.8,35,-3.1,-5.2,42.7,8.4,-14.1,-1,1.5,-58.1,111,-34.5
"17","9","    Computers, peripherals, and parts","B850RL1",27.1,23.2,57.1,51.8,42.4,4.8,14.3,28.5,59.8,43.5,22.7,-8.9,-11.2,8.1,12.2,22.8,0.6,24.7,20.6,9.3,33.2,46.6,29.5,-10.8,-9.9,-35.7,-24.9,-21.3,-21.1,14.7,-6,12.6,-2.3,-5.2,34.7,23.2,-7,1.7,16.7,13.4,16.8,27.9,8.3,5.2,18.1,8.9,-9.6,19,11.6,-15.4,11.5,0,8.7,33.5,1.3,-38.3,-14,-13.1
"18","10","    Other","B689RL1",35.4,23.1,25.6,22,4.6,5,4.7,32.1,19.7,26.4,21.5,2.8,-7.3,-13.8,-6.2,9.4,1.5,9.4,24.2,19.8,19.5,27.7,29.2,-4.6,-14.9,-33.2,-31,-12.6,-3.9,15.7,4.3,-10.1,0.7,8.2,15.2,33.6,22,12,1.1,1.6,4.3,9,9.1,26.1,13.7,11.5,2.1,7.1,4.1,10,14.8,13.9,5.6,9,3.1,-17.8,-45.6,-18.3
"19","11","  Automotive vehicles, engines, and parts","B641RL1",12.6,-23.4,14.1,-4.4,3.4,5.1,32.3,-12.3,28.9,15.6,18.8,-2.8,7.9,-23.9,-22.9,49.2,-6.9,7.7,6.3,4.8,36.3,-15.6,-5.7,-3.6,-23,17.8,-1.4,-7.7,-0.5,35.7,-2.6,-9.1,2.8,11.5,-17.2,22.2,6.3,18,20.7,3.3,6.4,1.4,13.5,23.1,8.1,-5.7,2.2,13.5,19,13.9,9.5,15.3,-10.1,-0.7,8,-47.2,-83,-14.8
"20","12","  Consumer goods, except automotive","A642RL1",-4.9,4.1,9.6,0.2,10.4,5.6,4.5,16.2,13.4,16,-0.2,3.6,-2.5,10.4,3.6,-3.8,-2.5,3.3,8.1,16.7,14.9,5.1,13.1,-7.6,15.5,-3.9,-25.9,-6,-3.6,9.4,4.6,-2.9,8.6,4,15,11.4,16.3,21.5,3.9,16.5,9.5,9.2,6.9,11.3,14.8,7.6,5.1,20.8,13.7,2.7,12.3,7.6,14.6,11.8,8.4,-23.2,-23.8,-1.1
"21","13","    Durable goods","B690RL1",3.7,2.2,0.6,1.6,6.3,10.4,10.7,17.7,6.4,27.8,2.5,-2.7,-1.5,10.6,6.4,-3.4,-13.5,17.3,11.4,28.1,15.6,-6.5,15.6,-10.4,26.2,-5,-28.4,-14.8,5.5,6.9,5.9,-12.2,0,11.7,19.1,22.8,6,28.5,14.1,14.9,14.6,8.7,16.6,7.6,18.2,16.6,3,24.4,14.5,11.7,15.2,25.3,8.5,10.9,-1.7,-40.6,-41.6,-4.3
"22","14","    Nondurable goods","B691RL1",-13.1,6.1,19.7,-1.2,14.7,0.9,-1.5,14.8,21,4.9,-3.1,10.7,-3.5,10.2,0.8,-4.2,10.3,-9.3,4.7,5.3,14.1,19.7,10.4,-4.5,4.7,-2.6,-23,4.7,-12.6,12.2,3.2,8.1,18.1,-3.4,10.8,0.2,28.6,14.5,-6.2,18.3,3.9,9.7,-3.5,15.9,11,-2.3,7.7,16.4,12.7,-7.8,8.6,-12.4,23.6,13.1,23.5,4.7,1.2,2.1
"23","15","  Other","A643RL1",-0.4,-15.8,1.7,14.6,-7.1,19.6,6,37.6,-7.9,13.6,12,3.4,0.1,9.5,32.1,19.7,-1.4,-2.6,-8.9,20.3,-8.5,-16.9,49.4,8.4,-16,-12.5,-17.3,-11.5,54.9,4.2,9.3,-19.3,-26.2,-11,-4.1,4.2,-1.2,18.3,-11.8,-15.6,49.1,15.3,16.7,-1.4,10,-22.4,19.1,6.8,-15.9,-6.9,-4.8,37.6,-47.6,62.7,-64.1,50.1,-35.1,-31.7
"24","16","Exports of services \1\","A646RL1",2.4,2.5,24.7,6.6,-3.3,13.5,-6.9,37.9,-7.2,9.1,3.1,-4,4.1,8.1,-7.9,13.5,8.9,4.9,4.6,2.6,2,8.8,-7.9,4.3,-4.9,-0.2,-16.4,-15.5,24.7,3.6,5.1,8.8,-14.8,-3.7,19.4,21.1,17.3,5.4,-1.7,16.5,5.9,-1.7,2.9,7.4,13.6,5.6,1.5,29.1,4.7,2.8,27.2,19.2,-9,7.8,-7.7,-4.3,-13.6,-2.3
"25","17","  Transfers under U.S. military agency sales contracts","B267RL1",63.4,11.6,67.8,-32.6,-18.8,72.1,45.1,38,-49.2,119.8,-23.4,-43.3,120.6,-4.4,-38.6,44,-40.4,66.4,-45.4,-43.5,-19.2,78.9,-49.9,44.6,-63.2,215.3,-19.3,-35.7,-21,-13.2,160,-43.5,-17,10.5,204.2,-33.7,75.9,-4.6,-14.7,-34,200.1,-5.9,47.8,-49.7,134.8,44.9,-12.8,32.4,40.7,-71.9,23.2,321.1,-61,-24,-51.1,20.8,-4.5,28.3
"26","18","  Travel","B493RL1",1,-0.2,38.7,18.9,-10.6,20.5,-31.9,90.4,-16.4,-4.7,5.5,-11,-4.3,4.6,-19.5,11.8,4.6,-0.6,6.1,11.6,13.2,6.6,-15.1,1.1,3.7,-20.2,-35.9,-53.1,68.4,-3.2,3.3,44.7,-42.6,-30.4,53.9,49.7,-6.9,14.2,-2.6,7.3,10,18.8,-17.1,-3.2,1.8,2.8,3.2,17.4,-10.8,15.1,39.2,20.2,-3.8,8.2,3,-15.8,-23.3,-17.2
"27","19","  Passenger fares","B533RL1",19.9,-16.1,49.7,14.7,0.2,10.2,-19.9,40.8,19.4,-13.4,0.5,18.4,-19.1,20.3,-3.3,-29.2,-14.3,-0.1,16.5,-19.3,4.2,24.2,-9.4,0.8,-12.9,-11.7,-27.5,-65.6,129.9,-4.8,-17.4,6.2,-43.4,-34.2,45.1,12.7,4.6,12.6,11.8,-23.4,-9.1,34.4,22,4,0.5,-4.2,7.3,-9.4,14,-1.7,42.3,21.5,6.5,16.6,-9,-2.3,-17.8,7.6
"28","20","  Other transportation","B683RL1",-5.4,11.3,1.9,14.1,-29.6,11.1,-4.9,23.1,-9.2,8.3,-1.1,6.8,-14.5,-6.3,3.1,23.3,1.4,-1.2,-6.7,18.7,-3,5.4,-13,-6,10.9,-7.5,-10.9,-11,26.5,2.1,8.6,13.1,-14.1,15.2,1.7,25.7,28.7,7.8,-8.8,11.5,6.1,-0.5,-13.1,11.7,12.4,10.6,1.5,13,6.1,7.7,11,7.6,3.1,2.8,-16.3,-18.2,-38.7,1.1
"29","21","  Royalties and license fees","B684RL1",19.9,9.5,20.6,-2.1,2,-2.3,13.4,10.9,-12.3,5.1,0.3,-7.5,16.4,10.5,-4.8,40.5,8.3,-3.4,14.5,-2,20.2,4.9,0,-7.3,-24.1,2.6,-14,24,-2.6,34.6,9.5,-13.9,-0.6,8.1,6.9,14.2,42.6,-0.4,7.9,41,7.3,-3.1,4.1,2.6,2,6.6,12,38.9,-1.2,7.2,37.6,21.7,-8.6,6.1,-6.7,-2.3,-11.8,-4
"30","22","  Other private services","B720RL1",-8.4,6.2,11.4,7.4,12.4,11.8,5.4,21.8,9.2,19,11.8,6,6,17.8,4,8.4,37.8,7.1,12,7.7,-9.3,6.3,4.4,13.9,3.4,6.5,-3,14.6,14.6,2.8,0.3,10.1,3.9,6.1,3.8,19.6,18.2,2.7,-3,28.3,-4.2,-13.3,11.9,25.4,18,2.7,-1.9,41.9,10.1,10.2,22.4,5.3,-8.6,12.4,-5.6,-1.5,-4,-0.8
"31","23","  Other","B980RL1",-21.4,-16.7,16.4,-9.3,29,-13.6,5.4,2,11.1,-11.6,-1.9,-11.3,-3.9,-12.7,-7.3,23.9,-19.1,5.3,2.6,-2.5,10.6,-13.5,-11.2,-13,3.5,9.2,6.2,4.8,-0.5,-14.6,-13.9,-15.9,-4.6,0.6,0.7,5.6,3.3,10.1,-1.2,-0.5,-6.1,-7.1,5.8,0.2,5.9,3.4,3.2,16.7,-7.1,2.7,10.6,13.8,13.2,5.2,-3.5,60,-3.8,19.9
"32","24","    Imports of goods and services","B021RL1",9.1,3.9,1.4,5.2,13.7,9.3,13.6,8.1,18.2,14.1,15.6,8.9,15.9,9.5,5.5,13.6,10.6,13.4,15.3,9.9,17.2,12.8,14.7,-0.3,-5.7,-11.4,-9.3,-4.7,10.4,14.2,6.8,7.4,-4.7,5.9,4.7,15.6,10.6,17,5.9,10.5,2.3,4.5,2.5,11.7,7.8,4.5,4.9,-0.5,4.3,-0.5,3.7,-3.6,-2.5,-5,-2.2,-16.7,-36.4,-15.1
"33","25","Imports of goods \1\","A255RL1",7.9,5.6,0.9,4.6,15,10.4,14.3,10.1,18.4,16.1,15.4,9.3,15.6,9.7,4.6,15.5,11.4,14.8,16.6,11.1,16.4,13.2,14.9,0.1,-5.9,-15.1,-7.4,-3.5,8.1,18.1,7.6,5.3,-4.3,10.9,1.6,14.8,9.9,18.6,6.7,10.8,3.5,4.8,2.7,12.1,6.3,5,5.5,-2.3,5,-1,2.8,-3.8,-3.5,-4.6,-3.7,-19.6,-41,-15.9
"34","26","  Foods, feeds, and beverages","B647RL1",20.7,-6.8,6.6,4.1,20.8,6.9,18.6,4.4,6.2,14,21.6,-2,14.2,1.4,4,2.6,17.1,17.1,4.3,5.6,3.3,11.1,11.1,0.1,-5.5,8.3,26.4,-8.2,2.2,9.9,8.9,-0.4,11.7,7.9,8.9,10.1,3.7,9.3,-4.9,5.6,-1.8,8,11.4,4.4,12.3,-3.1,4.5,6.5,3.9,-7.2,3.9,-4.8,-1.5,-1.6,-1.5,7.6,-20.9,-2.8
"35","27","  Industrial supplies and materials, except petroleum and products","A649RL1",0.8,3.8,-14.9,1.1,12.8,9.4,14.4,11.7,0,12.2,7.1,10.3,18.8,14.2,1.4,2,-4.7,12.2,11.3,17.7,5.2,0.2,4.4,-5.6,3.4,-18.2,0.9,-2.8,4.5,9.8,8.6,10,-16.6,7,12.1,0.2,16.8,37.7,20.6,3.6,3.4,-1.5,-2.2,23,3.1,0.5,7.3,-15.3,-7.5,5.9,2.4,-17.9,-8.3,-8.6,8.2,-25.6,-51.6,-35.4
"36","28","    Durable goods","A820RL1",3.1,-6,-23.1,5,20.9,14.2,14.1,12.1,-3,10.4,4.8,19.2,24.8,19.5,4.5,7.1,-7.4,5.4,3.1,28.8,9.5,-4.1,-3.8,-0.4,-3.3,-19.8,-1.1,-1.6,22.6,0.9,8,12.1,-9.5,-7.5,4,23.8,14.8,41.9,29.3,17.7,-4.3,-0.9,-14.6,33.7,34.9,-7.4,6.6,-19,-10.9,-5.8,-11.8,-15.3,0.6,-13.6,-0.3,-18.2,-56.9,-43.9
"37","29","    Nondurable goods","B696RL1",-1.6,15,-5.9,-2.6,5.3,4.7,14.8,11.2,3.2,14.1,9.6,1.5,12.5,8.6,-2,-3.6,-1.5,20.8,21.2,6.4,0.5,5.3,13.8,-10.4,9.9,-16.6,3.1,-3.8,-11.9,20.8,9.4,8.1,-22.7,22.3,20.1,-18.2,19.2,33.6,11.7,-10.8,13.9,-2.3,12.2,12.6,-23.6,9.6,7.3,-10.4,-2.7,22.1,21.8,-20.9,-17.1,-3.3,17.6,-32.4,-45.7,-26.3
"38","30","  Petroleum and products","B648RL1",-3.1,-16.4,25.3,2.6,12.9,8.3,6.8,9.4,1.3,-5.1,5.7,17.8,7.3,1.5,7.6,4.5,4.1,-6.9,1.2,-12.8,33.7,-3.9,8.4,12.3,22.1,-18.4,-17,18.6,-18.2,9.5,-0.9,26.3,-15.4,39.4,4.4,-14.4,33,-10.1,3.5,21.4,-7.3,-2.4,-0.1,16.6,-20.8,5,22.1,-30.1,0.8,14.7,-3.4,-10.4,-1.5,-9.3,2.7,10.3,-15.9,-29.9
"39","31","  Capital goods, except automotive","A650RL1",15.4,28.3,25.7,21.1,11.5,9.4,19.9,27.9,30.7,30.8,24.6,12.7,20.2,9.2,3.8,12.7,9.6,28.8,20.1,16.1,13.3,38.1,21.8,0.1,-18.4,-36,-20.8,-5.6,11.6,13.5,1,2.5,1.9,10.1,3,28.3,17.4,24.6,13.5,12.6,2.8,20.9,3.4,13.5,16.1,8.8,8.9,3.4,10.2,0.2,4.9,5.6,5.2,1.9,-7.6,-24.9,-44,-19.5
"40","32","    Civilian aircraft, engines, and parts","B932RL1",-37.1,12.6,-23.9,8.7,3.8,65.7,12.8,26.3,-7.7,43.6,128,-17.8,-4.5,143.3,-2.2,30.7,-29,11.5,51.1,-23.7,-15.2,26.1,26.1,62.8,3.5,-4.3,-6.7,21.5,-41.3,-44.5,-34.8,86.6,-38.4,6.9,-18.7,65.4,-59.2,77,-12,69.7,-29,40.2,-48.5,16.9,50.2,-13.4,-7.1,53.8,26.5,15.6,-3.3,-1.5,15.2,3,-36.9,-26.2,-27.5,22.4
"41","33","    Computers, peripherals, and parts","B852RL1",6.3,40.8,49.2,51.8,13.8,19.3,17,20.6,52.5,42.7,29.3,10.6,40.7,18.5,6.3,43.5,34.9,43.8,14.5,13.7,-1.8,44.8,34.9,-13.3,-22.7,-23.4,-13.4,8.4,52.3,5.3,2.8,-0.2,11.3,10.8,11.1,37,20.7,30.1,25.6,17,3.2,11.6,20.4,15.4,24.8,13,17.3,3.1,39,-15.4,-2.2,21.6,12.7,8.6,-15.9,-39.9,-22.3,10.3
"42","34","    Other","B853RL1",24.8,25.3,22.5,12.1,11.2,2.5,21.8,31.3,26.6,25,15.3,17.4,15.3,-3.8,3.6,-0.1,6.2,25.1,19.2,23.5,24,36.9,16.6,-0.1,-19.4,-43.7,-25.5,-14.6,9.8,30.1,5.9,-4.2,5.1,10.2,2.9,21.2,30.6,18.3,12.2,6.2,6.9,22.5,5,12.6,10.4,9.8,7.7,-0.4,0,4.7,8.4,1.5,1.8,-0.3,-0.6,-19.6,-50.7,-31.3
"43","35","  Automotive vehicles, engines, and parts","B651RL1",3.1,-10.7,-21.2,-7.6,18.9,24.5,10.2,-16.2,39.1,0.8,3.4,-4.4,14.7,4.4,-6.1,63,20.7,10.8,19.7,7.1,23.3,-5,3.6,-7.7,-8.5,3.8,3.1,-8.7,12.7,21.7,10.3,-0.9,-6.6,12.2,-12,25.5,3,14.4,-0.7,0.2,-0.5,4.5,9.4,19.5,9.6,-1.4,-8.7,16.4,-10.1,-4.7,20.6,-6.1,-16.7,-11.7,-23.9,-46.2,-82.3,-15
"44","36","  Consumer goods, except automotive","A652RL1",11.4,1.9,1.2,-8.8,20.4,5.8,20.5,13.1,10,20.4,15.8,14.5,15.7,14.9,6.4,2.6,16.4,10.7,23.1,18.4,17,23.2,10.3,12.1,-4.2,-5.5,-4.3,-5,15.9,30.9,16.3,5.1,7.2,1.8,8.5,18.3,5.5,25,-2.6,17.7,12.8,4.2,-3.3,6.5,14.9,6.4,9.6,14.9,11.6,-7.3,-4.1,11.6,-2.4,2,-1.8,-24.6,-25.3,2.1
"45","37","    Durable goods","B697RL1",6.9,0.3,-0.4,-4.5,22.7,6.9,22.5,3.7,12.9,18.3,14.5,18.2,20.6,16.2,6.4,8.7,7.4,26.9,22.2,16.3,30.2,14.8,8.5,16.1,-10.8,-12.4,-1.1,-0.6,22.3,37.4,10.2,-0.9,-1.5,5.6,21.1,26.2,4.5,29.2,1.8,24.9,10.2,2,11.7,2.8,15.2,-2.2,12.3,21.7,7.4,-8.9,5.8,16.4,-11,4.3,0.6,-32,-32.1,8.5
"46","38","    Nondurable goods","B698RL1",16.7,3.7,2.9,-13.4,17.9,4.6,18.3,24.6,7,22.7,17.2,10.7,10.6,13.5,6.4,-3.6,26.9,-4.7,24.1,20.7,3.5,33.7,12.4,7.8,3.9,2.5,-7.6,-9.6,9.3,23.8,23.7,12,17,-2.1,-3.6,10.2,6.7,20.3,-7.3,9.8,15.9,6.8,-18.6,11.1,14.5,17.7,6.6,7.2,16.8,-5.4,-14.9,5.9,9.5,-0.6,-4.8,-14.8,-16.7,-4.6
"47","39","  Other","A653RL1",-0.6,18.6,-25.8,27,10.8,5.8,-13.4,0.3,34.1,23.3,34.4,8.9,1.8,11.7,41.9,31.3,17.6,7.4,8.8,-1.5,24.3,-5.7,82.8,-21.2,-5.6,11.6,-9,2.2,2.3,13.9,1.8,-0.3,-24.4,17.1,-20.7,20,-22.5,7.9,26.2,5.3,9.7,-16.2,29.8,-20.8,24.1,21.3,-33.7,-9.6,62.3,-20.2,7.9,-30.2,-3.2,-12.6,-10.5,-10.7,-11.7,-6.8
"48","40","Imports of services \1\","B656RL1",15.2,-5,4.1,8.5,6.8,3.2,10.3,-1.4,17.4,4.3,16.6,6.9,17.2,8.3,9.8,4.3,6.7,6.4,8.9,3.9,21.8,10.3,13.7,-2.5,-4.8,10.7,-18.4,-10.4,22.5,-3.5,2.6,18.9,-6.7,-16.5,22.1,19.8,14.2,9.4,2.4,9.4,-3.7,2.6,1.2,9.5,16.1,1.8,1.3,10,0.4,2.1,8.6,-2.9,3,-7.1,6.1,-0.9,-11.5,-11.5
"49","41","  Direct defense expenditures","B752RL1",41.8,-40.8,4.6,21.1,44.5,-4.9,8,1.7,38.1,-9.7,56.3,23.2,-4.9,-18,39.2,-13.7,8.1,28.5,24.6,-30.1,8,30.3,16.8,-26.4,11.9,6.3,21.9,96.2,19.8,6.7,2.4,9.3,11.4,23.6,19.2,24,-12.5,19.5,-8.7,-27.9,-5.4,8.2,-5.4,0.7,11.4,-19.8,4.2,-15.3,12.8,-11.9,-9.2,-1.4,-12.2,-18.8,24.5,16,21.3,-20.7
"50","42","  Travel","B768RL1",21.7,-9.3,-8.9,24.7,11.6,-11.6,8,1.7,27,-3.8,17.5,8.2,33.3,7.6,5,-2.1,-6.5,9.2,5.7,9.2,28.6,4.1,0.6,12.6,-8.5,26.3,-43.5,-37.3,52.7,-10.6,-10.2,24.5,-21.4,-50.2,67,20.3,3.9,5,-3.8,-2.4,4.8,-8.3,-10.5,11.6,3.1,0.1,-5.8,7.1,-3.5,-8.6,1.1,-2.6,-1.1,-17.4,0.6,59.1,-11.1,-29.2
"51","43","  Passenger fares","B769RL1",3.4,23.4,13.4,6.8,-0.7,6.4,13.3,-5.8,18,20.9,6.9,-21.3,15.7,35.4,12.6,-0.4,-1.8,-1.4,5.3,12.7,12,15.8,7.4,-26.3,-28.3,22.1,-19.2,-56.5,0.6,-7.1,-16.4,72.6,-28.9,-14.8,59.4,18.1,25.1,38,-6,-10,-5.3,11,18.1,-6.1,-6.5,6,-6.6,-6.2,-19.4,21.1,9.1,-8.5,16.5,-14.3,-6.1,-15.8,-21.3,-4.9
"52","44","  Other transportation","B770RL1",3.6,-7.6,3.3,-13.5,-11.4,28.2,2,-8.2,17.1,13.8,-2.6,25.8,5.7,-4.5,2.2,18.8,-5.5,-12.7,7.6,4.8,20.6,18.9,17.2,-7.2,-6.1,-12.7,-26.1,15.1,-4.1,31.7,1.4,15,13.4,-14.9,-9.2,4.9,47.7,2.7,9.2,17.3,25.9,-12.5,-14.1,20,0.5,13.5,19.7,7.2,-9.8,12.3,6.5,-2,4.1,-15.2,-9.7,-18.5,-26.8,-20
"53","45","  Royalties and license fees","B908RL1",13.9,20.6,29.6,35.6,-26.3,2.4,149.6,-49.7,63.7,-4.8,52.4,-17,87.5,-10.6,28,25.6,10.2,15.6,7.7,20.6,31.1,6.7,106.8,-31.1,-13.5,-6.9,0.7,19.4,69.9,-13.6,23.2,-25.4,-18.8,10.3,26.3,4.1,19.9,19.1,49.3,-3.3,-24.5,18.8,20.8,-25.8,-10.4,-27.7,-4.7,77.8,-11.8,-8.4,0,-17.6,28.6,2.6,78.9,-60.2,-27.4,-9.7
