"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"30","21","    Other services","DOTSRZ2",0.15,0.26,0.47,0.68,0.48,0.61,0.35,0.05,0.23,0.21,0.1,0.3,0.25,-0.06
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRZ2",0.1,0.13,-0.15,0.2,0.16,0.18,0.19,0.24,0.13,-0.01,-0.05,0.24,0.1,0.23
"32","23","    Gross output of nonprofit institutions \2\","DNPERZ2",0.12,0.25,0.15,0.46,0.33,0.36,0.45,0.57,0.16,0.2,0.16,0.3,0.26,0.35
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRZ2",0.03,0.12,0.3,0.26,0.16,0.18,0.27,0.33,0.02,0.21,0.21,0.06,0.16,0.12
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  Energy goods and services \4\","DNRGRZ2",0.07,0.12,0.03,0.14,0.09,0.02,-0.02,0.09,0.11,0.06,0.04,-0.15,0.08,-0.22
"36","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRZ2",2.59,3.28,3.58,5,5.06,4.87,2.63,2.55,2.53,3.19,3.01,2.79,2.42,-0.03
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
