"","Table 5#3#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Structures","B009RL1",10.4,8.2,2.9,-3.3,7.3,9.1,5,22,3.6,-3.5,16,2.8,-4.2,23.3,0.2,-0.6,-1.6,-4.8,-0.3,4.9,8,17.6,15.9,1.7,-10.6,1.4,2.3,-32.9,-20,-20,-16.6,-5.8,-3.9,12.5,-0.9,-1.8,-2.3,4.7,4.1,0.4,7.4,-1.5,-8.1,2.5,18.9,22.4,10.3,1.5,15.6,22.7,26.6,11.2,6.8,14.5,-0.1,-7.2,-43.6,-8.9
"12","4","    Commercial and health care","W001RL1",14.1,5.9,-1,-3.4,1.3,28.2,13.5,20.3,18.4,-15.2,23.9,-4.8,4.7,22.7,-5,16.5,-3,3.5,1.6,0.4,3,19.7,13.5,4,-3.3,-14.1,-24.1,-20.3,-7.1,-17,-13.3,-10.7,-13.5,4.7,10.4,2.9,-5.7,16.5,-0.8,-13.3,7,-1.6,-5.3,4.5,9.4,13.6,11.4,-2.7,20.4,13.4,6.7,0.8,-1.7,1.4,-10.8,-28.4,-35.3,-12.2
"13","5","    Manufacturing","C307RL1",9.7,37,-2.8,-8.4,23.2,-8.2,-7.9,47.6,-32.9,-13.3,29.1,-12.4,24.6,-2.7,-9.6,-3.6,-24.5,-30.3,-9,-17.4,17.5,41.9,-5.1,4.4,29.1,-20.9,-15.4,-60.1,-50.6,-35.8,-39.6,-8.7,-12.7,41.6,2.8,2.2,-9,-10.7,21.5,81.2,17.8,-11.4,8.2,8.8,6.2,34.1,20.8,-21.2,22.1,31.4,92,29.9,-0.9,22.8,20.6,46,59.7,50
"14","6","    Power and communication","W003RL1",18.4,1.6,-9.2,-20.3,-17.7,-17.5,-13.9,11.8,-21.9,6.4,15,9.8,-0.4,77.4,30,-27.7,77.6,-26.7,59.5,25.9,1.7,-3.1,58.4,7.8,-52.1,99.5,-3.3,33.3,7.1,-37,-34.1,7.3,35.1,-17.7,-28.5,-14.2,-6.3,-46.2,13.5,24.7,-4.2,-11.1,-8.5,6.6,38.4,-13.3,17.2,12.8,54.6,50.7,43,45.7,19.1,12.5,-14.6,-18.8,-8.8,40.1
"15","7","    Mining exploration, shafts, and wells","E318RL1",-40.2,-31.5,-7.4,0.9,16.8,32.5,0.7,5.4,61.9,13.5,-9.9,5.4,-32.6,-0.9,-8.9,-36.5,-34,27.3,-24,47.6,23.5,51.2,22.2,18.7,38.7,11.7,16.1,-45.9,-61.2,-12.4,40.3,-4.6,1.5,58.3,13.1,1,20.9,32.8,6.3,-1.8,32.6,26.1,-22.7,-8.6,37.1,51.5,7.3,6.1,3.2,6.3,29.5,-2.3,13.9,32.4,19.4,16.1,-82.4,-68.3
"16","8","    Other structures \1\","W004RL1",29,16,35.4,15.5,24.4,3.6,14.4,19.5,9,17.6,6.1,25.1,-23.2,30.6,4.9,4.2,-5.1,4,-18.2,4,13.4,7.9,6.9,-13.8,-22.6,-1.2,95.4,-58.1,-19.2,-2.5,-18.6,-5.1,-12.2,26.6,-5.2,-4.3,-4.9,17.4,0.6,-6.9,-9.3,-16.2,-1,8,12,29.2,3.6,7.7,-0.8,49.5,26.1,19,6.7,11.8,-4.2,-15.3,-31.6,14
"17","9","  Equipment and software","B010RL1",19.8,1,2.6,12.6,11.3,13,17.2,7.7,13.2,15.5,24.1,3.4,21.9,12.8,8.4,19.4,13.7,17.7,16.3,0.2,18.4,15,0.9,1.5,-1.3,-13.9,-9.6,-2.7,-4.8,-1.2,3.3,-7.8,-1,10.8,13.1,7.8,-3.4,13.5,14,12.2,2.4,8.7,11.2,2.3,17.8,2.1,2.2,2.8,-0.5,6.5,2.2,4.5,-0.5,-5,-9.4,-25.9,-36.4,-9
"18","10","    Information processing equipment and software","A679RL1",20,21.4,8.9,25.4,23,18.6,20.5,14.5,27.7,24.8,34.3,16.4,29.5,18.2,13.8,26.5,23.9,33.3,19.7,3.5,29.6,22.2,7.5,13.4,-0.6,-15.6,-10.2,-4.1,-2,3.5,7.5,-9.1,10.2,5.4,23.8,18.5,1,6.9,7.6,8.3,5.7,8.2,9.1,4.1,16.8,2.6,9.3,2.9,12.9,5.1,8.5,14.5,10.2,6.7,-4.4,-16.9,-19.6,-4.5
"19","11","      Computers and peripheral equipment","B935RL1",50.7,80.9,35.7,75.3,37.1,33.9,40.9,28,53.3,55.4,62.5,20.8,71.3,42.3,23.3,50.6,65.8,56.5,18.5,-5.1,24.1,51.9,14.6,6.8,16.9,-22.6,-25.1,27,22.9,-7.8,20.8,-6.8,13.3,2.2,25,29.2,-8.3,11.4,17.5,22.6,-8.1,14.4,20.2,33.9,28.6,15.8,28.9,0.9,31.8,3.3,22,37,19.7,5.1,-26.7,-29.2,-14.7,4.9
"20","12","      Software \2\","B985RL1",5.9,12.6,15.3,16.8,17.1,17.8,18.1,24.9,49.1,23.1,28,27.3,15.9,14.9,21.1,25.1,20.9,32.2,24.1,13.4,14.6,11.5,0.8,12.8,3.1,-8.8,-4.6,-11.6,3.7,11,9.4,-9.6,9.6,4.3,24.9,16.2,5.1,2.7,12.9,12,1.7,10.2,2.4,0.4,4.2,4.4,6.7,7.6,3.9,6.8,6.4,12,12.9,4.8,-3.1,-9.1,-24,-12.5
"21","13","      Other \3\","A937RL1",15.2,3.5,-6.4,8.7,19.9,11.8,12.1,1.5,3.1,10.9,24.4,6.2,20,8.4,3.3,15.7,6.9,21.8,16.3,-0.8,49.7,18.4,10.4,18,-11.5,-18.5,-8,-8.5,-18,1.2,-0.8,-9.6,9.3,8.2,21.9,16.4,0.7,9.8,-2.7,-2.3,18.1,3.3,12.9,-2.6,28.4,-4.8,4.4,-1.9,16.4,3.8,5.7,8.9,3.4,10,4.9,-21,-15.6,2.5
"22","14","    Industrial equipment","A680RL1",18.9,6.3,2.9,-3.4,9.8,7.8,-3.7,4.7,-1.9,7.9,2.2,1,21.8,-3.4,-8,1.5,-0.7,5.9,5.4,0.8,20.5,11,7.4,-6,0.9,-25.5,-15.8,-11,3.5,-9.9,4.9,-2.3,-2,16.2,-10.1,-10.3,-15.5,9.8,13,8.1,9.6,-4.5,17.4,17,-4.9,29.7,-3.3,2,-7.1,38.2,-2.2,-14.7,1.6,-1.7,-10.6,-14.1,-49.7,-15.5
"23","15","    Transportation equipment","A681RL1",26.3,-33.9,-7.6,11.7,-5,13.1,42.6,-0.5,1.1,9.7,22.5,-21.9,7.8,19.2,23.3,46.8,3.8,13.4,27,-13.5,-3,5,-14.9,-19.7,-11.1,2.6,-15.5,19,-18.8,-18,-6.2,-16.6,-34.1,37.9,4.4,-0.8,-3.5,46.6,35.2,31.7,-14.1,14,23.1,-13.9,51.2,-15.8,-0.8,3.8,-14.2,-19.8,-13.5,-0.6,-20.5,-42.4,-44.5,-68.9,-81.3,34
"24","16","    Other equipment \4\","A862RL1",12.3,-2.9,-1.8,4.1,3.6,5.2,11,3.6,9.9,6.7,27.2,4.8,17.7,11.8,-2.1,-6.3,14.6,-5.8,4.6,8.8,11.8,9.6,-6.3,-0.3,6,-10.6,7.4,-10.9,-4.9,14.9,-0.7,-0.4,5.5,0.9,17.5,4.8,-3.7,9.3,14.3,8.5,6.2,17.4,0.4,2.8,12.8,-0.7,-7.3,1.9,-12.4,12.7,6,3.5,-11.6,-2.9,10.2,-24.8,-31.1,-27.5
"25","17","Residential","A011RL1",-8.6,-12.3,13,9.4,10.9,18,-1.1,-4.1,1.4,5.2,1.8,4.2,7.3,12.6,12.6,9.9,2.4,4.4,3.4,5,3.2,-2.7,-6.8,0.3,1.8,5.7,2.2,-3.4,11.1,10.2,2.4,6.3,3.9,9.4,22,11.3,3.6,15.9,4.1,3.2,7.5,9.6,4.2,0.1,-4.2,-16.9,-21.2,-19.7,-16.2,-12.9,-22.4,-29.5,-28.2,-15.8,-15.9,-23.2,-38.2,-29.3
"26","18","  Structures","A012RL1",-8.7,-12.4,13.1,9.6,11.3,18.2,-1,-4.2,1.6,5.2,1.8,4.2,7.3,12.5,12.6,9.9,2.2,4.2,3.2,5,3,-2.8,-7,0.3,1.9,5.8,2.2,-3.6,11.2,10.3,2.5,6.3,4,9.3,22,11.3,3.6,16,4.1,3.1,7.6,9.7,4.2,0,-4.3,-17.1,-21.4,-19.9,-16.5,-13,-22.7,-30,-28.6,-16.1,-15.9,-23.4,-38.8,-29.7
"27","19","    Permanent site","A943RL1",-11.8,-20.8,8.5,15.7,14.9,23.8,-3.4,-5.6,-0.9,5.3,-3.6,7.4,9.8,14.1,19.4,13,4.2,-0.6,3.3,10,4.6,-4.8,-12.1,0.5,5.6,7.3,1.8,-7.4,6.6,13.3,4,4.6,8.7,5.5,23.2,25.3,2.5,13.8,6.8,0.3,11.9,6.9,5.5,6.9,-1.5,-24.5,-27.6,-29.2,-23.2,-16.6,-27.4,-39.8,-40.8,-27.3,-28.1,-39,-60.9,-49.3
"28","20","      Single family","A944RL1",-14.7,-22.6,5.9,16.4,14.3,22.2,2,-7.3,-4.5,3.9,-1.9,4.9,12.9,18.7,20.3,13.9,3.1,-1.5,1.4,12.4,6.8,-6.1,-11.5,-1.5,5.4,8,1.8,-9.3,6.2,14,4.8,5.8,8.8,6.2,24.3,28.7,2.4,13.4,5.5,0,12,6.2,5.3,7.8,-1.5,-26.7,-29.9,-33.7,-25.6,-14.8,-27.9,-42.4,-44.8,-32.5,-32,-42.7,-67.5,-54.1
"29","21","      Multifamily","C292RL1",21.9,-3.1,33.6,9.3,19.3,37.2,-38.7,11.6,34.2,16,-15.4,28,-10.8,-16.9,11.6,5.9,13.4,7.7,19.9,-7.3,-11.5,7.1,-16.8,19,7.3,2,1.5,9.3,9.4,8.4,-2.2,-4.9,8,-0.4,13.5,-2,3.6,16.8,19.6,3.4,10.6,13.9,6.6,-0.5,-0.6,-3.3,-6.5,13,-5.7,-27.2,-23.7,-20.8,-14.1,2.8,-9.2,-22.9,-28.8,-32.6
"30","22","    Other structures \5\","A863RL1",-4.1,0.9,19.5,2,6.6,10.7,2.5,-2.3,5.1,5.1,9.7,0.1,3.9,10.4,3.7,5.6,-0.6,11.8,3,-2.1,0.5,0.4,1.3,-0.1,-3.4,3.6,2.7,2.5,18.5,6,0.1,8.9,-2.8,15.4,20.3,-7.7,5.3,19.7,-0.3,7.9,0.9,14.6,2.1,-10.9,-9.4,-2.2,-10,-3,-5.6,-7.6,-15.9,-15.2,-11.3,-2.5,-2.2,-6.3,-13.9,-13.1
"31","23","  Equipment","B013RL1",-2.6,-6,4.9,-1.1,-6.3,10,-7.3,4.6,-8.8,2.6,2.9,2.3,8.3,15.3,7.5,9.7,11.5,14.5,12.1,3,12.5,3,1.6,5.1,0,1.5,3.1,9.8,5,3.9,-3.6,3.6,0.4,17.2,20.2,11.2,7.7,8.9,9.7,8.8,-2.3,4.9,0.4,13.1,8.5,-4.3,-0.3,-2.3,5.3,-6.3,2.5,3.1,-5,3.7,-13.7,-16.2,-7.1,-10.9
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RL1",-1.5,-4.4,8.8,4.1,9.7,14.4,1.4,5.8,2.4,1.5,7.6,3.6,2.3,17,7.2,5.4,0.6,0.5,1.8,5,5,5.1,2.1,0.9,-3.6,4,2.2,-16.9,-2.2,-2.1,-4.8,1.9,1.2,10.4,13.9,6.8,1.6,12.3,4.1,2.3,7.6,6,0.1,0.7,2.5,-5.3,-11.1,-12.2,-4.6,1,-2.9,-11.9,-11.7,-0.5,-7.2,-14.2,-41.7,-17.9
"34","25","  Private fixed investment in equipment and software","A327RL1",19.6,0.9,2.7,12.5,11.2,13,16.9,7.7,12.9,15.4,23.9,3.4,21.8,12.8,8.4,19.3,13.6,17.7,16.2,0.2,18.4,14.9,1,1.5,-1.3,-13.8,-9.5,-2.6,-4.7,-1.1,3.2,-7.7,-1,10.9,13.2,7.8,-3.3,13.4,13.9,12.2,2.4,8.7,11.1,2.4,17.7,2.1,2.2,2.7,-0.4,6.4,2.2,4.5,-0.6,-4.9,-9.4,-25.8,-36.1,-9
"35","26","  Private fixed investment in new structures \6\","W040RL1",-1.3,-4.7,5.6,5.1,9.8,13.5,1.3,6.9,1.6,0.8,6,1.7,3.8,15.8,7.5,5.3,1.4,-2,1.6,6.7,4.9,4.8,1.7,0.5,-3.1,3.7,-4.2,-11.7,-5.3,-2.7,-3.8,0.1,1.8,8,10.7,10.1,0.2,7.6,4.5,1.5,9.1,2.8,-0.5,4.5,4.9,-5.7,-9.8,-13,-4.2,2.6,0.5,-10.1,-10.7,-1.2,-8,-12.5,-42.6,-18.8
"36","27","    Nonresidential structures","A771RL1",10.4,8.2,2.9,-3.4,7.1,8.9,4.8,21.6,3.4,-3.4,15.9,-2.1,0.8,23.5,0.2,-0.7,-1.7,-4.7,-0.3,4.9,7.8,17.6,15.9,1.8,-10.5,1.5,-12.1,-21.8,-20,-19.7,-16.2,-5.4,-4.1,12.2,-1.1,-2.1,-2.5,4.4,3.7,0.1,6.9,-1.7,-8.2,2.5,19.1,22.7,10.5,1.8,15.8,22.7,26.5,10.9,6.7,14.3,-0.2,-7.2,-43.6,-8.9
"37","28","    Residential structures","A756RL1",-9.1,-13.7,7.7,12.3,11.9,17.2,-1.3,-3.4,0.2,4.4,-1.5,5,6.4,9.9,13.9,10.4,3.9,0.1,3,8.1,2.7,-4.2,-8.7,-0.6,3.5,5.6,2.7,-3,7.1,11,5,3.7,5.3,5.6,18.1,17.5,1.8,9.3,4.9,2.2,10.1,5.3,4,5.8,-2,-19.3,-21.1,-22.4,-17.6,-12.5,-20.2,-29.1,-28.9,-19.6,-18.8,-20.7,-40.8,-33.4
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
