"","Table 5#1# Saving and Investment                                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"22","15","    Domestic business","W276RC1",586,619.2,658.5,702.1,756.8,824.3,876.5,908.5,935.4,978.7,1045.7,1123.3,1188.5,1252.3
"23","16","    Households and institutions","W279RC1",118.7,124.2,131.2,139.5,150.4,162.5,175.1,185.5,200.5,222.2,245.1,268.1,281.1,283.9
"24","17","  Government","A264RC1",164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,290.4,310.9
"25","18","    Federal","A918RC1",81.7,81.9,82.5,82.8,85,87.8,88.6,89.2,90.8,94.8,100.4,106.6,112.6,119.8
"26","19","    State and local","A919RC1",83.1,87.2,91.6,96.2,102.1,109.7,116,121.8,127.3,137.1,150.1,162.7,177.9,191.2
"27","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1",1271.6,1370.3,1511.7,1569.1,1637,1666.2,1592.3,1538.9,1569.4,1716.3,1823.7,1953.8,2025.4,1925.2
"28","21","Gross domestic investment","W170RC1",1376.6,1484.4,1641,1773.6,1928.9,2076.5,1984,1990.4,2085.5,2340.9,2564.2,2752.2,2750,2632.4
"29","22","  Gross private domestic investment","A006RC1",1144,1240.2,1388.7,1510.8,1641.5,1772.2,1661.9,1647,1729.7,1968.6,2172.2,2327.2,2288.5,2136.1
"30","23","  Gross government investment","A782RC1",232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,461.6,496.3
"31","24","Capital account transactions (net) \1\","W167RC1",1.1,0.9,1.2,1,5.2,1.4,-11.7,1.8,3.8,-1.1,-11.1,4.2,2.2,-0.4
"32","25","Net lending or net borrowing (-), NIPAs \2\","W162RC1",-106.2,-115.1,-130.6,-205.5,-297.1,-411.7,-380,-453.4,-519.9,-623.5,-729.5,-802.6,-726.8,-706.8
"33","26","    Statistical discrepancy","A030RC1",52.5,25.9,-14,-85.3,-71.1,-134,-103.4,-22.1,16.6,-7.8,-79.7,-220.6,-14.8,101
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Gross private saving","A126RC1",1251.2,1300.5,1375.4,1394.9,1380.3,1376.2,1466.5,1656.8,1749.8,1880.1,1909.9,2057.9,1964.6,2195.9
"36","28","  Gross government saving","A927RC1",-32.2,43.9,150.3,259.5,327.8,424,229.2,-95.9,-197.1,-155.9,-6.5,116.5,75.6,-371.8
"37","29","    Federal","A926RC1",-124.5,-66.3,22.4,116.4,183.9,273,129.1,-163.6,-285.5,-284.6,-182.6,-97.2,-123.9,-522.8
"38","30","    State and local","A925RC1",92.3,110.2,127.9,143.1,143.9,151,100.1,67.7,88.4,128.7,176.1,213.8,199.5,151
"39","31","  Net domestic investment","W171RC1",507.2,571.9,677.2,753.1,834.5,892.2,727.7,685.4,731.4,908.2,1022.9,1091.6,990,785.3
"40","32","  Gross saving as a percentage of gross national income","W206RC1",16.5,17.1,18.2,18.6,18.1,17.8,16.2,14.6,13.9,14.4,14.9,15.9,14.4,12.6
"41","33","  Net saving as a percentage of gross national income","W207RC1",4.7,5.5,6.7,7.1,6.5,6.1,4.2,2.4,1.8,2.4,2.8,3.8,2,-0.2
"42","34","  Disaster losses \3\","W771RC1",2.4,0,0,0,3.5,0,19.2,0,0,29.4,110.4,0,0,17.4
"43","35","    Private","W772RC1",2.4,0,0,0,3.5,0,17.5,0,0,29.4,99.2,0,0,17.4
"44","36","      Domestic business","W773RC1",1.2,0,0,0,2.2,0,15.5,0,0,17.4,48.8,0,0,9.9
"45","37","      Households and institutions","W774RC1",1.2,0,0,0,1.3,0,2,0,0,12,50.4,0,0,7.5
"46","38","    Government","W775RC1",0,0,0,0,0,0,1.7,0,0,0,11.2,0,0,0
"47","39","      Federal","W776RC1",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"48","40","      State and local","W777RC1",0,0,0,0,0,0,1.7,0,0,0,10.7,0,0,0
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","nonfinancial assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Prior to 1982, equals the balance on current account, NIPAs as shown in table 4.1;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","estimates of capital account transactions (line 24) are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. Consists of damages to fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
