"","Table 3#11#1# Percent Change From Preceding Period in Real Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Gross output of general government","W085RL1",-5.3,-2.3,-1.8,-12.4,3.8,6.8,-5.8,2.3,-10.9,11,-8,2.3,-19.2,12.8,3.1,-2.9,-2.8,-2.8,12.3,11.6,-22.7,20.1,-9.1,-0.5,12.2,0.8,3.1,6.4,10.1,5.1,7.3,9.8,-3.5,41.4,-6.7,6.9,6.9,1.5,10.6,-10.6,6.2,0.8,11,-15.3,11,-1.7,0.1,5.1,-6.1,5.2,11.7,-0.5,6.3,2.4,19.8,3.2,-4.7,11.9
"12","4","    Value added","W086RL1",-3.8,-3.5,-3.8,-7,-2.4,-0.8,-2.1,-4.9,-2.8,-3.2,-1.2,-4.2,-2.4,-3.2,-0.6,-4.1,-2.7,-1.6,0.6,-0.7,-2.9,1.3,-0.1,-1,1.1,0.4,0.4,0,4.7,2.8,1.4,-1.1,7.2,4.4,1,0.3,4,-0.8,3.4,2.2,0.7,-1.1,0.6,0.9,-4.3,-0.5,3.9,0.9,-2.6,-0.5,4.6,1.8,3.9,4.1,8.2,5.7,4.5,7.8
"13","5","      Compensation of general government employees","B237RL1",-4.8,-4.4,-4.9,-9.5,-2.8,-0.5,-2.5,-6.5,-3.4,-4,-1.1,-5.3,-2.7,-3.9,-0.3,-5.4,-3.5,-1.9,1.3,-0.6,-3.8,2.3,0.1,-1.1,2,0.8,0.8,0.2,6.7,3.8,1.8,-1.8,9.5,5.5,0.9,-0.2,4.7,-1.7,3.7,2.1,0.1,-2.2,-0.2,0.3,-6.5,-1.6,4.2,0.3,-4.3,-1.8,4.7,0.7,3.3,4.1,10.1,7.1,4.2,8.1
"14","6","        Military","B4080L1",-4.1,-4.1,-6.1,-4.7,-2.7,-3.9,-1.1,-3.6,-3.5,-3.6,1,-3.2,-2.6,-3.8,0.7,-4,-3.7,-1.7,3.7,-0.9,-0.6,0.2,5.7,2,3,1.2,-1.6,3,11.5,2.3,1,-1.1,14.9,11.9,-1.4,-2.6,6.8,-3.8,-0.4,3.8,0.1,-4.7,-1.7,1.3,-8.3,-2.3,5,-1.6,-4.5,-2.4,6,-1,5.7,3,11.9,9.9,5.6,9.8
"15","7","        Civilian","W090RL1",-5.8,-4.9,-3,-16.9,-3.1,5.4,-4.7,-11.2,-3.2,-4.5,-4.4,-8.8,-2.7,-4.1,-1.8,-7.6,-3.1,-2.4,-2.7,0,-9.2,6.1,-9.2,-6.3,0.1,0.1,5.3,-4.9,-1.9,7,3.4,-3.1,-0.7,-7,6.2,5.2,0.3,2.9,12.6,-1.4,0.1,3.2,3.2,-1.8,-2.5,-0.1,2.7,4.3,-3.7,-0.6,1.9,4.4,-1.9,6.5,6.2,1.1,1,4.1
"16","8","      Consumption of general government fixed capital \2\","B432RL1",-1.8,-1.5,-1.4,-1.5,-1.4,-1.6,-1.3,-1.5,-1.4,-1.5,-1.6,-1.8,-1.9,-1.6,-1.4,-1.2,-1.1,-1,-1,-0.9,-0.9,-0.9,-0.7,-0.9,-1.1,-0.6,-0.6,-0.4,-0.1,0.2,0.4,0.7,1,1.4,1.3,1.8,1.9,2,2.4,2.4,2.6,2.6,3,2.9,2.7,2.9,2.9,2.7,2.7,3.6,4.3,5.1,6,4.2,2.7,1.4,5.7,6.9
"17","9","    Intermediate goods and services purchased \3\","W087RL1",-7.8,-0.3,1.7,-21.2,15.7,21.2,-11.8,15.7,-23.1,39.8,-18.1,14,-41.6,47.6,9.4,-0.9,-3,-4.6,33.9,32.7,-45.7,57.1,-21.4,0.3,31.5,1.5,7.3,16.3,18.1,8.4,16,26.1,-16.3,109,-15.1,15.5,10.6,4.4,19.6,-23.8,13.3,3.1,24.5,-31.4,33.1,-3.1,-4.2,10.2,-10.1,12.7,20.8,-3.1,9.2,0.4,33.9,0.7,-14.3,16.9
"18","10","      Durable goods","A998RL1",-6,-33.8,108.7,-59.1,13.3,66.1,-3.5,-33.8,14,34.2,-26.9,10.9,-15.5,9.6,39.1,-10.6,-24.7,66.9,30.8,-33.8,6.9,-2.3,1.9,-15.9,-9.4,38.3,27.3,-37.4,6.8,24.6,30.8,-18.9,-10.9,77,3.1,2.1,5.6,29.6,6.8,-12.6,-10.6,12,16.4,-0.5,10.1,1,15.6,19.5,-14.4,25.2,29,9.5,11.2,28.7,23.6,9.5,-25.7,51.6
"19","11","        Aircraft","B999RL1",20.5,-75.7,376.6,-66.2,35.9,11.2,15.2,-18.9,25.7,56.7,-51.8,59.5,-16.1,24.2,15.8,39.3,-41.1,70.2,25.6,-44,19.5,-31.2,27.3,-36.2,-14,42.2,86.6,-51.2,-8.2,32.4,13.9,-10,-12.7,116.7,-15,16.1,-18.3,12.4,30.6,-14.7,-39.3,-1.2,-3.8,14.3,-17.1,-16.6,19.5,76.1,-55.5,41.4,39.8,26.9,-29.7,34.8,34.5,19.1,-2.6,34.2
"20","12","        Missiles","B277RL1",-58.3,158.9,48.5,-63.9,-28.2,138.7,-2.3,-61.5,-12.2,44.7,-18.5,4.3,-29.5,-42.2,724.3,-81.3,15.6,7.6,22.9,4.7,-18.4,50.9,-0.2,51.6,4.8,-14.3,-2.3,-29.6,-17.3,-26.8,146.2,-8.2,-57.9,28.2,5.2,90.5,-44.1,192.2,-68,26.3,79.1,61,-18.1,84.2,21.9,37.5,-39.7,30.5,5.1,21.3,13,24.1,-11.8,4.6,2.3,7.4,-33.2,24.4
"21","13","        Ships","B278RL1",-59.3,87.7,95.1,-95.6,-16.9,1144.5,-72.5,-54.3,165.6,-1.9,5.8,-35.5,29.9,-42.5,19.3,-0.4,131.2,125.5,33.9,-47.7,76.9,21.7,-18.7,-34,-7.8,60.4,-7.6,-54.1,67.7,29.7,54.8,-59.7,22.5,28,5.1,-21.3,-6.2,105.9,32.9,-56.6,-2.7,21.8,51.3,-66,201,-50.8,-14.2,9.2,36.5,-12.5,-88.2,23.1,-48.2,88.4,-22.2,-43.1,-22,61.8
"22","14","        Vehicles","B288RL1",113.6,14.3,31.6,-77.7,27.9,8.1,55.3,-39.8,122.2,41.5,-47.5,-6.2,-49.1,-6.9,-10.9,-32.3,-49.1,9.8,-24.9,-1.5,-77.2,321.9,-37,-7.1,-2.3,20.3,63.9,-32.4,-0.3,-17.2,-7,37.6,-32.2,46.2,12.5,-4.8,-16.2,-10.7,62.1,37.9,6.2,50.8,146.4,5.7,43.9,49.8,77.5,11.9,5.1,130.4,23.8,24.6,7.7,72,0.5,156.9,-81.6,519.1
"23","15","        Electronics","B388RL1",-3.3,-29.4,58.6,-57.7,19.8,175.8,-16.1,-52.2,41,19.3,15.9,-35.1,26.5,-12.2,11.6,-17.7,29.8,70.1,36,-34.6,52.7,26.1,-36.9,42.8,-12.4,27.5,-4.3,6.8,12.6,32.5,21.5,-26,41.2,48.6,49.5,-45.4,57.7,55.6,0.2,12.9,0.5,50.3,101.3,-21.8,17.5,4.6,52.5,-13.2,41.4,31.9,49.1,-19.4,112.4,42.7,43.8,-1.3,-40.1,62.1
"24","16","        Other durable goods","B389RL1",-7.4,19.6,-25.1,23,4.4,58.3,-9.8,-22.8,-28.7,4.1,25.1,-12.7,-22.1,46.8,3,-15.8,-31.5,93.5,54.3,-23.3,-14.3,7.5,-0.2,-17.4,-7.1,74,-15.4,-23.9,40.3,40.8,32.8,-25.9,-6,69.3,13.3,-1.8,70.2,3.8,13.1,-24.3,11.9,-9.4,0.4,-10.3,17.7,14.3,18.2,-10.9,8.8,-4.7,48.5,6.5,30.9,8.4,14.5,-11.9,3.8,17.8
"25","17","      Nondurable goods","A725RL1",-64.3,7.5,-6.3,-37.8,93.5,34.3,-0.1,-36.5,51,-25.9,30.1,-7.7,0.1,-7.6,65.4,-22.2,-10.4,49,111.9,-51.5,100.4,-16,-43,-6.3,20,51.7,-19.3,53.4,-0.8,36.3,-19.8,51.3,24.4,-2.1,-57.9,88.1,102.9,-14.3,48.5,-65.2,57.8,42.5,12.2,-35.1,2.4,-12.1,58.7,-39.9,46,-3.6,28.6,-44.9,22.1,22.2,19.7,11.8,-14.2,34.6
"26","18","        Petroleum products","B780RL1",18.1,-32.1,52.4,-57.5,133.7,-18.3,39.4,-70.4,52.9,13.6,-16.9,-13.5,23,-1.6,-7.9,-28.2,31.9,74.4,135.3,-85.8,195.6,-38.5,-4.7,-21.6,105.6,3.8,15,70.1,-13.3,34.6,-37.6,159.6,49.8,-59.8,-91.3,401.1,288.1,-45.8,115.2,-92.1,165.7,190.9,7.5,-46.9,-13.2,-0.2,131.2,-64.6,60.1,16.5,28.5,-53.3,3.9,51.8,23.4,5,-9.6,19.4
"27","19","        Ammunition","B781RL1",-94.2,77.8,-45.5,-47.5,297.5,25.9,-66.7,195.6,179.9,-62.5,50.2,6.1,-19.9,-30.8,837.2,-56.4,-52.1,32.4,171.7,-61.6,-35.2,-14.3,219.2,-27.9,-12.5,62.3,9.2,-6.6,34,75.8,10.4,-32.5,-44.5,172.3,10.2,4.1,81.8,12.9,20.7,-1.5,-15.9,23.3,29.6,-23.5,5.4,-13.7,-6.8,19,-11.3,-41.4,96.1,-44.1,66.3,-41.3,45.2,15.2,-50.9,62
"28","20","        Other nondurable goods","B783RL1",-69.7,39,-29.7,5.2,5.9,156.3,7.4,-22.7,2.8,-30.8,87.3,-7.9,-2.5,2.7,-18.1,22.6,0.1,40.4,68.4,40.2,137.6,6.5,-81.8,34.3,-24.7,122.3,-51.9,82.9,-2.5,20,-15.8,27.3,33.6,83.2,-18.4,29.6,15.2,17.4,6.2,-0.8,42.9,-34,11.8,-17.8,27.5,-28,7,-3.5,72.8,-5.6,3.5,-25.2,41.6,14.6,1.4,25.3,5,40.4
"29","21","      Services","A489RL1",-0.1,9.8,-15.1,-4.7,11.6,11.1,-14.9,39.8,-34,49.5,-19,16.8,-49.1,65.1,-0.2,3.6,3.4,-19.7,28.8,72,-59.6,89.8,-23.5,5.1,43.3,-8.5,6.3,28.8,22.2,3.5,17.3,34.3,-20.4,131.4,-13.3,13.5,5.5,2.5,19.1,-19.4,14.1,-1.7,27.4,-34.9,41.5,-2.7,-12.7,16.5,-14.1,12.6,18.6,1.5,7.6,-6.6,38.4,-2.2,-12,9.7
"30","22","        Research and development","B784RL1",4.1,-26,28.9,-21.1,50.3,31.4,0.7,-45.8,1.8,93.7,-26.9,19.5,-45.2,18.2,10,16.6,9.7,-53.7,37.5,43.5,-22.4,-2,-41.9,114.6,-9.8,13.3,-0.2,18.1,22.6,56.3,-26.3,146.9,-55.1,257.9,-58,78.5,6.4,31.3,-11.8,-1,7.4,25.2,-12.8,-32.7,68.3,-3,-18.2,24.6,-3.6,-7.8,-18.8,4.7,10.4,10.1,-2.1,61.9,-40.8,22
"31","23","        Installation support","B911RL1",5.9,9.6,-21.9,1,3.7,16.2,-14.6,20.7,-25.5,13.5,-9,-1.2,-31.7,38.1,0.7,-24,5.1,7.1,7.2,51,-47.7,58.3,-4.5,-16.6,32.1,-10.8,13.1,10.7,19.6,-12.5,24.3,5.1,-5.2,35.8,30.8,0.8,-21.6,-14.6,23.8,-32.5,-16.4,4.8,44,-18.9,-5.9,10.6,-20.8,26.1,-30,2.7,12.6,-10.2,-2.5,-5,65,-9.1,14.9,12.8
"32","24","        Weapons support","B912RL1",-24.4,45.3,-42.9,-8.9,-50.7,-5.2,-20.7,747.7,-76.6,113.9,-18.5,87.8,-84,303.2,-21.1,73.7,-55.1,10.8,69.5,263.9,-95.7,1172.1,-19.5,1.5,111.1,-20,-20.8,45.1,39.7,-24.1,137.3,52.7,-46.1,134.1,68.4,-21.4,-21.4,-28.8,91.3,-35,28.9,-4.4,133.1,-50.2,6.1,42.3,-43.5,97.5,-50.3,26.5,31.2,-10.9,21.9,-8.3,183,-31,-33.5,0.6
"33","25","        Personnel support","B913RL1",0.2,82.5,-40.7,8.7,6.4,-8.4,-17.1,212.9,-50.1,49.9,-25.7,21.2,-63.9,202.1,-5,-0.6,21.1,0.2,51.8,101.4,-76.9,237.5,-28,-32.3,149.8,-26.6,17.8,40.7,29.4,-4.6,53.3,7.3,-26.5,69.7,52.5,11.5,35.4,0.9,41.3,-21.9,10.7,-6.5,69.2,-16.6,18.8,16.9,-30.9,8,-12.8,31.2,43.2,19.5,15.1,-8.3,53.4,-17.3,9.4,3.8
"34","26","        Transportation of material","B786RL1",33.4,63.5,-6.7,24.4,34.4,-13.8,-45.7,6.9,-38.8,2.4,-4.8,4.3,4.8,13.6,-2.2,-1.8,63.4,-28.4,-17.9,13.9,2.6,-8.7,-5.8,-26.1,12.2,23.7,22.3,103,5.5,-21.5,-40,-71.5,3051.1,476,-86,-24.4,62.2,5.7,-25.3,-27.6,105.5,-30.3,-62.1,-92.6,1942.3,-87.2,1272,-65.8,170.6,63.3,106.2,-1.1,-19.3,-44.8,-52.4,-59.2,46.2,7.6
"35","27","        Travel of persons","B785RL1",-24.9,-27,-10.5,6.9,7.3,-5.4,-50.2,160.5,-28.1,-1.1,0.8,-9.6,-2.6,4.2,4.7,12.4,14.9,4.7,0,6.4,-8.4,-1.2,-0.2,-18.4,-1.1,6.9,19.3,38.5,-19.9,-9.6,-15.7,-30.2,84,129,-5,-20.3,31.6,36.4,8.9,20.6,149,-61.7,-23.2,-71.6,297.6,-84.3,444.4,-40.7,49.1,0.8,44,-45.8,-26.3,-31.9,-25.9,62.8,14.6,2.2
"36","28","  Less: Own-account investment \4\","W088RL1",26.6,-25.2,6.3,-32.4,-1,2.3,18.6,-19.3,51.7,-23.8,-41.4,-30.4,73.9,54.6,-36.8,-63.6,-68.9,971.3,-23.7,-32,-61.5,10.3,4.3,13.3,129.7,-28.5,13.3,105.3,67.6,13.6,4.3,11.6,-20.8,0.9,-17.9,18.9,-39.5,17,2.7,4.7,-30,3.6,2.3,4.5,-17.8,2.8,3.3,8,-15.8,-7.6,-5.1,-5.3,27.7,2.8,4.2,-7,58.2,7.8
"37","29","        Sales to other sectors","W089RL1",-93.6,-78.6,-30.3,370.9,-52.7,103.4,135.3,-43.6,-81.3,192.7,-47.6,-17.9,99.8,-99.5,39936.2,-98.1,-69.2,1370.3,861.3,-86,1115.4,-97,576.2,-95.1,7025.1,-95.4,96.7,44.8,-45.8,-63.6,7907.8,-95.1,43.9,247.2,13.8,-85.2,54.3,84.2,329.2,-88.6,595.2,-5.2,51.3,-80.4,234.2,180.9,-46.7,-81.5,742.8,-62.5,263.8,-80.6,-43,20.8,-9.5,3.7,-1.5,2.1
"38","30","Gross investment \5\","A788RL1",5.4,1.5,-20.5,-4,30.9,2,-16.5,-31,-25.7,4.4,44.3,-0.5,-32.7,22.6,41,-19.8,-20.7,38.9,22.3,-11,-3.7,0,7.8,-3.3,-5.5,26.2,9.8,3.9,0.3,41.5,24.3,-6.6,0.3,21,11.2,9.5,-0.2,9.2,30.2,-9.2,-7.8,20.5,13.4,-11.8,10.9,28.5,-17.3,25.6,-9.4,27.2,4.6,-0.7,18.8,41.8,18.6,6.7,-6.6,21.7
"39","31","  Structures","A808RL1",64.6,-19,9.5,-12.5,-6.9,-2.2,-23.7,-11.3,-6.8,1,31.8,-26.3,-19.7,21.1,5.6,-49.3,26.1,-9.8,-20,-28.6,5.3,8.9,48.2,-27.8,-29.4,46,-26.3,17.1,-8.8,25.5,29.2,-1,53.6,12.1,25.4,-10.8,-12.9,-23.9,12.4,-31.9,32.1,-19.7,19.2,-29.4,4.4,21,-13.3,55.6,21.5,65.1,-15.8,11.3,20,22.4,32.4,71.1,17.6,17.8
"40","32","  Equipment and software","A873RL1",-1,4.9,-24.2,-2.6,37.4,2.7,-15.4,-33.5,-28.3,5,46.4,4.1,-34.4,22.8,47.3,-14.6,-25.6,47.4,28.9,-8.7,-4.6,-1,3.6,0.4,-2.1,24,15,2.5,1.4,43.5,23.8,-7.2,-4.9,22.2,9.5,12.5,1.5,14,32.4,-6.3,-11.4,26.2,12.8,-9.6,11.6,29.4,-17.7,22.6,-12.7,22.7,7.8,-2.2,18.7,44.7,16.8,-0.4,-10.1,22.4
"41","33","    Aircraft","B874RL1",-56,-23.3,-40.7,57.1,163.3,-38.1,-64.2,-75.9,-58.3,-51.1,1398.2,124.7,-92.9,74.9,256.1,5.1,-70.6,60,191.4,-66.3,316.4,-66.2,101.6,-50.3,12.3,7.5,484.4,-17.6,-65.3,180.5,27.8,13.3,-33.1,-12,-24,90.6,-39.9,84.5,109.3,79.5,-30.3,42.8,20.9,2,-25.7,84.8,-64.9,132.1,-47.8,84.9,-30.2,-42.6,-36.7,324.7,-4.7,2.4,-5,66.5
"42","34","    Missiles","B875RL1",-42.9,333.1,-35.4,-74.9,91,-5.2,2.3,-35.1,-64.1,-7.7,49.3,2.8,-11,-38.2,772.6,-81.3,-15.3,-2.1,10.4,60.4,-66.9,5.3,-44.6,1072.6,-25,-3.5,-42.2,18.2,48,-20.5,-26.3,42.4,-52.3,6.1,130.5,191.1,-53,-32.8,125.8,-3,-73.5,302.5,-64.4,286.4,-15.7,-2.4,-73.3,511.7,-6.7,-53.3,-35.2,-16.3,-5,102.4,7.7,-43.8,88.9,10.8
"43","35","    Ships","B876RL1",103.6,-12.8,-38.6,-20.7,-7.3,13.9,-32.3,-14.4,-41.3,98,-14.7,-33.9,43.6,-16.3,37.1,27.5,-0.5,-10.9,-10,39.7,-49,52.1,-7,10.9,22.4,15,-26.8,32.2,51.1,18.5,16.2,4.3,-22.9,94.9,0,-25.7,8,-40.6,127.8,-55.7,6.2,-12.5,57.2,-50.1,11.9,52.3,-26.6,1.1,-30.4,4.2,0.7,40.5,-45.6,32.6,10.8,23.6,-21.5,21.9
"44","36","    Vehicles","B877RL1",50.3,-40.5,70.1,-49.8,167.6,-38.1,-6.3,53.7,0.9,79.8,8.8,-28.8,-13.2,261.7,-39.6,-31.6,16.2,117.9,-49.2,172.7,-24.3,60.3,-7.6,-56,103.8,47.1,-56.7,145.7,21.1,90.2,110.8,-54.2,280.3,-30,-32.9,-41.8,33.1,51.4,-55.8,17.3,21.6,445.4,40.9,-61.2,148.3,27.4,53.8,-40.5,7.9,198.1,20.6,-39.5,282.3,-5.8,69.7,6.5,-45.8,-12.1
"45","37","    Electronics and software","B878RL1",17,-27.5,32.5,-19.2,10.5,43.6,9.7,-13.1,15.7,2,4.5,-6.5,16.5,19.4,-3.3,-4.1,-12,94.9,10.2,-17.8,-0.2,16.2,-14.6,20.9,-14,1,-4.5,7.8,6.5,9.7,13.7,-11.3,23.7,-3.2,38.8,-12.1,5.6,59.4,-10.8,8.8,-4.5,32.3,41.8,-8.4,13.5,12,29.6,0.1,22.2,21.6,30.4,-3.6,63.9,26.7,25.3,1.4,-22.6,30.8
"46","38","    Other equipment","B879RL1",25.4,15.9,-29.4,50.2,-0.4,29,22.4,-26.1,-22.2,-2.4,3.7,-6.1,-21.5,35.1,0.6,-9.6,-18.5,55.3,26,5.6,-29.5,23.2,-1,-17.5,-12.6,62.5,-16.3,-10.9,30.9,44.7,32.9,-16.8,-1.9,46.7,13.6,11.4,35.8,9.5,7.5,-17.5,6.1,-11.1,-4,-3.4,28.8,13.3,10.5,-4.7,-3.2,4.4,28.9,24.6,25,12.9,14.1,-4.9,5.8,12.2
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
