"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Nonfarm \2\","A358RX1",6554.7,6568.6,6645.7,6702.4,6750.1,6881.7,6957.8,7048,7102.2,7225.1,7326.5,7391.6,7475.6,7554.2,7668.7,7835.3,7913.3,7974.7,8094.6,8259.9,8262.3,8452.9,8453.1,8502.9,8462.1,8525.5,8478.9,8501,8607.4,8634.2,8688.7,8693.3,8720.5,8807.2,9026.9,9104.3,9162.8,9251.2,9317.1,9396.8,9508.3,9545.2,9631.5,9688.9,9850.1,9873.8,9871.4,9974,9995.8,10086.1,10183.9,10229.1,10185,10219.2,10115.1,9917.5,9692.7,9651.9
"12","4","  Farm","B359RX1",57.8,56.5,53.7,57.6,64,67.1,64.6,65.5,69,71.8,75.4,73.8,69.5,68.1,70,69.9,70.2,74.5,72,74.3,82.5,83.3,85.5,82.8,79.2,73.3,71.1,87.3,65.9,78.9,88.4,91.5,93.7,99.1,90.8,82.5,100.9,91.3,95.3,104.1,99.4,103,104.4,101.3,93.8,107.3,99.5,96,94.4,90.8,87.2,93.9,102.3,98,103.4,110,109.1,106.2
"13","5","Households and institutions","A193RX1",1168.5,1175,1175.4,1183.2,1187.2,1194.9,1203.7,1213.7,1224.5,1235.2,1245.4,1256.8,1267.1,1275.4,1286.3,1292.2,1303.7,1318.7,1330.9,1348.7,1360.1,1368.7,1379.3,1396.9,1396.5,1404.1,1416,1411.3,1415.1,1428.7,1416.6,1408.9,1418.2,1414.5,1399.7,1438.9,1439.4,1448.6,1464.9,1476.8,1491.7,1504.7,1509.7,1519.6,1533.8,1542.3,1546.1,1537,1552.4,1565.7,1583.1,1593.9,1592.4,1604.4,1599.7,1597.8,1599.4,1598.8
"14","6","  Households","B701RX1",649.9,651.9,649.2,654.4,657.2,662,668,674.3,680.2,685.6,689.8,694.8,696.6,700.5,707.4,710.6,722.8,734.7,745.5,758.4,765.9,770.2,775.5,784.7,786,790.5,800.8,794.9,793.6,801.1,786.5,778.3,787.2,784.8,770.8,805.6,805.8,812.9,828.6,839.4,852.8,863.4,865.3,876.1,890.6,900.8,905.7,894.8,905.2,912.5,925.7,934.8,930.2,938,930,927.2,928.2,925.9
"15","7","  Nonprofit institutions serving households \3\","B702RX1",519.1,523.6,527.1,529.5,530.7,533.5,536.1,539.8,544.7,550.1,556.3,562.9,571.9,576.3,580.3,582.9,581.5,584.3,585.4,590,593.8,598.2,603.4,611.9,610.1,613.2,614.5,615.9,621.4,627.5,630.5,631.3,631.5,630.1,629.5,633.5,633.8,635.8,636.4,637.4,638.9,641.3,644.4,643.5,643.3,641.8,640.7,642.4,647.4,653.5,657.7,659.4,662.5,666.5,669.9,670.8,671.3,673
"16","8","General government \4\","A765RX1",1289,1290.7,1290.7,1280.6,1280,1293.6,1293.1,1292.6,1295.3,1297.9,1302.2,1303.1,1308,1312.7,1317.3,1319.3,1322.1,1322.6,1327.2,1333.4,1341.3,1353.7,1350.3,1352.2,1361.5,1370.8,1378.8,1383.7,1392.3,1399.9,1405.8,1407.7,1415.3,1419.2,1419.2,1419.3,1422.8,1424.7,1427.3,1432.5,1434.9,1434.7,1437.5,1438.8,1437.6,1440.1,1448.7,1453.5,1456.9,1461.8,1468.5,1474.6,1484.8,1492.7,1502.7,1509.7,1514.2,1524.1
"17","9","  Federal","A766RX1",441.5,440,437.1,422,422.6,426.6,424.2,419.2,418.1,416.6,415.4,410.7,410.8,410.3,410.5,410.2,410.1,406.8,405.7,405.7,408.6,416.9,409.3,407.2,410.8,412.7,413.2,411.8,416.4,419.2,421.9,423.4,428.8,432.3,432.6,432.5,434.6,434.1,435.9,438.7,439.3,438.2,437.9,439.6,436.4,436.6,440.4,440.5,439.4,438.9,443.3,445.4,450.2,455.1,462.3,469.1,474.6,483.5
"18","10","  State and local","A767RX1",850.4,853.6,856.2,860.4,859.2,868.9,870.6,874.8,878.5,882.6,887.9,893.3,898.1,903.2,907.4,909.7,912.5,916.1,921.7,927.7,932.9,937.2,941,944.9,950.6,958,965.3,971.4,975.5,980.4,983.6,984.1,986.4,986.9,986.6,986.8,988.2,990.6,991.4,993.7,995.6,996.6,999.6,999.2,1001.2,1003.5,1008.3,1013.1,1017.5,1022.9,1025.2,1029.3,1034.6,1037.6,1040.4,1040.6,1039.7,1040.9
"19","11","Residual","A961RX1",-48.1,-49.5,-48.3,-42,-36.6,-32.7,-32.4,-29.1,-26.5,-22.2,-18.6,-18.2,-19.1,-18.3,-15.5,-11,-9.2,-7.1,-5,-1.7,-3,-0.2,0.1,0.1,-1.6,-1.9,-3.7,-2.2,-2.3,-2.5,-3.2,-3.1,-2.3,-1.7,-1.7,-2.4,1.5,-2.1,-1.2,0.2,-0.2,-0.2,0.1,0.1,0.5,-1.3,-0.1,-0.1,0.2,-0.7,-1.9,-0.7,2.1,0.9,3.5,6.7,9.8,11
"20",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","12","  Gross housing value added","A2009X1",844.8,847.8,844.6,850.4,851.8,856.5,863.2,870.1,877.4,883.9,888.1,892.8,893.7,897.6,905,907.5,922.3,936.1,948.2,962.6,969.5,973.5,979.1,989.3,990.7,994.8,1006.8,999.1,996.8,1004.6,983.5,969,974.4,967.1,946.6,989.2,990.1,998.7,1016.8,1027.7,1041.5,1052.4,1054.2,1067.9,1086.4,1099.8,1107.7,1100.3,1115.1,1128,1146,1158.1,1152.3,1160.6,1153,1150.1,1152.1,1150.6
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
