"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"38","19","        Electric and electronic equipment","A410RC1","3,100.0","2,504.0","2,192.0","1,412.0","516.0","1,428.0","1,456.0","1,692.0","1,350.0","1,777.0","2,140.0","2,585.0","2,855.0","2,642.0","2,967.0","3,194.0","3,400.0","3,128.0","3,204.0","3,115.0","2,066.0","608.0","-183.0","-251.0","1,081.0","2,940.0","3,540.0","2,987.0","3,834.0","3,435.0","3,752.0","4,327.0","4,818.0","5,708.0","6,147.0","6,972.0","6,215.0","6,670.0","7,483.0","6,500.0","6,323.0","5,940.0","5,192.0","4,844.0","5,313.0","4,108.0","5,370.0","6,033.0","6,895.0","6,156.0","4,793.0","2,873.0","2,348.0","2,656.0","1,736.0","-4.0","2,096.0","2,668.0","3,344.0","5,972.0","6,531.0","3,671.0","5,728.0","4,542.0","2,965.0","2,040.0","3,540.0","1,859.0","2,990.0","2,782.0","1,758.0","3,454.0","5,590.0","7,491.0","7,483.0","3,648.0"
"39","20","        Motor vehicles and equipment","A411RC1","5,736.0","4,388.0","4,980.0","4,052.0","2,000.0","3,360.0","2,132.0","-2,148.0","5,048.0","4,632.0","5,460.0","5,536.0","5,740.0","6,196.0","5,076.0","6,844.0","8,104.0","7,312.0","5,188.0","2,984.0","96.0","-620.0","2,020.0","1,280.0","-1,932.0","628.0","5,240.0","5,072.0","7,532.0","7,380.0","7,644.0","7,140.0","8,456.0","10,152.0","9,632.0","9,256.0","7,196.0","9,208.0","10,544.0","9,112.0","11,644.0","6,776.0","652.0","-160.0","-2,392.0","-8,872.0","-4,368.0","-1,380.0","-732.0","3,336.0","-824.0","-660.0","-4,612.0","4,172.0","2,484.0","-2,060.0","1,836.0","3,344.0","7,064.0","8,984.0","10,799.0","7,063.0","9,952.0","8,849.0","8,347.0","9,050.0","4,980.0","7,359.0","5,248.0","4,726.0","3,521.0","4,752.0","5,577.0","6,765.0","1,974.0","998.0"
"40","21","        Other","A412RC1","6,276.0","5,156.0","4,448.0","3,604.0","2,396.0","3,672.0","2,884.0","2,552.0","3,720.0","4,280.0","3,812.0","4,700.0","4,960.0","5,376.0","5,828.0","6,076.0","6,240.0","6,032.0","6,720.0","5,688.0","6,132.0","4,516.0","2,508.0","2,668.0","2,328.0","4,128.0","6,160.0","6,000.0","7,296.0","7,852.0","7,076.0","6,924.0","7,428.0","7,288.0","9,312.0","10,116.0","9,464.0","10,864.0","10,500.0","11,028.0","9,692.0","8,940.0","7,880.0","7,680.0","4,944.0","1,548.0","1,548.0","2,900.0","-296.0","-2,676.0","-2,680.0","-4,604.0","-1,480.0","3,832.0","4,936.0","1,304.0","6,020.0","8,544.0","8,996.0","10,171.0","17,074.0","15,375.0","12,892.0","13,215.0","9,867.0","9,978.0","10,175.0","10,335.0","10,453.0","10,210.0","12,479.0","15,342.0","17,865.0","16,948.0","18,905.0","17,226.0"
"41","22","      Nondurable goods","A401RC1","18,672.0","18,488.0","18,380.0","17,024.0","16,696.0","17,484.0","17,292.0","16,524.0","17,951.0","18,311.0","18,625.0","18,945.0","18,898.0","18,032.0","19,884.0","20,507.0","21,686.0","21,736.0","21,159.0","23,653.0","23,874.0","26,272.0","29,012.0","25,154.0","25,640.0","33,208.0","38,690.0","40,642.0","42,952.0","40,338.0","39,559.0","36,868.0","36,945.0","42,068.0","44,295.0","42,289.0","38,700.0","45,564.0","47,386.0","48,742.0","49,828.0","49,693.0","54,394.0","56,438.0","63,657.0","57,601.0","56,088.0","60,494.0","66,901.0","66,937.0","82,790.0","69,832.0","63,403.0","59,939.0","64,892.0","60,193.0","51,844.0","55,331.0","58,998.0","60,700.0","56,927.0","58,299.0","47,596.0","47,397.0","49,840.0","49,063.0","61,691.0","57,811.0","37,442.0","32,120.0","23,549.0","33,504.0","24,490.0","39,562.0","55,779.0","65,055.0"
"42","23","        Food and kindred products","A402RC1","2,880.0","2,872.0","3,448.0","3,052.0","2,840.0","3,344.0","3,292.0","3,480.0","3,356.0","3,572.0","3,888.0","3,412.0","3,084.0","3,264.0","3,044.0","2,508.0","1,640.0","1,652.0","1,920.0","4,932.0","2,712.0","3,732.0","1,944.0","2,160.0","7,472.0","9,340.0","8,772.0","8,964.0","8,192.0","6,772.0","7,912.0","5,528.0","4,768.0","7,272.0","9,512.0","5,932.0","5,340.0","6,016.0","6,848.0","6,464.0","5,700.0","6,368.0","5,940.0","5,304.0","7,300.0","6,040.0","3,728.0","7,152.0","9,948.0","8,916.0","8,928.0","8,820.0","6,460.0","7,108.0","7,912.0","7,908.0","6,469.0","6,553.0","5,272.0","6,862.0","6,779.0","6,596.0","6,732.0","6,932.0","7,644.0","8,549.0","10,566.0","8,281.0","6,841.0","6,603.0","7,239.0","9,173.0","7,990.0","10,960.0","12,932.0","12,971.0"
"43","24","        Chemicals and allied products","A403RC1","4,956.0","4,724.0","4,532.0","4,260.0","4,080.0","3,992.0","3,952.0","3,704.0","4,147.0","4,574.0","4,587.0","4,756.0","5,111.0","4,891.0","5,553.0","5,759.0","6,371.0","6,158.0","5,897.0","6,375.0","5,832.0","5,640.0","4,655.0","4,989.0","4,862.0","5,848.0","7,127.0","7,775.0","8,676.0","8,550.0","8,347.0","7,416.0","7,689.0","7,956.0","7,747.0","7,925.0","7,452.0","8,100.0","8,226.0","9,398.0","8,308.0","7,785.0","6,950.0","5,858.0","6,629.0","4,265.0","5,036.0","6,706.0","8,085.0","8,369.0","7,878.0","7,680.0","6,623.0","5,555.0","4,724.0","3,493.0","6,127.0","6,438.0","8,398.0","8,646.0","9,256.0","9,031.0","7,276.0","7,069.0","7,612.0","7,490.0","7,033.0","4,189.0","6,952.0","6,952.0","7,462.0","8,813.0","10,166.0","12,988.0","17,011.0","18,066.0"
"44","25","        Petroleum and coal products","A404RC1","3,508.0","3,600.0","3,384.0","3,216.0","3,452.0","3,808.0","3,568.0","4,012.0","4,136.0","3,553.0","3,518.0","3,961.0","3,268.0","2,954.0","3,325.0","3,899.0","5,023.0","5,477.0","6,089.0","5,060.0","7,496.0","9,876.0","15,926.0","10,278.0","7,005.0","9,572.0","11,684.0","11,956.0","13,808.0","13,296.0","13,360.0","13,464.0","12,248.0","13,456.0","13,120.0","13,472.0","11,816.0","15,900.0","17,876.0","17,572.0","19,680.0","21,792.0","25,840.0","32,000.0","35,704.0","35,104.0","34,396.0","33,488.0","33,492.0","34,952.0","52,744.0","38,624.0","38,160.0","32,648.0","36,124.0","31,896.0","20,396.0","23,552.0","26,428.0","25,360.0","20,323.0","21,999.0","13,820.0","14,086.0","14,285.0","12,092.0","23,324.0","25,160.0","3,289.0","-1,688.0","-11,358.0","-8,931.0","-13,318.0","-3,794.0","2,259.0","9,182.0"
"45","26","        Other","A405RC1","7,328.0","7,292.0","7,016.0","6,496.0","6,324.0","6,340.0","6,480.0","5,328.0","6,312.0","6,612.0","6,632.0","6,816.0","7,435.0","6,923.0","7,962.0","8,341.0","8,652.0","8,449.0","7,253.0","7,286.0","7,834.0","7,024.0","6,487.0","7,727.0","6,301.0","8,448.0","11,107.0","11,947.0","12,276.0","11,720.0","9,940.0","10,460.0","12,240.0","13,384.0","13,916.0","14,960.0","14,092.0","15,548.0","14,436.0","15,308.0","16,140.0","13,748.0","15,664.0","13,276.0","14,024.0","12,192.0","12,928.0","13,148.0","15,376.0","14,700.0","13,240.0","14,708.0","12,160.0","14,628.0","16,132.0","16,896.0","18,852.0","18,788.0","18,900.0","19,832.0","20,569.0","20,673.0","19,768.0","19,310.0","20,299.0","20,932.0","20,768.0","20,181.0","20,360.0","20,253.0","20,206.0","24,449.0","19,652.0","19,408.0","23,577.0","24,836.0"
"46","27","    Transportation and public utilities","A416RC1","11,332.0","11,208.0","10,276.0","9,808.0","9,236.0","8,084.0","8,180.0","7,532.0","8,824.0","9,544.0","9,164.0","8,100.0","8,924.0","9,168.0","9,340.0","10,440.0","9,608.0","8,868.0","9,112.0","8,696.0","7,172.0","7,496.0","8,284.0","7,500.0","7,752.0","9,028.0","12,880.0","14,180.0","14,168.0","15,572.0","16,148.0","15,272.0","16,764.0","17,984.0","20,416.0","19,104.0","17,804.0","22,204.0","23,464.0","23,668.0","20,056.0","19,068.0","14,072.0","14,660.0","15,712.0","14,856.0","20,132.0","23,004.0","16,300.0","16,848.0","23,616.0","24,448.0","24,196.0","25,972.0","22,632.0","19,476.0","22,689.0","31,396.0","31,152.0","32,923.0","39,608.0","41,560.0","39,536.0","39,823.0","36,037.0","33,827.0","34,323.0","30,822.0","33,683.0","36,827.0","37,254.0","35,243.0","39,036.0","46,103.0","41,690.0","42,633.0"
"47","28","      Transportation","A417RC1","904.0","848.0","472.0","436.0","48.0","-392.0","272.0","-408.0","128.0","964.0","1,096.0","644.0","1,424.0","1,176.0","1,516.0","2,020.0","1,824.0","1,000.0","1,000.0","1,532.0","1,828.0","2,688.0","2,664.0","836.0","-300.0","-692.0","2,120.0","2,808.0","3,244.0","3,140.0","3,840.0","1,968.0","3,144.0","3,684.0","4,120.0","3,692.0","272.0","5,228.0","5,840.0","5,152.0","3,968.0","4,972.0","1,804.0","3,176.0","3,448.0","940.0","2,328.0","3,916.0","2,224.0","792.0","2,388.0","1,536.0","-188.0","1,588.0","-1,088.0","-876.0","-1,155.0","3,552.0","4,484.0","5,987.0","6,870.0","6,806.0","5,908.0","4,632.0","2,542.0","2,253.0","1,915.0","302.0","1,025.0","4,208.0","4,576.0","3,871.0","2,927.0","4,133.0","3,283.0","4,264.0"
"48","29","      Communication","A418RC1","5,504.0","5,556.0","5,156.0","5,188.0","5,008.0","4,824.0","4,592.0","4,660.0","4,688.0","4,400.0","3,860.0","3,592.0","3,912.0","3,684.0","3,892.0","4,104.0","4,096.0","4,348.0","4,540.0","4,188.0","4,308.0","3,848.0","3,884.0","4,300.0","3,616.0","4,332.0","4,500.0","4,624.0","5,252.0","5,632.0","5,868.0","6,164.0","6,004.0","6,696.0","6,808.0","7,052.0","8,228.0","8,712.0","8,844.0","8,524.0","7,852.0","8,192.0","7,340.0","6,612.0","6,468.0","6,224.0","8,752.0","9,488.0","8,460.0","7,780.0","8,904.0","9,256.0","8,544.0","8,936.0","9,016.0","7,792.0","10,672.0","10,820.0","9,132.0","9,164.0","12,791.0","14,147.0","12,084.0","12,274.0","12,868.0","13,819.0","14,832.0","15,185.0","17,723.0","17,030.0","17,933.0","17,702.0","18,272.0","19,750.0","20,135.0","20,056.0"
"49","30","      Electric, gas, and sanitary services","A419RC1","4,924.0","4,804.0","4,648.0","4,184.0","4,180.0","3,652.0","3,316.0","3,280.0","4,008.0","4,180.0","4,208.0","3,864.0","3,588.0","4,308.0","3,932.0","4,316.0","3,688.0","3,520.0","3,572.0","2,976.0","1,036.0","960.0","1,736.0","2,364.0","4,436.0","5,388.0","6,260.0","6,748.0","5,672.0","6,800.0","6,440.0","7,140.0","7,616.0","7,604.0","9,488.0","8,360.0","9,304.0","8,264.0","8,780.0","9,992.0","8,236.0","5,904.0","4,928.0","4,872.0","5,796.0","7,692.0","9,052.0","9,600.0","5,616.0","8,276.0","12,324.0","13,656.0","15,840.0","15,448.0","14,704.0","12,560.0","13,172.0","17,024.0","17,536.0","17,772.0","19,947.0","20,607.0","21,544.0","22,917.0","20,627.0","17,755.0","17,576.0","15,335.0","14,935.0","15,589.0","14,745.0","13,670.0","17,837.0","22,220.0","18,272.0","18,313.0"
"50","31","    Wholesale trade","A414RC1","4,756.0","4,876.0","4,720.0","5,096.0","4,376.0","4,328.0","4,384.0","4,652.0","4,948.0","4,456.0","5,508.0","5,768.0","5,976.0","6,408.0","7,316.0","7,720.0","8,496.0","6,460.0","7,324.0","10,640.0","10,088.0","13,412.0","9,096.0","13,432.0","14,264.0","12,916.0","13,596.0","14,452.0","14,492.0","12,380.0","12,400.0","12,436.0","12,400.0","17,216.0","20,356.0","12,616.0","13,936.0","14,980.0","16,488.0","16,924.0","16,936.0","18,852.0","19,548.0","20,012.0","18,372.0","16,048.0","15,484.0","19,016.0","20,748.0","20,680.0","20,052.0","27,964.0","21,160.0","20,496.0","18,328.0","18,364.0","17,753.0","21,521.0","22,388.0","22,422.0","29,452.0","27,097.0","30,556.0","30,975.0","27,560.0","24,105.0","24,419.0","19,589.0","21,459.0","22,806.0","29,429.0","22,877.0","21,533.0","16,876.0","19,558.0","17,892.0"
"51","32","    Retail trade","A415RC1","6,340.0","6,840.0","6,676.0","5,816.0","5,940.0","6,256.0","6,028.0","5,832.0","6,640.0","6,218.0","7,613.0","8,373.0","7,179.0","7,261.0","7,203.0","7,785.0","6,770.0","6,346.0","6,959.0","6,630.0","3,958.0","3,356.0","1,164.0","910.0","5,402.0","8,205.0","9,209.0","10,176.0","11,497.0","9,890.0","10,203.0","10,359.0","10,542.0","11,847.0","13,860.0","13,427.0","12,282.0","13,429.0","11,118.0","12,495.0","10,287.0","9,478.0","9,888.0","9,780.0","6,064.0","4,392.0","7,526.0","6,825.0","10,437.0","10,464.0","10,168.0","8,523.0","11,170.0","12,783.0","12,750.0","17,315.0","19,543.0","18,561.0","19,346.0","17,573.0","20,570.0","21,825.0","21,637.0","20,451.0","21,550.0","22,148.0","24,969.0","20,222.0","26,698.0","22,700.0","23,329.0","21,229.0","24,675.0","22,586.0","24,560.0","24,287.0"
"52","33","    Other","A420RC1","6,288.0","6,316.0","6,404.0","5,332.0","4,888.0","5,632.0","5,924.0","6,616.0","6,553.0","6,313.0","6,449.0","6,434.0","7,142.0","6,387.0","7,011.0","7,492.0","8,688.0","8,724.0","9,068.0","8,531.0","8,802.0","8,148.0","8,700.0","10,584.0","11,592.0","11,656.0","12,272.0","12,312.0","13,889.0","13,733.0","13,845.0","14,701.0","15,717.0","18,264.0","18,216.0","18,820.0","17,375.0","20,291.0","19,931.0","21,631.0","18,920.0","21,292.0","23,520.0","22,580.0","19,892.0","23,184.0","22,592.0","21,468.0","19,303.0","16,612.0","17,016.0","13,769.0","9,966.0","11,147.0","8,108.0","7,784.0","8,448.0","10,103.0","11,432.0","11,656.0","12,959.0","12,009.0","9,459.0","9,845.0","10,863.0","7,089.0","9,898.0","9,136.0","15,533.0","16,088.0","16,406.0","13,845.0","19,959.0","25,355.0","27,018.0","25,203.0"
"53","34","Rest of the world","B394RC1","6,260.0","6,436.0","6,748.0","6,936.0","7,200.0","7,380.0","7,288.0","6,532.0","7,476.0","7,960.0","7,752.0","8,232.0","8,864.0","9,088.0","9,928.0","10,256.0","12,484.0","14,044.0","16,404.0","16,660.0","19,212.0","18,164.0","17,024.0","15,476.0","13,860.0","13,352.0","14,368.0","16,944.0","16,012.0","16,584.0","16,396.0","17,200.0","19,148.0","19,180.0","19,760.0","18,364.0","22,436.0","19,680.0","22,468.0","26,892.0","27,768.0","32,780.0","38,984.0","38,912.0","40,248.0","36,852.0","34,892.0","29,892.0","30,140.0","27,504.0","27,484.0","33,588.0","31,608.0","33,608.0","31,132.0","33,984.0","32,924.0","34,344.0","34,996.0","37,972.0","34,608.0","36,444.0","37,840.0","37,372.0","35,556.0","39,924.0","35,776.0","41,164.0","41,860.0","38,452.0","39,348.0","38,236.0","41,304.0","48,468.0","47,756.0","54,520.0"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
