"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"68","49","Government consumption expenditures and gross investment","A822RX1","1,891,553.0","1,897,867.0","1,893,691.0","1,872,504.0","1,884,502.0","1,911,577.0","1,909,730.0","1,925,899.0","1,929,350.0","1,946,046.0","1,948,231.0","1,951,466.0","1,939,723.0","1,981,881.0","2,000,225.0","2,018,131.0","2,028,442.0","2,036,925.0","2,063,255.0","2,095,874.0","2,078,721.0","2,106,440.0","2,099,809.0","2,106,206.0","2,137,344.0","2,181,739.0","2,177,755.0","2,216,427.0","2,250,402.0","2,272,017.0","2,290,386.0","2,305,727.0","2,300,945.0","2,335,133.0","2,342,019.0","2,343,706.0","2,354,858.0","2,363,476.0","2,372,102.0","2,357,599.0","2,359,869.0","2,362,421.0","2,383,875.0","2,373,365.0","2,397,067.0","2,399,084.0","2,402,740.0","2,409,449.0","2,406,656.0","2,426,793.0","2,447,895.0","2,455,332.0","2,473,938.0","2,484,528.0","2,510,672.0","2,520,510.0","2,509,588.0","2,545,993.0","2,554,246.0","2,548,489.0","2,540,623.0","2,564,049.0","2,570,302.0","2,552,140.0","2,513,872.0","2,508,222.0","2,507,632.0","2,478,461.0"
"69","50","  Federal","A823RX1","715,326.0","712,492.0","707,649.0","681,081.0","695,265.0","705,172.0","692,741.0","690,744.0","681,445.0","693,525.0","691,261.0","690,311.0","668,783.0","687,184.0","681,472.0","688,147.0","683,601.0","683,594.0","697,936.0","713,445.0","685,216.0","712,641.0","698,827.0","695,597.0","710,403.0","725,623.0","730,493.0","739,318.0","756,915.0","774,408.0","786,673.0","799,967.0","800,196.0","838,775.0","839,598.0","845,722.0","856,570.0","861,440.0","876,385.0","865,596.0","869,204.0","870,044.0","890,394.0","875,557.0","900,511.0","892,839.0","892,002.0","894,404.0","883,557.0","898,930.0","919,680.0","922,184.0","943,803.0","955,131.0","981,962.0","1,003,523.0","995,218.0","1,029,171.0","1,043,920.0","1,049,563.0","1,056,943.0","1,079,402.0","1,087,824.0","1,079,577.0","1,053,268.0","1,058,301.0","1,063,699.0","1,043,679.0"
"70","51","    National defense","A824RX1","484,046.0","483,186.0","477,404.0","462,374.0","471,392.0","477,818.0","467,682.0","464,674.0","449,747.0","460,344.0","458,114.0","460,630.0","433,205.0","449,791.0","455,383.0","451,799.0","446,331.0","446,557.0","459,788.0","470,675.0","442,840.0","463,268.0","453,741.0","454,098.0","462,088.0","468,549.0","472,810.0","479,332.0","489,662.0","500,934.0","509,417.0","521,163.0","517,093.0","560,721.0","554,094.0","565,069.0","573,490.0","576,509.0","593,219.0","578,449.0","583,557.0","588,021.0","603,725.0","580,885.0","595,614.0","597,197.0","594,302.0","606,500.0","595,327.0","607,325.0","622,296.0","622,360.0","634,733.0","643,080.0","669,706.0","683,150.0","669,890.0","695,700.0","709,546.0","707,287.0","708,231.0","718,592.0","728,637.0","717,728.0","694,024.0","705,918.0","714,577.0","691,138.0"
"71","52","      Consumption expenditures","A997RX1","430,031.0","428,842.0","427,080.0","412,125.0","416,614.0","422,996.0","415,720.0","418,806.0","407,814.0","418,138.0","410,158.0","412,847.0","390,469.0","404,630.0","405,025.0","404,839.0","402,653.0","397,903.0","408,316.0","421,429.0","393,370.0","414,372.0","403,424.0","404,298.0","413,320.0","416,361.0","419,223.0","425,263.0","435,721.0","441,588.0","446,462.0","459,554.0","455,403.0","496,202.0","487,648.0","497,085.0","505,584.0","507,036.0","518,905.0","505,904.0","512,509.0","513,555.0","526,879.0","506,405.0","519,178.0","515,937.0","516,728.0","524,460.0","515,868.0","522,335.0","536,777.0","536,963.0","547,266.0","545,615.0","567,248.0","578,415.0","570,725.0","590,312.0","601,850.0","603,003.0","602,690.0","609,778.0","618,060.0","605,291.0","594,005.0","607,113.0","613,106.0","594,716.0"
"72","53","      Gross investment","A788RX1","54,264.0","54,470.0","51,432.0","50,914.0","54,456.0","54,729.0","52,323.0","47,682.0","44,270.0","44,752.0","49,053.0","48,991.0","44,381.0","46,698.0","50,890.0","48,165.0","45,455.0","49,346.0","51,888.0","50,402.0","49,930.0","49,928.0","50,878.0","50,458.0","49,757.0","52,735.0","53,984.0","54,499.0","54,533.0","59,479.0","62,803.0","61,747.0","61,793.0","64,804.0","66,552.0","68,075.0","68,039.0","69,553.0","74,296.0","72,522.0","71,067.0","74,466.0","76,839.0","74,468.0","76,414.0","81,365.0","77,587.0","82,132.0","79,518.0","85,250.0","85,693.0","85,545.0","87,604.0","98,224.0","103,297.0","105,590.0","99,799.0","106,186.0","108,516.0","104,890.0","106,219.0","109,635.0","111,424.0","113,575.0","100,322.0","98,828.0","101,636.0","96,416.0"
"73","54","    Nondefense","A825RX1","231,424.0","229,453.0","230,349.0","218,877.0","224,028.0","227,498.0","225,176.0","226,155.0","231,659.0","233,171.0","233,119.0","229,734.0","235,331.0","237,253.0","226,160.0","236,252.0","237,109.0","236,872.0","238,071.0","242,716.0","242,091.0","249,142.0","244,851.0","241,335.0","248,098.0","256,767.0","257,400.0","259,722.0","266,954.0","273,172.0","276,969.0","278,566.0","282,822.0","278,028.0","285,392.0","280,608.0","283,050.0","284,893.0","283,229.0","287,125.0","285,632.0","282,012.0","286,668.0","294,700.0","304,957.0","295,660.0","297,746.0","287,837.0","288,186.0","291,539.0","297,307.0","299,786.0","309,091.0","312,071.0","312,019.0","320,171.0","325,278.0","333,391.0","334,261.0","342,224.0","348,700.0","360,842.0","359,176.0","361,896.0","359,386.0","352,358.0","348,996.0","352,590.0"
"74","55","      Consumption expenditures","A542RX1","204,239.0","203,894.0","204,095.0","192,549.0","194,887.0","197,383.0","194,843.0","197,807.0","202,331.0","203,734.0","203,536.0","203,006.0","203,147.0","204,156.0","193,486.0","204,160.0","203,545.0","201,131.0","202,916.0","203,896.0","209,197.0","217,042.0","212,807.0","210,723.0","217,012.0","225,517.0","226,355.0","227,860.0","232,922.0","239,192.0","242,403.0","244,259.0","249,097.0","242,882.0","250,358.0","246,185.0","249,099.0","249,788.0","248,785.0","252,962.0","251,430.0","247,872.0","249,883.0","254,819.0","264,429.0","257,254.0","259,047.0","249,157.0","249,674.0","252,191.0","257,145.0","259,802.0","267,974.0","269,958.0","269,187.0","276,686.0","282,329.0","290,538.0","289,824.0","296,081.0","301,238.0","310,275.0","308,328.0","310,285.0","308,436.0","302,090.0","298,322.0","303,292.0"
"75","56","      Gross investment","A798RX1","27,854.0","26,621.0","27,147.0","26,789.0","29,037.0","29,870.0","29,951.0","28,502.0","29,422.0","29,550.0","29,659.0","27,321.0","31,778.0","32,546.0","31,912.0","31,689.0","32,887.0","34,654.0","34,203.0","37,350.0","32,407.0","31,900.0","31,773.0","30,494.0","31,013.0","31,307.0","31,140.0","31,888.0","33,919.0","33,948.0","34,520.0","34,298.0","33,792.0","35,081.0","35,025.0","34,416.0","33,977.0","35,114.0","34,456.0","34,181.0","34,204.0","34,135.0","36,781.0","39,887.0","40,539.0","38,409.0","38,710.0","38,721.0","38,546.0","39,401.0","40,217.0","40,013.0","41,137.0","42,171.0","42,936.0","43,555.0","42,931.0","42,745.0","44,447.0","46,208.0","47,570.0","50,842.0","51,179.0","51,988.0","51,288.0","50,639.0","51,161.0","49,533.0"
"76","57","  State and local","A829RX1","1,174,843.0","1,184,100.0","1,184,842.0","1,190,686.0","1,188,229.0","1,205,414.0","1,216,286.0","1,234,629.0","1,247,644.0","1,252,095.0","1,256,622.0","1,260,861.0","1,271,060.0","1,294,722.0","1,319,030.0","1,330,234.0","1,345,202.0","1,353,724.0","1,365,654.0","1,382,746.0","1,393,984.0","1,394,221.0","1,401,388.0","1,410,986.0","1,427,331.0","1,456,513.0","1,447,748.0","1,477,614.0","1,494,031.0","1,498,086.0","1,504,195.0","1,506,253.0","1,501,219.0","1,496,591.0","1,502,664.0","1,498,207.0","1,498,441.0","1,502,168.0","1,495,673.0","1,492,013.0","1,490,679.0","1,492,413.0","1,493,513.0","1,497,725.0","1,496,637.0","1,506,287.0","1,510,751.0","1,515,045.0","1,522,861.0","1,527,761.0","1,528,448.0","1,533,329.0","1,530,932.0","1,530,522.0","1,530,776.0","1,520,101.0","1,517,227.0","1,520,715.0","1,514,853.0","1,503,872.0","1,489,157.0","1,490,809.0","1,488,938.0","1,478,948.0","1,466,353.0","1,456,058.0","1,450,376.0","1,440,728.0"
"77","58","    Consumption expenditures","A991RX1","976,265.0","981,001.0","984,906.0","989,915.0","989,528.0","1,000,663.0","1,004,090.0","1,009,894.0","1,014,845.0","1,022,469.0","1,031,876.0","1,041,733.0","1,053,755.0","1,065,914.0","1,077,178.0","1,086,197.0","1,096,704.0","1,105,173.0","1,114,044.0","1,121,959.0","1,124,967.0","1,130,813.0","1,136,121.0","1,142,899.0","1,153,970.0","1,166,137.0","1,178,783.0","1,191,664.0","1,203,322.0","1,211,137.0","1,215,577.0","1,215,057.0","1,211,419.0","1,208,792.0","1,205,735.0","1,204,135.0","1,205,980.0","1,207,204.0","1,207,180.0","1,209,132.0","1,210,203.0","1,210,732.0","1,213,720.0","1,213,461.0","1,214,056.0","1,216,537.0","1,222,311.0","1,229,983.0","1,235,480.0","1,239,849.0","1,240,599.0","1,243,359.0","1,240,668.0","1,236,581.0","1,237,183.0","1,233,909.0","1,232,570.0","1,231,676.0","1,227,127.0","1,224,320.0","1,219,080.0","1,214,758.0","1,210,759.0","1,207,410.0","1,207,366.0","1,203,158.0","1,197,163.0","1,188,449.0"
"78","59","    Gross investment","A799RX1","199,912.0","204,255.0","201,303.0","202,157.0","200,198.0","206,056.0","213,139.0","225,140.0","232,947.0","229,996.0","225,418.0","220,140.0","218,530.0","229,646.0","242,240.0","244,427.0","248,829.0","248,961.0","251,999.0","260,998.0","269,059.0","263,590.0","265,433.0","268,230.0","273,468.0","290,344.0","269,160.0","285,987.0","290,730.0","287,054.0","288,714.0","291,272.0","289,852.0","287,814.0","297,108.0","294,190.0","292,525.0","295,073.0","288,525.0","282,891.0","280,481.0","281,686.0","279,796.0","284,248.0","282,548.0","289,696.0","288,409.0","285,128.0","287,426.0","287,969.0","287,905.0","289,975.0","290,228.0","293,842.0","293,499.0","286,282.0","284,833.0","288,992.0","287,707.0","279,785.0","270,533.0","276,350.0","278,405.0","271,911.0","259,598.0","253,591.0","253,870.0","252,907.0"
"79","60","Residual","AR05RX1","-308,400.0","-301,300.0","-286,400.0","-268,900.0","-268,200.0","-257,400.0","-241,400.0","-231,900.0","-222,100.0","-207,400.0","-187,200.0","-180,700.0","-160,700.0","-160,100.0","-153,300.0","-132,000.0","-116,300.0","-96,700.0","-80,300.0","-78,100.0","-54,900.0","-52,300.0","-46,600.0","-43,800.0","-44,200.0","-52,400.0","-59,300.0","-43,500.0","-42,200.0","-36,400.0","-29,900.0","-30,300.0","-25,900.0","-22,600.0","-17,700.0","-13,300.0","-10,300.0","-7,200.0","-4,400.0","-1,700.0","-1,600.0","300.0","600.0","200.0","-4,100.0","-3,500.0","-4,200.0","-6,500.0","-9,400.0","-7,000.0","-9,800.0","-16,600.0","-15,600.0","-15,900.0","-2,800.0","17,000.0","12,100.0","14,000.0","4,000.0","-8,900.0","-20,400.0","-34,600.0","-42,000.0","-61,200.0","-74,800.0","-86,500.0","-94,700.0","-106,400.0"
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","4. The quantity index for computers can be used to accurately measure the real growth of this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","component.  However, because computers exhibit rapid changes in prices relative to other prices in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","economy, the chained-dollar estimates should not be used to measure the component's relative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","importance or its contribution to the growth rate of more aggregate series; accurate estimates of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","contributions are shown in table 1.5.2 and real growth rates are shown in table 1.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Note. The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
