"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"25","7","    Construction","N5007C1","385,269.0","433,498.0","477,978.0","509,311.0","514,248.0","534,767.0","583,316.0","657,025.0","701,807.0","685,838.0","629,018.0","541,727.0","527,861.0","....."
"26","8","    Manufacturing","N5008C1","1,097,442.0","1,137,109.0","1,194,602.0","1,072,126.0","1,038,091.0","1,074,418.0","1,171,639.0","1,304,792.0","1,400,877.0","1,409,107.0","1,333,035.0","1,172,167.0","1,229,169.0","....."
"27","9","      Durable goods","N5009C1","669,177.0","689,036.0","723,751.0","606,038.0","595,827.0","613,850.0","659,607.0","744,002.0","791,347.0","800,935.0","750,070.0","642,179.0","694,910.0","....."
"28","10","      Nondurable goods","N5010C1","428,267.0","448,073.0","470,851.0","466,088.0","442,264.0","460,568.0","512,032.0","560,790.0","609,531.0","608,173.0","582,966.0","529,988.0","534,258.0","....."
"29","11","    Wholesale trade","N5011C1","513,481.0","532,770.0","570,834.0","563,588.0","561,928.0","582,349.0","634,315.0","688,364.0","741,205.0","769,141.0","754,771.0","706,961.0","716,812.0","....."
"30","12","    Retail trade","N5012C1","613,565.0","641,695.0","674,106.0","699,629.0","723,220.0","759,791.0","789,218.0","859,619.0","903,825.0","902,135.0","836,968.0","832,880.0","863,689.0","....."
"31","13","    Transportation and warehousing","N5013C1","249,719.0","257,560.0","272,668.0","266,471.0","262,649.0","275,921.0","301,320.0","332,911.0","360,748.0","360,972.0","362,641.0","340,470.0","349,050.0","....."
"32","14","    Information","N5014C1","270,000.0","294,606.0","295,975.0","296,910.0","299,720.0","309,788.0","357,595.0","408,061.0","424,494.0","452,563.0","439,172.0","421,868.0","412,883.0","....."
"33","15","    Finance, insurance, real estate, rental, and leasing","N5015C1","1,357,915.0","1,422,920.0","1,539,333.0","1,655,330.0","1,643,612.0","1,682,137.0","1,785,161.0","1,998,487.0","2,140,831.0","2,160,263.0","2,130,483.0","2,153,025.0","2,342,787.0","....."
"34","16","    Professional and business services \1\","N5016C1","924,378.0","1,014,581.0","1,120,651.0","1,171,285.0","1,212,479.0","1,272,818.0","1,349,225.0","1,490,310.0","1,623,186.0","1,684,870.0","1,752,642.0","1,713,639.0","1,778,465.0","....."
"35","17","    Educational services, health care, and social assistance","N5017C1","607,535.0","647,938.0","692,167.0","752,962.0","817,376.0","873,466.0","937,670.0","993,518.0","1,059,360.0","1,114,795.0","1,189,417.0","1,241,653.0","1,295,452.0","....."
"36","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1","288,799.0","317,552.0","339,436.0","349,249.0","362,789.0","377,020.0","406,113.0","434,842.0","460,642.0","490,254.0","475,575.0","458,312.0","484,098.0","....."
"37","19","    Other services, except government","N5019C1","245,691.0","262,869.0","284,506.0","271,440.0","295,657.0","298,468.0","313,136.0","336,338.0","351,713.0","364,815.0","360,287.0","358,510.0","369,143.0","....."
"38","20","  Government","B436RC1","920,015.0","966,675.0","1,017,798.0","1,070,764.0","1,142,033.0","1,217,260.0","1,275,787.0","1,335,337.0","1,398,523.0","1,468,585.0","1,543,233.0","1,597,120.0","1,634,475.0","....."
"39","21","Rest of the world","A192RC1","17,317.0","27,802.0","37,745.0","51,909.0","49,110.0","68,690.0","91,209.0","97,148.0","72,416.0","123,271.0","169,164.0","152,262.0","189,356.0","....."
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
