"","Table 2#8#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"43","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Line",NA,NA,"1986","1986","1986","1986","1986","1986","1986","1986","1986","1986","1986","1986","1987","1987","1987","1987","1987","1987","1987","1987","1987","1987","1987","1987","1988","1988","1988","1988","1988","1988","1988","1988","1988","1988","1988","1988","1989","1989","1989","1989","1989","1989","1989","1989","1989","1989","1989","1989","1990","1990","1990","1990","1990","1990","1990","1990","1990","1990","1990","1990","1991","1991","1991","1991","1991","1991","1991","1991","1991","1991","1991","1991","1992","1992","1992","1992","1992","1992","1992","1992","1992","1992","1992","1992","1993","1993","1993","1993","1993","1993","1993","1993","1993","1993","1993","1993","1994","1994","1994","1994","1994","1994","1994","1994","1994","1994","1994","1994","1995","1995","1995","1995","1995","1995","1995","1995","1995","1995","1995","1995","1996","1996","1996","1996","1996","1996","1996","1996","1996","1996","1996","1996","1997","1997","1997","1997","1997","1997","1997","1997","1997","1997","1997","1997","1998","1998","1998","1998","1998","1998","1998","1998","1998","1998","1998","1998","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002"
"54",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"55","1","    Personal consumption expenditures (PCE)","DPCERC1","2,830,535.0","2,823,512.0","2,827,662.0","2,840,982.0","2,865,144.0","2,871,416.0","2,893,078.0","2,912,186.0","2,986,643.0","2,948,575.0","2,945,383.0","3,015,779.0","2,956,508.0","3,023,451.0","3,034,292.0","3,057,741.0","3,066,592.0","3,091,291.0","3,114,733.0","3,151,869.0","3,148,186.0","3,156,504.0","3,166,287.0","3,196,067.0","3,235,392.0","3,242,980.0","3,282,137.0","3,284,807.0","3,315,141.0","3,339,120.0","3,361,824.0","3,386,262.0","3,393,091.0","3,432,390.0","3,449,107.0","3,478,448.0","3,501,880.0","3,505,579.0","3,515,713.0","3,559,455.0","3,567,839.0","3,582,677.0","3,602,295.0","3,637,883.0","3,640,061.0","3,653,002.0","3,663,294.0","3,704,223.0","3,750,379.0","3,748,543.0","3,777,228.0","3,796,279.0","3,804,729.0","3,834,549.0","3,850,907.0","3,876,805.0","3,897,916.0","3,897,486.0","3,899,498.0","3,891,084.0","3,875,028.0","3,903,389.0","3,950,811.0","3,944,029.0","3,969,583.0","3,976,264.0","4,001,153.0","4,004,292.0","4,020,645.0","4,013,497.0","4,042,239.0","4,059,990.0","4,124,724.0","4,139,454.0","4,156,281.0","4,169,347.0","4,195,930.0","4,215,270.0","4,244,905.0","4,261,818.0","4,296,231.0","4,324,812.0","4,339,577.0","4,374,354.0","4,376,985.0","4,390,605.0","4,387,143.0","4,428,028.0","4,456,109.0","4,472,203.0","4,499,138.0","4,509,966.0","4,539,727.0","4,560,839.0","4,582,347.0","4,599,984.0","4,614,936.0","4,662,158.0","4,674,101.0","4,697,230.0","4,695,520.0","4,736,781.0","4,752,741.0","4,796,939.0","4,809,262.0","4,844,558.0","4,855,369.0","4,870,064.0","4,878,368.0","4,876,994.0","4,910,590.0","4,914,484.0","4,956,806.0","5,001,180.0","4,994,182.0","5,029,602.0","5,044,872.0","5,038,093.0","5,079,930.0","5,122,236.0","5,111,145.0","5,158,744.0","5,199,740.0","5,235,588.0","5,251,880.0","5,258,879.0","5,281,369.0","5,305,060.0","5,326,794.0","5,359,181.0","5,383,624.0","5,411,258.0","5,445,204.0","5,468,274.0","5,487,691.0","5,491,927.0","5,493,021.0","5,526,996.0","5,582,531.0","5,621,743.0","5,635,751.0","5,671,492.0","5,695,670.0","5,727,178.0","5,725,640.0","5,760,031.0","5,786,880.0","5,825,055.0","5,875,658.0","5,909,931.0","5,928,870.0","5,965,860.0","6,009,254.0","6,046,864.0","6,065,921.0","6,121,853.0","6,125,543.0","6,155,590.0","6,191,212.0","6,258,010.0","6,290,840.0","6,321,046.0","6,351,763.0","6,396,909.0","6,447,942.0","6,467,739.0","6,503,730.0","6,603,110.0","6,602,768.0","6,689,212.0","6,756,967.0","6,740,138.0","6,775,614.0","6,811,211.0","6,832,183.0","6,864,707.0","6,948,300.0","6,955,449.0","6,970,734.0","7,017,174.0","7,047,718.0","7,066,541.0","7,060,148.0","7,079,896.0","7,130,809.0","7,145,325.0","7,156,471.0","7,195,833.0","7,101,449.0","7,298,614.0","7,259,872.0","7,243,021.0","7,275,024.0","7,316,712.0","7,335,185.0","7,402,913.0","7,380,569.0","7,426,691.0","7,484,412.0","7,507,275.0","7,481,928.0","7,517,569.0","7,543,873.0","7,598,126.0"
"56","2","Goods","DGDSRC1","1,185,808.0","1,166,034.0","1,160,789.0","1,165,398.0","1,182,809.0","1,176,019.0","1,187,497.0","1,202,844.0","1,259,906.0","1,213,207.0","1,195,202.0","1,252,009.0","1,182,623.0","1,232,752.0","1,232,263.0","1,246,606.0","1,246,370.0","1,261,171.0","1,269,696.0","1,291,372.0","1,282,524.0","1,267,227.0","1,273,586.0","1,289,378.0","1,302,472.0","1,301,340.0","1,322,667.0","1,316,911.0","1,329,043.0","1,334,334.0","1,337,030.0","1,341,772.0","1,344,697.0","1,361,730.0","1,369,811.0","1,385,908.0","1,398,761.0","1,381,753.0","1,386,415.0","1,420,999.0","1,417,817.0","1,424,462.0","1,429,987.0","1,453,728.0","1,442,062.0","1,436,891.0","1,438,704.0","1,454,074.0","1,501,718.0","1,481,661.0","1,485,322.0","1,482,177.0","1,472,724.0","1,482,881.0","1,487,404.0","1,493,482.0","1,509,143.0","1,502,454.0","1,506,188.0","1,490,465.0","1,465,662.0","1,477,844.0","1,514,016.0","1,491,650.0","1,500,287.0","1,499,103.0","1,510,538.0","1,506,149.0","1,509,497.0","1,492,584.0","1,499,959.0","1,501,920.0","1,535,562.0","1,539,879.0","1,526,104.0","1,533,312.0","1,550,356.0","1,560,953.0","1,563,463.0","1,573,180.0","1,582,781.0","1,596,604.0","1,585,588.0","1,611,430.0","1,616,634.0","1,605,619.0","1,598,690.0","1,625,424.0","1,643,649.0","1,633,433.0","1,650,457.0","1,641,929.0","1,655,111.0","1,669,024.0","1,681,375.0","1,686,816.0","1,689,568.0","1,711,062.0","1,716,375.0","1,733,097.0","1,712,820.0","1,734,527.0","1,741,363.0","1,766,968.0","1,768,343.0","1,790,736.0","1,794,237.0","1,799,548.0","1,796,510.0","1,774,031.0","1,793,761.0","1,781,517.0","1,803,272.0","1,826,879.0","1,813,891.0","1,823,933.0","1,840,878.0","1,819,616.0","1,842,145.0","1,869,965.0","1,845,946.0","1,872,571.0","1,894,513.0","1,917,016.0","1,918,149.0","1,912,486.0","1,917,190.0","1,927,837.0","1,932,573.0","1,951,987.0","1,958,686.0","1,963,097.0","1,975,495.0","1,985,179.0","1,999,447.0","1,976,184.0","1,963,479.0","1,983,880.0","2,007,180.0","2,030,692.0","2,023,574.0","2,028,955.0","2,053,817.0","2,053,295.0","2,043,087.0","2,046,739.0","2,045,830.0","2,072,944.0","2,097,416.0","2,101,352.0","2,105,262.0","2,119,989.0","2,140,097.0","2,166,396.0","2,174,028.0","2,207,109.0","2,190,507.0","2,211,091.0","2,219,722.0","2,258,112.0","2,278,627.0","2,290,130.0","2,290,035.0","2,314,409.0","2,338,851.0","2,333,820.0","2,342,681.0","2,411,931.0","2,376,632.0","2,420,796.0","2,456,191.0","2,434,254.0","2,444,606.0","2,449,368.0","2,451,340.0","2,461,481.0","2,513,790.0","2,500,027.0","2,492,763.0","2,508,354.0","2,506,010.0","2,521,427.0","2,492,920.0","2,498,229.0","2,527,453.0","2,529,420.0","2,525,587.0","2,541,170.0","2,505,225.0","2,636,268.0","2,586,711.0","2,537,664.0","2,556,932.0","2,574,200.0","2,577,543.0","2,617,701.0","2,573,681.0","2,606,346.0","2,634,721.0","2,652,805.0","2,608,397.0","2,616,382.0","2,633,778.0","2,666,993.0"
"57","3","  Durable goods","DDURRC1","401,416.0","389,362.0","384,098.0","404,020.0","414,173.0","403,679.0","415,927.0","434,383.0","486,811.0","434,902.0","420,002.0","468,495.0","399,744.0","426,955.0","428,793.0","437,584.0","433,996.0","445,723.0","452,400.0","468,892.0","460,332.0","443,069.0","447,359.0","459,420.0","470,251.0","468,671.0","472,395.0","467,753.0","474,662.0","477,253.0","472,352.0","470,143.0","468,671.0","477,859.0","481,776.0","498,851.0","496,183.0","481,276.0","481,895.0","500,427.0","487,630.0","491,975.0","497,396.0","518,683.0","500,834.0","493,929.0","490,096.0","491,631.0","536,412.0","505,922.0","503,848.0","505,671.0","495,280.0","494,270.0","496,322.0","489,313.0","495,076.0","486,124.0","482,735.0","473,982.0","452,701.0","466,975.0","495,396.0","474,416.0","473,542.0","477,787.0","485,355.0","479,764.0","487,889.0","474,135.0","477,336.0","480,896.0","495,581.0","501,260.0","491,699.0","490,006.0","501,940.0","511,021.0","507,248.0","511,889.0","517,140.0","522,696.0","514,089.0","532,408.0","538,135.0","524,197.0","521,225.0","542,978.0","551,989.0","548,560.0","558,589.0","551,506.0","559,819.0","568,851.0","574,189.0","578,349.0","579,642.0","593,267.0","593,563.0","606,989.0","588,862.0","600,311.0","602,087.0","612,008.0","613,836.0","629,639.0","635,145.0","630,706.0","623,558.0","613,004.0","627,178.0","613,163.0","624,804.0","642,749.0","630,967.0","645,333.0","651,329.0","638,079.0","650,633.0","668,060.0","645,817.0","663,241.0","670,454.0","679,502.0","680,138.0","669,389.0","672,856.0","681,610.0","683,619.0","688,818.0","692,201.0","687,897.0","703,342.0","701,996.0","711,475.0","697,448.0","690,241.0","702,034.0","715,753.0","732,611.0","720,012.0","724,647.0","740,715.0","746,082.0","733,122.0","739,629.0","741,016.0","758,563.0","778,838.0","771,979.0","770,155.0","785,806.0","801,895.0","820,497.0","819,011.0","839,556.0","809,629.0","825,508.0","828,833.0","842,862.0","856,983.0","869,454.0","867,057.0","873,862.0","878,396.0","870,111.0","873,430.0","892,144.0","911,138.0","933,351.0","926,145.0","903,594.0","910,057.0","901,384.0","900,590.0","909,826.0","934,723.0","924,194.0","917,094.0","917,258.0","920,478.0","943,044.0","929,264.0","912,566.0","920,382.0","938,733.0","929,825.0","947,526.0","909,201.0","1,040,590.0","1,002,855.0","961,699.0","975,736.0","987,191.0","980,976.0","1,007,499.0","967,884.0","983,943.0","1,013,149.0","1,031,716.0","986,277.0","975,839.0","981,989.0","1,013,026.0"
