"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"28","9","Domestic industries","A390RC1","570,093.0","591,640.0","561,492.0","481,040.0","554,506.0","591,798.0","605,217.0","668,058.0","688,788.0","694,546.0","739,974.0","782,448.0","907,311.0","974,028.0","1,030,782.0","1,048,362.0","1,308,711.0","1,340,209.0","1,360,014.0","1,471,138.0","1,534,951.0","1,516,084.0","1,571,767.0","1,488,579.0","1,400,291.0","1,436,172.0","1,312,158.0","1,212,350.0","994,125.0","978,256.0","963,711.0","699,474.0","925,666.0","1,015,071.0","1,162,483.0","1,280,260.0","1,428,007.0","1,469,301.0","1,417,310.0","1,279,307.0","1,350,312.0","1,384,858.0","1,416,571.0","....."
"29","10","  Financial","N392RC1","219,170.0","228,856.0","228,426.0","235,432.0","258,199.0","264,412.0","263,555.0","274,593.0","298,472.0","303,500.0","318,750.0","326,635.0","346,260.0","351,665.0","363,971.0","387,361.0","447,981.0","414,458.0","466,078.0","445,757.0","466,475.0","467,826.0","434,789.0","422,767.0","364,007.0","379,879.0","366,346.0","271,773.0","240,587.0","217,110.0","79,384.0","-48,317.0","241,298.0","394,965.0","481,241.0","489,642.0","479,788.0","490,573.0","487,805.0","520,803.0","491,532.0","438,935.0","448,662.0","....."
"30","11","    Federal Reserve banks","B397RC1","31,720.0","29,799.0","28,143.0","25,833.0","24,277.0","24,296.0","23,328.0","22,163.0","21,684.0","20,784.0","19,540.0","18,299.0","19,072.0","19,060.0","20,100.0","21,920.0","22,921.0","25,541.0","26,788.0","31,022.0","31,021.0","33,621.0","35,755.0","34,946.0","36,049.0","36,558.0","36,199.0","35,166.0","34,295.0","29,938.0","33,424.0","42,675.0","27,109.0","43,309.0","54,237.0","64,673.0","71,472.0","73,912.0","71,377.0","69,471.0","72,739.0","80,675.0","77,640.0","....."
"31","12","    Other financial \2\","N398RC1","187,450.0","199,057.0","200,283.0","209,599.0","233,922.0","240,116.0","240,227.0","252,430.0","276,788.0","282,716.0","299,210.0","308,336.0","327,188.0","332,605.0","343,871.0","365,441.0","425,060.0","388,917.0","439,290.0","414,735.0","435,454.0","434,205.0","399,034.0","387,821.0","327,958.0","343,321.0","330,147.0","236,607.0","206,292.0","187,172.0","45,960.0","-90,992.0","214,189.0","351,656.0","427,004.0","424,969.0","408,316.0","416,661.0","416,428.0","451,332.0","418,793.0","358,260.0","371,022.0","....."
"32","13","  Nonfinancial","N399RC1","350,923.0","362,784.0","333,066.0","245,608.0","296,307.0","327,386.0","341,662.0","393,465.0","390,316.0","391,046.0","421,224.0","455,813.0","561,051.0","622,363.0","666,811.0","661,001.0","860,730.0","925,751.0","893,936.0","1,025,381.0","1,068,476.0","1,048,258.0","1,136,978.0","1,065,812.0","1,036,284.0","1,056,293.0","945,812.0","940,577.0","753,538.0","761,146.0","884,327.0","747,791.0","684,368.0","620,106.0","681,242.0","790,618.0","948,219.0","978,728.0","929,505.0","758,504.0","858,780.0","945,923.0","967,909.0","....."
"33","14","    Utilities","N419RC1","28,048.0","29,660.0","26,376.0","16,899.0","8,561.0","12,075.0","14,216.0","14,161.0","12,864.0","11,210.0","11,754.0","13,752.0","16,124.0","18,660.0","19,256.0","23,650.0","27,997.0","29,365.0","22,623.0","39,140.0","45,208.0","53,120.0","60,836.0","58,441.0","54,695.0","50,603.0","57,334.0","38,619.0","16,521.0","-13,010.0","86,333.0","33,133.0","18,221.0","21,552.0","15,469.0","33,406.0","46,454.0","18,247.0","28,035.0","7,125.0","14,890.0","15,176.0","10,710.0","....."
"34","15","    Manufacturing","N400RC1","81,598.0","81,468.0","48,066.0","-12,248.0","32,708.0","46,367.0","51,915.0","59,699.0","60,336.0","49,107.0","66,857.0","101,441.0","131,666.0","148,130.0","161,335.0","175,284.0","242,751.0","234,800.0","246,491.0","264,869.0","294,363.0","302,267.0","336,410.0","285,046.0","289,484.0","303,213.0","229,758.0","262,650.0","205,607.0","174,380.0","220,561.0","181,321.0","109,204.0","107,364.0","130,752.0","153,405.0","216,224.0","237,255.0","227,171.0","187,741.0","217,628.0","249,935.0","268,224.0","....."
"35","16","      Durable goods","N406RC1","11,641.0","-4,008.0","-39,007.0","-76,323.0","-25,705.0","-8,371.0","1,413.0","1,823.0","-3,393.0","-9,372.0","-11,956.0","7,353.0","31,078.0","40,313.0","43,224.0","48,057.0","86,424.0","93,637.0","96,527.0","105,616.0","125,269.0","94,886.0","134,063.0","121,237.0","108,510.0","95,634.0","79,468.0","100,723.0","84,757.0","46,634.0","71,902.0","24,006.0","137.0","7,904.0","22,181.0","51,730.0","99,757.0","100,370.0","95,151.0","84,530.0","90,772.0","97,062.0","113,573.0","....."
"36","17","        Fabricated metal products","N408RC1","12,247.0","10,978.0","9,118.0","6,786.0","8,441.0","9,090.0","8,831.0","9,926.0","6,537.0","8,139.0","6,465.0","10,919.0","10,917.0","12,835.0","11,116.0","13,738.0","16,986.0","18,003.0","19,840.0","17,471.0","19,567.0","16,674.0","18,065.0","20,403.0","18,691.0","19,801.0","20,615.0","22,776.0","17,531.0","12,307.0","13,683.0","19,595.0","16,161.0","11,384.0","8,569.0","5,885.0","11,442.0","9,336.0","12,543.0","13,547.0","14,636.0","15,572.0","17,488.0","....."
"37","18","        Machinery","N409RC1","9,420.0","4,189.0","-6,977.0","1,201.0","1,898.0","1,651.0","1,428.0","542.0","-16.0","1,778.0","581.0","1,700.0","3,813.0","7,171.0","9,206.0","8,252.0","11,454.0","12,524.0","14,310.0","19,864.0","18,834.0","18,749.0","20,060.0","19,295.0","22,537.0","23,930.0","21,817.0","20,066.0","18,503.0","15,200.0","15,208.0","17,424.0","10,067.0","6,738.0","5,941.0","8,330.0","13,331.0","14,281.0","16,763.0","16,928.0","20,013.0","20,332.0","24,532.0","....."
"38","19","        Computer and electronic products","N501RC1","-22,971.0","-36,249.0","-57,295.0","-77,770.0","-48,220.0","-37,636.0","-27,843.0","-23,702.0","-17,182.0","-15,981.0","-16,804.0","-8,856.0","-6,221.0","-5,825.0","-3,867.0","-1,431.0","6,543.0","8,569.0","9,976.0","11,008.0","10,101.0","19,139.0","22,617.0","17,725.0","16,392.0","8,768.0","11,043.0","7,629.0","16,731.0","8,213.0","12,082.0","11,820.0","6,957.0","15,228.0","17,014.0","22,314.0","39,473.0","37,437.0","38,958.0","41,936.0","29,041.0","34,516.0","35,428.0","....."
"39","20","        Electrical equipment, appliances, and components","N410RC1","3,916.0","1,849.0","1,399.0","591.0","365.0","-1,267.0","229.0","723.0","1,717.0","1,950.0","2,419.0","2,686.0","2,487.0","2,480.0","-133.0","-2,292.0","-4,271.0","-4,074.0","-361.0","2,927.0","12,631.0","8,822.0","12,254.0","12,105.0","2,823.0","-2,937.0","-4,784.0","162.0","1,031.0","4,923.0","8,269.0","4,339.0","8,773.0","7,746.0","7,880.0","9,014.0","8,773.0","9,312.0","7,556.0","2,414.0","4,289.0","2,047.0","1,932.0","....."
"40","21","        Motor vehicles, bodies and trailers, and parts","N411RC1","-7,458.0","-9,409.0","-5,937.0","-12,626.0","-9,684.0","-763.0","-2,329.0","-5,347.0","-5,168.0","-12,864.0","-14,753.0","-13,858.0","-1,557.0","-8,244.0","-9,569.0","-7,779.0","3,912.0","3,895.0","-212.0","-3,012.0","1,166.0","-13,948.0","-5,607.0","-8,842.0","-13,532.0","-9,282.0","-27,859.0","-15,071.0","-18,345.0","-37,504.0","-24,927.0","-51,551.0","-64,063.0","-53,626.0","-37,100.0","-25,528.0","-14,924.0","-6,868.0","-9,886.0","-19,072.0","-12,039.0","-12,234.0","-10,908.0","....."
"41","22","        Other durable goods \3\","N412RC1","16,488.0","24,633.0","20,685.0","5,496.0","21,495.0","20,553.0","21,097.0","19,681.0","10,718.0","7,605.0","10,136.0","14,763.0","21,639.0","31,896.0","36,471.0","37,569.0","51,799.0","54,719.0","52,973.0","57,357.0","62,971.0","45,450.0","66,674.0","60,550.0","61,599.0","55,353.0","58,635.0","65,163.0","49,306.0","43,496.0","47,588.0","22,379.0","22,244.0","20,433.0","19,877.0","31,715.0","41,663.0","36,871.0","29,217.0","28,777.0","34,832.0","36,830.0","45,102.0","....."
"42","23","      Nondurable goods","N401RC1","69,957.0","85,476.0","87,073.0","64,075.0","58,412.0","54,739.0","50,502.0","57,876.0","63,729.0","58,479.0","78,812.0","94,088.0","100,588.0","107,817.0","118,111.0","127,227.0","156,327.0","141,164.0","149,964.0","159,253.0","169,094.0","207,381.0","202,347.0","163,809.0","180,974.0","207,579.0","150,290.0","161,927.0","120,851.0","127,746.0","148,659.0","157,316.0","109,067.0","99,461.0","108,571.0","101,674.0","116,466.0","136,885.0","132,020.0","103,211.0","126,855.0","152,873.0","154,651.0","....."
"43","24","        Food and beverage and tobacco products","N402RC1","21,880.0","31,311.0","30,151.0","29,525.0","25,913.0","26,448.0","25,616.0","23,047.0","21,931.0","23,639.0","22,611.0","27,674.0","24,567.0","22,345.0","27,455.0","22,945.0","28,195.0","25,513.0","26,906.0","28,473.0","30,302.0","32,726.0","33,685.0","33,118.0","30,145.0","33,673.0","29,571.0","29,550.0","22,282.0","29,026.0","34,977.0","33,117.0","39,182.0","44,100.0","43,590.0","39,075.0","41,085.0","40,811.0","39,642.0","29,589.0","33,526.0","34,740.0","28,503.0","....."
"44","25","        Petroleum and coal products","N404RC1","34,552.0","33,311.0","32,391.0","18,516.0","5,784.0","1,372.0","-770.0","-1,070.0","17,678.0","16,043.0","27,076.0","33,147.0","41,333.0","46,736.0","40,560.0","67,756.0","71,881.0","75,650.0","80,739.0","89,489.0","73,444.0","89,128.0","84,143.0","59,855.0","68,184.0","110,131.0","60,447.0","55,340.0","70,751.0","49,893.0","88,145.0","102,507.0","29,456.0","-4,507.0","3,330.0","9,507.0","31,275.0","52,828.0","31,694.0","28,380.0","37,915.0","71,288.0","72,168.0","....."
"45","26","        Chemical products","N403RC1","6,001.0","13,139.0","14,731.0","12,687.0","15,132.0","16,286.0","17,456.0","22,276.0","17,547.0","15,286.0","21,579.0","21,136.0","19,323.0","24,819.0","32,258.0","22,564.0","38,864.0","20,095.0","21,790.0","22,080.0","46,346.0","59,905.0","61,521.0","42,324.0","57,179.0","42,613.0","37,780.0","55,444.0","16,431.0","41,762.0","23,658.0","13,755.0","29,629.0","43,247.0","44,599.0","35,605.0","28,812.0","29,352.0","45,485.0","35,018.0","36,065.0","32,420.0","38,022.0","....."
"46","27","        Other nondurable goods \4\","N405RC1","7,525.0","7,716.0","9,800.0","3,347.0","11,583.0","10,632.0","8,200.0","13,623.0","6,573.0","3,511.0","7,546.0","12,130.0","15,364.0","13,916.0","17,838.0","13,961.0","17,387.0","19,906.0","20,530.0","19,212.0","19,003.0","25,622.0","22,998.0","28,512.0","25,466.0","21,163.0","22,493.0","21,592.0","11,386.0","7,065.0","1,878.0","7,936.0","10,800.0","16,620.0","17,053.0","17,487.0","15,295.0","13,895.0","15,199.0","10,224.0","19,349.0","14,425.0","15,957.0","....."
"47","28","    Wholesale trade","N414RC1","38,941.0","42,140.0","52,893.0","71,215.0","56,906.0","54,619.0","41,025.0","43,998.0","44,020.0","51,044.0","61,639.0","62,618.0","71,334.0","79,989.0","84,299.0","66,864.0","90,479.0","105,657.0","83,525.0","89,194.0","104,421.0","100,697.0","107,392.0","102,166.0","105,138.0","108,924.0","104,652.0","80,896.0","57,918.0","64,150.0","89,156.0","133,782.0","102,683.0","77,428.0","72,972.0","79,917.0","93,430.0","110,998.0","89,378.0","49,504.0","71,568.0","90,821.0","85,566.0","....."
"48","29","    Retail trade","N415RC1","67,285.0","68,830.0","74,399.0","80,064.0","80,861.0","78,634.0","80,085.0","86,656.0","86,388.0","94,765.0","88,883.0","85,645.0","102,290.0","94,981.0","88,605.0","87,616.0","101,009.0","128,126.0","117,934.0","143,291.0","132,290.0","123,281.0","136,411.0","140,692.0","121,047.0","131,141.0","114,127.0","104,982.0","75,281.0","80,875.0","84,950.0","85,134.0","101,603.0","103,787.0","107,744.0","110,922.0","128,563.0","125,370.0","119,032.0","117,262.0","120,238.0","112,731.0","110,611.0","....."
"49","30","    Transportation and warehousing","N417RC1","2,628.0","3,809.0","3,168.0","-4,665.0","-470.0","-2,781.0","-1,084.0","3,828.0","3,957.0","8,449.0","7,942.0","9,353.0","14,222.0","20,504.0","13,087.0","9,776.0","25,724.0","28,547.0","28,196.0","33,681.0","43,358.0","45,313.0","40,250.0","39,573.0","28,052.0","29,721.0","28,881.0","24,065.0","26,931.0","35,333.0","32,197.0","33,202.0","24,366.0","13,551.0","26,981.0","29,223.0","32,479.0","37,726.0","39,300.0","28,174.0","23,498.0","26,766.0","33,497.0","....."
"50","31","    Information","N502RC1","-20,677.0","-20,308.0","-24,281.0","-32,360.0","-13,340.0","-6,453.0","-2,520.0","7,098.0","-2,384.0","3,188.0","12,595.0","6,240.0","14,822.0","47,647.0","66,267.0","53,844.0","76,205.0","85,675.0","78,461.0","84,809.0","84,061.0","92,629.0","100,797.0","92,105.0","95,253.0","87,810.0","89,315.0","101,978.0","91,116.0","107,136.0","79,118.0","23,006.0","75,747.0","70,829.0","80,231.0","97,943.0","91,443.0","93,519.0","86,631.0","79,098.0","98,912.0","103,615.0","97,142.0","....."
"51","32","    Other nonfinancial \5\","N420RC1","153,100.0","157,185.0","152,445.0","126,703.0","131,081.0","144,925.0","158,025.0","178,025.0","185,135.0","173,283.0","171,554.0","176,764.0","210,593.0","212,452.0","233,962.0","243,967.0","296,565.0","313,581.0","316,706.0","370,397.0","364,775.0","330,951.0","354,882.0","347,789.0","342,615.0","344,881.0","321,745.0","327,387.0","280,164.0","312,282.0","292,012.0","258,213.0","252,544.0","225,595.0","247,093.0","285,802.0","339,626.0","355,613.0","339,958.0","289,600.0","312,046.0","346,879.0","362,159.0","....."
"52","33","Rest of the world","B394RC1","160,068.0","171,010.0","146,559.0","201,165.0","158,747.0","145,932.0","156,564.0","170,307.0","149,137.0","158,942.0","163,118.0","191,808.0","213,178.0","197,252.0","215,244.0","194,434.0","234,176.0","233,258.0","252,947.0","237,386.0","246,942.0","255,283.0","250,998.0","274,141.0","288,012.0","312,504.0","373,866.0","429,135.0","418,144.0","418,699.0","439,391.0","350,109.0","360,076.0","344,622.0","362,559.0","374,316.0","368,944.0","390,631.0","395,251.0","372,858.0","410,770.0","445,374.0","450,818.0","....."
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
