"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"66","45","Recreation and culture","G170451",".....",".....",".....",".....",".....",".....",".....","1.0","3.0","6.0","9.0"
"67","46","Education","G170461","517.0","358.0","252.0","189.0","161.0","146.0","178.0","368.0","789.0","1,037.0","1,312.0"
"68","47","Income security","G170471","17,209.0","18,783.0","21,862.0","22,553.0","23,569.0","24,194.0","26,211.0","27,513.0","29,836.0","33,739.0","36,369.0"
"69","48","      State and local","B109RC1","4,339.0","4,561.0","4,982.0","5,340.0","5,697.0","6,154.0","6,651.0","7,621.0","9,232.0","11,446.0","13,217.0"
"70","49","General public service","G170491","63.0","83.0","121.0","45.0","18.0","24.0","24.0","24.0","35.0","48.0","75.0"
"71","50","Public order and safety","G170501",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"72","51","Economic affairs","G170511","5.0","6.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"73","52","Health","G170521","479.0","541.0","701.0","942.0","1,082.0","1,267.0","1,488.0","2,002.0","2,792.0","4,077.0","4,640.0"
"74","53","Education","G170531","84.0","99.0","114.0","138.0","168.0","199.0","240.0","322.0","429.0","532.0","629.0"
"75","54","Income security","G170541","3,708.0","3,832.0","4,034.0","4,203.0","4,417.0","4,652.0","4,887.0","5,261.0","5,964.0","6,777.0","7,861.0"
"76",NA,"Grants-in-aid to state and local governments:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","55","      Federal \2\","B089RC1","3,775.0","4,003.0","4,514.0","5,038.0","5,643.0","6,450.0","7,167.0","10,080.0","11,737.0","12,706.0","14,565.0"
"78","56","General public service","G170561","31.0","36.0","40.0","40.0","38.0","66.0","53.0","58.0","83.0","113.0","121.0"
"79","57","National defense","G170571","183.0","218.0","241.0","275.0","297.0","296.0","274.0","283.0","283.0","322.0","375.0"
"80","58","Public order and safety","G170581","3.0","3.0","3.0","3.0","4.0","4.0","4.0","5.0","10.0","17.0","48.0"
"81","59","Economic affairs","G170591","281.0","266.0","280.0","350.0","372.0","441.0","652.0","805.0","1,021.0","1,400.0","1,635.0"
"82","60","  Transportation","G170641",".....",".....",".....",".....","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"83","61","  Space","G170651","1.0","2.0","3.0","11.0","19.0","23.0","41.0","40.0","41.0","60.0","62.0"
"84","62","  Other economic affairs","W695RC1","280.0","264.0","277.0","339.0","352.0","418.0","611.0","765.0","980.0","1,340.0","1,573.0"
"85","63","    General economic and labor affairs","G170601","6.0","6.0","7.0","10.0","15.0","20.0","180.0","300.0","468.0","732.0","821.0"
"86","64","    Agriculture","G170611","123.0","96.0","103.0","128.0","122.0","142.0","154.0","173.0","170.0","246.0","345.0"
"87","65","    Energy","G170621","46.0","45.0","61.0","79.0","84.0","114.0","123.0","130.0","150.0","156.0","168.0"
"88","66","    Natural resources","G170631","105.0","117.0","106.0","122.0","131.0","142.0","154.0","162.0","192.0","206.0","239.0"
"89","67","Housing and community services","G170661","79.0","135.0","154.0","202.0","321.0","591.0","439.0","405.0","505.0","625.0","728.0"
"90","68","Health","G170671","228.0","310.0","375.0","437.0","530.0","641.0","723.0","1,876.0","2,587.0","1,939.0","2,369.0"
"91","69","Recreation and culture","G170681",".....",".....",".....",".....",".....",".....","2.0","2.0","28.0","39.0","52.0"
"92","70","Education","G170691","384.0","411.0","446.0","485.0","551.0","642.0","831.0","2,607.0","2,762.0","3,003.0","3,146.0"
"93","71","Income security","G170701","2,586.0","2,624.0","2,975.0","3,246.0","3,530.0","3,769.0","4,189.0","4,039.0","4,458.0","5,248.0","6,091.0"
"94","72","  Disability","G170711",".....",".....",".....",".....",".....",".....",".....",".....","42.0","45.0","48.0"
"95","73","  Welfare and social services","G170731","2,071.0","2,084.0","2,348.0","2,585.0","2,830.0","3,066.0","3,360.0","2,899.0","3,324.0","4,417.0","5,246.0"
"96","74","  Unemployment","G170741","325.0","311.0","380.0","380.0","386.0","374.0","419.0","493.0","522.0","563.0","570.0"
"97","75","  Other","G170751","190.0","229.0","247.0","281.0","314.0","329.0","410.0","647.0","570.0","223.0","227.0"
"98",NA,"Subsidies:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","76","      Government","A107RC1","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0"
"100","77","Economic affairs","G170791","932.0","1,000.0","1,855.0","2,097.0","2,039.0","2,519.0","2,773.0","3,695.0","3,533.0","3,847.0","4,114.0"
"101","78","  Transportation","G170841","195.0","218.0","257.0","295.0","286.0","294.0","293.0","263.0","285.0","283.0","263.0"
"102","79","  Other economic affairs","W696RC1","737.0","782.0","1,598.0","1,802.0","1,753.0","2,225.0","2,480.0","3,432.0","3,248.0","3,564.0","3,851.0"
"103","80","    General economic and labor affairs","G170801",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"104","81","    Agriculture","G170811","737.0","782.0","1,598.0","1,802.0","1,753.0","2,225.0","2,480.0","3,432.0","3,248.0","3,564.0","3,851.0"
"105","82","    Energy","G170821",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"106","83","    Natural resources","G170831","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"107","84","Housing and community services","G170871","126.0","146.0","159.0","176.0","195.0","210.0","234.0","254.0","278.0","327.0","420.0"
"108","85","      Federal","B096RC1","1,058.0","1,146.0","2,014.0","2,273.0","2,222.0","2,719.0","2,989.0","3,925.0","3,785.0","4,147.0","4,509.0"
"109","86","Economic affairs","G170911","932.0","1,000.0","1,855.0","2,097.0","2,027.0","2,509.0","2,755.0","3,671.0","3,507.0","3,820.0","4,089.0"
"110","87","  Transportation","G170961","195.0","218.0","257.0","295.0","274.0","284.0","275.0","239.0","259.0","256.0","238.0"
"111","88","  Other economic affairs","W697RC1","737.0","782.0","1,598.0","1,802.0","1,753.0","2,225.0","2,480.0","3,432.0","3,248.0","3,564.0","3,851.0"
"112","89","    General economic and labor affairs","G170921",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"113","90","    Agriculture","G170931","737.0","782.0","1,598.0","1,802.0","1,753.0","2,225.0","2,480.0","3,432.0","3,248.0","3,564.0","3,851.0"
"114","91","    Natural resources","G170951",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"115","92","Housing and community services","G170981","126.0","146.0","159.0","176.0","195.0","210.0","234.0","254.0","278.0","327.0","420.0"
"116","93","      State and local","B114RC1","0.0","0.0","0.0","0.0","12.0","10.0","18.0","24.0","26.0","27.0","25.0"
"117","94","Economic affairs","G171001","0.0","0.0","0.0","0.0","12.0","10.0","18.0","24.0","26.0","27.0","25.0"
"118","95","  Transportation","G171021","0.0","0.0","0.0","0.0","12.0","10.0","18.0","24.0","26.0","27.0","25.0"
"119","96","  Energy","G171011",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"120","97","Housing and community services","G171041","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"121",NA,"        Gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","98","      Government","A782RC1","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0"
"123","99","General public service","G171061","549.0","642.0","592.0","706.0","872.0","863.0","1,134.0","1,001.0","1,111.0","1,333.0","1,807.0"
"124","100","National defense","A788RC1","13,707.0","12,349.0","13,856.0","14,522.0","12,641.0","11,466.0","10,045.0","11,763.0","13,507.0","12,153.0","11,347.0"
"125","101","Public order and safety","G171081","290.0","276.0","292.0","298.0","331.0","379.0","407.0","447.0","415.0","489.0","607.0"
"126","102","Economic affairs","G171091","8,477.0","8,555.0","9,503.0","10,108.0","11,741.0","12,828.0","13,998.0","15,166.0","15,433.0","16,165.0","16,023.0"
"127","103","Housing and community services","G171101","2,144.0","2,170.0","2,430.0","2,811.0","2,568.0","3,062.0","3,240.0","3,302.0","3,444.0","4,161.0","4,020.0"
"128","104","Health","G171111","561.0","527.0","498.0","538.0","621.0","686.0","712.0","774.0","949.0","1,134.0","1,289.0"
"129","105","Recreation and culture","G171121","250.0","235.0","245.0","291.0","341.0","331.0","327.0","348.0","417.0","476.0","585.0"
"130","106","Education","G171131","3,210.0","3,417.0","3,706.0","3,733.0","4,282.0","4,839.0","5,425.0","6,706.0","7,440.0","7,584.0","7,430.0"
"131","107","Income security","G171141","114.0","96.0","208.0","283.0","242.0","173.0","267.0","280.0","261.0","143.0","160.0"
"132","108","      Federal","A787RC1","15,380.0","14,344.0","16,281.0","17,420.0","16,125.0","15,637.0","14,707.0","16,669.0","17,668.0","15,970.0","14,966.0"
"133","109","General public service","G171161","118.0","153.0","133.0","196.0","178.0","147.0","272.0","160.0","-6.0","-11.0","63.0"
"134","110","National defense","A788RC1","13,707.0","12,349.0","13,856.0","14,522.0","12,641.0","11,466.0","10,045.0","11,763.0","13,507.0","12,153.0","11,347.0"
"135","111","Public order and safety","G171181","25.0","27.0","34.0","42.0","53.0","59.0","63.0","54.0","50.0","57.0","78.0"
"136","112","Economic affairs","G171191","1,205.0","1,502.0","1,785.0","2,047.0","2,533.0","3,328.0","3,636.0","3,874.0","3,362.0","3,130.0","2,843.0"
"137","113","Housing and community services","G171201","4.0","15.0","44.0","68.0","93.0","63.0","40.0","55.0","74.0","12.0","8.0"
"138","114","Health","G171211","126.0","119.0","121.0","126.0","203.0","229.0","210.0","237.0","207.0","290.0","324.0"
"139","115","Recreation and culture","G171221","29.0","43.0","49.0","64.0","79.0","60.0","67.0","56.0","44.0","55.0","64.0"
"140","116","Education","G171231","73.0","70.0","84.0","109.0","130.0","144.0","142.0","236.0","225.0","201.0","152.0"
"141","117","Income security","G171241","93.0","66.0","175.0","246.0","215.0","141.0","232.0","234.0","205.0","83.0","87.0"
"142","118","      State and local","A799RC1","13,922.0","13,923.0","15,048.0","15,870.0","17,515.0","18,989.0","20,848.0","23,118.0","25,309.0","27,667.0","28,302.0"
"143","119","General public service","G171261","431.0","489.0","459.0","510.0","694.0","716.0","862.0","841.0","1,117.0","1,344.0","1,744.0"
"144","120","Public order and safety","G171271","265.0","249.0","258.0","256.0","278.0","320.0","344.0","393.0","365.0","432.0","529.0"
"145","121","Economic affairs","G171281","7,272.0","7,053.0","7,718.0","8,061.0","9,208.0","9,500.0","10,362.0","11,292.0","12,071.0","13,035.0","13,180.0"
"146","122","Housing and community services","G171291","2,140.0","2,155.0","2,386.0","2,743.0","2,475.0","2,999.0","3,200.0","3,247.0","3,370.0","4,149.0","4,012.0"
"147","123","Health","G171301","435.0","408.0","377.0","412.0","418.0","457.0","502.0","537.0","742.0","844.0","965.0"
"148","124","Recreation and culture","G171311","221.0","192.0","196.0","227.0","262.0","271.0","260.0","292.0","373.0","421.0","521.0"
"149","125","Education","G171321","3,137.0","3,347.0","3,622.0","3,624.0","4,152.0","4,695.0","5,283.0","6,470.0","7,215.0","7,383.0","7,278.0"
"150","126","Income security","G171331","21.0","30.0","33.0","37.0","27.0","32.0","35.0","46.0","56.0","60.0","73.0"
"151",NA,"        Capital transfers paid \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","127","      Government \4\","W069RC1","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","79.0"
"153","128","General public service","W800RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"154","129","Economic affairs","W801RC1","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","79.0"
"155","130","  Transportation","W802RC1","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","79.0"
"156","131","    Highways","W803RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"157","132","    Air","W804RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"158","133","    Water","W805RC1","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0"
"159","134","    Transit and railroad","W806RC1",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0"
"160","135","  Other economic affairs","W807RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"161","136","Housing and community services","W808RC1",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0"
"162","137","Health","W809RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0"
"163","138","Income security","W810RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"164","139","      Federal \5\","W020RC1","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","4,035.0","4,387.0","4,260.0","5,993.0","5,860.0"
"165","140","General public service","W698RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"166","141","Economic affairs","G171361","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","3,990.0","4,294.0","4,124.0","4,624.0","4,302.0"
"167","142","  Transportation","G171371","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","3,990.0","4,294.0","4,124.0","4,624.0","4,302.0"
"168","143","    Highways","G171381","3,016.0","2,462.0","2,670.0","2,876.0","3,433.0","3,899.0","3,834.0","4,129.0","3,909.0","4,312.0","4,016.0"
"169","144","    Air","G171391","57.0","61.0","61.0","65.0","65.0","84.0","57.0","55.0","70.0","78.0","103.0"
"170","145","    Water","W813RC1","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0"
"171","146","    Transit and railroad","G171411",".....",".....",".....",".....",".....",".....","18.0","27.0","60.0","122.0","106.0"
"172","147","  Other economic affairs","W699RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"173","148","Housing and community services","G171421",".....",".....",".....",".....",".....",".....","45.0","93.0","136.0","243.0","286.0"
"174","149","Health","G171431",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,126.0","1,272.0"
"175","150","Income security","G171441",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"176","151","      State and local","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"177","152","Housing and community services \6\","W952RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","1. Equals consumption expenditures, government social benefits, interest payments, subsidies, less",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","""wage accruals less disbursements;"" for federal government, also includes grants-in-aid to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","and local governments and other current transfer payments to the rest of the world (net).  Government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","federal government, and state and local government current expenditures are shown separately in tables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","3.1, 3.2, and 3.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","2. Federal grants-in-aid to state and local governments are included in federal current expenditures;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","because the grants are transactions between levels of government, they are eliminated in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","consolidation of the government sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","3. For more information regarding capital transfers, please see NIPA table 5.10.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","4. Federal investment grants to state and local governments are excluded in the consolidation of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","federal and state and local sectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","5. Includes federal investment grants to state and local governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","6. Consists of disaster-related benefits payments by state-owned insurance entities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
