"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"36","17","        Proprietors' income","B1619C1","101.0","112.0","120.0","127.0","132.0","136.0","141.0","147.0","152.0","157.0","160.0","163.0","165.0","168.0","173.0","178.0","187.0","193.0","198.0","202.0","203.0","205.0","207.0","209.0","213.0","216.0","218.0","221.0","224.0","226.0","228.0","230.0","230.0","232.0","236.0","242.0","249.0","256.0","261.0","266.0","269.0","273.0","277.0","281.0","287.0","291.0","294.0","296.0","296.0","297.0","295.0","292.0","287.0","285.0","284.0","284.0","287.0","289.0","291.0","293.0","294.0","296.0","298.0","300.0","303.0","305.0","307.0","309.0","310.0","312.0","314.0","316.0","318.0","320.0","322.0","324.0","327.0","330.0","333.0","338.0","341.0","346.0","351.0","358.0","364.0","370.0","375.0","379.0","384.0","390.0"
"37","18","  Households and institutions","W279RC1","2,338.0","2,502.0","2,643.0","2,761.0","2,856.0","2,937.0","3,006.0","3,061.0","3,105.0","3,151.0","3,201.0","3,255.0","3,311.0","3,395.0","3,505.0","3,641.0","3,805.0","3,945.0","4,061.0","4,153.0","4,222.0","4,290.0","4,359.0","4,429.0","4,497.0","4,562.0","4,624.0","4,681.0","4,735.0","4,799.0","4,874.0","4,960.0","5,055.0","5,162.0","5,279.0","5,408.0","5,546.0","5,672.0","5,783.0","5,883.0","5,968.0","6,046.0","6,116.0","6,178.0","6,231.0","6,293.0","6,365.0","6,447.0","6,538.0","6,625.0","6,706.0","6,783.0","6,855.0","6,923.0","6,990.0","7,052.0","7,113.0","7,173.0","7,235.0","7,295.0","7,358.0","7,427.0","7,503.0","7,584.0","7,671.0","7,765.0","7,866.0","7,974.0","8,091.0","8,218.0","8,358.0","8,509.0","8,674.0","8,841.0","9,010.0","9,183.0","9,358.0","9,534.0","9,710.0","9,886.0","10,066.0","10,258.0","10,464.0","10,684.0","10,917.0","11,174.0","11,454.0","11,759.0","12,087.0","12,404.0"
"38","19","    Owner-occupied housing","B2607C1","1,844.0","1,970.0","2,080.0","2,174.0","2,250.0","2,317.0","2,375.0","2,422.0","2,462.0","2,504.0","2,549.0","2,597.0","2,648.0","2,717.0","2,802.0","2,905.0","3,024.0","3,129.0","3,218.0","3,293.0","3,353.0","3,411.0","3,468.0","3,524.0","3,578.0","3,630.0","3,680.0","3,728.0","3,774.0","3,828.0","3,891.0","3,963.0","4,044.0","4,130.0","4,222.0","4,320.0","4,422.0","4,513.0","4,591.0","4,658.0","4,712.0","4,765.0","4,815.0","4,864.0","4,910.0","4,962.0","5,020.0","5,084.0","5,154.0","5,219.0","5,278.0","5,333.0","5,383.0","5,430.0","5,476.0","5,519.0","5,561.0","5,600.0","5,638.0","5,673.0","5,706.0","5,746.0","5,792.0","5,844.0","5,902.0","5,966.0","6,036.0","6,112.0","6,194.0","6,285.0","6,387.0","6,498.0","6,619.0","6,740.0","6,860.0","6,981.0","7,100.0","7,222.0","7,346.0","7,472.0","7,602.0","7,742.0","7,894.0","8,058.0","8,233.0","8,427.0","8,640.0","8,872.0","9,123.0","9,358.0"
"39","20","    Nonprofit institutions serving households","B1621C1","494.0","532.0","563.0","587.0","606.0","620.0","631.0","639.0","643.0","647.0","652.0","658.0","663.0","678.0","703.0","736.0","781.0","816.0","843.0","860.0","869.0","879.0","891.0","905.0","919.0","932.0","944.0","953.0","961.0","971.0","983.0","997.0","1,011.0","1,032.0","1,057.0","1,088.0","1,124.0","1,159.0","1,192.0","1,225.0","1,256.0","1,281.0","1,301.0","1,314.0","1,321.0","1,331.0","1,345.0","1,363.0","1,384.0","1,406.0","1,428.0","1,450.0","1,472.0","1,493.0","1,514.0","1,533.0","1,552.0","1,573.0","1,597.0","1,622.0","1,652.0","1,681.0","1,711.0","1,740.0","1,769.0","1,799.0","1,830.0","1,862.0","1,897.0","1,933.0","1,971.0","2,011.0","2,055.0","2,101.0","2,150.0","2,202.0","2,258.0","2,312.0","2,364.0","2,414.0","2,464.0","2,516.0","2,570.0","2,626.0","2,684.0","2,747.0","2,814.0","2,887.0","2,964.0","3,046.0"
"40","21","Government","A264RC1","11,003.0","10,601.0","10,499.0","10,262.0","9,895.0","9,635.0","9,582.0","9,333.0","9,236.0","8,834.0","8,446.0","8,208.0","7,918.0","7,764.0","7,835.0","8,144.0","8,393.0","8,523.0","8,691.0","8,912.0","9,095.0","9,380.0","9,741.0","9,962.0","10,208.0","10,442.0","10,479.0","10,596.0","10,766.0","11,059.0","11,227.0","11,451.0","11,463.0","11,526.0","11,841.0","12,085.0","12,440.0","12,675.0","12,879.0","13,059.0","13,349.0","13,531.0","13,706.0","13,794.0","13,606.0","13,733.0","13,979.0","14,149.0","14,268.0","14,376.0","14,513.0","14,657.0","14,804.0","14,942.0","15,054.0","15,204.0","15,319.0","15,462.0","15,614.0","15,811.0","16,105.0","16,250.0","16,598.0","16,965.0","17,163.0","17,398.0","17,549.0","17,705.0","17,856.0","17,990.0","18,125.0","18,306.0","18,500.0","18,753.0","18,996.0","19,188.0","19,408.0","19,829.0","20,149.0","20,505.0","20,818.0","21,128.0","21,566.0","21,990.0","22,483.0","22,782.0","23,113.0","23,608.0","24,058.0","24,548.0"
"41","22","  General government","A265RC1","10,611.0","10,226.0","10,092.0","9,840.0","9,460.0","9,183.0","9,101.0","8,844.0","8,749.0","8,346.0","7,958.0","7,722.0","7,433.0","7,270.0","7,311.0","7,599.0","7,826.0","7,938.0","8,091.0","8,305.0","8,477.0","8,747.0","9,087.0","9,289.0","9,537.0","9,764.0","9,781.0","9,893.0","10,060.0","10,346.0","10,502.0","10,719.0","10,729.0","10,775.0","11,064.0","11,291.0","11,616.0","11,824.0","12,005.0","12,171.0","12,443.0","12,596.0","12,756.0","12,838.0","12,649.0","12,757.0","12,981.0","13,134.0","13,253.0","13,360.0","13,486.0","13,611.0","13,743.0","13,855.0","13,957.0","14,085.0","14,192.0","14,314.0","14,447.0","14,628.0","14,902.0","15,024.0","15,353.0","15,701.0","15,886.0","16,100.0","16,234.0","16,357.0","16,494.0","16,608.0","16,718.0","16,875.0","17,039.0","17,264.0","17,483.0","17,647.0","17,833.0","18,206.0","18,493.0","18,817.0","19,089.0","19,373.0","19,773.0","20,155.0","20,594.0","20,849.0","21,137.0","21,561.0","21,948.0","22,380.0"
"42","23","    Federal","B995RC1","9,244.0","8,800.0","8,616.0","8,308.0","7,868.0","7,544.0","7,416.0","7,136.0","7,040.0","6,672.0","6,296.0","6,068.0","5,844.0","5,680.0","5,648.0","5,816.0","5,908.0","5,936.0","6,032.0","6,208.0","6,400.0","6,604.0","6,868.0","7,120.0","7,304.0","7,556.0","7,568.0","7,716.0","7,916.0","8,088.0","8,244.0","8,412.0","8,456.0","8,460.0","8,608.0","8,760.0","8,976.0","9,088.0","9,180.0","9,280.0","9,508.0","9,580.0","9,708.0","9,788.0","9,636.0","9,664.0","9,812.0","9,912.0","9,960.0","10,040.0","10,144.0","10,248.0","10,344.0","10,412.0","10,468.0","10,548.0","10,604.0","10,672.0","10,756.0","10,880.0","11,072.0","11,120.0","11,388.0","11,660.0","11,780.0","11,916.0","11,980.0","12,020.0","12,080.0","12,120.0","12,152.0","12,228.0","12,276.0","12,380.0","12,496.0","12,548.0","12,624.0","12,808.0","12,960.0","13,132.0","13,292.0","13,488.0","13,720.0","13,948.0","14,164.0","14,284.0","14,496.0","14,680.0","14,864.0","15,028.0"
"43","24","    State and local","B986RC1","1,367.0","1,426.0","1,476.0","1,532.0","1,592.0","1,639.0","1,685.0","1,708.0","1,709.0","1,674.0","1,662.0","1,654.0","1,589.0","1,590.0","1,663.0","1,783.0","1,918.0","2,002.0","2,059.0","2,097.0","2,077.0","2,143.0","2,219.0","2,169.0","2,233.0","2,208.0","2,213.0","2,177.0","2,144.0","2,258.0","2,258.0","2,307.0","2,273.0","2,315.0","2,456.0","2,531.0","2,640.0","2,736.0","2,825.0","2,891.0","2,935.0","3,016.0","3,048.0","3,050.0","3,013.0","3,093.0","3,169.0","3,222.0","3,293.0","3,320.0","3,342.0","3,363.0","3,399.0","3,443.0","3,489.0","3,537.0","3,588.0","3,642.0","3,691.0","3,748.0","3,830.0","3,904.0","3,965.0","4,041.0","4,106.0","4,184.0","4,254.0","4,337.0","4,414.0","4,488.0","4,566.0","4,647.0","4,763.0","4,884.0","4,987.0","5,099.0","5,209.0","5,398.0","5,533.0","5,685.0","5,797.0","5,885.0","6,053.0","6,207.0","6,430.0","6,565.0","6,641.0","6,881.0","7,084.0","7,352.0"
"44","25","  Government enterprises","A266RC1","392.0","375.0","407.0","422.0","435.0","452.0","481.0","489.0","487.0","488.0","488.0","486.0","485.0","494.0","524.0","545.0","567.0","585.0","600.0","607.0","618.0","633.0","654.0","673.0","671.0","678.0","698.0","703.0","706.0","713.0","725.0","732.0","734.0","751.0","777.0","794.0","824.0","851.0","874.0","888.0","906.0","935.0","950.0","956.0","957.0","976.0","998.0","1,015.0","1,015.0","1,016.0","1,027.0","1,046.0","1,061.0","1,087.0","1,097.0","1,119.0","1,127.0","1,148.0","1,167.0","1,183.0","1,203.0","1,226.0","1,245.0","1,264.0","1,277.0","1,298.0","1,315.0","1,348.0","1,362.0","1,382.0","1,407.0","1,431.0","1,461.0","1,489.0","1,513.0","1,541.0","1,575.0","1,623.0","1,656.0","1,688.0","1,729.0","1,755.0","1,793.0","1,835.0","1,889.0","1,933.0","1,976.0","2,047.0","2,110.0","2,168.0"
"45","26","    Federal","B833RC1","20.0","20.0","32.0","28.0","28.0","28.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","36.0","44.0","44.0","44.0","44.0","48.0","48.0","52.0","60.0","64.0","64.0","64.0","64.0","64.0","68.0","72.0","72.0","72.0","72.0","72.0","76.0","80.0","80.0","84.0","88.0","88.0","88.0","92.0","96.0","96.0","96.0","96.0","96.0","100.0","100.0","108.0","116.0","116.0","124.0","124.0","136.0","132.0","140.0","136.0","144.0","148.0","148.0","152.0","156.0","160.0","160.0","160.0","164.0","164.0","172.0","172.0","172.0","180.0","184.0","188.0","192.0","192.0","196.0","200.0","212.0","220.0","224.0","236.0","236.0","244.0","252.0","260.0","268.0","276.0","288.0","296.0","304.0"
"46","27","    State and local","B846RC1","372.0","355.0","375.0","394.0","407.0","424.0","449.0","457.0","455.0","456.0","456.0","454.0","453.0","458.0","480.0","501.0","523.0","541.0","552.0","559.0","566.0","573.0","590.0","609.0","607.0","614.0","634.0","635.0","634.0","641.0","653.0","660.0","662.0","675.0","697.0","714.0","740.0","763.0","786.0","800.0","814.0","839.0","854.0","860.0","861.0","880.0","898.0","915.0","907.0","900.0","911.0","922.0","937.0","951.0","965.0","979.0","991.0","1,004.0","1,019.0","1,035.0","1,051.0","1,070.0","1,085.0","1,104.0","1,117.0","1,134.0","1,151.0","1,176.0","1,190.0","1,210.0","1,227.0","1,247.0","1,273.0","1,297.0","1,321.0","1,345.0","1,375.0","1,411.0","1,436.0","1,464.0","1,493.0","1,519.0","1,549.0","1,583.0","1,629.0","1,665.0","1,700.0","1,759.0","1,814.0","1,864.0"
"47",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","28","  Nonfarm business","B1667C1","11,512.0","12,314.0","13,051.0","13,659.0","14,151.0","14,598.0","15,010.0","15,354.0","15,638.0","15,888.0","16,095.0","16,264.0","16,395.0","16,698.0","17,185.0","17,822.0","18,624.0","19,260.0","19,735.0","20,044.0","20,195.0","20,394.0","20,644.0","20,933.0","21,252.0","21,556.0","21,850.0","22,108.0","22,342.0","22,572.0","22,795.0","23,003.0","23,200.0","23,558.0","24,072.0","24,730.0","25,539.0","26,308.0","27,032.0","27,706.0","28,346.0","28,944.0","29,478.0","29,955.0","30,375.0","30,787.0","31,180.0","31,544.0","31,865.0","32,111.0","32,294.0","32,406.0","32,438.0","32,533.0","32,662.0","32,851.0","33,078.0","33,335.0","33,607.0","33,893.0","34,200.0","34,519.0","34,847.0","35,184.0","35,525.0","35,899.0","36,298.0","36,736.0","37,183.0","37,696.0","38,273.0","38,910.0","39,613.0","40,384.0","41,218.0","42,125.0","43,111.0","44,118.0","45,119.0","46,126.0","47,153.0","48,207.0","49,314.0","50,470.0","51,676.0","52,919.0","54,205.0","55,565.0","56,963.0","58,485.0"
