"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"22","3","  Wage and salary accruals","A4102C1","499,046.0","511,354.0","526,403.0","536,430.0","545,078.0","549,045.0","555,697.0","556,321.0","570,130.0","580,231.0","588,730.0","599,009.0","617,952.0","630,490.0","642,419.0","664,271.0","683,384.0","700,095.0","716,217.0","735,396.0","748,202.0","765,317.0","783,149.0","792,530.0","791,963.0","800,409.0","821,336.0","845,814.0","871,256.0","889,419.0","908,489.0","929,966.0","950,104.0","980,971.0","1,007,568.0","1,038,238.0","1,064,311.0","1,106,051.0","1,137,226.0","1,175,087.0","1,208,425.0","1,234,100.0","1,268,258.0","1,302,756.0","1,334,973.0","1,351,131.0","1,376,677.0","1,431,299.0","1,469,219.0","1,496,354.0","1,528,886.0","1,551,656.0","1,567,405.0","1,581,134.0","1,596,253.0","1,606,043.0","1,623,238.0","1,655,273.0","1,691,961.0","1,740,271.0","1,785,417.0","1,828,414.0","1,866,933.0","1,899,737.0","1,934,012.0","1,963,455.0","1,996,315.0","2,037,278.0","2,065,463.0","2,083,671.0","2,113,397.0","2,153,937.0","2,195,313.0","2,231,634.0","2,271,783.0","2,331,760.0","2,368,105.0","2,423,098.0","2,463,424.0","2,507,972.0","2,543,067.0","2,564,500.0","2,592,918.0","2,636,858.0","2,688,992.0","2,738,112.0","2,770,978.0","2,775,940.0","2,778,322.0","2,803,895.0","2,829,268.0","2,857,429.0","2,906,443.0","2,945,788.0","2,978,955.0","3,011,814.0","3,037,673.0","3,070,734.0","3,103,568.0","3,133,453.0","3,190,140.0","3,233,376.0","3,266,739.0","3,319,641.0","3,380,991.0","3,415,724.0","3,458,675.0","3,498,534.0","3,533,339.0","3,598,222.0","3,654,270.0","3,710,626.0","3,778,332.0","3,836,679.0","3,904,929.0","3,992,220.0","4,079,580.0","4,149,651.0","4,220,810.0","4,291,875.0","4,380,567.0","4,423,051.0","4,484,784.0","4,593,154.0","4,759,682.0","4,786,693.0","4,878,845.0","4,904,334.0","4,993,152.0","4,966,634.0","4,937,634.0","4,932,248.0","4,969,036.0","5,008,754.0","5,011,685.0","5,022,048.0","5,066,806.0","5,129,053.0","5,190,224.0","5,255,125.0","5,281,847.0","5,369,855.0","5,474,880.0","5,540,773.0","5,590,477.0","5,657,971.0","5,764,897.0","5,836,213.0","5,965,435.0","6,025,102.0","6,081,970.0","6,234,518.0","6,334,914.0","6,389,909.0","6,434,679.0","6,530,771.0","6,611,564.0","6,565,615.0","6,561,128.0","6,488,163.0","6,309,838.0","6,287,164.0","6,260,160.0","6,280,364.0","6,310,762.0","6,409,117.0","6,463,849.0","6,486,200.0","6,587,156.0","6,667,313.0"
"23","4","    Disbursements","W269RC1","499,046.0","511,354.0","526,403.0","536,430.0","542,578.0","551,177.0","556,065.0","556,321.0","570,114.0","580,051.0","588,102.0","597,505.0","619,400.0","630,878.0","642,619.0","662,219.0","683,336.0","700,367.0","716,217.0","735,396.0","748,202.0","765,877.0","784,589.0","792,450.0","791,863.0","800,309.0","821,236.0","845,714.0","871,156.0","889,319.0","908,389.0","929,866.0","950,004.0","980,871.0","1,007,468.0","1,038,138.0","1,064,211.0","1,105,951.0","1,136,722.0","1,174,707.0","1,208,309.0","1,234,980.0","1,268,378.0","1,302,596.0","1,335,133.0","1,351,131.0","1,376,157.0","1,431,819.0","1,469,219.0","1,496,354.0","1,528,634.0","1,551,672.0","1,567,533.0","1,581,094.0","1,596,213.0","1,606,011.0","1,623,278.0","1,656,549.0","1,692,385.0","1,740,311.0","1,785,241.0","1,828,222.0","1,866,977.0","1,899,181.0","1,933,884.0","1,964,503.0","1,996,315.0","2,037,278.0","2,065,463.0","2,083,671.0","2,113,397.0","2,153,937.0","2,195,313.0","2,231,634.0","2,271,535.0","2,332,008.0","2,368,105.0","2,423,098.0","2,463,424.0","2,507,972.0","2,543,067.0","2,564,500.0","2,592,918.0","2,636,858.0","2,688,992.0","2,738,112.0","2,770,938.0","2,775,780.0","2,778,142.0","2,804,275.0","2,829,268.0","2,857,429.0","2,906,443.0","2,945,788.0","2,978,955.0","3,074,838.0","2,965,583.0","3,068,795.0","3,101,629.0","3,183,635.0","3,133,735.0","3,228,685.0","3,262,048.0","3,314,950.0","3,364,622.0","3,399,355.0","3,442,306.0","3,482,165.0","3,529,691.0","3,594,574.0","3,650,622.0","3,706,978.0","3,781,265.0","3,839,612.0","3,907,862.0","3,995,153.0","4,080,285.0","4,150,356.0","4,221,515.0","4,292,580.0","4,375,417.0","4,417,901.0","4,479,634.0","4,588,004.0","4,759,682.0","4,786,693.0","4,878,845.0","4,904,334.0","4,993,152.0","4,966,634.0","4,937,634.0","4,932,248.0","4,969,036.0","5,008,754.0","5,011,685.0","5,022,048.0","5,055,410.0","5,115,449.0","5,165,224.0","5,245,125.0","5,285,355.0","5,391,331.0","5,499,896.0","5,550,773.0","5,590,477.0","5,657,971.0","5,764,897.0","5,816,213.0","5,985,435.0","6,025,102.0","6,081,970.0","6,209,518.0","6,359,914.0","6,389,909.0","6,434,679.0","6,530,771.0","6,611,564.0","6,565,615.0","6,561,128.0","6,508,163.0","6,289,838.0","6,287,164.0","6,260,160.0","6,280,364.0","6,310,762.0","6,409,117.0","6,463,849.0","6,486,200.0","6,587,156.0","6,667,313.0"
"24","5","      To persons","W270RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,062,660.0","2,080,952.0","2,110,814.0","2,151,282.0","2,192,725.0","2,229,098.0","2,269,355.0","2,329,912.0","2,366,196.0","2,421,181.0","2,461,711.0","2,506,063.0","2,541,005.0","2,562,282.0","2,590,620.0","2,634,228.0","2,685,706.0","2,734,742.0","2,767,456.0","2,772,002.0","2,774,534.0","2,800,339.0","2,825,164.0","2,852,913.0","2,901,727.0","2,941,036.0","2,974,251.0","3,069,966.0","2,960,736.0","3,063,704.0","3,096,490.0","3,178,152.0","3,127,956.0","3,222,702.0","3,256,057.0","3,308,871.0","3,358,411.0","3,393,104.0","3,436,055.0","3,475,802.0","3,523,645.0","3,588,328.0","3,644,336.0","3,700,332.0","3,774,834.0","3,833,005.0","3,901,127.0","3,988,238.0","4,073,531.0","4,143,518.0","4,214,445.0","4,285,242.0","4,367,595.0","4,409,959.0","4,471,612.0","4,579,946.0","4,752,160.0","4,779,175.0","4,871,479.0","4,896,640.0","4,985,122.0","4,958,604.0","4,929,544.0","4,924,022.0","4,960,653.0","5,000,227.0","5,003,502.0","5,013,601.0","5,046,816.0","5,107,163.0","5,156,719.0","5,236,444.0","5,276,627.0","5,382,403.0","5,491,036.0","5,541,409.0","5,581,361.0","5,648,763.0","5,755,433.0","5,806,813.0","5,976,003.0","6,015,690.0","6,072,582.0","6,199,766.0","6,350,202.0","6,379,849.0","6,424,583.0","6,520,383.0","6,595,300.0","6,549,731.0","6,545,412.0","6,492,267.0","6,275,306.0","6,272,988.0","6,246,096.0","6,266,180.0","6,296,290.0","6,394,561.0","6,449,249.0","6,471,756.0","6,572,736.0","6,652,897.0"
"25","6","      To the rest of the world","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,803.0","2,719.0","2,583.0","2,655.0","2,588.0","2,536.0","2,180.0","2,096.0","1,909.0","1,917.0","1,713.0","1,909.0","2,062.0","2,218.0","2,298.0","2,630.0","3,286.0","3,370.0","3,482.0","3,778.0","3,608.0","3,936.0","4,104.0","4,516.0","4,716.0","4,752.0","4,704.0","4,872.0","4,847.0","5,091.0","5,139.0","5,483.0","5,779.0","5,983.0","5,991.0","6,079.0","6,211.0","6,251.0","6,251.0","6,363.0","6,046.0","6,246.0","6,286.0","6,646.0","6,431.0","6,607.0","6,735.0","6,915.0","6,754.0","6,838.0","7,070.0","7,338.0","7,822.0","7,942.0","8,022.0","8,058.0","7,522.0","7,518.0","7,366.0","7,694.0","8,030.0","8,030.0","8,090.0","8,226.0","8,383.0","8,527.0","8,183.0","8,447.0","8,594.0","8,286.0","8,505.0","8,681.0","8,728.0","8,928.0","8,860.0","9,364.0","9,116.0","9,208.0","9,464.0","9,400.0","9,432.0","9,412.0","9,388.0","9,752.0","9,712.0","10,060.0","10,096.0","10,388.0","16,264.0","15,884.0","15,716.0","15,896.0","14,532.0","14,176.0","14,064.0","14,184.0","14,472.0","14,556.0","14,600.0","14,444.0","14,420.0","14,416.0"
"26","7","    Wage accruals less disbursements","A062RC1","0.0","0.0","0.0","0.0","2,500.0","-2,132.0","-368.0","0.0","16.0","180.0","628.0","1,504.0","-1,448.0","-388.0","-200.0","2,052.0","48.0","-272.0","0.0","0.0","0.0","-560.0","-1,440.0","80.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","504.0","380.0","116.0","-880.0","-120.0","160.0","-160.0","0.0","520.0","-520.0","0.0","0.0","252.0","-16.0","-128.0","40.0","40.0","32.0","-40.0","-1,276.0","-424.0","-40.0","176.0","192.0","-44.0","556.0","128.0","-1,048.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","248.0","-248.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.0","160.0","180.0","-380.0","0.0","0.0","0.0","0.0","0.0","-63,024.0","72,090.0","1,939.0","1,939.0","-50,182.0","56,405.0","4,691.0","4,691.0","4,691.0","16,369.0","16,369.0","16,369.0","16,369.0","3,648.0","3,648.0","3,648.0","3,648.0","-2,933.0","-2,933.0","-2,933.0","-2,933.0","-705.0","-705.0","-705.0","-705.0","5,150.0","5,150.0","5,150.0","5,150.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11,396.0","13,604.0","25,000.0","10,000.0","-3,508.0","-21,476.0","-25,016.0","-10,000.0","0.0","0.0","0.0","20,000.0","-20,000.0","0.0","0.0","25,000.0","-25,000.0","0.0","0.0","0.0","0.0","0.0","0.0","-20,000.0","20,000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"27","8","  Supplements to wages and salaries","A038RC1","56,825.0","58,390.0","60,140.0","61,755.0","63,527.0","65,082.0","66,441.0","67,583.0","71,409.0","73,426.0","75,332.0","77,276.0","83,162.0","85,290.0","87,287.0","89,670.0","98,302.0","100,736.0","103,658.0","107,147.0","112,522.0","116,075.0","120,006.0","123,265.0","127,552.0","131,388.0","136,422.0","141,864.0","151,144.0","156,757.0","162,355.0","168,133.0","176,954.0","183,517.0","189,425.0","195,575.0","205,504.0","211,984.0","217,721.0","224,333.0","235,104.0","241,208.0","248,053.0","255,539.0","264,127.0","270,297.0","276,872.0","285,303.0","299,793.0","305,668.0","311,308.0","316,396.0","324,647.0","330,201.0","334,752.0","338,898.0","349,677.0","355,427.0","360,570.0","366,412.0","390,773.0","397,496.0","404,124.0","409,731.0","419,930.0","425,963.0","431,822.0","439,078.0","446,423.0","451,471.0","457,438.0","465,949.0","470,763.0","476,104.0","482,078.0","488,547.0","501,888.0","510,114.0","518,317.0","527,173.0","536,492.0","544,537.0","552,769.0","559,270.0","572,179.0","581,480.0","589,842.0","596,727.0","609,038.0","618,199.0","628,813.0","639,362.0","657,663.0","669,863.0","680,508.0","686,542.0","697,642.0","709,838.0","719,481.0","729,275.0","740,694.0","749,340.0","753,721.0","756,549.0","758,543.0","759,694.0","761,782.0","763,129.0","766,072.0","770,124.0","773,234.0","776,070.0","780,483.0","785,603.0","794,769.0","807,077.0","823,208.0","836,794.0","849,218.0","860,080.0","870,886.0","879,995.0","892,541.0","911,622.0","937,021.0","949,504.0","971,472.0","986,607.0","1,005,831.0","1,018,496.0","1,033,324.0","1,050,817.0","1,074,858.0","1,098,358.0","1,122,554.0","1,158,266.0","1,194,884.0","1,222,863.0","1,241,030.0","1,253,187.0","1,263,888.0","1,272,790.0","1,287,399.0","1,306,787.0","1,336,928.0","1,351,901.0","1,370,050.0","1,377,365.0","1,394,808.0","1,401,297.0","1,408,659.0","1,422,648.0","1,428,255.0","1,431,571.0","1,440,984.0","1,460,890.0","1,498,461.0","1,518,486.0","1,534,139.0","1,538,722.0","1,529,595.0","1,531,070.0","1,530,573.0","1,533,014.0","1,550,918.0","1,560,172.0","1,567,688.0","1,573,742.0","1,594,386.0","1,605,646.0"
"28","9","Taxes on production and imports","W056RC1","80,589.0","82,901.0","85,217.0","86,717.0","88,466.0","90,535.0","92,512.0","94,139.0","97,652.0","98,947.0","101,674.0","103,699.0","104,560.0","106,786.0","108,862.0","111,504.0","114,600.0","116,185.0","118,397.0","119,698.0","120,806.0","124,068.0","127,054.0","127,680.0","128,821.0","133,011.0","138,199.0","141,137.0","141,674.0","144,856.0","147,693.0","151,329.0","154,836.0","158,028.0","161,532.0","164,260.0","166,912.0","173,059.0","169,711.0","173,910.0","176,441.0","178,493.0","180,902.0","184,568.0","189,513.0","196,896.0","204,294.0","210,617.0","230,842.0","235,496.0","237,466.0","238,772.0","237,401.0","238,262.0","241,777.0","246,292.0","250,664.0","261,239.0","267,494.0","273,727.0","281,644.0","287,748.0","292,172.0","297,528.0","301,047.0","305,701.0","311,851.0","313,933.0","317,495.0","319,475.0","326,155.0","330,367.0","336,035.0","344,369.0","352,378.0","357,398.0","365,088.0","372,587.0","377,635.0","382,546.0","391,097.0","397,372.0","403,844.0","403,155.0","419,362.0","419,501.0","426,879.0","434,218.0","444,271.0","451,603.0","461,167.0","471,323.0","476,247.0","481,066.0","485,909.0","490,282.0","489,804.0","497,944.0","504,986.0","519,766.0","531,900.0","544,174.0","550,169.0","554,749.0","554,882.0","553,675.0","559,166.0","563,889.0","570,757.0","577,713.0","581,629.0","592,917.0","595,645.0","610,260.0","616,560.0","623,995.0","629,124.0","635,523.0","642,991.0","650,252.0","657,491.0","667,058.0","679,019.0","690,772.0","698,563.0","707,303.0","711,308.0","717,050.0","724,087.0","724,087.0","725,412.0","737,178.0","745,207.0","756,914.0","772,076.0","776,967.0","787,865.0","799,467.0","812,962.0","826,914.0","843,531.0","855,700.0","867,853.0","886,524.0","905,607.0","925,128.0","939,629.0","950,340.0","971,544.0","983,327.0","991,622.0","1,000,743.0","1,014,660.0","1,023,938.0","1,030,740.0","1,039,415.0","1,035,027.0","1,047,312.0","1,046,694.0","1,025,479.0","1,008,027.0","1,011,756.0","1,020,415.0","1,031,346.0","1,040,917.0","1,050,587.0","1,059,026.0","1,065,498.0","1,087,372.0","1,101,886.0"
"29","10","Less: Subsidies \1\","A107RC1","4,340.0","4,464.0","4,668.0","4,664.0","4,736.0","4,820.0","4,740.0","4,812.0","4,764.0","4,812.0","4,512.0","4,612.0","6,103.0","6,203.0","7,175.0","7,063.0","5,944.0","5,704.0","4,717.0","4,555.0","3,556.0","2,892.0","3,172.0","3,608.0","4,220.0","4,264.0","4,564.0","4,928.0","5,136.0","4,836.0","5,068.0","5,460.0","5,820.0","5,856.0","6,416.0","10,308.0","8,680.0","8,368.0","8,288.0","10,408.0","8,352.0","8,776.0","8,132.0","8,864.0","9,200.0","9,624.0","10,072.0","10,304.0","10,556.0","10,704.0","11,120.0","13,512.0","13,996.0","13,604.0","13,040.0","19,428.0","19,900.0","21,584.0","22,196.0","21,536.0","21,224.0","20,996.0","20,880.0","21,160.0","21,119.0","20,994.0","21,333.0","21,994.0","23,105.0","24,187.0","25,451.0","26,837.0","28,281.0","30,443.0","31,306.0","31,098.0","30,364.0","29,842.0","29,237.0","28,565.0","27,952.0","27,389.0","27,096.0","27,275.0","27,124.0","26,949.0","26,931.0","26,968.0","27,137.0","27,213.0","27,504.0","28,098.0","28,575.0","29,224.0","30,392.0","32,161.0","35,468.0","37,558.0","37,688.0","36,010.0","33,567.0","32,376.0","31,945.0","32,204.0","33,964.0","34,614.0","35,147.0","35,523.0","35,502.0","35,434.0","35,193.0","34,807.0","34,375.0","33,647.0","33,432.0","33,786.0","33,810.0","35,006.0","36,784.0","39,872.0","42,447.0","45,027.0","46,449.0","46,913.0","45,067.0","45,472.0","45,819.0","47,002.0","55,246.0","62,026.0","71,173.0","46,443.0","42,631.0","39,835.0","41,357.0","41,737.0","44,876.0","57,098.0","46,962.0","47,292.0","44,825.0","43,562.0","44,948.0","52,209.0","56,874.0","60,965.0","62,094.0","63,719.0","55,561.0","51,430.0","49,762.0","48,655.0","50,007.0","58,142.0","55,668.0","54,483.0","51,877.0","51,864.0","52,519.0","55,408.0","56,377.0","56,806.0","68,442.0","57,131.0","56,432.0","56,772.0","57,001.0","59,112.0","60,043.0","62,860.0"
"30","11","Net operating surplus","W271RC1","226,477.0","226,645.0","226,566.0","222,150.0","214,104.0","217,970.0","223,329.0","221,818.0","234,760.0","240,640.0","245,428.0","252,457.0","260,105.0","264,087.0","278,499.0","298,703.0","302,619.0","305,642.0","309,075.0","323,628.0","312,590.0","309,744.0","314,884.0","319,123.0","324,195.0","338,987.0","365,919.0","375,014.0","390,088.0","388,573.0","393,655.0","396,883.0","407,595.0","436,793.0","458,382.0","473,183.0","467,233.0","511,125.0","521,692.0","535,053.0","540,124.0","542,306.0","544,922.0","558,338.0","556,704.0","523,150.0","547,994.0","614,414.0","628,343.0","633,934.0","684,947.0","664,466.0","650,425.0","674,303.0","674,351.0","677,547.0","708,880.0","739,371.0","771,196.0","805,040.0","865,526.0","906,669.0","925,809.0","944,573.0","966,062.0","966,381.0","978,200.0","973,203.0","994,183.0","994,939.0","996,701.0","997,856.0","1,019,160.0","1,060,503.0","1,104,811.0","1,128,045.0","1,155,406.0","1,177,222.0","1,211,503.0","1,251,689.0","1,277,170.0","1,269,831.0","1,275,636.0","1,259,568.0","1,280,844.0","1,316,394.0","1,304,358.0","1,292,665.0","1,309,223.0","1,316,635.0","1,321,613.0","1,321,776.0","1,368,853.0","1,394,214.0","1,391,554.0","1,446,488.0","1,439,906.0","1,483,945.0","1,472,539.0","1,550,315.0","1,570,668.0","1,610,361.0","1,669,582.0","1,717,017.0","1,719,559.0","1,739,656.0","1,797,646.0","1,824,371.0","1,883,989.0","1,946,338.0","1,971,906.0","2,033,795.0","2,082,557.0","2,103,659.0","2,170,570.0","2,182,014.0","2,166,023.0","2,205,702.0","2,263,185.0","2,274,529.0","2,314,879.0","2,330,986.0","2,344,842.0","2,379,844.0","2,428,602.0","2,463,616.0","2,459,376.0","2,427,972.0","2,475,414.0","2,513,125.0","2,505,168.0","2,425,464.0","2,507,179.0","2,523,540.0","2,505,622.0","2,550,126.0","2,557,689.0","2,597,502.0","2,636,556.0","2,710,046.0","2,826,164.0","2,904,086.0","2,959,676.0","3,015,172.0","3,136,618.0","3,186,286.0","3,240,621.0","3,380,332.0","3,481,445.0","3,532,040.0","3,598,583.0","3,546,935.0","3,463,359.0","3,494,136.0","3,411,606.0","3,381,054.0","3,422,062.0","3,464,055.0","3,444,642.0","3,169,714.0","3,175,389.0","3,122,196.0","3,219,679.0","3,369,538.0","3,580,298.0","3,644,462.0","3,701,166.0","3,768,078.0","3,796,650.0","3,818,130.0"
"31","12","  Private enterprises","W260RC1","225,539.0","225,694.0","225,528.0","220,997.0","213,606.0","218,279.0","223,401.0","222,065.0","235,320.0","240,624.0","245,683.0","252,618.0","260,141.0","263,726.0","277,960.0","297,660.0","302,486.0","305,913.0","309,563.0","324,471.0","313,298.0","309,934.0","315,950.0","320,875.0","326,992.0","342,023.0","369,477.0","378,589.0","391,738.0","390,375.0","395,457.0","398,838.0","409,853.0","439,255.0","461,378.0","476,215.0","470,184.0","513,603.0","523,305.0","536,816.0","542,232.0","544,863.0","548,116.0","562,007.0","560,779.0","527,757.0","553,482.0","620,617.0","634,870.0","638,860.0","691,499.0","668,765.0","654,601.0","678,523.0","679,575.0","681,848.0","712,603.0","742,579.0","774,694.0","807,332.0","867,644.0","908,575.0","927,871.0","946,131.0","966,714.0","965,505.0","977,178.0","972,197.0","993,159.0","993,920.0","995,939.0","997,145.0","1,018,675.0","1,060,297.0","1,104,896.0","1,128,024.0","1,156,060.0","1,173,895.0","1,207,952.0","1,247,623.0","1,272,654.0","1,264,819.0","1,270,509.0","1,254,503.0","1,277,893.0","1,314,884.0","1,303,247.0","1,291,972.0","1,305,907.0","1,310,689.0","1,315,436.0","1,314,525.0","1,361,204.0","1,385,986.0","1,382,647.0","1,438,345.0","1,432,334.0","1,474,595.0","1,463,708.0","1,541,343.0","1,561,011.0","1,600,572.0","1,660,032.0","1,707,613.0","1,706,368.0","1,726,661.0","1,784,557.0","1,811,127.0","1,870,088.0","1,932,297.0","1,957,306.0","2,018,920.0","2,068,625.0","2,088,966.0","2,156,585.0","2,168,209.0","2,153,090.0","2,192,198.0","2,249,438.0","2,261,536.0","2,299,829.0","2,316,275.0","2,330,600.0","2,367,461.0","2,416,098.0","2,452,582.0","2,451,670.0","2,422,640.0","2,471,050.0","2,510,114.0","2,497,282.0","2,424,536.0","2,502,909.0","2,519,166.0","2,496,525.0","2,542,487.0","2,548,306.0","2,589,617.0","2,630,220.0","2,705,770.0","2,822,510.0","2,902,235.0","2,959,358.0","3,016,027.0","3,138,403.0","3,189,430.0","3,245,122.0","3,384,867.0","3,483,857.0","3,535,867.0","3,603,248.0","3,552,891.0","3,473,449.0","3,505,170.0","3,422,822.0","3,395,822.0","3,437,273.0","3,479,928.0","3,460,724.0","3,186,468.0","3,192,141.0","3,137,493.0","3,233,632.0","3,383,105.0","3,594,990.0","3,659,947.0","3,717,123.0","3,784,602.0","3,812,246.0","3,832,651.0"
"32","13","    Net interest and miscellaneous payments, domestic industries","W272RC1","30,470.0","32,391.0","34,487.0","35,517.0","36,935.0","38,856.0","41,235.0","42,418.0","43,176.0","43,989.0","44,647.0","44,805.0","45,879.0","47,461.0","49,883.0","52,277.0","53,100.0","55,209.0","59,330.0","62,364.0","66,482.0","70,813.0","74,098.0","79,377.0","83,161.0","82,413.0","83,520.0","83,735.0","82,704.0","85,083.0","85,802.0","87,210.0","88,779.0","96,959.0","103,945.0","109,627.0","111,567.0","114,714.0","116,763.0","121,822.0","128,571.0","136,014.0","143,583.0","157,757.0","173,526.0","177,817.0","180,516.0","200,194.0","200,452.0","218,739.0","245,576.0","250,926.0","261,792.0","270,765.0","267,346.0","268,128.0","273,489.0","273,030.0","287,009.0","298,923.0","300,649.0","320,378.0","340,292.0","347,179.0","352,096.0","352,362.0","346,156.0","360,590.0","381,307.0","389,086.0","389,652.0","388,547.0","387,661.0","390,349.0","397,174.0","407,422.0","405,789.0","407,071.0","421,004.0","438,367.0","465,917.0","474,461.0","479,534.0","476,167.0","479,915.0","485,315.0","484,927.0","484,160.0","472,903.0","466,577.0","462,243.0","446,427.0","441,115.0","431,924.0","423,331.0","418,414.0","423,317.0","409,901.0","398,188.0","396,694.0","393,891.0","403,467.0","419,384.0","431,671.0","424,231.0","416,233.0","414,305.0","415,275.0","412,410.0","430,234.0","443,250.0","463,071.0","473,344.0","479,366.0","490,324.0","505,970.0","537,354.0","559,651.0","573,036.0","570,795.0","555,124.0","560,454.0","571,845.0","592,073.0","627,559.0","643,239.0","652,653.0","646,361.0","655,690.0","663,887.0","658,669.0","649,462.0","631,321.0","613,055.0","597,987.0","595,921.0","603,359.0","599,331.0","592,915.0","586,363.0","564,357.0","565,749.0","566,486.0","580,624.0","630,406.0","658,697.0","697,285.0","729,388.0","768,788.0","827,701.0","844,108.0","879,615.0","914,860.0","919,597.0","965,259.0","1,008,764.0","1,072,118.0","1,101,851.0","1,107,900.0","1,105,339.0","1,000,966.0","851,687.0","786,599.0","783,968.0","779,340.0","754,372.0","728,682.0","728,027.0","731,254.0","699,753.0"
"33","14","    Business current transfer payments (net)","B029RC1","4,852.0","4,967.0","4,981.0","4,964.0","4,773.0","4,623.0","4,389.0","4,291.0","4,299.0","4,272.0","4,321.0","4,404.0","4,700.0","4,847.0","5,018.0","5,155.0","5,744.0","6,093.0","5,903.0","6,140.0","6,622.0","6,914.0","7,324.0","7,672.0","8,720.0","9,461.0","9,652.0","9,799.0","9,937.0","9,786.0","9,438.0","8,919.0","8,532.0","8,199.0","8,417.0","8,712.0","9,768.0","10,466.0","11,179.0","11,847.0","12,778.0","13,239.0","13,558.0","13,737.0","13,875.0","14,136.0","14,457.0","16,460.0","17,221.0","17,443.0","18,157.0","18,827.0","20,040.0","20,555.0","20,820.0","21,033.0","21,240.0","21,781.0","22,771.0","24,612.0","27,736.0","29,759.0","31,304.0","32,361.0","33,407.0","39,330.0","33,923.0","34,160.0","43,035.0","35,433.0","34,105.0","34,828.0","34,781.0","35,104.0","33,242.0","33,116.0","31,936.0","32,522.0","34,045.0","35,980.0","38,164.0","38,596.0","40,041.0","39,914.0","40,246.0","39,861.0","39,816.0","40,525.0","40,820.0","39,734.0","39,534.0","39,654.0","39,576.0","39,298.0","39,827.0","43,991.0","41,225.0","40,375.0","39,829.0","40,539.0","41,933.0","40,921.0","42,444.0","42,404.0","44,652.0","45,707.0","46,786.0","46,206.0","48,128.0","49,171.0","49,903.0","67,835.0","48,373.0","48,564.0","54,522.0","53,686.0","60,288.0","61,391.0","63,798.0","75,319.0","66,317.0","67,184.0","69,103.0","73,205.0","80,833.0","84,637.0","88,856.0","93,526.0","99,895.0","102,787.0","102,584.0","99,767.0","90,264.0","84,205.0","79,388.0","75,605.0","77,257.0","75,848.0","75,816.0","75,657.0","77,764.0","80,044.0","79,026.0","89,908.0","96,522.0","99,569.0","95,161.0","92,252.0","82,847.0","79,348.0","83,586.0","86,054.0","105,639.0","102,891.0","104,364.0","100,408.0","120,756.0","117,340.0","116,107.0","137,768.0","136,950.0","141,528.0","122,158.0","127,488.0","134,603.0","135,748.0","140,901.0","135,693.0","134,737.0","134,763.0"
