"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"53","34","    Nondefense consumption expenditures \1\","A542RC1","19,584.0","19,964.0","20,968.0","20,168.0","21,432.0","22,340.0","22,212.0","22,232.0","22,824.0","24,920.0","26,256.0","25,536.0","27,548.0","28,212.0","28,276.0","28,620.0","29,176.0","29,216.0","29,536.0","29,764.0","31,972.0","30,368.0","34,584.0","36,776.0","36,824.0","38,324.0","38,964.0","40,496.0","40,728.0","40,476.0","40,968.0","43,256.0","44,492.0","45,780.0","46,348.0","49,516.0","48,912.0","50,200.0","50,156.0","53,256.0","54,016.0","54,376.0","54,772.0","57,372.0","59,660.0","66,068.0","63,448.0","65,888.0","68,872.0","72,032.0","70,524.0","72,392.0","72,172.0","69,448.0","71,132.0","75,780.0","77,184.0","79,076.0","86,804.0","67,868.0","70,012.0","78,724.0","79,460.0","80,052.0","82,980.0","85,368.0","85,292.0","84,988.0","85,468.0","88,288.0","92,452.0","94,372.0","92,392.0","89,576.0","85,572.0","93,024.0","87,440.0","86,776.0","86,448.0","92,460.0","96,104.0","98,952.0","99,776.0","101,500.0","106,868.0","110,484.0","112,912.0","113,772.0","116,968.0","118,588.0","119,124.0","119,764.0","126,488.0","127,168.0","129,040.0","132,964.0","132,568.0","132,288.0","134,204.0","135,760.0","138,792.0","138,648.0","139,756.0","142,380.0","144,000.0","143,348.0","143,828.0","141,468.0","143,768.0","142,752.0","141,660.0","145,284.0","151,176.0","152,896.0","153,444.0","154,560.0","155,048.0","156,244.0","148,896.0","156,920.0","158,680.0","158,096.0","160,988.0","163,600.0","170,448.0","175,244.0","175,552.0","175,436.0","180,352.0","188,396.0","190,328.0","193,488.0","204,464.0","209,568.0","211,576.0","213,708.0","226,072.0","220,904.0","228,252.0","225,072.0","236,240.0","239,984.0","239,944.0","244,516.0","249,416.0","247,052.0","251,148.0","256,388.0","272,060.0","267,208.0","269,436.0","259,776.0","266,984.0","271,400.0","276,204.0","279,592.0","294,424.0","297,808.0","297,704.0","303,904.0","313,276.0","321,656.0","323,208.0","331,864.0","342,912.0","354,392.0","353,576.0","356,852.0","358,060.0","353,804.0"
"54","35","      Gross output of general government","W128RC1","20,660.0","21,124.0","22,124.0","21,292.0","22,556.0","23,428.0","23,236.0","23,388.0","23,956.0","26,144.0","27,512.0","26,868.0","29,176.0","29,788.0","29,868.0","30,444.0","30,952.0","31,048.0","31,084.0","31,528.0","33,844.0","32,320.0","36,232.0","38,552.0","38,452.0","40,136.0","40,728.0","42,416.0","42,472.0","43,104.0","43,908.0","44,952.0","47,152.0","48,524.0","49,872.0","52,332.0","51,948.0","53,756.0","54,264.0","57,060.0","57,924.0","58,564.0","59,152.0","63,264.0","64,076.0","71,148.0","68,648.0","70,528.0","73,240.0","76,656.0","75,688.0","76,576.0","76,384.0","73,588.0","75,732.0","79,840.0","81,456.0","83,268.0","92,208.0","73,056.0","74,736.0","83,708.0","84,492.0","85,028.0","88,184.0","90,360.0","90,372.0","90,264.0","90,584.0","93,292.0","97,160.0","99,612.0","97,864.0","95,104.0","91,392.0","99,144.0","93,596.0","93,372.0","93,100.0","98,640.0","102,624.0","106,200.0","107,236.0","108,248.0","113,860.0","117,004.0","119,904.0","121,528.0","125,524.0","125,020.0","127,940.0","127,868.0","134,764.0","134,152.0","136,932.0","138,936.0","139,632.0","139,644.0","140,680.0","141,828.0","145,516.0","147,264.0","146,236.0","148,792.0","151,108.0","149,716.0","150,508.0","149,204.0","150,216.0","149,520.0","149,732.0","152,400.0","157,452.0","158,716.0","158,512.0","159,840.0","160,508.0","161,720.0","161,208.0","161,420.0","163,120.0","164,572.0","166,672.0","168,872.0","176,032.0","181,308.0","181,468.0","184,720.0","185,472.0","194,032.0","195,740.0","199,724.0","210,464.0","214,280.0","216,344.0","218,396.0","230,752.0","226,880.0","233,552.0","230,508.0","241,344.0","245,228.0","246,472.0","251,556.0","257,748.0","253,544.0","259,980.0","266,228.0","279,224.0","274,388.0","276,776.0","266,328.0","273,148.0","278,440.0","283,156.0","286,324.0","301,500.0","305,052.0","307,788.0","311,432.0","321,592.0","330,452.0","332,312.0","341,104.0","352,468.0","365,480.0","365,408.0","365,876.0","366,064.0","363,264.0"
"55","36","        Value added","W129RC1","11,700.0","11,764.0","12,308.0","12,484.0","13,628.0","13,820.0","13,860.0","13,952.0","15,228.0","15,664.0","15,928.0","16,072.0","16,944.0","17,088.0","17,176.0","17,712.0","18,228.0","18,320.0","18,460.0","19,240.0","19,980.0","20,436.0","20,832.0","21,912.0","22,692.0","23,360.0","23,760.0","24,904.0","25,456.0","25,940.0","26,588.0","28,032.0","29,060.0","29,640.0","30,064.0","31,160.0","31,508.0","31,932.0","32,232.0","33,360.0","33,780.0","34,180.0","34,572.0","36,044.0","37,488.0","39,164.0","39,304.0","40,832.0","41,600.0","41,996.0","42,220.0","43,448.0","43,880.0","44,056.0","44,660.0","45,788.0","46,176.0","47,224.0","47,664.0","47,480.0","48,848.0","49,464.0","50,332.0","50,416.0","51,876.0","52,572.0","52,224.0","52,352.0","53,024.0","53,528.0","53,924.0","54,184.0","56,208.0","56,032.0","56,652.0","58,332.0","60,404.0","61,072.0","62,408.0","64,036.0","65,348.0","65,224.0","65,644.0","66,804.0","69,904.0","71,832.0","72,468.0","73,856.0","76,792.0","77,032.0","77,824.0","79,072.0","80,868.0","81,100.0","81,836.0","83,544.0","86,828.0","87,796.0","88,848.0","88,964.0","90,908.0","91,340.0","89,964.0","89,960.0","92,164.0","92,228.0","92,260.0","91,756.0","93,960.0","93,980.0","93,904.0","94,268.0","97,060.0","97,892.0","98,152.0","98,080.0","99,992.0","101,412.0","101,928.0","104,016.0","107,436.0","107,084.0","107,272.0","109,076.0","114,524.0","118,444.0","116,180.0","116,180.0","117,592.0","119,364.0","120,580.0","121,264.0","128,880.0","128,648.0","128,936.0","130,832.0","138,484.0","139,452.0","139,164.0","139,308.0","146,008.0","148,348.0","147,976.0","149,028.0","154,032.0","153,788.0","154,504.0","155,076.0","159,996.0","162,148.0","162,768.0","162,612.0","169,464.0","170,196.0","170,536.0","171,212.0","177,760.0","179,236.0","180,424.0","182,580.0","189,564.0","193,560.0","193,424.0","194,876.0","203,080.0","211,344.0","207,664.0","206,836.0","209,396.0","210,884.0"
"56","37","          Compensation of general government employees","W130RC1","9,840.0","9,860.0","10,364.0","10,496.0","11,596.0","11,744.0","11,728.0","11,792.0","13,008.0","13,412.0","13,632.0","13,744.0","14,596.0","14,720.0","14,780.0","15,288.0","15,768.0","15,816.0","15,928.0","16,580.0","17,336.0","17,676.0","17,948.0","18,884.0","19,576.0","20,152.0","20,508.0","21,592.0","22,028.0","22,532.0","23,136.0","24,532.0","25,484.0","26,008.0","26,348.0","27,352.0","27,644.0","27,980.0","28,200.0","29,200.0","29,508.0","29,756.0","30,000.0","31,304.0","32,544.0","34,048.0","34,016.0","35,308.0","35,860.0","36,056.0","36,096.0","37,132.0","37,376.0","37,368.0","37,868.0","38,864.0","39,128.0","40,044.0","40,340.0","40,008.0","41,196.0","41,604.0","42,292.0","42,204.0","43,472.0","44,008.0","43,484.0","43,448.0","43,968.0","44,300.0","44,504.0","44,556.0","46,428.0","46,084.0","46,528.0","47,988.0","49,820.0","50,272.0","51,400.0","52,796.0","53,912.0","53,580.0","53,776.0","54,736.0","57,604.0","59,296.0","59,660.0","60,772.0","63,404.0","63,452.0","64,100.0","65,200.0","66,920.0","67,020.0","67,612.0","69,172.0","72,204.0","73,012.0","73,936.0","73,900.0","75,772.0","76,032.0","74,572.0","74,432.0","76,452.0","76,264.0","76,124.0","75,384.0","77,484.0","77,460.0","77,216.0","77,420.0","79,816.0","80,400.0","80,472.0","80,220.0","82,060.0","83,200.0","83,476.0","85,276.0","88,244.0","87,456.0","87,252.0","88,620.0","93,624.0","97,172.0","94,496.0","94,208.0","95,532.0","97,048.0","98,120.0","98,628.0","106,056.0","105,740.0","105,920.0","107,700.0","115,152.0","116,004.0","115,640.0","115,720.0","122,224.0","124,276.0","123,600.0","124,312.0","128,944.0","128,360.0","128,700.0","128,964.0","133,380.0","134,992.0","135,156.0","134,596.0","141,036.0","141,452.0","141,492.0","141,780.0","148,024.0","149,112.0","149,824.0","151,564.0","158,228.0","162,028.0","161,868.0","162,964.0","170,932.0","178,968.0","174,964.0","173,856.0","176,052.0","177,036.0"
"57","38","          Consumption of general government fixed capital \2\","B546RC1","1,860.0","1,904.0","1,944.0","1,988.0","2,032.0","2,076.0","2,132.0","2,160.0","2,220.0","2,252.0","2,296.0","2,328.0","2,348.0","2,368.0","2,396.0","2,424.0","2,460.0","2,504.0","2,532.0","2,660.0","2,644.0","2,760.0","2,884.0","3,028.0","3,116.0","3,208.0","3,252.0","3,312.0","3,428.0","3,408.0","3,452.0","3,500.0","3,576.0","3,632.0","3,716.0","3,808.0","3,864.0","3,952.0","4,032.0","4,160.0","4,272.0","4,424.0","4,572.0","4,740.0","4,944.0","5,116.0","5,288.0","5,524.0","5,740.0","5,940.0","6,124.0","6,316.0","6,504.0","6,688.0","6,792.0","6,924.0","7,048.0","7,180.0","7,324.0","7,472.0","7,652.0","7,860.0","8,040.0","8,212.0","8,404.0","8,564.0","8,740.0","8,904.0","9,056.0","9,228.0","9,420.0","9,628.0","9,780.0","9,948.0","10,124.0","10,344.0","10,584.0","10,800.0","11,008.0","11,240.0","11,436.0","11,644.0","11,868.0","12,068.0","12,300.0","12,536.0","12,808.0","13,084.0","13,388.0","13,580.0","13,724.0","13,872.0","13,948.0","14,080.0","14,224.0","14,372.0","14,624.0","14,784.0","14,912.0","15,064.0","15,136.0","15,308.0","15,392.0","15,528.0","15,712.0","15,964.0","16,136.0","16,372.0","16,476.0","16,520.0","16,688.0","16,848.0","17,244.0","17,492.0","17,680.0","17,860.0","17,932.0","18,212.0","18,452.0","18,740.0","19,192.0","19,628.0","20,020.0","20,456.0","20,900.0","21,272.0","21,684.0","21,972.0","22,060.0","22,316.0","22,460.0","22,636.0","22,824.0","22,908.0","23,016.0","23,132.0","23,332.0","23,448.0","23,524.0","23,588.0","23,784.0","24,072.0","24,376.0","24,716.0","25,088.0","25,428.0","25,804.0","26,112.0","26,616.0","27,156.0","27,612.0","28,016.0","28,428.0","28,744.0","29,044.0","29,432.0","29,736.0","30,124.0","30,600.0","31,016.0","31,336.0","31,532.0","31,556.0","31,912.0","32,148.0","32,376.0","32,700.0","32,980.0","33,344.0","33,848.0"
"58","39","        Intermediate goods and services purchased \3\","W131RC1","8,960.0","9,360.0","9,816.0","8,808.0","8,928.0","9,608.0","9,376.0","9,436.0","8,728.0","10,480.0","11,584.0","10,796.0","12,232.0","12,700.0","12,692.0","12,732.0","12,724.0","12,728.0","12,624.0","12,288.0","13,864.0","11,884.0","15,400.0","16,640.0","15,760.0","16,776.0","16,968.0","17,512.0","17,016.0","17,164.0","17,320.0","16,920.0","18,092.0","18,884.0","19,808.0","21,172.0","20,440.0","21,824.0","22,032.0","23,700.0","24,144.0","24,384.0","24,580.0","27,220.0","26,588.0","31,984.0","29,344.0","29,696.0","31,640.0","34,660.0","33,468.0","33,128.0","32,504.0","29,532.0","31,072.0","34,052.0","35,280.0","36,044.0","44,544.0","25,576.0","25,888.0","34,244.0","34,160.0","34,612.0","36,308.0","37,788.0","38,148.0","37,912.0","37,560.0","39,764.0","43,236.0","45,428.0","41,656.0","39,072.0","34,740.0","40,812.0","33,192.0","32,300.0","30,692.0","34,604.0","37,276.0","40,976.0","41,592.0","41,444.0","43,956.0","45,172.0","47,436.0","47,672.0","48,732.0","47,988.0","50,116.0","48,796.0","53,896.0","53,052.0","55,096.0","55,392.0","52,804.0","51,848.0","51,832.0","52,864.0","54,608.0","55,924.0","56,272.0","58,832.0","58,944.0","57,488.0","58,248.0","57,448.0","56,256.0","55,540.0","55,828.0","58,132.0","60,392.0","60,824.0","60,360.0","61,760.0","60,516.0","60,308.0","59,280.0","57,404.0","55,684.0","57,488.0","59,400.0","59,796.0","61,508.0","62,864.0","65,288.0","68,540.0","67,880.0","74,668.0","75,160.0","78,460.0","81,584.0","85,632.0","87,408.0","87,564.0","92,268.0","87,428.0","94,388.0","91,200.0","95,336.0","96,880.0","98,496.0","102,528.0","103,716.0","99,756.0","105,476.0","111,152.0","119,228.0","112,240.0","114,008.0","103,716.0","103,684.0","108,244.0","112,620.0","115,112.0","123,740.0","125,816.0","127,364.0","128,852.0","132,028.0","136,892.0","138,888.0","146,228.0","149,388.0","154,136.0","157,744.0","159,040.0","156,668.0","152,380.0"
"59","40","          Durable goods","A543RC1","344.0","324.0","312.0","292.0","276.0","256.0","264.0","260.0","260.0","280.0","280.0","232.0","268.0","272.0","312.0","272.0","228.0","232.0","240.0","204.0","200.0","212.0","208.0","212.0","272.0","216.0","228.0","252.0","248.0","276.0","304.0","292.0","300.0","328.0","348.0","340.0","408.0","444.0","404.0","436.0","472.0","476.0","588.0","612.0","676.0","720.0","652.0","620.0","632.0","660.0","720.0","520.0","820.0","432.0","492.0","560.0","824.0","840.0","888.0","912.0","884.0","948.0","972.0","952.0","960.0","940.0","976.0","964.0","912.0","928.0","968.0","1,064.0","1,032.0","1,072.0","1,104.0","1,128.0","1,120.0","1,152.0","1,160.0","1,180.0","1,212.0","1,284.0","1,344.0","1,380.0","1,468.0","1,496.0","1,540.0","1,552.0","1,540.0","1,540.0","1,556.0","1,604.0","1,692.0","1,632.0","1,712.0","1,680.0","1,716.0","1,700.0","1,612.0","1,648.0","1,596.0","1,572.0","1,604.0","1,548.0","1,540.0","1,480.0","1,536.0","1,576.0","1,640.0","1,648.0","1,720.0","1,740.0","1,712.0","1,712.0","1,740.0","1,696.0","1,700.0","1,700.0","1,612.0","1,592.0","1,716.0","1,776.0","1,772.0","1,744.0","1,756.0","1,800.0","1,856.0","1,932.0","1,836.0","1,908.0","1,956.0","2,004.0","2,232.0","2,244.0","2,288.0","2,296.0","2,204.0","2,148.0","2,204.0","2,172.0","2,252.0","2,436.0","2,456.0","2,560.0","2,604.0","2,712.0","2,844.0","2,960.0","3,136.0","2,912.0","2,928.0","2,744.0","2,744.0","2,820.0","2,924.0","2,988.0","3,200.0","3,196.0","3,156.0","3,220.0","3,268.0","3,344.0","3,504.0","3,612.0","3,736.0","3,856.0","3,908.0","3,912.0","3,852.0","3,712.0"
"60","41","          Nondurable goods","A729RC1","2,600.0","2,972.0","3,848.0","2,496.0","2,316.0","2,276.0","1,920.0","1,552.0","988.0","1,956.0","2,852.0","2,512.0","2,576.0","2,744.0","2,176.0","2,204.0","1,720.0","1,440.0","2,148.0","2,464.0","2,788.0","948.0","3,308.0","3,284.0","2,860.0","3,156.0","2,516.0","2,572.0","3,464.0","3,628.0","3,304.0","3,568.0","3,728.0","4,184.0","4,712.0","5,108.0","4,148.0","4,588.0","4,900.0","5,856.0","5,312.0","4,688.0","5,148.0","5,600.0","5,300.0","9,400.0","6,620.0","8,464.0","9,472.0","12,832.0","11,780.0","10,816.0","9,756.0","8,848.0","8,480.0","9,360.0","9,768.0","11,696.0","20,156.0","608.0","480.0","8,448.0","8,516.0","8,132.0","8,396.0","10,320.0","9,368.0","9,808.0","9,328.0","11,340.0","13,904.0","15,096.0","10,444.0","8,068.0","1,124.0","7,936.0","1,236.0","-688.0","-2,288.0","1,352.0","4,144.0","6,548.0","6,744.0","5,448.0","4,900.0","4,840.0","6,240.0","6,648.0","8,464.0","6,764.0","5,740.0","4,360.0","5,592.0","6,936.0","7,304.0","7,724.0","8,760.0","8,272.0","8,352.0","7,804.0","7,008.0","7,300.0","6,008.0","7,212.0","9,140.0","7,852.0","8,700.0","8,564.0","7,888.0","7,632.0","7,812.0","8,184.0","9,588.0","9,656.0","9,804.0","9,928.0","10,856.0","10,852.0","10,808.0","10,680.0","7,772.0","8,052.0","8,000.0","7,712.0","9,000.0","9,044.0","9,984.0","10,796.0","11,652.0","14,168.0","12,256.0","12,788.0","12,136.0","13,700.0","13,160.0","13,044.0","13,196.0","14,920.0","15,564.0","15,864.0","16,132.0","16,600.0","15,712.0","18,544.0","21,164.0","16,908.0","19,428.0","21,404.0","21,376.0","19,920.0","19,360.0","18,108.0","17,848.0","18,768.0","19,372.0","20,528.0","22,564.0","22,784.0","22,892.0","22,832.0","24,868.0","27,268.0","24,600.0","26,636.0","27,032.0","28,112.0","29,112.0","29,692.0","29,072.0","28,156.0"
"61","42","            Commodity Credit Corporation inventory change","B826RC1","264.0","676.0","1,724.0","176.0","-180.0","-228.0","-376.0","-840.0","-1,344.0","-584.0","412.0","132.0","-20.0","-140.0","-772.0","-572.0","-824.0","-1,284.0","-408.0","-140.0","-152.0","-2,208.0","96.0","88.0","424.0","708.0","132.0","-172.0","660.0","332.0","-300.0","-12.0","208.0","364.0","600.0","596.0","-228.0","-200.0","-72.0","644.0","0.0","-348.0","-80.0","368.0","220.0","4,096.0","856.0","720.0","932.0","1,404.0","360.0","872.0","1,680.0","1,772.0","1,528.0","1,664.0","2,396.0","3,620.0","11,104.0","-7,092.0","-7,212.0","-28.0","1,032.0","-1,176.0","676.0","1,932.0","2,052.0","4,320.0","3,044.0","5,144.0","7,884.0","9,488.0","3,524.0","248.0","-6,228.0","1,648.0","-6,844.0","-8,632.0","-8,148.0","-4,652.0","-2,800.0","340.0","136.0","-912.0","-2,192.0","-2,900.0","-740.0","-168.0","2,216.0","1,100.0","-524.0","-1,972.0","-1,524.0","-540.0","-460.0","-4.0","-36.0","-256.0","-44.0","-496.0","-368.0","-200.0","-968.0","-304.0","352.0","-884.0","-112.0","-136.0","-84.0","-424.0","-404.0","-216.0","8.0","-128.0","-120.0","24.0","80.0","196.0","292.0","64.0","76.0","300.0","212.0","-88.0","652.0","628.0","812.0","1,132.0","724.0","2,668.0","-52.0","-32.0","-32.0","628.0","164.0","-200.0","-320.0","284.0","-248.0","-240.0","-1,252.0","-620.0","-1,764.0","-340.0","1,416.0","-2,848.0","-780.0","80.0","-296.0","56.0","-4.0","12.0","-60.0","-128.0","0.0","-48.0","-24.0","-1,452.0","32.0","420.0","196.0","980.0","-764.0","140.0","-420.0","-264.0","32.0","144.0","-356.0","100.0"
"62","43","            Other nondurable goods","B828RC1","2,336.0","2,296.0","2,124.0","2,320.0","2,496.0","2,504.0","2,296.0","2,392.0","2,332.0","2,540.0","2,440.0","2,380.0","2,596.0","2,884.0","2,948.0","2,776.0","2,544.0","2,724.0","2,556.0","2,604.0","2,940.0","3,156.0","3,212.0","3,196.0","2,436.0","2,448.0","2,384.0","2,744.0","2,804.0","3,296.0","3,604.0","3,580.0","3,520.0","3,820.0","4,112.0","4,512.0","4,376.0","4,788.0","4,972.0","5,212.0","5,312.0","5,036.0","5,228.0","5,232.0","5,080.0","5,304.0","5,764.0","7,744.0","8,540.0","11,428.0","11,420.0","9,944.0","8,076.0","7,076.0","6,952.0","7,696.0","7,372.0","8,076.0","9,052.0","7,700.0","7,692.0","8,476.0","7,484.0","9,308.0","7,720.0","8,388.0","7,316.0","5,488.0","6,284.0","6,196.0","6,020.0","5,608.0","6,920.0","7,820.0","7,352.0","6,288.0","8,080.0","7,944.0","5,860.0","6,004.0","6,944.0","6,208.0","6,608.0","6,360.0","7,092.0","7,740.0","6,980.0","6,816.0","6,248.0","5,664.0","6,264.0","6,332.0","7,116.0","7,476.0","7,764.0","7,728.0","8,796.0","8,528.0","8,396.0","8,300.0","7,376.0","7,500.0","6,976.0","7,516.0","8,788.0","8,736.0","8,812.0","8,700.0","7,972.0","8,056.0","8,216.0","8,400.0","9,580.0","9,784.0","9,924.0","9,904.0","10,776.0","10,656.0","10,516.0","10,616.0","7,696.0","7,752.0","7,788.0","7,800.0","8,348.0","8,416.0","9,172.0","9,664.0","10,928.0","11,500.0","12,308.0","12,820.0","12,168.0","13,072.0","12,996.0","13,244.0","13,516.0","14,636.0","15,812.0","16,104.0","17,384.0","17,220.0","17,476.0","18,884.0","19,748.0","19,756.0","20,208.0","21,324.0","21,672.0","19,864.0","19,364.0","18,096.0","17,908.0","18,896.0","19,372.0","20,576.0","22,588.0","24,236.0","22,860.0","22,412.0","24,672.0","26,288.0","25,364.0","26,496.0","27,452.0","28,376.0","29,080.0","29,548.0","29,428.0","28,056.0"
"63","44","          Services","A544RC1","6,016.0","6,064.0","5,656.0","6,020.0","6,336.0","7,076.0","7,192.0","7,624.0","7,480.0","8,244.0","8,452.0","8,052.0","9,388.0","9,684.0","10,204.0","10,256.0","10,776.0","11,056.0","10,236.0","9,620.0","10,876.0","10,724.0","11,884.0","13,144.0","12,628.0","13,404.0","14,224.0","14,688.0","13,304.0","13,260.0","13,712.0","13,060.0","14,064.0","14,372.0","14,748.0","15,724.0","15,884.0","16,792.0","16,728.0","17,408.0","18,360.0","19,220.0","18,844.0","21,008.0","20,612.0","21,864.0","22,072.0","20,612.0","21,536.0","21,168.0","20,968.0","21,792.0","21,928.0","20,252.0","22,100.0","24,132.0","24,688.0","23,508.0","23,500.0","24,056.0","24,524.0","24,848.0","24,672.0","25,528.0","26,952.0","26,528.0","27,804.0","27,140.0","27,320.0","27,496.0","28,364.0","29,268.0","30,180.0","29,932.0","32,512.0","31,748.0","30,836.0","31,836.0","31,820.0","32,072.0","31,920.0","33,144.0","33,504.0","34,616.0","37,588.0","38,836.0","39,656.0","39,472.0","38,728.0","39,684.0","42,820.0","42,832.0","46,612.0","44,484.0","46,080.0","45,988.0","42,328.0","41,876.0","41,868.0","43,412.0","46,004.0","47,052.0","48,660.0","50,072.0","48,264.0","48,156.0","48,012.0","47,308.0","46,728.0","46,260.0","46,296.0","48,208.0","49,092.0","49,456.0","48,816.0","50,136.0","47,960.0","47,756.0","46,860.0","45,132.0","46,196.0","47,660.0","49,628.0","50,340.0","50,752.0","52,020.0","53,448.0","55,812.0","54,392.0","58,592.0","60,948.0","63,668.0","67,216.0","69,688.0","71,960.0","72,224.0","76,868.0","70,360.0","76,620.0","73,164.0","76,952.0","77,844.0","80,328.0","81,424.0","79,948.0","80,136.0","83,204.0","86,788.0","94,716.0","89,408.0","91,720.0","82,864.0","83,092.0","86,656.0","90,324.0","91,596.0","97,976.0","99,836.0","101,316.0","102,800.0","103,892.0","106,280.0","110,784.0","115,980.0","118,620.0","122,168.0","124,724.0","125,436.0","123,744.0","120,512.0"
"64","45","      Less: Own-account investment \4\","W136RC1","356.0","360.0","368.0","356.0","372.0","396.0","416.0","416.0","448.0","448.0","480.0","464.0","544.0","460.0","448.0","480.0","464.0","440.0","456.0","476.0","352.0","464.0","468.0","504.0","424.0","436.0","480.0","500.0","420.0","476.0","476.0","472.0","408.0","424.0","472.0","440.0","456.0","500.0","580.0","560.0","544.0","596.0","672.0","692.0","712.0","756.0","792.0","788.0","760.0","800.0","812.0","852.0","860.0","892.0","936.0","924.0","972.0","980.0","1,052.0","1,032.0","1,060.0","1,092.0","1,168.0","1,240.0","1,292.0","1,324.0","1,312.0","1,304.0","1,292.0","1,344.0","1,368.0","1,412.0","1,472.0","1,536.0","1,544.0","1,600.0","1,596.0","1,672.0","1,772.0","1,776.0","1,800.0","1,864.0","2,064.0","2,116.0","2,196.0","2,388.0","2,204.0","2,164.0","2,232.0","2,364.0","2,416.0","2,488.0","2,600.0","2,508.0","2,500.0","2,364.0","2,476.0","2,564.0","2,652.0","2,556.0","2,444.0","2,432.0","2,620.0","2,480.0","2,660.0","2,540.0","2,752.0","2,404.0","2,440.0","2,520.0","2,720.0","2,508.0","2,820.0","2,648.0","2,432.0","2,152.0","2,680.0","2,992.0","2,828.0","2,156.0","1,648.0","2,896.0","2,868.0","2,504.0","1,968.0","2,052.0","2,196.0","2,180.0","2,588.0","2,844.0","2,624.0","2,376.0","2,356.0","2,332.0","2,472.0","2,288.0","2,224.0","2,300.0","2,216.0","2,424.0","2,316.0","2,404.0","2,516.0","2,384.0","2,516.0","2,580.0","2,664.0","2,592.0","2,580.0","2,616.0","2,700.0","2,668.0","2,628.0","2,632.0","2,708.0","2,600.0","2,824.0","2,876.0","3,036.0","3,144.0","3,184.0","3,080.0","3,164.0","3,096.0","3,100.0","3,300.0","3,524.0","3,372.0","3,468.0","3,512.0"
"65","46","            Sales to other sectors","W137RC1","720.0","800.0","788.0","768.0","752.0","692.0","608.0","740.0","684.0","776.0","776.0","868.0","1,084.0","1,116.0","1,144.0","1,344.0","1,312.0","1,392.0","1,092.0","1,288.0","1,520.0","1,488.0","1,180.0","1,272.0","1,204.0","1,376.0","1,284.0","1,420.0","1,324.0","2,152.0","2,464.0","1,224.0","2,252.0","2,320.0","3,052.0","2,376.0","2,580.0","3,056.0","3,528.0","3,244.0","3,364.0","3,592.0","3,708.0","5,200.0","3,704.0","4,324.0","4,408.0","3,852.0","3,608.0","3,824.0","4,352.0","3,332.0","3,352.0","3,248.0","3,664.0","3,136.0","3,300.0","3,212.0","4,352.0","4,156.0","3,664.0","3,892.0","3,864.0","3,736.0","3,912.0","3,668.0","3,768.0","3,972.0","3,824.0","3,660.0","3,340.0","3,828.0","4,000.0","3,992.0","4,276.0","4,520.0","4,560.0","4,924.0","4,880.0","4,404.0","4,720.0","5,384.0","5,396.0","4,632.0","4,796.0","4,132.0","4,788.0","5,592.0","6,324.0","4,068.0","6,400.0","5,616.0","5,676.0","4,476.0","5,392.0","3,608.0","4,588.0","4,792.0","3,824.0","3,512.0","4,280.0","6,184.0","3,860.0","3,932.0","4,448.0","3,828.0","3,928.0","5,332.0","4,008.0","4,248.0","5,352.0","4,608.0","3,456.0","3,172.0","2,636.0","3,128.0","2,780.0","2,484.0","9,484.0","2,344.0","2,792.0","3,580.0","2,816.0","2,768.0","3,616.0","4,012.0","3,720.0","7,104.0","2,532.0","2,792.0","2,788.0","3,860.0","3,644.0","2,380.0","2,296.0","2,400.0","2,456.0","3,676.0","3,084.0","3,012.0","2,788.0","2,840.0","4,012.0","4,656.0","5,816.0","3,912.0","6,168.0","7,248.0","4,584.0","4,564.0","4,640.0","3,884.0","3,536.0","4,408.0","4,244.0","4,132.0","4,252.0","4,368.0","7,048.0","4,384.0","5,132.0","5,716.0","5,940.0","6,144.0","6,456.0","7,788.0","8,308.0","5,652.0","4,536.0","5,948.0"
